C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
42  |BD+42 4371                                                                                               |Star                                  |22 22 47.9842122864 +43 25 00.196938336|096.3181930037193 -11.6426208125851| -8.077 -14.179   |9.11     |F8                 |    ~     ~    |    1|  388.546   pc  |  -2.2494     +2.2494  |paral   |2020yCat.1350....0G
43  |BD+42 4374                                                                                               |Star                                  |22 22 59.5973564832 +43 12 29.776302504|096.2314212507068 -11.8362014239039|   0.188 -4.454   |9.43     |F5                 |    ~     ~    |    1|  158.745   pc  |  -0.3074     +0.3074  |paral   |2020yCat.1350....0G
44  |BD+42 4375                                                                                               |Star                                  |22 23 22.3922397672 +43 12 17.529394284|096.2886828074014 -11.8769906682112|  -4.460 -2.591   |9.34     |K0                 |    ~     ~    |    1|  522.411   pc  | -10.4253    +10.4253  |paral   |2020yCat.1350....0G
45  |HD 212514                                                                                                |Star                                  |22 23 59.4171818736 +43 19 14.302645824|096.4494662139740 -11.8414362196706|  19.553 -4.956   |8.76     |A2                 |    ~     ~    |    1|  195.137   pc  |  -1.9268     +1.9268  |paral   |2020yCat.1350....0G
46  |HD 212513                                                                                                |Star                                  |22 23 59.3956164624 +43 32 58.892234208|096.5769868737280 -11.6494011417112|   7.976 -3.416   |8.33     |A0                 |    ~     ~    |    1|  304.284   pc  |  -3.4165     +3.4165  |paral   |2020yCat.1350....0G
47  |BD+42 4381                                                                                               |High Proper Motion Star               |22 24 03.1549722072 +43 23 58.888252536|096.5032055603631 -11.7813492387097|-14.518 -55.458   |10.66    |F8                 |    ~     ~    |    1|  218.221   pc  |  -0.5524     +0.5524  |paral   |2020yCat.1350....0G
48  |BD+42 4383                                                                                               |High Proper Motion Star               |22 24 12.2368657104 +43 05 39.163713180|096.3566004689126 -12.0524592553214|-16.289 -48.145   |9.80     |K2                 |    ~     ~    |    1|  436.472   pc  | -11.2590    +11.2590  |paral   |2020yCat.1350....0G
49  |BD+42 4390                                                                                               |Star                                  |22 24 43.7659113456 +42 50 53.086367580|096.3019202457655 -12.3112336695541|   -0.514 0.320   |8.82     |M0                 |    ~     ~    |    1| 1030.397   pc  | -20.5973    +20.5973  |paral   |2020yCat.1350....0G
50  |AG+42 2164                                                                                               |Spectroscopic Binary                  |22 24 40.1216216592 +42 51 13.182876504|096.2954704690617 -12.3004922367547|  -10.928 3.732   |9.86     |G0                 |    ~     ~    |    1|  143.012   pc  |  -0.3211     +0.3211  |paral   |2020yCat.1350....0G
51  |BD+42 4395                                                                                               |Star                                  |22 26 15.9607461216 +42 52 25.497477084|096.5584627768248 -12.4422155417884|  -8.487 -1.261   |8.37     |K2                 |    ~     ~    |    1|  814.067   pc  | -12.6577    +12.6577  |paral   |2020yCat.1350....0G
