C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:51:28

Vmag< 11&dec< 0&rah >=20.0&rah< 20.25
-------------------------------------

Number of objects : 4696

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
1976|TYC 5172-1921-1                                                                                          |Star                                  |20 00 12.9891987456 -07 04 40.595342520|034.3885213077034 -18.4984068429768|   31.742 7.128    |10.41    |~              |    ~     ~    
1977|TYC 5172-2187-1                                                                                          |Star                                  |20 00 06.6293303208 -06 53 04.810338492|034.5588397651431 -18.3891288118529|  -2.499 -2.157    |10.52    |~              |    ~     ~    
1978|TYC 5172-2248-1                                                                                          |Star                                  |20 01 08.3613952056 -06 32 02.689035216|035.0095666958008 -18.4620050957160|  11.826 -6.209    |10.13    |~              |    ~     ~    
1979|TYC 5172-2443-1                                                                                          |Star                                  |20 02 09.6204225168 -06 13 29.575760448|035.4207492954006 -18.5509568146545| 45.518 -20.489    |10.69    |~              |    ~     ~    
1980|HD 190637                                                                                                |Star                                  |20 06 04.4094272184 -05 25 37.192115028|036.6358073132234 -19.0617088573310|   10.113 5.316    |9.36     |G8/K0(IV)      |    ~     ~    
1981|HD 190474                                                                                                |Star                                  |20 05 19.9622082840 -05 47 46.723952868|036.1991140443691 -19.0636823678236| -1.592 -12.882    |8.96     |K1/2III/IVCNII |    ~     ~    
1982|BD-06 5350                                                                                               |Star                                  |20 04 07.4391218520 -05 53 49.742104092|035.9610119474068 -18.8404768510321| -1.892 -14.272    |9.85     |K0             |    ~     ~    
1983|HD 190237                                                                                                |Star                                  |20 04 13.5165457632 -06 01 08.109569496|035.8579581176853 -18.9176375262919|    8.382 3.294    |9.42     |K0/1III/IV     |    ~     ~    
1984|BD-06 5355                                                                                               |Star                                  |20 04 51.6728688528 -06 05 40.016228388|035.8615400523342 -19.0928173885111|   2.584 -2.887    |10.09    |~              |    ~     ~    
1985|HD 190453                                                                                                |Star                                  |20 05 20.1948293760 -06 35 05.696302704|035.4527904119823 -19.4177836255479|  13.186 -5.577    |8.93     |A2IV/V         |    ~     ~    
1986|BD-06 5365                                                                                               |Star                                  |20 05 40.3 -06 04 34                   |035.9745 -19.2647                  |            ~ ~    |9.5      |~              |    ~     ~    
1987|HD 190556                                                                                                |Star                                  |20 05 40.8705561960 -05 54 28.761034248|036.1347742680722 -19.1913039355871|   -5.698 6.570    |9.20     |K(3)(III)      |    ~     ~    
1988|HD 190612                                                                                                |Star                                  |20 05 59.4591497616 -06 22 33.153351456|035.7281240177776 -19.4698783878229|    4.778 1.965    |9.87     |F0(IV)         |    ~     ~    
1989|BD-07 5164                                                                                               |Star                                  |20 05 29.8255306440 -07 00 08.078357052|035.0750579626881 -19.6391710469820|  -6.131 -3.378    |9.95     |~              |    ~     ~    
1990|HD 190665                                                                                                |High Proper Motion Star               |20 06 15.9136857720 -07 02 52.072627812|035.1215729552654 -19.8301780005012| -4.292 -77.965    |9.31     |F5V            |    ~     ~    
1991|BD-06 5349                                                                                               |Star                                  |20 03 46.4594871576 -05 42 27.749120256|036.0984400395559 -18.6776317577623| 12.348 -21.774    |9.97     |~              |    ~     ~    
1992|BD-06 5359                                                                                               |Star                                  |20 05 09.4388216400 -05 39 33.850522116|036.3076493380378 -18.9630941183493|-10.988 -29.402    |9.65     |~              |    ~     ~    
1993|BD-06 5362                                                                                               |High Proper Motion Star               |20 05 24.8082975480 -05 35 52.459598364|036.3960743160242 -18.9922739509742|  45.491 68.349    |10.18    |~              |    ~     ~    
1994|BD-05 5153                                                                                               |Star                                  |20 05 36.5050228920 -04 57 50.614719732|037.0166748319490 -18.7488385730285|-25.420 -24.143    |10.38    |~              |    ~     ~    
1995|BD-05 5154                                                                                               |High Proper Motion Star               |20 05 49.3412145840 -05 16 40.578358332|036.7465337780759 -18.9385607421105|  78.326 12.484    |9.80     |~              |    ~     ~    
1996|BD-05 5146                                                                                               |Spectroscopic Binary                  |20 04 03.8729151984 -04 57 33.526281744|036.8370992923855 -18.4040137029710|-21.640 -26.089    |10.58    |~              |    ~     ~    
1997|BD-06 5354                                                                                               |Spectroscopic Binary                  |20 04 36.6351125976 -05 41 08.818131696|036.2180064932948 -18.8535341151380|   7.129 -5.898    |10.68    |~              |    ~     ~    
1998|BD-05 5148                                                                                               |Star                                  |20 04 42.1896253824 -05 07 29.369261316|036.7575149897974 -18.6207883095131|   0.940 -8.709    |10.60    |~              |    ~     ~    
1999|BD-05 5150                                                                                               |Star                                  |20 04 50.8442840880 -05 02 45.050641800|036.8489822814951 -18.6170253689926|   1.665 -2.626    |10.39    |~              |    ~     ~    
2000|BD-05 5151                                                                                               |Star                                  |20 04 53.9900129880 -05 03 52.500112632|036.8376030617817 -18.6371555691089|   16.792 4.267    |10.472   |~              |    ~     ~    
2001|BD-05 5152                                                                                               |Star                                  |20 04 55.1451365904 -05 16 41.254393692|036.6388904168682 -18.7381040609852|  -2.292 -7.324    |10.47    |~              |    ~     ~    
2002|BD-07 5163                                                                                               |Star                                  |20 04 58.6680173784 -07 11 19.783545828|034.8368592675882 -19.6064441836064|   10.343 6.473    |10.55    |~              |    ~     ~    
2003|HD 190890                                                                                                |Star                                  |20 07 19.5108898848 -05 26 35.228812704|036.7696461358896 -19.3468885274820|  13.581 -2.926    |9.86     |K5             |    ~     ~    
2004|HD 191147                                                                                                |Star                                  |20 08 33.8362874400 -05 06 01.747989432|037.2416194390945 -19.4665975236110|  13.110 -1.035    |8.98     |G8IV/V         |    ~     ~    
2005|HD 191927                                                                                                |Star                                  |20 12 27.1382007000 -05 27 50.419389420|037.3641367246043 -20.4941375069081|   4.162 -4.803    |9.70     |B8/9III        |    ~     ~    
2006|HD 192171                                                                                                |Star                                  |20 13 39.2231775984 -04 50 29.305854744|038.1012165749060 -20.4772234764892|  1.530 -18.924    |9.70     |A8/F0III/IV    |    ~     ~    
2007|V* V1477 Aql                                                                                             |Cepheid Variable                      |20 14 05.3618965909 -04 50 16.349723368|038.1575839151628 -20.5721102446306|   21.375 1.457    |9.66     |F6/8           |    ~     ~    
2008|HD 190927                                                                                                |High Proper Motion Star               |20 07 26.1132249960 -05 45 33.615079596|036.4835105900230 -19.5140132343247|-97.891 -65.177    |10.06    |K5             |    ~     ~    
2009|HD 190926                                                                                                |Star                                  |20 07 27.3308210976 -05 39 04.492033812|036.5882766406615 -19.4697979704406| -5.815 -18.404    |10.2     |K5             |    ~     ~    
2010|BD-06 5380                                                                                               |Star                                  |20 08 12.0026375496 -05 45 29.233721916|036.5756528122364 -19.6833004510655| 12.854 -35.478    |10.26    |G0             |    ~     ~    
2011|HD 191479                                                                                                |Star                                  |20 10 18.8663885520 -05 38 35.561609520|036.9370949008975 -20.1008509951520|  20.687 -0.887    |9.95     |A9V            |    ~     ~    
2012|HD 192008                                                                                                |Star                                  |20 12 53.0946728400 -05 50 19.757548752|037.0589816106461 -20.7596698935385| 15.861 -21.156    |9.22     |G8IV           |    ~     ~    
2013|HD 192064                                                                                                |Star                                  |20 13 13.9283297712 -05 46 23.274930216|037.1633883415169 -20.8070532463393|  2.836 -14.451    |9.76     |A8V            |    ~     ~    
2014|HD 192264                                                                                                |Star                                  |20 14 13.6333522104 -05 38 43.955126592|037.4050307043947 -20.9701042027404|   6.467 -5.078    |9.89     |F8V            |    ~     ~    
2015|BD-05 5193                                                                                               |Star                                  |20 14 52.3141735008 -05 11 57.047126460|037.9088538564255 -20.9103616090283|   -8.559 0.831    |10.11    |~              |    ~     ~    
2016|BD-06 5373                                                                                               |Star                                  |20 07 11.052 -06 10 25.35              |036.060857 -19.644488              |      12.4 -0.9    |10.40    |~              |    ~     ~    
2017|HD 190874                                                                                                |Star                                  |20 07 14.3792691936 -06 20 09.468564324|035.9133445867308 -19.7294950465413|  -3.163 -9.813    |9.45     |A5IV-V         |    ~     ~    
2018|HD 190891                                                                                                |Star                                  |20 07 18.9162070008 -05 55 17.187494268|036.3156628975512 -19.5603312112262| 18.327 -19.986    |10.31    |F8             |    ~     ~    
2019|HD 190928                                                                                                |Star                                  |20 07 28.9415688000 -06 19 13.278220500|035.9568578185264 -19.7764350757028|  -2.072 -6.238    |9.36     |A3/5II         |    ~     ~    
2020|BD-06 5381                                                                                               |Star                                  |20 08 40.3334346672 -06 31 24.863626416|035.9041621684900 -20.1317141116916|    6.733 0.305    |10.27    |~              |    ~     ~    
2021|HD 191210                                                                                                |Star                                  |20 08 57.2637162384 -06 02 39.905116512|036.3936108812792 -19.9796627514810|  -3.942 -7.003    |10.75    |A3             |    ~     ~    
2022|HD 191265                                                                                                |Star                                  |20 09 15.6894107016 -06 33 30.764754072|035.9405154682745 -20.2782736914879|   -3.044 1.426    |10.43    |A5/7II         |    ~     ~    
2023|BD-06 5385                                                                                               |Star                                  |20 09 32.4607407864 -06 30 13.401449172|036.0258920253879 -20.3158721640585|    1.711 3.906    |10.48    |~              |    ~     ~    
2024|HD 191500                                                                                                |Star                                  |20 10 29.6263450320 -06 09 48.638032524|036.4634166581302 -20.3750365344643|-43.079 -14.076    |7.93     |G5V            |    ~     ~    
2025|HD 191619                                                                                                |Star                                  |20 11 05.9547831864 -06 05 15.666398376|036.6078731267797 -20.4754100184407|    5.181 1.800    |6.86     |B9.5V          |    ~     ~    
2026|BD-06 5396                                                                                               |Star                                  |20 11 24.9713113488 -06 32 00.622645692|036.2199078563535 -20.7457680839063|  6.260 -42.443    |10.19    |~              |    ~     ~    
2027|HD 191722                                                                                                |Star                                  |20 11 36.0855280584 -06 08 59.872306020|036.6083949736131 -20.6149123457683|  24.835 -9.129    |8.30     |F2V            |    ~     ~    
2028|HD 191751                                                                                                |High Proper Motion Star               |20 11 43.6302063096 -06 08 02.401639440|036.6386441826626 -20.6356558875045|  83.648 14.812    |9.15     |F3IV           |    ~     ~    
2029|HD 191928                                                                                                |Star                                  |20 12 29.0375300832 -05 51 55.934471124|036.9853782397576 -20.6827432796293|   0.897 -6.008    |10.36    |A7/8           |    ~     ~    
2030|HD 191949                                                                                                |Star                                  |20 12 38.6109938784 -06 21 58.094566596|036.5261740311585 -20.9433736564064|  1.808 -17.538    |6.91     |A0V            |    ~     ~    
2031|BD-06 5409                                                                                               |Star                                  |20 13 38.4827424504 -06 30 25.324560468|036.5102977952645 -21.2281254128539|  -9.015 -5.219    |10.15    |~              |    ~     ~    
2032|HD 192290                                                                                                |Star                                  |20 14 24.3562908768 -06 02 50.595261432|037.0423377090655 -21.1912983539348|   34.197 0.100    |7.45     |F2III          |    ~     ~    
2033|BD-06 5412                                                                                               |Star                                  |20 14 25.1669185224 -06 02 36.297891420|037.0477637665359 -21.1925065764606|  -6.479 -7.885    |9.10     |~              |    ~     ~    
2034|BD-07 5168                                                                                               |Star                                  |20 06 40.3004206176 -06 57 14.436151452|035.2585353080045 -19.8788894424271|   0.942 -0.719    |9.50     |K5             |    ~     ~    
2035|HD 190754                                                                                                |Eclipsing Binary                      |20 06 43.8377347056 -07 00 52.471306440|035.2077396097308 -19.9189004618151| -10.873 -7.494    |7.99     |G8III/IV       |    ~     ~    
2036|HD 190929                                                                                                |Star                                  |20 07 35.9491670880 -06 46 44.707482516|035.5341383951338 -20.0072385905674|  -3.197 -6.377    |9.91     |G8/K0          |    ~     ~    
2037|HD 191030                                                                                                |Star                                  |20 08 07.5746811000 -06 45 40.644865116|035.6131596418282 -20.1164626860811|  3.832 -19.039    |7.05     |B8II           |    ~     ~    
2038|HD 191148                                                                                                |Star                                  |20 08 42.9798634944 -07 01 13.954743408|035.4351638249350 -20.3629796735630|  1.441 -10.439    |7.94     |A2III/IV       |    ~     ~    
2039|HD 191343                                                                                                |Star                                  |20 09 37.0689582550 -06 37 17.412011601|035.9226029714265 -20.3855701082897|  23.476 -1.338    |9.96     |G6(V)          |    ~     ~    
2040|BD-07 5187                                                                                               |Spectroscopic Binary                  |20 09 37.2958341336 -06 42 24.632779068|035.8415713412437 -20.4245020598774|  11.684 -3.678    |10.63    |~              |    ~     ~    
2041|HD 191427                                                                                                |Star                                  |20 10 03.5624773536 -06 57 50.979414672|035.6472693311550 -20.6364251711675|   4.064 10.422    |9.76     |K2             |    ~     ~    
2042|HD 191575                                                                                                |Star                                  |20 10 51.2032520352 -06 37 06.088601604|036.0719611333502 -20.6586826052347|  21.411 -6.030    |9.44     |G8V            |    ~     ~    
2043|BD-07 5195                                                                                               |Star                                  |20 11 02.7367884192 -06 56 58.848848988|035.7775949233427 -20.8491580826169|  21.375 -3.218    |10.28    |~              |    ~     ~    
2044|HD 191620                                                                                                |Star                                  |20 11 06.0 -06 58 00                   |035.7677 -20.8688                  |            ~ ~    |10.6     |A0             |    ~     ~    
2045|HD 191710                                                                                                |Star                                  |20 11 34.0879445304 -06 47 44.529460908|035.9869707784190 -20.8966532066196|   7.355 -0.271    |9.72     |K2             |    ~     ~    
2046|HD 191723                                                                                                |Star                                  |20 11 41.3554404744 -06 57 31.935719340|035.8449072030949 -20.9962775492433|-10.758 -13.987    |9.24     |K(5)           |    ~     ~    
2047|HD 191820                                                                                                |Star                                  |20 12 04.0201216944 -06 57 16.716419928|035.8936808250996 -21.0783318951564|  -1.901 -0.135    |9.20     |K0/1III        |    ~     ~    
2048|BD-07 5213                                                                                               |Star                                  |20 13 02.0294444160 -06 49 38.715797820|036.1304854148518 -21.2364294453032| -3.034 -11.165    |10.44    |~              |    ~     ~    
2049|HD 192149                                                                                                |Star                                  |20 13 37.4361683184 -06 55 21.481890888|036.1091234818269 -21.4099867266152| -21.464 -4.756    |9.19     |K0(III)        |    ~     ~    
2050|HD 192307                                                                                                |Star                                  |20 14 30.5844073608 -06 40 24.540033396|036.4541506231761 -21.4954797809330|  19.166 -4.042    |8.36     |K0III          |    ~     ~    
2051|BD-06 5386                                                                                               |Star                                  |20 09 32.4823792992 -05 55 49.001484288|036.5719711275879 -20.0586776690734|   0.930 -2.601    |10.04    |~              |    ~     ~    
2052|BD-05 5171                                                                                               |Star                                  |20 09 37.6784494848 -04 56 46.689658620|037.5151697434828 -19.6325484936838|  -3.775 -1.673    |10.50    |~              |    ~     ~    
2053|BD-05 5177                                                                                               |Star                                  |20 10 32.0948105784 -05 23 45.428513280|037.1982829528321 -20.0379131907367|   1.701 -9.438    |10.68    |~              |    ~     ~    
2054|BD-05 5180                                                                                               |Star                                  |20 10 51.4091237352 -04 44 51.117345312|037.8513274336853 -19.8144350141869|  -7.139 -4.197    |10.83    |~              |    ~     ~    
2055|BD-06 5400                                                                                               |High Proper Motion Star               |20 11 59.9495785176 -05 50 03.577227036|036.9570135706672 -20.5610628614421|-17.491 -59.634    |10.57    |~              |    ~     ~    
2056|BD-05 5182                                                                                               |Spectroscopic Binary                  |20 12 04.7824117488 -04 54 21.219848244|037.8492640547246 -20.1577699338399| -3.683 -12.286    |10.563   |~              |    ~     ~    
2057|BD-05 5185                                                                                               |Star                                  |20 12 50.9067146112 -05 32 23.773000092|037.3395508109012 -20.6164220586004|   3.313 -4.528    |10.16    |~              |    ~     ~    
2058|BD-05 5186                                                                                               |Star                                  |20 13 01.3493537328 -05 28 04.602196812|037.4290890430390 -20.6224031775257| 16.189 -22.908    |10.92    |~              |    ~     ~    
2059|BD-05 5191                                                                                               |Star                                  |20 14 09.9120170400 -04 59 57.815023308|038.0132684872887 -20.6626660442330|   -0.281 4.170    |10.28    |~              |    ~     ~    
2060|BD-06 5413                                                                                               |Star                                  |20 14 28.3110689592 -05 44 07.755636660|037.3486177399462 -21.0650799674452|   2.265 -2.404    |10.51    |~              |    ~     ~    
2061|BD-06 5414                                                                                               |High Proper Motion Star               |20 14 35.8123308576 -05 54 09.062357076|037.2039628728659 -21.1683110757061|-29.876 -46.021    |10.151   |~              |    ~     ~    
2062|BD-05 5157                                                                                               |Spectroscopic Binary                  |20 06 25.2902277240 -05 27 55.730510280|036.6408788127629 -19.1563627555256|   0.330 -3.117    |10.43    |~              |    ~     ~    
2063|BD-05 5160                                                                                               |High Proper Motion Star               |20 06 30.6556688136 -05 00 36.113646492|037.0811940559703 -18.9699919087806| -3.714 -65.247    |10.51    |~              |    ~     ~    
2064|BD-05 5161                                                                                               |Star                                  |20 06 40.6387256976 -05 01 19.977028932|037.0896020378203 -19.0124448732729| -9.129 -10.921    |9.6      |~              |    ~     ~    
2065|BD-05 5163                                                                                               |Star                                  |20 06 52.0527367584 -05 24 32.045657976|036.7474365657303 -19.2298254310898| -13.846 -6.208    |10.17    |~              |    ~     ~    
2066|BD-07 5171                                                                                               |Star                                  |20 07 07.8288721944 -07 01 25.177196640|035.2459548191451 -20.0118294609359|  1.350 -25.577    |10.04    |~              |    ~     ~    
2067|BD-05 5165                                                                                               |Star                                  |20 07 11.5031704944 -05 13 53.060099304|036.9537408503330 -19.2214620953065|  -7.926 -8.437    |10.61    |~              |    ~     ~    
2068|BD-07 5182                                                                                               |Star                                  |20 08 38.0672115528 -06 43 37.447304916|035.7057041483658 -20.2141564105979| -10.303 -7.588    |10.54    |~              |    ~     ~    
2069|BD-06 5388                                                                                               |Star                                  |20 10 01.0963294440 -06 21 56.400363828|036.2141504552461 -20.3601056637173|   3.927 -9.996    |10.07    |~              |    ~     ~    
2070|BD-06 5389                                                                                               |Star                                  |20 10 14.8987692600 -06 25 12.405851472|036.1895230066128 -20.4355903918799|  -1.828 -4.048    |10.05    |~              |    ~     ~    
2071|BD-07 5197                                                                                               |Star                                  |20 11 08.7102251208 -06 36 19.913024376|036.1188414455677 -20.7177722583245| -4.618 -10.027    |9.92     |~              |    ~     ~    
2072|BD-05 5188                                                                                               |Star                                  |20 13 10.1097623472 -05 32 13.074712044|037.3809388069062 -20.6860735173142|  -5.636 -5.661    |10.34    |~              |    ~     ~    
2073|HD 191085                                                                                                |Star                                  |20 08 22.6174218360 -07 06 20.398943448|035.3139404992204 -20.3253416388401|    8.585 4.524    |8.59     |G8III/IV       |    ~     ~    
2074|HD 192265                                                                                                |Star                                  |20 14 13.6513330776 -07 00 40.213114200|036.0956683401660 -21.5835284317870|  4.795 -11.487    |8.86     |K4/5           |    ~     ~    
2075|BD-07 5222                                                                                               |Star                                  |20 14 21.4 -06 58 34                   |036.1448 -21.5966                  |            ~ ~    |9.2      |~              |    ~     ~    
2076|BD-07 5225                                                                                               |Star                                  |20 14 47.6807665608 -06 57 42.671912796|036.2106307746379 -21.6875438583677|  -3.404 -4.504    |9.91     |~              |    ~     ~    
2077|BD-05 5187                                                                                               |Star                                  |20 13 05.0341565832 -05 28 30.598264488|037.4296160221185 -20.6392994345101|   1.770 -9.536    |10.65    |~              |    ~     ~    
2078|TYC 5168-823-1                                                                                           |Spectroscopic Binary                  |20 05 57.4588021872 -05 34 21.717607584|036.4844670799552 -19.1017580824580|   5.155 -0.365    |10.28    |~              |    ~     ~    
2079|TYC 5169-1364-1                                                                                          |Star                                  |20 10 31.5478072440 -05 08 08.408372820|037.4439872421964 -19.9177922135639|  -0.356 -6.027    |10.81    |~              |    ~     ~    
2080|TYC 5169-1635-1                                                                                          |Star                                  |20 08 43.0912674288 -05 23 13.438566708|036.9890240407215 -19.6307390842120|    6.587 0.647    |10.92    |~              |    ~     ~    
2081|TYC 5169-2172-1                                                                                          |Spectroscopic Binary                  |20 07 40.5309095160 -05 06 54.202024404|037.1214299861536 -19.2760823619708|  9.290 -16.056    |10.92    |~              |    ~     ~    
2082|TYC 5172-388-1                                                                                           |Star                                  |20 04 54.5955485088 -05 58 24.480369084|035.9816927809180 -19.0493670867115|  -0.766 -7.466    |10.30    |~              |    ~     ~    
2083|TYC 5172-701-1                                                                                           |High Proper Motion Star               |20 06 19.0995306768 -07 04 14.945164212|035.1058570546992 -19.8521993198779| 29.333 -40.698    |10.36    |~              |    ~     ~    
2084|TYC 5172-724-1                                                                                           |Star                                  |20 05 38.1990632760 -05 53 01.269558276|036.1524920283433 -19.1704902622720|   14.676 6.640    |10.23    |~              |    ~     ~    
2085|TYC 5172-1348-1                                                                                          |Star                                  |20 04 33.0299225016 -05 58 39.540575856|035.9353108489379 -18.9713849356346|   6.332 -3.708    |10.59    |~              |    ~     ~    
2086|TYC 5172-1892-1                                                                                          |Star                                  |20 06 43.0905262296 -06 04 42.593041056|036.0960206830307 -19.4982468894224|   2.004 -7.386    |10.696   |~              |    ~     ~    
2087|TYC 5172-1928-1                                                                                          |Star                                  |20 06 59.4976435632 -06 30 09.714212172|035.7256237017516 -19.7489329847004|  6.854 -25.478    |10.49    |~              |    ~     ~    
2088|TYC 5172-2148-1                                                                                          |Star                                  |20 05 05.1682073040 -06 01 07.090593312|035.9597881849547 -19.1087910472203|  -6.745 -8.081    |10.42    |~              |    ~     ~    
2089|TYC 5172-2256-1                                                                                          |Star                                  |20 05 36.2314646280 -06 13 36.016722804|035.8239477921248 -19.3170838401998|   4.273 -3.234    |10.77    |~              |    ~     ~    
2090|TYC 5172-2526-1                                                                                          |Star                                  |20 07 08.5053082800 -06 35 58.872895800|035.6510844263919 -19.8255992764110|  -0.072 -1.540    |10.65    |~              |    ~     ~    
2091|TYC 5173-602-1                                                                                           |Star                                  |20 14 39.5922612216 -05 50 10.205085660|037.2750253004751 -21.1523161048941| -11.226 -9.965    |10.50    |~              |    ~     ~    
2092|TYC 5173-786-1                                                                                           |Star                                  |20 12 43.0766211624 -05 50 07.178289432|037.0422716351499 -20.7210387221417|   3.903 -7.412    |10.73    |~              |    ~     ~    
2093|TYC 5173-1035-1                                                                                          |Star                                  |20 11 47.8951048968 -06 43 35.228074260|036.0806021864012 -20.9168759627086|    6.493 2.362    |10.76    |~              |    ~     ~    
2094|TYC 5173-1059-1                                                                                          |Star                                  |20 14 57.1908497856 -06 19 24.299325516|036.8434500674765 -21.4369845235716|-14.100 -46.532    |10.90    |~              |    ~     ~    
2095|TYC 5173-1297-1                                                                                          |Star                                  |20 11 41.4455825520 -06 23 23.330298228|036.3899547677179 -20.7424059436729|   6.204 -3.921    |10.35    |~              |    ~     ~    
2096|TYC 5173-1466-1                                                                                          |High Proper Motion Star               |20 13 22.8720735864 -06 56 27.928625748|036.0625442391815 -21.3642871717160| 25.122 -78.317    |10.53    |~              |    ~     ~    
2097|TYC 5173-1476-1                                                                                          |Star                                  |20 13 45.8162380296 -06 41 04.840874628|036.3543951738759 -21.3347779816255|  -7.514 -5.791    |10.85    |~              |    ~     ~    
2098|TYC 5173-1503-1                                                                                          |Star                                  |20 13 35.8203122712 -06 41 02.629057992|036.3351324642132 -21.2975013052538|   2.533 -1.813    |10.48    |~              |    ~     ~    
2099|TYC 5173-1565-1                                                                                          |Star                                  |20 13 08.5686531504 -06 58 02.710619544|036.0089398477550 -21.3230538051027|   3.818 -3.408    |10.91    |~              |    ~     ~    
2100|TYC 5173-1801-1                                                                                          |Star                                  |20 11 46.6238872584 -06 34 24.895806240|036.2244563586827 -20.8438570696991|  -6.769 -3.363    |10.61    |~              |    ~     ~    
2101|TYC 5173-1858-1                                                                                          |Star                                  |20 08 56.7439958160 -07 00 33.480138528|035.4728941901532 -20.4089752467952|  -0.456 -4.172    |9.89     |~              |    ~     ~    
2102|TYC 5173-2255-1                                                                                          |Star                                  |20 07 42.0255805608 -06 09 36.358069140|036.1348955949581 -19.7530680782740|  18.048 -9.691    |10.58    |~              |    ~     ~    
2103|IRAS 20000-0329                                                                                          |Star                                  |20 02 37.8829391880 -03 20 32.661902724|038.1767475021570 -17.3473294414105| -9.799 -19.917    |8.23     |G8III/IV       |    ~     ~    
2104|BD-04 4989                                                                                               |Long-Period Variable Candidate        |20 00 25.7067878856 -03 40 25.450366476|037.6044494347415 -17.0111744144309| -1.509 -11.419    |9.52     |K2             |    ~     ~    
2105|HD 189620                                                                                                |Star                                  |20 00 59.9402023536 -03 47 46.260638772|037.5587717090188 -17.1937858570398|  4.138 -18.727    |9.04     |B9V            |    ~     ~    
2106|HD 189713                                                                                                |Star                                  |20 01 34.4393274000 -03 49 23.820932496|037.6023106295584 -17.3337055644357|  -12.525 8.690    |9.65     |G8V            |    ~     ~    
2107|HD 189582                                                                                                |Star                                  |20 00 48.6133297176 -04 18 41.624614404|037.0560621058836 -17.3872790643537| -5.199 -37.029    |7.51     |K4III          |    ~     ~    
2108|BD-04 4993                                                                                               |Star                                  |20 00 54.8981564088 -04 31 35.056134480|036.8679885433824 -17.5083044159296|-13.069 -25.845    |9.99     |G2             |    ~     ~    
2109|HD 189812                                                                                                |Emission-line Star                    |20 02 00.9064712544 -03 51 53.591710284|037.6163453174673 -17.4505747241473|   5.664 -4.732    |9.55     |A1IV           |    ~     ~    
2110|BD-04 5002                                                                                               |Star                                  |20 02 55.4204570328 -04 28 46.949016288|037.1507824593744 -17.9328560217589|   5.941 -5.118    |9.36     |K2             |    ~     ~    
2111|HD 190076                                                                                                |Star                                  |20 03 24.4621620744 -04 22 03.290290284|037.3134991368476 -17.9891513928848|   0.055 -3.908    |8.83     |A4IV           |    ~     ~    
2112|HD 190157                                                                                                |High Proper Motion Star               |20 03 43.5555310128 -04 22 31.111791024|037.3443089621945 -18.0632710203402|-69.755 -145.276   |8.79     |G5V            |    ~     ~    
2113|HD 190052                                                                                                |Spectroscopic Binary                  |20 03 13.6206703848 -04 37 51.251005380|037.0453941615334 -18.0689754198908|  -9.313 17.105    |8.48     |K0V            |    ~     ~    
2114|BD-04 4990                                                                                               |Star                                  |20 00 33.3681601392 -03 49 12.216515052|037.4836370570542 -17.1064938691419|   4.299 -2.624    |10.84    |~              |    ~     ~    
2115|BD-02 5164                                                                                               |Double or Multiple Star               |20 00 51.888144 -02 29 38.89932        |038.750429778 -16.564395999        |      2.6 -44.2    |10.237   |~              |    ~     ~    
2116|BD-03 4766                                                                                               |Star                                  |20 00 55.9757954832 -02 43 18.159363048|038.5481082862983 -16.6847920602309|  10.502 -0.666    |9.95     |~              |    ~     ~    
2117|BD-03 4770                                                                                               |Star                                  |20 02 36.9016103352 -03 23 23.535867156|038.1306285555749 -17.3655478771790|  16.963 -3.759    |10.33    |~              |    ~     ~    
2118|BD-05 5141                                                                                               |Star                                  |20 02 47.5745554608 -04 35 54.791026440|037.0239569121452 -17.9579238327196|  8.979 -22.725    |10.22    |~              |    ~     ~    
2119|BD-03 4772                                                                                               |Star                                  |20 03 04.0098966504 -03 31 32.636126820|038.0585134579309 -17.5281416294478|  -8.668 -5.469    |10.29    |~              |    ~     ~    
2120|BD-02 5173                                                                                               |Star                                  |20 03 38.7297888720 -02 32 42.144416592|039.0397974206234 -17.2033432730854|   0.765 -2.859    |10.696   |~              |    ~     ~    
2121|V* V1359 Aql                                                                                             |Rotating Variable                     |20 03 39.9670074216 -03 22 38.841354624|038.2687654255383 -17.5927101094084| 13.275 -20.126    |9.060    |G5             |    ~     ~    
2122|BD-03 4764                                                                                               |Star                                  |20 00 21.0499920816 -03 16 04.858862628|037.9718968109558 -16.8077321128575|  12.953 -1.951    |10.68    |~              |    ~     ~    
2123|BD-04 4996                                                                                               |Star                                  |20 01 22.2909162888 -04 32 47.277549060|036.9035082428712 -17.6187641315177| -6.483 -18.805    |10.59    |~              |    ~     ~    
2124|BD-04 4997                                                                                               |Star                                  |20 01 23.0519386512 -04 28 05.798549676|036.9780692149560 -17.5860147254078| -0.675 -25.000    |10.73    |~              |    ~     ~    
2125|BD-04 4999                                                                                               |Star                                  |20 01 41.4276071448 -03 36 15.331106844|037.8201404606480 -17.2591348703500|    4.354 3.789    |10.47    |~              |    ~     ~    
2126|TYC 5164-395-1                                                                                           |Star                                  |20 03 03.6385795968 -02 56 01.951077228|038.6081702495311 -17.2539777049177|  7.296 -35.506    |10.56    |~              |    ~     ~    
