C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:08

dec >=0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4255

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
65  |HD 275070                                                                                                                                   |Star                                |03 18 24.8590505352 +40 40 36.265460916|150.8238274708841 -14.1023473360769|  24.594 12.931  |9.61     |F8                |    ~     ~    |    1|  195.611   pc  |  -0.5969     +0.5969  |paral   |2020yCat.1350....0G
66  |HD 275071                                                                                                                                   |Star                                |03 19 06.4402696344 +40 35 39.622011576|150.9837723185810 -14.0988380727477|    4.553 4.912  |9.79     |K5                |    ~     ~    |    1|  949.577   pc  | -17.9438    +17.9438  |paral   |2020yCat.1350....0G
67  |HD 275074                                                                                                                                   |Star                                |03 17 24.8672228688 +40 13 10.056295992|150.9182192694522 -14.5890983171677|   2.966 -2.287  |10.00    |G0                |    ~     ~    |    1|  254.848   pc  |  -1.4289     +1.4289  |paral   |2020yCat.1350....0G
68  |HD 275081                                                                                                                                   |Star                                |03 17 53.7280544520 +40 06 58.535318772|151.0560853202608 -14.6251029905100|   3.186 -9.357  |10.28    |A0                |    ~     ~    |    1|  365.952   pc  |  -3.2007     +3.2007  |paral   |2020yCat.1350....0G
69  |HD 275174                                                                                                                                   |Star                                |03 19 48.0618269736 +40 38 54.012653304|151.0661671069229 -13.9811364898263|  9.360 -13.647  |10.44    |F5                |    ~     ~    |    1|  469.373   pc  |  -6.0806     +6.0806  |paral   |2020yCat.1350....0G
70  |HD 275177                                                                                                                                   |Star                                |03 21 19.7494535256 +40 30 17.937586440|151.3968453491141 -13.9391479679834|  0.569 -10.321  |9.95     |G0                |    ~     ~    |    1|  266.149   pc  |  -1.0484     +1.0484  |paral   |2020yCat.1350....0G
71  |HD 275181                                                                                                                                   |Star                                |03 20 05.3149118472 +40 26 06.920174796|151.2346964358721 -14.1283130531374|  -12.925 1.418  |10.57    |F5                |    ~     ~    |    1|  338.341   pc  |  -2.0148     +2.0148  |paral   |2020yCat.1350....0G
72  |TYC 2852-2028-1                                                                                                                             |Star                                |03 16 17.6970036984 +39 51 49.699834992|150.9332253199312 -15.0040553803926|  -7.776 -4.530  |10.97    |~                 |    ~     ~    |    1|  882.457   pc  | -14.6401    +14.6401  |paral   |2020yCat.1350....0G
73  |HD 275061                                                                                                                                   |Star                                |03 19 01.9504415952 +41 03 26.672114016|150.7089231692482 -13.7200804979302|    0.274 2.443  |10.42    |K0                |    ~     ~    |    1|  762.021   pc  | -10.9748    +10.9748  |paral   |2020yCat.1350....0G
74  |HD 275106                                                                                                                                   |Star                                |03 16 31.9994862504 +39 00 51.663918708|151.4538672430981 -15.6907979103673|  -1.168 -5.324  |8.72     |K0                |    ~     ~    |    1|  548.035   pc  |  -7.5686     +7.5686  |paral   |2020yCat.1350....0G
75  |HD 20236                                                                                                                                    |High Proper Motion Star             |03 16 32.9281260672 +38 38 02.230522080|151.6729457413757 -16.0074940124678| 48.187 -62.117  |7.03     |K2                |    ~     ~    |    1|  229.169   pc  |  -1.7961     +1.7961  |paral   |2020yCat.1350....0G
76  |HD 275111                                                                                                                                   |Star                                |03 18 49.0347178752 +38 43 17.400815580|152.0068212313533 -15.6904547848750|   14.910 4.669  |9.47     |F8                |    ~     ~    |    1|  139.866   pc  |  -0.3952     +0.3952  |paral   |2020yCat.1350....0G
77  |HD 275121                                                                                                                                   |Star                                |03 18 23.9426490048 +38 20 08.271264552|152.1583526505772 -16.0569799684006|   3.019 -8.901  |9.71     |A2                |    ~     ~    |    1|  382.673   pc  |  -3.7195     +3.7195  |paral   |2020yCat.1350....0G
78  |HD 275223                                                                                                                                   |Star                                |03 20 18.8499237744 +38 25 06.175831188|152.4346772597003 -15.7792874908312| -9.670 -20.656  |8.86     |F0                |    ~     ~    |    1|  233.623   pc  |  -1.2499     +1.2499  |paral   |2020yCat.1350....0G
79  |HD 275108                                                                                                                                   |High Proper Motion Star             |03 15 24.6970985472 +38 45 24.953620824|151.4096868974915 -16.0256208331849| 57.671 -37.871  |10.76    |G0                |    ~     ~    |    1|  150.254   pc  |  -0.5689     +0.5689  |paral   |2020yCat.1350....0G
80  |HD 275110                                                                                                                                   |Star                                |03 17 48.9041596824 +38 42 18.762072156|151.8469242823305 -15.8121136811450|  -4.254 -2.370  |10.94    |A2                |    ~     ~    |    1| 1078.051   pc  | -35.7956    +35.7956  |paral   |2020yCat.1350....0G
81  |HD 275221                                                                                                                                   |Star                                |03 19 10.5409786968 +38 31 08.426321112|152.1841197095126 -15.8200229147117|   4.697 -7.629  |9.14     |K5                |    ~     ~    |    1|  840.124   pc  | -20.5390    +20.5390  |paral   |2020yCat.1350....0G
82  |HD 275226                                                                                                                                   |Star                                |03 20 17.9285766984 +38 05 27.358188720|152.6226782420623 -16.0523181382345|   3.019 -4.300  |10.79    |M                 |    ~     ~    |    1| 1225.490   pc  | -32.4394    +32.4394  |paral   |2020yCat.1350....0G
83  |HD 275325                                                                                                                                   |Star                                |03 23 18.0610853496 +38 05 03.823834344|153.1335087178817 -15.7242642419478| -15.143 15.118  |10.81    |G5                |    ~     ~    |    1|  244.894   pc  |  -1.0315     +1.0315  |paral   |2020yCat.1350....0G
84  |HD 275230                                                                                                                                   |Star                                |03 22 24.9801588624 +37 45 24.376112604|153.1776524310582 -16.0930137073170|   2.926 -4.186  |10.71    |F0                |    ~     ~    |    1|  828.981   pc  | -16.9741    +16.9741  |paral   |2020yCat.1350....0G
85  |HD 275229                                                                                                                                   |High Proper Motion Star             |03 22 35.6134445472 +37 59 29.397020784|153.0691742682755 -15.8798343827783| 37.175 -46.254  |10.65    |G0                |    ~     ~    |    1|  235.938   pc  |  -0.9519     +0.9519  |paral   |2020yCat.1350....0G
86  |HD 275101                                                                                                                                   |Star                                |03 15 38.7740210016 +39 16 50.944885356|151.1532809530375 -15.5612286071407|  -6.508 -7.791  |10.33    |G5                |    ~     ~    |    1|  567.054   pc  | -32.3158    +32.3158  |paral   |2020yCat.1350....0G
87  |HD 275105                                                                                                                                   |Star                                |03 17 51.3309072792 +39 00 44.165037672|151.6779741613347 -15.5515624355573|   8.503 -6.154  |10.23    |K0                |    ~     ~    |    1| 1086.957   pc  | -21.8573    +21.8573  |paral   |2020yCat.1350....0G
88  |HD 275109                                                                                                                                   |Star                                |03 16 55.6285438824 +38 43 51.726745488|151.6818037571282 -15.8858221138201|  -5.243 -0.627  |10.20    |K5                |    ~     ~    |    1| 1087.903   pc  | -34.5591    +34.5591  |paral   |2020yCat.1350....0G
89  |HD 275280                                                                                                                                   |Star                                |03 23 13.0396103736 +40 15 03.728349036|151.8503493239688 -13.9476952452421|  -6.715 -6.487  |10.44    |A5                |    ~     ~    |    1|  486.523   pc  |  -4.0477     +4.0477  |paral   |2020yCat.1350....0G
90  |HD 275186                                                                                                                                   |Star                                |03 22 19.8448546488 +40 12 00.113476464|151.7357345026236 -14.0850759145320|   14.748 3.866  |10.52    |K7                |    ~     ~    |    1|  693.770   pc  |  -8.0861     +8.0861  |paral   |2020yCat.1350....0G
91  |HD 275281                                                                                                                                   |Star                                |03 22 41.2094955936 +40 14 14.611258032|151.7720571303505 -14.0159768606687|   2.385 -0.784  |10.64    |G5                |    ~     ~    |    1|  818.733   pc  |  -8.9823     +8.9823  |paral   |2020yCat.1350....0G
92  |AG+39 384                                                                                                                                   |Long-Period Variable Candidate      |03 17 38.9735013024 +39 33 01.904157612|151.3365046569741 -15.1239290089114|  1.349 -36.914  |9.60     |M1                |    ~     ~    |    1|  456.517   pc  | -10.212     +10.212   |paral   |2020yCat.1350....0G
93  |HD 20366                                                                                                                                    |Star                                |03 17 59.7021891672 +39 43 38.434273032|151.2934684319114 -14.9396482691063| 43.032 -21.282  |8.62     |F8                |    ~     ~    |    1|  132.175   pc  |  -0.3512     +0.3512  |paral   |2020yCat.1350....0G
94  |HD 275089                                                                                                                                   |Star                                |03 18 15.7454327424 +39 40 31.224076284|151.3675321124425 -14.9547789524235| 15.334 -12.677  |9.56     |F8                |    ~     ~    |    1|  422.137   pc  |  -2.6195     +2.6195  |paral   |2020yCat.1350....0G
95  |HD 275201                                                                                                                                   |Star                                |03 20 07.6741569192 +39 34 57.243310896|151.7302283986080 -14.8332520390709|  -4.435 -5.134  |9.93     |G5                |    ~     ~    |    1|  828.363   pc  | -13.1061    +13.1061  |paral   |2020yCat.1350....0G
