C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:07

dec< 0&rah >=9.75&rah< 10.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6870

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
52  |HD 85181                                                                                                 |Star                              |09 50 10.4083191432 -02 09 09.183117492|239.4065619791205 +37.4642659965047|  9.477 -26.819    |8.97     |F0V            |    ~     ~    |    1|  313.322   pc  |  -2.1598     +2.1598  |paral   |2020yCat.1350....0G
53  |HD 85220                                                                                                 |Star                              |09 50 24.5602575264 -02 02 19.580668440|239.3369969613983 +37.5799112873310| -19.158 -7.320    |9.30     |F2V            |    ~     ~    |    1|  269.986   pc  |  -3.0105     +3.0105  |paral   |2020yCat.1350....0G
54  |HD 85379                                                                                                 |High Proper Motion Star           |09 51 19.5778621848 -01 51 30.250060704|239.3298157938002 +37.8714436528452|85.463 -115.807    |7.35     |K2III          |    ~     ~    |    1|   89.738   pc  |  -0.3286     +0.3286  |paral   |2020yCat.1350....0G
55  |BD-01 2317                                                                                               |High Proper Motion Star           |09 53 54.8248790304 -02 08 56.249670156|240.1210919778491 +38.2090510636460| -107.309 7.798    |9.91     |G0             |    ~     ~    |    1|   83.138   pc  |  -0.4681     +0.4681  |ST-L    |2020AJ....160...83S
56  |BD-01 2318                                                                                               |Star                              |09 54 31.1507294760 -01 45 51.373661652|239.8494263248590 +38.5633428615955| -42.805 -1.328    |9.77     |G0             |    ~     ~    |    1|  130.037   pc  |  -0.3331     +0.3331  |paral   |2020yCat.1350....0G
57  |BD-01 2320                                                                                               |Star                              |09 55 23.3235887064 -02 05 50.819518356|240.3564450996087 +38.5321483061167| 14.970 -10.339    |10.23    |F5             |    ~     ~    |    1|  252.365   pc  | -60.2400    +60.2400  |ST-L    |2020AJ....160...83S
58  |BD-01 2323                                                                                               |Star                              |09 56 01.0549278816 -02 07 21.100970676|240.5050251136184 +38.6408824248012|    5.668 2.086    |10.78    |F8             |    ~     ~    |    1|  347.102   pc  |  -2.6506     +2.6506  |paral   |2020yCat.1350....0G
59  |V* W Sex                                                                                                 |Carbon Star                       |09 50 58.2500850504 -02 01 43.112392176|239.4337248420809 +37.6978762685326|   -4.846 8.512    |8.87     |C6,3           |    ~     ~    |    1| 1198.179   pc  | -39.6235    +39.6235  |paral   |2020yCat.1350....0G
60  |BD+00 2586                                                                                               |Star                              |09 55 56.6510118840 -00 23 15.118393596|238.7107437369179 +39.6777645812259|    3.661 2.551    |9.737    |~              |    ~     ~    |    1|  563.952   pc  |  -6.5199     +6.5199  |paral   |2020yCat.1350....0G
61  |BD-01 2322                                                                                               |Star                              |09 55 56.1906625872 -02 17 15.587026332|240.6557681518794 +38.5234347395060|  3.611 -15.434    |9.62     |K5             |    ~     ~    |    1|  496.475   pc  |  -5.0037     +5.0037  |paral   |2020yCat.1350....0G
62  |NGC 3047B                          MCG+00-25-032                                                         |Galaxy                            |09 54 29.4819495312 -01 17 16.963688040|239.3585341031321 +38.8463420094088|            ~ ~    |     ~   |~              |0.293 0.252    |    1|   92.47    Mpc |                       |        |2016AJ....152...50T
63  |BD-00 2267                                                                                               |Star                              |09 55 06.3372105960 -00 51 12.522952476|239.0309784779403 +39.2306505592248| -6.414 -12.969    |10.5     |~              |    ~     ~    |    1|  347.729   pc  |  -2.4667     +2.4667  |paral   |2020yCat.1350....0G
64  |TYC 4895-1502-1                                                                                          |Star                              |09 47 48.4775095224 -01 53 26.300431464|238.6970464569142 +37.1489852270667|  -9.272 -4.857    |10.39    |~              |    ~     ~    |    1|  583.124   pc  | -12.1052    +12.1052  |paral   |2020yCat.1350....0G
65  |TYC 4895-1144-1                                                                                          |Star                              |09 48 15.1411819176 -01 37 39.770120352|238.5151575194375 +37.3949746278111| -18.111 24.226    |10.99    |~              |    ~     ~    |    0|                |                       |        |                   
66  |TYC 4895-1868-1                                                                                          |Star                              |09 48 57.2132906856 -01 11 16.478751336|238.2003707310894 +37.7973814262410|   2.582 -0.614    |10.905   |~              |    ~     ~    |    1| 1020.050   pc  | -42.2800    +42.2800  |ST-L    |2020AJ....160...83S
67  |BD-01 2305                                                                                               |Star                              |09 49 05.9340165048 -01 41 42.541926684|238.7423996240494 +37.5244470352816|   -6.330 7.955    |10.46    |~              |    ~     ~    |    1|  212.053   pc  |  -7.9006     +7.9006  |paral   |2020yCat.1350....0G
68  |TYC 4895-718-1                                                                                           |Star                              |09 49 09.3951798456 -01 18 55.994275188|238.3684281153869 +37.7623847371563|   4.986 -0.579    |10.494   |~              |    ~     ~    |    1|  303.347   pc  |  -5.5690     +5.5690  |ST-L    |2020AJ....160...83S
