C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:07

dec< 0&rah >=9.75&rah< 10.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6870

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
5958|TYC 5478-758-1                                                                                           |Star                              |09 48 55.0930700664 -10 43 54.503444100|247.2271276011534 +31.7736462743589|  -4.566 -5.509    |10.139   |~              |    ~     ~    |    1|  372.524   pc  |  -7.5620     +7.5620  |ST-L    |2020AJ....160...83S
5959|UCAC4 400-048648                                                                                         |Star                              |09 52 24.8859033672 -10 01 51.724307388|247.2836186927716 +32.8818407512584|  -5.691 -1.712    |10.736   |~              |    ~     ~    |    1| 2052.920   pc  |-253.4000   +253.4000  |ST-L    |2020AJ....160...83S
5960|TYC 5479-986-1                                                                                           |Star                              |09 53 08.7658371792 -09 45 53.902426896|247.1897746156995 +33.1933530102980| -6.100 -12.321    |10.823   |~              |    ~     ~    |    1| 1018.240   pc  | -66.8300    +66.8300  |ST-L    |2020AJ....160...83S
5961|TYC 5479-1176-1                                                                                          |Star                              |09 54 06.2028963696 -09 59 41.553192156|247.5824449713160 +33.2155996240632|  -1.226 -2.093    |10.580   |~              |    ~     ~    |    1|  971.222   pc  | -40.3300    +40.3300  |ST-L    |2020AJ....160...83S
5962|TYC 5475-1284-1                                                                                          |Star                              |09 57 20.0590791504 -07 48 38.132901108|246.2504099177593 +35.2639030268270|  -11.910 9.232    |10.881   |~              |    ~     ~    |    1|  886.939   pc  | -47.2500    +47.2500  |ST-L    |2020AJ....160...83S
5963|TYC 5476-651-1                                                                                           |Star                              |09 58 17.2539016896 -08 20 27.900098088|246.9275262706541 +35.0884867413716| -42.935 -3.454    |10.98    |~              |    ~     ~    |    1|  116.476   pc  |  -1.8960     +1.8960  |ST-L    |2020AJ....160...83S
5964|TYC 6053-1509-1                                                                                          |High Proper Motion Star           |09 59 17.5522227960 -19 56 39.053682456|256.8095886605677 +27.1266317160929| -2.303 -59.988    |10.937   |~              |    ~     ~    |    1|  188.965   pc  |  -3.1400     +3.1400  |ST-L    |2020AJ....160...83S
5965|TYC 6056-22-1                                                                                            |Star                              |09 48 09.8290912800 -22 29 25.246315680|256.6715604310995 +23.4945087882517|  -3.627 -5.182    |10.978   |~              |    ~     ~    |    1|  327.617   pc  |  -6.8330     +6.8330  |ST-L    |2020AJ....160...83S
5966|TYC 6607-1096-1                                                                                          |Star                              |09 46 18.5304377088 -24 33 48.425470452|257.8986801121980 +21.7069781160152|  -6.735 16.203    |10.99    |~              |    ~     ~    |    1| 1033.870   pc  | -54.8400    +54.8400  |ST-L    |2020AJ....160...83S
5967|TYC 6611-756-1                                                                                           |Star                              |09 47 02.4069292056 -26 25 14.643960204|259.3973594148798 +20.4734323165718|  -15.008 0.564    |10.73    |~              |    ~     ~    |    1|  485.471   pc  | -13.7600    +13.7600  |ST-L    |2020AJ....160...83S
5968|TYC 7168-1026-1                                                                                          |Star                              |09 48 57.7019631072 -31 00 40.455803268|263.0037140637047 +17.3724180354299|  -12.334 1.395    |10.58    |~              |    ~     ~    |    1|  262.31    pc  | +46.570      +4       |ST-L    |2017AJ....153...75K
5969|TYC 8602-1476-1                                                                                          |Star                              |09 55 42.8712243264 -54 36 39.711211524|279.2417682140107 -00.0313131455297| -21.986 13.870    |10.93    |K3/5           |    ~     ~    |    1|  524.604   pc  |  -2.9723     +2.9723  |paral   |2020yCat.1350....0G
5970|L 189-2 A                                                                                                |High Proper Motion Star           |09 49 27.7441522800 -55 20 08.702903976|278.9960994240943 -01.1580666137587|225.419 -182.740   |10.83    |~              |    ~     ~    |    1|   21.044   pc  |  -0.0114     +0.0114  |paral   |2020yCat.1350....0G
5971|TYC 4895-136-1                                                                                           |Star                              |09 49 00.1982622696 -02 19 58.252693188|239.3655522040457 +37.1223708397259|   -7.407 1.833    |10.758   |~              |    ~     ~    |    1|  631.394   pc  | -24.2200    +24.2200  |ST-L    |2020AJ....160...83S
5972|TYC 4895-181-1                                                                                           |Star                              |09 48 12.5819311656 -02 28 05.592015300|239.3510779532433 +36.8826084497964|  -0.811 -0.963    |10.90    |~              |    ~     ~    |    1| 1622.850   pc  | -48.1956    +48.1956  |paral   |2020yCat.1350....0G
5973|TYC 4895-357-1                                                                                           |Star                              |09 47 13.6427102064 -00 33 11.126482560|237.2293278640307 +37.8226129857386|  -6.531 -1.281    |10.84    |~              |    ~     ~    |    1|  936.856   pc  | -14.8331    +14.8331  |paral   |2020yCat.1350....0G
5974|TYC 4895-433-1                                                                                           |Spectroscopic Binary              |09 46 10.2869378424 -00 11 35.091766788|236.6642307015110 +37.8176458739472|   -6.925 3.151    |10.93    |~              |    ~     ~    |    1|  716.384   pc  | -50.5508    +50.5508  |paral   |2020yCat.1350....0G
5975|TYC 4895-496-1                                                                                           |Star                              |09 47 16.2721842984 -01 55 07.472052660|238.6249280108981 +37.0246196791355|  -3.543 -0.766    |10.769   |~              |    ~     ~    |    1|  978.459   pc  | -45.9600    +45.9600  |ST-L    |2020AJ....160...83S
5976|TYC 4895-519-1                                                                                           |Star                              |09 49 46.7694252696 -00 10 03.720310932|237.3067045223186 +38.5655060026417| -13.959 -9.172    |10.76    |~              |    ~     ~    |    1|  477.145   pc  |  -4.1435     +4.1435  |paral   |2020yCat.1350....0G
5977|TYC 4895-580-1                                                                                           |Star                              |09 49 26.0127463104 -01 46 57.178878852|238.8938056387453 +37.5391178646021|   2.572 -5.637    |10.70    |~              |    ~     ~    |    1| 1798.885   pc  | -66.0141    +66.0141  |paral   |2020yCat.1350....0G
5978|TYC 4895-1317-1                                                                                          |Star                              |09 48 25.4770268448 -00 52 31.279070820|237.7822405338549 +37.8756328538574|  -29.905 7.608    |10.88    |~              |    ~     ~    |    1|  234.648   pc  |  -0.7488     +0.7488  |paral   |2020yCat.1350....0G
5979|TYC 4895-1351-1                                                                                          |Star                              |09 45 54.1650976920 -00 16 38.908029481|236.7019114495395 +37.7139768220728|-13.939 -18.697    |10.830   |~              |    ~     ~    |    1|  539.462   pc  |  -7.5373     +7.5373  |paral   |2020yCat.1350....0G
5980|TYC 4896-178-1                                                                                           |Star                              |09 56 14.6345883408 -02 28 15.866833872|240.9007959992731 +38.4708967454723| 11.992 -14.821    |10.71    |~              |    ~     ~    |    1|  334.818   pc  |  -2.3093     +2.3093  |paral   |2020yCat.1350....0G
5981|TYC 4896-1026-1                                                                                          |Star                              |09 51 08.3077586064 -00 50 33.888691464|238.2593634170159 +38.4417830872366|  -16.014 6.214    |10.467   |~              |    ~     ~    |    1| 1044.605   pc  | -25.9705    +25.9705  |paral   |2020yCat.1350....0G
5982|TYC 4896-1113-1                                                                                          |Star                              |09 52 56.0615 -00 48 28.753            |238.5657230 +38.8231905            |  -12.023 0.739    |10.58    |~              |    ~     ~    |    0|                |                       |        |                   
5983|BD+00 2578                                                                                               |Star                              |09 53 28.8680 -00 26 35.465            |238.2934062 +39.1502377            | -0.541 -14.245    |10.72    |~              |    ~     ~    |    1|  557.642   pc  | -23.1600    +23.1600  |ST-L    |2020AJ....160...83S
5984|TYC 4896-1303-1                                                                                          |Star                              |09 52 54.4662187848 -00 26 06.867089376|238.1755069103163 +39.0396218062608|-11.983 -20.582    |10.91    |~              |    ~     ~    |    1|  331.279   pc  |  -2.9083     +2.9083  |paral   |2020yCat.1350....0G
5985|BD+00 2595                                                                                               |Star                              |09 58 44.9534 -00 07 43.634            |238.9891784 +40.3941861            |  -3.998 -3.807    |10.99    |~              |    ~     ~    |    0|                |                       |        |                   
5986|TYC 4896-1449-1                                                                                          |Star                              |09 56 11.4130351920 -00 12 29.498978808|238.5714796103094 +39.8342355051727|   -7.387 3.028    |10.95    |~              |    ~     ~    |    1| 1129.688   pc  | -17.9944    +17.9944  |paral   |2020yCat.1350....0G
5987|TYC 4896-1542-1                                                                                          |High Proper Motion Star           |09 52 05.9390402376 -00 15 56.960754156|237.8457725936609 +38.9768923305597| 86.151 -68.228    |10.98    |~              |    ~     ~    |    1|   88.655   pc  |  -0.1226     +0.1226  |paral   |2020yCat.1350....0G
5988|TYC 4898-479-1                                                                                           |Star                              |09 47 50.5999104168 -02 51 24.470880912|239.6684125706819 +36.5749120685774| -20.681 -9.944    |10.87    |~              |    ~     ~    |    1|  237.710   pc  |  -0.8645     +0.8645  |paral   |2020yCat.1350....0G
5989|TYC 4898-686-1                                                                                           |Star                              |09 45 38.1822170856 -03 07 51.997238724|239.5260944875901 +35.9702060604359|  -4.742 -4.538    |10.735   |~              |    ~     ~    |    1|  925.408   pc  | -43.1500    +43.1500  |ST-L    |2020AJ....160...83S
5990|TYC 4899-200-1                                                                                           |Star                              |09 54 18.6768811848 -03 24 40.955343912|241.4581877310974 +37.5096329835350|-21.176 -31.501    |10.59    |~              |    ~     ~    |    1|  261.382   pc  |  -5.0330     +5.0330  |ST-L    |2020AJ....160...83S
5991|TYC 4899-316-1                                                                                           |High Proper Motion Star           |09 52 43.9284330624 -03 12 16.044312024|240.9462952606644 +37.3283364401354| -51.442 -1.039    |10.73    |~              |    ~     ~    |    1|  211.140   pc  |  -1.0878     +1.0878  |paral   |2020yCat.1350....0G
5992|TYC 4899-349-1                                                                                           |Star                              |09 59 51.3779733312 -03 24 42.613150104|242.5600634028312 +38.5876129331369|  -9.852 26.486    |10.80    |~              |    ~     ~    |    1|  438.404   pc  |  -4.4974     +4.4974  |paral   |2020yCat.1350....0G
5993|TYC 4899-556-1                                                                                           |Star                              |09 55 41.4349052472 -02 33 55.497749112|240.8866919987920 +38.3039327313728|   3.723 -6.305    |10.73    |~              |    ~     ~    |    1|  151.525   pc  |  -3.7540     +3.7540  |ST-L    |2020AJ....160...83S
5994|TYC 4899-971-1                                                                                           |Star                              |09 58 23.5028067216 -03 50 50.806444128|242.6956210738038 +38.0290734210301| -50.369 13.073    |10.99    |~              |    ~     ~    |    1|  286.303   pc  |  -2.2788     +2.2788  |paral   |2020yCat.1350....0G
5995|TYC 4899-1026-1                                                                                          |Star                              |09 57 40.5116531352 -03 55 56.027056944|242.6355782282628 +37.8370179019367|  -7.989 11.040    |10.85    |~              |    ~     ~    |    1|  324.020   pc  |  -8.0250     +8.0250  |ST-L    |2020AJ....160...83S
5996|TYC 4899-1652-1                                                                                          |Star                              |09 52 14.2897459176 -03 58 20.618637492|241.6056882990650 +36.7557025748214|  -8.016 -3.088    |10.64    |~              |    ~     ~    |    1|  824.063   pc  | -11.1369    +11.1369  |paral   |2020yCat.1350....0G
5997|TYC 4899-1845-1                                                                                          |High Proper Motion Star           |09 58 04.5398857728 -04 55 19.981099848|243.6789783192450 +37.2838976029597| -73.379 23.335    |10.85    |~              |    ~     ~    |    1|  131.446   pc  |  -0.3438     +0.3438  |paral   |2020yCat.1350....0G
5998|TYC 4901-485-1                                                                                           |Star                              |09 47 49.1575645440 -05 18 01.102250916|242.0398078702050 +35.0668807417068| -6.342 -10.161    |10.99    |~              |    ~     ~    |    1| 1707.067   pc  | -39.3401    +39.3401  |paral   |2020yCat.1350....0G
5999|TYC 4901-1025-1                                                                                          |Star                              |09 49 26.1696195768 -06 30 19.062409608|243.4882896321304 +34.6191582495379|   -0.620 1.274    |10.90    |~              |    ~     ~    |    1|  957.763   pc  | -13.2093    +13.2093  |paral   |2020yCat.1350....0G
6000|TYC 4901-1103-1                                                                                          |Star                              |09 48 18.2098222632 -07 20 22.740197352|244.0482132606576 +33.8702012409872|  -7.026 -5.265    |10.755   |~              |    ~     ~    |    1| 1236.520   pc  | -83.9600    +83.9600  |ST-L    |2020AJ....160...83S
6001|TYC 4901-1157-1                                                                                          |High Proper Motion Star           |09 48 05.7884587320 -05 52 33.961149516|242.6395429335906 +34.7595773229679|-70.166 -49.900    |10.74    |~              |    ~     ~    |    1|  200.731   pc  |  -0.7817     +0.7817  |paral   |2020yCat.1350....0G
6002|TYC 4901-1666-1                                                                                          |Star                              |09 47 29.5024406592 -06 52 14.391792084|243.4579758125603 +34.0142053843012| -1.206 -11.345    |10.95    |~              |    ~     ~    |    1|  347.669   pc  |  -1.8735     +1.8735  |paral   |2020yCat.1350....0G
6003|TYC 4902-162-1                                                                                           |Star                              |09 59 34.6358876328 -07 11 58.655334264|246.1380513167427 +36.0848824764937|  -2.103 12.393    |10.94    |~              |    ~     ~    |    1|  849.401   pc  | -11.6159    +11.6159  |paral   |2020yCat.1350....0G
6004|TYC 4902-557-1                                                                                           |Star                              |09 59 16.7443391592 -06 45 35.772033384|245.6677527706000 +36.3189353017978|  -9.349 -2.237    |10.75    |~              |    ~     ~    |    1| 1016.880   pc  | -15.4073    +15.4073  |paral   |2020yCat.1350....0G
6005|TYC 4902-712-1                                                                                           |Star                              |09 55 58.0433927472 -06 18 33.824157804|244.5803861648657 +35.9891934929911|  -7.055 -0.108    |10.71    |~              |    ~     ~    |    1| 1008.369   pc  | -19.4211    +19.4211  |paral   |2020yCat.1350....0G
6006|TYC 4902-730-1                                                                                           |Star                              |09 56 07.3735436952 -06 58 31.676972052|245.2354030875162 +35.5856867708219|   -4.201 8.795    |10.27    |~              |    ~     ~    |    1|  671.186   pc  |  -6.4871     +6.4871  |paral   |2020yCat.1350....0G
6007|TYC 4902-958-1                                                                                           |Star                              |09 59 13.2231503928 -05 01 36.069466944|244.0101030124747 +37.4353150523707|    0.594 3.721    |10.97    |~              |    ~     ~    |    1| 1787.949   pc  | -54.3450    +54.3450  |paral   |2020yCat.1350....0G
6008|TYC 4902-1221-1                                                                                          |Star                              |09 51 50.0682670824 -05 31 17.558917284|243.0218959499836 +35.7044847971265|  -16.214 3.888    |10.93    |~              |    ~     ~    |    1|  555.864   pc  |  -5.7162     +5.7162  |paral   |2020yCat.1350....0G
6009|TYC 4902-1351-1                                                                                          |Star                              |09 56 51.4334767176 -05 44 25.513870776|244.2190229754776 +36.5256331121962|  -7.592 -1.701    |10.82    |~              |    ~     ~    |    1| 2254.283   pc  |-116.8812   +116.8812  |paral   |2020yCat.1350....0G
6010|TYC 4902-1605-1                                                                                          |Star                              |09 52 54.2092923552 -05 41 35.759974812|243.3935133110913 +35.8008080063734| -18.688 -0.629    |10.865   |~              |    ~     ~    |    1|  661.986   pc  | -30.4300    +30.4300  |ST-L    |2020AJ....160...83S
6011|TYC 4902-1689-1                                                                                          |Star                              |09 59 45.7380043128 -05 37 20.421065244|244.6908884209189 +37.1530322778692| -5.603 -25.328    |10.54    |~              |    ~     ~    |    1|  418.095   pc  |  -3.7058     +3.7058  |paral   |2020yCat.1350....0G
6012|TYC 4902-1750-1                                                                                          |Star                              |09 57 02.0334047280 -06 17 02.307394572|244.7690368270052 +36.2074705669031| -1.336 -18.609    |10.90    |~              |    ~     ~    |    1|  637.755   pc  |  -6.9551     +6.9551  |paral   |2020yCat.1350....0G
6013|TYC 5474-1025-1                                                                                          |High Proper Motion Star           |09 45 55.6657869144 -08 29 23.237069856|244.6514921248721 +32.6808696022561| -46.803 22.272    |10.861   |~              |    ~     ~    |    1|  310.028   pc  |  -5.5660     +5.5660  |ST-L    |2020AJ....160...83S
6014|TYC 5474-1096-1                                                                                          |Star                              |09 47 50.0287934232 -08 30 58.814398836|245.0376840803106 +33.0237271909157| -17.425 12.564    |10.96    |~              |    ~     ~    |    1|  741.235   pc  |  -8.5711     +8.5711  |paral   |2020yCat.1350....0G
6015|TYC 5474-1236-1                                                                                          |Star                              |09 47 25.8951262896 -08 58 39.327049092|245.3789319109187 +32.6489971586272| -10.432 -2.182    |10.94    |~              |    ~     ~    |    1|  827.472   pc  | -22.2531    +22.2531  |paral   |2020yCat.1350....0G
6016|SCR J0953-0810                                                                                           |High Proper Motion Star           |09 53 00.9884159064 -08 10 30.191649384|245.7288369154008 +34.2189846451625|-35.260 -69.414    |10.91    |~              |    ~     ~    |    1|  203.575   pc  |  -0.6714     +0.6714  |paral   |2020yCat.1350....0G
6017|TYC 5475-131-1                                                                                           |Star                              |09 55 23.6630077416 -08 14 37.014684288|246.2603171159559 +34.6173242381590|  -3.495 -4.188    |10.94    |~              |    ~     ~    |    1| 1330.495   pc  | -43.7244    +43.7244  |paral   |2020yCat.1350....0G
6018|TYC 5475-1038-1                                                                                          |Star                              |09 52 56.4395247600 -07 43 08.067999360|245.2955725830833 +34.5027126997439|-41.322 -15.719    |10.78    |~              |    ~     ~    |    1|  210.975   pc  |  -3.3605     +3.3605  |paral   |2020yCat.1350....0G
6019|TYC 5475-1146-1                                                                                          |Star                              |09 54 38.3926259256 -07 56 55.962088692|245.8411944520003 +34.6706977152639| -12.467 14.028    |10.98    |~              |    ~     ~    |    1|  137.023   pc  |  -0.9642     +0.9642  |ST-L    |2020AJ....160...83S
6020|TYC 5475-1325-1                                                                                          |Star                              |09 55 57.3688739640 -07 46 36.959382300|245.9442495920746 +35.0294059937191| 19.261 -21.276    |10.95    |~              |    ~     ~    |    1|  249.594   pc  |  -1.2210     +1.2210  |paral   |2020yCat.1350....0G
6021|TYC 5476-1166-1                                                                                          |Star                              |09 59 21.6212586552 -08 47 25.309158720|247.5520917257290 +34.9851705614537|   -0.902 0.683    |10.861   |~              |    ~     ~    |    1| 1228.420   pc  | -93.5900    +93.5900  |ST-L    |2020AJ....160...83S
6022|TYC 5479-217-1                                                                                           |Star                              |09 54 40.0714697568 -10 07 41.260880208|247.8119751628742 +33.2295221469414|  0.892 -14.696    |10.92    |~              |    ~     ~    |    1| 1243.008   pc  | -19.7769    +19.7769  |paral   |2020yCat.1350....0G
6023|TYC 5479-439-1                                                                                           |Star                              |09 55 34.2749881872 -10 21 50.653294416|248.1994205294940 +33.2353751308418|  -36.359 5.556    |10.853   |~              |    ~     ~    |    1|  523.194   pc  | -17.0800    +17.0800  |ST-L    |2020AJ....160...83S
6024|TYC 5479-924-1                                                                                           |Star                              |09 52 24.9993796920 -09 51 33.807661776|247.1312823533157 +32.9963684224857|  0.127 -10.722    |10.98    |~              |    ~     ~    |    1|  406.901   pc  |  -2.6657     +2.6657  |paral   |2020yCat.1350....0G
6025|TYC 5482-34-1                                                                                            |Star                              |09 49 42.7723149624 -12 16 47.147217096|248.7270134389202 +30.8833218837698| 13.159 -17.453    |9.54     |~              |    ~     ~    |    1|  292.073   pc  |  -1.4417     +1.4417  |paral   |2020yCat.1350....0G
6026|TYC 5482-99-1                                                                                            |Star                              |09 45 46.5989492280 -12 09 15.004314792|247.8705537923443 +30.2532566049311| -7.796 -11.239    |10.90    |~              |    ~     ~    |    1|  821.220   pc  | -10.5881    +10.5881  |paral   |2020yCat.1350....0G
6027|TYC 5482-160-1                                                                                           |Star                              |09 47 02.8420814496 -12 23 13.608746844|248.3113993150574 +30.3289182118102| -13.433 -5.313    |10.961   |~              |    ~     ~    |    1|  180.799   pc  |  -1.8970     +1.8970  |ST-L    |2020AJ....160...83S
6028|TYC 5482-172-1                                                                                           |Star                              |09 47 12.2304076512 -12 26 26.236794120|248.3870755925391 +30.3214580354554|-19.803 -27.851    |10.97    |~              |    ~     ~    |    1|  228.927   pc  |  -0.8595     +0.8595  |paral   |2020yCat.1350....0G
6029|TYC 5483-145-1                                                                                           |Star                              |09 54 05.9407090152 -12 54 46.410759000|250.1184650930206 +31.2373283174971|-13.885 -14.346    |10.81    |~              |    ~     ~    |    1|  133.795   pc  |  -1.0560     +1.0560  |ST-L    |2020AJ....160...83S
6030|TYC 5483-556-1                                                                                           |Star                              |09 52 03.0592692312 -12 16 17.637277764|249.1710081141428 +31.3096448384449|  -2.006 -2.837    |10.76    |~              |    ~     ~    |    1|  997.705   pc  | -16.7230    +16.7230  |paral   |2020yCat.1350....0G
6031|TYC 5483-673-1                                                                                           |Star                              |09 56 20.5375607760 -12 01 00.353641584|249.7932832093111 +32.2504594315596|  -1.258 -6.108    |10.99    |~              |    ~     ~    |    1| 1521.838   pc  | -50.9518    +50.9518  |paral   |2020yCat.1350....0G
6032|TYC 5483-723-1                                                                                           |Star                              |09 50 23.3422893048 -11 57 03.771972936|248.5734028069700 +31.2269105552004|     -15.8 -2.0    |10.95    |~              |    ~     ~    |    0|                |                       |        |                   
6033|TYC 5483-1197-1                                                                                          |Star                              |09 50 09.6746872320 -11 31 47.290227060|248.1642279325351 +31.4686632410308| -12.824 -4.909    |10.51    |~              |    ~     ~    |    1| 1365.747   pc  | -55.7714    +55.7714  |paral   |2020yCat.1350....0G
6034|TYC 5484-520-1                                                                                           |Star                              |09 59 25.9351466736 -11 57 36.724228848|250.3617947245465 +32.8374209739348|  -20.920 0.597    |10.88    |~              |    ~     ~    |    1|  617.246   pc  |  -5.6006     +5.6006  |paral   |2020yCat.1350....0G
6035|TYC 5486-24-1                                                                                            |Star                              |09 46 39.1689286032 -13 59 57.718607928|249.6097717381600 +29.1721936998298|  -9.028 -4.442    |10.90    |~              |    ~     ~    |    1|  438.731   pc  |  -5.4088     +5.4088  |paral   |2020yCat.1350....0G
6036|TYC 5486-92-1                                                                                            |Star                              |09 47 57.6725030448 -13 34 37.067330136|249.5001980804489 +29.6920326012832|  -19.961 4.514    |10.88    |~              |    ~     ~    |    1|  467.268   pc  |  -4.2576     +4.2576  |paral   |2020yCat.1350....0G
6037|TYC 5486-155-1                                                                                           |Star                              |09 47 51.5361617592 -14 56 00.308590368|250.6187721345777 +28.7498999332658|  -1.993 -5.256    |10.99    |~              |    ~     ~    |    1| 1583.030   pc  | -48.1149    +48.1149  |paral   |2020yCat.1350....0G
6038|TYC 5486-392-1                                                                                           |Star                              |09 48 21.5077760040 -13 32 07.791770220|249.5404801252061 +29.7911152011901|  -23.434 2.515    |10.00    |~              |    ~     ~    |    1|  243.013   pc  |  -1.0217     +1.0217  |paral   |2020yCat.1350....0G
6039|TYC 5486-876-1                                                                                           |Star                              |09 49 06.2843452944 -13 50 43.339670592|249.9441817904085 +29.7133951414864|-15.307 -31.138    |10.884   |~              |    ~     ~    |    1|  498.113   pc  | -13.2100    +13.2100  |ST-L    |2020AJ....160...83S
6040|TYC 5486-907-1                                                                                           |Star                              |09 46 04.4690346840 -13 08 35.838497508|248.7754634680857 +29.6458996588636|  -8.727 -3.709    |10.74    |~              |    ~     ~    |    1|  886.414   pc  | -53.8100    +53.8100  |ST-L    |2020AJ....160...83S
6041|TYC 5487-857-1                                                                                           |Star                              |09 54 32.0498578632 -15 00 00.109945836|251.9523533698118 +29.8685718595362|   -8.193 7.904    |10.695   |~              |    ~     ~    |    1| 1148.570   pc  | -66.5900    +66.5900  |ST-L    |2020AJ....160...83S
6042|TYC 5487-1466-1                                                                                          |High Proper Motion Star           |09 56 36.8816116248 -14 29 00.399681168|251.9317634512705 +30.5893787803937| -8.977 -99.362    |10.79    |~              |    ~     ~    |    1|  118.644   pc  |  -0.2463     +0.2463  |paral   |2020yCat.1350....0G
6043|TYC 5488-218-1                                                                                           |Star                              |09 58 02.0722784784 -13 47 28.088987964|251.6354694705112 +31.3195896960051|   2.171 -8.100    |10.79    |~              |    ~     ~    |    1|  701.853   pc  | -15.0735    +15.0735  |paral   |2020yCat.1350....0G
6044|TYC 6044-384-1                                                                                           |Star                              |09 49 55.1100892344 -16 05 39.378554448|251.9650999047002 +28.3087466943193|  -2.937 -3.969    |10.90    |~              |    ~     ~    |    1| 1191.790   pc  | -58.7700    +58.7700  |ST-L    |2020AJ....160...83S
6045|TYC 6044-498-1                                                                                           |Star                              |09 45 16.3217851056 -16 52 06.077402256|251.7264054468759 +26.9688894935238| -10.293 -8.246    |10.95    |~              |    ~     ~    |    1|  211.224   pc  |  -3.5960     +3.5960  |paral   |2020yCat.1350....0G
6046|TYC 6044-790-2                                                                                           |Star                              |09 48 46.923 -16 26 32.24              |252.034448 +27.870845              |      -8.5 -5.0    |10.45    |~              |    ~     ~    |    0|                |                       |        |                   
6047|TYC 6044-1161-1                                                                                          |Star                              |09 47 44.5544686992 -15 38 35.537916372|251.1842934810382 +28.2423863790954|   7.333 -3.903    |10.77    |~              |    ~     ~    |    1|  350.790   pc  |  -6.5920     +6.5920  |ST-L    |2020AJ....160...83S
6048|TYC 6044-1213-1                                                                                          |Star                              |09 47 32.7981590472 -15 32 20.043923208|251.0614696609807 +28.2798280839915| -0.472 -20.123    |10.74    |~              |    ~     ~    |    1|  210.980   pc  |  -2.6970     +2.6970  |ST-L    |2020AJ....160...83S
6049|TYC 6044-1244-1                                                                                          |Star                              |09 46 51.1663962072 -16 34 05.836727712|251.7756702740095 +27.4498971743385|   5.850 -2.553    |10.91    |~              |    ~     ~    |    1|  560.915   pc  |  -5.5060     +5.5060  |paral   |2020yCat.1350....0G
6050|TYC 6044-1519-1                                                                                          |Star                              |09 46 07.2411346896 -16 49 00.052444092|251.8416399346247 +27.1515750625104|  -2.107 -3.821    |10.88    |~              |    ~     ~    |    1| 1300.559   pc  | -38.0577    +38.0577  |paral   |2020yCat.1350....0G
6051|TYC 6045-236-1                                                                                           |Star                              |09 55 22.8815623464 -16 49 17.627099880|253.6008563901122 +28.7315087756119|   -1.949 3.092    |10.918   |~              |    ~     ~    |    1| 2737.470   pc  |-445.0000   +445.0000  |ST-L    |2020AJ....160...83S
6052|TYC 6045-522-1                                                                                           |Star                              |09 53 47.3781451200 -16 26 55.081686696|252.9926990102340 +28.7251345563548|  -8.835 10.354    |10.79    |~              |    ~     ~    |    1| 1193.602   pc  | -23.0799    +23.0799  |paral   |2020yCat.1350....0G
6053|TYC 6045-603-1                                                                                           |Star                              |09 53 51.8806678032 -15 11 16.917737208|251.9774728128255 +29.6216249084755|  -6.296 -2.743    |10.806   |~              |    ~     ~    |    1| 1441.570   pc  |-121.9000   +121.9000  |ST-L    |2020AJ....160...83S
6054|TYC 6045-1125-1                                                                                          |Star                              |09 58 22.1738919936 -16 27 43.795330380|253.8943001091092 +29.4902905536741|     -11.4 -8.5    |10.89    |~              |    ~     ~    |    0|                |                       |        |                   
6055|TYC 6048-151-1                                                                                           |Star                              |09 46 53.1042193728 -17 07 32.535133032|252.2343715968983 +27.0697553332912|  -4.428 -3.687    |10.780   |~              |    ~     ~    |    1|  127.805   pc  |  -1.3380     +1.3380  |ST-L    |2020AJ....160...83S
6056|TYC 6048-176-1                                                                                           |Star                              |09 50 04.1372619312 -17 05 41.088433596|252.8058563532312 +27.6372463148281|  -12.179 6.348    |10.80    |~              |    ~     ~    |    1| 1023.018   pc  | -15.5938    +15.5938  |paral   |2020yCat.1350....0G
6057|TYC 6048-258-1                                                                                           |Star                              |09 51 03.2273443368 -17 42 22.196277792|253.4827640356912 +27.3753993326520|   -0.938 0.506    |10.95    |~              |    ~     ~    |    1| 1128.880   pc  | -49.9500    +49.9500  |ST-L    |2020AJ....160...83S
6058|TYC 6048-484-1                                                                                           |Star                              |09 49 33.2581935000 -18 07 02.749733940|253.5289901953878 +26.8325540920095|  -7.949 -6.373    |10.999   |~              |    ~     ~    |    1|  930.569   pc  | -53.4500    +53.4500  |ST-L    |2020AJ....160...83S
6059|TYC 6048-620-1                                                                                           |Star                              |09 48 01.6474528728 -18 04 10.798527360|253.2059114892179 +26.6074895738399|  -10.544 4.974    |10.737   |~              |    ~     ~    |    1| 1025.560   pc  | -43.8500    +43.8500  |ST-L    |2020AJ....160...83S
6060|TYC 6048-1155-1                                                                                          |Star                              |09 48 33.2381202936 -18 21 39.371263560|253.5360904477612 +26.4924510906765|   -2.073 3.616    |10.88    |~              |    ~     ~    |    1| 1741.250   pc  | -63.9742    +63.9742  |paral   |2020yCat.1350....0G
