C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:05:31

Vmag< 11&dec >=0&rah >=8.25&rah< 8.5
------------------------------------

Number of objects : 4125

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
71  |2MASS J08234563+7851541                                                                                  |Red Giant Branch star          |08 23 45.6066171528 +78 51 54.134356716|134.8919506200848 +30.9827005753152|  -1.843 -3.899   |10.84    |K                    |    ~     ~    
72  |BD+79 271                                                                                                |Star                           |08 24 19.6710807384 +79 31 20.235725436|134.1521774440751 +30.8103028577281|   2.176 -1.602   |10.29    |A5                   |    ~     ~    
73  |BD+78 279                                                                                                |Star                           |08 16 44.9208186336 +78 30 28.394987256|135.4035248576800 +30.7525979090972|    3.227 5.134   |9.94     |F5                   |    ~     ~    
74  |BD+78 280                                                                                                |Horizontal Branch Star         |08 18 35.5803507240 +78 34 18.970822452|135.3031493704128 +30.8237252023791|    6.983 6.621   |10.48    |K0                   |    ~     ~    
75  |BD+78 281                                                                                                |Spectroscopic Binary           |08 19 39.1109357208 +78 28 56.428730364|135.3867514274682 +30.8988866472563|-10.000 -16.897   |10.19    |F5                   |    ~     ~    
76  |BD+78 282                                                                                                |Red Giant Branch star          |08 23 46.1764289232 +78 17 48.413915304|135.5259045770720 +31.1501492615473|   1.363 -6.534   |10.17    |K2                   |    ~     ~    
77  |HD 69220                                                                                                 |Star                           |08 24 35.8657775424 +77 56 20.029070724|135.9117535476941 +31.2951435357158|   4.534 14.911   |8.26     |A0                   |    ~     ~    
78  |BD+78 285                                                                                                |High Proper Motion Star        |08 26 54.0696211056 +78 10 34.067563680|135.6051576580763 +31.3384042250215|-78.669 -88.033   |9.62     |G0                   |    ~     ~    
79  |BD+78 283                                                                                                |Star                           |08 23 55.6506741192 +77 38 44.339198280|136.2524028167420 +31.3457781121321| -9.041 -40.601   |9.81     |K0                   |    ~     ~    
80  |HD 67445                                                                                                 |Star                           |08 16 09.8537226408 +76 48 26.678149920|137.3307096378399 +31.1540640461457|     -4.3 -14.8   |9.77     |F                    |    ~     ~    
81  |BD+77 320                                                                                                |Star                           |08 17 17.6152764312 +77 11 21.327108252|136.8801451248812 +31.1206859799548|    6.818 9.271   |9.86     |K0                   |    ~     ~    
82  |BD+77 321                                                                                                |Star                           |08 17 18.8746331376 +76 58 24.842814780|137.1237029295888 +31.1761354525851|-13.560 -22.852   |10.51    |F8                   |    ~     ~    
83  |BD+77 322                                                                                                |Star                           |08 19 15.1374071760 +77 07 36.157086012|136.9181478219198 +31.2419313842910|  -0.275 -1.861   |9.17     |K0                   |    ~     ~    
84  |BD+77 324                                                                                                |Star                           |08 19 48.2521310808 +77 05 20.140789380|136.9513897528488 +31.2815268080154|  -14.996 0.347   |9.90     |K0                   |    ~     ~    
85  |BD+77 325                                                                                                |Star                           |08 21 11.2788569832 +77 28 15.560324400|136.4968545389103 +31.2527800766627|  7.689 -22.860   |9.27     |K0                   |    ~     ~    
86  |BD+77 326                                                                                                |Star                           |08 21 53.2114797288 +77 27 58.313318652|136.4901090224199 +31.2905537809751|-12.780 -26.635   |9.99     |K0                   |    ~     ~    
87  |HD 69408                                                                                                 |Star                           |08 24 53.2809395688 +76 57 53.605488852|137.0000441038728 +31.5898527199621|  32.426 17.593   |6.96     |K0                   |    ~     ~    
88  |BD+77 329                                                                                                |Star                           |08 26 37.0205599800 +77 16 45.008233428|136.6141535995480 +31.5915563909027|  -10.777 0.395   |10.01    |G0                   |    ~     ~    
89  |HD 70351                                                                                                 |High Proper Motion Star        |08 29 25.6718539056 +77 03 34.158397752|136.8059073591960 +31.8060147409619|-70.309 -36.427   |7.92     |F0                   |    ~     ~    
90  |BD+76 319                                                                                                |Star                           |08 27 49.8118876152 +76 13 20.452111824|137.7798964599693 +31.9652613963721|   2.053 13.443   |10.44    |K0                   |    ~     ~    
91  |BD+76 321                                                                                                |Star                           |08 28 32.6609238984 +76 12 15.751100124|137.7856609424894 +32.0111888619979|  -0.612 -1.538   |9.62     |K2                   |    ~     ~    
92  |BD+76 322                                                                                                |Star                           |08 28 56.1136694808 +76 18 28.215744768|137.6609755690832 +32.0031613668304|    7.596 2.765   |10.61    |M                    |    ~     ~    
