C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:08:41

Vmag< 11&dec< 0&rah >=4.75&rah< 5.0
-----------------------------------

Number of objects : 3873

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
65  |TYC 4736-491-1                                                                                           |High Proper Motion Star               |04 48 10.3310332680 -00 53 52.673661492|198.5857370053865 -27.5822427361305| 51.650 -64.630   |10.77    |~               |    ~     ~    
66  |TYC 4736-746-1                                                                                           |Star                                  |04 48 22.5749941488 -01 31 07.703688900|199.2204613334184 -27.8511699644657|  1.780 -23.508   |10.77    |~               |    ~     ~    
67  |TYC 4736-814-1                                                                                           |Star                                  |04 45 30.0691902912 -01 23 25.045402560|198.6841948295335 -28.4071950432080|  13.159 -2.676   |10.92    |~               |    ~     ~    
68  |TYC 4736-1049-1                                                                                          |Star                                  |04 46 59.5026259272 -00 37 49.635566112|198.1564398684997 -27.7006179596360|    5.517 1.744   |10.7     |~               |    ~     ~    
69  |TYC 4736-1177-1                                                                                          |Star                                  |04 49 14.1022137168 -00 42 35.611643232|198.5546364962349 -27.2578990505032|  8.249 -10.808   |10.9     |~               |    ~     ~    
70  |TYC 4736-1196-1                                                                                          |Star                                  |04 52 11.2182061248 -00 11 29.117721804|198.4730444234011 -26.3589603917901| 12.868 -14.849   |10.9     |~               |    ~     ~    
71  |TYC 4736-1284-1                                                                                          |Star                                  |04 47 06.3421974312 -00 13 47.982827928|197.7843577864178 -27.4716558474621| 12.181 -14.507   |10.9     |~               |    ~     ~    
72  |TYC 4736-1328-1                                                                                          |Star                                  |04 46 17.4169752840 -00 14 32.979105060|197.6786830446243 -27.6531392263555|   4.899 -5.496   |10.9     |~               |    ~     ~    
73  |TYC 4736-1383-1                                                                                          |Star                                  |04 48 31.9828355304 -00 47 08.017416636|198.5279800176374 -27.4475282124764|   4.226 -3.277   |10.9     |~               |    ~     ~    
74  |TYC 4740-13-1                                                                                            |Star                                  |04 49 57.7322018208 -01 53 18.182161068|199.8061300265059 -27.6926921478018|    3.305 3.726   |10.908   |~               |    ~     ~    
75  |TYC 4740-30-1                                                                                            |Star                                  |04 48 04.3851191928 -01 52 35.934995424|199.5282167434025 -28.0959473160725|    5.299 1.831   |10.86    |~               |    ~     ~    
76  |TYC 4740-66-1                                                                                            |Star                                  |04 48 21.4311412704 -01 57 48.659011128|199.6537011222314 -28.0778104826087|  11.077 -7.948   |10.67    |~               |    ~     ~    
77  |TYC 4740-121-1                                                                                           |Star                                  |04 47 10.9995251856 -02 27 31.176213336|199.9758626061821 -28.5785531710898|  1.098 -33.418   |10.583   |~               |    ~     ~    
78  |TYC 4740-142-1                                                                                           |Star                                  |04 48 17.1368709528 -02 33 16.332802128|200.2258168826936 -28.3869306681953|   -5.803 8.280   |10.56    |~               |    ~     ~    
79  |TYC 4740-508-1                                                                                           |Star                                  |04 51 19.3032053136 -02 09 17.456861916|200.2574701906616 -27.5301256551740|   2.612 -6.416   |10.64    |~               |    ~     ~    
80  |TYC 4740-516-1                                                                                           |Star                                  |04 48 23.4236648592 -02 09 44.477111808|199.8538845844401 -28.1696598492351|   -4.896 4.412   |10.77    |~               |    ~     ~    
81  |TYC 4740-529-1                                                                                           |Star                                  |04 48 13.2999228744 -02 10 24.532993560|199.8410462722936 -28.2117616269753|  15.250 -3.255   |10.919   |~               |    ~     ~    
82  |TYC 4740-715-1                                                                                           |Star                                  |04 51 53.5480625952 -02 31 10.702676676|200.6947135060666 -27.5861381183231|  4.824 -41.075   |10.29    |~               |    ~     ~    
83  |TYC 4740-787-1                                                                                           |Star                                  |04 51 25.5341370408 -02 35 23.459467488|200.6989642982292 -27.7222001620539|  19.717 -9.017   |10.88    |~               |    ~     ~    
84  |TYC 4740-809-1                                                                                           |Star                                  |04 52 02.3776512456 -02 25 36.237708948|200.6239068892217 -27.5084113719717| -2.703 -10.886   |10.89    |~               |    ~     ~    
85  |TYC 4740-198-1                                                                                           |Star                                  |04 45 23.4300377736 -02 02 30.851215332|199.3096210805194 -28.7589667826513|  8.595 -11.301   |10.81    |~               |    ~     ~    
86  |TYC 4740-284-1                                                                                           |Star                                  |04 45 39.8015812920 -02 04 31.821722004|199.3817202952638 -28.7167790122714|  -2.009 -9.137   |10.10    |~               |    ~     ~    
87  |HD 30330                                                                                                 |High Proper Motion Star               |04 46 23.6060434128 -05 15 52.144787160|202.6788421138223 -30.1151524398777| 10.799 -67.362   |9.32     |G6V             |    ~     ~    
88  |BD-05 1037                                                                                               |Star                                  |04 47 26.5060684776 -05 15 32.736580920|202.8166820917921 -29.8830123852561|  8.987 -14.353   |10.02    |G5              |    ~     ~    
89  |BD-05 1051                                                                                               |Star                                  |04 50 10.8497214144 -05 17 18.033329580|203.2181259579485 -29.2965511827812|    5.809 8.732   |9.49     |~               |    ~     ~    
90  |HD 30948                                                                                                 |Star                                  |04 51 41.5438249588 -05 22 32.200833390|203.5096966046130 -29.0061302894583|  -5.119 -1.472   |8.36     |A0V             |    ~     ~    
91  |BD-05 1063                                                                                               |High Proper Motion Star               |04 51 59.0653426848 -05 18 16.630287012|203.4773396629141 -28.9085493293371|  6.443 -61.913   |9.17     |G0              |    ~     ~    
92  |HD 30198                                                                                                 |Star                                  |04 45 19.8674925648 -02 40 24.916321956|199.9267467481280 -29.0868129700775|    5.422 5.796   |9.37     |A8/9V           |    ~     ~    
93  |BD-03 874                                                                                                |Star                                  |04 45 08.6571842232 -03 01 34.616302140|200.2512944378687 -29.3019863562606|  13.385 -5.202   |10.225   |F8              |    ~     ~    
94  |HD 30180                                                                                                 |Star                                  |04 45 12.2897742216 -03 04 50.866413276|200.3142177407331 -29.3157571330090| 14.557 -30.443   |8.59     |F0V             |    ~     ~    
95  |BD-03 879                                                                                                |Star                                  |04 45 46.1965599792 -02 55 30.569605212|200.2389808921249 -29.1162177212997|  10.678 15.190   |9.02     |G5              |    ~     ~    
96  |HD 30257                                                                                                 |Star                                  |04 45 49.9239578520 -02 54 31.181736096|200.2313399757707 -29.0945809288493|   26.410 3.197   |7.23     |F0V             |    ~     ~    
97  |HD 30300                                                                                                 |High Proper Motion Star               |04 46 15.1372846008 -03 41 53.427542424|201.0785556186774 -29.3909803393483|  32.514 89.139   |8.73     |G5V             |    ~     ~    
98  |HD 30321                                                                                                 |High Proper Motion Star               |04 46 24.1623639696 -02 57 16.300244664|200.3574366745923 -28.9933407576808| 18.729 -53.452   |6.316    |A0/1V           |    ~     ~    
99  |HD 30357                                                                                                 |Star                                  |04 46 49.9471052328 -03 39 31.457347524|201.1200771924606 -29.2453959477388| 11.070 -39.978   |9.49     |F3/5V           |    ~     ~    
100 |BD-03 892                                                                                                |Star                                  |04 48 09.0215702016 -02 56 57.805813932|200.5976678490604 -28.6111123409914|   10.992 3.589   |9.61     |F2              |    ~     ~    
101 |HD 30561                                                                                                 |Star                                  |04 48 38.9831259408 -03 18 52.488456732|201.0299698986865 -28.6815970650757|  -7.418 10.005   |9.09     |F2V             |    ~     ~    
102 |HD 30797                                                                                                 |Star                                  |04 50 32.0315015424 -02 55 34.302186228|200.9067819325320 -28.0813368694406|  -3.508 -2.540   |8.21     |K0III           |    ~     ~    
103 |HD 30899                                                                                                 |High Proper Motion Star               |04 51 29.4443380416 -03 08 43.021543524|201.2556345414108 -27.9801223637404|  5.167 -56.859   |8.29     |K1III           |    ~     ~    
104 |HD 30914                                                                                                 |Star                                  |04 51 30.5877059544 -03 39 34.340456340|201.7677346840308 -28.2259412259176|  -10.265 1.558   |7.30     |K1III           |    ~     ~    
105 |HD 30938                                                                                                 |Star                                  |04 51 37.1630863008 -02 56 59.322069492|201.0803723331045 -27.8565999066315|   4.122 -3.577   |8.38     |K1III           |    ~     ~    
106 |BD-03 914                                                                                                |Star                                  |04 52 02.9586566256 -03 42 05.696029080|201.8833638138850 -28.1284933975352|    4.505 4.588   |9.04     |K0              |    ~     ~    
107 |HD 31021                                                                                                 |Star                                  |04 52 22.1163799368 -03 10 22.541852244|201.4038089059767 -27.8022668050876|-14.320 -15.029   |7.57     |A1/2IV/V        |    ~     ~    
108 |HD 30654                                                                                                 |Star                                  |04 49 22.3889569560 -03 46 56.675441748|201.5961184021574 -28.7517481202344|  20.067 -3.682   |8.50     |F3V             |    ~     ~    
109 |HD 30781                                                                                                 |Star                                  |04 50 27.8687073816 -03 51 54.751366368|201.8288927589317 -28.5536668717040|  15.733 -4.813   |7.36     |K0III           |    ~     ~    
110 |HD 30268                                                                                                 |Star                                  |04 46 01.5225269784 -04 05 05.161505748|201.4349730730951 -29.6285638321357|   2.917 -6.527   |8.26     |A5/7IV          |    ~     ~    
111 |HD 30347                                                                                                 |Star                                  |04 46 38.9303868384 -04 36 25.232051916|202.0477456505489 -29.7447600039071|  31.792 -7.703   |9.00     |G0              |    ~     ~    
112 |HD 30346                                                                                                 |Star                                  |04 46 38.6610355440 -04 28 34.849670736|201.9152567698045 -29.6828482593215| -6.499 -12.482   |8.20     |K3III           |    ~     ~    
113 |HD 30798                                                                                                 |Star                                  |04 50 37.7770416504 -04 07 16.972514688|202.1070773856798 -28.6412101549054|   7.783 -1.700   |9.07     |A3IV            |    ~     ~    
114 |BD-05 1032                                                                                               |High Proper Motion Star               |04 46 44.5817433912 -05 03 27.459495972|202.5167172924317 -29.9400404520629| 17.901 -53.209   |9.51     |G2              |    ~     ~    
115 |HD 30637                                                                                                 |Variable Star                         |04 49 13.5247262280 -04 59 11.393426004|202.7838707616250 -29.3626801077656|   -0.784 3.972   |7.15     |B3II/III        |    ~     ~    
116 |HD 30756                                                                                                 |Star                                  |04 50 10.2424932936 -05 12 41.470825104|203.1391802124923 -29.2623984345198|   -7.510 0.459   |8.17     |K2IIICNII       |    ~     ~    
117 |BD-05 1065                                                                                               |Star                                  |04 52 18.9384728472 -04 46 58.065146580|202.9977276784336 -28.5887223782187|   9.327 -0.521   |9.676    |F8              |    ~     ~    
118 |BD-04 938                                                                                                |Double or Multiple Star               |04 46 32.82638 -04 36 18.6825          |202.03186587 -29.76611275          |-191.49 -146.02   |10.07    |~               |    ~     ~    
