C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:08:41

Vmag< 11&dec< 0&rah >=4.75&rah< 5.0
-----------------------------------

Number of objects : 3873

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
3111|CD-61 971                                                                                                |High Proper Motion Star               |04 50 41.1659186736 -61 31 19.058036700|271.4468747730670 -37.8936018837739|-58.361 -54.409   |9.90     |~               |    ~     ~    
3112|HD 31498                                                                                                 |Star                                  |04 52 23.4463271784 -61 32 23.927965152|271.4126702459956 -37.6914562506028| -10.093 -4.362   |9.05     |F2/3V           |    ~     ~    
3113|HD 31575                                                                                                 |Star                                  |04 52 57.5897066280 -61 22 59.566306944|271.2008142323269 -37.6586215220682|   -5.799 8.153   |8.04     |K2III           |    ~     ~    
3114|CD-61 980                                                                                                |Star                                  |04 53 02.0774772456 -61 02 12.031207512|270.7702267614506 -37.7224148193578|-11.359 -28.801   |9.51     |~               |    ~     ~    
3115|HD 31644                                                                                                 |Star                                  |04 53 44.4011790096 -60 51 40.723564644|270.5311448760115 -37.6744620777482|   12.675 8.570   |9.05     |K4/5(III)       |    ~     ~    
3116|CD-61 986                                                                                                |Star                                  |04 54 01.8590287056 -61 15 58.099841172|271.0224019958721 -37.5574230547845| -3.300 -30.432   |9.18     |~               |    ~     ~    
3117|HD 31703                                                                                                 |Star                                  |04 54 00.8154561312 -61 43 02.395970832|271.5791977845636 -37.4651788086450|  -3.174 14.093   |8.20     |K4III           |    ~     ~    
3118|CD-61 993                                                                                                |Star                                  |04 55 59.3768923200 -61 05 40.935310800|270.7510875343891 -37.3606439825280|   5.682 11.660   |10.28    |~               |    ~     ~    
3119|CD-62 180                                                                                                |Star                                  |04 45 02.7520712376 -62 29 35.503123380|272.8471873941525 -38.3020382682150|  24.611 30.362   |8.93     |~               |    ~     ~    
3120|CPD-62 385                                                                                               |High Proper Motion Star               |04 47 07.5877158096 -62 43 45.771995352|273.0596791381382 -38.0102857419750|  18.577 99.356   |10.06    |~               |    ~     ~    
3121|CPD-62 386                                                                                               |Star                                  |04 47 30.8033647344 -62 25 39.721403676|272.6747412061377 -38.0426908497227|   -7.136 4.163   |10.04    |~               |    ~     ~    
3122|CD-62 181                                                                                                |High Proper Motion Star               |04 48 31.3161429600 -62 29 02.696976708|272.7076959754278 -37.9158100031934|  30.511 94.486   |9.16     |~               |    ~     ~    
3123|CD-62 182                                                                                                |High Proper Motion Star               |04 49 24.2721958608 -62 17 02.992009488|272.4306001166693 -37.8647497561831|  43.940 41.815   |9.63     |~               |    ~     ~    
3124|CD-62 183                                                                                                |Star                                  |04 50 00.0514799472 -62 14 09.066844896|272.3503838774887 -37.8087519081962| -21.398 17.963   |9.30     |~               |    ~     ~    
3125|CPD-62 393                                                                                               |Star                                  |04 50 52.7369472336 -62 32 16.748016432|272.6914212234239 -37.6388334415646|    2.571 4.488   |10.600   |~               |    ~     ~    
3126|HD 30880                                                                                                 |Star                                  |04 47 15.3420762528 -62 49 44.599901160|273.1772677857518 -37.9707242825014|-15.727 -18.756   |7.87     |F3IV            |    ~     ~    
3127|CPD-63 371                                                                                               |Star                                  |04 47 47.5852890864 -63 13 08.055967800|273.6351977998688 -37.8123074300916| 14.800 -41.094   |10.212   |~               |    ~     ~    
3128|HD 31079                                                                                                 |Star                                  |04 48 39.5320659144 -62 58 45.559455240|273.3105061665988 -37.7782465196250|   3.927 19.374   |8.60     |A2V             |    ~     ~    
3129|HD 31263                                                                                                 |Star                                  |04 49 59.5433967072 -63 09 53.990503128|273.4903850303435 -37.5858843465285|   1.946 14.240   |9.27     |A8mA8-F2        |    ~     ~    
3130|CPD-62 394                                                                                               |Chemically Peculiar Star              |04 52 09.1144825560 -62 09 12.207546504|272.1760491705135 -37.5835935597561|   40.651 5.762   |10.224   |~               |    ~     ~    
3131|IRAS 04477-6230                                                                                          |Star                                  |04 48 15.6970781352 -62 25 41.637852840|272.6483548143851 -37.9586410199842|    3.532 9.403   |10.14    |~               |    ~     ~    
3132|WT 160                                                                                                   |Double or Multiple Star               |04 51 55.528800 -60 57 58.19220        |270.718503176 -37.868603992        |   -51.5 -192.2   |10.41    |~               |    ~     ~    
3133|CD-61 955                                                                                                |High Proper Motion Star               |04 46 41.2281569040 -61 25 41.713466484|271.4708880324780 -38.3797560838131|  36.807 54.948   |10.383   |~               |    ~     ~    
3134|CPD-62 396                                                                                               |Star                                  |04 53 04.4327347776 -61 53 30.970542480|271.8242081358343 -37.5360612256691|   1.719 16.957   |10.229   |~               |    ~     ~    
3135|CD-61 987                                                                                                |High Proper Motion Star               |04 54 05.3535690312 -61 19 13.172629296|271.0874586924826 -37.5394038606843|  57.341 33.407   |10.603   |~               |    ~     ~    
3136|CPD-62 397                                                                                               |Star                                  |04 54 17.2490355096 -62 02 18.976569756|271.9657103818260 -37.3651017946996|  12.096 36.243   |10.827   |~               |    ~     ~    
3137|CPD-63 368                                                                                               |Star                                  |04 45 54.3648185400 -63 05 40.140827592|273.5530020670263 -38.0503300100375|  -0.268 17.249   |10.535   |~               |    ~     ~    
3138|CPD-62 384                                                                                               |Star                                  |04 46 50.1663165120 -61 50 27.394479600|271.9760496454699 -38.2633280471195|   7.800 11.395   |10.040   |~               |    ~     ~    
3139|CD-61 960                                                                                                |Star                                  |04 48 23.0030005416 -60 57 53.268826896|270.8357889519631 -38.2883467273163|  -6.230 -0.666   |10.58    |~               |    ~     ~    
3140|CPD-62 390                                                                                               |Spectroscopic Binary                  |04 49 29.0873290296 -61 50 34.076908788|271.8840381025786 -37.9593428856185|    7.432 9.384   |9.30     |~               |    ~     ~    
3141|CD-61 972                                                                                                |Star                                  |04 51 07.2798589488 -61 28 10.426703772|271.3675616253411 -37.8545866594050|   -6.454 5.272   |10.379   |~               |    ~     ~    
3142|CPD-62 395                                                                                               |Star                                  |04 52 23.1670078008 -62 25 09.924751164|272.4950855402187 -37.4968758060159|  10.306 11.259   |10.212   |~               |    ~     ~    
3143|CD-61 983                                                                                                |Star                                  |04 53 42.2077329336 -61 05 43.722504528|270.8218586327961 -37.6311350022723|  -0.363 -0.165   |10.377   |~               |    ~     ~    
3144|CD-61 991                                                                                                |Star                                  |04 54 49.3297146960 -61 02 52.002626784|270.7283508260491 -37.5083192774302|    9.082 1.521   |10.303   |~               |    ~     ~    
3145|TYC 8877-77-1                                                                                            |Star                                  |04 52 56.9371446888 -60 58 06.037730256|270.6884087025103 -37.7467070188253|  14.576 -7.879   |10.771   |~               |    ~     ~    
3146|TYC 8880-220-1                                                                                           |Star                                  |04 45 40.1620672992 -62 25 25.849872480|272.7382249036515 -38.2502019592702|  -0.211 -6.872   |10.532   |~               |    ~     ~    
3147|TYC 8881-76-1                                                                                            |High Proper Motion Star               |04 51 33.9318896472 -62 10 50.026380960|272.2290244890859 -37.6441076290775|  66.685 21.139   |10.86    |~               |    ~     ~    
3148|HD 32534                                                                                                 |Star                                  |04 58 49.7465741208 -66 43 45.735272940|277.5015004170001 -35.7877952752584|   9.338 13.644   |9.81     |A9IV/V          |    ~     ~    
3149|HD 31795                                                                                                 |Star                                  |04 54 15.0078996024 -63 50 15.840133800|274.1660529395877 -36.9621707561820|   -8.351 0.244   |9.41     |A3V             |    ~     ~    
3150|HD 31146                                                                                                 |Star                                  |04 48 52.7378300520 -64 23 17.120823144|275.0199555508934 -37.3907139483200|   7.875 23.368   |8.56     |K0III           |    ~     ~    
3151|HD 31531                                                                                                 |Star                                  |04 52 14.9857475592 -63 56 29.691810996|274.3591428339920 -37.1505298704774|   7.442 -2.512   |9.63     |K1/2III         |    ~     ~    
3152|HD 270857                                                                                                |Double or Multiple Star               |04 53 39.3447907272 -64 09 17.903555064|274.5709991006893 -36.9490192763788|  20.610 -8.909   |10.219   |K2              |    ~     ~    
3153|HD 31930                                                                                                 |Star                                  |04 55 10.4897150112 -63 57 32.217934536|274.2832639424246 -36.8346878118465| -31.096 16.090   |8.24     |F5IV            |    ~     ~    
3154|HD 32108                                                                                                 |High Proper Motion Star               |04 56 05.3407485480 -64 34 51.333533904|275.0076460238175 -36.5907751799508| -49.683 45.107   |9.04     |G8IV            |    ~     ~    
3155|HD 32300                                                                                                 |Star                                  |04 57 32.0562210096 -64 31 05.079162684|274.8860988388489 -36.4546977970966|   9.216 -4.535   |9.74     |K2III           |    ~     ~    
3156|HD 32339                                                                                                 |Star                                  |04 57 51.3980716272 -64 35 54.242102472|274.9732110852363 -36.4023740782565|   14.753 2.437   |9.02     |K3III           |    ~     ~    
3157|HD 32414                                                                                                 |Star                                  |04 58 37.0487835936 -63 57 27.598907124|274.1742622572177 -36.4670950281778|  -9.279 -4.751   |9.31     |G6/8III         |    ~     ~    
3158|HD 270732                                                                                                |Star                                  |04 46 35.8447074432 -65 26 46.489181892|276.3833318051437 -37.3288388494250|   -7.366 2.756   |9.80     |F8              |    ~     ~    
3159|HD 270742                                                                                                |Star                                  |04 47 05.3535026376 -65 01 35.343160248|275.8586858835323 -37.3993820605266|  10.811 31.626   |10.68    |K0              |    ~     ~    
3160|HD 270780                                                                                                |Star                                  |04 48 34.9881349416 -65 44 41.116045344|276.6684111603797 -37.0467087500333|    2.225 6.043   |10.56    |A5              |    ~     ~    
3161|HD 270792                                                                                                |Star                                  |04 49 17.7506925816 -65 35 06.385123140|276.4505980188322 -37.0213046396811|   5.581 25.526   |9.83     |G0              |    ~     ~    
3162|HD 270802                                                                                                |Double or Multiple Star               |04 50 06.2912566416 -65 04 51.030740172|275.8140406381836 -37.0787604791323|      13.9 10.2   |10.038   |F8              |    ~     ~    
3163|HD 270810                                                                                                |Star                                  |04 50 29.0264861040 -65 11 00.478199544|275.9243702725518 -37.0126991106229| -10.866 17.530   |9.80     |G0              |    ~     ~    
3164|HD 270846                                                                                                |Star                                  |04 52 25.0039412808 -65 26 09.929612652|276.1612529214231 -36.7506638376746|    4.348 2.738   |9.59     |K2              |    ~     ~    
3165|HD 270864                                                                                                |Star                                  |04 54 15.5590691424 -65 23 54.367869228|276.0536471195454 -36.5754782365289| -7.216 -41.305   |9.72     |G0              |    ~     ~    
3166|HD 31931                                                                                                 |Star                                  |04 55 01.8420030360 -64 57 42.815752056|275.5021011488159 -36.6073342217371|   7.484 24.753   |10.19    |F0III/IV        |    ~     ~    
3167|HD 32255                                                                                                 |Star                                  |04 57 06.5134323960 -65 00 57.297860064|275.5005636312918 -36.3811654662782|  12.966 41.577   |7.21     |A2/3V           |    ~     ~    
3168|HD 270904                                                                                                |Star                                  |04 57 41.6896005384 -65 17 03.335530956|275.8054361758494 -36.2568253439504|   5.764 16.955   |9.71     |K5              |    ~     ~    
3169|HD 30805                                                                                                 |Double or Multiple Star               |04 45 59.1734744 -66 04 43.328351      |277.1660320701 -37.2026215442      |    28.67 33.65   |7.38     |F3V             |0.0033  0.0    
3170|HD 30954                                                                                                 |Star                                  |04 47 07.1463228936 -66 00 25.099984476|277.0372729131856 -37.1140750217836|   1.360 10.183   |9.04     |A2V             |    ~     ~    
3171|HD 31011                                                                                                 |Double or Multiple Star               |04 47 29.232648 -66 07 14.49408        |277.159778344 -37.044978560        |      -11.0 2.6   |9.947    |F0/2V           |    ~     ~    
3172|HD 270825                                                                                                |Star                                  |04 51 10.4614947192 -65 58 31.229897916|276.8522084161484 -36.7277312779796|   33.663 8.051   |10.26    |G5              |    ~     ~    
3173|HD 270849                                                                                                |Spectroscopic Binary                  |04 52 23.7558049416 -66 14 27.282728220|277.1278626179065 -36.5356572158980|    3.889 1.979   |10.352   |K2              |    ~     ~    
3174|HD 32228                                                                                                 |Wolf-Rayet                            |04 56 34.666 -66 28 26.34              |277.267523 -36.069368              |            ~ ~   |10.830   |WC4+O9.5II:     | 1.00  0.90    
3175|CCDM J04566-6628EF                                                                                       |Double or Multiple Star               |04 56 33.5 -66 28 25                   |277.2677 -36.0713                  |            ~ ~   |10.9     |~               |    ~     ~    
3176|NAME HRR1 Cluster                  NAME SK -66 41 Cluster             HD 268743                          |Cluster of Stars                      |04 57 44.22312 -66 27 40.1724          |277.21538444 -35.96085034          |        1.6 1.2   |10.924   |~               | 0.07  0.07    
3177|HD 32427                                                                                                 |Star                                  |04 58 16.5638711424 -66 15 36.283557492|276.9581553113657 -35.9593493919444|  -0.708 15.141   |9.22     |G6IV            |    ~     ~    
3178|HD 32533                                                                                                 |Star                                  |04 58 58.1761769088 -66 12 15.152413716|276.8698778923587 -35.9055412611248| 37.153 -18.725   |9.893    |F8/G0V          |    ~     ~    
3179|NGC 1761                           NGC 1761                                                              |Association of Stars                  |04 56 39.0 -66 29 00                   |277.2764 -36.0600                  |            ~ ~   |9.94     |~               |    ~     ~    
3180|HD 270805                                                                                                |Star                                  |04 49 57.8925868464 -65 37 10.456853304|276.4679533666640 -36.9453517342447|    5.653 5.066   |9.74     |K0              |    ~     ~    
3181|CPD-64 374                                                                                               |Star                                  |04 51 22.9439113056 -63 52 21.271035504|274.3049814818745 -37.2600599851811| -19.888 14.671   |10.42    |~               |    ~     ~    
3182|CPD-64 377                                                                                               |Star                                  |04 52 45.9223424832 -64 06 06.251360508|274.5362341495811 -37.0562460471169|   -0.273 9.816   |10.49    |~               |    ~     ~    
3183|CPD-64 388                                                                                               |Star                                  |04 55 53.0624416440 -64 07 17.308533612|274.4577424969593 -36.7210502574638| -8.619 -12.456   |10.02    |~               |    ~     ~    
3184|CPD-64 390                                                                                               |Star                                  |04 56 28.1535551937 -64 29 15.035127457|274.8825477476135 -36.5732861410312|  18.618 27.412   |10.204   |~               |    ~     ~    
3185|HD 270895                                                                                                |Star                                  |04 57 12.0603891984 -64 21 27.144245736|274.7022411446243 -36.5269201134404| -8.240 -10.636   |10.564   |~               |    ~     ~    
3186|HD 270901                                                                                                |Star                                  |04 57 14.9702864616 -65 30 08.331585084|276.0816974437257 -36.2487568733502|    1.253 6.301   |10.10    |K0              |    ~     ~    
3187|HD 270755                                                                                                |Star                                  |04 47 27.3532748832 -65 50 20.312984184|276.8231857312319 -37.1303013321573|  -0.523 11.587   |10.23    |F5              |    ~     ~    
3188|HD 270762                                                                                                |Star                                  |04 47 51.6046356816 -65 34 44.623057044|276.4958994185502 -37.1653469274598|  17.433 -2.228   |10.65    |K0              |    ~     ~    
3189|HD 270801                                                                                                |Double or Multiple Star               |04 49 43.490544 -65 57 54.50328        |276.891478068 -36.872267134        |            ~ ~   |10.08    |K0              |    ~     ~    
3190|HD 270811                                                                                                |High Proper Motion Star               |04 50 12.4099204824 -66 22 40.645202376|277.3684938841991 -36.7083866548858|  24.769 76.793   |10.918   |F5              |    ~     ~    
3191|HD 270761                                                                                                |Star                                  |04 47 59.9299387344 -64 56 34.178974584|275.7237967480440 -37.3304511291750|    5.170 3.747   |10.902   |~               |    ~     ~    
3192|HD 270771                                                                                                |Star                                  |04 48 07.7807349264 -65 28 01.017489936|276.3510504661989 -37.1704496590338|    0.344 7.645   |10.280   |K7              |    ~     ~    
3193|HD 270798                                                                                                |Star                                  |04 49 39.5883420840 -65 16 01.940833020|276.0547447007734 -37.0729863551096|    9.533 7.456   |10.91    |M0              |    ~     ~    
3194|HD 270795                                                                                                |Star                                  |04 49 40.4065105704 -64 41 24.296927820|275.3572137448113 -37.2278205524482|  19.897 29.023   |10.66    |~               |    ~     ~    
3195|HD 270799                                                                                                |Star                                  |04 49 53.2384771632 -64 51 24.634671804|275.5512588061483 -37.1612229708451|   1.278 -0.562   |10.78    |K7              |    ~     ~    
3196|HD 270820                                                                                                |Star                                  |04 50 50.6913733944 -65 56 00.145588236|276.8134803688594 -36.7716059167937|    5.043 8.502   |10.35    |K7              |    ~     ~    
3197|HD 270833                                                                                                |Star                                  |04 51 48.5017185048 -64 52 36.618603564|275.5078395210414 -36.9592165662163|  25.537 32.108   |10.91    |K2              |    ~     ~    
3198|HD 270840                                                                                                |Star                                  |04 52 11.2701709896 -65 23 51.797292540|276.1229439790686 -36.7837880542946|   -0.903 5.316   |10.87    |K5              |    ~     ~    
3199|CPD-64 376                                                                                               |Star                                  |04 52 31.5333391536 -63 50 42.265570344|274.2324240350440 -37.1448611596876|  24.681 -9.149   |10.83    |~               |    ~     ~    
3200|HD 270855                                                                                                |Star                                  |04 53 34.1575539408 -64 12 05.954371308|274.6305173077545 -36.9467374977235|  -3.836 -4.075   |10.518   |~               |    ~     ~    
3201|HD 270861                                                                                                |High Proper Motion Star               |04 53 48.4812365904 -65 04 09.724651212|275.6722198027076 -36.7052822636832|  46.839 76.005   |10.71    |K0              |    ~     ~    
3202|HD 270869                                                                                                |Star                                  |04 54 38.9078043432 -64 42 27.175447620|275.2074324896081 -36.7096287115149|  10.662 29.780   |10.045   |~               |    ~     ~    
3203|HD 270871                                                                                                |Star                                  |04 54 42.2998339992 -64 34 25.726702044|275.0438418384855 -36.7366198329237|    3.026 2.106   |10.703   |~               |    ~     ~    
3204|CPD-64 381                                                                                               |Star                                  |04 54 42.9761063040 -63 58 11.556430392|274.3113930786512 -36.8810001932543|    1.480 0.677   |10.20    |~               |    ~     ~    
3205|HD 270870                                                                                                |Star                                  |04 54 45.7393205688 -64 29 20.100689988|274.9392240747125 -36.7513688890383|   2.974 10.792   |10.898   |~               |    ~     ~    
3206|HD 270876                                                                                                |Spectroscopic Binary                  |04 55 25.4985612408 -64 43 57.566355168|275.2124404592183 -36.6231023657528|  14.547 34.040   |10.275   |~               |    ~     ~    
3207|HD 270877                                                                                                |Star                                  |04 55 26.1064230264 -64 46 46.376412600|275.2687682981441 -36.6106142093480| 19.767 -21.515   |10.185   |~               |    ~     ~    
3208|HD 270881                                                                                                |Star                                  |04 55 35.2111641072 -65 40 00.388033896|276.3325978467742 -36.3740202587731|    1.797 5.712   |10.37    |M0              |    ~     ~    
3209|TYC 8885-99-1                                                                                            |Star                                  |04 56 10.3954398816 -64 10 22.876813560|274.5110547269306 -36.6783683123421|   9.692 25.630   |10.97    |~               |    ~     ~    
3210|CPD-64 391                                                                                               |Star                                  |04 56 41.6838386352 -63 52 00.675222348|274.1231347026444 -36.6934635432742|  6.048 -10.283   |10.18    |~               |    ~     ~    
3211|HD 270907                                                                                                |Star                                  |04 57 49.3775761368 -65 32 47.921927172|276.1169736680232 -36.1803238989604|   6.002 21.333   |10.08    |~               |    ~     ~    
3212|HD 270908                                                                                                |Star                                  |04 57 55.5092445216 -65 35 52.905814764|276.1755167006739 -36.1575550795902| -24.268 14.726   |10.965   |~               |    ~     ~    
3213|HD 268738                                                                                                |Star                                  |04 57 57.2818389120 -66 08 38.685454368|276.8293758477363 -36.0197606311622|   3.039 14.393   |9.97     |K2              |    ~     ~    
3214|CPD-64 396                                                                                               |Star                                  |04 58 38.7338286144 -64 00 31.531076208|274.2353665204893 -36.4527868359085|    6.097 6.389   |10.91    |~               |    ~     ~    
3215|HD 270753                                                                                                |Star                                  |04 47 15.8856067632 -66 13 32.328205212|277.2937187206252 -37.0355085106395|  16.200 25.603   |10.80    |K0              |    ~     ~    
3216|HD 270769                                                                                                |High Proper Motion Star               |04 47 54.5511080688 -66 10 27.959396556|277.2084664725189 -36.9884403120119|  54.985 19.465   |10.648   |G0              |    ~     ~    
3217|HD 270831                                                                                                |Star                                  |04 51 15.0483683400 -66 32 02.473536804|277.5180510676887 -36.5640877563647|    3.445 0.295   |10.93    |F8              |    ~     ~    
3218|HD 268670                                                                                                |Spectroscopic Binary                  |04 55 34.8832195800 -66 15 24.891367104|277.0402384478580 -36.2223580489209|  0.990 -16.413   |10.55    |K0              |    ~     ~    
3219|TYC 8884-336-1                                                                                           |Star                                  |04 50 04.7533155720 -63 46 08.785824996|274.2245864281095 -37.4252255787868| -15.864 12.568   |10.55    |~               |    ~     ~    
3220|TYC 8885-148-1                                                                                           |Star                                  |04 55 20.5336787904 -63 54 43.120943172|274.2208273972549 -36.8278332754040|  -1.284 21.871   |10.738   |~               |    ~     ~    
3221|HD 270920                                                                                                |Star                                  |04 59 09.0605370384 -65 40 03.723642912|276.2213665109898 -36.0180249468014|   1.651 -0.016   |9.91     |G5I:            |    ~     ~    
3222|HD 268636                                                                                                |Star                                  |04 53 34.0536346104 -66 26 14.701441956|277.3229240710425 -36.3688785094858|    1.357 7.516   |10.65    |K0              |    ~     ~    
3223|HD 270747                                                                                                |Star                                  |04 47 07.4330032488 -66 03 22.795223292|277.0962480626441 -37.0990926954338|   6.967 25.472   |10.441   |~               |    ~     ~    
3224|NGC 1763                           NGC 1763                                                              |Association of Stars                  |04 56 51.5 -66 24 25                   |277.1784 -36.0596                  |            ~ ~   |9.40     |~               |    ~     ~    
3225|NGC 1783                           NGC 1783                                                              |Globular Cluster                      |04 59 08.590 -65 59 15.84              |276.605387 -35.941535              |            ~ ~   |10.93    |~               | 5.30  4.70    
3226|HD 30671                                                                                                 |Star                                  |04 45 20.2635343848 -63 41 17.068158528|274.3004169770442 -37.9527106780653| -2.938 -10.674   |9.38     |F0IV/V          |    ~     ~    
3227|HD 30749                                                                                                 |High Proper Motion Star               |04 45 58.5386925144 -63 33 27.803471688|274.1170016287674 -37.9197646570085|   6.534 77.600   |8.10     |K0III           |    ~     ~    
3228|HD 31029                                                                                                 |High Proper Motion Star               |04 48 08.5981763160 -63 44 37.783620060|274.2633792852382 -37.6385154526665|  15.692 47.477   |8.73     |K2III           |    ~     ~    
3229|CPD-64 372                                                                                               |Star                                  |04 49 08.0705097048 -63 47 06.798730668|274.2778861599776 -37.5219781223630|  -8.686 -2.199   |10.32    |~               |    ~     ~    
3230|HD 270703                                                                                                |Star                                  |04 45 22.9474162104 -64 48 21.502713384|275.6569675616231 -37.6354922222190|   6.637 12.684   |9.872    |F5              |    ~     ~    
3231|TYC 8884-268-1                                                                                           |Star                                  |04 45 06.4996035576 -64 14 48.938925876|274.9897104368686 -37.8222781007496|    0.411 5.197   |10.90    |~               |    ~     ~    
3232|CPD-64 370                                                                                               |Star                                  |04 46 02.3399751912 -64 06 23.899927500|274.7835379102475 -37.7638962015811|  -0.392 12.413   |10.811   |~               |    ~     ~    
3233|HD 270715                                                                                                |Star                                  |04 45 58.0916763096 -64 53 37.606281936|275.7407178450833 -37.5507618140878|   9.743 -1.138   |9.94     |M0              |    ~     ~    
3234|HD 268893                                                                                                |Star                                  |04 59 39.8096631024 -69 17 43.649123964|280.5105639305110 -35.0283942409693| 14.400 -17.051   |10.71    |F8              |    ~     ~    
3235|HD 268886                                                                                                |Star                                  |04 59 11.5614266184 -69 28 55.022947320|280.7433229831130 -35.0156394206451|  26.284 33.550   |10.64    |G0              |    ~     ~    
3236|HD 268687                                                                                                |Yellow Supergiant                     |04 50 55.8562324872 -69 25 52.504903884|280.9513540427698 -35.7220914522326|   1.988 -0.103   |10.730   |F6Ia            |    ~     ~    
3237|NGC 1772                           NGC 1772                                                              |Cluster of Stars                      |04 56 54.480 -69 33 25.36              |280.901752 -35.185276              |            ~ ~   |10.97    |~               | 1.50  1.40    
3238|HD 30818                                                                                                 |Spectroscopic Binary                  |04 45 55.7114229720 -66 31 06.448238184|277.6940778190997 -37.0752436870426| 61.001 215.320   |8.81     |G0V             |    ~     ~    
3239|HD 31147                                                                                                 |High Proper Motion Star               |04 48 19.2963255816 -66 28 50.719705320|277.5595606642241 -36.8589513566322|-96.533 -143.335  |9.43     |F6V             |    ~     ~    
3240|HD 31248                                                                                                 |Star                                  |04 49 07.6934942160 -66 33 40.524510672|277.6262540753826 -36.7585323414149|    7.464 5.405   |9.30     |G8/K0III        |    ~     ~    
3241|HD 31754                                                                                                 |Variable Star                         |04 53 30.4967985768 -66 40 31.494258336|277.6091144697028 -36.3094448076702|   2.236 11.150   |6.416    |M0/1III         |    ~     ~    
3242|HD 268675                                                                                                |Blue Supergiant                       |04 54 57.3536407752 -66 45 08.817916860|277.6526650822242 -36.1507985079215|   1.764 -0.029   |10.770   |B8Ia            |    ~     ~    
3243|HD 31066                                                                                                 |High Proper Motion Star               |04 47 42.1522678080 -67 14 44.795220972|278.4933375758197 -36.6871820767400|  23.746 45.737   |9.70     |F3/5V           |    ~     ~    
3244|HD 270777                                                                                                |Star                                  |04 48 05.6227370064 -67 10 05.168301132|278.3866920639430 -36.6747830508255|  16.358 -5.783   |10.02    |F5              |    ~     ~    
3245|HD 31249                                                                                                 |Star                                  |04 48 57.8150292384 -67 42 50.441979024|279.0022047307352 -36.4288267656331|-22.999 -25.242   |7.64     |A2III/IV        |    ~     ~    
3246|V* WY Dor                                                                                                |Long-Period Variable                  |04 49 25.3575019320 -66 49 48.840917628|277.9363786787349 -36.6518657660261|   9.947 15.732   |9.70     |M4/5(III)       |    ~     ~    
3247|HD 270800                                                                                                |Star                                  |04 49 19.8147394392 -67 22 07.620663864|278.5799770803657 -36.5002679266674|    0.029 9.055   |10.46    |F2              |    ~     ~    
3248|HD 31672                                                                                                 |High Proper Motion Star               |04 52 38.2835690040 -67 08 58.370335260|278.2034247676833 -36.2587283575876|  -9.580 53.274   |9.29     |F7V             |    ~     ~    
3249|HD 268653                                                                                                |Blue Supergiant                       |04 53 30.0339060432 -66 55 28.189420104|277.9062875730004 -36.2412839808484|   1.751 -0.118   |10.76    |B3Ia            |    ~     ~    
3250|HD 31907                                                                                                 |Star                                  |04 54 20.8548963336 -67 17 07.489807800|278.3071861139131 -36.0616740607422|  12.840 22.986   |8.55     |M1III           |    ~     ~    
3251|HD 268768                                                                                                |Star                                  |04 57 14.2558181424 -67 34 49.427791212|278.5633828244835 -35.7140982584340|    1.320 4.452   |10.03    |F0              |    ~     ~    
3252|HD 32546                                                                                                 |Star                                  |04 58 48.6559093032 -67 06 05.893579800|277.9454621935885 -35.6943355785143|  17.002 27.458   |9.37     |G3/5III         |    ~     ~    
3253|HD 268678                                                                                                |Star                                  |04 53 19.6369667136 -67 50 48.721107912|279.0070133452010 -35.9954453722654| -10.286 13.651   |10.63    |G0              |    ~     ~    
3254|HD 30759                                                                                                 |Double or Multiple Star               |04 45 07.77750 -68 01 16.1994          |279.50707817 -36.67427526          |    40.19 68.23   |8.05     |F6/7V           |0.0033  0.0    
3255|HD 270750                                                                                                |Star                                  |04 46 40.1293971336 -68 07 18.863180688|279.5679201635384 -36.5057153594530|   5.533 15.646   |9.80     |K0              |    ~     ~    
3256|HD 30955                                                                                                 |Star                                  |04 46 27.9935584320 -68 44 30.935644512|280.3041132349171 -36.3219388901968|  19.461 24.255   |9.08     |F5V             |    ~     ~    
3257|HD 30969                                                                                                 |Star                                  |04 46 37.5054769680 -68 32 45.711368340|280.0684283438687 -36.3724159426087| -11.146 44.353   |7.21     |F7V             |    ~     ~    
3258|HD 31165                                                                                                 |Star                                  |04 47 58.1687689824 -68 45 58.631006844|280.2776772869358 -36.1852760878571|-12.864 -15.951   |9.003    |F3II/III        |    ~     ~    
3259|HD 268625                                                                                                |Star                                  |04 50 19.2526245312 -67 59 11.562977184|279.2758987910968 -36.2238398680861|    2.757 0.649   |10.895   |G5              |    ~     ~    
3260|HD 31532                                                                                                 |Double or Multiple Star               |04 51 20.7716250624 -68 04 10.746576300|279.3381311614533 -36.1073046663815| -60.103 60.507   |6.82     |G0V             |    ~     ~    
3261|HD 31562                                                                                                 |Star                                  |04 51 26.1238648632 -68 26 23.672796000|279.7715316757701 -35.9874442546296|   1.549 25.824   |8.99     |K1III           |    ~     ~    
3262|HD 31576                                                                                                 |Star                                  |04 51 36.9972370056 -68 05 43.701675864|279.3592406292258 -36.0754837356613|    2.877 3.238   |8.41     |K4II/III        |    ~     ~    
