C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:35:13

dec< 0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2700

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
54  |HD 19713                                                                                                 |High Proper Motion Star               |03 10 23.2369178856 -04 03 56.034805788|184.2711742609808 -49.6280853380425|   79.102 7.175   |8.74     |K1III           |    ~     ~    |    1|  318.319   pc  |  -2.6244     +2.6244    |paral   |2020yCat.1350....0G
55  |MCC 413                                                                                                  |Double or Multiple Star               |03 07 33.78623 -03 58 17.1445          |183.47320043 -50.11843282          |-266.12 -388.35   |10.858   |K7V             |0.0050  0.0    |    0|                |                         |        |                   
56  |NGC 1225                           NGC 1225                                                              |Galaxy towards a Group of Galaxies    |03 08 47.2014943896 -04 06 05.279581008|183.9289932548318 -49.9624589353902|            ~ ~   |     ~   |~               |0.683 0.383    |    1|   87.50    Mpc |                         |        |2016AJ....152...50T
57  |BD-04 523                                                                                                |High Proper Motion Star               |03 04 52.5228236424 -04 01 46.139979828|182.8786212343209 -50.6743181243517| 86.351 -22.174   |9.85     |~               |    ~     ~    |    1|  145.321   pc  |  -1.2930     +1.2930    |ST-L    |2020AJ....160...83S
58  |BD-04 526                                                                                                |High Proper Motion Star               |03 07 16.5221694624 -04 01 03.446330700|183.4586648028361 -50.2032655388667|-28.921 -65.952   |9.76     |~               |    ~     ~    |    1|  141.391   pc  |  -1.5190     +1.5190    |ST-L    |2020AJ....160...83S
59  |BD-04 530                                                                                                |Star                                  |03 08 44.3708594232 -03 54 19.802610900|183.6804141003946 -49.8488364823057|  5.328 -16.185   |10.74    |~               |    ~     ~    |    1|  203.865   pc  |  -0.7647     +0.7647    |paral   |2020yCat.1350....0G
60  |BD-04 539                                                                                                |Star                                  |03 10 56.3349383650 -04 09 46.906705039|184.5208545326337 -49.5807743855819|  43.430 -6.866   |10.61    |~               |    ~     ~    |    0|                |                         |        |                   
61  |BD-04 534                                                                                                |Star                                  |03 09 54.6611824632 -04 03 32.928612300|184.1491337978249 -49.7170177072354|  -2.062 -5.476   |10.02    |~               |    ~     ~    |    1|  194.560   pc  |  -1.2984     +1.2984    |paral   |2020yCat.1350....0G
62  |HD 19003                                                                                                 |High Proper Motion Star               |03 03 20.1015638232 -02 12 20.336487696|180.3182168465721 -49.7844049061963|133.738 -75.062   |9.46     |K0V             |    ~     ~    |    1|   63.273   pc  |  -0.0597     +0.0597    |paral   |2020yCat.1350....0G
63  |HD 19122                                                                                                 |Star                                  |03 04 29.3559868776 -02 09 59.871990312|180.5669602651924 -49.5420306003531|   3.726 -3.295   |9.16     |K0III           |    ~     ~    |    1|  468.847   pc  | -13.2000    +13.2000    |ST-L    |2020AJ....160...83S
64  |HD 19235                                                                                                 |Star                                  |03 05 36.8610462288 -02 22 08.204907900|181.0860478024834 -49.4627700416927|   14.239 0.391   |9.36     |G8III           |    ~     ~    |    1|  512.295   pc  |  -3.9104     +3.9104    |paral   |2020yCat.1350....0G
65  |HD 18976                                                                                                 |Star                                  |03 02 57.2133629280 -02 59 52.800574920|181.1515781469417 -50.3767964500797|  27.297 -3.088   |8.07     |K0III           |    ~     ~    |    1|  254.810   pc  |  -1.6167     +1.6167    |paral   |2020yCat.1350....0G
66  |BD-03 486                                                                                                |Star                                  |03 03 39.1948809384 -02 38 52.706750100|180.9164157418972 -50.0157152340290|   5.269 -6.647   |9.25     |K0              |    ~     ~    |    1|  563.730   pc  |  -5.0529     +5.0529    |paral   |2020yCat.1350....0G
67  |HD 19247                                                                                                 |High Proper Motion Star               |03 05 44.4981592560 -02 55 33.065519664|181.7711129680295 -49.8008172136480|  62.314 -4.195   |9.74     |F3/5V           |    ~     ~    |    1|  238.487   pc  |  -1.0238     +1.0238    |paral   |2020yCat.1350....0G
68  |HD 19630                                                                                                 |Star                                  |03 09 27.5165444616 -03 14 03.390413316|183.0523073407067 -49.2859848448934|  -3.003 -1.740   |8.80     |F0V             |    ~     ~    |    1|  172.114   pc  |  -1.5108     +1.5108    |paral   |2020yCat.1350....0G
69  |BD-03 507                                                                                                |Star                                  |03 10 58.0690559208 -02 41 22.313137092|182.7770638231464 -48.6487465110323|   10.595 5.826   |9.75     |K0              |    ~     ~    |    1|  520.346   pc  |  -4.1697     +4.1697    |paral   |2020yCat.1350....0G
70  |HD 18985                                                                                                 |Star                                  |03 03 07.4834236104 -03 28 12.106265304|181.7595650883564 -50.6509667400288| -10.852 -9.327   |8.69     |K1III           |    ~     ~    |    1|  482.975   pc  |  -6.1349     +6.1349    |paral   |2020yCat.1350....0G
71  |HD 19542                                                                                                 |Double or Multiple Star               |03 08 27.0590474 -03 35 23.567123      |183.2306756908 -49.7058245332      |    36.85 14.58   |8.79     |F5/6V           |0.0050  0.0    |    0|                |                         |        |                   
72  |HD 19570                                                                                                 |High Proper Motion Star               |03 08 45.0680154432 -03 41 15.007403292|183.4208514657718 -49.7094120569184|-24.918 -50.631   |8.92     |G8V             |    ~     ~    |    1|  168.600   pc  |  -0.5600     +0.5600    |paral   |2020yCat.1350....0G
73  |HD 19687                                                                                                 |Star                                  |03 10 06.4202435328 -03 32 28.810212864|183.5742834188434 -49.3546013731986|    0.176 6.812   |9.70     |A9IV/V          |    ~     ~    |    1|  340.483   pc  |  -5.6689     +5.6689    |paral   |2020yCat.1350....0G
74  |NGC 1222                           NGC 1222                                                              |Starburst Galaxy                      |03 08 56.7398731608 -02 57 18.587969280|182.5977354682247 -49.2069830872476|  -0.101 -0.429   |     ~   |~               |0.733 0.543    |    1|   31.0000  Mpc |                         |redshift|2019A&A...631A..38L
75  |StKM 1-340                                                                                               |High Proper Motion Star               |03 04 34.9894328688 -02 27 18.523246788|180.9265193865425 -49.7139221875354|24.470 -117.172   |10.80    |K4/5            |    ~     ~    |    1|   62.247   pc  |  -0.2861     +0.2861    |ST-L    |2020AJ....160...83S
76  |BD-03 484                                                                                                |Star                                  |03 02 57.2702564760 -03 14 52.303234632|181.4496641576628 -50.5393291706849|-11.298 -21.677   |10.714   |~               |    ~     ~    |    1|  531.067   pc  | -17.8000    +17.8000    |ST-L    |2020AJ....160...83S
77  |BD-03 485                                                                                                |Star                                  |03 03 28.9900585968 -02 26 30.562903392|180.6313539019344 -49.9123820580004|   34.804 2.700   |10.09    |~               |    ~     ~    |    1|  670.196   pc  |  -6.9620     +6.9620    |paral   |2020yCat.1350....0G
78  |BD-03 487                                                                                                |Star                                  |03 03 43.1987778288 -03 12 06.276456252|181.5893227231316 -50.3640422332114| -3.959 -11.450   |10.964   |~               |    ~     ~    |    1|  321.278   pc  |  -6.0830     +6.0830    |ST-L    |2020AJ....160...83S
79  |BD-03 490                                                                                                |Star                                  |03 04 28.8169313376 -02 30 32.800235436|180.9635694151891 -49.7686875769092|   27.902 3.261   |9.86     |~               |    ~     ~    |    1|  135.942   pc  |  -0.4066     +0.4066    |paral   |2020yCat.1350....0G
80  |BD-04 521                                                                                                |Star                                  |03 04 31.9750597224 -03 36 29.771924184|182.2822552269493 -50.4711739519535|    4.807 0.370   |10.504   |~               |    ~     ~    |    1| 1600.600   pc  |-150.5000   +150.5000    |ST-L    |2020AJ....160...83S
81  |BD-03 492                                                                                                |Star                                  |03 05 20.7866928408 -02 39 40.771107000|181.3604919345588 -49.7042304655772|  29.271 -1.290   |10.92    |~               |    ~     ~    |    1|  372.107   pc  |  -2.2431     +2.2431    |paral   |2020yCat.1350....0G
82  |BD-04 524                                                                                                |Star                                  |03 05 42.0688986984 -03 43 38.790139872|182.7183123290488 -50.3232421913862|   15.386 0.656   |10.76    |~               |    ~     ~    |    1|  219.684   pc  |  -1.0859     +1.0859    |paral   |2020yCat.1350....0G
83  |BD-03 494                                                                                                |Star                                  |03 05 45.0843154704 -03 15 22.113936360|182.1655080810579 -50.0119568318202|   9.847 13.513   |10.13    |~               |    ~     ~    |    1|  658.068   pc  |  -6.1061     +6.1061    |paral   |2020yCat.1350....0G
84  |BD-04 525                                                                                                |Star                                  |03 06 01.5905789136 -03 48 11.658912552|182.8907623992371 -50.3088605608466|-24.964 -29.223   |9.61     |~               |    ~     ~    |    1|  122.557   pc  |  -0.2809     +0.2809    |paral   |2020yCat.1350....0G
85  |BD-03 495                                                                                                |Star                                  |03 06 21.5509559256 -03 23 23.491377924|182.4764427441977 -49.9813309560066|  11.190 -1.712   |10.51    |~               |    ~     ~    |    1|  573.987   pc  |  -5.2714     +5.2714    |paral   |2020yCat.1350....0G
86  |BD-03 497                                                                                                |Star                                  |03 06 26.1805912440 -03 15 23.752510272|182.3366275332284 -49.8811844324214| -23.076 18.073   |10.21    |~               |    ~     ~    |    1|   80.889   pc  |  -0.0936     +0.0936    |paral   |2020yCat.1350....0G
87  |BD-03 498                                                                                                |Star                                  |03 06 30.9547983264 -02 28 36.362744364|181.4373951808148 -49.3623572637432|  24.358 15.516   |10.86    |~               |    ~     ~    |    1|  243.986   pc  |  -0.8453     +0.8453    |paral   |2020yCat.1350....0G
88  |BD-03 499                                                                                                |Star                                  |03 07 21.3870239688 -02 59 00.966112080|182.2408717653060 -49.5298334078607| -2.957 -10.334   |10.671   |~               |    ~     ~    |    1|  438.861   pc  | -22.9000    +22.9000    |ST-L    |2020AJ....160...83S
89  |BD-04 528                                                                                                |High Proper Motion Star               |03 07 54.5807209128 -03 38 26.582375688|183.1592961529283 -49.8425722375791|  8.568 -62.784   |10.90    |~               |    ~     ~    |    1|  170.870   pc  |  -0.6160     +0.6160    |paral   |2020yCat.1350....0G
90  |BD-03 500                                                                                                |Star                                  |03 08 03.9891637752 -02 36 22.437797256|181.9728904305174 -49.1512110342597|    1.455 2.417   |10.84    |~               |    ~     ~    |    1|  304.067   pc  |  -5.6240     +5.6240    |ST-L    |2020AJ....160...83S
91  |BD-04 532                                                                                                |Star                                  |03 08 50.4598063992 -03 49 05.426987916|183.5997821988607 -49.7742754759694| -7.889 -44.185   |10.43    |~               |    ~     ~    |    1|  146.722   pc  |  -0.4090     +0.4090    |paral   |2020yCat.1350....0G
92  |BD-04 533                                                                                                |Star                                  |03 09 12.4306226304 -03 53 14.094929220|183.7717849869569 -49.7465584316598|  -8.618 -1.135   |10.74    |~               |    ~     ~    |    1|  440.102   pc  |  -3.3896     +3.3896    |paral   |2020yCat.1350....0G
93  |BD-03 503                                                                                                |Star                                  |03 10 01.5356182152 -03 10 20.361281664|183.1163878295101 -49.1372738741240|   5.599 -0.119   |10.65    |~               |    ~     ~    |    1|  215.708   pc  |  -1.2842     +1.2842    |paral   |2020yCat.1350....0G
94  |BD-03 506                                                                                                |High Proper Motion Star               |03 10 36.7019660976 -02 53 07.319607972|182.9201684263682 -48.8420192891967| 42.529 -30.950   |10.13    |~               |    ~     ~    |    1|  399.313   pc  |  -2.7904     +2.7904    |paral   |2020yCat.1350....0G
95  |BD-02 568                                                                                                |Star                                  |03 11 06.9549059448 -02 08 53.785725792|182.1860042862608 -48.2736350586591| 16.627 -16.657   |10.82    |~               |    ~     ~    |    1|  245.918   pc  |  -1.3123     +1.3123    |paral   |2020yCat.1350....0G
96  |BD-03 489                                                                                                |Star                                  |03 04 16.5382258344 -02 34 07.654502532|180.9816110321796 -49.8463965426380| -3.567 -34.197   |10.586   |~               |    ~     ~    |    1|  200.963   pc  |  -3.0510     +3.0510    |ST-L    |2020AJ....160...83S
