C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:51:47

Vmag< 11&dec< 0&rah >=7.0&rah< 7.25
-----------------------------------

Number of objects : 10182

  #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
8780 |TYC 4827-791-1                                                                                                                                                                 |Star                                  |07 07 34.0807407312 -07 15 48.583880892|221.2306199360977 +00.2539893585004|   -0.813 0.066   |10.27    |~                |    ~     ~    
8781 |TYC 4827-873-2                                                                                                                                                                 |Star                                  |07 12 42.0112732632 -07 05 02.017886964|221.6588696270631 +01.4661917722371|  -2.670 -0.435   |10.78    |~                |    ~     ~    
8782 |TYC 4827-1075-1                                                                                                                                                                |Star                                  |07 13 44.5483450224 -06 53 46.251611268|221.6122387189965 +01.7823485550992|  -0.596 -0.698   |10.91    |~                |    ~     ~    
8783 |TYC 4827-1101-1                                                                                                                                                                |Star                                  |07 10 35.9135324040 -06 57 27.521622396|221.3057784888167 +01.0621434209352|   -1.850 0.175   |10.91    |~                |    ~     ~    
8784 |TYC 4827-1222-1                                                                                                                                                                |Star                                  |07 11 56.1600717720 -05 53 26.124089820|220.5125480361919 +01.8496723296328|    4.722 2.134   |10.77    |~                |    ~     ~    
8785 |TYC 4827-1224-1                                                                                                                                                                |Star                                  |07 14 11.6536858728 -06 02 58.411793184|220.9134614711736 +02.2739651855348|  -0.441 -8.673   |10.33    |~                |    ~     ~    
8786 |TYC 4827-1267-1                                                                                                                                                                |Star                                  |07 10 35.5379184096 -06 47 20.182474176|221.1553842969051 +01.1386537551853|   -2.998 1.051   |10.98    |~                |    ~     ~    
8787 |TYC 4827-1288-1                                                                                                                                                                |Star                                  |07 13 38.4747075120 -05 56 35.462665644|220.7554015777493 +02.2013424657653|    2.975 1.831   |10.72    |~                |    ~     ~    
8788 |TYC 4827-1376-1                                                                                                                                                                |Star                                  |07 08 50.0432853360 -05 50 29.217797268|220.1129672291441 +01.1878856259392|  -4.422 -1.630   |10.86    |~                |    ~     ~    
8789 |TYC 4827-1412-1                                                                                                                                                                |Star                                  |07 11 18.7932420816 -05 38 17.853621324|220.2170761888260 +01.8287758567397|   3.546 -0.991   |10.75    |~                |    ~     ~    
8790 |TYC 4827-1430-1                                                                                                                                                                |Star                                  |07 11 21.6459217824 -05 58 27.108107940|220.5206427209334 +01.6841890763262|   -2.692 2.166   |10.21    |~                |    ~     ~    
8791 |TYC 4827-1498-1                                                                                                                                                                |Star                                  |07 11 03.1370115480 -05 43 21.378637020|220.2619319269696 +01.7322754693205| -3.625 -10.746   |10.77    |~                |    ~     ~    
8792 |TYC 4827-1654-1                                                                                                                                                                |Star                                  |07 14 08.1062850264 -05 51 54.301272480|220.7430087394302 +02.3463549380775|  -2.620 -0.419   |10.54    |~                |    ~     ~    
8793 |TYC 4827-1660-1                                                                                                                                                                |Star                                  |07 09 07.5606089280 -05 46 24.022384860|220.0859562034648 +01.2837111014807|   -1.902 0.563   |10.80    |~                |    ~     ~    
8794 |TYC 4827-1676-1                                                                                                                                                                |Star                                  |07 07 56.8697702904 -06 00 57.621529008|220.1664685052834 +00.9118928205327|    0.247 2.607   |10.55    |~                |    ~     ~    
8795 |TYC 4827-1770-1                                                                                                                                                                |Star                                  |07 14 02.5057829904 -05 37 32.723262552|220.5199232642362 +02.4365554703311|   1.068 -5.439   |10.68    |~                |    ~     ~    
8796 |TYC 4827-1804-1                                                                                                                                                                |Star                                  |07 12 30.7780040952 -05 54 20.191617036|220.5922138337978 +01.9699713524289|  -2.316 -5.513   |10.70    |~                |    ~     ~    
8797 |TYC 4827-1864-1                                                                                                                                                                |Star                                  |07 07 53.0730839208 -05 39 25.831209708|219.8406005059740 +01.0630508417434|   -3.606 2.831   |10.93    |~                |    ~     ~    
8798 |TYC 4827-1897-1                                                                                                                                                                |Star                                  |07 10 53.3508631512 -06 29 00.172942188|220.9183227016000 +01.3451221312038|   -2.630 3.189   |10.95    |~                |    ~     ~    
8799 |TYC 4827-1934-1                                                                                                                                                                |Star                                  |07 11 04.1610818040 -05 37 55.849267272|220.1836348668755 +01.7777727058367|  -1.650 -0.146   |10.82    |~                |    ~     ~    
8800 |TYC 4827-1959-1                                                                                                                                                                |Star                                  |07 07 49.1122019856 -06 55 26.595701472|220.9578770793747 +00.4654071210831|  -4.456 -1.535   |10.70    |~                |    ~     ~    
8801 |TYC 4827-1969-1                                                                                                                                                                |Star                                  |07 11 44.2680759744 -06 41 42.989784936|221.2036943049907 +01.4341550825974|  -2.150 -1.739   |10.93    |~                |    ~     ~    
8802 |TYC 4827-1985-1                                                                                                                                                                |Star                                  |07 14 48.7148557920 -06 37 42.333328920|221.4979773562979 +02.1417130533761|    3.840 3.166   |10.87    |~                |    ~     ~    
8803 |TYC 4827-2040-1                                                                                                                                                                |Star                                  |07 12 44.6244787632 -05 39 48.417747876|220.4038894596288 +02.1328065966028|   -2.565 2.060   |10.99    |~                |    ~     ~    
8804 |TYC 4827-2068-2                                                                                                                                                                |Star                                  |07 14 11.6751621336 -05 53 15.214628328|220.7698017285871 +02.3490598354908|  -1.225 -2.105   |9.80     |~                |    ~     ~    
8805 |TYC 4827-2285-1                                                                                                                                                                |Star                                  |07 14 34.0117585296 -06 54 58.510939104|221.7249199002258 +01.9543409752473|   5.136 -6.460   |10.68    |~                |    ~     ~    
8806 |TYC 4827-2305-1                                                                                                                                                                |Star                                  |07 08 18.8383591632 -07 12 50.794228548|221.2719613730732 +00.4409553595112|    0.596 1.365   |10.34    |~                |    ~     ~    
8807 |TYC 4827-2310-1                                                                                                                                                                |Star                                  |07 14 19.4529126240 -05 41 45.905031744|220.6148766387485 +02.4662893214717|   -1.390 1.214   |10.93    |~                |    ~     ~    
8808 |TYC 4827-2333-1                                                                                                                                                                |Star                                  |07 10 26.9497675776 -06 40 01.865476164|221.0309481323293 +01.1633320249569|   -5.239 9.600   |10.71    |~                |    ~     ~    
8809 |TYC 4827-2348-1                                                                                                                                                                |Star                                  |07 11 30.4093715136 -05 44 59.462042352|220.3383302632936 +01.8199971423881| -3.104 -48.909   |10.93    |~                |    ~     ~    
8810 |HD 54571                                                                                                                                                                       |Star                                  |07 09 04.7696303160 -07 03 51.418338876|221.2264895296672 +00.6785289516347|  -0.611 -0.540   |10.07    |A0/1II/III       |    ~     ~    
8811 |TYC 4827-2405-1                                                                                                                                                                |Star                                  |07 13 42.0591941016 -06 45 17.339513040|221.4821222176656 +01.8387095269595|  -6.663 -6.338   |10.69    |~                |    ~     ~    
8812 |TYC 4827-2409-1                                                                                                                                                                |Star                                  |07 13 32.9811925104 -06 31 31.225398960|221.2612202461551 +01.9116853843855|   -1.005 1.388   |10.74    |~                |    ~     ~    
8813 |TYC 4827-2425-1                                                                                                                                                                |Star                                  |07 10 17.0123700936 -06 31 25.179714660|220.8846090072819 +01.1930780624425|   -4.496 0.740   |10.50    |~                |    ~     ~    
8814 |TYC 4827-2436-1                                                                                                                                                                |Star                                  |07 09 35.3274833616 -05 58 18.915485592|220.3152888634939 +01.2943406516320|   -1.960 0.485   |10.96    |~                |    ~     ~    
8815 |TYC 4827-2454-1                                                                                                                                                                |Star                                  |07 09 25.8090869184 -05 46 01.544864304|220.1152785047279 +01.3537294881243|   -0.811 3.051   |10.83    |~                |    ~     ~    
8816 |TYC 4827-2457-1                                                                                                                                                                |Star                                  |07 07 41.4071206416 -07 14 27.732387336|221.2246196036643 +00.2912105091766|  -3.011 -1.080   |9.84     |~                |    ~     ~    
8817 |TYC 4827-2459-1                                                                                                                                                                |Star                                  |07 11 48.0265384944 -06 23 44.316372228|220.9450825183285 +01.5864296274090|  2.134 -20.716   |10.91    |~                |    ~     ~    
8818 |TYC 4827-2550-1                                                                                                                                                                |Star                                  |07 11 03.6447352176 -05 39 17.410156200|220.2027550752991 +01.7654180964403| -11.356 -6.720   |10.84    |~                |    ~     ~    
8819 |TYC 4827-2586-1                                                                                                                                                                |Star                                  |07 12 33.6452716224 -05 50 21.972331752|220.5389967763953 +02.0110971818612|  -2.139 -0.089   |10.97    |~                |    ~     ~    
8820 |HD 54572                                                                                                                                                                       |Star                                  |07 09 04.9512457752 -07 06 05.073243588|221.2597843946660 +00.6620810213279|  -0.791 -1.182   |9.81     |B9               |    ~     ~    
8821 |TYC 4827-2794-1                                                                                                                                                                |Star                                  |07 12 27.8478381000 -06 21 19.730798100|220.9857126803625 +01.7512152211394|   -5.493 4.655   |10.31    |~                |    ~     ~    
8822 |TYC 4827-2963-1                                                                                                                                                                |Star                                  |07 09 06.8195357352 -06 22 14.764999224|220.6148763990528 +01.0057077305472|   3.278 -1.095   |10.46    |~                |    ~     ~    
8823 |TYC 4827-2970-1                                                                                                                                                                |Star                                  |07 14 42.4626312264 -06 44 55.015253484|221.5925283008089 +02.0630549715045|  -7.850 -0.057   |10.59    |~                |    ~     ~    
8824 |TYC 4827-3101-1                                                                                                                                                                |Star                                  |07 12 01.3057025136 -06 59 39.235986960|221.5014583436497 +01.3584405272683|   3.659 -5.282   |10.71    |~                |    ~     ~    
8825 |TYC 4827-3153-1                                                                                                                                                                |Star                                  |07 14 11.9181206448 -06 36 36.251807508|221.4110567551159 +02.0152761678285| -14.883 12.926   |10.83    |~                |    ~     ~    
8826 |TYC 4827-3189-1                                                                                                                                                                |Star                                  |07 10 03.1824002088 -06 21 03.168098568|220.7048572526610 +01.2219885476904| -6.043 -12.350   |10.45    |~                |    ~     ~    
8827 |TYC 4827-3193-1                                                                                                                                                                |Star                                  |07 13 42.387 -06 20 40.21              |221.118884 +02.029936              |       -4.5 1.6   |9.86     |~                |    ~     ~    
8828 |TYC 4827-3249-1                                                                                                                                                                |Star                                  |07 14 15.8107582104 -06 47 46.368161376|221.5835704993608 +01.9432805267667|   -3.797 2.545   |10.85    |~                |    ~     ~    
8829 |TYC 4827-3470-1                                                                                                                                                                |Star                                  |07 13 21.0455229600 -06 12 50.262813684|220.9621579725184 +02.0120147718614|   -0.349 0.548   |10.94    |~                |    ~     ~    
8830 |TYC 4827-3480-1                                                                                                                                                                |Star                                  |07 14 13.1618356008 -06 13 38.093805768|221.0739590098060 +02.1972037531373|   -0.442 0.097   |10.88    |~                |    ~     ~    
8831 |TYC 4827-3550-1                                                                                                                                                                |Star                                  |07 13 03.8331624480 -07 13 38.333527608|221.8278171588283 +01.4797626377850|  -6.724 13.123   |10.88    |~                |    ~     ~    
8832 |TYC 4827-3558-1                                                                                                                                                                |Star                                  |07 14 55.8358619160 -07 00 59.176004760|221.8556206001449 +01.9878346612581|   0.419 -6.181   |10.82    |~                |    ~     ~    
8833 |TYC 4827-3578-1                                                                                                                                                                |Star                                  |07 14 10.3775602704 -07 20 06.960696360|222.0510095118690 +01.6734617812707|  -7.496 -2.290   |10.91    |~                |    ~     ~    
8834 |TYC 4827-3642-1                                                                                                                                                                |Star                                  |07 13 01.2518870304 -07 22 38.937392544|221.9560136805875 +01.4007677332050|  -3.308 -2.066   |10.81    |~                |    ~     ~    
8835 |GSC 04827-03644                                                                                                                                                                |Double or Multiple Star               |07 14 04.8921582552 -07 04 00.214437756|221.8024482004185 +01.7778723577777|   -3.577 1.383   |10.514   |~                |    ~     ~    
8836 |TYC 4827-3712-1                                                                                                                                                                |Star                                  |07 14 35.2096239480 -06 59 40.950685428|221.7967672786787 +01.9223461472591|   4.751 -6.628   |10.48    |~                |    ~     ~    
8837 |TYC 4827-3919-1                                                                                                                                                                |Star                                  |07 12 54.9807054120 -07 19 05.931406740|221.8915514923155 +01.4051964328272|   -3.238 0.571   |10.69    |~                |    ~     ~    
8838 |TYC 4827-3933-1                                                                                                                                                                |Star                                  |07 13 35.4665913600 -07 28 04.344738744|222.1016561718653 +01.4841748490415|  -0.994 -3.038   |10.94    |~                |    ~     ~    
8839 |TYC 4827-3995-1                                                                                                                                                                |Star                                  |07 14 04.4761981776 -07 06 18.726907248|221.8357589758890 +01.7585129864643|  -1.796 -4.826   |10.86    |~                |    ~     ~    
8840 |TYC 4827-3998-2                                                                                                                                                                |Star                                  |07 12 49.451 -07 08 59.63              |221.731638 +01.462908              |      -7.0 -3.4   |9.34     |~                |    ~     ~    
8841 |TYC 4827-4035-1                                                                                                                                                                |Star                                  |07 13 01.6460549064 -07 28 59.215059300|222.0504173337809 +01.3532912759728|   0.969 -0.712   |10.99    |~                |    ~     ~    
8842 |TYC 5380-7-1                                                                                                                                                                   |Star                                  |07 01 15.3439979520 -08 09 29.398513752|221.3084600570712 -01.5459537206368|   -0.156 0.735   |10.87    |~                |    ~     ~    
8843 |TYC 5380-24-1                                                                                                                                                                  |Star                                  |07 00 28.8873888624 -08 15 59.823416520|221.3174409476841 -01.7659210153043| -23.515 16.154   |10.98    |~                |    ~     ~    
8844 |TYC 5380-416-1                                                                                                                                                                 |Star                                  |07 01 02.4871831752 -08 17 32.416846116|221.4036253382634 -01.6544143501460|   0.037 -0.138   |10.78    |~                |    ~     ~    
8845 |TYC 5380-438-1                                                                                                                                                                 |Star                                  |07 00 18.2624385168 -07 47 43.460262024|220.8780054287719 -01.5897833216632|  9.649 -17.412   |10.80    |~                |    ~     ~    
8846 |TYC 5380-534-1                                                                                                                                                                 |Star                                  |07 00 05.8146395520 -07 33 04.855759416|220.6373170381636 -01.5240741595689|   -6.677 2.076   |10.30    |~                |    ~     ~    
8847 |TYC 5380-672-1                                                                                                                                                                 |Star                                  |07 00 56.7305346648 -08 14 38.261179572|221.3497255940998 -01.6534332538997|  -3.505 -1.727   |10.92    |~                |    ~     ~    
8848 |TYC 5380-1682-1                                                                                                                                                                |Star                                  |07 01 04.0498141104 -08 33 59.584541904|221.6506184887882 -01.7739274540173|  -6.525 -2.617   |10.72    |~                |    ~     ~    
8849 |TYC 5380-1994-1                                                                                                                                                                |Star                                  |07 00 31.0794137568 -09 04 30.671054544|222.0414505666876 -02.1268663322036|   3.714 -3.875   |10.80    |~                |    ~     ~    
8850 |TYC 5380-2037-1                                                                                                                                                                |Star                                  |07 00 13.3025487240 -09 17 17.997445932|222.1979170413244 -02.2891396054749|  -5.754 -1.325   |9.61     |~                |    ~     ~    
8851 |TYC 5380-2211-1                                                                                                                                                                |Star                                  |07 00 31.5047868408 -08 32 38.028152760|221.5692003851903 -01.8828891363302|   -4.346 2.064   |10.65    |~                |    ~     ~    
8852 |TYC 5380-2215-1                                                                                                                                                                |Star                                  |07 00 49.6196547048 -08 53 54.225787272|221.9188726171115 -01.9783037010422|   3.906 -5.889   |10.75    |~                |    ~     ~    
8853 |TYC 5380-2501-1                                                                                                                                                                |Star                                  |07 00 57.7602982896 -08 55 51.967443720|221.9632942468735 -01.9634164703442|  -0.904 -0.562   |10.97    |~                |    ~     ~    
8854 |TYC 5381-71-1                                                                                                                                                                  |Star                                  |07 01 50.5881020496 -07 40 50.956327236|220.9503119861630 -01.1983652563869|  -1.604 -3.509   |10.08    |~                |    ~     ~    
8855 |TYC 5381-112-1                                                                                                                                                                 |Star                                  |07 02 41.4111385944 -08 05 21.087738744|221.4095040439189 -01.1986946384392|   -1.580 0.523   |10.94    |~                |    ~     ~    
8856 |TYC 5381-161-1                                                                                                                                                                 |Star                                  |07 01 26.2338639672 -08 02 37.926447468|221.2272984556897 -01.4537623458224|   -1.671 0.560   |10.86    |~                |    ~     ~    
8857 |TYC 5381-254-1                                                                                                                                                                 |Star                                  |07 05 16.7702 -07 51 58.524            |221.5052327 -00.5267563            |-20.094 -23.240   |10.91    |~                |    ~     ~    
8858 |TYC 5381-257-1                                                                                                                                                                 |Star                                  |07 08 27.0569512464 -08 16 26.257684512|222.2282887718258 -00.0171829150968|  0.696 -21.029   |10.86    |~                |    ~     ~    
8859 |TYC 5381-329-1                                                                                                                                                                 |Star                                  |07 05 35.4094934520 -07 44 26.355694740|221.4289796063646 -00.4007315173943|  -4.145 -5.804   |10.92    |~                |    ~     ~    
8860 |TYC 5381-347-1                                                                                                                                                                 |Star                                  |07 07 17.5782479448 -07 58 39.848398932|221.8333784632081 -00.1351991670907|  7.883 -12.690   |10.69    |~                |    ~     ~    
8861 |TYC 5381-416-1                                                                                                                                                                 |Star                                  |07 02 06.1354016016 -08 04 49.023413832|221.3349835681062 -01.3240150314799|  -0.743 -1.527   |10.70    |~                |    ~     ~    
8862 |TYC 5381-434-1                                                                                                                                                                 |Star                                  |07 06 34.6133005584 -08 07 51.436191936|221.8879095402306 -00.3630623618760|  -1.239 -0.983   |10.94    |~                |    ~     ~    
8863 |TYC 5381-445-1                                                                                                                                                                 |Star                                  |07 06 54.8277016008 -07 33 31.438474488|221.4181345256795 -00.0258471939045|  1.667 -13.464   |10.25    |~                |    ~     ~    
8864 |TYC 5381-509-1                                                                                                                                                                 |Star                                  |07 05 55.0220759664 -07 39 32.561665344|221.3936849662670 -00.2913123002741|   -4.094 2.115   |10.98    |~                |    ~     ~    
8865 |TYC 5381-596-1                                                                                                                                                                 |Star                                  |07 04 34.3418856168 -07 49 14.952878364|221.3844910639591 -00.6615088472965|   -1.602 0.406   |10.80    |~                |    ~     ~    
8866 |2MASS J07080249-0752405                                                                                                                                                        |Long-Period Variable                  |07 08 02.4927354168 -07 52 40.436852736|221.8300687630089 +00.0753070839409|   -2.192 4.918   |10.32    |~                |    ~     ~    
8867 |TYC 5381-740-1                                                                                                                                                                 |Star                                  |07 08 54.1551929808 -07 49 45.775461360|221.8852571250456 +00.2869198845873|    1.637 3.133   |10.48    |~                |    ~     ~    
8868 |TYC 5381-764-1                                                                                                                                                                 |Star                                  |07 04 34.0223888472 -07 30 05.450365692|221.1001432896140 -00.5162051968589|   4.010 -9.346   |10.75    |~                |    ~     ~    
8869 |TYC 5381-803-1                                                                                                                                                                 |Star                                  |07 07 52.5807373608 -07 35 47.325467112|221.5614137420711 +00.1685632522825|   -3.680 1.316   |10.81    |~                |    ~     ~    
8870 |TYC 5381-911-1                                                                                                                                                                 |Star                                  |07 01 36.4169789016 -07 52 42.909325032|221.0994692055469 -01.3408311308472| -44.613 -4.896   |10.86    |~                |    ~     ~    
8871 |TYC 5381-958-1                                                                                                                                                                 |Star                                  |07 08 36.6582728352 -07 53 54.136954140|221.9131974831916 +00.1910327230908|   -6.848 1.501   |10.50    |~                |    ~     ~    
8872 |TYC 5381-1021-1                                                                                                                                                                |Star                                  |07 07 55.7056860264 -07 50 15.463627980|221.7814221338175 +00.0689837205346|  -1.120 -0.673   |10.91    |~                |    ~     ~    
8873 |TYC 5381-1045-1                                                                                                                                                                |Star                                  |07 01 26.5126282920 -07 33 40.493366316|220.7984709507288 -01.2321052092905|   -0.334 4.390   |10.62    |~                |    ~     ~    
8874 |TYC 5381-1159-2                                                                                                                                                                |Star                                  |07 08 23.9744585880 -07 57 13.051089756|221.9381185957388 +00.1191170038559|  -3.110 -0.315   |9.54     |~                |    ~     ~    
8875 |TYC 5381-1252-1                                                                                                                                                                |Star                                  |07 08 04.7441258664 -07 56 45.032476920|221.8946574579820 +00.0522653830247|  -0.287 -2.036   |10.25    |~                |    ~     ~    
8876 |TYC 5381-1409-1                                                                                                                                                                |Double or Multiple Star               |07 04 43.797744 -08 44 39.32412        |222.223043673 -01.050409995        |      -5.1 -8.5   |10.811   |~                |    ~     ~    
8877 |TYC 5381-1451-1                                                                                                                                                                |Star                                  |07 05 30.9340005240 -08 50 13.259094144|222.3945419007167 -00.9205103677472|  -7.247 -6.936   |10.52    |~                |    ~     ~    
8878 |TYC 5381-1501-1                                                                                                                                                                |Star                                  |07 03 16.6259121912 -08 52 04.320424308|222.1684454318881 -01.4260877297431|   11.706 5.254   |10.62    |~                |    ~     ~    
8879 |TYC 5381-1521-1                                                                                                                                                                |Star                                  |07 04 37.3243953792 -09 03 28.610513784|222.4896473713947 -01.2179280079288|   -0.996 1.377   |10.38    |~                |    ~     ~    
8880 |TYC 5381-1623-1                                                                                                                                                                |Star                                  |07 04 06.6827081376 -09 03 56.824171056|222.4388165792137 -01.3335789699952|   -5.606 3.090   |10.97    |~                |    ~     ~    
8881 |GSC 05381-01624                                                                                                                                                                |Double or Multiple Star               |07 06 24.962616 -08 21 08.51112        |222.066254337 -00.500178813        |     -11.8 -2.8   |10.167   |~                |    ~     ~    
8882 |TYC 5381-1649-1                                                                                                                                                                |Star                                  |07 05 39.2949998352 -08 56 06.677200680|222.4975723373143 -00.9349978053829|  3.330 -13.410   |10.89    |~                |    ~     ~    
8883 |TYC 5381-1831-1                                                                                                                                                                |Star                                  |07 03 07.5945217488 -09 01 36.787078308|222.2928585717302 -01.5319196597751|  -7.631 -0.058   |10.88    |~                |    ~     ~    
8884 |TYC 5381-1902-1                                                                                                                                                                |Star                                  |07 07 35.7071968656 -08 24 57.953848500|222.2569759002665 -00.2705476059592|  -3.621 -0.259   |10.97    |~                |    ~     ~    
8885 |TYC 5381-2061-1                                                                                                                                                                |Star                                  |07 03 46.1035216584 -08 47 03.504213348|222.1497313572269 -01.2799279287028|  -0.487 -0.425   |10.36    |~                |    ~     ~    
8886 |TYC 5381-2062-1                                                                                                                                                                |High Proper Motion Star               |07 03 24.4178675784 -08 38 06.476364168|221.9761727689098 -01.2910061990176|  -5.428 60.988   |10.90    |~                |    ~     ~    
8887 |TYC 5381-2070-1                                                                                                                                                                |Star                                  |07 03 52.2815645520 -08 21 30.672649188|221.7828450245968 -01.0622288051981|  -0.895 -0.677   |10.78    |~                |    ~     ~    
8888 |TYC 5381-2123-1                                                                                                                                                                |Star                                  |07 02 24.1994838096 -09 16 31.089648504|222.4321850995451 -01.8042834686060|    0.883 2.318   |10.82    |~                |    ~     ~    
8889 |TYC 5381-2150-1                                                                                                                                                                |Star                                  |07 05 51.7509657120 -08 37 16.453348572|222.2421990959174 -00.7452750675431|    1.443 1.257   |10.59    |~                |    ~     ~    
8890 |TYC 5381-2174-1                                                                                                                                                                |Star                                  |07 01 57.4663039032 -08 36 59.960357604|221.7958023471909 -01.6010642741793|   -1.487 5.307   |10.79    |~                |    ~     ~    
8891 |TYC 5381-2209-1                                                                                                                                                                |Star                                  |07 03 22.3148279208 -08 44 28.344675228|222.0665322359908 -01.3472763765224|   0.566 -1.588   |10.79    |~                |    ~     ~    
8892 |TYC 5381-2214-1                                                                                                                                                                |Star                                  |07 04 45.1768793736 -08 33 25.967615256|222.0594123203530 -00.9595774129981|  -2.532 -0.067   |10.68    |~                |    ~     ~    
8893 |TYC 5381-2317-1                                                                                                                                                                |Star                                  |07 01 55.4171914104 -09 05 04.737859080|222.2083886749038 -01.8224552187116|  -0.715 -9.228   |10.41    |~                |    ~     ~    
8894 |TYC 5381-2328-1                                                                                                                                                                |Star                                  |07 03 08.5604901624 -08 34 00.431577588|221.8854769464552 -01.3177942276221|   -0.679 0.970   |10.74    |~                |    ~     ~    
8895 |TYC 5381-2344-1                                                                                                                                                                |Star                                  |07 07 03.6738227736 -08 22 14.028361572|222.1557917440227 -00.3668326636302|  -0.027 -6.173   |10.94    |~                |    ~     ~    
8896 |TYC 5381-2392-1                                                                                                                                                                |Star                                  |07 06 32.6490274680 -08 35 48.281520624|222.2978616788710 -00.5843702400696|   0.528 -0.815   |10.42    |~                |    ~     ~    
8897 |TYC 5381-2401-1                                                                                                                                                                |Star                                  |07 05 02.7430660224 -09 02 55.382159652|222.5294169538692 -01.1207495042105| -14.810 12.511   |10.75    |~                |    ~     ~    
8898 |TYC 5381-2440-1                                                                                                                                                                |Star                                  |07 08 20.4578978712 -08 32 18.642730560|222.4505613827891 -00.1632046726095|    3.724 1.067   |10.11    |~                |    ~     ~    
8899 |TYC 5381-2489-1                                                                                                                                                                |Star                                  |07 05 42.9915081960 -09 03 30.826994652|222.6141778568120 -00.9781225460595|   -5.149 1.718   |10.86    |~                |    ~     ~    
8900 |HD 53120B                                                                                                                                                                      |Star                                  |07 03 28.5633938064 -08 27 36.855942228|221.8284830724475 -01.1957281709148|  -1.140 -4.039   |10.19    |~                |    ~     ~    
8901 |TYC 5381-2537-1                                                                                                                                                                |Star                                  |07 03 07.9542489936 -09 10 11.908754796|222.4208130357111 -01.5960804504723| -29.454 13.194   |10.91    |~                |    ~     ~    
8902 |TYC 5381-2538-1                                                                                                                                                                |Star                                  |07 07 26.0755072728 -08 39 37.263551940|222.4555668173191 -00.4181875370597|  7.009 -18.748   |10.69    |~                |    ~     ~    
8903 |TYC 5381-2562-1                                                                                                                                                                |Star                                  |07 03 07.4337123120 -08 41 17.486761704|221.9913189127127 -01.3774951979688|  -2.941 -3.893   |10.57    |~                |    ~     ~    
8904 |TYC 5381-2634-1                                                                                                                                                                |Star                                  |07 05 17.9073271872 -08 38 09.712267224|222.1913291195146 -00.8759246443029|  -0.721 -1.497   |10.90    |~                |    ~     ~    
