C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:51:47

Vmag< 11&dec< 0&rah >=7.0&rah< 7.25
-----------------------------------

Number of objects : 10182

  #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
77   |V* BR Mon                                                                                                                                                                      |Long-Period Variable                  |07 07 22.3871279808 -01 19 24.008416428|215.9294851517215 +02.9396586231506|   1.478 -0.533   |10.85    |M5               |    ~     ~    
78   |HD 292940                                                                                                                                                                      |Star                                  |07 00 04.4769073968 -00 36 07.284325032|214.4527776262980 +01.6467987672861|  -0.307 -2.979   |10.7     |A0               |    ~     ~    
79   |HD 293198                                                                                                                                                                      |Star                                  |07 06 54.4279061136 -00 13 38.501992200|214.9000741985741 +03.3374294306800|  -0.824 -0.996   |10.9     |B8V              |    ~     ~    
80   |HD 293208                                                                                                                                                                      |Star                                  |07 05 40.2511464072 -00 20 56.785162632|214.8670808616531 +03.0068868343830|  -6.358 -5.655   |10.48    |F2               |    ~     ~    
81   |HD 293221                                                                                                                                                                      |High Proper Motion Star               |07 06 19.2542980315 -00 39 29.128347739|215.2166597408861 +03.0101886708696|  8.200 -60.344   |9.87     |G0               |    ~     ~    
82   |HD 293222                                                                                                                                                                      |Star                                  |07 06 13.2077404296 -00 36 53.441925048|215.1666110534190 +03.0075570315243|  -1.856 -6.201   |10.7     |K0               |    ~     ~    
83   |HD 293224                                                                                                                                                                      |Star                                  |07 05 02.4013864704 -00 40 52.257104688|215.0906543186942 +02.7148539210767|  -6.476 -4.566   |10.8     |F5               |    ~     ~    
84   |HD 293227                                                                                                                                                                      |Star                                  |07 05 05.6541143808 -00 55 28.541772444|215.3135763693453 +02.6156245208553|   1.897 -2.322   |10.17    |K2               |    ~     ~    
85   |HD 293231                                                                                                                                                                      |Star                                  |07 05 06.9966228792 -01 06 35.570809872|215.4810788690969 +02.5358642174845|    1.666 0.895   |10.83    |G0               |    ~     ~    
86   |HD 293234                                                                                                                                                                      |Star                                  |07 06 19.4974238088 -00 48 27.429161868|215.3502801854703 +02.9427100151591|   -5.106 1.089   |10.7     |A2               |    ~     ~    
87   |HD 293235                                                                                                                                                                      |Star                                  |07 06 46.5362753280 -00 48 30.520079316|215.4026403252436 +03.0424937870990|   3.089 -4.918   |10.09    |K2               |    ~     ~    
88   |HD 293244                                                                                                                                                                      |Star                                  |07 07 03.2601261672 -01 11 56.284988748|215.7822464058862 +02.9257606653353| -2.836 -10.730   |10.20    |F5               |    ~     ~    
89   |HD 293245                                                                                                                                                                      |Star                                  |07 07 15.2455373952 -01 11 47.553142092|215.8029728126720 +02.9712608979907|  -1.395 -3.717   |10.60    |K0               |    ~     ~    
90   |HD 293246                                                                                                                                                                      |Star                                  |07 07 10.9083242616 -01 18 58.474384344|215.9012493793846 +02.9003972531670|  -18.002 5.897   |10.44    |F5               |    ~     ~    
91   |HD 293255                                                                                                                                                                      |Star                                  |07 05 32.6796609432 -01 10 55.078607280|215.5942351452193 +02.5980316420823|   -1.739 0.870   |10.59    |A2               |    ~     ~    
92   |HD 293261                                                                                                                                                                      |Star                                  |07 05 13.0668055080 -01 22 02.255468916|215.7217722611036 +02.4405938133781|  -1.286 -3.986   |10.78    |A5               |    ~     ~    
