C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:43:54

Vmag< 11&dec >=0&rah >=13.25&rah< 13.5
--------------------------------------

Number of objects : 2069

 #  |                                                                                                                     identifier                                                                                                                      |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
67  |BD+79 423                                                                                                                                                                                                                                            |Star                            |13 27 43.1700576432 +78 42 18.058707792|120.6781640499997 +38.2640009675735|   6.581 -9.780    |9.51     |F8               |    ~     ~    
68  |HD 117744                                                                                                                                                                                                                                            |Spectroscopic Binary            |13 27 47.6605043952 +78 58 58.905822324|120.7367355004283 +37.9898085348074|  -19.903 1.930    |9.26     |F5               |    ~     ~    
69  |TYC 4554-630-1                                                                                                                                                                                                                                       |Star                            |13 19 58.9495751232 +78 07 19.620494184|121.0490825397708 +38.9015882360088| -5.255 -27.486    |10.56    |~                |    ~     ~    
70  |TYC 4554-689-1                                                                                                                                                                                                                                       |Star                            |13 15 41.8064752248 +78 09 59.959361844|121.3369658892785 +38.8863704399826| 14.808 -15.511    |10.45    |~                |    ~     ~    
71  |TYC 4554-798-1                                                                                                                                                                                                                                       |Star                            |13 15 24.9214862760 +78 30 31.510393992|121.4075964830262 +38.5484415165718|  2.115 -11.709    |10.68    |~                |    ~     ~    
72  |TYC 4554-1060-1                                                                                                                                                                                                                                      |Star                            |13 18 44.7795359184 +78 45 31.969787976|121.2403155428335 +38.2795280666756|   2.965 -4.355    |10.82    |~                |    ~     ~    
73  |TYC 4554-1325-1                                                                                                                                                                                                                                      |High Proper Motion Star         |13 17 16.6547880072 +79 46 29.444923416|121.4936004853936 +37.2811397890554|-60.696 -20.473    |10.72    |~                |    ~     ~    
74  |TYC 4554-1477-1                                                                                                                                                                                                                                      |Star                            |13 15 31.2859395600 +79 40 38.857659960|121.5764480730508 +37.3873280062439|  -9.376 -9.490    |10.53    |~                |    ~     ~    
75  |TYC 4554-1589-1                                                                                                                                                                                                                                      |Star                            |13 16 47.0027748696 +79 19 23.632764240|121.4504568066582 +37.7320126448404| -12.880 11.111    |10.32    |~                |    ~     ~    
76  |TYC 4557-162-1                                                                                                                                                                                                                                       |High Proper Motion Star         |13 15 22.7394388968 +80 03 17.485899480|121.6396265753499 +37.0132489759136| -81.232 82.789    |9.91     |~                |    ~     ~    
77  |TYC 4557-982-1                                                                                                                                                                                                                                       |Star                            |13 19 11.7915631080 +80 48 47.307131928|121.5614382443610 +36.2411271824860| 31.785 -11.089    |10.65    |~                |    ~     ~    
78  |TYC 4557-1331-1                                                                                                                                                                                                                                      |Star                            |13 15 04.3140745896 +80 51 25.417375920|121.7702037731455 +36.2178199436237|  -7.748 -0.892    |10.78    |~                |    ~     ~    
79  |TYC 4561-5-1                                                                                                                                                                                                                                         |Star                            |13 21 42.1056874488 +79 54 01.269208404|121.2723728562039 +37.1301899996190|   -8.495 3.208    |9.05     |~                |    ~     ~    
80  |TYC 4561-11-1                                                                                                                                                                                                                                        |Star                            |13 27 20.7337836144 +79 17 46.079565000|120.8332271247031 +37.6853849930474|   5.685 -5.648    |10.81    |~                |    ~     ~    
81  |TYC 4561-55-1                                                                                                                                                                                                                                        |Star                            |13 28 03.6756007008 +79 25 05.662267896|120.8194624903207 +37.5593571781696| -16.762 -4.306    |10.09    |~                |    ~     ~    
82  |TYC 4561-68-1                                                                                                                                                                                                                                        |Star                            |13 22 08.8468170966 +79 35 38.988356519|121.1906357978723 +37.4300486928172|  -7.009 -0.619    |10.46    |~                |    ~     ~    
83  |TYC 4561-506-1                                                                                                                                                                                                                                       |Star                            |13 29 21.1824089136 +78 06 56.115349632|120.4368100625609 +38.8283786401794|  -1.856 -1.013    |10.99    |~                |    ~     ~    
84  |TYC 4561-605-1                                                                                                                                                                                                                                       |Star                            |13 27 09.2187838944 +79 53 18.544584588|120.9739549810184 +37.1036158824948| -8.938 -43.097    |9.95     |~                |    ~     ~    
85  |TYC 4561-1703-1                                                                                                                                                                                                                                      |Star                            |13 26 47.1004725864 +78 41 42.350621136|120.7333301006921 +38.2818409144648|  14.602 -5.189    |10.97    |~                |    ~     ~    
86  |TYC 4561-1970-1                                                                                                                                                                                                                                      |Star                            |13 29 49.0591128768 +78 33 58.447541592|120.5161235091101 +38.3813968936964|   2.022 -2.763    |10.78    |~                |    ~     ~    
87  |TYC 4564-1407-1                                                                                                                                                                                                                                      |Star                            |13 28 23.3710637616 +80 20 48.649806312|121.0093321330425 +36.6430665771379|  3.945 -22.162    |10.86    |~                |    ~     ~    
88  |HD 117814                                                                                                                                                                                                                                            |Star                            |13 29 39.6467098704 +74 52 50.482160436|119.5917485604429 +41.9987472273227| -18.956 -1.725    |7.54     |K0               |    ~     ~    
89  |BD+78 457                                                                                                                                                                                                                                            |Star                            |13 19 05.2555297224 +77 49 33.329370432|121.0550632916855 +39.2013893077836|-40.168 -23.070    |9.72     |K0               |    ~     ~    
90  |HD 117402                                                                                                                                                                                                                                            |High Proper Motion Star         |13 26 12.9093777432 +77 43 17.817736008|120.5529353611717 +39.2455463680132| -54.208 -4.425    |8.94     |F5               |    ~     ~    
91  |BD+77 507                                                                                                                                                                                                                                            |High Proper Motion Star         |13 19 17.4113582136 +76 47 38.410690236|120.8532622998121 +40.2216289433999| -42.574 26.596    |10.41    |F5               |    ~     ~    
92  |BD+77 508                                                                                                                                                                                                                                            |Star                            |13 23 59.0517125352 +76 39 13.508078184|120.4760765089615 +40.3189130853760|   12.556 1.197    |9.99     |F5               |    ~     ~    
93  |HD 117060                                                                                                                                                                                                                                            |Star                            |13 24 27.6955583040 +76 17 43.431496224|120.3612650823774 +40.6675872954783|  -27.091 7.225    |8.43     |K0               |    ~     ~    
94  |HD 117112                                                                                                                                                                                                                                            |Star                            |13 24 41.7081998304 +76 55 03.347979564|120.4811987630446 +40.0519877408140|   9.935 13.505    |8.95     |F8               |    ~     ~    
95  |BD+77 512                                                                                                                                                                                                                                            |Star                            |13 29 53.3343992448 +76 47 07.376190720|120.0701956169221 +40.1284655605279|    4.269 1.485    |10.42    |F8               |    ~     ~    
96  |HD 117173                                                                                                                                                                                                                                            |Double or Multiple Star         |13 25 20.8748656227 +75 58 57.806820777|120.2214586150389 +40.9665646622313|  -9.110 -2.568    |8.43     |F5               |0.0017  0.0    
97  |HD 117462                                                                                                                                                                                                                                            |Star                            |13 27 08.3947304592 +76 11 20.189717268|120.1298348775044 +40.7444654546099|  -5.806 -3.322    |8.78     |K0               |    ~     ~    
98  |BD+76 483                                                                                                                                                                                                                                            |Star                            |13 17 20.4837518016 +75 17 45.539441304|120.7338092584936 +41.7215275458534|   8.564 -1.172    |10.03    |K0               |    ~     ~    
99  |BD+76 488                                                                                                                                                                                                                                            |Star                            |13 29 40.4151203208 +75 35 57.100910640|119.7808247853677 +41.2942696168274| -31.201 -7.587    |9.73     |G5               |    ~     ~    
100 |HD 117874                                                                                                                                                                                                                                            |High Proper Motion Star         |13 29 52.8633225552 +75 37 08.339841984|119.7692001306331 +41.2723274787792| -97.179 -6.998    |9.02     |K0               |    ~     ~    
101 |TYC 4551-1656-1                                                                                                                                                                                                                                      |Star                            |13 17 28.6842200520 +77 17 32.895574800|121.0732330112086 +39.7416551239294| 19.820 -16.553    |10.46    |~                |    ~     ~    
102 |TYC 4551-1767-1                                                                                                                                                                                                                                      |Star                            |13 16 40.2032743344 +77 05 45.873163932|121.0979609572940 +39.9421921303358|   -1.158 6.384    |10.96    |~                |    ~     ~    
103 |TYC 4551-1850-1                                                                                                                                                                                                                                      |High Proper Motion Star         |13 16 09.7186956384 +76 58 43.774351428|121.1155146032280 +40.0621023699478|   53.940 3.819    |10.58    |~                |    ~     ~    
104 |GSC 04551-01936                                                                                                                                                                                                                                      |Double or Multiple Star         |13 16 54.762288 +75 45 19.24020        |120.850772445 +41.269802500        |     -27.7 27.2    |9.71     |~                |    ~     ~    
105 |TYC 4551-2014-1                                                                                                                                                                                                                                      |Star                            |13 18 48.1556921208 +75 09 09.684497160|120.5834687614678 +41.8505466734089| -7.677 -26.577    |10.82    |~                |    ~     ~    
