C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:50:36

dec >=0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5727

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
55  |TYC 3621-166-1                                                                                           |Star                                |22 47 00.8355343896 +45 31 11.776015848|101.2090411747053 -12.0388811832817|-15.549 -11.736    |10.69    |~                   |    ~     ~    |    1|  289.948   pc  |  -1.0425     +1.0425  |paral   |2020yCat.1350....0G
56  |TYC 3621-217-1                                                                                           |Star                                |22 46 45.8923815792 +45 44 33.900365796|101.2768873433504 -11.8217762147650|  -0.561 -1.841    |10.89    |~                   |    ~     ~    |    1|  775.134   pc  | -21.9905    +21.9905  |paral   |2020yCat.1350....0G
57  |TYC 3621-322-1                                                                                           |Star                                |22 46 26.5319043096 +45 33 41.742918000|101.1388205654251 -11.9549800853696|  13.368 -2.038    |10.85    |~                   |    ~     ~    |    1|  514.218   pc  |  -3.2524     +3.2524  |paral   |2020yCat.1350....0G
58  |TYC 3621-435-1                                                                                           |Star                                |22 46 05.0294317368 +45 28 15.736653444|101.0385144033840 -12.0051196242824|   4.108 -0.440    |10.15    |~                   |    ~     ~    |    1|  818.063   pc  | -13.1168    +13.1168  |paral   |2020yCat.1350....0G
59  |TYC 3621-456-1                                                                                           |Spectroscopic Binary                |22 47 47.1958600368 +45 35 13.039958796|101.3633334824638 -12.0430992416796| -7.527 -11.319    |10.98    |~                   |    ~     ~    |    1|  330.940   pc  |  -8.4879     +8.4879  |paral   |2020yCat.1350....0G
60  |TYC 3621-493-1                                                                                           |Star                                |22 45 39.3029258136 +45 40 39.371007756|101.0709963241271 -11.7876593812711|    2.078 7.112    |10.19    |~                   |    ~     ~    |    1|  973.425   pc  | -12.2235    +12.2235  |paral   |2020yCat.1350....0G
61  |TYC 3621-518-1                                                                                           |Star                                |22 46 06.7145172624 +45 36 27.892262772|101.1090488165071 -11.8870017317626|   13.852 3.809    |10.65    |~                   |    ~     ~    |    1|  395.288   pc  |  -1.9532     +1.9532  |paral   |2020yCat.1350....0G
62  |TYC 3621-575-1                                                                                           |Star                                |22 46 21.3365796696 +45 39 35.276219100|101.1725474207253 -11.8612560075366|   6.383 -2.083    |10.83    |~                   |    ~     ~    |    1| 1057.082   pc  | -18.1023    +18.1023  |paral   |2020yCat.1350....0G
63  |TYC 3621-586-1                                                                                           |Star                                |22 47 16.8710992512 +45 21 34.426222956|101.1743049276727 -12.2024799530225|  -9.104 -7.162    |10.65    |~                   |    ~     ~    |    1| 1669.170   pc  | -56.0012    +56.0012  |paral   |2020yCat.1350....0G
64  |TYC 3621-595-1                                                                                           |Star                                |22 45 43.9171007112 +45 28 01.668656136|100.9810819978956 -11.9793314801908|  2.135 -27.301    |10.21    |~                   |    ~     ~    |    1|  168.458   pc  |  -0.3718     +0.3718  |paral   |2020yCat.1350....0G
65  |TYC 3621-783-1                                                                                           |High Proper Motion Star             |22 48 48.3192929016 +45 10 34.911999120|101.3294153949329 -12.4897368043105|-32.632 -58.902    |10.92    |~                   |    ~     ~    |    1|   82.033   pc  |  -0.0895     +0.0895  |paral   |2020yCat.1350....0G
66  |TYC 3621-833-1                                                                                           |Star                                |22 48 55.6538046456 +45 04 35.933774448|101.3015040984782 -12.5880521250666|   1.933 -0.682    |10.52    |~                   |    ~     ~    |    1| 1226.994   pc  | -31.0136    +31.0136  |paral   |2020yCat.1350....0G
67  |TYC 3621-850-1                                                                                           |Star                                |22 46 42.0527161608 +45 04 56.732180124|100.9485197478771 -12.3989036805840|    0.678 0.955    |10.16    |~                   |    ~     ~    |    1| 1029.018   pc  | -14.5066    +14.5066  |paral   |2020yCat.1350....0G
68  |TYC 3621-862-1                                                                                           |Star                                |22 45 13.0997212440 +45 18 58.608420624|100.8266554283359 -12.0691893589194|    2.767 3.220    |10.74    |~                   |    ~     ~    |    1|  510.100   pc  |  -4.5796     +4.5796  |paral   |2020yCat.1350....0G
69  |TYC 3621-906-1                                                                                           |Star                                |22 45 54.1223947512 +45 18 07.483166856|100.9279305765573 -12.1388061337626|   23.715 6.099    |10.63    |~                   |    ~     ~    |    1|  381.039   pc  |  -2.0472     +2.0472  |paral   |2020yCat.1350....0G
70  |TYC 3621-977-1                                                                                           |Star                                |22 46 02.6193221424 +45 17 05.023668408|100.9419553773775 -12.1658863375239|  -0.335 -4.391    |10.95    |~                   |    ~     ~    |    1|  602.265   pc  |  -7.3270     +7.3270  |paral   |2020yCat.1350....0G
71  |TYC 3621-999-1                                                                                           |Star                                |22 46 07.6227706296 +45 16 43.899063096|100.9523301555765 -12.1780006932952|  -0.372 -7.918    |10.74    |~                   |    ~     ~    |    1|  332.690   pc  |  -1.3725     +1.3725  |paral   |2020yCat.1350....0G
72  |TYC 3621-1000-1                                                                                          |Star                                |22 45 50.5973089128 +45 01 04.190019420|100.7806054311672 -12.3841192300912|  -3.856 -2.751    |10.8     |~                   |    ~     ~    |    1| 1825.151   pc  | -41.6397    +41.6397  |paral   |2020yCat.1350....0G
73  |TYC 3621-1048-1                                                                                          |Star                                |22 45 47.8702432056 +45 03 04.406369544|100.7896011356474 -12.3509169825810|   6.670 -2.148    |10.46    |~                   |    ~     ~    |    1|  783.392   pc  |  -8.9601     +8.9601  |paral   |2020yCat.1350....0G
74  |TYC 3621-1755-1                                                                                          |Spectroscopic Binary                |22 45 44.1829230840 +46 09 56.067705180|101.3197144824077 -11.3646384765127|  55.478 -6.253    |10.75    |~                   |    ~     ~    |    1|  234.747   pc  |  -0.8266     +0.8266  |paral   |2020yCat.1350....0G
75  |Ross 223A                                                                                                |High Proper Motion Star             |22 45 39.8575514319 +45 23 23.546093685|100.9329171269828 -12.0417017122076| 332.658 90.918    |10.93    |~                   |    ~     ~    |    1|   40.1516  pc  |  -0.0519     +0.0519  |paral   |2020yCat.1350....0G
76  |HD 216037                                                                                                |Star                                |22 48 47.1982895808 +46 22 11.044756056|101.8923979928492 -11.4310510879919|   0.424 -1.724    |9.03     |A0                  |    ~     ~    |    1|  727.008   pc  |  -8.4567     +8.4567  |paral   |2020yCat.1350....0G
77  |BD+45 4075                                                                                               |Star                                |22 52 02.2480737792 +46 22 09.141467772|102.4010516317475 -11.6881980486536|    2.364 4.868    |9.66     |K0                  |    ~     ~    |    1|  560.475   pc  |  -3.9895     +3.9895  |paral   |2020yCat.1350....0G
78  |HD 216511                                                                                                |Star                                |22 52 49.3585022016 +46 32 54.278799900|102.6067833140779 -11.5892216649436|  10.765 -7.650    |6.81     |B9                  |    ~     ~    |    1|  257.433   pc  |  -1.7098     +1.7098  |paral   |2020yCat.1350....0G
79  |HD 216660                                                                                                |Star                                |22 54 04.7598480864 +46 17 44.833115292|102.6891047479290 -11.9120620391829| -4.317 -11.429    |9.51     |F5                  |    ~     ~    |    1|  216.408   pc  |  -0.7119     +0.7119  |paral   |2020yCat.1350....0G
