C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
100 |HD 13410                           |High Proper Motion Star               |02 10 04.3145132064 -37 22 48.386789904|249.6096403181569 -70.5298013967644| -21.047 45.687   |8.51     |F5V            |    ~     ~    
101 |HD 13261                           |High Proper Motion Star               |02 08 44.5959958848 -37 26 46.889217888|250.1425762050509 -70.7365894764445|107.816 -30.230   |9.810    |K0/1III+G      |    ~     ~    
102 |CD-37 829                          |Star                                  |02 11 45.6466482624 -37 12 37.432199916|248.7210115932742 -70.2998153944970| -6.903 -10.485   |10.191   |~              |    ~     ~    
103 |HD 12807                           |High Proper Motion Star               |02 04 41.3039320224 -35 16 23.930993136|244.9710570916583 -72.3857069947801|   55.645 3.710   |7.69     |K2IIICNII      |    ~     ~    
104 |HD 12768                           |High Proper Motion Star               |02 04 16.2931066680 -36 06 26.016187608|247.5877739289976 -72.1273202714601|   54.328 4.410   |9.76     |G8             |    ~     ~    
105 |HD 12769                           |Star                                  |02 04 16.3947446640 -36 16 12.876445848|248.0668122184214 -72.0574730597886|-23.102 -25.809   |10.16    |F3/5V          |    ~     ~    
106 |HD 12875                           |Star                                  |02 05 14.1451068384 -35 49 08.960002356|246.4720362058481 -72.0687644815394| 13.301 -26.916   |9.44     |K2III          |    ~     ~    
107 |HD 12787                           |High Proper Motion Star               |02 04 30.1911909600 -36 31 49.182313260|248.7587539601740 -71.9026549808332| 43.073 -80.044   |10.08    |G3/5V          |    ~     ~    
108 |CD-36 785                          |Star                                  |02 05 52.0435454760 -36 08 35.241699264|247.2571920341643 -71.8196348903203| 13.721 -25.164   |10.590   |~              |    ~     ~    
109 |CD-35 730                          |High Proper Motion Star               |02 06 22.5357831504 -35 01 19.557311556|243.7846138335515 -72.1586493405516| 89.825 -11.499   |10.60    |G0             |    ~     ~    
110 |HD 13046                           |Star                                  |02 06 46.0586539296 -35 15 06.827307840|244.3853251264161 -72.0003230500877|   -8.482 3.006   |10.169   |F8/G0V         |    ~     ~    
111 |HD 13059                           |Star                                  |02 06 54.5365124424 -35 08 29.699615832|244.0187524551319 -72.0137504777812|   -8.391 7.010   |10.423   |F5/6V          |    ~     ~    
112 |HD 13119                           |High Proper Motion Star               |02 07 28.8160137288 -35 16 06.508278228|244.2631560300048 -71.8588994432721| 106.528 33.322   |9.44     |G8V            |    ~     ~    
113 |CD-35 758                          |High Proper Motion Star               |02 11 10.1443048968 -35 14 23.699106996|243.3399386841750 -71.1644607877985|99.224 -108.190   |10.97    |G8             |    ~     ~    
114 |HD 13723                           |High Proper Motion Star               |02 12 51.9708431448 -34 32 19.198647600|240.9430464354541 -71.0600135323059|  60.438 -4.288   |6.99     |K3III          |    ~     ~    
