C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
2080|CD-74 97                           |High Proper Motion Star               |02 04 47.7531993768 -73 25 25.808052216|295.9171051046004 -42.6908297053720|  67.738 40.693   |10.282   |~              |    ~     ~    
2081|CPD-72 141                         |High Velocity Star                    |02 04 35.0158034856 -71 56 38.444879760|295.1537495564545 -44.0628087942219|   -4.196 6.353   |10.46    |G              |    ~     ~    
2082|CD-74 96                           |Star                                  |02 03 59.3947101312 -73 26 48.724336896|296.0013053123312 -42.6912850555200|   19.228 8.921   |9.77     |~              |    ~     ~    
2083|CD-71 90                           |Star                                  |02 04 06.4093802280 -70 32 14.129298888|294.4277209092595 -45.3721271146582|  10.952 -4.392   |10.596   |~              |    ~     ~    
2084|CD-71 92                           |High Proper Motion Star               |02 04 18.7761463320 -70 59 40.827851808|294.6612200909890 -44.9450343405681|121.207 -32.210   |10.51    |~              |    ~     ~    
2085|CD-73 88                           |High Proper Motion Star               |02 04 42.6466446192 -73 07 37.799955948|295.7704477760060 -42.9673829090843|  83.525 94.583   |10.386   |~              |    ~     ~    
2086|CPD-72 148                         |Star                                  |02 08 05.7664074768 -71 37 24.245173272|294.6248252925698 -44.2475646480394|   6.949 12.381   |10.508   |~              |    ~     ~    
2087|CD-71 94                           |Star                                  |02 10 35.6575042440 -70 59 36.742884216|294.0023361536304 -44.7370546866975|   13.033 6.176   |9.57     |~              |    ~     ~    
2088|CPD-72 156                         |Star                                  |02 11 59.2080694152 -72 01 33.013082460|294.4740332406605 -43.7553962688703|    6.149 9.749   |10.439   |~              |    ~     ~    
2089|CPD-72 157                         |Spectroscopic Binary                  |02 13 10.8453261408 -71 34 56.940639276|294.0932610785915 -44.1160394680731|  15.461 10.499   |10.329   |~              |    ~     ~    
2090|CPD-73 130                         |High Proper Motion Star               |02 00 23.2373030208 -72 38 43.767411936|295.9289217616903 -43.5329202521948|  96.524 41.604   |10.94    |~              |    ~     ~    
2091|CPD-72 137                         |Star                                  |02 00 34.0431358968 -71 44 41.532714600|295.4522739966147 -44.3657188443335|   7.101 -9.822   |10.26    |~              |    ~     ~    
2092|CPD-73 131                         |Star                                  |02 00 49.9529036904 -72 29 21.430954608|295.8072552818806 -43.6661453246390|    5.687 5.000   |10.467   |~              |    ~     ~    
2093|CPD-71 96                          |Spectroscopic Binary                  |02 01 12.1309322976 -70 55 48.814132584|294.9572147935651 -45.1022988678747|  15.422 20.356   |10.11    |~              |    ~     ~    
2094|CPD-73 134                         |Star                                  |02 03 36.5639047608 -72 51 52.934596020|295.7357247736570 -43.2407457935002|    6.507 6.509   |10.847   |~              |    ~     ~    
2095|CPD-73 135                         |High Proper Motion Star               |02 04 09.2602409016 -72 37 02.447275800|295.5549132892447 -43.4541250346089|  74.551 45.840   |10.89    |~              |    ~     ~    
2096|CD-72 97                           |Star                                  |02 06 05.7554950032 -72 16 38.394222888|295.1864359681928 -43.7106243646912|    2.823 1.674   |9.78     |~              |    ~     ~    
2097|CPD-72 154                         |Star                                  |02 11 23.0808942696 -72 04 23.529653472|294.5599406153269 -43.7320730399780|   4.724 -9.253   |10.513   |~              |    ~     ~    
2098|TYC 9147-716-1                     |Star                                  |02 12 57.2226252432 -70 42 03.775802796|293.5783937535640 -44.9175960412276|    3.413 6.628   |10.824   |~              |    ~     ~    
2099|CPD-73 150                         |Star                                  |02 13 14.6705670936 -72 38 10.695100452|294.7126915806319 -43.1622976496574|   7.190 -3.368   |10.93    |~              |    ~     ~    
2100|CPD-72 158                         |Star                                  |02 13 23.2322010144 -71 57 36.010889604|294.2995879174837 -43.7686048395201|  -8.955 -5.552   |10.510   |~              |    ~     ~    
2101|TYC 9147-980-1                     |Star                                  |02 14 25.0363047192 -71 11 08.479660812|293.7270594992277 -44.4297754324861|    7.558 0.604   |10.827   |~              |    ~     ~    
2102|CPD-71 112                         |Star                                  |02 12 42.3345307080 -71 20 59.927746056|294.0004553799427 -44.3420071973638|   20.729 2.557   |10.03    |~              |    ~     ~    
2103|CPD-71 107                         |Star                                  |02 07 48.1378011744 -70 27 06.854823360|293.9771826463165 -45.3253945558834|   4.816 -0.840   |10.707   |~              |    ~     ~    
2104|TYC 9146-5-1                       |High Proper Motion Star               |02 06 36.4735029144 -72 24 01.519127532|295.2043108089999 -43.5822042133357| 12.871 111.169   |10.81    |~              |    ~     ~    
2105|TYC 9146-1663-1                    |High Proper Motion Star               |02 01 27.5791234320 -71 36 34.028804520|295.2905462306939 -44.4652717178232|  54.822 21.983   |10.82    |~              |    ~     ~    
2106|TYC 9146-2032-1                    |Star                                  |02 02 18.4177777488 -70 44 48.113931372|294.7390859683509 -45.2373982474588| -15.970 -1.162   |10.974   |~              |    ~     ~    
2107|TYC 9147-635-1                     |Star                                  |02 10 12.7100593680 -70 43 27.932553192|293.8813507371194 -44.9940608475579|  20.901 34.571   |10.940   |~              |    ~     ~    
2108|TYC 9147-703-1                     |Star                                  |02 12 55.4448157512 -70 37 07.325645664|293.5305571309839 -44.9927034876663|    0.756 9.363   |10.94    |~              |    ~     ~    
2109|TYC 9147-1426-1                    |Star                                  |02 09 35.7181495248 -72 24 29.050120188|294.9235547567349 -43.4842126953036|   -8.920 4.528   |10.07    |~              |    ~     ~    
2110|TYC 9149-1507-1                    |High Proper Motion Star               |02 01 56.4740460240 -72 52 30.805338540|295.8975405315966 -43.2769654265069|  50.264 39.247   |10.72    |~              |    ~     ~    
2111|TYC 9149-1707-1                    |Star                                  |02 06 16.7920037232 -73 18 21.441808260|295.7219063282427 -42.7587455321520|  26.425 29.539   |10.867   |~              |    ~     ~    
2112|HD 13879                           |Star                                  |02 11 49.2814046160 -69 59 56.677953552|293.2639229231439 -45.5905137994164|  22.385 30.099   |10.188   |F3/5IV/V       |    ~     ~    
2113|HD 12851                           |Star                                  |02 02 37.7527869432 -70 25 10.111446084|294.5238654742865 -45.5288464835762| -19.255 28.286   |6.89     |K2III          |    ~     ~    
2114|HD 12646                           |Star                                  |02 00 50.5759369440 -69 18 46.317872412|294.1103361125939 -46.6086111566729|  27.866 16.099   |8.99     |K0/1III        |    ~     ~    
2115|CPD-70 117                         |Star                                  |02 01 19.7606248272 -69 40 55.959718044|294.2604024400256 -46.2514954834635|  16.124 16.121   |10.07    |~              |    ~     ~    
2116|HD 12748                           |Star                                  |02 01 51.9815102688 -69 40 39.625964868|294.1957216345649 -46.2375962657877|   13.644 3.991   |9.56     |A2V            |    ~     ~    
2117|HD 13219                           |Spectroscopic Binary                  |02 05 56.3153826768 -69 43 07.687427484|293.7520187756353 -46.0587986875448|  22.188 17.909   |9.25     |K2III          |    ~     ~    
2118|HD 12588                           |Star                                  |02 00 11.9629506576 -70 13 32.861905104|294.6881630560185 -45.7860671475611| -7.692 -25.323   |9.999    |F5IV           |    ~     ~    
2119|CD-70 100                          |Star                                  |02 03 28.4926550328 -70 01 05.347309728|294.2045054226599 -45.8700640958658|   8.176 12.719   |10.008   |~              |    ~     ~    
2120|HD 13264                           |Star                                  |02 06 22.5830506416 -70 01 19.483164300|293.8812182135981 -45.7667112800904|  18.747 -4.508   |9.873    |F5IV           |    ~     ~    
2121|CPD-70 128                         |Spectroscopic Binary                  |02 08 12.9258478368 -69 54 18.220104900|293.6060681132541 -45.8078510871496|   13.684 1.816   |10.53    |~              |    ~     ~    
2122|CD-70 96                           |Star                                  |02 00 36.3925095528 -69 32 22.586570916|294.2650237610061 -46.4073444075036|  25.188 -0.515   |10.02    |~              |    ~     ~    
2123|CPD-70 118                         |High Proper Motion Star               |02 01 33.1924432800 -69 50 36.264196428|294.3245866395596 -46.0953437573291|  62.060 32.673   |10.855   |~              |    ~     ~    
2124|CPD-69 92                          |Star                                  |02 02 21.9150321048 -69 11 27.567104640|293.8602300086620 -46.6681265900253|  -5.854 -6.971   |10.93    |~              |    ~     ~    
2125|CD-69 85                           |Star                                  |02 02 59.0050638216 -68 56 57.200874468|293.6459969251884 -46.8680445416413|  13.728 -2.317   |10.52    |~              |    ~     ~    
2126|CD-69 86                           |Star                                  |02 04 29.0277343920 -69 09 36.879003792|293.5909894043983 -46.6208842231432| -19.183 -7.615   |10.381   |~              |    ~     ~    
2127|CPD-70 126                         |High Proper Motion Star               |02 06 47.9850145536 -69 46 49.834841916|293.6907981039205 -45.9718907724955|  58.044 45.000   |10.676   |~              |    ~     ~    
2128|CD-70 97                           |Star                                  |02 01 07.9041382680 -70 12 18.622666260|294.5722783911206 -45.7751930781263|    6.639 8.695   |10.260   |~              |    ~     ~    
2129|CD-70 101                          |Star                                  |02 04 37.1693979528 -70 15 18.868939344|294.2116244470355 -45.6138616846326|  31.833 25.194   |10.32    |~              |    ~     ~    
2130|TYC 9143-292-1                     |Star                                  |02 00 57.3840166872 -69 25 45.965645904|294.1624071543197 -46.4972292495643|   10.221 5.277   |10.206   |~              |    ~     ~    
2131|TYC 9143-1768-1                    |Star                                  |02 00 39.7886216496 -69 59 21.242640984|294.5068702356151 -45.9900110887338|   -0.577 5.144   |10.971   |~              |    ~     ~    
2132|TYC 9146-1203-1                    |Star                                  |02 05 40.5413686704 -70 02 04.887620376|293.9669114963529 -45.7796059495797|    2.30 -44.50   |10.63    |~              |    ~     ~    
2133|HD 12951                           |High Proper Motion Star               |02 00 57.1036053048 -78 52 13.104780060|298.7538834924253 -37.6879686467818|121.900 -57.296   |6.84     |F8/G0V         |    ~     ~    
2134|CPD-79 54                          |Spectroscopic Binary                  |02 08 53.9126313576 -79 23 59.147145780|298.5480874203984 -37.0604972235448|  -9.878 -5.235   |9.993    |G5             |    ~     ~    
2135|CD-77 73                           |Star                                  |02 06 06.3684164280 -77 11 00.765770064|297.6771572071971 -39.1728781447702|  32.025 10.031   |9.99     |G5             |    ~     ~    
2136|HD 14058                           |Star                                  |02 11 23.0498825304 -76 41 45.418255980|297.0805447020520 -39.5101163940674|  11.561 -8.780   |8.94     |F5V            |    ~     ~    
2137|CPD-77 99                          |Star                                  |02 12 30.2092643568 -77 15 14.214679812|297.2906294437313 -38.9726545145636| -14.788 -9.433   |10.764   |F5             |    ~     ~    
2138|CD-77 80                           |Star                                  |02 12 41.6045778792 -77 02 50.532435276|297.1723918336976 -39.1580145982840|   14.231 9.808   |9.991    |K0             |    ~     ~    
2139|CD-77 82                           |Star                                  |02 14 47.7567061272 -76 54 24.316683696|296.9593158801796 -39.2388565289637|    4.706 6.065   |9.77     |K5             |    ~     ~    
2140|CD-78 66                           |Star                                  |02 04 09.6873089184 -77 31 09.190423200|297.9614030468670 -38.8985417948523|    1.689 9.678   |10.253   |F0             |    ~     ~    
2141|HD 13221                           |High Proper Motion Star               |02 03 33.1437857760 -78 00 37.002403584|298.2228850445320 -38.4507618600652| -8.900 -66.997   |9.67     |G8/K0IV/V      |    ~     ~    
2142|HD 13641                           |Star                                  |02 07 25.6596121248 -77 55 16.250881044|297.9412648679415 -38.4609596281216|   9.759 -0.450   |8.96     |K2/3(III)      |    ~     ~    
2143|CPD-78 46                          |Star                                  |02 08 42.3518665512 -78 15 59.019934716|298.0269551428046 -38.1160042510452|   24.336 5.083   |9.66     |K0             |    ~     ~    
2144|HD 13265                           |High Proper Motion Star               |02 03 42.1384501872 -78 41 48.832176804|298.5198282983843 -37.8050508244495|  42.119 67.350   |8.04     |F2IV/V         |    ~     ~    
2145|HD 13733                           |High Proper Motion Star               |02 07 41.4054450792 -78 58 53.644417428|298.4208949233333 -37.4701921019380| 81.734 134.600   |9.17     |G3/5V          |    ~     ~    
2146|CD-79 85                           |Star                                  |02 11 52.3953716256 -79 18 30.420584028|298.3454592617383 -37.0933259540092|-17.478 -10.049   |9.810    |F8             |    ~     ~    
2147|HD 14452                           |High Proper Motion Star               |02 13 34.8024473112 -79 01 26.192880300|298.1140120470165 -37.3244046989193| 204.908 80.320   |9.34     |K0V            |    ~     ~    
2148|V* TV Hyi                          |Long-Period Variable Candidate        |02 01 04.3223768016 -78 05 29.918542884|298.4125900099443 -38.4188104624021|   10.364 2.770   |10.54    |~              |    ~     ~    
2149|CD-77 78                           |Star                                  |02 10 30.9083568504 -76 50 09.244198536|297.2108459077630 -39.4008545271736|   12.313 6.609   |9.84     |~              |    ~     ~    
2150|CD-79 84                           |Star                                  |02 09 52.0023009504 -78 28 22.271264904|298.0567751722165 -37.9027068374673|  24.686 -1.599   |9.96     |~              |    ~     ~    
2151|CD-77 81                           |Star                                  |02 14 17.2357559064 -77 20 05.791055928|297.2167948281418 -38.8591670610561|  16.114 -3.570   |9.93     |~              |    ~     ~    
2152|TYC 9353-23-1                      |Star                                  |02 00 49.9987701480 -77 35 19.164673752|298.2084589243406 -38.8960364012189|   36.023 4.163   |10.836   |~              |    ~     ~    
2153|TYC 9353-172-1                     |Star                                  |02 09 50.6247635592 -76 58 16.366719324|297.3240119114728 -39.2908687084409|    0.938 4.467   |10.805   |~              |    ~     ~    
2154|TYC 9353-281-1                     |Star                                  |02 09 12.1953383472 -77 52 41.476652616|297.8105136172914 -38.4660126584592|    8.942 4.320   |10.314   |~              |    ~     ~    
2155|TYC 9353-285-1                     |Star                                  |02 13 17.1949461240 -76 54 39.295349568|297.0623943741275 -39.2696966062197|   2.975 -0.831   |10.82    |~              |    ~     ~    
2156|TYC 9353-306-1                     |Star                                  |02 04 32.2317619944 -77 13 57.748343016|297.8045587407517 -39.1586668882710|-29.074 -33.170   |10.834   |~              |    ~     ~    
2157|TYC 9353-381-1                     |High Proper Motion Star               |02 00 47.3576972112 -77 36 36.835851456|298.2207602384850 -38.8765583721784| 57.940 -33.350   |10.40    |~              |    ~     ~    
2158|TYC 9353-541-1                     |High Proper Motion Star               |02 04 35.9830991112 -77 18 18.445839768|297.8340102052477 -39.0898634387178|  87.352 43.934   |10.920   |~              |    ~     ~    
2159|TYC 9353-564-1                     |Star                                  |02 12 54.7245775176 -77 36 32.178160980|297.4450870801331 -38.6379546520380| -12.676 20.546   |10.929   |~              |    ~     ~    
2160|TYC 9353-611-1                     |Star                                  |02 08 25.6608522288 -77 25 06.708934560|297.6373122553700 -38.9072914307829|  13.070 -0.071   |10.846   |~              |    ~     ~    
2161|TYC 9353-709-1                     |Star                                  |02 04 57.2445462768 -78 05 40.125724296|298.1744571000936 -38.3463025836241|   6.449 -3.064   |10.325   |~              |    ~     ~    
2162|TYC 9353-825-1                     |Star                                  |02 07 14.1601409976 -78 34 15.715036236|298.2569756669852 -37.8603087412855|   -2.209 0.482   |10.64    |~              |    ~     ~    
2163|TYC 9353-996-1                     |Star                                  |02 03 29.8927488120 -78 20 11.728307544|298.3720802275660 -38.1461664402145|  16.594 10.850   |10.89    |~              |    ~     ~    
2164|TYC 9353-1070-1                    |Star                                  |02 11 20.6793211032 -78 05 30.966789624|297.7835337711134 -38.2258909577862|  -5.940 -8.728   |10.876   |~              |    ~     ~    
2165|TYC 9353-1175-1                    |Star                                  |02 06 47.6956864824 -78 32 19.725919152|298.2678782767949 -37.8982926093951| 24.583 -16.392   |10.462   |~              |    ~     ~    
2166|TYC 9357-275-1                     |High Proper Motion Star               |02 02 47.6796114552 -78 55 59.058263676|298.6755044020731 -37.5987884896241| 118.445 70.112   |10.13    |~              |    ~     ~    
2167|TYC 9357-423-1                     |Star                                  |02 01 33.8415249000 -78 55 23.815120656|298.7413928271249 -37.6281559130966|    8.743 3.382   |10.08    |~              |    ~     ~    
2168|TYC 9357-844-1                     |Star                                  |02 14 07.3467216264 -79 32 50.502883524|298.3424953397102 -36.8331048135660|   39.680 6.702   |10.592   |~              |    ~     ~    
2169|HD 14401                           |Star                                  |02 14 18.9805237272 -76 21 27.148136184|296.7008838821960 -39.7513343206779|  11.256 20.921   |6.57     |K2III+A/F      |    ~     ~    
2170|CD-77 71                           |Star                                  |02 02 01.6036433376 -76 58 28.293858408|297.8554813622072 -39.4497418789880|   3.966 -5.140   |10.26    |~              |    ~     ~    
2171|CD-77 75                           |Star                                  |02 08 59.0783758896 -76 37 15.640420296|297.2081716444153 -39.6329932520852|  -6.489 -1.826   |9.02     |~              |    ~     ~    
2172|CD-77 76                           |Spectroscopic Binary                  |02 09 23.5771490352 -76 41 15.570567456|297.2131876326279 -39.5624092966951|  116.120 7.345   |9.778    |K1V            |    ~     ~    
2173|HD 13928                           |High Proper Motion Star               |02 10 24.2270126544 -76 37 25.344784884|297.1112640742056 -39.5987506546006|  116.919 9.526   |6.64     |F0II/III       |    ~     ~    
2174|CD-77 74                           |Star                                  |02 06 50.1211142760 -76 48 50.439492540|297.4510919543112 -39.5010047057789|   -5.674 6.473   |10.932   |~              |    ~     ~    
2175|CD-74 90                           |Double or Multiple Star               |02 00 20.081016 -74 19 57.37008        |296.758616145 -41.959643360        |      28.5 48.1   |9.80     |F8             |    ~     ~    
2176|CD-74 92                           |Star                                  |02 01 37.2615724128 -73 53 45.845506320|296.4366080939614 -42.3355581167121| 17.190 -11.417   |10.023   |~              |    ~     ~    
2177|CD-74 94                           |High Proper Motion Star               |02 02 37.6150093752 -74 18 31.267343988|296.5527891695905 -41.9262008855855|  29.402 46.693   |9.875    |~              |    ~     ~    
2178|CD-74 95                           |Star                                  |02 03 23.4932968944 -74 11 21.000254028|296.4287594568997 -42.0182570594709|    7.643 3.665   |9.33     |~              |    ~     ~    
2179|CD-74 99                           |Star                                  |02 06 17.8295814408 -74 23 34.594722492|296.2870280098753 -41.7554452119927|   9.391 -1.135   |9.85     |~              |    ~     ~    
2180|HD 12714                           |Star                                  |02 00 25.9066013616 -74 37 01.484404392|296.8855637072676 -41.6912778436528|   12.749 5.791   |8.19     |K3III          |    ~     ~    
2181|V* CH Hyi                          |Long-Period Variable                  |02 01 52.3281164808 -74 26 44.615905836|296.6832506283707 -41.8169992769550|  1.539 -14.520   |6.84     |M5III          |    ~     ~    
2182|HD 13529                           |Double or Multiple Star               |02 07 38.24461 -74 33 43.4352          |296.26355385 -41.56482788          |  -13.98 -26.65   |8.78     |K0III          |    ~     ~    
2183|CD-75 72                           |Star                                  |02 07 42.5155943232 -74 41 52.004528952|296.3280643453094 -41.4379177937860| -17.832 -9.224   |10.203   |~              |    ~     ~    
2184|CD-75 73                           |Star                                  |02 07 35.6278983168 -75 19 51.559733820|296.6616050867303 -40.8566015307088|   0.410 16.316   |10.619   |~              |    ~     ~    
2185|HD 14368                           |Star                                  |02 14 20.9300379336 -75 22 42.210342372|296.1699478300454 -40.6425590534780|    1.810 5.876   |8.59     |G8IIICNII      |    ~     ~    
2186|HD 12726                           |High Proper Motion Star               |02 00 12.7956295080 -75 45 30.816507780|297.4336123539284 -40.6268825743609| 51.541 -10.907   |9.982    |G3/5(IV)       |    ~     ~    
2187|HD 12734                           |Star                                  |02 00 19.2469761552 -75 33 44.887154832|297.3355037378055 -40.8084502728654|  20.060 -8.205   |9.31     |K1/2(III)      |    ~     ~    
2188|HD 13308                           |Star                                  |02 05 28.8805171248 -75 32 00.472262640|296.9251826158456 -40.7194335826331|  17.667 11.259   |9.31     |K0/3           |    ~     ~    
2189|HD 12969                           |Star                                  |02 02 21.3303721728 -75 55 00.415406784|297.3453440074328 -40.4327103309430|  18.930 11.718   |9.81     |A1V            |    ~     ~    
2190|CD-76 84                           |Star                                  |02 03 12.1223873760 -75 54 04.004193744|297.2747711478535 -40.4288895143267|  -6.219 -1.985   |10.138   |~              |    ~     ~    
2191|HD 13951                           |Double or Multiple Star               |02 10 53.4233778480 -75 57 31.828070268|296.7360997152719 -40.1987842326401|  11.202 -3.173   |6.87     |K2III          |0.0050  0.0    
2192|HD 14024                           |Star                                  |02 11 11.4162568968 -76 17 54.356719164|296.8900529376942 -39.8797972344342|   16.167 2.059   |7.87     |F0II/III       |    ~     ~    
2193|HD 14049                           |High Proper Motion Star               |02 11 31.8762108120 -76 06 27.271915128|296.7669017715228 -40.0469206597398|  60.757 32.809   |9.912    |G2/5V          |    ~     ~    
2194|HD 14169                           |Star                                  |02 12 32.8558055952 -76 05 20.160041748|296.6840842483972 -40.0395555338329|  8.305 -16.654   |9.12     |F7IV           |    ~     ~    
2195|HD 14400                           |Star                                  |02 14 27.1416485856 -76 02 01.458532572|296.5178814292729 -40.0432287248934|  24.556 -2.000   |9.30     |G0V            |    ~     ~    
2196|CPD-75 143                         |Star                                  |02 01 05.4489281640 -75 22 26.789453040|297.1883507192118 -40.9679405400902|  10.217 11.037   |10.82    |~              |    ~     ~    
2197|CD-76 85                           |Star                                  |02 03 25.6188205944 -76 11 55.460634432|297.3986292874074 -40.1463314421160| 16.250 -11.843   |10.05    |~              |    ~     ~    
2198|CD-76 86                           |Star                                  |02 03 41.1404833968 -75 49 05.705658912|297.1992035014039 -40.4954684222027|   15.422 5.360   |9.74     |~              |    ~     ~    
2199|CD-74 98                           |Star                                  |02 05 37.8685209000 -74 16 39.259538328|296.2837289353671 -41.8792416037762|  19.695 19.302   |10.224   |~              |    ~     ~    
2200|CD-76 90                           |Star                                  |02 09 18.9205340448 -75 53 12.292593756|296.8144508592167 -40.3026788245523|  37.274 22.342   |10.529   |~              |    ~     ~    
2201|CPD-74 162                         |Star                                  |02 04 06.4297302144 -74 13 00.313789584|296.3817140387035 -41.9745474225784|   40.264 9.857   |10.631   |~              |    ~     ~    
2202|CPD-75 148                         |Star                                  |02 05 14.2493172552 -74 25 55.906663692|296.3952830764306 -41.7462002161163|   13.423 9.206   |10.612   |~              |    ~     ~    
2203|CD-76 81                           |Star                                  |02 00 54.4895355720 -75 48 01.915993296|297.4001709908371 -40.5726775465446|    6.208 0.243   |10.192   |~              |    ~     ~    
2204|CD-76 83                           |Star                                  |02 02 53.4748245384 -75 35 07.930538808|297.1486073528938 -40.7301743328186|   -4.973 8.441   |10.244   |~              |    ~     ~    
2205|CPD-75 154                         |Star                                  |02 10 21.4827354192 -75 06 01.250848980|296.3274244842859 -40.9999312166808|   0.667 -3.124   |10.844   |~              |    ~     ~    
2206|CPD-76 172                         |Star                                  |02 11 34.3463517432 -75 25 08.236556076|296.4023219499321 -40.6770285019242|  12.358 22.251   |10.434   |~              |    ~     ~    
2207|CPD-76 178                         |Star                                  |02 13 03.6571924608 -75 50 52.959969420|296.5193275429528 -40.2472414058415|  17.595 11.730   |10.519   |~              |    ~     ~    
2208|CPD-75 159                         |Star                                  |02 13 09.2671252968 -75 11 28.085722152|296.1590788005628 -40.8444252396655|  -1.200 -6.657   |10.296   |~              |    ~     ~    
2209|CPD-75 147                         |Star                                  |02 04 38.4300637272 -74 27 57.405253392|296.4619757578028 -41.7299710987100| 40.724 -10.735   |10.769   |~              |    ~     ~    
2210|TYC 9149-321-1                     |Star                                  |02 03 07.2779500800 -74 43 22.589497848|296.7146339297514 -41.5285739142078|  14.793 -2.038   |10.695   |~              |    ~     ~    
2211|TYC 9349-53-1                      |Star                                  |02 11 38.1925756536 -76 33 47.022983676|296.9950279901044 -39.6264189557752|  -2.695 -2.471   |10.90    |~              |    ~     ~    
2212|TYC 9349-256-1                     |Star                                  |02 11 37.5239838168 -75 55 05.036578032|296.6612279933868 -40.2184396967989|   -1.075 2.348   |10.424   |~              |    ~     ~    
2213|TYC 9349-575-1                     |Star                                  |02 08 38.0552245512 -76 19 35.535367992|297.0858418573338 -39.9128048560860|  -6.931 -2.567   |10.728   |~              |    ~     ~    
2214|TYC 9349-681-1                     |Star                                  |02 05 27.2706336192 -76 26 46.984260876|297.3705284554185 -39.8720523292287|   15.640 7.786   |10.86    |~              |    ~     ~    
2215|TYC 9353-608-1                     |Star                                  |02 01 09.6058688736 -76 56 47.882968728|297.9023069907103 -39.4928796959925|  16.002 10.489   |10.607   |~              |    ~     ~    
2216|[WG71] I-82                        |Star                                  |02 03 42.0 -74 12 00                   |296.4079 -42.0004                  |            ~ ~   |9.22     |~              |    ~     ~    
2217|HD 12760                           |Star                                  |02 01 08.1592476720 -73 45 15.300460620|296.4096914944513 -42.4799824734369|   8.829 -3.407   |8.78     |K0III          |    ~     ~    
2218|HD 15372                           |Star                                  |02 14 28.2304089024 -84 37 25.301242704|300.6843529793991 -32.1375396786132|    5.051 3.734   |9.92     |B9IV/V         |    ~     ~    
2219|HD 15373                           |Star                                  |02 14 17.5349773920 -84 41 33.975436596|300.7192352506586 -32.0749643414589|  18.599 19.584   |8.95     |K2III          |    ~     ~    
2220|TYC 9491-15-1                      |Star                                  |02 03 18.3024033000 -83 44 03.939896292|300.6295879264592 -33.0693827604022|   34.841 3.446   |10.146   |~              |    ~     ~    
2221|TYC 9491-1753-1                    |Star                                  |02 06 16.9023302616 -84 16 48.526100472|300.7587015943136 -32.5289628887017|    1.945 6.128   |10.643   |~              |    ~     ~    
2222|TYC 9491-2500-1                    |Star                                  |02 06 27.1019988504 -83 37 37.232010552|300.4892665677273 -33.1416273851395|   10.088 6.333   |9.95     |~              |    ~     ~    
2223|TYC 9491-2402-1                    |High Proper Motion Star               |02 10 56.3453898840 -83 27 43.612273368|300.2788564265559 -33.2516046707257|-85.812 -27.771   |10.484   |~              |    ~     ~    
2224|CD-83 31                           |High Proper Motion Star               |02 02 00.8446258272 -83 20 26.276919576|300.5173907884064 -33.4535592019176|   87.958 9.566   |10.195   |G5             |    ~     ~    
2225|CD-83 33                           |Star                                  |02 04 49.6704899040 -83 21 04.111237800|300.4293190089826 -33.4167800649065| -3.917 -15.807   |10.415   |F8             |    ~     ~    
2226|CD-83 34                           |Star                                  |02 10 31.1927756328 -83 17 33.225735732|300.2190391917610 -33.4140737605610|   9.140 21.900   |10.050   |K0             |    ~     ~    
2227|CD-80 63                           |Variable Star                         |02 08 54.9805191360 -80 06 15.857118684|298.8709691462639 -36.4050877984293| 12.454 -11.105   |9.87     |K5             |    ~     ~    
2228|HD 13060                           |High Proper Motion Star               |02 00 47.2102647168 -80 31 57.766630980|299.4530298201124 -36.1223521774651|-67.537 -141.841  |8.93     |K1V            |    ~     ~    
2229|CD-81 59                           |Star                                  |02 03 43.0621448280 -80 44 10.426373664|299.3982912985812 -35.8906762129977|   24.553 7.712   |10.319   |F0             |    ~     ~    
2230|CD-81 60                           |Star                                  |02 04 55.5720352488 -80 36 43.890133212|299.2888458147817 -35.9903281085180|  31.274 23.087   |9.42     |K0             |    ~     ~    
2231|CD-81 61                           |High Proper Motion Star               |02 06 46.5333542808 -81 18 02.190103344|299.5010766172960 -35.3199144349207| 108.275 14.736   |10.472   |G5             |    ~     ~    
2232|HD 14603                           |Star                                  |02 13 49.9783540560 -80 34 58.059796152|298.8575608974865 -35.8842986400365|  23.188 19.470   |9.31     |F5V            |    ~     ~    
2233|CD-82 39                           |Star                                  |02 11 29.4581834160 -81 36 48.692584584|299.4399328055702 -34.9648469922486|   -2.519 6.254   |9.81     |K0             |    ~     ~    
2234|CD-82 40                           |Star                                  |02 14 16.2368526024 -81 41 15.602810784|299.3601307198428 -34.8580924195594|  31.181 32.150   |9.96     |K5             |    ~     ~    
2235|HD 13401                           |Star                                  |02 02 32.5899139152 -82 01 59.775030840|299.9823001032688 -34.6836087419540|   26.150 9.590   |10.04    |F0/2IV/V       |    ~     ~    
2236|HD 13713                           |Star                                  |02 04 43.9353489888 -82 17 57.901562160|300.0051410455538 -34.4078512385587|  11.804 11.046   |7.99     |B9V            |    ~     ~    
2237|HD 13255                           |Star                                  |02 00 37.3624753128 -82 30 30.929760936|300.2439022492978 -34.2551450164700|  0.638 -11.040   |8.05     |F0IV/V         |    ~     ~    
