C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:21:11

dec< 0&rah >=7.5&rah< 7.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10800

  #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
9165 |TYC 4839-24-1                                                                                            |Star                                  |07 38 24.1983226584 -04 29 16.407963348|222.3637763895187 +08.3298587270427| 27.885 -19.949   |10.95    |~                    |    ~     ~          |    1|  577.567   pc  | -16.8126    +16.8126    |paral   |2020yCat.1350....0G
9166 |TYC 4839-33-1                                                                                            |Star                                  |07 41 13.1413510512 -05 24 48.682389384|223.5240384258177 +08.5066521779691| -5.495 -18.091   |10.81    |~                    |    ~     ~          |    1|  592.557   pc  |  -5.3020     +5.3020    |paral   |2020yCat.1350....0G
9167 |TYC 4839-226-1                                                                                           |Star                                  |07 39 29.0446252728 -04 21 44.081783964|222.3809979012478 +08.6266186016366|  -4.640 -1.841   |10.29    |~                    |    ~     ~          |    1|  831.463   pc  | -22.4682    +22.4682    |paral   |2020yCat.1350....0G
9168 |TYC 4839-353-1                                                                                           |Star                                  |07 41 37.3277041152 -04 58 14.736892620|223.1788230598213 +08.8060476676133|   -1.884 3.156   |10.76    |~                    |    ~     ~          |    1| 1099.022   pc  | -17.3930    +17.3930    |paral   |2020yCat.1350....0G
9169 |TYC 4839-428-1                                                                                           |Star                                  |07 43 17.6115690480 -04 34 11.606293956|223.0229893225811 +09.3631902231741|  3.056 -11.186   |10.87    |~                    |    ~     ~          |    1|  244.475   pc  |  -0.9563     +0.9563    |paral   |2020yCat.1350....0G
9170 |TYC 4839-452-1                                                                                           |Star                                  |07 42 29.4106544040 -04 03 50.394075156|222.4754112347283 +09.4278657931961|   -8.638 4.073   |10.61    |~                    |    ~     ~          |    1|  963.948   pc  | -12.6371    +12.6371    |paral   |2020yCat.1350....0G
9171 |TYC 4839-693-1                                                                                           |Star                                  |07 42 41.1384817920 -04 55 32.721410640|223.2666619892894 +09.0603330429596|  -8.103 -8.161   |10.86    |~                    |    ~     ~          |    1|  506.740   pc  |  -3.6720     +3.6720    |paral   |2020yCat.1350....0G
9172 |TYC 4839-695-1                                                                                           |Star                                  |07 44 16.3440057024 -05 37 23.313063288|224.0781789785797 +09.0735274676704|  9.445 -16.208   |10.93    |~                    |    ~     ~          |    1|  203.161   pc  |  -0.6686     +0.6686    |paral   |2020yCat.1350....0G
9173 |2MASS J07403315-0405412                                                                                  |Long-Period Variable Candidate        |07 40 33.1574784696 -04 05 41.102693160|222.2704942937021 +08.9880081603435|   -3.416 1.837   |10.46    |~                    |    ~     ~          |    1| 2282.58    pc  |-114.624    +114.624     |paral   |2020yCat.1350....0G
9174 |TYC 4839-1075-1                                                                                          |Star                                  |07 43 46.3157720712 -05 02 17.171372832|223.4975325086064 +09.2443559550620|  -1.291 -3.039   |10.63    |~                    |    ~     ~          |    1| 1256.913   pc  | -63.1932    +63.1932    |paral   |2020yCat.1350....0G
9175 |TYC 4839-1112-1                                                                                          |Star                                  |07 42 05.5743684408 -03 49 31.818872964|222.2149428951020 +09.4539031334610|    3.493 1.013   |9.59     |~                    |    ~     ~          |    1|  440.762   pc  |  -2.7586     +2.7586    |paral   |2020yCat.1350....0G
9176 |GSC 04839-01211                                                                                          |Double or Multiple Star               |07 38 10.1957156976 -04 50 35.752451568|222.6520809582142 +08.1101964532984|  4.549 -10.809   |10.339   |~                    |    ~     ~          |    1|  323.468   pc  |  -3.0029     +3.0029    |paral   |2020yCat.1350....0G
9177 |TYC 4839-1374-2                                                                                          |Star                                  |07 37 49.1773048296 -04 07 10.325445420|221.9662000008260 +08.3759894948566|   3.263 -2.983   |10.84    |~                    |    ~     ~          |    1|  955.384   pc  | -14.9692    +14.9692    |paral   |2020yCat.1350....0G
9178 |TYC 4839-1480-1                                                                                          |Star                                  |07 39 36.5369200776 -04 03 36.456439608|222.1267678610045 +08.7971900663634|   -0.511 0.021   |10.94    |~                    |    ~     ~          |    1| 1439.678   pc  | -47.8787    +47.8787    |paral   |2020yCat.1350....0G
9179 |TYC 4839-1577-1                                                                                          |Star                                  |07 43 31.2502915224 -05 14 44.725395408|223.6519677469656 +09.0901351718113|   1.239 -0.066   |10.91    |~                    |    ~     ~          |    1|  922.424   pc  | -16.6770    +16.6770    |paral   |2020yCat.1350....0G
9180 |TYC 4839-1617-1                                                                                          |Star                                  |07 43 38.0394346560 -05 01 17.605731180|223.4661709998472 +09.2220937879010|  -0.595 -5.139   |10.95    |~                    |    ~     ~          |    1| 1004.016   pc  | -13.9111    +13.9111    |paral   |2020yCat.1350....0G
9181 |TYC 4839-1645-1                                                                                          |Star                                  |07 41 36.4950528240 -04 54 36.776941524|223.1232925127515 +08.8318626676595| -11.817 14.182   |10.54    |~                    |    ~     ~          |    1|  667.111   pc  |  -6.0970     +6.0970    |paral   |2020yCat.1350....0G
9182 |TYC 4839-1653-1                                                                                          |Star                                  |07 43 02.2623847104 -04 46 34.359357720|223.1759339416485 +09.2087616592566|  -5.219 -0.078   |10.77    |~                    |    ~     ~          |    1|  737.028   pc  |  -8.8000     +8.8000    |paral   |2020yCat.1350....0G
9183 |TYC 4839-1774-1                                                                                          |Star                                  |07 37 57.5889475152 -04 02 36.254125320|221.9150844852929 +08.4427815472450|   1.726 -3.467   |10.95    |~                    |    ~     ~          |    1|  605.694   pc  | -12.6935    +12.6935    |paral   |2020yCat.1350....0G
9184 |TYC 4839-1829-1                                                                                          |Star                                  |07 37 38.2085376624 -05 07 22.482731100|222.8370545831830 +07.8606424058625|   -3.778 7.960   |10.79    |~                    |    ~     ~          |    1|  929.454   pc  | -10.4530    +10.4530    |paral   |2020yCat.1350....0G
9185 |TYC 4839-1837-1                                                                                          |Star                                  |07 39 15.6906592656 -05 01 58.752862680|222.9511946192641 +08.2593913880374|   -1.974 2.372   |10.95    |~                    |    ~     ~          |    1| 3018.412   pc  |-298.8347   +298.8347    |paral   |2020yCat.1350....0G
9186 |TYC 4839-1860-1                                                                                          |Star                                  |07 43 05.0073191664 -04 19 11.989754004|222.7750063147080 +09.4362179281657|  -28.215 8.584   |10.90    |~                    |    ~     ~          |    1|  245.417   pc  |  -0.8312     +0.8312    |paral   |2020yCat.1350....0G
9187 |TYC 4839-1937-1                                                                                          |Star                                  |07 42 27.4746862128 -04 44 26.694911292|223.0745885218273 +09.0987063393249|   -5.654 1.085   |10.54    |~                    |    ~     ~          |    1|  451.814   pc  |  -8.2471     +8.2471    |paral   |2020yCat.1350....0G
9188 |TYC 4839-1948-1                                                                                          |Star                                  |07 43 37.2780623736 -04 31 12.476529372|223.0181379682427 +09.4587181653371|  -2.545 -0.131   |10.83    |~                    |    ~     ~          |    1| 1948.938   pc  | -52.4173    +52.4173    |paral   |2020yCat.1350....0G
9189 |TYC 4839-1954-1                                                                                          |Star                                  |07 40 20.7136144632 -04 03 31.739329116|222.2136409829635 +08.9595056718660|   -4.670 2.954   |10.90    |~                    |    ~     ~          |    1|  973.141   pc  | -22.6334    +22.6334    |paral   |2020yCat.1350....0G
9190 |TYC 4839-2040-1                                                                                          |Star                                  |07 43 54.5452506648 -03 45 50.882167584|222.3783940275783 +09.8817557756736|   -2.218 7.095   |10.95    |~                    |    ~     ~          |    1| 1205.400   pc  | -18.5983    +18.5983    |paral   |2020yCat.1350....0G
9191 |TYC 4839-2105-1                                                                                          |Star                                  |07 38 57.2849 -05 18 04.835            |223.1529981 +08.0645966            |  -1.567 -0.426   |10.84    |~                    |    ~     ~          |    0|                |                         |        |                   
9192 |TYC 4839-2111-1                                                                                          |Star                                  |07 40 24.4136628792 -05 11 10.205110788|223.2245298921888 +08.4373545224941|  8.105 -22.446   |10.96    |~                    |    ~     ~          |    1|  553.281   pc  |  -4.3469     +4.3469    |paral   |2020yCat.1350....0G
9193 |TYC 4839-2112-1                                                                                          |Star                                  |07 44 11.8068308232 -04 16 52.324704156|222.8745027283185 +09.6987284104501| -10.411 -9.091   |10.73    |~                    |    ~     ~          |    1|  857.780   pc  | -10.2274    +10.2274    |paral   |2020yCat.1350....0G
9194 |TYC 4839-2181-1                                                                                          |Star                                  |07 42 23.3897537016 -04 40 17.207419944|223.0046971371040 +09.1168203432191|  -3.473 -7.747   |10.83    |~                    |    ~     ~          |    1|  336.247   pc  |  -2.1482     +2.1482    |paral   |2020yCat.1350....0G
9195 |TYC 4839-2188-1                                                                                          |Star                                  |07 44 00.3840099576 -03 52 33.205725840|222.4899003981968 +09.8499734431047|   -5.519 7.853   |10.89    |~                    |    ~     ~          |    1|  130.467   pc  |  -0.3455     +0.3455    |paral   |2020yCat.1350....0G
9196 |TYC 4839-2211-1                                                                                          |Star                                  |07 44 54.4669210248 -05 16 54.725636784|223.8516079470418 +09.3759461206668|  -8.156 -0.735   |10.70    |~                    |    ~     ~          |    1| 1027.432   pc  | -35.6799    +35.6799    |paral   |2020yCat.1350....0G
9197 |TYC 4839-2249-1                                                                                          |Star                                  |07 37 35.2952422344 -04 39 05.174867304|222.4120926423412 +08.0735070421128|   12.287 4.101   |10.93    |~                    |    ~     ~          |    1|  372.745   pc  |  -2.9594     +2.9594    |paral   |2020yCat.1350....0G
9198 |TYC 4839-2366-1                                                                                          |Star                                  |07 43 25.7304682632 -04 52 11.062353468|223.3063168230009 +09.2497403198493|   -3.945 0.807   |10.91    |~                    |    ~     ~          |    1| 2141.328   pc  | -98.5836    +98.5836    |paral   |2020yCat.1350....0G
9199 |TYC 4839-2455-1                                                                                          |Star                                  |07 44 59.1720742320 -04 36 49.944665988|223.2663580592141 +09.7128424379829| -28.560 -8.247   |10.80    |~                    |    ~     ~          |    1|  176.585   pc  |  -0.4989     +0.4989    |paral   |2020yCat.1350....0G
9200 |TYC 4842-40-1                                                                                            |Star                                  |07 33 04.1236531872 -06 34 03.075685068|223.5753790050460 +06.1752452671365|  -1.877 -2.858   |10.89    |~                    |    ~     ~          |    1| 1392.952   pc  | -26.9704    +26.9704    |paral   |2020yCat.1350....0G
9201 |TYC 4842-44-1                                                                                            |Star                                  |07 33 26.3903302320 -06 40 16.281789564|223.7111488170492 +06.2072051064457|   -5.135 4.883   |10.52    |~                    |    ~     ~          |    1| 1432.254   pc  | -44.7195    +44.7195    |paral   |2020yCat.1350....0G
9202 |TYC 4842-70-1                                                                                            |Star                                  |07 33 01.0061797920 -06 07 47.196147576|223.1814092625954 +06.3712758517147|   -0.749 0.299   |10.99    |~                    |    ~     ~          |    1| 3007.519   pc  |-182.7124   +182.7124    |paral   |2020yCat.1350....0G
9203 |TYC 4842-120-1                                                                                           |Star                                  |07 34 14.3207814336 -06 37 22.649072772|223.7631876701676 +06.4046909440371|   -4.550 0.884   |10.85    |~                    |    ~     ~          |    1| 2027.986   pc  | -63.7473    +63.7473    |paral   |2020yCat.1350....0G
9204 |TYC 4842-130-1                                                                                           |Star                                  |07 36 01.9325332992 -06 33 37.904998284|223.9211150969852 +06.8262176486156|   1.165 -3.152   |10.67    |~                    |    ~     ~          |    1|  854.847   pc  | -10.3768    +10.3768    |paral   |2020yCat.1350....0G
9205 |TYC 4842-162-1                                                                                           |Star                                  |07 33 05.9323836192 -06 30 22.968043848|223.5248005568874 +06.2108244227037|   10.655 4.018   |10.73    |~                    |    ~     ~          |    1| 1073.768   pc  | -17.5253    +17.5253    |paral   |2020yCat.1350....0G
9206 |TYC 4842-273-1                                                                                           |Star                                  |07 35 10.0857646416 -07 24 49.339952532|224.5733250933270 +06.2312285584016|   -2.874 1.912   |10.73    |~                    |    ~     ~          |    1| 1800.504   pc  | -58.0285    +58.0285    |paral   |2020yCat.1350....0G
9207 |TYC 4842-369-1                                                                                           |Star                                  |07 32 04.8508250688 -07 21 00.471273624|224.1510746893505 +05.5881899107136|   -0.849 1.863   |10.66    |~                    |    ~     ~          |    1| 1363.512   pc  | -33.4650    +33.4650    |paral   |2020yCat.1350....0G
9208 |GSC 04842-00483                                                                                          |Spectroscopic Binary                  |07 37 28.0663755072 -07 22 30.220547448|224.8131745470780 +06.7506114039351|  0.953 -18.359   |10.653   |~                    |    ~     ~          |    1|  390.153   pc  | -15.9069    +15.9069    |paral   |2020yCat.1350....0G
9209 |TYC 4842-565-1                                                                                           |Star                                  |07 36 04.4670586440 -07 28 42.153221892|224.7383617259557 +06.3978264561070|  -1.909 -4.334   |10.93    |~                    |    ~     ~          |    1| 1028.807   pc  | -30.8007    +30.8007    |paral   |2020yCat.1350....0G
9210 |TYC 4842-590-1                                                                                           |Star                                  |07 30 38.4538084584 -06 34 45.111131904|223.2987645629791 +05.6385874333653|   -0.844 1.802   |10.94    |~                    |    ~     ~          |    1| 1434.720   pc  | -28.2004    +28.2004    |paral   |2020yCat.1350....0G
9211 |TYC 4842-651-1                                                                                           |Star                                  |07 36 32.4752503920 -07 11 13.856814672|224.5364562415551 +06.6385553099319|   -5.747 0.384   |10.03    |~                    |    ~     ~          |    1| 3048.780   pc  |-155.2275   +155.2275    |paral   |2020yCat.1350....0G
9212 |TYC 4842-796-1                                                                                           |Star                                  |07 33 06.5214232848 -06 27 13.764548988|223.4794123575046 +06.2378847972317|   0.846 -0.851   |10.54    |~                    |    ~     ~          |    1| 1239.157   pc  | -29.6354    +29.6354    |paral   |2020yCat.1350....0G
9213 |TYC 4842-831-1                                                                                           |Star                                  |07 33 45.7853264808 -07 25 57.525199932|224.4232383041083 +05.9159455638439|   -3.836 0.631   |10.36    |~                    |    ~     ~          |    1| 1202.501   pc  | -21.5455    +21.5455    |paral   |2020yCat.1350....0G
9214 |TYC 4842-838-1                                                                                           |Star                                  |07 30 38.4708716088 -05 52 50.578219776|222.6799005929819 +05.9684369622198|  -10.246 5.249   |10.86    |~                    |    ~     ~          |    1| 1095.530   pc  | -20.5232    +20.5232    |paral   |2020yCat.1350....0G
9215 |TYC 4842-840-1                                                                                           |Star                                  |07 32 25.2754672488 -06 39 50.502562308|223.5841924911207 +05.9879215694919|  -1.658 -0.016   |10.51    |~                    |    ~     ~          |    1| 1705.902   pc  | -41.0325    +41.0325    |paral   |2020yCat.1350....0G
9216 |TYC 4842-868-1                                                                                           |Star                                  |07 30 54.4588125936 -06 17 05.571934908|223.0695393982088 +05.8360578249618|   -2.088 1.893   |10.71    |~                    |    ~     ~          |    1| 2055.076   pc  | -69.6851    +69.6851    |paral   |2020yCat.1350....0G
9217 |TYC 4842-963-1                                                                                           |Star                                  |07 30 12.9335354496 -07 21 01.157278716|223.9310697785949 +05.1808554083896|   -0.795 5.948   |10.74    |~                    |    ~     ~          |    1| 1792.436   pc  | -61.0437    +61.0437    |paral   |2020yCat.1350....0G
9218 |TYC 4842-1031-1                                                                                          |Star                                  |07 31 08.1807262152 -06 59 36.991706064|223.7240834361144 +05.5509091171466|   -1.682 3.162   |10.63    |~                    |    ~     ~          |    1| 1958.097   pc  | -77.8331    +77.8331    |paral   |2020yCat.1350....0G
9219 |TYC 4842-1140-1                                                                                          |Star                                  |07 31 53.7869911344 -06 19 10.945948980|223.2171692883243 +06.0361158903437|   -2.501 1.623   |10.80    |~                    |    ~     ~          |    1| 1105.339   pc  | -19.7927    +19.7927    |paral   |2020yCat.1350....0G
9220 |TYC 4842-1174-1                                                                                          |Star                                  |07 30 09.1219792584 -06 16 34.754553012|222.9728496364269 +05.6745776584560|   -1.495 2.534   |10.50    |~                    |    ~     ~          |    1| 1650.437   pc  |-107.3234   +107.3234    |paral   |2020yCat.1350....0G
9221 |TYC 4842-1320-1                                                                                          |Star                                  |07 34 18.9666048600 -06 42 25.080623244|223.8467652955478 +06.3817011239925|   -2.131 3.332   |10.44    |~                    |    ~     ~          |    1| 1991.239   pc  | -66.6125    +66.6125    |paral   |2020yCat.1350....0G
9222 |TYC 4842-1327-1                                                                                          |High Proper Motion Star               |07 31 17.6066031504 -07 24 10.066392468|224.1046213601880 +05.3913472914932|51.412 -104.236   |10.72    |~                    |    ~     ~          |    1|   67.461   pc  |  -0.0856     +0.0856    |paral   |2020yCat.1350....0G
9223 |TYC 4842-1337-1                                                                                          |Star                                  |07 31 02.1755953200 -06 57 55.403855640|223.6872969850666 +05.5423927824728|  -5.910 -1.265   |10.97    |~                    |    ~     ~          |    1|  652.273   pc  | -11.2747    +11.2747    |paral   |2020yCat.1350....0G
9224 |GSC 04842-01360                                                                                          |Double or Multiple Star               |07 36 49.6292709456 -06 11 10.692237228|223.6842444761082 +07.1780422558545|  -7.777 -2.247   |10.435   |~                    |    ~     ~          |    1|  371.733   pc  |  -2.7361     +2.7361    |paral   |2020yCat.1350....0G
9225 |TYC 4842-1606-1                                                                                          |Star                                  |07 33 42.0439998384 -05 54 29.092297032|223.0659129369910 +06.6260243183696|  -7.283 -3.547   |10.57    |~                    |    ~     ~          |    1|  450.390   pc  |  -4.2396     +4.2396    |paral   |2020yCat.1350....0G
9226 |TYC 4842-1687-1                                                                                          |Star                                  |07 36 53.0184328800 -07 10 16.588812360|224.5632108080725 +06.7207701495548|  -3.287 -2.691   |10.47    |~                    |    ~     ~          |    1|  916.758   pc  | -12.7748    +12.7748    |paral   |2020yCat.1350....0G
9227 |TYC 4842-1781-1                                                                                          |Star                                  |07 34 04.7066526384 -06 52 17.763772872|223.9643020823100 +06.2515560592260|   -2.537 3.249   |10.91    |~                    |    ~     ~          |    1| 1990.842   pc  | -65.3970    +65.3970    |paral   |2020yCat.1350....0G
9228 |TYC 4842-1818-1                                                                                          |Star                                  |07 32 49.3091649000 -05 59 14.030625588|223.0319745835709 +06.3960463787089|   -1.981 1.851   |10.19    |~                    |    ~     ~          |    1|  426.040   pc  |  -3.9751     +3.9751    |paral   |2020yCat.1350....0G
9229 |TYC 4842-1923-1                                                                                          |Star                                  |07 34 16.0321069032 -06 52 49.024067772|223.9943897581096 +06.2886485566620|   -3.175 3.311   |10.77    |~                    |    ~     ~          |    1| 2075.119   pc  | -73.6347    +73.6347    |paral   |2020yCat.1350....0G
9230 |HD 61113                                                                                                 |Star                                  |07 37 29.0866703784 -07 23 34.437604704|224.8309795167450 +06.7457811290326|   -1.522 1.645   |10.07    |B9III/IV             |    ~     ~          |    1| 1403.706   pc  | -66.4021    +66.4021    |paral   |2020yCat.1350....0G
9231 |TYC 4842-2018-1                                                                                          |Star                                  |07 35 06.7596540984 -06 39 01.730063412|223.8913735348519 +06.5825632609554|   -7.818 7.617   |10.93    |~                    |    ~     ~          |    1| 1269.036   pc  | -24.3178    +24.3178    |paral   |2020yCat.1350....0G
9232 |TYC 4842-2092-1                                                                                          |Star                                  |07 32 16.8704775096 -06 12 27.054405648|223.1632494110772 +06.1734232014583|  -0.508 -1.837   |10.82    |~                    |    ~     ~          |    1| 2188.184   pc  | -96.7206    +96.7206    |paral   |2020yCat.1350....0G
9233 |TYC 4842-2137-1                                                                                          |Star                                  |07 31 18.1660021032 -06 46 48.877165524|223.5548818581278 +05.6882996685983|   4.549 -8.989   |10.73    |~                    |    ~     ~          |    1|  916.170   pc  | -11.4154    +11.4154    |paral   |2020yCat.1350....0G
9234 |TYC 4842-2144-1                                                                                          |Star                                  |07 34 54.7029421152 -06 38 57.171585948|223.8663688204188 +06.5392692246004| -10.803 -9.341   |10.94    |~                    |    ~     ~          |    1|  299.751   pc  |  -1.9857     +1.9857    |paral   |2020yCat.1350....0G
9235 |TYC 4842-2166-1                                                                                          |Star                                  |07 34 00.8905781616 -05 50 47.023538820|223.0484570943953 +06.7240367671761|   -7.410 1.063   |10.70    |~                    |    ~     ~          |    1| 1382.743   pc  | -49.1379    +49.1379    |paral   |2020yCat.1350....0G
9236 |TYC 4842-2414-1                                                                                          |Star                                  |07 34 57.7579987440 -05 38 07.033400772|222.9736881616727 +07.0316710651017|  -0.242 -4.281   |10.57    |~                    |    ~     ~          |    1| 1791.152   pc  | -70.9018    +70.9018    |paral   |2020yCat.1350....0G
9237 |TYC 4842-2477-1                                                                                          |Star                                  |07 37 09.5120483496 -07 11 33.822428856|224.6149883574274 +06.7704231823193|   1.020 -7.165   |10.59    |~                    |    ~     ~          |    1|  920.980   pc  | -11.6204    +11.6204    |paral   |2020yCat.1350....0G
9238 |HD 60322                                                                                                 |Star                                  |07 33 42.1684688784 -06 56 36.628373076|223.9833861513998 +06.1353580036556|   -3.446 2.567   |10.22    |B8II                 |    ~     ~          |    1| 1804.403   pc  |-121.4439   +121.4439    |paral   |2020yCat.1350....0G
9239 |TYC 4842-2579-1                                                                                          |Star                                  |07 30 43.5135834072 -07 05 08.375659908|223.7570256577419 +05.4174807158199|  -1.646 -1.835   |10.84    |~                    |    ~     ~          |    1|  842.034   pc  |  -9.9972     +9.9972    |paral   |2020yCat.1350....0G
9240 |TYC 4842-2617-1                                                                                          |Star                                  |07 34 34.3134919464 -06 57 49.504554612|224.1044388073343 +06.3154777635126|   9.167 -6.349   |10.90    |~                    |    ~     ~          |    1|  387.777   pc  |  -3.2179     +3.2179    |paral   |2020yCat.1350....0G
9241 |TYC 4842-2665-1                                                                                          |Star                                  |07 33 25.1172823488 -07 09 25.155146916|224.1385910022866 +05.9718816684390|   6.308 -7.942   |10.93    |~                    |    ~     ~          |    1|  445.137   pc  |  -3.2694     +3.2694    |paral   |2020yCat.1350....0G
9242 |TYC 4842-2666-1                                                                                          |Star                                  |07 31 34.9274369544 -05 37 46.510492476|222.5682472277408 +06.2932773813109|   3.993 -3.335   |10.91    |~                    |    ~     ~          |    1| 1009.897   pc  | -14.5845    +14.5845    |paral   |2020yCat.1350....0G
9243 |TYC 4842-2688-1                                                                                          |Star                                  |07 34 25.3097130096 -06 02 32.142597468|223.2704171071093 +06.7203308284268|   -3.020 1.318   |10.27    |~                    |    ~     ~          |    1| 2562.788   pc  |-110.3405   +110.3405    |paral   |2020yCat.1350....0G
9244 |TYC 4842-2757-1                                                                                          |Star                                  |07 33 01.0111813368 -07 07 59.755597644|224.0700039864611 +05.8954528583276|   -4.256 4.740   |10.14    |~                    |    ~     ~          |    1| 1945.147   pc  | -73.0234    +73.0234    |paral   |2020yCat.1350....0G
9245 |TYC 4842-3042-1                                                                                          |Star                                  |07 32 15.3481959672 -05 44 39.196930020|222.7495342324134 +06.3868921368459|   0.786 -1.990   |10.85    |~                    |    ~     ~          |    1| 1554.243   pc  | -31.4037    +31.4037    |paral   |2020yCat.1350....0G
9246 |TYC 4842-3110-1                                                                                          |Star                                  |07 35 05.5907283432 -06 20 18.412073592|223.6126655057134 +06.7266218965264|  -2.712 -4.321   |10.85    |~                    |    ~     ~          |    1| 1556.178   pc  | -33.4193    +33.4193    |paral   |2020yCat.1350....0G
9247 |TYC 4842-3145-1                                                                                          |Star                                  |07 32 15.9814146672 -06 38 22.864361640|223.5443133357719 +05.9655822877490|  -6.090 -1.506   |10.61    |~                    |    ~     ~          |    1|  732.493   pc  |  -7.2970     +7.2970    |paral   |2020yCat.1350....0G
9248 |TYC 4842-3229-1                                                                                          |Star                                  |07 32 43.6272361896 -06 02 27.037227732|223.0682923150596 +06.3499382396581|   -1.837 0.579   |10.10    |~                    |    ~     ~          |    1| 2318.034   pc  | -83.8232    +83.8232    |paral   |2020yCat.1350....0G
9249 |TYC 4842-3287-1                                                                                          |Star                                  |07 36 24.5855754096 -05 40 09.712245792|223.1760380227431 +07.3324569189593|   -3.317 0.607   |10.63    |~                    |    ~     ~          |    1| 1901.502   pc  | -54.2357    +54.2357    |paral   |2020yCat.1350....0G
9250 |2MASS J07432264-0618404                                                                                  |Long-Period Variable Candidate        |07 43 22.6461308976 -06 18 40.502379168|224.5808716437092 +08.5479402393881|   -1.776 4.412   |10.92    |~                    |    ~     ~          |    1| 2638.52    pc  |-215.12     +215.12      |paral   |2020yCat.1350....0G
9251 |TYC 4843-73-1                                                                                            |Star                                  |07 37 32.1381833376 -07 20 30.836220720|224.7919522210146 +06.7812499780053|   -0.557 1.459   |10.92    |~                    |    ~     ~          |    1| 2933.412   pc  |-134.2365   +134.2365    |paral   |2020yCat.1350....0G
9252 |TYC 4843-133-1                                                                                           |Star                                  |07 44 24.8626297680 -07 28 02.927236440|225.7302289287532 +08.2160469342588|  -1.829 -0.707   |10.64    |~                    |    ~     ~          |    1| 2606.203   pc  |-102.5636   +102.5636    |paral   |2020yCat.1350....0G
9253 |TYC 4843-195-1                                                                                           |Star                                  |07 37 41.0085792792 -07 20 11.739968952|224.8049205585831 +06.8159784315487|-16.717 -33.836   |10.93    |~                    |    ~     ~          |    1|  264.873   pc  |  -0.9191     +0.9191    |paral   |2020yCat.1350....0G
9254 |TYC 4843-439-1                                                                                           |Star                                  |07 42 52.7510544552 -06 45 00.474463944|224.9097117980214 +08.2284133847238|   -0.855 3.638   |10.88    |~                    |    ~     ~          |    1| 2193.945   pc  |-100.5999   +100.5999    |paral   |2020yCat.1350....0G
9255 |TYC 4843-570-1                                                                                           |Star                                  |07 38 56.3146172712 -06 13 24.251030796|223.9693597506878 +07.6216761526034|  -3.238 -0.296   |10.92    |~                    |    ~     ~          |    1| 1370.051   pc  | -28.7187    +28.7187    |paral   |2020yCat.1350....0G
9256 |TYC 4843-583-1                                                                                           |Star                                  |07 39 50.9860517208 -06 58 30.041072724|224.7443474600233 +07.4608650468515|  -5.361 -8.122   |10.27    |~                    |    ~     ~          |    1|  307.446   pc  |  -2.3158     +2.3158    |paral   |2020yCat.1350....0G
9257 |TYC 4843-647-1                                                                                           |Star                                  |07 37 47.4360973368 -07 29 31.263571536|224.9551531353150 +06.7649159048795|   0.562 -3.611   |10.29    |~                    |    ~     ~          |    1|  513.716   pc  |  -5.9642     +5.9642    |paral   |2020yCat.1350....0G
9258 |TYC 4843-709-1                                                                                           |Star                                  |07 40 19.6575608856 -07 22 33.553492644|225.1564677868400 +07.3724485700666|  -1.024 -6.153   |10.38    |~                    |    ~     ~          |    1|  858.959   pc  | -10.9934    +10.9934    |paral   |2020yCat.1350....0G
9259 |TYC 4843-738-1                                                                                           |Star                                  |07 38 12.6542184264 -05 38 28.571840736|223.3659436213593 +07.7400525546743|  -3.304 -1.141   |9.39     |~                    |    ~     ~          |    1|  695.265   pc  | -10.5380    +10.5380    |paral   |2020yCat.1350....0G
9260 |TYC 4843-901-1                                                                                           |Star                                  |07 38 06.5773602960 -06 50 39.499785600|224.4202553335615 +07.1442218522916|  -1.503 -0.251   |10.87    |~                    |    ~     ~          |    1| 1829.491   pc  | -44.1809    +44.1809    |paral   |2020yCat.1350....0G
9261 |TYC 4843-919-1                                                                                           |Star                                  |07 40 38.4645981360 -07 29 58.765462296|225.3034798546820 +07.3811551151145|  -4.371 -3.036   |10.48    |~                    |    ~     ~          |    1|  704.573   pc  |  -7.9428     +7.9428    |paral   |2020yCat.1350....0G
9262 |TYC 4843-921-1                                                                                           |Star                                  |07 40 42.2069495064 -07 26 11.845232304|225.2552408801841 +07.4250171914328|  -5.344 13.351   |10.50    |~                    |    ~     ~          |    1|  862.664   pc  | -14.3628    +14.3628    |paral   |2020yCat.1350....0G
9263 |TYC 4843-1018-1                                                                                          |Star                                  |07 38 06.2253712032 -05 42 52.494645924|223.4182103227482 +07.6817214478156|   -3.451 2.255   |10.08    |~                    |    ~     ~          |    1|  667.289   pc  | -10.3304    +10.3304    |paral   |2020yCat.1350....0G
9264 |TYC 4843-1031-1                                                                                          |Star                                  |07 38 10.4897256768 -06 43 05.864151108|224.3164807078627 +07.2186507283241|   9.485 -3.539   |10.49    |~                    |    ~     ~          |    1|  215.671   pc  |  -0.6931     +0.6931    |paral   |2020yCat.1350....0G
