C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:21:11

dec< 0&rah >=7.5&rah< 7.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10800

  #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
54   |BD-01 1778                                                                                               |Star                                  |07 37 21.6474424200 -01 45 12.977081640|219.7981447371240 +09.3871617719106|   2.360 -3.267   |9.46     |A2                   |    ~     ~          |    1|  529.101   pc  |  -8.6224     +8.6224    |paral   |2020yCat.1350....0G
55   |HD 61095                                                                                                 |Star                                  |07 37 28.9939471152 -02 02 12.664118904|220.0663515163626 +09.2817004415263|   3.458 -6.591   |7.190    |K4/5III              |    ~     ~          |    1|  513.031   pc  |  -5.9220     +5.9220    |paral   |2020yCat.1350....0G
56   |HD 61094                                                                                                 |Star                                  |07 37 34.1711688648 -01 20 28.467763080|219.4531375290663 +09.6258705737361|  -23.238 2.666   |7.86     |K2/3III              |    ~     ~          |    1|  383.907   pc  |  -3.9646     +3.9646    |paral   |2020yCat.1350....0G
57   |TYC 4835-1185-1                                                                                          |High Proper Motion Star               |07 37 40.4899789176 -01 58 40.689450084|220.0363323973795 +09.3515656693777| -51.770 19.989   |10.05    |G0                   |    ~     ~          |    1|  122.127   pc  |  -0.3132     +0.3132    |paral   |2020yCat.1350....0G
58   |BD-01 1782                                                                                               |Star                                  |07 37 49.0828239720 -01 34 32.174233356|219.6927405872102 +09.5713689062883|  -2.816 -2.392   |9.87     |A0                   |    ~     ~          |    1|  619.348   pc  |  -9.0144     +9.0144    |paral   |2020yCat.1350....0G
59   |BD-01 1783                                                                                               |Star                                  |07 37 51.9782969016 -01 42 41.695278012|219.8203547547002 +09.5184738794257|  -8.642 -7.441   |9.27     |K0                   |    ~     ~          |    1|  469.925   pc  |  -3.3124     +3.3124    |paral   |2020yCat.1350....0G
60   |BD-01 1784                                                                                               |Star                                  |07 38 12.7680623784 -01 55 33.950839404|220.0536548512805 +09.4946243185434|  -16.475 1.426   |9.08     |K0                   |    ~     ~          |    1|  568.343   pc  |  -5.1359     +5.1359    |paral   |2020yCat.1350....0G
61   |BD-01 1788                                                                                               |Double or Multiple Star               |07 38 48.9804 -01 25 34.902            |219.6771460 +09.8616809            |     -3.20 2.20   |9.44     |A2                   |    ~     ~          |    0|                |                         |        |                   
62   |BD-01 1789                                                                                               |Star                                  |07 39 17.1558828072 -01 42 44.969195232|219.9895396523313 +09.8315746436284| -9.243 -41.859   |9.74     |G0                   |    ~     ~          |    1|  389.894   pc  |  -3.2988     +3.2988    |paral   |2020yCat.1350....0G
63   |BD-01 1792                                                                                               |High Proper Motion Star               |07 39 50.1120068643 -01 31 20.376529550|219.8841576816113 +10.0418813130241|186.435 -244.429  |9.23     |G6V                  |    ~     ~          |    1|  185.861   pc  |  -2.1420     +2.1420    |ST-L    |2020AJ....160...83S
64   |HD 61605                                                                                                 |Star                                  |07 39 59.4766098312 -01 52 28.406281512|220.2186857127375 +09.9113539459560|   -6.235 3.291   |7.59     |B7III/IV             |    ~     ~          |    1|  432.246   pc  |  -7.3613     +7.3613    |paral   |2020yCat.1350....0G
65   |BD-01 1794                                                                                               |Star                                  |07 40 04.9526477088 -01 24 57.967575840|219.8181770666185 +10.1462132474230|   -5.646 1.209   |8.89     |K0                   |    ~     ~          |    1|  635.607   pc  |  -6.6255     +6.6255    |paral   |2020yCat.1350....0G
66   |BD-01 1795                                                                                               |Star                                  |07 40 06.0223178568 -01 32 27.313002924|219.9323466362598 +10.0917422208036|  -6.584 -7.942   |9.55     |F0                   |    ~     ~          |    1|  310.328   pc  |  -1.8683     +1.8683    |paral   |2020yCat.1350....0G
67   |BD-01 1796                                                                                               |Star                                  |07 40 07.5974133312 -01 44 06.048054708|220.1096289989290 +10.0066359427457| -12.608 -7.231   |9.29     |K2                   |    ~     ~          |    1|  784.314   pc  | -11.8108    +11.8108    |paral   |2020yCat.1350....0G
68   |HD 61697                                                                                                 |Star                                  |07 40 31.3476819312 -01 49 43.622269428|220.2408305001386 +10.0500476293832|   -1.368 0.553   |8.36     |A0IV/V               |    ~     ~          |    1|  476.963   pc  | -10.3964    +10.3964    |paral   |2020yCat.1350....0G
69   |HD 61809                                                                                                 |Double or Multiple Star               |07 41 03.0950213933 -01 24 00.422095414|219.9189998606320 +10.3677239938999|-19.371 -48.032   |8.53     |G3V                  |    ~     ~          |    0|                |                         |        |                   
70   |BD-01 1799                                                                                               |High Proper Motion Star               |07 41 13.0654445736 -01 50 32.173082844|220.3357266047863 +10.1971483744611|-3.386 -116.594   |9.54     |G0                   |    ~     ~          |    1|   80.759   pc  |  -0.0939     +0.0939    |paral   |2020yCat.1350....0G
71   |BD-01 1754                                                                                               |Star                                  |07 32 34.7912883864 -02 10 09.847336080|219.6058428939252 +08.1366933556659|  -11.857 6.301   |8.71     |F8                   |    ~     ~          |    1|  196.761   pc  |  -0.6969     +0.6969    |paral   |2020yCat.1350....0G
72   |BD-01 1762                                                                                               |Star                                  |07 33 48.7000189776 -02 10 58.019935512|219.7629080392403 +08.4026225644178| -8.682 -15.098   |9.98     |F5                   |    ~     ~          |    1|  294.785   pc  |  -1.4686     +1.4686    |paral   |2020yCat.1350....0G
73   |HD 60565                                                                                                 |Star                                  |07 35 00.4402070712 -02 20 31.199018208|220.0463598321745 +08.5922845576896|-16.921 -17.419   |8.44     |K0III                |    ~     ~          |    1|  201.943   pc  |  -0.9176     +0.9176    |paral   |2020yCat.1350....0G
74   |BD-02 2182                                                                                               |Emission-line Star                    |07 34 30.9130868928 -02 19 48.959624064|219.9777458023114 +08.4891110678442|   -1.695 0.870   |9.71     |A                    |    ~     ~          |    1| 2450.380   pc  |-241.9758   +241.9758    |paral   |2020yCat.1350....0G
75   |BD-02 2232                                                                                               |Star                                  |07 40 01.9172495160 -02 32 51.703141380|220.8265308577571 +09.6041791187995|   -6.798 1.060   |8.70     |K2                   |    ~     ~          |    1|  553.403   pc  |  -6.4314     +6.4314    |paral   |2020yCat.1350....0G
76   |BD-02 2184                                                                                               |S Star                                |07 34 38.0759517696 -02 23 23.319517704|220.0450607314764 +08.4876289367378|   -2.604 1.269   |10.28    |S4*3                 |    ~     ~          |    1| 2753.304   pc  |-251.6787   +251.6787    |paral   |2020yCat.1350....0G
77   |HD 60778                                                                                                 |Horizontal Branch Star                |07 36 11.7736405176 -00 08 15.571268556|218.2099725897982 +09.8815236169303|-25.355 -82.401   |9.10     |A0III/IV             |    ~     ~          |    1|  470.013   pc  |  -4.8380     +4.8380    |paral   |2020yCat.1350....0G
