C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:17:06

Vmag< 11&dec >=0&rah >=5.75&rah< 6.0
------------------------------------

Number of objects : 7251

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------
5266|HD 39682                                                                                                 |Star                           |05 54 24.6452512392 +08 17 30.896985444|198.9123286518293 -08.6920725159822| -3.885 -11.689  |8.56     |K0               |    ~     ~    
5267|HD 39683                                                                                                 |Star                           |05 54 28.7288615688 +08 03 15.637843188|199.1304258231678 -08.7933478091407|   5.064 -4.713  |7.160    |B9               |    ~     ~    
5268|HD 249101                                                                                                |Star                           |05 54 35.0589634728 +08 12 49.521116160|199.0025413192627 -08.6927627344466|  -3.147 -4.248  |10.36    |A5               |    ~     ~    
5269|HD 39714                                                                                                 |Star                           |05 54 44.3801694024 +08 13 34.442488380|199.0105029864601 -08.6531225886430|-15.119 -40.426  |8.82     |G0               |    ~     ~    
5270|HD 249273                                                                                                |Star                           |05 55 26.6324534352 +08 24 41.593223628|198.9328769475813 -08.4106449541038| 11.043 -16.262  |10.53    |K0               |    ~     ~    
5271|HD 40022                                                                                                 |Star                           |05 56 34.8304224353 +08 18 41.563105769|199.1595767358898 -08.2138674509359|  -2.395 -3.725  |9.93     |A0               |    ~     ~    
5272|HD 249675                                                                                                |Star                           |05 57 22.8076465488 +08 21 36.340729560|199.2139101618118 -08.0174345357848|   -3.977 0.061  |10.20    |F0               |    ~     ~    
5273|HD 40187                                                                                                 |Star                           |05 57 41.7903202584 +08 03 35.690074416|199.5173208819895 -08.0948089675642|   24.452 8.776  |9.50     |G0               |    ~     ~    
5274|HD 40228                                                                                                 |Star                           |05 57 55.3118730168 +08 14 42.478237104|199.3811213158560 -07.9561451249413| -13.697 -9.191  |9.20     |F0               |    ~     ~    
5275|HD 40491                                                                                                 |Star                           |05 59 27.7043039880 +08 24 55.693342620|199.4172353706838 -07.5404238123230|  1.549 -15.435  |6.76     |K0               |    ~     ~    
5276|HD 39252                                                                                                 |Star                           |05 51 39.3994437384 +07 32 30.418385460|199.2375848726648 -09.6536669004599|   -0.770 2.958  |8.97     |K2               |    ~     ~    
5277|HD 39344                                                                                                 |Star                           |05 52 16.9566425040 +07 19 45.789576060|199.5024584762798 -09.6220541635407| 28.689 -25.815  |7.58     |K0               |    ~     ~    
5278|HD 39373                                                                                                 |Star                           |05 52 35.3922485544 +07 32 52.523493216|199.3467740334612 -09.4488846882046|   0.052 -2.225  |8.47     |K2               |    ~     ~    
5279|HD 248871                                                                                                |Star                           |05 53 16.6759619808 +07 38 02.286749220|199.3550235088842 -09.2580692834663|  -2.864 -5.344  |10.57    |A3               |    ~     ~    
5280|HD 39510                                                                                                 |Star                           |05 53 25.7123409024 +07 07 22.785333708|199.8256776181016 -09.4744932828529|  -1.813 -1.663  |9.56     |A0               |    ~     ~    
5281|HD 39528                                                                                                 |Star                           |05 53 30.3145634664 +07 39 19.614725820|199.3638687017392 -09.1984255046368|  9.269 -48.758  |7.76     |G5               |    ~     ~    
5282|HD 39539                                                                                                 |Star                           |05 53 37.1129379768 +07 43 05.534627556|199.3222516575666 -09.1433046244473| -2.821 -17.077  |8.59     |A2               |    ~     ~    
5283|HD 248934                                                                                                |Star                           |05 53 39.5318059584 +07 34 36.051871404|199.4523368513523 -09.2036077983360|   4.922 -6.450  |9.84     |K0               |    ~     ~    
5284|HD 248936                                                                                                |Star                           |05 53 39.6121839384 +07 09 41.457622752|199.8199180765211 -09.4055445466315|   -4.653 2.414  |10.71    |F8               |    ~     ~    
5285|HD 248959                                                                                                |Star                           |05 53 43.7495140848 +07 28 57.052077888|199.5442390553498 -09.2342941122190|   5.817 -3.865  |10.53    |G5               |    ~     ~    
5286|HD 249016                                                                                                |Star                           |05 54 01.0345548048 +07 11 33.713747628|199.8359774341031 -09.3130015134485|  -0.185 -0.431  |10.65    |A5               |    ~     ~    
5287|HD 39613                                                                                                 |Star                           |05 54 03.5790624072 +07 42 48.110651532|199.3805046446936 -09.0502652452451|  9.896 -14.809  |8.68     |K0               |    ~     ~    
5288|HD 249117                                                                                                |Star                           |05 54 36.3608900448 +07 07 47.502629652|199.9635511003902 -09.2159227140565|   -5.029 6.240  |8.87     |M0               |    ~     ~    
5289|HD 39759                                                                                                 |Star                           |05 54 53.1532424328 +07 01 59.176099560|200.0833970742970 -09.2022138434369|   2.996 -3.789  |8.80     |K                |    ~     ~    
5290|HD 39758                                                                                                 |Star                           |05 54 51.9572882688 +07 01 53.732262684|200.0823043303806 -09.2072717727242|   3.170 -3.714  |8.61     |A5               |    ~     ~    
5291|HD 249377                                                                                                |Star                           |05 55 57.6748804368 +07 23 50.351370828|199.8920696785535 -08.7922421866370|  22.188 -5.145  |10.22    |G5               |    ~     ~    
5292|HD 39926                                                                                                 |Star                           |05 56 05.1601522008 +07 50 47.398840764|199.5100991349665 -08.5470238776819|  -5.610 -3.749  |8.63     |A0               |    ~     ~    
5293|HD 39940                                                                                                 |Star                           |05 56 08.8637247312 +07 44 41.657323776|199.6074024989737 -08.5830423402522|  15.213 39.254  |8.82     |F5               |    ~     ~    
5294|HD 39951                                                                                                 |Star                           |05 56 14.3253474288 +07 29 11.880286548|199.8468434294502 -08.6887475004238|  -11.392 4.165  |8.88     |F0               |    ~     ~    
5295|HD 249541                                                                                                |Star                           |05 56 42.8098963872 +07 14 49.692021036|200.1164746728149 -08.7019371859128| -5.289 -18.316  |8.61     |K0               |    ~     ~    
5296|HD 249662                                                                                                |Star                           |05 57 17.0934715512 +07 06 08.878999824|200.3139337664738 -08.6479585735267| -1.626 -28.748  |10.69    |F8               |    ~     ~    
5297|HD 249712                                                                                                |Star                           |05 57 35.8589198928 +07 06 17.035413372|200.3498805746142 -08.5789511233202|   0.376 -4.442  |10.63    |A0               |    ~     ~    
5298|HD 40229                                                                                                 |Star                           |05 57 49.3894085592 +07 29 43.552673160|200.0315444003906 -08.3409836640355| 20.400 -32.164  |9.76     |F8               |    ~     ~    
5299|HD 40230                                                                                                 |Star                           |05 57 52.9236582792 +07 22 08.647770864|200.1504541926587 -08.3893616201598|-11.633 -10.280  |9.36     |F0               |    ~     ~    
5300|HD 40333                                                                                                 |Star                           |05 58 27.5788747560 +07 51 37.983802932|199.7859455313573 -08.0262075804358|   12.647 2.876  |7.32     |K0               |    ~     ~    
5301|HD 40346                                                                                                 |Star                           |05 58 31.4204932848 +07 56 19.697314812|199.7245669323986 -07.9744323969216| 13.009 -21.757  |8.33     |K0               |    ~     ~    
5302|HD 249887                                                                                                |Star                           |05 58 31.2639077832 +07 07 33.004868952|200.4431103016532 -08.3681948188560|   0.355 -2.333  |8.84     |K5               |    ~     ~    
5303|HD 40532                                                                                                 |Star                           |05 59 41.6981158656 +07 17 39.630651000|200.4359614663051 -08.0318677384022|   1.071 -3.924  |9.56     |B9               |    ~     ~    
5304|HD 248540                                                                                                |Star                           |05 51 38.1103506377 +06 49 26.821871549|199.8705780143040 -10.0087375071849|  -0.662 -1.852  |9.73     |A5               |    ~     ~    
5305|HD 248570                                                                                                |Star                           |05 51 49.5621587208 +06 36 35.253950616|200.0841083886695 -10.0717552504525|  14.219 -4.438  |9.40     |G0               |    ~     ~    
5306|HD 39288                                                                                                 |Star                           |05 51 53.5380352752 +06 48 14.732298792|199.9199168506103 -09.9627605617976|-12.671 -28.353  |8.03     |K0               |    ~     ~    
5307|HD 39374                                                                                                 |Star                           |05 52 26.8782707568 +06 12 33.946699176|200.5157874324114 -10.1313392963734| -8.402 -18.604  |6.91     |G5               |    ~     ~    
5308|HD 39437                                                                                                 |Star                           |05 52 52.9773711504 +06 08 17.204985348|200.6324084211852 -10.0713974351306| -6.152 -10.593  |8.98     |F8               |    ~     ~    
5309|HD 39495                                                                                                 |Star                           |05 53 18.0340512816 +06 07 49.116251280|200.6904367386809 -09.9843849070292|   -1.406 6.360  |9.12     |K0               |    ~     ~    
5310|HD 39529                                                                                                 |Star                           |05 53 26.4435663264 +06 15 20.459431908|200.5962423940864 -09.8931509313595|   -8.821 4.768  |7.20     |G0               |    ~     ~    
5311|TYC 129-1050-1                                                                                           |Star                           |05 53 29.0213459712 +06 10 08.263759044|200.6785004979949 -09.9258395338063| 10.327 -15.156  |9.75     |F5               |    ~     ~    
5312|HD 248917                                                                                                |Star                           |05 53 30.6796003608 +06 52 51.272264244|200.0502814754576 -09.5743052483015|   -1.019 1.975  |10.81    |A5               |    ~     ~    
5313|HD 39571                                                                                                 |Star                           |05 53 46.5949017648 +06 51 39.575131848|200.1003790999116 -09.5264457198581|  4.454 -18.049  |9.57     |F8               |    ~     ~    
5314|HD 39591                                                                                                 |Double or Multiple Star        |05 53 50.90944 +06 32 49.0345          |200.38760894 -09.66330498          |     -9.62 4.80  |8.61     |B9               |    ~     ~    
5315|HD 249034                                                                                                |Star                           |05 54 07.9028727792 +06 43 36.398641944|200.2627548188807 -09.5145535956047|  5.945 -12.109  |9.42     |K2               |    ~     ~    
5316|HD 39772                                                                                                 |Double or Multiple Star        |05 55 00.0320 +06 13 21.564            |200.8159786 -09.5699593            |   -15.90 -7.00  |9.51     |F5               |    ~     ~    
5317|HD 39831                                                                                                 |Star                           |05 55 22.7156674464 +06 43 49.191171096|200.4117355550133 -09.2420793860250|  -4.274 -8.690  |8.69     |A2               |    ~     ~    
5318|HD 39941                                                                                                 |Star                           |05 56 05.3216389200 +06 36 28.963036728|200.6065871840990 -09.1469689528343|  -5.287 -5.357  |9.70     |A0               |    ~     ~    
5319|HD 249494                                                                                                |T Tauri Star                   |05 56 27.7474318368 +06 19 34.586879088|200.9019245864585 -09.2018191975285|  -7.095 -0.756  |10.42    |G0               |    ~     ~    
5320|HD 249493                                                                                                |Star                           |05 56 34.1330286744 +06 42 50.668766604|200.5709873769606 -08.9913288145769|   2.487 -1.160  |8.74     |K5               |    ~     ~    
5321|HD 249583                                                                                                |Star                           |05 56 52.8614603832 +06 57 49.444802460|200.3877308353850 -08.8027721696591|   0.028 -4.217  |9.86     |A0               |    ~     ~    
5322|HD 40087                                                                                                 |Star                           |05 57 01.6969721544 +06 55 20.234630460|200.4423252637452 -08.7908329195730|  -4.285 -3.228  |8.26     |A2               |    ~     ~    
5323|HD 40115                                                                                                 |Star                           |05 57 13.6736983344 +06 46 29.041923216|200.5972724294971 -08.8187764998505|   -2.871 2.460  |8.56     |F8               |    ~     ~    
5324|HD 40166                                                                                                 |Star                           |05 57 30.1662742464 +06 23 28.251493296|200.9706234880908 -08.9440948283383|   5.245 -1.085  |8.27     |A0               |    ~     ~    
5325|HD 40300                                                                                                 |Star                           |05 58 13.1199069432 +06 30 40.775098896|200.9508352279049 -08.7303667049298|-11.019 -18.451  |8.42     |F3IV             |    ~     ~    
5326|HD 40533                                                                                                 |Star                           |05 59 45.7261171392 +06 46 10.722416952|200.9085445544051 -08.2700676505234|  -3.641 -3.656  |8.83     |A2               |    ~     ~    
5327|HD 249358                                                                                                |Star                           |05 55 48.3479439216 +06 00 38.430879336|201.1022307967343 -09.4970781357084|  -0.338 -9.105  |10.34    |F5               |    ~     ~    
5328|BD+07 1059                                                                                               |Star                           |05 56 05.1160581794 +07 52 32.394441472|199.4842378129885 -08.5330025707614|       11.4 7.9  |10.11    |~                |    ~     ~    
5329|BD+07 1082                                                                                               |Star                           |05 59 40.8298706952 +07 45 32.797894752|200.0232698325153 -07.8106364805051|  31.854 -3.047  |9.95     |~                |    ~     ~    
5330|HD 39397                                                                                                 |Star                           |05 52 39.4330715688 +05 51 41.941073520|200.8504534999241 -10.2544766910864| -8.337 -12.083  |9.35     |A2               |    ~     ~    
5331|HD 248853                                                                                                |Star                           |05 53 04.1209079928 +05 41 43.410955668|201.0486383283359 -10.2453985373866| 24.983 -21.035  |9.63     |G0               |    ~     ~    
5332|HD 39684                                                                                                 |Star                           |05 54 23.3790657144 +05 59 03.776075844|200.9530891171535 -09.8180889400649|  15.859 -1.981  |8.70     |K0               |    ~     ~    
5333|HD 249694                                                                                                |Star                           |05 57 30.1094706360 +05 49 06.160906596|201.4789133067968 -09.2201069280979| -9.674 -16.176  |10.29    |F8               |    ~     ~    
5334|HD 40317                                                                                                 |Star                           |05 58 17.0666399664 +05 49 21.236224044|201.5699467464912 -09.0474036815907| 12.161 -21.986  |8.46     |A0               |    ~     ~    
5335|HD 40371                                                                                                 |Star                           |05 58 33.1593570432 +05 47 47.505829704|201.6255080679992 -09.0013948404568|  9.221 -11.139  |8.31     |A2               |    ~     ~    
5336|IRAS 05494+0743                                                                                          |Star                           |05 52 09.6416055264 +07 43 53.136643188|199.1317887590570 -09.4519786624912|   -0.755 6.638  |9.24     |~                |    ~     ~    
5337|IRAS 05498+0628                                                                                          |Long-Period Variable Candidate |05 52 33.6959245416 +06 28 47.982568980|200.2895104412198 -09.9752566478695|  -4.774 -8.053  |10.57    |~                |    ~     ~    
5338|IRAS 05510+0758                                                                                          |Long-Period Variable Candidate |05 53 46.3733140608 +07 59 22.620772536|199.1012677862499 -08.9774640953810|   0.700 -1.457  |10.87    |~                |    ~     ~    
5339|TYC 129-45-1                                                                                             |UV-emission Source             |05 54 50.2531147739 +07 15 59.457781151|199.8708358217846 -09.0993295505815|    6.968 7.870  |10.33    |~                |    ~     ~    
5340|UCAC2 34235801                                                                                           |Star                           |05 55 15.4669581384 +07 21 46.982885796|199.8366709456830 -08.9613488567607|   2.072 -3.707  |10.38    |~                |    ~     ~    
5341|TYC 716-905-1                                                                                            |Star                           |05 55 47.6875569144 +07 30 03.063517596|199.7802141414378 -08.7780472912675| 20.115 -24.137  |10.55    |~                |    ~     ~    
5342|NAME Betelgeuse                    * alf Ori                                                             |Red Supergiant                 |05 55 10.30536 +07 24 25.4304          |199.78723619 -08.95860329          |    27.54 11.30  |0.42     |M1-M2Ia-Iab      |    ~     ~    
5343|TYC 128-41-1                                                                                             |Star                           |05 50 17.7918611784 +07 02 05.398862604|199.5190354718019 -10.1957899391448| 17.505 -15.073  |10.39    |~                |    ~     ~    
5344|TYC 128-340-1                                                                                            |Star                           |05 49 30.7228729632 +06 04 04.859968548|200.2805307934865 -10.8377756572795| 12.650 -17.269  |10.97    |~                |    ~     ~    
5345|TYC 128-385-1                                                                                            |Star                           |05 49 28.3155310032 +07 28 57.091572804|199.0207241594865 -10.1547571715100|    6.157 8.002  |10.84    |~                |    ~     ~    
5346|TYC 128-446-1                                                                                            |Star                           |05 49 03.2385153840 +05 59 46.558288860|200.2878196515501 -10.9721872846167|   23.084 4.977  |10.32    |~                |    ~     ~    
5347|TYC 128-680-1                                                                                            |Star                           |05 49 57.2603570808 +06 54 39.900493476|199.5865372985021 -10.3303733054679|   2.673 -3.225  |10.47    |~                |    ~     ~    
5348|TYC 128-700-1                                                                                            |Star                           |05 50 22.0110835296 +06 36 12.480684300|199.9102626206858 -10.3912642324705|    0.617 2.935  |10.29    |~                |    ~     ~    
5349|TYC 128-711-1                                                                                            |Star                           |05 52 11.6335462128 +06 32 38.420203488|200.1876236915769 -10.0239519311141|  3.977 -19.261  |9.88     |~                |    ~     ~    
5350|TYC 128-757-1                                                                                            |Star                           |05 51 12.1583709456 +06 41 57.442316316|199.9281132579836 -10.1633462598969|   -3.228 5.145  |10.45    |~                |    ~     ~    
5351|TYC 128-799-1                                                                                            |Star                           |05 51 07.5229207584 +06 33 47.764265436|200.0392961665246 -10.2463905012364|    0.816 9.607  |10.78    |~                |    ~     ~    
5352|TYC 128-923-1                                                                                            |Star                           |05 51 52.7164279848 +06 32 09.491320500|200.1560641298577 -10.0962787326026|    1.752 8.308  |10.54    |~                |    ~     ~    
5353|TYC 128-1089-1                                                                                           |Star                           |05 51 33.2532147552 +06 37 17.527811412|200.0403053530161 -10.1249963982298|   4.217 -4.743  |10.73    |~                |    ~     ~    
5354|TYC 128-1229-1                                                                                           |Star                           |05 48 49.4454875208 +06 22 46.432372692|199.9187099598904 -10.8350192416409| -3.285 -15.082  |10.08    |~                |    ~     ~    
5355|TYC 128-1431-1                                                                                           |Star                           |05 49 12.2710244304 +06 10 22.300552668|200.1493795561099 -10.8534119543592| 10.876 -17.618  |10.30    |~                |    ~     ~    
5356|TYC 129-3-1                                                                                              |Spectroscopic Binary           |05 54 56.9967797664 +05 37 42.751295976|201.3376490884320 -09.8678629025029|  -1.818 -6.323  |10.42    |~                |    ~     ~    
5357|TYC 129-113-1                                                                                            |Star                           |05 55 38.1726481632 +06 46 04.541964528|200.4097940854226 -09.1679140807094|   2.585 -5.354  |10.84    |~                |    ~     ~    
5358|TYC 129-119-1                                                                                            |Star                           |05 53 36.6403024656 +06 14 20.935790232|200.6317004424125 -09.8642228218583|-25.981 -20.518  |10.36    |~                |    ~     ~    
5359|TYC 129-264-1                                                                                            |Star                           |05 52 51.9054819000 +06 35 58.142842440|200.2206833300841 -09.8513094614823|  -5.573 -5.103  |9.54     |~                |    ~     ~    
5360|TYC 129-322-1                                                                                            |Star                           |05 54 23.3342358744 +06 30 41.062879764|200.4851523286308 -09.5631492518588|    3.931 3.140  |10.47    |~                |    ~     ~    
5361|TYC 129-412-1                                                                                            |Star                           |05 55 20.9737602288 +06 54 12.485664864|200.2547720675570 -09.1644831313239|   3.733 -5.329  |10.10    |~                |    ~     ~    
5362|TYC 129-1246-1                                                                                           |Star                           |05 57 19.3157429400 +05 58 48.390146688|201.3134800711110 -09.1815123965780|  -0.759 -3.157  |9.77     |~                |    ~     ~    
5363|TYC 129-1309-1                                                                                           |Star                           |05 59 06.7230883080 +07 13 37.224702300|200.4250854043484 -08.1909773592014|  4.776 -14.874  |10.02    |~                |    ~     ~    
5364|TYC 129-1465-1                                                                                           |Star                           |05 59 07.0192965240 +07 01 25.911050376|200.6054782943891 -08.2879061795349|  9.127 -15.852  |9.90     |~                |    ~     ~    
5365|TYC 129-1469-1                                                                                           |Star                           |05 57 59.8852419120 +07 11 43.926143460|200.3180661556824 -08.4481005010216|   30.607 1.334  |10.26    |~                |    ~     ~    
5366|TYC 129-1584-1                                                                                           |Star                           |05 58 48.4267123752 +05 40 33.099939912|201.7634478631877 -09.0037744203725|  -3.367 -5.460  |9.88     |~                |    ~     ~    
5367|TYC 129-1592-1                                                                                           |Star                           |05 59 33.5724569664 +06 17 33.433014372|201.3068846823041 -08.5435654101600|  6.137 -11.303  |10.34    |~                |    ~     ~    
5368|TYC 129-1689-1                                                                                           |Star                           |05 59 03.3687825240 +06 34 03.731774556|201.0021869773721 -08.5209197830195|  5.936 -15.692  |9.95     |~                |    ~     ~    
5369|TYC 715-457-1                                                                                            |Star                           |05 51 41.5420548768 +08 21 19.405682388|198.5229675567123 -09.2473075642246|  -2.286 -3.638  |10.42    |~                |    ~     ~    
5370|TYC 715-585-1                                                                                            |Star                           |05 52 18.2024048616 +08 03 54.652405788|198.8543384531571 -09.2578249424880|  -2.432 -4.559  |10.21    |~                |    ~     ~    
5371|TYC 715-731-1                                                                                            |Star                           |05 49 40.8798854544 +07 57 31.734695304|198.6253148147392 -09.8756091980860|  -6.624 -7.712  |10.81    |~                |    ~     ~    
5372|TYC 715-795-1                                                                                            |Star                           |05 49 04.2111511920 +07 47 31.541925156|198.6971481761254 -10.0893755590939|  0.740 -14.952  |9.67     |~                |    ~     ~    
5373|TYC 715-1057-1                                                                                           |Star                           |05 51 04.9772678856 +07 40 29.763409080|199.0492054934097 -09.7124612138151|-14.389 -20.703  |10.62    |~                |    ~     ~    
5374|TYC 715-1268-1                                                                                           |Star                           |05 50 07.4539707144 +08 20 50.077678308|198.3369049430250 -09.5891005627654|  -2.292 -1.115  |10.25    |~                |    ~     ~    
5375|TYC 715-1400-1                                                                                           |Star                           |05 51 59.2893133800 +07 46 10.423451892|199.0768722794863 -09.4705990105061|  4.769 -13.352  |9.97     |~                |    ~     ~    
5376|TYC 715-1407-1                                                                                           |High Proper Motion Star        |05 49 09.8560658328 +07 30 13.134249864|198.9639932620665 -10.2108249972294|-20.082 -56.688  |10.75    |~                |    ~     ~    
5377|TYC 715-1422-1                                                                                           |Star                           |05 49 31.8764079360 +07 35 54.864964716|198.9253544490167 -10.0849793379648| -1.054 -13.947  |9.97     |~                |    ~     ~    
5378|TYC 715-1514-1                                                                                           |Star                           |05 51 00.9985525104 +07 43 44.236649280|198.9932632916454 -09.7003154341937|  -0.559 -2.990  |10.47    |~                |    ~     ~    
5379|TYC 716-268-1                                                                                            |Star                           |05 56 14.7429948288 +08 11 44.714858604|199.2210533310908 -08.3425822374210|  2.205 -20.970  |10.57    |~                |    ~     ~    
5380|TYC 716-300-1                                                                                            |Star                           |05 56 21.1844331552 +08 01 28.774438644|199.3852098820875 -08.4026100210309|   0.836 -2.419  |10.34    |~                |    ~     ~    
5381|TYC 716-680-1                                                                                            |Star                           |05 54 56.9634070968 +08 22 57.416297340|198.8980761293448 -08.5315120375697|  -1.227 -5.353  |10.51    |~                |    ~     ~    
5382|TYC 716-821-1                                                                                            |Star                           |05 55 38.3879815032 +08 01 33.552112944|199.2971675312167 -08.5562218113836|  -1.472 -5.553  |10.14    |~                |    ~     ~    
5383|TYC 716-928-1                                                                                            |Spectroscopic Binary           |05 52 58.1734171392 +07 41 54.108251412|199.2602854084054 -09.2933152848191|  -8.340 -9.834  |10.77    |~                |    ~     ~    
5384|TYC 716-1550-1                                                                                           |High Proper Motion Star        |05 57 46.6042717656 +07 43 24.278922336|199.8243556246493 -08.2406224642721|-10.512 -103.279 |10.30    |~                |    ~     ~    
5385|TYC 716-1584-1                                                                                           |Star                           |05 59 48.7724279952 +08 11 02.553604368|199.6639276866240 -07.5764802238489|   2.629 -4.438  |9.60     |~                |    ~     ~    
5386|TYC 716-1786-1                                                                                           |Star                           |05 59 17.2927299672 +07 42 46.463091228|200.0166904219008 -07.9180425812056| -9.703 -12.838  |10.85    |~                |    ~     ~    
5387|TYC 716-1832-1                                                                                           |High Proper Motion Star        |05 57 09.5792749296 +08 18 40.749168528|199.2301797373260 -08.0888047380194| 45.940 -51.400  |10.62    |~                |    ~     ~    
5388|TYC 716-1861-1                                                                                           |Star                           |05 58 39.5610224304 +08 25 47.028101700|199.3075772684263 -07.7070549698761|  10.991 -9.723  |9.95     |~                |    ~     ~    
5389|TYC 716-1896-1                                                                                           |Star                           |05 59 08.2163844144 +07 55 10.597516644|199.8157509933573 -07.8508605239146|  21.995 -9.059  |10.77    |~                |    ~     ~    
5390|TYC 716-1910-1                                                                                           |Star                           |05 59 13.1069416224 +07 44 19.141589112|199.9855021247503 -07.9207247536738|  -1.098 -3.703  |10.19    |~                |    ~     ~    
5391|HD 248067                                                                                                |Star                           |05 49 05.5201434600 +05 17 28.994881668|200.9201913551228 -11.3068172549805|  -3.309 -8.877  |10.05    |A3               |    ~     ~    
5392|HD 248312                                                                                                |Spectroscopic Binary           |05 50 17.8840495152 +05 27 09.705211488|200.9249222125611 -10.9660622061879| -23.142 -6.447  |10.34    |F8               |    ~     ~    
5393|HD 248368                                                                                                |High Proper Motion Star        |05 50 36.7581844896 +05 15 20.686687632|201.1390613543537 -10.9930381583610| -42.218 56.425  |10.02    |G0               |    ~     ~    
5394|HD 248503                                                                                                |Star                           |05 51 17.7062402352 +05 05 53.250906732|201.3633113279135 -10.9206076717255|   0.449 -4.164  |10.03    |A3               |    ~     ~    
5395|HD 248022                                                                                                |Star                           |05 48 51.1004707464 +04 55 35.035774860|201.2161874782966 -11.5362078184760|   1.357 -6.272  |10.20    |K2               |    ~     ~    
5396|HD 38900                                                                                                 |Star                           |05 49 07.7818199304 +04 12 44.911369044|201.8884927945673 -11.8208369785664| -5.175 -10.322  |7.81     |B9V              |    ~     ~    
5397|HD 38911                                                                                                 |Star                           |05 49 18.0218219208 +04 22 15.205207620|201.7677573116845 -11.7071073689161|   -7.021 1.470  |8.81     |A0V              |    ~     ~    
5398|HD 38946                                                                                                 |Star                           |05 49 27.5650356000 +04 34 45.220311300|201.6010679023354 -11.5717498700246|   1.399 -2.231  |9.84     |B8/9III          |    ~     ~    
5399|HD 39051                                                                                                 |Star                           |05 50 13.0654076112 +04 25 24.260302020|201.8334692102370 -11.4814845444383|  9.611 -38.600  |5.936    |K3III            |    ~     ~    
5400|HD 248340                                                                                                |Star                           |05 50 20.6198739216 +04 16 57.964671984|201.9746474785323 -11.5217981496097|  -0.187 -7.515  |10.06    |F5               |    ~     ~    
5401|TYC 124-1370-1                                                                                           |Star                           |05 50 20.5654828368 +04 17 14.591217948|201.9704063703235 -11.5197703502717|   0.006 -5.214  |10.92    |~                |    ~     ~    
5402|HD 39082                                                                                                 |alpha2 CVn Variable            |05 50 23.8509696576 +04 57 24.272149104|201.3792636722185 -11.1846366506256|   2.916 -1.398  |7.42     |ApEuCrSr         |    ~     ~    
5403|HD 39187                                                                                                 |Star                           |05 50 56.8779085512 +04 13 51.596950080|202.0949842838577 -11.4147025767364|  -0.134 -7.819  |8.54     |A7/8IV/V         |    ~     ~    
5404|HD 248469                                                                                                |Star                           |05 51 05.2819300128 +04 17 51.425211120|202.0525714189616 -11.3520231972471| -6.296 -11.415  |9.59     |G0               |    ~     ~    
5405|HD 248504                                                                                                |Star                           |05 51 18.8840683728 +04 55 13.431405360|201.5242101207814 -11.0022080689141|   8.850 -3.132  |10.05    |F5               |    ~     ~    
5406|HD 38879                                                                                                 |Pulsating Variable             |05 49 05.0207156952 +04 01 26.590840104|202.0515051608506 -11.9217635029090|   0.331 -4.858  |9.18     |A0               |    ~     ~    
5407|HD 248084                                                                                                |Star                           |05 49 08.0061816552 +03 17 53.709068256|202.7083784444749 -12.2599803848673|   0.600 -6.049  |9.67     |K7               |    ~     ~    
5408|HD 38901                                                                                                 |Star                           |05 49 09.6074613288 +03 39 04.781194344|202.3948700146697 -12.0845125024163|  -7.618 -6.573  |8.91     |A0V              |    ~     ~    
5409|HD 39052                                                                                                 |Star                           |05 50 04.5258529728 +03 15 10.221342264|202.8644887925097 -12.0754454008929|  -3.700 -3.495  |8.69     |A9/F0V           |    ~     ~    
5410|HD 39102                                                                                                 |Star                           |05 50 25.6112960520 +03 12 04.636074960|202.9537256790532 -12.0231427139342|    7.970 1.890  |7.81     |K4/5III          |    ~     ~    
5411|HD 248485                                                                                                |Star                           |05 51 07.3544494128 +03 30 07.132502088|202.7690117555488 -11.7266798292178|   -2.294 3.312  |9.17     |G5               |    ~     ~    
5412|HD 288261                                                                                                |Spectroscopic Binary           |05 49 07.5638818944 +02 57 33.442301124|203.0119804749783 -12.4241035855872|   1.777 -6.206  |9.84     |A3               |    ~     ~    
5413|HD 288262                                                                                                |Star                           |05 50 53.6778086232 +02 59 34.762896168|203.1978593663623 -12.0202528644946|  -0.950 -1.934  |10.64    |K7               |    ~     ~    
5414|ASAS J055115+0355.3                                                                                      |Rotating Variable              |05 51 14.9878216560 +03 55 24.059023824|202.4071403172673 -11.4966511767626|   13.159 7.886  |9.386    |~                |    ~     ~    
5415|BD+04 1061                                                                                               |Star                           |05 51 11.0257492440 +04 28 36.109168212|201.9042570478359 -11.2448510791350|  5.147 -11.038  |9.5      |~                |    ~     ~    
5416|HD 39375                                                                                                 |Star                           |05 52 23.9112953640 +05 18 15.148540764|201.3148277457781 -10.5805026533282| -4.826 -42.803  |8.15     |F5               |    ~     ~    
5417|HD 39398                                                                                                 |Star                           |05 52 37.1362887528 +05 09 52.547769396|201.4661571491248 -10.5998784573443|  -8.158 -3.154  |8.47     |G6II-III         |    ~     ~    
5418|HD 248806                                                                                                |Star                           |05 52 48.6266037264 +05 18 26.278291656|201.3624570833823 -10.4892276258384|   0.045 11.827  |9.63     |G5               |    ~     ~    
