C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:12:05

Vmag< 11&dec >=0&rah >=5.25&rah< 5.5
------------------------------------

Number of objects : 6141

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
4213|HD 278218                                                                                                |Star                                  |05 28 22.6290689280 +41 17 24.786779244|167.6809641420010 +03.6582760641021|   3.122 -4.458  |10.98    |F5                |    ~     ~    
4214|HD 278215                                                                                                |Star                                  |05 29 35.0258193960 +41 21 22.208232456|167.7507781946668 +03.8837025461294|   0.738 -3.216  |10.70    |B9                |    ~     ~    
4215|HD 278232                                                                                                |Star                                  |05 28 02.4048145824 +40 45 07.051152960|168.0952321068166 +03.3078738223846| -1.771 -15.074  |10.54    |A2                |    ~     ~    
4216|HD 35424                                                                                                 |Star                                  |05 26 24.8602259856 +39 38 47.576001660|168.8430827780096 +02.4358492927600|  -0.583 -4.204  |8.25     |B8                |    ~     ~    
4217|BD+39 1300                                                                                               |Star                                  |05 26 24.3972143232 +39 09 35.241217416|169.2466392838131 +02.1631923099754|   1.843 -3.279  |10.25    |~                 |    ~     ~    
4218|BD+39 1301                                                                                               |Star                                  |05 26 46.1523842088 +39 10 26.605287552|169.2739809176468 +02.2294965675738|    8.983 1.560  |9.79     |~                 |    ~     ~    
4219|HD 278251                                                                                                |Star                                  |05 26 53.5376452320 +39 25 49.983945852|169.0740041108955 +02.3920712349642|   0.536 -8.432  |9.87     |F8                |    ~     ~    
4220|HD 278256                                                                                                |Star                                  |05 27 47.7734007264 +39 10 04.677917880|169.3897663100572 +02.3915905387972|   9.026 -8.584  |9.19     |M0                |    ~     ~    
4221|HD 278255                                                                                                |Star                                  |05 27 52.8123116016 +39 11 21.095747952|169.3811193398558 +02.4169053386027|  -1.994 -0.190  |10.12    |A0                |    ~     ~    
4222|HD 278254                                                                                                |Star                                  |05 28 07.4735832720 +39 11 12.893175636|169.4092799532074 +02.4550559605069|  2.315 -19.606  |8.96     |K0                |    ~     ~    
4223|LS V +39 28                                                                                              |Star                                  |05 28 35.9992864824 +39 44 58.714597968|168.9908119841305 +02.8427942945006|   0.073 -0.805  |10.91    |B                 |    ~     ~    
4224|BD+39 1310                                                                                               |Star                                  |05 28 44.8759916472 +39 55 54.821016840|168.8543859530860 +02.9671243682371|   1.260 -1.862  |10.00    |K0                |    ~     ~    
4225|HD 278248                                                                                                |Star                                  |05 28 58.8002248584 +39 43 42.902109696|169.0487757372336 +02.8920797537074| 18.920 -34.050  |9.53     |G0                |    ~     ~    
4226|HD 278253                                                                                                |Star                                  |05 29 20.6381622744 +39 20 38.547996720|169.4087105756862 +02.7385964832368| 17.532 -40.446  |9.07     |G5                |    ~     ~    
4227|BD+39 1314                                                                                               |Star                                  |05 29 37.0750151424 +39 24 21.845724084|169.3860695915033 +02.8169463989264|   3.002 -8.486  |9.61     |M0                |    ~     ~    
4228|HD 278247                                                                                                |Star                                  |05 27 14.4952349016 +39 51 08.399559024|168.7605103317142 +02.6824782590689|  -0.036 -0.565  |10.65    |O4V((f))          |    ~     ~    
4229|HD 278235                                                                                                |Double or Multiple Star               |05 27 15.4785 +40 39 39.657            |168.0888088 +03.1340957            |       4.6 -3.0  |10.4     |A0                |    ~     ~    
4230|HD 278203                                                                                                |Star                                  |05 28 18.8504628428 +41 49 32.688460486|167.2268504934145 +03.9439626367238|   0.867 -2.550  |10.23    |A0IV-VCrEu        |    ~     ~    
4231|HD 278208                                                                                                |Star                                  |05 27 28.9967072136 +41 44 20.918339952|167.2133889813863 +03.7670098429597|  9.190 -16.614  |10.00    |F8                |    ~     ~    
4232|HD 278209                                                                                                |Star                                  |05 26 33.3330630312 +41 37 51.491493192|167.2072825203849 +03.5628874391523|   -1.759 9.981  |10.36    |G0                |    ~     ~    
4233|HD 278212                                                                                                |Star                                  |05 29 42.1376093376 +41 36 32.796884808|167.5510507093180 +04.0410923324468|  9.346 -20.263  |10.05    |A7                |    ~     ~    
4234|HD 278213                                                                                                |Star                                  |05 29 37.9770416328 +41 31 20.659093500|167.6165780136319 +03.9826699851072|   2.262 -5.922  |10.65    |F0                |    ~     ~    
4235|HD 278217                                                                                                |Star                                  |05 28 37.6625061984 +41 19 50.356972452|167.6731768929160 +03.7198268807304|  5.364 -15.568  |10.89    |F2                |    ~     ~    
4236|HD 278222                                                                                                |Star                                  |05 28 51.3094962192 +41 07 05.749925268|167.8743819256555 +03.6384498589281|   0.938 -6.363  |10.14    |G5                |    ~     ~    
4237|HD 278223                                                                                                |Star                                  |05 29 17.3774670648 +41 08 15.084993300|167.9034000761963 +03.7173548060976| 13.547 -17.836  |9.78     |G5                |    ~     ~    
4238|HD 278230                                                                                                |Star                                  |05 29 36.0330207480 +40 51 21.194575128|168.1714626047254 +03.6115395772983|   0.540 -4.182  |10.27    |A2                |    ~     ~    
4239|HD 278233                                                                                                |High Proper Motion Star               |05 26 58.3409421576 +40 51 06.207036480|167.8998772570101 +03.1949973890250|-29.717 -54.772  |10.17    |G0                |    ~     ~    
4240|HD 278242                                                                                                |Star                                  |05 26 28.5249714312 +40 21 43.360674444|168.2548492773364 +02.8442460533956|  3.362 -21.950  |10.24    |F5                |    ~     ~    
4241|HD 278244                                                                                                |Star                                  |05 27 52.3794864240 +40 12 03.440023668|168.5372118015234 +02.9764293315523|  -5.358 -1.626  |9.74     |G5                |    ~     ~    
4242|HD 278246                                                                                                |Star                                  |05 28 41.6073415800 +39 52 09.221686104|168.9009266419909 +02.9238122810189| -2.175 -10.377  |9.64     |K5                |    ~     ~    
4243|HD 278252                                                                                                |Star                                  |05 27 03.2955619056 +39 18 57.126543120|169.1868816909019 +02.3543825627668| 16.995 -25.420  |10.95    |F8                |    ~     ~    
4244|HD 278231                                                                                                |Star                                  |05 29 51.2646736776 +40 49 16.599471636|168.2268661797595 +03.6326573944730| -6.905 -21.620  |9.17     |K2                |    ~     ~    
4245|TYC 2913-669-1                                                                                           |Star                                  |05 29 48.0035721192 +39 48 08.164079820|169.0740938407768 +03.0641959773531|  -1.140 -3.589  |10.80    |A2                |    ~     ~    
4246|HD 35920                                                                                                 |Star                                  |05 29 55.5580680024 +39 38 58.443422136|169.2151604967642 +03.0004831478284|  -2.543 -1.235  |9.21     |A0                |    ~     ~    
4247|HD 278205                                                                                                |Star                                  |05 26 59.5793847000 +41 52 38.505242712|167.0473460564874 +03.7675580384752|  -7.496 -6.764  |10.73    |G0                |    ~     ~    
4248|TYC 2909-61-1                                                                                            |Star                                  |05 28 43.9986701976 +39 07 28.930481544|169.5265016649552 +02.5189458605387| -3.539 -12.589  |10.96    |~                 |    ~     ~    
4249|TYC 2909-388-1                                                                                           |Star                                  |05 28 22.1496468744 +39 08 09.090377520|169.4781110733054 +02.4662744744966|  -0.017 -0.308  |10.88    |~                 |    ~     ~    
4250|TYC 2913-204-1                                                                                           |Star                                  |05 28 04.0302 +41 10 02.116            |167.7514138 +03.5417708            |      -4.9 -6.4  |10.57    |~                 |    ~     ~    
4251|TYC 2913-379-1                                                                                           |Star                                  |05 28 43.6136559528 +40 30 33.274615500|168.3699913412644 +03.2824127437467|   2.088 -4.080  |10.92    |~                 |    ~     ~    
4252|TYC 2913-1058-1                                                                                          |Star                                  |05 27 48.5614351608 +40 35 34.355258988|168.2036916780146 +03.1833939106847|  8.916 -15.845  |10.14    |~                 |    ~     ~    
4253|BD+39 1312                                                                                               |Double or Multiple Star               |05 29 22.6159955256 +39 59 23.773367940|168.8724394841608 +03.0996808769763|    3.40 -13.50  |10.55    |~                 |    ~     ~    
4254|TYC 2917-1931-1                                                                                          |Star                                  |05 27 02.5124373720 +41 27 49.883866992|167.3971531149158 +03.5457396505596|   8.387 -9.658  |10.91    |~                 |    ~     ~    
4255|HD 35477                                                                                                 |Double or Multiple Star               |05 26 44.7581298336 +38 57 25.957636056|169.4516909831685 +02.1049691086885|  7.318 -16.761  |8.320    |A0                |0.0083  0.0    
4256|HD 281080                                                                                                |Double or Multiple Star               |05 27 13.8911 +38 35 51.030            |169.8034197 +01.9833751            |     -0.5 -17.0  |10.18    |F2                |    ~     ~    
4257|HD 278257                                                                                                |Star                                  |05 27 28.0620681240 +39 00 03.832833708|169.4932999797737 +02.2459244513953|   3.172 -2.391  |10.24    |A3                |    ~     ~    
4258|HD 35690                                                                                                 |Star                                  |05 28 19.1122608384 +38 17 07.909482012|170.1812968315215 +01.9872813011136|  0.792 -16.717  |8.60     |A3                |    ~     ~    
4259|BD+38 1170C                                                                                              |Star                                  |05 29 13.2824395056 +38 47 47.191028964|169.8528814764377 +02.4168157974019| -1.113 -13.067  |10.2     |A5                |    ~     ~    
4260|BD+38 1170                                                                                               |Star                                  |05 29 12.9695 +38 47 35.745            |169.8549746 +02.4142142            |  2.625 -10.216  |9.94     |A5                |    ~     ~    
4261|HD 281075                                                                                                |Star                                  |05 29 20.1184085064 +38 41 50.409903408|169.9478854550933 +02.3806838815289|  2.809 -18.346  |9.05     |K7                |    ~     ~    
4262|HD 281076                                                                                                |Star                                  |05 29 30.7230810216 +38 40 00.385899276|169.9924377638403 +02.3926145268943| -0.645 -10.320  |9.71     |F0                |    ~     ~    
4263|BD+38 1176                                                                                               |Star                                  |05 29 30.4494552504 +38 48 40.944992724|169.8711733940115 +02.4715531924815| -5.090 -31.176  |9.54     |G0                |    ~     ~    
4264|BD+38 1178                                                                                               |Star                                  |05 29 41.3509535280 +38 55 02.886957912|169.8020345581562 +02.5595080441008|   7.581 -4.539  |9.55     |K0                |    ~     ~    
4265|HD 35668                                                                                                 |Star                                  |05 28 07.1095717584 +38 05 42.762173352|170.3180177692252 +01.8490982048607|   0.918 -3.319  |9.24     |B9                |    ~     ~    
4266|HD 281095                                                                                                |Star                                  |05 29 11.0905553112 +38 06 29.573409024|170.4233033216493 +02.0310466388079|   -0.822 3.462  |9.23     |A7                |    ~     ~    
4267|V* AD Aur                                                                                                |Long-Period Variable                  |05 28 59.9419448016 +39 02 54.204323676|169.6186867430089 +02.5197846234815|  9.405 -17.212  |10.14    |M6                |    ~     ~    
4268|BD+38 1162                                                                                               |Long-Period Variable Candidate        |05 27 44.4272304312 +38 58 50.628379620|169.5396715258074 +02.2787180059341|  -0.089 -1.269  |9.77     |M2                |    ~     ~    
4269|HD 281085                                                                                                |Star                                  |05 26 20.6680946496 +38 04 51.119737680|170.1356564902555 +01.5510588111110|    7.466 2.867  |10.29    |B8                |    ~     ~    
4270|HD 281094                                                                                                |Star                                  |05 29 15.3505008408 +38 10 35.638731768|170.3739808216932 +02.0804148711506|  -0.847 -3.165  |10.25    |A0                |    ~     ~    
4271|HD 281090                                                                                                |Star                                  |05 27 53.5657851144 +38 07 33.014237988|170.2678814642885 +01.8291375668109|   1.417 -5.141  |10.29    |A0                |    ~     ~    
4272|HD 278258                                                                                                |Star                                  |05 26 48.9069086256 +38 58 47.965254564|169.4402498620008 +02.1288194895375|  -0.332 -5.101  |10.46    |A0                |    ~     ~    
4273|HD 281101                                                                                                |Star                                  |05 27 43.5467571456 +37 43 02.965097856|170.5893884078402 +01.5750581065715|  -7.382 -1.287  |8.87     |K0                |    ~     ~    
4274|HD 35691                                                                                                 |Star                                  |05 28 14.4535036752 +37 13 45.869009196|171.0522973817848 +01.3892400215874|  1.075 -21.706  |8.40     |G5                |    ~     ~    
4275|HD 35800                                                                                                 |Emission-line Star                    |05 29 00.7628 +37 46 26.120            |170.6833845 +01.8181207            |    -0.50 -2.70  |8.87     |A0                |    ~     ~    
4276|HD 35545                                                                                                 |Star                                  |05 27 08.4001018968 +36 30 10.125568836|171.5341066206763 +00.8024103608578|   1.364 -2.682  |9.12     |A0                |    ~     ~    
4277|HD 281123                                                                                                |Star                                  |05 27 27.2335276848 +36 50 10.947017688|171.2919895869817 +01.0403590352117|  -44.579 9.695  |9.49     |G0                |    ~     ~    
4278|HD 281124                                                                                                |Star                                  |05 27 48.2613243768 +36 32 27.311940528|171.5766876084402 +00.9345263821249|  6.597 -19.725  |9.65     |K0                |    ~     ~    
4279|HD 281115                                                                                                |Star                                  |05 28 03.1703632656 +37 05 33.744793128|171.1452887241498 +01.2822434367249|   0.493 -3.795  |9.96     |A2                |    ~     ~    
4280|HD 281116                                                                                                |Star                                  |05 28 06.9917176824 +37 00 31.829018148|171.2221317660010 +01.2462861529556|  4.772 -12.643  |9.43     |G5                |    ~     ~    
4281|HD 35728                                                                                                 |Star                                  |05 28 29.7274245984 +36 45 33.635592828|171.4718416782764 +01.1710308356039|  6.359 -14.308  |9.57     |A0                |    ~     ~    
4282|BD+36 1152                                                                                               |Star                                  |05 29 19.9702026264 +36 41 41.506177128|171.6184007834348 +01.2751504141922| -7.727 -12.279  |9.13     |K0                |    ~     ~    
4283|HD 281089                                                                                                |Star                                  |05 27 16.0625479824 +38 02 04.830499428|170.2753450419714 +01.6762177518775|  -0.813 -2.645  |10.57    |B9                |    ~     ~    
4284|HD 281102                                                                                                |Star                                  |05 27 13.8562921512 +37 42 31.648805460|170.5421961689174 +01.4888737810570|   1.452 -3.715  |10.88    |A0                |    ~     ~    
4285|HD 281099                                                                                                |Star                                  |05 28 20.2700773272 +37 40 11.958013452|170.6961198008216 +01.6494478373798|   3.124 -6.324  |10.46    |A2                |    ~     ~    
4286|HD 281097                                                                                                |Star                                  |05 29 25.4468917584 +37 56 57.933208536|170.5818252071978 +01.9827172231461| -0.583 -11.476  |10.55    |F                 |    ~     ~    
4287|HD 281106                                                                                                |Star                                  |05 27 12.4851684312 +37 27 47.083018752|170.7438830079584 +01.3483653940237|   0.698 -6.553  |10.41    |A                 |    ~     ~    
4288|HD 281107                                                                                                |Star                                  |05 27 52.1308289808 +37 22 27.830360712|170.8905732302085 +01.4081263336519|   0.774 -2.852  |10.84    |A0                |    ~     ~    
4289|HD 281100                                                                                                |Star                                  |05 28 09.5638241088 +37 37 50.123439120|170.7093409181676 +01.5982124842634|  3.555 -13.999  |10.16    |F8                |    ~     ~    
4290|HD 281120                                                                                                |Emission-line Star                    |05 26 16.8628328376 +36 56 49.215865668|171.0693851438104 +00.9073486152463|   3.331 -2.858  |10.03    |B8                |    ~     ~    
4291|HD 281114                                                                                                |Double or Multiple Star               |05 26 53.8037336399 +37 06 33.299257225|171.0033133201269 +01.0998559900789|  -0.413 -5.139  |9.89     |K0                |    ~     ~    
4292|IRAS 05247+3721                                                                                          |Star                                  |05 28 07.2157999152 +37 24 22.037947632|170.8918933999235 +01.4672749688839|   0.995 -3.257  |10.69    |~                 |    ~     ~    
4293|2MASS J05261767+3724107                                                                                  |Star                                  |05 26 17.6810359752 +37 24 10.664165952|170.6926690017985 +01.1643243246248|   2.845 -8.510  |10.8     |~                 |    ~     ~    
4294|TYC 2415-619-1                                                                                           |Star                                  |05 26 17.5294311672 +37 05 03.546631752|170.9567237733717 +00.9859040916806|  4.043 -12.745  |10.98    |~                 |    ~     ~    
4295|BD+38 1164                                                                                               |High Proper Motion Star               |05 28 01.3295837592 +38 11 18.385948824|170.2298839357641 +01.8850294314346| 42.417 -68.005  |10.32    |~                 |    ~     ~    
4296|HD 281079                                                                                                |Star                                  |05 27 52.2803488920 +38 34 10.811534556|169.8960778288041 +02.0718872605391| 10.629 -14.481  |10.26    |G5                |    ~     ~    
4297|HD 281081                                                                                                |Star                                  |05 26 27.0613275144 +38 29 26.119512744|169.8072086690079 +01.7970744753666|  -1.849 -3.198  |10.68    |A0                |    ~     ~    
4298|HD 281086                                                                                                |Star                                  |05 26 24.7206792144 +38 04 19.532641008|170.1503617572701 +01.5571894992244| -2.783 -13.156  |10.01    |A7                |    ~     ~    
4299|HD 281087                                                                                                |Star                                  |05 26 24.6325353072 +38 01 08.574692664|170.1942287851111 +01.5273429896294|   -4.337 2.682  |10.03    |G0                |    ~     ~    
4300|HD 281088                                                                                                |Star                                  |05 27 00.6150828720 +37 55 23.129226264|170.3398359525320 +01.5719624511097|  -6.191 -8.452  |9.52     |G5                |    ~     ~    
4301|HD 281091                                                                                                |Star                                  |05 28 23.7283231200 +38 07 08.053251996|170.3284908922344 +01.9075828443154|   0.875 -6.029  |10.65    |A2                |    ~     ~    
4302|HD 281093                                                                                                |Star                                  |05 29 30.0264787152 +38 13 35.776731396|170.3587390417230 +02.1480981664149|-20.580 -37.772  |10.04    |G5                |    ~     ~    
4303|HD 281096                                                                                                |Star                                  |05 29 12.2172591120 +37 58 46.926994368|170.5325650439759 +01.9631820043306|  -0.662 -2.844  |10.16    |B9                |    ~     ~    
4304|HD 281109                                                                                                |Star                                  |05 27 58.3570363128 +37 18 59.461615764|170.9501835757820 +01.3931529504784|       1.9 -6.0  |10.63    |F5                |    ~     ~    
4305|HD 281110                                                                                                |High Proper Motion Star               |05 26 18.8013778032 +37 17 56.809878792|170.7808962912723 +01.1093946124725|18.557 -107.739  |10.21    |G0                |    ~     ~    
4306|HD 281117                                                                                                |Star                                  |05 28 06.7305416088 +36 54 18.806370264|171.3078784682122 +01.1880783905098|  -1.610 -3.807  |10.71    |A                 |    ~     ~    
4307|HD 281119                                                                                                |Star                                  |05 26 24.7839035760 +36 57 54.574905384|171.0690577489010 +00.9393655190114|  -0.492 -4.058  |10.23    |B8                |    ~     ~    
4308|HD 281122                                                                                                |Star                                  |05 26 20.7020333040 +36 51 07.102268280|171.1553610656802 +00.8648686169186|-16.520 -47.126  |10.43    |F8                |    ~     ~    
4309|HD 281125                                                                                                |Star                                  |05 26 57.7929354120 +36 32 37.738326660|171.4802633361184 +00.7957612278813|   2.979 -0.084  |10.18    |A2                |    ~     ~    
4310|BD+38 1181                                                                                               |Star                                  |05 29 54.0864493224 +39 00 20.217449376|169.7510872263316 +02.6424668736988| 13.591 -22.574  |9.16     |F5                |    ~     ~    
4311|HD 281092                                                                                                |Star                                  |05 29 51.8396521344 +38 14 18.600707832|170.3881641198164 +02.2142337124765|   0.396 -2.879  |10.32    |A0                |    ~     ~    
4312|HD 281098                                                                                                |Star                                  |05 29 45.3150194040 +37 56 01.794143868|170.6308549041219 +02.0285924262008|  0.341 -13.326  |8.32     |G5                |    ~     ~    
4313|BD+37 1207                                                                                               |Emission-line Star                    |05 29 48.8227631546 +37 30 59.824840039|170.9856148766845 +01.8083937059290|    9.982 5.153  |9.91     |~                 |    ~     ~    
4314|HD 281077                                                                                                |Star                                  |05 29 51.4868590272 +38 31 15.619244052|170.1514857003324 +02.3687762645159|   1.791 -6.850  |10.29    |A7                |    ~     ~    
4315|BD+37 1195                                                                                               |Star                                  |05 27 32.5942344192 +38 05 44.929425804|170.2546682015068 +01.7552862555050|    0.693 0.826  |10.04    |~                 |    ~     ~    
4316|HD 281113                                                                                                |Emission-line Star                    |05 26 20.5974750792 +37 11 45.006090216|170.8699063041682 +01.0566494286186|  -1.917 -2.118  |10.12    |B5                |    ~     ~    
4317|TYC 2415-83-1                                                                                            |Star                                  |05 29 57.9726960984 +37 03 09.503486676|171.3897392479051 +01.5781283425685|  4.325 -14.820  |10.08    |~                 |    ~     ~    
4318|HD 281108                                                                                                |Star                                  |05 28 25.2975439920 +37 19 25.214608992|170.9937436073016 +01.4714087194082|   -0.070 0.048  |10.29    |A0                |    ~     ~    
4319|TYC 2415-181-1                                                                                           |Star                                  |05 26 48.2550248208 +36 58 03.036253944|171.1107150753378 +01.0055188913897|  -0.581 -4.502  |10.82    |~                 |    ~     ~    
4320|TYC 2415-237-1                                                                                           |Star                                  |05 29 42.0230256000 +37 17 39.692164992|171.1587545382585 +01.6671285267314| -0.092 -22.383  |10.23    |~                 |    ~     ~    
4321|TYC 2415-303-1                                                                                           |Star                                  |05 26 43.3608579816 +36 45 29.767623336|171.2753179902906 +00.8752833463408|  -0.832 -8.300  |10.65    |~                 |    ~     ~    
4322|TYC 2415-413-1                                                                                           |Star                                  |05 27 44.5220154456 +37 03 23.230348668|171.1410207197875 +01.2105536299926|-10.344 -12.487  |10.82    |~                 |    ~     ~    
4323|TYC 2415-419-1                                                                                           |Star                                  |05 29 53.4914110200 +37 02 03.922220976|171.3967362454243 +01.5556549006439|   1.408 -3.367  |10.21    |~                 |    ~     ~    
4324|TYC 2415-435-1                                                                                           |Star                                  |05 28 18.2685363984 +37 10 16.179632724|171.1078100122360 +01.3674876653285|  -13.198 0.061  |10.77    |~                 |    ~     ~    
4325|TYC 2415-497-1                                                                                           |Star                                  |05 29 51.9546285696 +36 57 26.325024768|171.4582908828782 +01.5089013562398|   3.936 13.978  |9.93     |~                 |    ~     ~    
4326|TYC 2415-583-1                                                                                           |Star                                  |05 28 44.4217311000 +36 42 09.726106248|171.5461942489608 +01.1805251276146|  -2.237 -8.509  |9.93     |~                 |    ~     ~    
4327|TYC 2415-671-1                                                                                           |Star                                  |05 29 44.1498248592 +36 47 51.008021484|171.5773350658381 +01.3991123076098| 31.021 -31.291  |10.01    |~                 |    ~     ~    
4328|TYC 2415-699-1                                                                                           |Star                                  |05 29 44.4802749360 +37 15 32.176569600|171.1928135456435 +01.6544014158274|  6.084 -10.767  |10.67    |~                 |    ~     ~    
4329|TYC 2415-779-1                                                                                           |Star                                  |05 29 33.5115156288 +36 51 47.965754448|171.5028393374572 +01.4058187841587|  -0.911 -8.290  |10.42    |~                 |    ~     ~    
4330|TYC 2415-951-1                                                                                           |Star                                  |05 29 02.7102235392 +36 46 42.066760548|171.5169439354163 +01.2732433039885| -3.705 -12.999  |10.29    |~                 |    ~     ~    
4331|TYC 2415-1215-1                                                                                          |Star                                  |05 29 08.2045012944 +37 23 40.779556584|171.0132277289916 +01.6290577863612|  1.761 -14.154  |10.95    |~                 |    ~     ~    
4332|TYC 2415-1449-1                                                                                          |Star                                  |05 29 37.9618067664 +36 29 42.436455828|171.8182290333845 +01.2150945022852|   4.012 -4.204  |10.47    |~                 |    ~     ~    
4333|TYC 2415-1516-1                                                                                          |Star                                  |05 28 12.7269317808 +36 42 33.984697248|171.4819104714818 +01.0961198747959|  6.495 -14.698  |10.99    |~                 |    ~     ~    
4334|TYC 2909-229-1                                                                                           |Star                                  |05 29 29.0455309296 +39 04 18.079716864|169.6512102026259 +02.6111814505730|  7.037 -11.922  |10.44    |~                 |    ~     ~    
4335|TYC 2909-622-1                                                                                           |Star                                  |05 26 30.9820305168 +38 38 58.801900128|169.6822377089507 +01.8964101067309|   2.342 -4.002  |10.98    |~                 |    ~     ~    
4336|TYC 2909-692-1                                                                                           |Star                                  |05 29 50.9810680344 +38 27 11.551302972|170.2072275575636 +02.3300829313824|  -6.610 -3.702  |10.83    |~                 |    ~     ~    
4337|HD 281127                                                                                                |Star                                  |05 26 26.4726646248 +36 09 41.105559600|171.7389940893033 +00.4951919045939|    6.921 4.875  |9.98     |A3                |    ~     ~    
4338|EM* MWC 754                                                                                              |Emission-line Star                    |05 26 57.9129645168 +36 07 46.416923940|171.8244581463122 +00.5652076481321|  -0.252 -2.090  |10.94    |B                 |    ~     ~    
4339|HD 281137                                                                                                |Star                                  |05 26 38.0945262144 +35 23 49.565590260|172.3950374843250 +00.1010552998801|   -2.592 7.409  |10.16    |G0                |    ~     ~    
4340|NGC 1907 251                       HD 35519                                                              |Star                                  |05 26 54.3175098792 +35 27 26.185531104|172.3758242416429 +00.1803359385116|-14.565 -11.452  |6.151    |K2                |    ~     ~    
4341|NGC 1912 271                       BD+35 1112                                                            |Star                                  |05 28 10.4655382488 +35 55 25.982427720|172.1313755541354 +00.6540206273900|   1.768 -4.512  |10.6     |A0                |    ~     ~    
4342|NGC 1912 608                       AG+35 534                                                             |Blue Straggler Candidate              |05 28 09.7762719936 +35 29 33.357213276|172.4888938358798 +00.4127656882297|  -0.363 -3.704  |9.27     |A5                |    ~     ~    
4343|NGC 1907 31                        BD+35 1114                                                            |Be Star                               |05 28 09.6923918712 +35 16 54.014294028|172.6642096054101 +00.2954775111896|  -0.016 -2.175  |9.81     |OB-               |    ~     ~    
4344|NGC 1907 254                       V* V426 Aur                                                           |Eclipsing Binary                      |05 28 12.2900529720 +35 25 52.036363992|172.5447743438878 +00.3857499998597|  -0.053 -2.050  |10.42    |B3?V              |    ~     ~    
4345|NGC 1907 1                         HD 281143                                                             |Star                                  |05 28 13.8593763600 +35 16 44.085147024|172.6743687939974 +00.3057386698150|   3.603 -6.356  |9.92     |F2                |    ~     ~    
4346|NGC 1912 133                       BD+35 1117                                                            |Star                                  |05 28 22.8910245024 +35 47 47.146964496|172.2607092940051 +00.6182432298200|   1.877 -4.134  |10.45    |~                 |    ~     ~    
4347|NGC 1907 253                       BD+35 1119                                                            |Star                                  |05 28 30.5000472072 +35 27 24.580661616|172.5576595322644 +00.4514447040691|   1.177 -4.584  |9.46     |A0                |    ~     ~    
4348|NGC 1912 50                        BD+35 1120                                                            |Star                                  |05 28 36.0 +35 52 00                   |172.2268 +00.6940                  |            ~ ~  |10.24    |A6III             |    ~     ~    
4349|LS V +35 18                                                                                              |Emission-line Star                    |05 28 34.2162586368 +35 15 14.936092308|172.7333758273861 +00.3496430470958|   0.333 -0.753  |10.80    |OB-e              |    ~     ~    
4350|NGC 1912 18                        BD+35 1122                                                            |Blue Straggler                        |05 28 36.7240157424 +35 48 02.766273948|172.2830066075974 +00.6595607416080|   1.610 -4.350  |9.81     |~                 |    ~     ~    
4351|NGC 1912 57                        BD+35 1126                                                            |Star                                  |05 28 49.5401477280 +35 55 06.413239524|172.2089718309382 +00.7607598375591|   1.569 -4.458  |10.39    |~                 |    ~     ~    
4352|NGC 1912 97                        BD+35 1127                                                            |Star                                  |05 28 54.0 +35 47 00                   |172.3299 +00.6985                  |            ~ ~  |10.37    |A0                |    ~     ~    
4353|NGC 1912 93                        BD+35 1129                                                            |Star                                  |05 28 58.1768061288 +35 45 19.324681128|172.3609656430874 +00.6948217152307|   1.332 -2.269  |9.499    |~                 |    ~     ~    
4354|NGC 1912 70                        BD+35 1131                                                            |Red Giant Branch star                 |05 29 08.3730871824 +35 51 29.784960396|172.2942756749021 +00.7804364331951|   1.727 -4.419  |9.66     |G8III             |    ~     ~    
4355|NGC 1912 194                       HD 35878                                                              |Star                                  |05 29 23.1025599576 +35 53 11.307279876|172.2982516469331 +00.8374691435422|  3.424 -20.562  |8.41     |G5                |    ~     ~    
4356|HD 35520                                                                                                 |Star                                  |05 26 48.8036076216 +34 23 30.504655824|173.2497418830106 -00.4294618307011|   2.441 -6.702  |5.905    |A1p               |    ~     ~    
4357|HD 243596                                                                                                |Star                                  |05 26 53.0515008264 +34 10 10.876480824|173.4422813602014 -00.5411843950253|  -1.701 -4.229  |10.97    |A0                |    ~     ~    
4358|HD 35546                                                                                                 |Double or Multiple Star               |05 27 02.7978981480 +34 46 08.823990072|172.9632663133086 -00.1792569617933|  -3.154 -4.559  |8.38     |B8                |0.0100  0.0    
4359|HD 281151                                                                                                |Star                                  |05 27 05.6599687941 +34 19 31.562469848|173.3371685976069 -00.4183235620118|  -0.002 -2.387  |9.48     |B2                |    ~     ~    
4360|V* S Aur                                                                                                 |Carbon Star                           |05 27 07.4585545416 +34 08 58.849073880|173.4865787761843 -00.5110911539728|   3.125 -5.559  |8.20     |C-N5+             |    ~     ~    
4361|HD 281150                                                                                                |Star                                  |05 27 15.9346465968 +34 25 43.498620516|173.2710398496315 -00.3314342004302|  -0.020 -2.289  |9.61     |B2                |    ~     ~    
4362|LS V +34 12                                                                                              |Star                                  |05 27 16.7828064435 +34 30 56.828016054|173.2003639667841 -00.2805538912698|   0.022 -2.129  |10.98    |B2V               |    ~     ~    
4363|LS V +34 14                                                                                              |Star                                  |05 27 21.4636559161 +34 15 48.040386544|173.4190365277132 -00.4077134555786|   0.157 -1.970  |10.87    |OB-               |    ~     ~    
