C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:12:05

Vmag< 11&dec >=0&rah >=5.25&rah< 5.5
------------------------------------

Number of objects : 6141

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
98  |HD 34190                                                                                                 |Variable Star                         |05 17 48.7276077888 +46 07 41.081996424|162.5938678257796 +04.8005871593961|   1.487 -5.139  |7.25     |K3IIIv            |    ~     ~    
99  |HD 34299                                                                                                 |Star                                  |05 18 53.4239981784 +47 14 47.275499076|161.7779408131591 +05.5909752594608|  -1.174 -2.086  |8.13     |A0                |    ~     ~    
100 |BD+46 995                                                                                                |Star                                  |05 19 31.5119968800 +46 37 41.972399328|162.3506461563429 +05.3286460235315|  -0.577 -2.233  |9.62     |A0                |    ~     ~    
101 |HD 34533                                                                                                 |Spectroscopic Binary                  |05 20 39.1622901888 +46 57 49.614975936|162.1827784917512 +05.6777136156353|  -6.597 -7.299  |6.547    |G9III+A2m?        |    ~     ~    
102 |HD 34534                                                                                                 |Star                                  |05 20 39.0949166664 +46 57 26.376755256|162.1880221192324 +05.6739086407201|  -6.059 -8.443  |9.32     |A2                |    ~     ~    
103 |HD 34714                                                                                                 |Star                                  |05 21 49.3053057144 +46 42 39.661070832|162.5058463239327 +05.7003846418463|-22.890 -12.425  |7.94     |K2                |    ~     ~    
104 |HD 34743                                                                                                 |High Proper Motion Star               |05 22 05.1179809176 +46 42 17.426703312|162.5364991574567 +05.7342821730242| 24.965 -62.989  |8.59     |K2                |    ~     ~    
105 |BD+46 1002                                                                                               |Double or Multiple Star               |05 22 31.9788 +46 20 45.190            |162.8784578 +05.5965070            |-33.187 -34.276  |9.85     |F8                |    ~     ~    
106 |BD+46 1004                                                                                               |Star                                  |05 22 48.7814501352 +47 00 08.914675500|162.3588514977062 +06.0041664277432| 15.237 -37.954  |9.33     |F2                |    ~     ~    
107 |HD 34887                                                                                                 |High Proper Motion Star               |05 23 03.1161375360 +46 59 12.420103416|162.3948415531936 +06.0291630719249|  9.832 -84.809  |8.130    |G5                |    ~     ~    
108 |HD 34903                                                                                                 |Star                                  |05 23 12.6253636920 +47 01 17.826138012|162.3809702900217 +06.0710352131121| 13.569 -11.003  |6.81     |K5                |    ~     ~    
109 |HD 34936                                                                                                 |Star                                  |05 23 21.8164581528 +46 47 35.666775636|162.5861592520500 +05.9651998143592|  -8.058 -1.633  |7.94     |K5                |    ~     ~    
110 |HD 34680                                                                                                 |Star                                  |05 21 33.1590759168 +46 07 23.427758064|162.9676890099440 +05.3310843673293|   -5.036 0.245  |8.87     |A0                |    ~     ~    
111 |BD+45 1109                                                                                               |Star                                  |05 23 50.0402733168 +46 05 32.702604936|163.2160777834603 +05.6411933419268|  14.182 -1.350  |9.13     |K0                |    ~     ~    
112 |TYC 3358-3142-1                                                                                          |Star                                  |05 16 48.7516650552 +45 58 30.962378028|162.6194767681873 +04.5708512500005|   1.175 -1.822  |10.20    |M2                |    ~     ~    
113 |BD+45 1079                                                                                               |Star                                  |05 17 11.6094691368 +45 49 37.445837340|162.7793372220962 +04.5398424687859|  15.831 11.736  |8.72     |F5                |    ~     ~    
114 |HD 34145                                                                                                 |High Proper Motion Star               |05 17 22.7746110792 +45 23 41.950080528|163.1527624879304 +04.3181684955432| 26.180 -61.393  |8.26     |K2                |    ~     ~    
115 |TYC 3358-2785-1                                                                                          |Star                                  |05 17 30.5712593184 +45 51 23.124092508|162.7869397566082 +04.6017592303787|   1.900 -1.941  |9.98     |A0                |    ~     ~    
116 |HD 34331B                                                                                                |Star                                  |05 18 55.8508066296 +45 14 52.749753864|163.4302682886463 +04.4574787984227|   7.648 -1.410  |8.91     |F5                |    ~     ~    
117 |HD 34379                                                                                                 |Star                                  |05 19 10.6444653048 +45 13 13.560233520|163.4778109125300 +04.4773983705381|   2.105 -0.883  |8.95     |A2                |    ~     ~    
118 |HD 34519                                                                                                 |Star                                  |05 20 20.0910309792 +45 25 43.819078728|163.4219829351143 +04.7632766393116| -4.525 -14.661  |8.73     |A3                |    ~     ~    
119 |HD 34601                                                                                                 |Star                                  |05 20 55.6431301248 +45 16 01.498080180|163.6149206427079 +04.7573717730826| -11.124 -5.338  |8.35     |F0                |    ~     ~    
120 |BD+45 1100                                                                                               |Star                                  |05 21 07.3953450984 +45 49 55.841817036|163.1666320414274 +05.1052679222735|   -7.208 3.571  |9.50     |A0                |    ~     ~    
121 |BD+45 1104                                                                                               |Star                                  |05 22 03.3589904976 +45 21 34.824328992|163.6506803854573 +04.9734091072583|   0.377 -2.326  |9.60     |A5                |    ~     ~    
122 |HD 34806                                                                                                 |Star                                  |05 22 24.3005986680 +45 49 54.930193248|163.2931721480095 +05.2895734318588|   2.198 -4.448  |9.16     |B9                |    ~     ~    
123 |HD 34920                                                                                                 |Star                                  |05 23 09.8528605608 +45 38 29.982097680|163.5259844912980 +05.2924737594026|  -1.204 -2.114  |9.13     |A0                |    ~     ~    
124 |BD+45 1110                                                                                               |Star                                  |05 23 45.1997743824 +45 14 33.294566004|163.9161468457886 +05.1547134518557|  -3.956 -6.127  |9.40     |F0                |    ~     ~    
125 |HD 35099                                                                                                 |Star                                  |05 24 34.6315370520 +45 26 44.512368756|163.8280371274966 +05.3881966084786|  0.214 -11.482  |9.27     |A0                |    ~     ~    
126 |HD 35201                                                                                                 |Star                                  |05 25 18.3582942048 +45 13 42.893050296|164.0808174043090 +05.3738539715745|   1.470 -3.679  |8.50     |A0                |    ~     ~    
127 |BD+44 1161                                                                                               |Star                                  |05 18 45.4147407600 +44 35 30.031091700|163.9526828804076 +04.0571290061828|   2.995 -4.828  |9.58     |A0                |    ~     ~    
128 |HD 34380                                                                                                 |Star                                  |05 19 10.6890739560 +45 00 41.391852264|163.6499927640287 +04.3583040428308|   4.503 -3.765  |8.31     |A0                |    ~     ~    
129 |HD 34399                                                                                                 |Star                                  |05 19 13.2388877448 +44 39 13.923548568|163.9487840812430 +04.1603839870792|  -0.622 -1.818  |8.80     |A0                |    ~     ~    
130 |BD+44 1173                                                                                               |Star                                  |05 20 37.4450620512 +44 51 01.869655644|163.9288055146129 +04.4771774984665|   3.396 -8.475  |10.11    |F2                |    ~     ~    
131 |HD 34788                                                                                                 |Double or Multiple Star               |05 22 11.02762 +45 04 54.0122          |163.89395615 +04.83541659          |    -1.13 -2.78  |7.72     |A0                |    ~     ~    
132 |BD+44 1190                                                                                               |Star                                  |05 24 21.2072868168 +44 48 08.268883164|164.3422125054607 +04.9966453529487|  -4.468 -1.122  |10.32    |A0                |    ~     ~    
133 |BD+44 1193                                                                                               |Star                                  |05 25 31.7985379104 +45 00 56.168971740|164.2807452389938 +05.2884413989057| -8.948 -32.224  |9.33     |K2                |    ~     ~    
134 |IRAS 05141+4528                                                                                          |Star                                  |05 17 47.3145087864 +45 31 54.402608316|163.0817189735111 +04.4554180064609|   2.343 -4.543  |10.54    |~                 |    ~     ~    
135 |IRAS 05143+4617                                                                                          |Star                                  |05 18 06.4023403872 +46 20 13.930896156|162.4510385647611 +04.9620671297018|   0.482 -2.973  |10.96    |~                 |    ~     ~    
