C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:25:48

dec >=0&rah >=1.75&rah< 2.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5595

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
54  |HD 10993                                                                                                 |Star                                |01 48 57.2147992968 +42 42 28.222567416|134.0540615038695 -18.9183672060822|   -4.033 2.996  |9.31     |B9V            |    ~     ~            |    1|  698.666   pc  | -23.5769    +23.5769  |paral   |2020yCat.1350....0G
55  |BD+41 354                                                                                                |Star                                |01 49 22.0113608760 +42 31 26.723470548|134.1778170653239 -19.0791550895741|   0.039 -4.540  |9.42     |K2             |    ~     ~            |    1| 1088.258   pc  | -25.3441    +25.3441  |paral   |2020yCat.1350....0G
56  |BD+41 357                                                                                                |High Proper Motion Star             |01 50 03.8166209856 +42 26 42.021349260|134.3297178846511 -19.1255527602119| 13.109 -63.378  |9.82     |G0             |    ~     ~            |    1|  129.146   pc  |  -0.2502     +0.2502  |paral   |2020yCat.1350....0G
57  |BD+41 360                                                                                                |Star                                |01 50 53.2473521136 +42 27 53.425776492|134.4807947163892 -19.0698363880225|  -5.476 -4.304  |9.93     |G8III          |    ~     ~            |    1|  685.824   pc  |  -9.4541     +9.4541  |paral   |2020yCat.1350....0G
58  |BD+41 361                                                                                                |Star                                |01 52 37.9810402296 +42 20 11.112983916|134.8447076208872 -19.1153785502685|    0.668 4.755  |10.56    |F5             |    ~     ~            |    1|  229.064   pc  |  -1.1596     +1.1596  |paral   |2020yCat.1350....0G
59  |BD+41 364                                                                                                |Star                                |01 53 13.7766517440 +42 31 51.714692724|134.9060867139882 -18.8994537672816| 21.529 -14.642  |9.47     |A5             |    ~     ~            |    1|  224.316   pc  |  -1.1070     +1.1070  |paral   |2020yCat.1350....0G
60  |DO 24888                                                                                                 |Long-Period Variable                |01 51 01.6649122056 +42 43 47.213885316|134.4396023779307 -18.8065070995961| -11.234 -4.783  |10.58    |M4             |    ~     ~            |    1| 1010.101   pc  | -83.4609    +83.4609  |paral   |2020yCat.1350....0G
61  |BD+43 402                                                                                                |Star                                |01 58 15.8334813432 +43 45 48.517838244|135.5030305623692 -17.4710419630213|  -3.425 -3.635  |8.73     |G0             |    ~     ~            |    1|  576.369   pc  |  -7.0759     +7.0759  |paral   |2020yCat.1350....0G
62  |HD 11689                                                                                                 |High Proper Motion Star             |01 55 45.9959233248 +42 50 40.057260684|135.2974831641404 -18.4774070014933| 55.000 -36.327  |7.57     |F2             |    ~     ~            |    1|  134.635   pc  |  -0.3807     +0.3807  |paral   |2020yCat.1350....0G
63  |HD 11719                                                                                                 |Star                                |01 56 00.7076487240 +43 03 39.372804612|135.2837644665619 -18.2567137893549|  21.417 -1.318  |7.31     |K4III          |    ~     ~            |    1|  394.867   pc  |  -5.4260     +5.4260  |paral   |2020yCat.1350....0G
