C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:09:02

dec< 0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5307

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
44  |TYC 4949-55-1                                                                                            |Star                                |12 49 12.1039538664 -02 21 49.825366776|301.7974384006050 +60.5029813042246| -22.226 -5.480   |10.53    |~                |    ~     ~    |    1|  282.606   pc  |  -2.5637     +2.5637    |paral   |2020yCat.1350....0G
45  |TYC 4949-177-1                                                                                           |Star                                |12 45 22.2108189672 -01 25 17.941926792|299.7614477901632 +61.4127388259469| -25.888 -3.914   |10.93    |~                |    ~     ~    |    1|  605.063   pc  | -27.4900    +27.4900    |ST-L    |2020AJ....160...83S
46  |TYC 4949-707-1                                                                                           |High Proper Motion Star             |12 48 26.8298508336 -01 44 08.147106060|301.3840599380138 +61.1271624104643|84.956 -107.850   |10.51    |~                |    ~     ~    |    1|   91.361   pc  |  -0.1536     +0.1536    |paral   |2020yCat.1350....0G
47  |TYC 4950-3-1                                                                                             |Star                                |12 50 50.9445387912 -00 43 24.762426888|302.6168558212592 +62.1478422420947|   -6.230 5.348   |10.8     |~                |    ~     ~    |    1|  927.644   pc  | -14.1126    +14.1126    |paral   |2020yCat.1350....0G
48  |TYC 4950-90-1                                                                                            |Star                                |12 51 55.1158280856 -01 34 05.940672276|303.1820981696059 +61.3031972386675|  -13.088 0.594   |10.959   |~                |    ~     ~    |    1|  481.762   pc  | -25.0500    +25.0500    |ST-L    |2020AJ....160...83S
49  |TYC 4950-113-1                                                                                           |High Proper Motion Star             |12 51 49.1171045232 -00 23 31.885066896|303.1379009091481 +62.4794050310296| 47.956 -15.608   |10.6     |~                |    ~     ~    |    1|  149.627   pc  |  -0.6291     +0.6291    |paral   |2020yCat.1350....0G
50  |TYC 4950-114-1                                                                                           |Star                                |12 51 38.4162685848 -00 23 28.318819236|303.0414127407548 +62.4805048938191| 20.188 -18.102   |10.6     |~                |    ~     ~    |    1|  309.425   pc  |  -1.8383     +1.8383    |paral   |2020yCat.1350....0G
51  |TYC 4950-137-1                                                                                           |Star                                |12 54 00.8320366512 -00 20 54.327196464|304.3274470360717 +62.5163433050516|  -9.678 -2.065   |10.8     |~                |    ~     ~    |    1|  735.943   pc  |  -8.0700     +8.0700    |paral   |2020yCat.1350....0G
52  |TYC 4950-141-1                                                                                           |Star                                |12 51 47.6225661432 -00 58 17.673575808|303.1207462261564 +61.9000411471327| 20.979 -11.349   |10.8     |~                |    ~     ~    |    1|  348.238   pc  |  -2.3648     +2.3648    |paral   |2020yCat.1350....0G
53  |TYC 4950-192-1                                                                                           |Star                                |12 51 32.8569746544 -01 26 54.750871392|302.9892435038590 +61.4231934667972|   4.176 -4.480   |10.88    |~                |    ~     ~    |    1| 1127.142   pc  | -21.3435    +21.3435    |paral   |2020yCat.1350....0G
54  |TYC 4950-279-1                                                                                           |Star                                |12 52 29.2321824840 -02 22 56.612668296|303.4639960321530 +60.4882711529552|  8.242 -16.030   |10.31    |~                |    ~     ~    |    1|  213.247   pc  |  -0.8504     +0.8504    |paral   |2020yCat.1350....0G
55  |TYC 4950-314-1                                                                                           |Star                                |12 53 08.5455395784 -01 58 43.280346108|303.8073617359916 +60.8901612453385|    9.765 4.786   |10.60    |~                |    ~     ~    |    1|  229.975   pc  |  -1.4174     +1.4174    |paral   |2020yCat.1350....0G
56  |TYC 4950-332-1                                                                                           |Star                                |12 51 04.1828470488 -02 23 01.644226404|302.7452256125106 +60.4878240480828|-31.703 -37.666   |10.62    |~                |    ~     ~    |    1|  184.965   pc  |  -2.2310     +2.2310    |ST-L    |2020AJ....160...83S
57  |TYC 4950-466-1                                                                                           |Star                                |12 55 33.3413171664 -02 13 14.335525848|305.0299758127925 +60.6343232308484|  -13.410 0.324   |10.86    |~                |    ~     ~    |    1|  919.118   pc  | -13.0096    +13.0096    |paral   |2020yCat.1350....0G
