C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:34:47

dec >=0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7139

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
87  |TYC 2713-935-1                                                                                           |Star                              |21 05 37.4524902528 +36 17 02.426419860|080.3006103012659 -07.2735916126775|   5.894 -2.741   |10.61    |~                 |    ~     ~          |    1|  999.201   pc  | -10.4832    +10.4832  |paral   |2020yCat.1350....0G
88  |TYC 2713-955-1                                                                                           |Star                              |21 02 31.5211436880 +37 06 51.546833460|080.5144185622688 -06.2586284891524|    7.238 7.505   |10.87    |~                 |    ~     ~          |    1|  450.755   pc  |  -2.7632     +2.7632  |paral   |2020yCat.1350....0G
89  |TYC 2713-1012-1                                                                                          |Star                              |21 00 07.6782434664 +37 06 53.760025152|080.1997657441939 -05.8973442333034|  44.962 17.697   |10.98    |~                 |    ~     ~          |    1|  193.768   pc  |  -0.4956     +0.4956  |paral   |2020yCat.1350....0G
90  |TYC 2713-1082-1                                                                                          |Spectroscopic Binary              |21 02 46.6971969600 +36 21 52.489873260|079.9797902795346 -06.7901732477917|    5.593 2.713   |10.10    |~                 |    ~     ~          |    1|  658.588   pc  | -12.5350    +12.5350  |paral   |2020yCat.1350....0G
91  |TYC 2713-1088-1                                                                                          |Star                              |21 02 07.2906935184 +36 09 23.601263976|079.7342520565657 -06.8270654133595|   8.992 -2.699   |10.99    |~                 |    ~     ~          |    1|  672.043   pc  |  -7.1811     +7.1811  |paral   |2020yCat.1350....0G
92  |TYC 2713-1178-1                                                                                          |Star                              |21 07 14.0265247320 +36 20 11.017392972|080.5576956335646 -07.4806744571342|   0.625 -7.996   |10.86    |~                 |    ~     ~          |    0|                |                       |        |                   
93  |TYC 2713-1251-1                                                                                          |Star                              |21 06 08.1868551432 +35 58 40.590291612|080.1392034182671 -07.5542258018064| -6.598 -10.549   |10.71    |~                 |    ~     ~          |    1|  841.114   pc  |  -8.1359     +8.1359  |paral   |2020yCat.1350....0G
94  |TYC 2713-1275-1                                                                                          |Star                              |21 03 12.2495025792 +35 58 40.592000172|079.7435271428256 -07.1093489138303|    4.629 1.156   |10.32    |~                 |    ~     ~          |    1|  873.439   pc  | -12.8166    +12.8166  |paral   |2020yCat.1350....0G
95  |TYC 2713-1326-1                                                                                          |Star                              |21 01 27.8793717504 +35 58 37.555073616|079.5101220874336 -06.8444422014924|  -0.204 -4.722   |9.29     |~                 |    ~     ~          |    1|  758.956   pc  | -19.9301    +19.9301  |paral   |2020yCat.1350....0G
96  |TYC 2713-1416-1                                                                                          |Star                              |21 01 15.0501266448 +35 55 16.436246016|079.4390534470810 -06.8482775097936|  19.714 -5.418   |10.48    |~                 |    ~     ~          |    1|  316.887   pc  |  -1.2853     +1.2853  |paral   |2020yCat.1350....0G
97  |TYC 2713-1419-1                                                                                          |Star                              |21 04 26.6522167752 +35 51 19.312215948|079.8176041161959 -07.3789055900860|  -3.261 -4.114   |10.70    |~                 |    ~     ~          |    1|  962.094   pc  |  -9.9042     +9.9042  |paral   |2020yCat.1350....0G
98  |TYC 2713-1436-1                                                                                          |Star                              |21 06 42.2088148872 +36 35 08.139244992|080.6731706697827 -07.2350044315624|   -3.018 5.398   |10.87    |~                 |    ~     ~          |    1| 1298.870   pc  | -17.2080    +17.2080  |paral   |2020yCat.1350....0G
