C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:30:16

dec< 0&rah >=2.25&rah< 2.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2419

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
85  |CD-35 789                                                                                                |Star                              |02 15 46.9058887728 -34 56 39.269837436|241.5666018306977 -70.3665938054796| 12.643 -16.478   |10.58    |F8               |    ~     ~    |    1|  262.612   pc  |  -0.8414     +0.8414  |paral   |2020yCat.1350....0G
86  |HD 14179                                                                                                 |High Proper Motion Star           |02 16 42.6086074080 -34 58 48.867040164|241.4983928909000 -70.1743829404335|  87.763 48.498   |9.10     |F5V              |    ~     ~    |    1|  120.579   pc  |  -0.2152     +0.2152  |paral   |2020yCat.1350....0G
87  |HD 14004                                                                                                 |High Proper Motion Star           |02 15 13.8579090216 -36 19 13.408903776|245.5043260151340 -70.0116060548528|  72.688 19.350   |8.12     |K2III            |    ~     ~    |    1|  246.403   pc  |  -1.7061     +1.7061  |paral   |2020yCat.1350....0G
88  |CD-36 852                                                                                                |High Proper Motion Star           |02 16 23.4193460208 -36 09 35.054196948|244.8228863861910 -69.8510417075245|  55.823 14.324   |9.887    |G0               |    ~     ~    |    1|  154.528   pc  |  -1.2680     +1.2680  |ST-L    |2020AJ....160...83S
89  |CD-36 854                                                                                                |High Proper Motion Star           |02 16 44.1444058680 -36 09 10.885589244|244.7337079422519 -69.7881134400553|168.938 -27.301   |10.84    |G5               |    ~     ~    |    1|  125.729   pc  |  -0.2276     +0.2276  |paral   |2020yCat.1350....0G
90  |CD-37 849                                                                                                |Star                              |02 15 07.8198642552 -36 33 05.165326728|246.1530350501653 -69.9448120398272|   12.832 0.394   |10.50    |A5               |    ~     ~    |    1|  353.945   pc  |  -9.7591     +9.7591  |paral   |2020yCat.1350....0G
91  |HD 14119                                                                                                 |High Proper Motion Star           |02 16 01.7310725088 -36 28 18.474059316|245.7432685845364 -69.8067470223349|81.443 -118.996   |7.49     |F6V              |    ~     ~    |    1|   50.761   pc  |  -0.0459     +0.0459  |paral   |2020yCat.1350....0G
92  |HD 14206                                                                                                 |Star                              |02 16 50.8732513200 -36 26 00.482821404|245.4670711737648 -69.6673026515428|  36.863 22.034   |9.58     |F3V              |    ~     ~    |    1|  250.828   pc  |  -0.9123     +0.9123  |paral   |2020yCat.1350....0G
93  |CPD-37 207                                                                                               |Star                              |02 15 32.1140443368 -36 32 59.636150376|246.0602834736874 -69.8699813060348| 25.574 -25.648   |10.986   |~                |    ~     ~    |    1|  320.966   pc  |  -5.2630     +5.2630  |ST-L    |2020AJ....160...83S
94  |HD 14465                                                                                                 |High Proper Motion Star           |02 19 13.3836276288 -34 05 05.971505280|238.5595544447606 -69.9216526891428|  87.126 -9.735   |10.03    |G6V              |    ~     ~    |    1|   79.335   pc  |  -0.1108     +0.1108  |paral   |2020yCat.1350....0G
95  |HD 14601                                                                                                 |Spectroscopic Binary              |02 20 37.8558186720 -33 55 39.356091768|237.9137570180544 -69.6763458888793| 49.788 -26.807   |10.03    |F7V              |    ~     ~    |    1|  149.374   pc  |  -2.0818     +2.0818  |paral   |2020yCat.1350....0G
96  |HD 14657                                                                                                 |Star                              |02 21 01.3365456096 -33 53 12.898862556|237.7458327177998 -69.6068085865698|  18.896 11.645   |9.22     |G8IV             |    ~     ~    |    1|  345.304   pc  |  -6.2956     +6.2956  |paral   |2020yCat.1350....0G
97  |HD 14910                                                                                                 |Star                              |02 23 22.8873514536 -34 04 58.083626460|237.9684691974185 -69.0858736661491|-20.434 -23.042   |9.05     |F2V              |    ~     ~    |    1|  164.856   pc  |  -0.4213     +0.4213  |paral   |2020yCat.1350....0G
