C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:24:19

Vmag< 11&dec< 0&rah >=10.25&rah< 10.5
-------------------------------------

Number of objects : 6864

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
2024|CD-32 7265                                                            |Star                           |10 21 01.1013401496 -33 29 53.451205620|270.2257051422956 +19.6520946994536| -28.260 23.103   |10.29    |~              |    ~     ~    
2025|CD-32 7264                                                            |Star                           |10 21 02.4388480752 -32 52 23.896729164|269.8459049067474 +20.1649018131020|   -3.962 1.846   |10.48    |~              |    ~     ~    
2026|CD-31 8183                                                            |Star                           |10 21 10.5015563040 -31 46 50.598496308|269.1935805507785 +21.0714301198692|   1.614 -0.280   |10.50    |~              |    ~     ~    
2027|CD-32 7274                                                            |Star                           |10 21 30.0341979192 -33 00 46.106915184|270.0156250801647 +20.1067592140064|   -7.958 8.259   |10.17    |~              |    ~     ~    
2028|CD-31 8198                                                            |Star                           |10 21 57.0819636240 -32 21 29.313540900|269.6951753381616 +20.6961441055962| -37.275 19.025   |10.64    |~              |    ~     ~    
2029|CD-31 8199                                                            |Star                           |10 22 02.3276365200 -32 37 27.244450776|269.8752584962740 +20.4894395151300| -12.362 12.141   |9.59     |~              |    ~     ~    
2030|CD-32 7286                                                            |Star                           |10 22 03.8860064952 -32 43 22.799427744|269.9407641665515 +20.4118682027777|  -41.408 7.183   |10.32    |~              |    ~     ~    
2031|CD-33 6909                                                            |High Proper Motion Star        |10 22 21.5946450312 -33 54 49.585300524|270.7213676778217 +19.4720263008336|-0.885 -102.173   |9.85     |~              |    ~     ~    
2032|CD-32 7290                                                            |Star                           |10 22 23.7654312648 -33 15 24.900094584|270.3283564241136 +20.0148775613470|    4.093 0.151   |10.57    |~              |    ~     ~    
2033|CD-32 7293                                                            |Star                           |10 22 31.4284009464 -33 23 30.648109308|270.4338901092523 +19.9195924370783|  -19.479 3.394   |10.41    |~              |    ~     ~    
2034|CD-32 7311                                                            |Star                           |10 23 48.0822095256 -33 04 22.818847224|270.4733879689821 +20.3339066928541| -33.444 -5.650   |10.30    |~              |    ~     ~    
2035|CD-32 7312                                                            |Star                           |10 23 50.0199187944 -32 50 37.537242972|270.3398115677397 +20.5260798251207| 22.621 -28.627   |10.14    |~              |    ~     ~    
2036|CD-32 7313                                                            |Star                           |10 23 51.3618342120 -33 24 26.817596892|270.6863185647623 +20.0654856550010|  -16.395 3.598   |10.02    |~              |    ~     ~    
2037|CD-31 8219                                                            |Star                           |10 23 53.0998507080 -32 24 51.701018004|270.0870885285729 +20.8847100663794|-13.202 -14.815   |10.51    |~              |    ~     ~    
2038|CD-31 8236                                                            |Star                           |10 25 20.1158837064 -32 07 22.625288004|270.1789486313959 +21.2989066426948|  -3.510 -5.101   |10.61    |~              |    ~     ~    
2039|CD-31 8242                                                            |Star                           |10 25 38.2582878360 -32 28 48.528842160|270.4527565917675 +21.0410730761529|  -24.417 7.638   |10.60    |~              |    ~     ~    
2040|CD-32 7336                                                            |Star                           |10 25 42.0971398536 -32 55 40.246971672|270.7356859679829 +20.6795242429372|  9.936 -13.367   |9.98     |~              |    ~     ~    
2041|TYC 7188-952-1                                                        |Star                           |10 25 51.6932793648 -32 39 54.930638304|270.6066062003779 +20.9151532294394|  -14.245 9.630   |10.60    |~              |    ~     ~    
2042|CD-32 7344                                                            |Star                           |10 26 17.6816003568 -33 24 51.368713992|271.1377513809949 +20.3475530695670|  -7.425 -8.031   |10.22    |~              |    ~     ~    
2043|CD-31 8256                                                            |Star                           |10 26 23.5423987824 -32 15 42.337520208|270.4611665433060 +21.3113089037461|-21.437 -10.265   |10.52    |~              |    ~     ~    
2044|CD-33 6961                                                            |Star                           |10 26 25.9443760752 -33 58 44.542257420|271.5002739533096 +19.8959804015579|   -7.262 3.558   |10.74    |~              |    ~     ~    
2045|CD-33 6973                                                            |Star                           |10 27 05.6127206904 -33 57 42.029384976|271.6108858563489 +19.9869711478225|  -11.476 8.802   |10.14    |~              |    ~     ~    
2046|CD-33 6975                                                            |Star                           |10 27 10.2769289232 -33 56 12.014110934|271.6102853583335 +20.0167165777427|      11.2 -9.9   |10.52    |~              |    ~     ~    
2047|CD-32 7362                                                            |Star                           |10 27 17.3049722640 -33 10 46.796429712|271.1808909210389 +20.6582351492398|   -6.767 3.048   |10.60    |~              |    ~     ~    
2048|CD-31 8268                                                            |Star                           |10 27 17.4716202288 -32 05 49.064883216|270.5300362427217 +21.5546598827770|  -24.686 7.345   |10.259   |~              |    ~     ~    
2049|CD-32 7371                                                            |Long-Period Variable           |10 27 56.3882032392 -33 13 23.938964472|271.3277588267557 +20.6981374796630|   -8.548 4.694   |10.47    |~              |    ~     ~    
2050|CD-33 6989                                                            |Star                           |10 28 02.9749643376 -33 42 42.342768000|271.6383332453061 +20.3050994484434| -9.745 -16.798   |10.34    |~              |    ~     ~    
2051|CD-33 7000                                                            |High Proper Motion Star        |10 28 47.7625235856 -33 39 04.077739044|271.7402838247062 +20.4416872330115| -48.360 30.535   |10.05    |~              |    ~     ~    
2052|CD-32 7384                                                            |Star                           |10 28 52.7926307400 -33 04 52.230770688|271.4180661058774 +20.9257194839664|  -0.671 -7.703   |10.27    |~              |    ~     ~    
2053|CD-33 7012                                                            |High Proper Motion Star        |10 29 31.7393976696 -34 16 12.642842172|272.2393496016842 +20.0092308321582|-132.350 -11.877  |10.20    |~              |    ~     ~    
2054|CD-32 7393                                                            |Star                           |10 29 37.8971118144 -32 47 07.344693348|271.3829350402486 +21.2593427284284|  -6.638 -0.476   |10.50    |~              |    ~     ~    
2055|TYC 7183-759-1                                                        |Star                           |10 18 57.8365771176 -31 46 03.300032352|268.7771362705903 +20.8073687757368| -10.853 11.274   |10.43    |~              |    ~     ~    
2056|TYC 7183-957-1                                                        |Star                           |10 19 33.2703372192 -31 31 58.819075968|268.7385563548799 +21.0710434962237|  16.969 -6.518   |10.74    |~              |    ~     ~    
2057|TYC 7183-993-1                                                        |Star                           |10 20 53.7639157632 -31 27 45.399999168|268.9431184792028 +21.2954417526832| -11.468 -0.240   |10.97    |~              |    ~     ~    
2058|TYC 7183-1143-1                                                       |Spectroscopic Binary           |10 19 27.1973758440 -31 36 36.239799204|268.7683039829676 +20.9959948693404|    3.385 1.830   |10.59    |~              |    ~     ~    
2059|TYC 7184-1290-1                                                       |Star                           |10 24 29.0122377504 -31 33 56.764652292|269.6776432399822 +21.6532373171710|   2.863 -4.835   |10.69    |~              |    ~     ~    
2060|TYC 7187-255-1                                                        |Star                           |10 20 03.0656617560 -32 08 55.941848484|269.2157056401798 +20.6333303070745|  -24.769 3.837   |10.90    |~              |    ~     ~    
2061|TYC 7187-428-1                                                        |Star                           |10 18 53.7963020520 -33 09 03.618052920|269.6284518301961 +19.6777184674443|   6.679 35.224   |10.507   |~              |    ~     ~    
2062|TYC 7187-500-1                                                        |Star                           |10 20 46.5364554024 -33 34 49.697130684|270.2322398114962 +19.5556971872032|  -14.783 7.403   |10.72    |~              |    ~     ~    
2063|TYC 7187-1294-1                                                       |Star                           |10 19 21.2931816600 -33 28 00.025574880|269.9062312065562 +19.4769279818238|  -14.660 4.040   |10.19    |~              |    ~     ~    
2064|TYC 7187-1371-1                                                       |Star                           |10 19 38.4937861560 -33 01 15.517351560|269.6826653803574 +19.8743232772967| -14.350 -3.324   |10.769   |~              |    ~     ~    
2065|TYC 7187-1561-1                                                       |Star                           |10 20 41.9669696712 -32 55 06.613949316|269.8115720792451 +20.0865847822010|   -9.715 7.604   |10.91    |~              |    ~     ~    
2066|TYC 7187-2097-1                                                       |Star                           |10 18 47.2724451480 -32 06 57.815171280|268.9635916213570 +20.5034092341708| -23.986 12.557   |10.76    |~              |    ~     ~    
2067|TYC 7187-2177-1                                                       |Star                           |10 19 00.2084090280 -31 52 40.812043692|268.8537799893729 +20.7229459714382|  -22.393 7.350   |10.88    |~              |    ~     ~    
2068|TYC 7187-2240-1                                                       |Star                           |10 19 49.2312500736 -32 00 43.241852088|269.0878991331761 +20.7159019080530| -23.052 10.230   |10.39    |~              |    ~     ~    
2069|TYC 7188-6-1                                                          |Star                           |10 27 57.2966517192 -32 13 59.311277796|270.7372128063564 +21.5209097053372|  -5.282 -3.743   |10.96    |~              |    ~     ~    
2070|TYC 7188-82-1                                                         |Star                           |10 22 18.1579032336 -32 29 51.240392376|269.8458305878336 +20.6249975010910| 39.003 -17.791   |10.83    |~              |    ~     ~    
2071|TYC 7188-120-1                                                        |Star                           |10 22 50.3691057696 -32 42 30.423913380|270.0741455032096 +20.5174620742781|  -1.838 -3.227   |10.50    |~              |    ~     ~    
2072|TYC 7188-133-1                                                        |Star                           |10 29 01.4956251048 -33 44 18.891841848|271.8342251760560 +20.3951802239120|  19.404 37.932   |10.85    |~              |    ~     ~    
2073|TYC 7188-140-1                                                        |Star                           |10 22 03.5464253304 -32 50 25.096173108|270.0117803703482 +20.3152805390605|   -7.068 9.032   |10.49    |~              |    ~     ~    
2074|TYC 7188-231-1                                                        |Star                           |10 23 57.0768841080 -33 38 05.457442344|270.8412193978830 +19.8896693588785|-36.314 -31.686   |10.71    |~              |    ~     ~    
2075|TYC 7188-329-1                                                        |Star                           |10 21 39.0872842752 -33 37 40.426523148|270.4194869551739 +19.6219328154541|  -3.971 -4.589   |10.49    |~              |    ~     ~    
2076|TYC 7188-445-1                                                        |Star                           |10 25 53.1496172064 -32 34 14.379739284|270.5538444983797 +20.9960672719032| 22.063 -27.177   |10.68    |~              |    ~     ~    
2077|TYC 7188-477-1                                                        |Star                           |10 28 32.2558217064 -32 51 35.849597724|271.2223983171593 +21.0696662871040|  3.458 -13.891   |10.40    |~              |    ~     ~    
2078|TYC 7188-541-1                                                        |Star                           |10 21 30.9158390808 -33 05 11.381682804|270.0635421307302 +20.0483309463725|  -42.413 3.816   |10.87    |~              |    ~     ~    
2079|TYC 7188-545-1                                                        |Star                           |10 29 46.5890935464 -33 02 42.391460832|271.5641873253865 +21.0598059253066|-11.406 -11.567   |10.50    |~              |    ~     ~    
2080|TYC 7188-622-1                                                        |Star                           |10 26 54.8294660856 -32 46 54.984535284|270.8727443742034 +20.9435025278847| -21.713 11.185   |10.63    |~              |    ~     ~    
2081|TYC 7188-649-1                                                        |Star                           |10 22 12.5282839032 -32 20 24.759031128|269.7315830716534 +20.7421676605297|  -2.096 -2.450   |10.13    |~              |    ~     ~    
2082|TYC 7188-767-1                                                        |Star                           |10 27 52.4681983032 -32 55 01.152039396|271.1327014510390 +20.9446839908367|  -7.114 -8.578   |10.55    |~              |    ~     ~    
2083|TYC 7188-818-1                                                        |Star                           |10 21 28.6266621144 -32 06 34.516158120|269.4538974315562 +20.8408590085007|  -19.243 0.342   |10.98    |~              |    ~     ~    
2084|TYC 7188-893-1                                                        |Star                           |10 25 31.2047172480 -32 57 34.814469924|270.7213284016112 +20.6317440559780|  5.160 -11.793   |10.79    |~              |    ~     ~    
2085|TYC 7188-907-1                                                        |Star                           |10 26 06.9354442440 -32 34 25.125485412|270.5984282446860 +21.0209639302066|  -19.801 5.936   |10.52    |~              |    ~     ~    
2086|TYC 7188-926-1                                                        |Star                           |10 22 13.7380106832 -32 48 21.539189664|270.0218394132213 +20.3638854686126|   -8.536 0.569   |10.64    |~              |    ~     ~    
2087|TYC 7188-1096-1                                                       |Star                           |10 25 26.3320683144 -32 16 32.746803708|270.2914476972112 +21.1856059258378| -6.566 -10.075   |10.80    |~              |    ~     ~    
2088|TYC 7188-1115-1                                                       |Star                           |10 22 24.3231565632 -32 25 18.493285800|269.8181260618658 +20.6994144656756|  -23.673 2.793   |10.90    |~              |    ~     ~    
2089|TYC 7188-1188-1                                                       |Star                           |10 29 08.8964417232 -32 39 13.064389632|271.2137161406845 +21.3125457327227|  -12.948 0.627   |10.913   |~              |    ~     ~    
2090|TYC 7188-1308-1                                                       |Star                           |10 22 40.4498622672 -33 04 57.584023428|270.2727389553528 +20.1910107207132|  -43.865 7.189   |10.52    |~              |    ~     ~    
2091|TYC 7188-1386-1                                                       |Star                           |10 21 39.6363928296 -32 45 59.826638124|269.8935195617539 +20.3272326945354|  -4.857 -0.459   |10.55    |~              |    ~     ~    
2092|TYC 7188-1408-1                                                       |Star                           |10 28 59.5652626848 -33 26 29.755374468|271.6528258935573 +20.6388601680696|   -5.262 2.953   |10.83    |~              |    ~     ~    
2093|TYC 7188-1415-1                                                       |Star                           |10 29 23.5603043304 -33 27 45.393425784|271.7395128407511 +20.6674982963004|  -2.131 -1.134   |10.95    |~              |    ~     ~    
2094|TYC 7188-1529-1                                                       |High Proper Motion Star        |10 23 08.5018606584 -33 26 43.840251168|270.5790513522727 +19.9492806571544| 39.689 -33.002   |10.70    |~              |    ~     ~    
2095|PM J10251-3245                                                        |High Proper Motion Star        |10 25 06.0767552280 -32 45 48.313827828|270.5250510170237 +20.7436898512037|-101.165 34.494   |10.669   |~              |    ~     ~    
2096|TYC 7188-1694-1                                                       |Star                           |10 22 58.7269646784 -33 32 11.412486132|270.6046367212470 +19.8551819005527| -13.467 14.008   |10.89    |~              |    ~     ~    
2097|TYC 7188-1696-1                                                       |Star                           |10 21 13.1257083528 -33 32 50.219806596|270.2919957185422 +19.6360384508360| -32.143 32.645   |10.673   |~              |    ~     ~    
2098|TYC 7188-1836-1                                                       |Star                           |10 24 04.1905408800 -31 54 36.462885804|269.8121479475146 +21.3205863805147| -36.722 11.553   |10.61    |~              |    ~     ~    
2099|TYC 7188-1842-1                                                       |Star                           |10 24 55.1305422120 -32 05 18.281689512|270.0800337695927 +21.2771114288923|  -4.851 -4.552   |10.66    |~              |    ~     ~    
2100|TYC 7188-2030-1                                                       |Star                           |10 26 05.4417275640 -31 55 53.048623980|270.2037117694653 +21.5474941125075|  -15.863 5.393   |10.96    |~              |    ~     ~    
2101|TYC 7188-2142-1                                                       |Star                           |10 21 15.0008560296 -32 01 51.462128856|269.3631539460625 +20.8770015127019|   -7.730 0.338   |10.72    |~              |    ~     ~    
2102|TYC 7191-855-1                                                        |Star                           |10 20 07.5195675072 -33 54 47.855721780|270.3190290349561 +19.2059254545395|  -3.267 -6.059   |10.792   |~              |    ~     ~    
2103|TYC 7192-155-1                                                        |Star                           |10 27 12.4398749088 -34 08 02.725110636|271.7339184509546 +19.8569592621403| -21.937 -8.818   |10.66    |~              |    ~     ~    
2104|TYC 7192-477-1                                                        |Star                           |10 29 43.7420082264 -34 02 00.739170276|272.1376169106466 +20.2296539216428|   -9.867 3.252   |10.95    |~              |    ~     ~    
2105|TYC 7192-523-1                                                        |Star                           |10 24 27.1703208072 -34 05 22.427644344|271.2060383672823 +19.5739415475037|  -5.256 -1.646   |10.31    |~              |    ~     ~    
2106|TYC 7192-1461-1                                                       |Star                           |10 28 59.8463186976 -34 10 16.616014752|272.0837685537176 +20.0312774757882| -24.065 12.262   |10.313   |~              |    ~     ~    
2107|HD 89511                                                              |Star                           |10 19 07.9080359520 -34 14 31.760165256|270.3429766238035 +18.8186763084406|  16.731 -9.745   |10.09    |A9V            |    ~     ~    
2108|HD 89528                                                              |High Proper Motion Star        |10 19 10.7834184936 -34 36 59.348860452|270.5803624677694 +18.5192720218315| -43.538 27.274   |6.72     |A1V            |    ~     ~    
2109|HD 89567                                                              |High Proper Motion Star        |10 19 27.2018857296 -34 34 18.530736492|270.6015688035828 +18.5882847597964| -70.824 12.659   |10.39    |A1V            |    ~     ~    
2110|HD 89609                                                              |Star                           |10 19 45.4656251784 -34 25 08.524276680|270.5624183781828 +18.7492179836313|  -6.306 -9.400   |9.06     |K4/5(III)      |    ~     ~    
2111|HD 89660                                                              |Star                           |10 20 06.9164352840 -34 30 46.818418644|270.6832220018271 +18.7149818863901|  -0.547 -5.861   |9.07     |F8/G0V         |    ~     ~    
2112|CD-34 6625                                                            |Star                           |10 19 40.5530808864 -35 27 41.623050744|271.1808488675742 +17.8875465170027|  -16.401 8.222   |10.24    |F2             |    ~     ~    
2113|HD 89697                                                              |Rotating Variable              |10 20 21.7677117264 -36 12 13.477701852|271.7468178029393 +17.3590958050972| -3.994 -10.339   |8.506    |K1III          |    ~     ~    
2114|HD 89710                                                              |Spectroscopic Binary           |10 20 30.0036087024 -35 52 29.688451248|271.5737047834549 +17.6448260227588|  -11.821 4.661   |8.61     |M0III          |    ~     ~    
2115|HD 89512                                                              |Star                           |10 18 58.9959220320 -36 24 18.623828088|271.6291206141375 +17.0347818770129| -42.778 23.272   |8.31     |K2III          |    ~     ~    
2116|CD-33 6855                                                            |Star                           |10 18 49.4965461000 -34 21 12.792973788|270.3567121655808 +18.6911742001130|   2.679 -1.502   |10.879   |~              |    ~     ~    
2117|CD-34 6617                                                            |Star                           |10 19 09.1579617672 -34 58 03.697596408|270.7895751553566 +18.2295179396605| -25.968 11.248   |9.97     |~              |    ~     ~    
2118|CD-34 6618                                                            |Star                           |10 19 10.4267163696 -34 48 19.768097016|270.6945578210755 +18.3643883832387| -14.527 13.791   |9.72     |~              |    ~     ~    
2119|CD-34 6620                                                            |Star                           |10 19 20.1559595112 -35 00 38.485217340|270.8479842121440 +18.2160958433176| -1.362 -35.345   |10.83    |~              |    ~     ~    
2120|CD-34 6623                                                            |Star                           |10 19 29.5317389904 -35 21 30.921011964|271.0864064207306 +17.9502296831705|    4.374 3.109   |9.817    |~              |    ~     ~    
2121|CD-35 6325                                                            |Star                           |10 19 33.8768758464 -36 06 55.930648284|271.5555194054251 +17.3392143066361|  -12.187 9.515   |10.430   |~              |    ~     ~    
2122|CD-34 6624                                                            |Star                           |10 19 34.2098478816 -35 00 23.546740896|270.8867133998062 +18.2471524119786| -16.311 -0.116   |10.48    |~              |    ~     ~    
2123|CD-35 6331                                                            |Star                           |10 20 06.6640365840 -35 47 15.086325084|271.4533689654503 +17.6713763446190|  -20.746 3.774   |10.29    |~              |    ~     ~    
2124|CD-34 6632                                                            |Star                           |10 20 19.2387599544 -35 27 26.329585500|271.2912738103338 +17.9663989587215|  -10.680 3.837   |10.72    |~              |    ~     ~    
2125|HD 90060                                                              |High Proper Motion Star        |10 23 01.8330317328 -34 08 27.213629064|270.9797375912946 +19.3647224365028| 47.019 -30.862   |9.23     |F2V            |    ~     ~    
2126|HD 90712                                                              |High Proper Motion Star        |10 27 47.7769805592 -34 23 58.130472804|271.9981522552676 +19.7039397176313|-120.769 -39.045  |7.52     |G0VCH-0.3      |    ~     ~    
2127|CD-33 6996                                                            |Star                           |10 28 39.1691761632 -34 28 35.790638160|272.1997690995396 +19.7373603527421|   9.278 -3.984   |9.81     |~              |    ~     ~    
2128|CD-33 6885                                                            |Star                           |10 21 04.9247489112 -33 59 57.476945400|270.5432276411013 +19.2500313185151|   -0.556 5.479   |10.23    |~              |    ~     ~    
2129|CD-33 6916                                                            |Star                           |10 22 52.3091140608 -34 11 11.087843964|270.9785878609066 +19.3086056124501| -28.824 -8.145   |10.64    |~              |    ~     ~    
2130|CD-33 6930                                                            |Star                           |10 24 03.5965859592 -34 07 36.826251564|271.1572805616115 +19.4971535418463|   9.394 -9.442   |9.89     |~              |    ~     ~    
2131|HD 90147                                                              |Double or Multiple Star        |10 23 40.2955 -34 16 12.120            |271.1730931 +19.3337091            |    -22.70 3.10   |8.75     |A5V            |    ~     ~    
2132|HD 90547                                                              |Pulsating Variable             |10 26 36.3698073480 -34 34 31.061572500|271.8855518130821 +19.4214588282374| -0.113 -12.019   |9.22     |A0/1V          |    ~     ~    
2133|HD 91017                                                              |Star                           |10 29 51.5664294888 -34 33 39.952794528|272.4697440799684 +19.8034373549211|  -11.457 0.161   |9.40     |F0IV           |    ~     ~    
2134|HD 89832                                                              |Double or Multiple Star        |10 21 23.5291836768 -35 21 37.687387248|271.4214389085998 +18.1706871907893|-167.259 -26.613  |9.38     |G3/5V          |    ~     ~    
2135|HD 89950                                                              |Star                           |10 22 08.2376527704 -35 10 45.979346496|271.4445103360502 +18.4061092872747|-32.476 -19.990   |9.59     |F8V            |    ~     ~    
2136|HD 90047                                                              |Star                           |10 22 50.2428342480 -34 42 20.245246848|271.2848743525917 +18.8774948628608|   -4.857 3.391   |9.88     |B8V            |    ~     ~    
2137|HD 90148                                                              |Star                           |10 23 38.9313848640 -34 56 46.277174940|271.5738486138261 +18.7736022443584| -13.682 18.025   |9.25     |A5/7III/IV     |    ~     ~    
2138|HD 90284                                                              |Spectroscopic Binary           |10 24 39.7319056584 -35 37 31.264637232|272.1572303485775 +18.3284718762587|  12.078 -7.310   |9.39     |A9V            |    ~     ~    
2139|HD 90376                                                              |Star                           |10 25 24.1748302920 -34 44 36.996372852|271.7678655141126 +19.1435867483807|  -13.473 3.114   |9.55     |K1III          |    ~     ~    
2140|CD-34 6698                                                            |Star                           |10 25 36.8943284376 -35 34 19.390684836|272.2950856344008 +18.4809090225123| -19.835 10.768   |9.73     |K0             |    ~     ~    
2141|HD 90450                                                              |Star                           |10 25 56.3117955336 -34 45 24.700776156|271.8722444370600 +19.1941834026380|   2.379 -0.538   |10.13    |A2IV           |    ~     ~    
2142|CD-34 6704                                                            |Star                           |10 26 01.0356514056 -34 39 34.462645308|271.8288632713469 +19.2839009691711|  -11.674 5.358   |9.79     |K0             |    ~     ~    
2143|V* AU Ant                                                             |Long-Period Variable           |10 26 34.6710521544 -34 42 02.942722080|271.9545782524235 +19.3139917017030|   -4.781 1.806   |8.48     |M3III          |    ~     ~    
2144|CD-34 6716                                                            |Star                           |10 26 51.5149508784 -35 16 33.230551008|272.3434842296704 +18.8679471903571|   -7.618 5.873   |9.44     |~              |    ~     ~    
2145|CD-34 6721                                                            |Star                           |10 27 26.5359735432 -35 19 10.501071852|272.4738572060273 +18.8975310619563| -22.133 23.246   |9.868    |K0             |    ~     ~    
2146|CD-34 6725                                                            |Star                           |10 27 32.5951705608 -34 46 56.979591420|272.1774215137789 +19.3562825144327| -21.730 -3.911   |9.55     |~              |    ~     ~    
2147|CD-34 6729                                                            |Star                           |10 27 56.0739233472 -35 23 23.933768604|272.6033978805792 +18.8942515916000|   -8.338 1.598   |9.51     |A3             |    ~     ~    
2148|CD-34 6740                                                            |Star                           |10 28 27.5263490592 -35 00 16.228222848|272.4732045387751 +19.2749357650817| -17.025 -0.386   |9.52     |K0             |    ~     ~    
2149|CD-34 6743                                                            |High Proper Motion Star        |10 28 41.9587308408 -35 37 13.185654456|272.8745790966274 +18.7874179404066| -87.678 24.301   |10.834   |G5             |    ~     ~    
2150|CD-34 6753                                                            |Star                           |10 29 13.1366692032 -34 37 38.281904688|272.3912662409749 +19.6757610635047| -13.383 -1.677   |9.64     |G5             |    ~     ~    
2151|HD 90937                                                              |Star                           |10 29 19.1587975536 -35 01 21.231205536|272.6397144641667 +19.3566680446415|  -6.043 -4.866   |8.57     |K1III          |    ~     ~    
2152|CD-35 6342                                                            |Star                           |10 21 02.4954261912 -36 09 46.824478956|271.8404016262255 +17.4706602791854|  -14.467 9.835   |10.19    |G5             |    ~     ~    
2153|CD-35 6352                                                            |Star                           |10 21 54.6535252128 -35 57 42.529558392|271.8721076679998 +17.7360447629768|-16.635 -26.449   |10.15    |G2             |    ~     ~    
2154|HD 89935                                                              |Star                           |10 22 00.4692403176 -36 13 27.098850324|272.0450885734796 +17.5309829579050|-12.759 -15.896   |8.21     |F2V            |    ~     ~    
2155|CD-35 6374                                                            |High Proper Motion Star        |10 22 56.0964744768 -35 44 51.546908256|271.9244481670614 +18.0300513022234| 23.673 -85.754   |10.09    |G5             |    ~     ~    
2156|HD 90228                                                              |Star                           |10 24 17.7958311840 -35 38 50.054448624|272.1053730152314 +18.2686972090263|  -10.011 5.548   |8.34     |F2III          |    ~     ~    
2157|CD-35 6403                                                            |Star                           |10 25 07.9076289768 -35 58 10.184439828|272.4428946183466 +18.0963735265994| 21.317 -24.885   |9.96     |F2             |    ~     ~    
2158|CD-35 6421                                                            |Double or Multiple Star        |10 26 13.9181380392 -35 48 11.655880092|272.5403909780123 +18.3585216209261|  -6.337 -2.726   |10.357   |A2             |    ~     ~    
2159|CD-35 6431                                                            |High Proper Motion Star        |10 26 51.7432619952 -35 39 45.562516668|272.5704684583545 +18.5464485736135|-180.896 -3.730   |10.04    |F8             |    ~     ~    
2160|CD-35 6438                                                            |Star                           |10 27 21.9907009704 -36 14 45.731207040|272.9994150065525 +18.1163941261922| -31.661 10.963   |9.29     |G8             |    ~     ~    
2161|CD-35 6440                                                            |Star                           |10 27 37.7465974296 -35 49 49.318889052|272.8049278440897 +18.4925664451525| -30.901 22.180   |9.78     |K0             |    ~     ~    
2162|HD 90781                                                              |Star                           |10 28 14.5610610480 -36 13 12.668747664|273.1398529245982 +18.2350611793137| -7.915 -26.088   |7.44     |F3V            |    ~     ~    
2163|CD-33 6979                                                            |Star                           |10 27 26.8443703152 -34 29 26.435049360|271.9883403220570 +19.5881608290047|  6.403 -16.472   |10.08    |~              |    ~     ~    
2164|HD 90048                                                              |Star                           |10 22 50.8440208200 -36 25 34.478509944|272.3110664269666 +17.4597771705341|   -5.609 9.492   |8.68     |M0III          |    ~     ~    
2165|CD-35 6377                                                            |Star                           |10 23 21.5330077920 -36 18 44.673828840|272.3331343921512 +17.6118196299777|  -19.642 5.609   |9.57     |G5             |    ~     ~    
2166|HD 90114                                                              |Star                           |10 23 26.9112180600 -36 23 06.379356156|272.3916524584605 +17.5618323059099| 18.730 -25.764   |8.36     |K1III          |    ~     ~    
2167|HD 90131                                                              |Star                           |10 23 33.1635392688 -36 38 09.472141176|272.5574267301392 +17.3659683950183| -27.780 11.212   |9.46     |ApEuCr(Sr)     |    ~     ~    
2168|CD-35 6396                                                            |Star                           |10 24 26.1195078888 -36 27 46.473874596|272.6098690761705 +17.6085923374601|   -0.785 1.380   |9.53     |K1             |    ~     ~    
2169|CD-35 6401                                                            |Star                           |10 24 41.4102086616 -36 20 36.611509020|272.5845253772565 +17.7362803716238| -10.670 -2.046   |9.62     |K2             |    ~     ~    
2170|CD-35 6432                                                            |Double or Multiple Star        |10 26 55.70425 -36 26 12.2407          |273.03249739 +17.90864661          |    -1.00 -1.68   |10.0     |~              |    ~     ~    
2171|CD-35 6444                                                            |Star                           |10 27 52.7421638712 -36 19 49.451825316|273.1389825458573 +18.1027021869428|   -0.881 3.774   |9.84     |K0             |    ~     ~    
2172|CD-35 6454                                                            |Star                           |10 28 51.7484778408 -36 36 18.353002680|273.4710995034942 +17.9809313242241|  -30.564 6.702   |9.53     |K0             |    ~     ~    
2173|CD-35 6465                                                            |High Proper Motion Star        |10 29 36.2569152864 -36 26 33.804063420|273.5096249769568 +18.1982663807276| 46.546 -20.495   |9.88     |K1             |    ~     ~    
2174|CD-35 6466                                                            |Spectroscopic Binary           |10 29 47.6006503944 -36 18 03.994582932|273.4622352840793 +18.3378289505529| -57.277 36.510   |10.17    |F2             |    ~     ~    
2175|CD-35 6467                                                            |Star                           |10 29 51.5325283296 -36 16 15.610364724|273.4566856019872 +18.3702798598982| 13.106 -24.298   |10.19    |~              |    ~     ~    
2176|HD 89833                                                              |Star                           |10 21 23.1752925240 -36 40 28.398298872|272.2045209144242 +17.0890778460733| -31.926 -2.323   |9.02     |A6V            |    ~     ~    
2177|CD-36 6354                                                            |Star                           |10 24 48.8772727320 -36 45 54.958459968|272.8529375519841 +17.4000844312762| -11.041 -4.441   |9.29     |K5             |    ~     ~    
2178|CD-36 6366                                                            |High Proper Motion Star        |10 25 22.5855283968 -36 41 04.197306156|272.9039377006568 +17.5298126961788|-144.813 39.019   |9.49     |G0             |    ~     ~    
