C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:40:29

dec< 0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7195

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
5624|HD 81355                                                                                                 |Star                              |09 21 45.7486520832 -67 09 01.798622208|284.5884584677014 -12.0889586064610|  -8.520 -7.630   |9.744    |G8/K1(III)     |    ~     ~          |    1|  303.908   pc  |  -4.6890     +4.6890    |ST-L    |2020AJ....160...83S
5625|HD 81484                                                                                                 |Star                              |09 22 22.9374353952 -67 30 38.711970612|284.8964813226228 -12.2956055512993|   -7.827 8.824   |10.20    |A0V            |    ~     ~          |    1|  494.731   pc  |  -3.8427     +3.8427    |paral   |2020yCat.1350....0G
5626|HD 81537                                                                                                 |Star                              |09 22 43.5035133480 -67 07 23.627390304|284.6347258347263 -12.0027141759987|    1.131 2.086   |10.43    |A4/5V          |    ~     ~          |    1|  756.258   pc  | -12.9827    +12.9827    |paral   |2020yCat.1350....0G
5627|HD 81655                                                                                                 |Star                              |09 23 32.1971591112 -67 01 33.667465512|284.6196877510015 -11.8782971793429|  -24.012 3.028   |10.31    |F3/5V          |    ~     ~          |    1|  270.577   pc  |  -0.8566     +0.8566    |paral   |2020yCat.1350....0G
5628|HD 81737                                                                                                 |Star                              |09 24 07.1447324016 -66 41 24.815460876|284.4151877300108 -11.6027202373338| -12.395 11.802   |9.08     |A0V            |    ~     ~          |    1|  335.413   pc  |  -1.8000     +1.8000    |paral   |2020yCat.1350....0G
5629|HD 81894                                                                                                 |Star                              |09 25 08.7617494320 -66 48 48.730387968|284.5774830360113 -11.6169169838569|  -10.171 4.563   |10.13    |B8/9V          |    ~     ~          |    1|  601.106   pc  |  -6.0703     +6.0703    |paral   |2020yCat.1350....0G
5630|HD 82187                                                                                                 |Star                              |09 27 17.7756986184 -66 34 25.422536064|284.5571600243719 -11.2970046386502|  -12.259 9.423   |7.81     |B8III          |    ~     ~          |    1|  466.548   pc  |  -5.4852     +5.4852    |paral   |2020yCat.1350....0G
5631|HD 82301                                                                                                 |Double or Multiple Star           |09 27 48.9 -67 25 35                   |285.2081 -11.8653                  |            ~ ~   |9.8      |A(3m)A(5)-F(3) |    ~     ~          |    0|                |                         |        |                   
5632|HD 82406                                                                                                 |High Proper Motion Star           |09 28 30.5329079616 -66 42 06.761817972|284.7362257747433 -11.3033454177007| -30.520 51.392   |5.886    |A0V            |    ~     ~          |    1|   83.382   pc  |  -0.9303     +0.9303    |paral   |2020yCat.1350....0G
5633|HD 82487                                                                                                 |Star                              |09 29 03.3533779752 -66 45 43.685530452|284.8185969605950 -11.3083385309460|   -8.803 5.955   |9.72     |B7/8V          |    ~     ~          |    1|  990.295   pc  | -15.0045    +15.0045    |paral   |2020yCat.1350....0G
5634|HD 82501                                                                                                 |Star                              |09 29 10.2002535840 -66 37 11.789321952|284.7251708746234 -11.1990207407745|  -16.891 9.104   |10.10    |A1/2V          |    ~     ~          |    1|  632.911   pc  | -11.8571    +11.8571    |paral   |2020yCat.1350....0G
5635|HD 80604                                                                                                 |Star                              |09 17 04.8765487560 -68 10 19.688623860|285.0386600903397 -13.1129027186826|   -9.236 6.853   |9.84     |B9/9.5V        |    ~     ~          |    1|  859.254   pc  | -14.0280    +14.0280    |paral   |2020yCat.1350....0G
5636|HD 80603                                                                                                 |Star                              |09 17 13.6734328440 -67 40 35.258367036|284.6745679344093 -12.7665387919991|  31.270 -3.276   |6.79     |K1III          |    ~     ~          |    1|  303.527   pc  |  -1.3451     +1.3451    |paral   |2020yCat.1350....0G
5637|HD 80818                                                                                                 |Star                              |09 18 18.8441264016 -68 10 49.157962608|285.1247300960841 -13.0343845212398|  -3.286 11.859   |8.76     |M1III          |    ~     ~          |    1|  810.767   pc  | -10.9119    +10.9119    |paral   |2020yCat.1350....0G
5638|HD 80838                                                                                                 |High Proper Motion Star           |09 18 36.0622900992 -67 32 10.874740236|284.6607320978295 -12.5753553973059|  49.628 -4.109   |8.88     |K0IV           |    ~     ~          |    1|  152.205   pc  |  -0.2409     +0.2409    |paral   |2020yCat.1350....0G
5639|HD 80927                                                                                                 |Star                              |09 19 01.9505350560 -67 40 46.201906236|284.7965718710150 -12.6432251737301| 13.034 -13.404   |9.72     |F3/5(IV)       |    ~     ~          |    1|  228.232   pc  |  -0.5365     +0.5365    |paral   |2020yCat.1350....0G
5640|HD 80937                                                                                                 |High Proper Motion Star           |09 19 08.2691832336 -67 43 54.745734360|284.8427239173409 -12.6717729817705| 65.855 -37.137   |9.33     |F7IV/V         |    ~     ~          |    1|  161.616   pc  |  -0.4754     +0.4754    |paral   |2020yCat.1350....0G
5641|HD 81002                                                                                                 |Spectroscopic Binary              |09 19 34.9240461096 -67 48 30.385155816|284.9294089883152 -12.6935854773741|  -4.448 -5.844   |9.27     |A9IV           |    ~     ~          |    1|  438.558   pc  | -14.5212    +14.5212    |paral   |2020yCat.1350....0G
5642|HD 81223                                                                                                 |Chemically Peculiar Star          |09 20 48.4923218928 -68 07 17.659446528|285.2437742726125 -12.8250068372781|-101.931 85.639   |8.44     |K0wF(7)        |    ~     ~          |    1|  283.962   pc  |  -1.2337     +1.2337    |paral   |2020yCat.1350....0G
5643|HD 81473                                                                                                 |Star                              |09 22 13.6193581296 -68 03 09.877799808|285.2863563319995 -12.6817083427223| -36.218 23.660   |10.07    |F3/5V          |    ~     ~          |    1|  258.431   pc  |  -0.7280     +0.7280    |paral   |2020yCat.1350....0G
5644|HD 81701                                                                                                 |Star                              |09 23 50.2079889552 -67 54 28.384754724|285.2869183450345 -12.4725403742930|   -5.281 8.564   |9.42     |A0V            |    ~     ~          |    1|  413.633   pc  |  -3.0626     +3.0626    |paral   |2020yCat.1350....0G
5645|HD 81816                                                                                                 |Star                              |09 24 25.6148770920 -68 11 28.965864444|285.5344941845915 -12.6306900487038|  -11.420 7.930   |10.10    |A0V            |    ~     ~          |    1|  472.367   pc  |  -3.4808     +3.4808    |paral   |2020yCat.1350....0G
5646|HD 81852                                                                                                 |Star                              |09 24 43.1552415024 -67 46 44.818368276|285.2519878666425 -12.3230750760680| -14.644 16.825   |10.00    |A3/4V          |    ~     ~          |    1|  379.838   pc  |  -2.0199     +2.0199    |paral   |2020yCat.1350....0G
5647|HD 81881                                                                                                 |High Proper Motion Star           |09 24 57.3528644928 -67 55 17.440520844|285.3721245821960 -12.4067577278892|-51.428 115.076   |7.73     |F3V            |    ~     ~          |    1|   94.003   pc  |  -0.1317     +0.1317    |paral   |2020yCat.1350....0G
5648|V* RU Car                                                                                                |Carbon Star                       |09 15 16.8648815928 -66 14 10.016499192|283.4584093459357 -11.9301858336395|   -7.611 6.405   |9.71     |C              |    ~     ~          |    1| 1874.06    pc  | -63.9204    +63.9204    |paral   |2020yCat.1350....0G
5649|HD 81241                                                                                                 |Star                              |09 21 12.0114708744 -66 13 03.538318872|283.8618413548061 -11.4828529726712|  -5.742 -2.077   |9.24     |K5/M0III       |    ~     ~          |    1|  901.226   pc  | -11.2085    +11.2085    |paral   |2020yCat.1350....0G
5650|HD 311261                                                                                                |Star                              |09 25 15.0893595024 -67 21 24.777516492|284.9801502249738 -11.9910500001303|  -10.302 4.293   |9.782    |K0             |    ~     ~          |    1|  763.874   pc  | -31.0200    +31.0200    |ST-L    |2020AJ....160...83S
5651|HD 311260                                                                                                |High Proper Motion Star           |09 27 14.7029593344 -67 27 13.667080536|285.1883243649527 -11.9233555207010| -64.255 56.539   |10.11    |G0             |    ~     ~          |    1|  134.174   pc  |  -0.2232     +0.2232    |paral   |2020yCat.1350....0G
5652|HD 311259                                                                                                |Star                              |09 28 24.0787771536 -67 33 54.852630696|285.3487744228572 -11.9242253270348|  -17.949 4.400   |10.53    |A5             |    ~     ~          |    1|  414.903   pc  |  -3.1330     +3.1330    |paral   |2020yCat.1350....0G
5653|HD 311257                                                                                                |Star                              |09 29 18.3269223192 -67 16 04.077225516|285.1982325403736 -11.6516694723777| -14.291 14.149   |10.43    |G5             |    ~     ~          |    1|  356.366   pc  |  -1.7780     +1.7780    |paral   |2020yCat.1350....0G
5654|HD 311254                                                                                                |Star                              |09 26 04.3260655176 -67 01 31.624426128|284.7964662035416 -11.7014753473881| -40.811 26.850   |10.28    |F8             |    ~     ~          |    1|  345.340   pc  |  -1.3953     +1.3953    |paral   |2020yCat.1350....0G
5655|HD 311253                                                                                                |Star                              |09 26 30.6199634880 -66 49 04.608138072|284.6772001127572 -11.5246861436881|   -9.746 8.291   |10.75    |A0             |    ~     ~          |    1|  442.752   pc  |  -2.3916     +2.3916    |paral   |2020yCat.1350....0G
5656|HD 311251                                                                                                |Star                              |09 27 05.1245780520 -66 40 41.183602104|284.6172180267032 -11.3856875612120| -18.555 11.574   |10.50    |F0             |    ~     ~          |    1|  403.714   pc  |  -4.2050     +4.2050    |paral   |2020yCat.1350....0G
5657|HD 311236                                                                                                |Star                              |09 20 48.0210537120 -67 42 56.774459628|284.9415712002559 -12.5461645809980|  -2.575 22.387   |10.079   |K7             |    ~     ~          |    1|  595.797   pc  | -18.6800    +18.6800    |ST-L    |2020AJ....160...83S
5658|HD 311235                                                                                                |Star                              |09 20 57.3921669504 -67 35 30.516872460|284.8600536410538 -12.4499737798132|   -1.841 3.862   |9.66     |K7             |    ~     ~          |    1| 1341.922   pc  | -18.5478    +18.5478    |paral   |2020yCat.1350....0G
5659|HD 311234                                                                                                |Star                              |09 23 04.7740191384 -67 36 20.387057184|285.0136771673469 -12.3136343184977|  -11.435 8.966   |9.86     |K5             |    ~     ~          |    1|  895.255   pc  | -41.4366    +41.4366    |paral   |2020yCat.1350....0G
5660|HD 311231                                                                                                |Star                              |09 17 59.1786749424 -67 10 38.301260772|284.3506659557029 -12.3734623031609|   -3.768 3.815   |10.88    |A              |    ~     ~          |    1|  923.958   pc  | -12.1225    +12.1225    |paral   |2020yCat.1350....0G
5661|HD 311230                                                                                                |Star                              |09 22 13.1883606552 -66 57 04.811254488|284.4733532709902 -11.9187318201299| -10.643 -3.335   |10.45    |F8             |    ~     ~          |    1|  278.917   pc  |  -1.0035     +1.0035    |paral   |2020yCat.1350....0G
5662|HD 311227                                                                                                |Star                              |09 19 55.9538630352 -66 42 59.531655744|284.1410251445342 -11.9189260550389| -15.047 18.341   |10.032   |K5             |    ~     ~          |    1|  500.729   pc  | -11.5700    +11.5700    |ST-L    |2020AJ....160...83S
5663|HD 311226                                                                                                |Star                              |09 19 43.6397047584 -66 47 10.956153696|284.1785773149722 -11.9816804338730|   14.755 0.137   |10.142   |K5             |    ~     ~          |    1|  679.191   pc  | -20.8900    +20.8900    |ST-L    |2020AJ....160...83S
5664|HD 311225                                                                                                |Star                              |09 18 53.5143543768 -66 48 38.850171372|284.1389624961461 -12.0582643367590|  -11.616 2.660   |10.65    |F8             |    ~     ~          |    1|  298.107   pc  | -22.5724    +22.5724    |paral   |2020yCat.1350....0G
5665|HD 311223                                                                                                |High Proper Motion Star           |09 19 30.7057011264 -66 26 47.657356224|283.9114941500221 -11.7634808150209| -95.041 64.569   |10.20    |K0             |    ~     ~          |    1|  100.463   pc  |  -0.1090     +0.1090    |paral   |2020yCat.1350....0G
5666|HD 311222                                                                                                |Star                              |09 17 17.2695489528 -66 15 07.683536448|283.6107262491437 -11.7927800134567|   -5.405 3.771   |10.72    |F0             |    ~     ~          |    1|  647.543   pc  |  -5.1156     +5.1156    |paral   |2020yCat.1350....0G
5667|HD 311221                                                                                                |Star                              |09 19 19.0396773144 -66 15 05.974076484|283.7533028104094 -11.6435802990838| -11.307 12.272   |10.270   |K0             |    ~     ~          |    1|  828.993   pc  | -40.3800    +40.3800    |ST-L    |2020AJ....160...83S
5668|HD 311220                                                                                                |Star                              |09 20 00.2348666088 -66 16 27.639001488|283.8186724703007 -11.6090985225816|   -9.346 8.193   |10.411   |K5             |    ~     ~          |    1|  790.029   pc  | -40.9400    +40.9400    |ST-L    |2020AJ....160...83S
5669|HD 311219                                                                                                |Star                              |09 26 26.7648411960 -66 34 22.178216676|284.4955445282536 -11.3560936517494|   3.946 -5.529   |9.79     |K2             |    ~     ~          |    1|  537.866   pc  |  -8.5633     +8.5633    |paral   |2020yCat.1350....0G
5670|HD 311268                                                                                                |Star                              |09 20 23.0904491112 -68 22 16.706000820|285.4022574985844 -13.0251218768238|  -10.048 7.381   |9.03     |K1III          |    ~     ~          |    1|  470.168   pc  |  -2.4095     +2.4095    |paral   |2020yCat.1350....0G
5671|HD 81206                                                                                                 |Star                              |09 20 39.4719259392 -68 21 32.838641676|285.4109040473032 -12.9984610000545| -11.641 -0.706   |8.10     |K0/1III        |    ~     ~          |    1|  259.390   pc  |  -1.2246     +1.2246    |paral   |2020yCat.1350....0G
5672|CD-67 717                                                                                                |Double or Multiple Star           |09 15 54.995880 -67 32 36.46428        |284.487520470 -12.768300031        |      -10.4 7.9   |10.628   |~              |    ~     ~          |    0|                |                         |        |                   
5673|IRAS 09219-6549                                                                                          |Long-Period Variable              |09 22 53.0034724512 -66 02 02.480433684|283.8480104319940 -11.2327728220471|   -4.926 2.254   |10.78    |~              |    ~     ~          |    1| 2333.722   pc  | -84.9617    +84.9617    |paral   |2020yCat.1350....0G
5674|L 99-14                                                                                                  |High Proper Motion Star           |09 22 12.6690643392 -67 30 06.780468744|284.8783235519738 -12.3012502991269|-161.179 136.590  |10.75    |~              |    ~     ~          |    1|  107.282   pc  |  -0.8035     +0.8035    |ST-L    |2020AJ....160...83S
5675|CD-65 753                                                                                                |Star                              |09 15 04.0383285528 -66 06 20.643325488|283.3453584435168 -11.8578815276505| -12.363 -5.493   |10.26    |~              |    ~     ~          |    1| 1159.017   pc  | -17.0602    +17.0602    |paral   |2020yCat.1350....0G
5676|TYC 8952-97-1                                                                                            |Star                              |09 16 50.3077969632 -67 21 25.294813380|284.4082643084294 -12.5770145587619|   -9.453 5.228   |10.557   |~              |    ~     ~          |    1| 2074.510   pc  |-211.1000   +211.1000    |ST-L    |2020AJ....160...83S
5677|CD-67 727                                                                                                |Star                              |09 19 15.5797144656 -67 33 10.919758680|284.7172739357233 -12.5408908035567|  -10.989 2.736   |10.127   |~              |    ~     ~          |    1|  651.039   pc  | -16.3500    +16.3500    |ST-L    |2020AJ....160...83S
5678|TYC 8953-512-1                                                                                           |Star                              |09 26 51.4032701952 -67 22 57.365977908|285.1099081759772 -11.8994531885883|  -12.138 8.182   |10.47    |~              |    ~     ~          |    1|  769.527   pc  |  -7.0468     +7.0468    |paral   |2020yCat.1350....0G
5679|HD 309641                                                                                                |Star                              |09 15 43.6070034288 -65 19 26.853077388|282.8058544063541 -11.2780962558504|  -40.541 5.564   |10.50    |G5             |    ~     ~          |    1|  187.049   pc  |  -0.4163     +0.4163    |paral   |2020yCat.1350....0G
5680|HD 309642                                                                                                |Star                              |09 17 05.5590813552 -65 19 25.694478480|282.9046666593104 -11.1735542495187| -22.588 13.331   |10.63    |A5             |    ~     ~          |    1|  385.505   pc  |  -1.7982     +1.7982    |paral   |2020yCat.1350....0G
5681|TYC 8952-2042-1                                                                                          |Star                              |09 21 04.9804307280 -66 43 28.533830124|284.2271360738578 -11.8422152535601| -11.795 24.472   |10.187   |~              |    ~     ~          |    1|  613.487   pc  | -15.2500    +15.2500    |ST-L    |2020AJ....160...83S
5682|HD 311229                                                                                                |Star                              |09 23 00.6726308664 -66 51 55.327274604|284.4653654732865 -11.8031864021661|   -6.831 4.938   |10.18    |K7             |    ~     ~          |    1| 1124.733   pc  | -37.8242    +37.8242    |paral   |2020yCat.1350....0G
5683|TYC 8953-780-1                                                                                           |Star                              |09 26 28.278 -66 17 35.48              |284.295593 -11.156728              |       -1.3 7.4   |10.22    |~              |    ~     ~          |    0|                |                         |        |                   
5684|GSC 08948-00161                                                                                          |Double or Multiple Star           |09 16 20.3814839064 -65 32 03.111150552|283.0070860573195 -11.3743111889178|    0.147 5.594   |10.930   |~              |    ~     ~          |    1| 1049.770   pc  | -58.9900    +58.9900    |ST-L    |2020AJ....160...83S
5685|TYC 8948-193-1                                                                                           |Star                              |09 19 22.8253733520 -65 09 58.197221244|282.9554444003921 -10.8912021587663| -4.440 -10.610   |10.93    |~              |    ~     ~          |    1|  465.419   pc  |  -4.1157     +4.1157    |paral   |2020yCat.1350....0G
5686|TYC 8948-451-1                                                                                           |Star                              |09 18 50.0864495232 -65 23 57.813272448|283.0876281546221 -11.0932190790316| 16.723 -18.264   |10.37    |~              |    ~     ~          |    1|  358.938   pc  |  -8.2584     +8.2584    |paral   |2020yCat.1350....0G
5687|TYC 8948-513-1                                                                                           |Star                              |09 17 57.4082232096 -65 13 52.477823244|282.8989532416510 -11.0443279374953|  -6.854 16.125   |10.50    |~              |    ~     ~          |    1|  772.835   pc  | -25.9800    +25.9800    |ST-L    |2020AJ....160...83S
5688|TYC 8948-607-1                                                                                           |Star                              |09 18 07.1955111288 -65 21 06.570761472|283.0002698583895 -11.1146448532480|  -14.968 6.209   |10.716   |~              |    ~     ~          |    1|  851.218   pc  | -32.2000    +32.2000    |ST-L    |2020AJ....160...83S
5689|TYC 8948-1458-1                                                                                          |Star                              |09 19 00.3225481752 -65 34 23.881821384|283.2286647583273 -11.2000329045310|  3.014 -25.529   |10.70    |~              |    ~     ~          |    1|  324.749   pc  |  -1.6768     +1.6768    |paral   |2020yCat.1350....0G
5690|TYC 8948-1894-1                                                                                          |Star                              |09 23 52.8749138088 -65 16 14.630192832|283.3659205681416 -10.6252079010185| -15.646 -6.051   |10.613   |~              |    ~     ~          |    1|  545.878   pc  | -14.5100    +14.5100    |ST-L    |2020AJ....160...83S
5691|HD 309687                                                                                                |Star                              |09 20 51.8657280840 -65 03 26.543662452|282.9854693247212 -10.7032016648315|   -4.986 5.647   |10.50    |A1             |    ~     ~          |    1| 1343.364   pc  | -28.3326    +28.3326    |paral   |2020yCat.1350....0G
5692|TYC 8952-77-1                                                                                            |Star                              |09 17 33.8669079216 -67 17 36.532320432|284.4092416582631 -12.4825031724815|  -15.786 5.991   |10.87    |~              |    ~     ~          |    1|  456.059   pc  |  -2.5167     +2.5167    |paral   |2020yCat.1350....0G
5693|TYC 8952-168-1                                                                                           |Star                              |09 19 24.4370924376 -67 25 03.911857788|284.6262874012297 -12.4378907873371| -25.472 13.207   |10.67    |~              |    ~     ~          |    1|  450.938   pc  |  -5.1650     +5.1650    |paral   |2020yCat.1350....0G
5694|TYC 8952-286-1                                                                                           |Star                              |09 22 20.1641122320 -67 11 45.118023684|284.6613362263721 -12.0803264156573|   -9.195 5.476   |10.766   |~              |    ~     ~          |    1|  944.953   pc  | -43.2000    +43.2000    |ST-L    |2020AJ....160...83S
5695|TYC 8952-291-1                                                                                           |Star                              |09 21 04.8399497424 -67 18 23.109829668|284.6570005375377 -12.2444394972393|    0.192 4.404   |10.267   |~              |    ~     ~          |    1|  683.858   pc  | -18.0200    +18.0200    |ST-L    |2020AJ....160...83S
5696|TYC 8952-305-1                                                                                           |Star                              |09 23 52.3457956224 -67 10 40.542495384|284.7541730591238 -11.9609338359038| -12.086 13.287   |10.585   |~              |    ~     ~          |    1| 1086.520   pc  |-310.9000   +310.9000    |ST-L    |2020AJ....160...83S
5697|TYC 8952-325-1                                                                                           |Star                              |09 18 17.6353983840 -67 03 12.413302560|284.2789397333945 -12.2670448288910| -18.580 10.368   |10.5     |~              |    ~     ~          |    1|  872.119   pc  | -39.3400    +39.3400    |ST-L    |2020AJ....160...83S
5698|TYC 8952-340-1                                                                                           |Star                              |09 18 53.7636929784 -67 20 38.632935192|284.5368347514448 -12.4232226811287| 14.179 -19.258   |10.73    |~              |    ~     ~          |    1|  353.419   pc  |  -2.1484     +2.1484    |paral   |2020yCat.1350....0G
5699|TYC 8952-535-1                                                                                           |Star                              |09 15 01.2990492936 -66 34 36.844485168|283.6972609786301 -12.1796794005900|    7.628 0.439   |10.925   |~              |    ~     ~          |    1|  918.389   pc  | -30.7300    +30.7300    |ST-L    |2020AJ....160...83S
5700|TYC 8952-1006-1                                                                                          |Star                              |09 17 12.0153659496 -67 04 46.897934664|284.2242423178154 -12.3628773515190|   -1.189 1.205   |10.81    |~              |    ~     ~          |    1| 2209.945   pc  | -66.4204    +66.4204    |paral   |2020yCat.1350....0G
5701|TYC 8952-1060-1                                                                                          |Star                              |09 16 01.7217747984 -67 04 04.332705960|284.1360707190366 -12.4386500174087|  -44.896 2.018   |10.902   |~              |    ~     ~          |    1|  354.245   pc  |  -6.3060     +6.3060    |ST-L    |2020AJ....160...83S
5702|TYC 8952-1142-1                                                                                          |Star                              |09 15 36.7756966176 -66 40 58.422110664|283.8177238616698 -12.2081200917476|   -7.883 1.459   |10.62    |~              |    ~     ~          |    1| 1879.346   pc  | -49.4472    +49.4472    |paral   |2020yCat.1350....0G
5703|TYC 8952-1494-1                                                                                          |Star                              |09 17 04.0219992984 -66 46 05.302583472|283.9815022314754 -12.1604633419331|  -14.443 2.194   |10.589   |~              |    ~     ~          |    1|  877.512   pc  | -31.4000    +31.4000    |ST-L    |2020AJ....160...83S
5704|TYC 8952-1540-1                                                                                          |Star                              |09 15 26.2796934384 -66 37 05.297198700|283.7569377668085 -12.1770755804273|  -14.269 7.123   |10.52    |~              |    ~     ~          |    1|  293.040   pc  |  -0.9532     +0.9532    |paral   |2020yCat.1350....0G
5705|TYC 8952-1672-1                                                                                          |Star                              |09 17 57.5492327448 -65 44 23.374336380|283.2766542597083 -11.3927503477375|  -13.071 7.349   |10.462   |~              |    ~     ~          |    1|  578.950   pc  | -14.0900    +14.0900    |ST-L    |2020AJ....160...83S
5706|TYC 8952-1779-1                                                                                          |Star                              |09 17 00.9315632856 -66 22 00.958204020|283.6774948862287 -11.8910476387551|  -11.187 8.622   |10.91    |~              |    ~     ~          |    1|  465.962   pc  |  -2.7140     +2.7140    |paral   |2020yCat.1350....0G
5707|TYC 8952-2108-1                                                                                          |Star                              |09 24 32.7989737128 -66 13 42.529022112|284.1096842810657 -11.2486543513437|   -3.988 0.723   |10.79    |~              |    ~     ~          |    1|  355.859   pc  |  -1.5829     +1.5829    |paral   |2020yCat.1350....0G
5708|TYC 8952-2128-1                                                                                          |Star                              |09 18 13.8121782360 -65 52 09.377098932|283.3922559458193 -11.4612204785371|  -7.844 11.717   |10.500   |~              |    ~     ~          |    1|  711.427   pc  | -27.9200    +27.9200    |ST-L    |2020AJ....160...83S
5709|TYC 8953-701-1                                                                                           |Star                              |09 28 42.4870769088 -65 40 32.240775144|284.0175793418820 -10.5578723791960|   -0.809 6.864   |10.735   |~              |    ~     ~          |    1|  652.639   pc  | -20.8900    +20.8900    |ST-L    |2020AJ....160...83S
5710|TYC 8953-786-1                                                                                           |Star                              |09 28 02.0812823184 -66 02 43.613837124|284.2317187357464 -10.8697066505991|   -6.607 4.872   |10.27    |~              |    ~     ~          |    1| 1304.972   pc  | -19.2434    +19.2434    |paral   |2020yCat.1350....0G
5711|TYC 8953-894-1                                                                                           |Star                              |09 29 23.2656325776 -65 55 10.283495952|284.2418411189124 -10.6833897164936|   -9.049 2.029   |10.94    |~              |    ~     ~          |    1|  744.158   pc  |  -7.2544     +7.2544    |paral   |2020yCat.1350....0G
5712|TYC 8953-917-1                                                                                           |Star                              |09 26 35.0220684984 -66 05 25.112965812|284.1575951146349 -11.0052387066673| -11.029 10.042   |10.71    |~              |    ~     ~          |    1| 1839.250   pc  | -49.7277    +49.7277    |paral   |2020yCat.1350....0G
5713|HD 311216                                                                                                |Star                              |09 26 50.6152264896 -66 03 47.880264816|284.1571583971136 -10.9675100033739|   -7.679 6.437   |10.36    |A0             |    ~     ~          |    1|  843.882   pc  | -10.1123    +10.1123    |paral   |2020yCat.1350....0G
5714|TYC 8953-1014-1                                                                                          |Star                              |09 27 12.7104832512 -66 03 15.115643784|284.1775864272461 -10.9347028198501|  -8.175 -2.907   |10.225   |~              |    ~     ~          |    1|  840.065   pc  | -55.6800    +55.6800    |ST-L    |2020AJ....160...83S
5715|TYC 8953-1118-1                                                                                          |Star                              |09 26 03.1685748984 -66 30 07.831337724|284.4163180277410 -11.3339557407230| -13.286 10.610   |10.496   |~              |    ~     ~          |    1|  798.790   pc  | -35.2800    +35.2800    |ST-L    |2020AJ....160...83S
5716|TYC 8953-1258-1                                                                                          |Star                              |09 29 37.7959052712 -66 52 07.322064240|284.9358567868098 -11.3447928273806| -10.018 15.128   |10.902   |~              |    ~     ~          |    1|  732.066   pc  | -24.0500    +24.0500    |ST-L    |2020AJ....160...83S
5717|TYC 8953-1528-1                                                                                          |Star                              |09 26 00.2424709632 -66 03 23.977629936|284.0910264827971 -11.0230373561890|   3.197 -0.452   |10.78    |~              |    ~     ~          |    1|  553.833   pc  |  -3.6501     +3.6501    |paral   |2020yCat.1350....0G
5718|TYC 9196-514-1                                                                                           |Star                              |09 23 10.7756397552 -68 18 16.921001916|285.5354573069162 -12.7925385647747| -22.378 21.025   |10.66    |~              |    ~     ~          |    1|  505.178   pc  |  -2.9349     +2.9349    |paral   |2020yCat.1350....0G
5719|TYC 9196-1704-1                                                                                          |Star                              |09 23 41.3154252504 -67 59 29.820953472|285.3385388323260 -12.5408402533355|   -5.703 3.478   |10.299   |~              |    ~     ~          |    1| 2075.980   pc  |-180.4000   +180.4000    |ST-L    |2020AJ....160...83S
5720|TYC 9196-1790-1                                                                                          |Star                              |09 22 40.2887408280 -68 25 08.124543552|285.5865669930263 -12.9054898806267| -15.702 15.996   |10.76    |~              |    ~     ~          |    1|  287.200   pc  |  -4.3551     +4.3551    |paral   |2020yCat.1350....0G
5721|TYC 9196-2167-1                                                                                          |Star                              |09 17 27.3075177264 -68 12 34.801594452|285.0911588698869 -13.1128318849451|  -21.896 7.682   |10.790   |~              |    ~     ~          |    1|  560.616   pc  | -16.7800    +16.7800    |ST-L    |2020AJ....160...83S
5722|TYC 9196-2221-1                                                                                          |Star                              |09 18 33.9713240280 -67 46 54.377881752|284.8421668339381 -12.7453656239878|  -16.034 4.756   |10.726   |~              |    ~     ~          |    1|  789.343   pc  | -24.0300    +24.0300    |ST-L    |2020AJ....160...83S
5723|TYC 9196-2252-1                                                                                          |Star                              |09 16 09.7789175544 -67 38 18.711150792|284.5756389382556 -12.8152594714500|   -8.079 7.337   |10.435   |~              |    ~     ~          |    1|  721.996   pc  | -19.4800    +19.4800    |ST-L    |2020AJ....160...83S
5724|TYC 9196-2311-1                                                                                          |Star                              |09 20 15.6466105920 -68 08 08.681835480|285.2183946394010 -12.8717808928487| 15.644 -34.653   |10.78    |~              |    ~     ~          |    1|  284.228   pc  |  -0.7998     +0.7998    |paral   |2020yCat.1350....0G
5725|TYC 9196-2327-1                                                                                          |Star                              |09 24 54.6257712096 -67 42 48.275234676|285.2169082530124 -12.2641670757328|   0.992 -0.420   |10.725   |~              |    ~     ~          |    1| 1763.300   pc  |-153.2000   +153.2000    |ST-L    |2020AJ....160...83S
5726|TYC 9196-2332-1                                                                                          |Star                              |09 24 34.5887755032 -68 00 16.548947712|285.4074742365915 -12.4902934538428|   -3.803 7.007   |10.789   |~              |    ~     ~          |    1|  945.369   pc  | -48.1200    +48.1200    |ST-L    |2020AJ....160...83S
5727|TYC 9196-2759-1                                                                                          |Star                              |09 26 23.3831172072 -67 34 57.735770412|285.2227337804930 -12.0722523016954|   -9.705 4.344   |10.803   |~              |    ~     ~          |    1| 1019.960   pc  | -48.9200    +48.9200    |ST-L    |2020AJ....160...83S
