C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:45:06

dec< 0&rah >=4.5&rah< 4.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3608

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
85  |BD-01 678                                                                                                |Star                                |04 36 11.7774376872 -01 25 36.791069736|197.3591128057685 -30.4264435579464|    3.975 5.765   |10.14    |~                |    ~     ~    |    1|  853.388   pc  | -12.2350    +12.2350    |paral   |2020yCat.1350....0G
86  |BD-02 954                                                                                                |Star                                |04 36 19.9489599624 -01 47 47.307896880|197.7476276516723 -30.5867799048954|   0.878 -6.311   |10.40    |~                |    ~     ~    |    1|  183.756   pc  |  -0.6517     +0.6517    |paral   |2020yCat.1350....0G
87  |TYC 4734-336-1                                                                                           |Star                                |04 36 30.9243684336 -01 18 29.997726588|197.2888747016120 -30.2970486002525|   0.760 -8.388   |10.33    |~                |    ~     ~    |    1|  472.068   pc  | -20.7800    +20.7800    |ST-L    |2020AJ....160...83S
88  |BD-02 956                                                                                                |Star                                |04 36 41.4792473496 -02 04 31.613081196|198.0795934413228 -30.6519878650231|  -2.420 -7.574   |10.03    |~                |    ~     ~    |    1|  378.129   pc  |  -2.4879     +2.4879    |paral   |2020yCat.1350....0G
89  |TYC 4735-999-1                                                                                           |Star                                |04 37 39.1146128136 -01 20 24.745724736|197.4894673521106 -30.0698168891268|  -7.748 -2.212   |10.83    |~                |    ~     ~    |    1|  408.447   pc  |  -3.0029     +3.0029    |paral   |2020yCat.1350....0G
90  |TYC 4735-693-1                                                                                           |Star                                |04 37 53.9428723392 -00 58 17.549889996|197.1613791087572 -29.8270926439279| -46.283 -5.943   |10.7     |~                |    ~     ~    |    1|   85.877   pc  |  -0.1114     +0.1114    |paral   |2020yCat.1350....0G
91  |TYC 4735-892-1                                                                                           |Star                                |04 38 24.7520019864 -01 22 04.910298672|197.6296490686480 -29.9209087548637|  -2.656 -7.129   |10.78    |~                |    ~     ~    |    1|  994.233   pc  | -16.5080    +16.5080    |paral   |2020yCat.1350....0G
92  |TYC 4735-151-1                                                                                           |Star                                |04 38 26.5533016272 -00 13 56.107415748|196.5154202972718 -29.3276799949104|  -6.605 -9.618   |9.98     |~                |    ~     ~    |    1|  738.607   pc  |  -9.7652     +9.7652    |paral   |2020yCat.1350....0G
93  |TYC 4735-984-1                                                                                           |Star                                |04 38 41.7887908536 -01 19 07.193817732|197.6227132599529 -29.8346699360610|  16.751 -9.794   |10.74    |~                |    ~     ~    |    1|  197.394   pc  |  -0.6702     +0.6702    |paral   |2020yCat.1350....0G
94  |TYC 4735-1216-1                                                                                          |Star                                |04 39 46.0927958760 -01 08 12.335424684|197.6010355300477 -29.5114208388265|  -7.894 -3.553   |10.18    |~                |    ~     ~    |    1|  320.862   pc  |  -2.3885     +2.3885    |paral   |2020yCat.1350....0G
95  |TYC 4735-138-1                                                                                           |Star                                |04 39 55.8527241960 -00 12 13.152759588|196.7090334867887 -28.9950020807995|   2.475 -1.991   |10.3     |~                |    ~     ~    |    1| 2035.416   pc  |-130.9162   +130.9162    |paral   |2020yCat.1350....0G
96  |BD-01 691                                                                                                |Star                                |04 40 16.3862181096 -01 27 21.709056780|197.9905608475315 -29.5662620109074|   0.870 -3.589   |10.06    |~                |    ~     ~    |    1|  733.084   pc  |  -9.7272     +9.7272    |paral   |2020yCat.1350....0G
97  |AKARI-IRC-V1 J0431163-020122                                                                             |Long-Period Variable Candidate      |04 31 16.3319903736 -02 01 22.969380720|197.2165261354101 -31.7882565955615|   9.331 -1.379   |10.34    |~                |    ~     ~    |    1|  671.411   pc  | -17.3555    +17.3555    |paral   |2020yCat.1350....0G
