C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:15:41

Vmag< 11&dec< 0&rah >=5.5&rah< 5.75
-----------------------------------

Number of objects : 5061

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
93  |HD 290674                                                                                                                                                                      |Star                                  |05 36 57.3189250970 -01 26 07.424856469|205.5190620260696 -17.1879458718222|    0.216 0.275   |9.84     |A0                |    ~     ~    
94  |HD 290770                                                                                                                                                                      |Emission-line Star                    |05 37 02.4474064872 -01 37 21.363674700|205.7026281237141 -17.2569355795907|  -0.401 -0.645   |9.30     |B9                |    ~     ~    
95  |HD 37272                                                                                                                                                                       |Star                                  |05 37 14.5244816448 -01 40 03.808050276|205.7690508960951 -17.2336537920919|   1.693 -1.157   |7.87     |B7III/IV          |    ~     ~    
96  |HD 37285                                                                                                                                                                       |Double or Multiple Star               |05 37 20.4065 -01 46 16.348            |205.8768013 -17.2604755            |       -1.3 2.6   |9.03     |A0V               |    ~     ~    
97  |HD 290617                                                                                                                                                                      |Star                                  |05 33 08.7106203216 -01 55 33.797202600|205.5045363271601 -18.2589691584789|   -1.727 2.430   |9.37     |A5                |    ~     ~    
98  |V* VV Ori                                                                                                                                                                      |Eclipsing Binary                      |05 33 31.4464933704 -01 09 21.859452468|204.8370908629358 -17.8128024309854|  -1.088 -1.183   |5.34     |B1V+B4.5V         |    ~     ~    
99  |HD 290491                                                                                                                                                                      |Star                                  |05 31 18.9937056024 -00 11 13.296137352|203.6659912675934 -17.8378025554012|    3.257 4.192   |10.22    |A0                |    ~     ~    
100 |HD 290693                                                                                                                                                                      |Star                                  |05 34 39.8358676728 -01 57 28.176808932|205.7212615784200 -17.9387027503440|   4.802 -3.926   |10.68    |A0IIICrEuSi       |    ~     ~    
101 |HD 290535                                                                                                                                                                      |Star                                  |05 30 11.1635110488 -01 41 07.364634720|204.9135800109979 -18.7981300641261|  -3.588 -6.151   |10.8     |A3                |    ~     ~    
102 |HD 290578                                                                                                                                                                      |Star                                  |05 32 41.2374373344 -00 38 05.698807332|204.2510467315072 -17.7500203954206|  -0.049 -0.348   |10.7     |B9                |    ~     ~    
103 |HD 290583A                                                                                                                                                                     |Star                                  |05 32 14.7961326192 -00 51 22.737669300|204.4007808423854 -17.9521099348408|  -1.496 -1.608   |10.75    |A7                |    ~     ~    
104 |HD 290574                                                                                                                                                                      |Star                                  |05 33 22.4416221144 -00 20 03.617505132|204.0593520905300 -17.4560229020693|  -0.682 -2.761   |10.9     |B8                |    ~     ~    
105 |HD 290489                                                                                                                                                                      |Star                                  |05 30 43.8292444344 -00 07 22.844712792|203.5332832220275 -17.9358601766535|   17.806 0.884   |10.19    |F5                |    ~     ~    
106 |HD 290645                                                                                                                                                                      |Star                                  |05 34 08.4139065288 -00 24 03.400887312|204.2162465170622 -17.3192414253791|  -21.812 1.947   |10.17    |G5                |    ~     ~    
107 |HD 290643                                                                                                                                                                      |Star                                  |05 34 52.9847226432 -00 10 36.052488912|204.1022466751215 -17.0492035151268|  9.118 -16.760   |10.9     |F5                |    ~     ~    
108 |HD 290653                                                                                                                                                                      |Star                                  |05 35 49.3185145104 -00 21 38.382277716|204.3881675276248 -16.9301563948303|   -4.327 8.258   |10.8     |G0                |    ~     ~    
109 |HD 290641                                                                                                                                                                      |High Proper Motion Star               |05 36 26.6278811208 -00 01 23.675668356|204.1552523809428 -16.6330194168391| 41.012 -65.149   |10.7     |G0                |    ~     ~    
110 |HD 290655                                                                                                                                                                      |Star                                  |05 36 44.3932488360 -00 18 07.256442312|204.4480177819216 -16.7003401679723|  -0.840 -0.896   |10.7     |F0                |    ~     ~    
111 |HD 290514                                                                                                                                                                      |Star                                  |05 30 38.3488280424 -00 52 09.061857516|204.2118872015196 -18.3118299141454| 16.715 -15.871   |10.8     |F8                |    ~     ~    
112 |HD 290508                                                                                                                                                                      |Star                                  |05 31 03.7935788448 -00 53 55.092193872|204.2922238552873 -18.2325490459771|  -1.194 -0.736   |10.7     |F5                |    ~     ~    
113 |HD 290584                                                                                                                                                                      |High Proper Motion Star               |05 31 54.4137876696 -00 49 56.014406544|204.3361103734134 -18.0154159990033|29.310 -114.592   |10.3     |G5                |    ~     ~    
114 |HD 290579                                                                                                                                                                      |High Proper Motion Star               |05 32 24.8684979384 -00 42 39.687156756|204.2873450183562 -17.8461925094512|   12.90 -50.60   |10.5     |F5                |    ~     ~    
115 |HD 290581                                                                                                                                                                      |High Proper Motion Star               |05 33 18.7647841728 -00 50 12.877768284|204.5156142295705 -17.7082817423678| 57.995 -52.754   |10.5     |G0                |    ~     ~    
116 |HD 290667                                                                                                                                                                      |Spectroscopic Binary                  |05 34 24.2386871304 -00 55 19.290966492|204.7297963616438 -17.5083437488828|  1.703 -24.131   |10.7     |G0                |    ~     ~    
117 |HD 290649                                                                                                                                                                      |Star                                  |05 35 16.8108193536 -00 35 22.188906276|204.5316598837560 -17.1579490897235|  -1.002 -0.569   |10.9     |F0                |    ~     ~    
118 |HD 290509                                                                                                                                                                      |Star                                  |05 31 26.4126669720 -00 58 33.127094136|204.4108742579407 -18.1862722954021| 31.442 -11.822   |10.38    |F0                |    ~     ~    
119 |HD 290592                                                                                                                                                                      |Star                                  |05 32 19.6353934848 -01 24 13.431939696|204.9180617135105 -18.1934447605578|  -3.060 -8.364   |10.57    |G0                |    ~     ~    
120 |HD 290591                                                                                                                                                                      |Star                                  |05 32 34.0948650504 -01 22 10.574598972|204.9163241276086 -18.1242378227331|   -0.295 4.153   |10.23    |K0                |    ~     ~    
121 |HD 290587                                                                                                                                                                      |Star                                  |05 32 34.7678815440 -01 10 35.108247036|204.7386197427842 -18.0304821621312|-16.717 -21.906   |10.68    |F8                |    ~     ~    
122 |HD 290586                                                                                                                                                                      |Star                                  |05 32 09.2159158080 -01 01 31.522075752|204.5457398264441 -18.0527655869458|  1.368 -48.326   |10.25    |G5                |    ~     ~    
123 |HD 290585                                                                                                                                                                      |Pulsating Variable                    |05 32 21.7928419752 -01 01 19.148902824|204.5686630020299 -18.0049956931362|    0.566 0.125   |10.98    |F0                |    ~     ~    
124 |HD 290589                                                                                                                                                                      |Star                                  |05 33 00.1936150392 -01 20 11.045695488|204.9395180698627 -18.0127253533391|  17.065 -4.990   |10.20    |G0                |    ~     ~    
