C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:15:41

Vmag< 11&dec< 0&rah >=5.5&rah< 5.75
-----------------------------------

Number of objects : 5061

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
4276|HD 269840                                                                                                                                                                      |Yellow Supergiant                     |05 36 10.0810875264 -68 55 41.264091912|279.2948545833589 -31.9179899457373|    1.668 0.667   |10.334   |F3Ia              |    ~     ~    
4277|HD 269832                                                                                                                                                                      |Blue Supergiant                       |05 36 04.5099873096 -69 24 08.319327732|279.8501707983440 -31.8668272664600|    1.738 0.569   |10.36    |B9Ia              |    ~     ~    
4278|HD 269859                                                                                                                                                                      |Blue Supergiant                       |05 36 47.1875018688 -69 29 52.090414152|279.9523308060186 -31.7927918740626|    1.806 0.558   |10.730   |B1Ia              |    ~     ~    
4279|HD 269923                                                                                                                                                                      |Star                                  |05 38 51.0852900264 -69 29 52.895319684|279.9267398001881 -31.6132990068281|    1.777 0.633   |10.30    |OB                |    ~     ~    
4280|HD 38329                                                                                                                                                                       |Double or Multiple Star               |05 38 49.905192 -69 44 26.87028        |280.209997376 -31.586190953        |     -12.9 -2.0   |9.345    |F2V               |    ~     ~    
4281|HD 269927                                                                                                                                                                      |Double or Multiple Star               |05 38 58.856976 -69 29 22.47504        |279.915327278 -31.603022102        |       3.1 -3.7   |10.68    |B0I+O7If          |    ~     ~    
4282|HD 269953                                                                                                                                                                      |Yellow Supergiant                     |05 40 12.1666201344 -69 40 04.853223012|280.1089073831218 -31.4766116073828|    1.888 0.720   |9.95     |G0_0              |    ~     ~    
4283|CPD-69 483                                                                                                                                                                     |Long-Period Variable                  |05 40 17.5213533072 -69 30 57.517216668|279.9307344877975 -31.4859872744638|    1.848 0.731   |10.944   |F0:Ia0            |    ~     ~    
4284|HD 269982                                                                                                                                                                      |Evolved Supergiant                    |05 40 57.8100594504 -69 15 31.143653028|279.6232837545510 -31.4552288906861|    1.805 0.485   |10.79    |A3Ia              |    ~     ~    
4285|HD 269991                                                                                                                                                                      |Star                                  |05 41 20.7222298968 -69 34 05.983448196|279.9798990791373 -31.3887626844938|   5.644 16.536   |10.54    |G0                |    ~     ~    
4286|HD 270027                                                                                                                                                                      |Star                                  |05 42 54.0 -69 24 00                   |279.7674 -31.2707                  |            ~ ~   |10.294   |F5                |    ~     ~    
4287|HD 270046                                                                                                                                                                      |Star                                  |05 43 25.1858081160 -69 14 54.629414016|279.5857787378171 -31.2398399618922|    1.846 0.797   |10.38    |G5I               |    ~     ~    
4288|HD 270056                                                                                                                                                                      |Star                                  |05 44 03.8379750312 -69 29 06.948307140|279.8549569343895 -31.1607129895996|  20.996 44.306   |9.84     |F5III             |    ~     ~    
4289|HD 38215                                                                                                                                                                       |High Proper Motion Star               |05 37 58.1961865200 -69 57 27.091798416|280.4732648005724 -31.6332064249907| 52.531 172.106   |8.15     |G5V               |    ~     ~    
4290|HD 269704                                                                                                                                                                      |Star                                  |05 31 58.9082837232 -69 09 39.170945016|279.6256453269893 -32.2581623888775|   0.400 12.910   |9.94     |K3.5III-IV        |    ~     ~    
4291|HD 37122                                                                                                                                                                       |Star                                  |05 30 00.7690580568 -69 58 31.870920828|280.6088540316074 -32.3051050955826|   8.077 13.791   |8.23     |K2III             |    ~     ~    
4292|HD 37762                                                                                                                                                                       |Star                                  |05 34 47.1130064112 -70 10 19.934274828|280.7661409635510 -31.8735300950922| -5.935 -24.470   |8.18     |K0III             |    ~     ~    
4293|HD 38706                                                                                                                                                                       |Star                                  |05 41 29.7316914096 -70 02 01.558202712|280.5199803901604 -31.3247634648336|    4.523 5.251   |9.10     |M4III             |    ~     ~    
4294|HD 39015                                                                                                                                                                       |Star                                  |05 43 36.4280037576 -70 04 14.284001064|280.5401533499664 -31.1417393527780|  -10.254 2.014   |9.68     |F0V               |    ~     ~    
4295|NGC 2070                           NAME Tarantula                     NAME 30 Dor Association            NAME 30 Dor Cluster                NGC 2070                           |Cluster of Stars                      |05 38 42.0 -69 06 00                   |279.4642 -31.6726                  |            ~ ~   |7.25     |~                 | 3.50  3.50    
4296|NGC 2015                           NGC 2015                                                                                                                                    |Association of Stars                  |05 32 08.300 -69 14 33.25              |279.718903 -32.232768              |            ~ ~   |10.43    |~                 | 1.00  0.90    
4297|NGC 2042                           NAME LH89n                         NGC 2042                                                                                                 |Cluster of Stars                      |05 36 09.980 -68 54 53.78              |279.279454 -31.919754              |            ~ ~   |9.58     |~                 | 0.95  0.95    
4298|NGC 2050                           NGC 2050                                                                                                                                    |Association of Stars                  |05 36 36.0 -69 24 12                   |279.8445 -31.8209                  |            ~ ~   |9.25     |~                 |    ~     ~    
4299|NGC 2078                           NGC 2078                                                                                                                                    |Emission Object                       |05 39 54.0 -69 44 54                   |280.2060 -31.4935                  |            ~ ~   |10.89    |~                 |    ~     ~    
4300|NGC 2098                           NGC 2098                                                                                                                                    |Cluster of Stars                      |05 42 29.630 -68 16 26.35              |278.458909 -31.413476              |            ~ ~   |10.73    |~                 | 2.20  2.00    
4301|NGC 2055                           NGC 2055                                                                                                                                    |Association of Stars                  |05 36 44.0 -69 29 54                   |279.9536 -31.7973                  |            ~ ~   |8.39     |~                 |    ~     ~    
4302|LH 98                                                                                                                                                                          |Association of Stars                  |05 36 46.0 -69 26 30                   |279.8871 -31.8016                  |            ~ ~   |10.38    |~                 |    ~     ~    
4303|LH 100                                                                                                                                                                         |Association of Stars                  |05 38 40.0 -69 05 48                   |279.4607 -31.6759                  |            ~ ~   |5.40     |~                 |    ~     ~    
4304|LH 105                                                                                                                                                                         |Association of Stars                  |05 39 54.0 -69 44 54                   |280.2060 -31.4935                  |            ~ ~   |8.73     |~                 |    ~     ~    
4305|LH 103                                                                                                                                                                         |Association of Stars                  |05 39 57.0 -69 39 36                   |280.1025 -31.4993                  |            ~ ~   |8.09     |~                 |    ~     ~    
4306|LH 111                                                                                                                                                                         |Association of Stars                  |05 42 09.0 -69 12 36                   |279.5539 -31.3556                  |            ~ ~   |8.94     |~                 |    ~     ~    
4307|LH 104                                                                                                                                                                         |Association of Stars                  |05 39 59.0 -69 24 06                   |279.8010 -31.5256                  |            ~ ~   |9.94     |~                 |    ~     ~    
4308|LH 85                                                                                                                                                                          |Association of Stars                  |05 35 40.0 -68 52 00                   |279.2295 -31.9703                  |            ~ ~   |10.71    |~                 |    ~     ~    
4309|LH 97                                                                                                                                                                          |Association of Stars                  |05 37 30.0 -69 20 36                   |279.7629 -31.7497                  |            ~ ~   |9.97     |~                 |    ~     ~    
4310|[MG73] 59                                                                                                                                                                      |Yellow Supergiant                     |05 36 26.7712789344 -69 23 51.238468392|279.8397471324042 -31.8350596837551|    1.766 0.553   |10.68    |G1Ia              |    ~     ~    
4311|[MG73] 94                                                                                                                                                                      |Red Supergiant                        |05 38 17.0152617840 -69 04 00.907531536|279.4305289938831 -31.7132871452323|    1.813 0.612   |10.64    |K4Iab             |    ~     ~    
4312|HD 269858                                                                                                                                                                      |Blue Supergiant                       |05 36 43.6936418088 -69 29 47.451149232|279.9515829585915 -31.7980125592832|    1.766 0.523   |10.15    |LBV               |    ~     ~    
4313|HD 269700                                                                                                                                                                      |Blue Supergiant                       |05 31 52.2818122296 -68 32 38.857949016|278.9046897492711 -32.3539308089328|    1.634 0.502   |10.54    |B1.5Iaeq          |    ~     ~    
4314|HD 269902                                                                                                                                                                      |Evolved Supergiant                    |05 38 09.5829719016 -69 06 21.316154364|279.4775733436440 -31.7197590385034|    1.712 0.563   |10.23    |A1Ia+             |    ~     ~    
4315|HD 37836                                                                                                                                                                       |Emission-line Star                    |05 35 16.6328047632 -69 40 38.439373260|280.1820405889473 -31.8999204008234|    1.781 0.505   |10.599   |B0e(q)            |    ~     ~    
4316|HD 269959                                                                                                                                                                      |High Proper Motion Star               |05 40 05.9151571608 -68 44 27.313920780|279.0288522287432 -31.5866892922869| 15.354 125.113   |10.42    |G0                |    ~     ~    
4317|HD 269975                                                                                                                                                                      |Star                                  |05 40 44.7250732872 -68 56 28.130569044|279.2554197239996 -31.5078427704370|    4.104 4.331   |9.26     |K0II-III          |    ~     ~    
4318|HD 39194                                                                                                                                                                       |High Proper Motion Star               |05 44 31.9179600882 -70 08 36.857795874|280.6155193566781 -31.0560401112738|-309.273 1238.862 |8.075    |K0V               |    ~     ~    
4319|HD 269662                                                                                                                                                                      |Evolved Supergiant                    |05 30 51.4749432240 -69 02 58.590657600|279.5124458362027 -32.3733634732095|    1.720 0.512   |10.28    |A0Ia              |    ~     ~    
4320|KMHK 1059                                                                                                                                                                      |Cluster of Stars                      |05 33 18.1 -67 31 20                   |277.6847 -32.3517                  |            ~ ~   |10.19    |~                 |    ~     ~    
4321|NGC 2069                           NGC 2069                                                                                                                                    |Interstellar Medium Object            |05 38 42.0 -69 00 30                   |279.3571 -31.6830                  |            ~ ~   |10.10    |~                 |    ~     ~    
4322|NGC 2044                           NGC 2044                                                                                                                                    |Association of Stars                  |05 36 11.0 -69 11 48                   |279.6085 -31.8834                  |            ~ ~   |10.59    |~                 | 0.95  0.90    
4323|HD 37974                                                                                                                                                                       |Blue Supergiant                       |05 36 25.8534763728 -69 22 55.789571064|279.8219621976804 -31.8383396034933|    1.757 0.543   |10.99    |B0.5e             |    ~     ~    
4324|HD 269663                                                                                                                                                                      |Star                                  |05 30 55.1321919672 -69 58 47.272189836|280.5994017817437 -32.2278445285882|    3.473 1.628   |10.462   |K0                |    ~     ~    
4325|HD 269747                                                                                                                                                                      |Star                                  |05 33 15.4636953552 -68 34 38.385020172|278.9236116306155 -32.2239487174697|   4.376 -0.616   |10.18    |G5                |    ~     ~    
4326|HD 269779                                                                                                                                                                      |Star                                  |05 34 29.4011886048 -68 00 48.949929108|278.2457815724142 -32.1814718077364|  1.584 -19.328   |10.12    |K7                |    ~     ~    
4327|HD 269820                                                                                                                                                                      |Star                                  |05 35 50.6904325968 -69 29 17.838401892|279.9536351296710 -31.8757986042456|   5.557 15.180   |9.66     |K0                |    ~     ~    
4328|HD 269847                                                                                                                                                                      |Red Giant Branch star                 |05 36 00.2085501432 -67 37 41.818845432|277.7744677773960 -32.0836346723678|  -3.341 17.747   |10.52    |K2III             |    ~     ~    
4329|HD 269903                                                                                                                                                                      |Star                                  |05 38 04.4471637120 -68 45 43.196633496|279.0768458288881 -31.7667454707741|    9.953 6.306   |10.36    |G0                |    ~     ~    
4330|HD 269924                                                                                                                                                                      |Star                                  |05 38 49.3258527576 -69 27 06.563729952|279.8732104603994 -31.6212646032810|   2.698 -0.807   |10.42    |M0III             |    ~     ~    
4331|HD 269968                                                                                                                                                                      |Star                                  |05 40 10.8504488328 -68 25 32.132506116|278.6596734087918 -31.6114713847568|   2.688 14.281   |10.28    |K0                |    ~     ~    
4332|HD 269984                                                                                                                                                                      |Star                                  |05 40 32.8701098640 -68 14 53.949881292|278.4486231060677 -31.5952707040047|    3.521 3.362   |9.94     |K5                |    ~     ~    
4333|HD 269981                                                                                                                                                                      |Star                                  |05 40 45.4744562664 -68 49 20.341147008|279.1166364016499 -31.5189524939026| -10.813 45.981   |10.56    |F5                |    ~     ~    
4334|HD 269979                                                                                                                                                                      |High Proper Motion Star               |05 40 55.0587630672 -69 10 32.661141564|279.5271304954119 -31.4680352144481|  49.461 78.713   |10.30    |G0                |    ~     ~    
4335|HD 270036                                                                                                                                                                      |Star                                  |05 42 42.6234973680 -68 24 57.397063932|278.6224531564259 -31.3808616349978| -15.902 -0.768   |9.61     |K0                |    ~     ~    
4336|HD 270044                                                                                                                                                                      |Star                                  |05 42 52.7777401536 -68 23 39.824957832|278.5956855364880 -31.3672791559973|   3.193 15.486   |10.693   |M0                |    ~     ~    
4337|HD 270045                                                                                                                                                                      |Star                                  |05 43 50.1135253680 -69 58 11.983669896|280.4208608029303 -31.1326759751263|    0.423 6.700   |10.377   |K5                |    ~     ~    
4338|HD 269893                                                                                                                                                                      |Star                                  |05 38 09.2653244304 -70 00 06.825080052|280.5226270280124 -31.6119631222811|    5.666 9.513   |10.44    |K7                |    ~     ~    
4339|NGC 2083                           NGC 2083                                                                                                                                    |Cluster of Stars                      |05 39 59.0 -69 44 06                   |280.1895 -31.4879                  |            ~ ~   |10.83    |~                 |    ~     ~    
4340|HD 269955                                                                                                                                                                      |Star                                  |05 40 25.9039495464 -69 51 30.508419600|280.3280758610994 -31.4352240764997|    2.538 4.725   |9.76     |G5                |    ~     ~    
4341|HD 269740                                                                                                                                                                      |Spectroscopic Binary                  |05 33 06.4227448632 -68 15 36.542384712|278.5538407753169 -32.2787203880503|   4.285 11.295   |10.41    |K5                |    ~     ~    
4342|HD 269757                                                                                                                                                                      |Star                                  |05 33 51.2469525864 -69 46 46.783641540|280.3214850101576 -32.0079231773027|   -6.435 1.845   |10.64    |G8/K0             |    ~     ~    
4343|HD 269776                                                                                                                                                                      |Star                                  |05 34 26.8138244280 -68 13 24.638973600|278.4925280201602 -32.1601062307269| -10.460 47.345   |10.81    |F8                |    ~     ~    
4344|HD 269819                                                                                                                                                                      |High Proper Motion Star               |05 35 43.9847881392 -69 02 39.574809996|279.4364071607678 -31.9422756653249|  18.151 49.025   |10.57    |G0                |    ~     ~    
4345|HD 269871                                                                                                                                                                      |Star                                  |05 36 34.7916965856 -67 31 06.693124872|277.6387413584483 -32.0407626980733|  -1.548 15.451   |10.737   |K7                |    ~     ~    
4346|HD 269874                                                                                                                                                                      |Star                                  |05 36 51.8280004344 -68 07 55.156456416|278.3544029707839 -31.9476922704204|   5.346 20.661   |10.69    |K7                |    ~     ~    
4347|HD 269899                                                                                                                                                                      |Spectroscopic Binary                  |05 37 43.4436583392 -67 58 55.615543140|278.1686135145830 -31.8840506190581|-14.150 -30.033   |10.68    |G0                |    ~     ~    
4348|HD 269922                                                                                                                                                                      |Star                                  |05 38 43.4869108440 -69 17 00.546934560|279.6780043688240 -31.6493537668977|  1.093 -14.277   |10.33    |G0                |    ~     ~    
4349|HD 269963                                                                                                                                                                      |Star                                  |05 39 44.4737093112 -67 37 09.012093024|277.7213004224227 -31.7306663561724|   9.256 17.561   |10.72    |K0                |    ~     ~    
4350|HD 269934                                                                                                                                                                      |Star                                  |05 39 29.3151989352 -69 57 10.933864776|280.4492983496607 -31.5046097155755|   -5.110 9.764   |10.71    |G5                |    ~     ~    
4351|HD 269946                                                                                                                                                                      |Star                                  |05 39 38.7850394688 -68 56 48.181797024|279.2741841572784 -31.6054107782276|   0.584 13.473   |10.73    |M0                |    ~     ~    
4352|HD 269974                                                                                                                                                                      |High Proper Motion Star               |05 41 12.5043313872 -70 01 05.224647216|280.5050045187786 -31.3508877535322|   7.369 48.216   |10.86    |G5                |    ~     ~    
4353|HD 270032                                                                                                                                                                      |Star                                  |05 42 05.0951550504 -67 37 46.241441184|277.7101146286227 -31.5075832196046|   17.304 9.525   |10.99    |K0                |    ~     ~    
4354|HD 270023                                                                                                                                                                      |Star                                  |05 42 13.8342933984 -68 41 34.948943628|278.9504165196494 -31.3989465314719|   5.365 11.747   |10.611   |M0                |    ~     ~    
4355|HD 270028                                                                                                                                                                      |Star                                  |05 42 52.6201258896 -69 24 03.672551844|279.7688046102921 -31.2726293586522| -11.352 30.351   |10.497   |F5                |    ~     ~    
4356|HD 270021                                                                                                                                                                      |Star                                  |05 42 50.9837631888 -70 00 14.539193460|280.4706590952973 -31.2130059488668|    0.140 6.294   |10.483   |K0                |    ~     ~    
4357|HD 270062                                                                                                                                                                      |Star                                  |05 43 29.0907503232 -68 04 20.049272400|278.2141858416642 -31.3390864814785| -11.875 38.789   |9.36     |G0                |    ~     ~    
4358|HD 270071                                                                                                                                                                      |High Proper Motion Star               |05 44 06.4089603288 -68 12 48.367795212|278.3732890980590 -31.2697429752579|  13.488 61.123   |10.96    |K5                |    ~     ~    
4359|HD 269724                                                                                                                                                                      |Red Giant Branch star                 |05 32 28.1935142760 -67 45 47.817859644|277.9794209071372 -32.4007754911644|    2.206 2.087   |10.559   |M0III             |    ~     ~    
4360|HD 269921                                                                                                                                                                      |Eruptive Variable                     |05 38 34.5139614792 -68 53 06.660980340|279.2147925898260 -31.7079351405438|  20.613 31.840   |10.261   |G7V               |    ~     ~    
4361|HD 269649                                                                                                                                                                      |Emission-line Star                    |05 30 22.5574348848 -69 19 38.934337548|279.8453356188254 -32.3744657045007|    1.742 0.445   |10.69    |B2.5:             |    ~     ~    
4362|CPD-67 493                                                                                                                                                                     |Star                                  |05 41 44.2855854024 -67 29 02.072314788|277.5431619884912 -31.5528076087503|  -0.264 41.459   |10.92    |~                 |    ~     ~    
4363|HD 269800                                                                                                                                                                      |Spectroscopic Binary                  |05 35 03.3058062624 -68 18 38.338716816|278.5866053515201 -32.0936575294204|   0.485 -6.638   |10.46    |K7                |    ~     ~    
4364|HD 269782                                                                                                                                                                      |Star                                  |05 34 38.0649586392 -68 13 51.765403260|278.4988631426003 -32.1419297813448| -10.338 11.736   |10.48    |Gn                |    ~     ~    
4365|HD 269829                                                                                                                                                                      |Star                                  |05 35 47.8905982992 -68 17 46.893777432|278.5602349747052 -32.0271645436822|  -5.179 -1.867   |10.52    |K0                |    ~     ~    
4366|HD 269867                                                                                                                                                                      |Star                                  |05 36 49.7762444184 -68 36 37.261442412|278.9147700436773 -31.8964557676712|    1.978 3.007   |10.90    |K5                |    ~     ~    
4367|HD 269938                                                                                                                                                                      |Star                                  |05 39 25.7428998216 -69 11 36.138570396|279.5645327242633 -31.5975872294585|    1.249 6.548   |10.94    |G5V               |    ~     ~    
4368|HTR 22                                                                                                                                                                         |Star                                  |05 39 26.7 -69 11 43                   |279.5666 -31.5960                  |            ~ ~   |10.82    |M                 |    ~     ~    
4369|NGC 2035                           NGC 2035                                                                                                                                    |Interstellar Medium Object            |05 35 32.0 -67 35 06                   |277.7295 -32.1329                  |            ~ ~   |10.99    |~                 |    ~     ~    
4370|NGC 2037                           NGC 2037                                                                                                                                    |Interstellar Medium Object            |05 34 58.0 -69 43 48                   |280.2478 -31.9195                  |            ~ ~   |10.31    |~                 |    ~     ~    
4371|H88 301                                                                                                                                                                        |Cluster of Stars                      |05 38 16.0 -69 04 00                   |279.4304 -31.7148                  |            ~ ~   |10.89    |~                 | 0.75  0.75    
4372|HD 270041                                                                                                                                                                      |Star                                  |05 43 09.1267262280 -69 03 21.547140084|279.3642341008068 -31.2818826810858|   0.441 12.228   |10.85    |K7                |    ~     ~    
4373|CD-67 381                                                                                                                                                                      |Long-Period Variable Candidate        |05 43 46.6598610624 -67 41 58.821116568|277.7767943899436 -31.3416050813342|   6.944 16.401   |9.84     |M5/6III           |    ~     ~    
4374|WOH S 414                                                                                                                                                                      |Star                                  |05 34 25.8958681464 -69 21 48.039329124|279.8270040940168 -32.0153713886247|   2.370 10.854   |10.968   |M                 |    ~     ~    
4375|HD 38654                                                                                                                                                                       |Star                                  |05 41 30.9973757256 -68 52 45.857032608|279.1751316443481 -31.4451019102025|  -1.186 -0.358   |9.440    |M0/1              |    ~     ~    
4376|HD 269890                                                                                                                                                                      |Star                                  |05 37 35.2896839208 -68 25 57.431628264|278.6975425662183 -31.8476891350149|   -7.160 2.284   |10.447   |G5                |    ~     ~    
4377|HD 269862                                                                                                                                                                      |Star                                  |05 37 02.6570110680 -70 03 33.776707644|280.6038796866879 -31.6985935370551|   1.215 -1.666   |10.630   |M1III             |    ~     ~    
4378|HD 269835                                                                                                                                                                      |Red Giant Branch star                 |05 35 43.9835082360 -67 43 15.499220916|277.8865476636081 -32.0989449690048|  -0.348 13.819   |10.68    |K2-5III           |    ~     ~    
4379|NGC 2060                           NAME 30 Dor B                      NGC 2060                                                                                                 |SuperNova Remnant                     |05 37 51.4466169456 -69 10 23.947092084|279.5599721538728 -31.7385949169938|    1.847 0.503   |9.59     |~                 | 1.70  1.70    
4380|HD 269723                                                                                                                                                                      |Yellow Supergiant                     |05 32 24.9642601152 -67 41 53.614053924|277.9037218736793 -32.4139636277272|    1.617 0.519   |9.91     |G4_0              |    ~     ~    
4381|HD 269697                                                                                                                                                                      |Yellow Supergiant                     |05 31 38.4223359696 -67 28 11.562011760|277.6461647901185 -32.5158906170995|    1.641 0.550   |10.28    |F6Ia              |    ~     ~    
4382|HD 269707                                                                                                                                                                      |Star                                  |05 31 58.1422884264 -67 48 54.403594956|278.0474212468721 -32.4411704510220|  -0.232 -2.471   |9.59     |K0                |    ~     ~    
4383|HD 269674                                                                                                                                                                      |Star                                  |05 31 07.3657797336 -68 06 39.760075296|278.4074649280702 -32.4810380650788| -7.642 -13.496   |10.10    |F5                |    ~     ~    
4384|KMHK 1028                                                                                                                                                                      |Association of Stars                  |05 31 59.0 -67 22 06                   |277.5218 -32.4958                  |            ~ ~   |10.70    |~                 | 0.65  0.55    
4385|NGC 2011                           NGC 2011                                                                                                                                    |Cluster of Stars                      |05 32 19.0 -67 31 18                   |277.6975 -32.4452                  |            ~ ~   |10.58    |~                 | 1.00  1.00    
4386|HD 269646                                                                                                                                                                      |Star                                  |05 30 17.9168053728 -67 56 18.150985284|278.2169237315311 -32.5807982011833|   1.962 -0.401   |10.26    |K5                |    ~     ~    
4387|HD 269652                                                                                                                                                                      |Star                                  |05 30 33.5722209168 -68 00 32.604317856|278.2960647235760 -32.5469524730187|    3.854 4.759   |10.71    |K2                |    ~     ~    
4388|HD 269650                                                                                                                                                                      |Star                                  |05 30 29.2216410984 -68 06 23.173141824|278.4115992685800 -32.5403724687218|   -2.174 8.980   |9.87     |K2                |    ~     ~    
4389|NGC 2014                           NGC 2014                                                                                                                                    |Association of Stars                  |05 32 24.0 -67 41 18                   |277.8923 -32.4167                  |            ~ ~   |8.97     |~                 |    ~     ~    
4390|HD 37180                                                                                                                                                                       |Star                                  |05 30 28.3987644744 -70 11 37.340797020|280.8561816306008 -32.2315675320243|   -7.583 1.444   |9.52     |K0III             |    ~     ~    
4391|HD 37181                                                                                                                                                                       |Star                                  |05 30 15.9236274816 -70 49 46.542760356|281.6007784072410 -32.1446065918168|   -0.722 3.590   |8.92     |K0/1III           |    ~     ~    
4392|HD 37502                                                                                                                                                                       |Star                                  |05 32 42.8584634952 -70 41 29.419498320|281.4015225866199 -31.9678351449517| -11.652 -0.813   |9.88     |F2/3IV/V          |    ~     ~    
4393|HD 37732                                                                                                                                                                       |Star                                  |05 34 31.1278076328 -70 29 44.222223588|281.1467667937078 -31.8492141771421|  -1.195 16.032   |9.71     |A2III/IV          |    ~     ~    
4394|HD 38174                                                                                                                                                                       |Star                                  |05 37 26.8661581824 -70 41 05.477683632|281.3266944823998 -31.5816391527881|-11.223 -11.269   |9.38     |K1/3              |    ~     ~    
4395|HD 38173                                                                                                                                                                       |Star                                  |05 37 36.8884463472 -70 25 09.285791484|281.0154968629892 -31.6034523632823|  12.079 11.165   |8.44     |F3/5IV            |    ~     ~    
4396|HD 38668                                                                                                                                                                       |Star                                  |05 41 11.3537319648 -70 21 22.881927276|280.8985914028608 -31.3136712055724|-25.211 -16.656   |9.91     |F6/7V             |    ~     ~    
4397|HD 38861                                                                                                                                                                       |Star                                  |05 42 32.5702440072 -70 22 55.738207308|280.9134172901660 -31.1977845159622|  14.736 18.562   |9.06     |K0III             |    ~     ~    
4398|HD 38993                                                                                                                                                                       |Star                                  |05 43 18.6894568680 -70 27 25.396062192|280.9921424432450 -31.1255358535023|    9.906 6.191   |9.35     |K3/4(III)         |    ~     ~    
4399|HD 39132                                                                                                                                                                       |Star                                  |05 44 07.6771355976 -70 25 20.216839224|280.9432381608564 -31.0613069533222|   9.388 21.556   |9.66     |G0/2V             |    ~     ~    
4400|HD 37262                                                                                                                                                                       |Star                                  |05 30 45.8300228280 -70 55 08.291408448|281.6967752934914 -32.0894337121672| -26.507 25.019   |8.19     |F7V               |    ~     ~    
