C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:47:21

dec< 0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3001

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
2422|HD 212344                                                                                                                                   |Star                                  |22 24 33.2728916376 -46 55 37.975075248|348.4856365405959 -55.1122939153921| 29.801 -29.100   |9.20     |G8(III)        |    ~     ~    |    1|  463.435   pc  |  -3.1142     +3.1142  |paral   |2020yCat.1350....0G
2423|CD-47 14187                                                                                                                                 |High Proper Motion Star               |22 24 47.4139449936 -47 08 11.179051440|348.1199622732886 -55.0723202945725|-35.798 -77.569   |10.84    |K0             |    ~     ~    |    1|  112.282   pc  |  -1.0990     +1.0990  |ST-L    |2020AJ....160...83S
2424|HD 212437                                                                                                                                   |High Proper Motion Star               |22 25 11.9538257856 -46 29 45.763765692|349.1198010251716 -55.3719252595998| -65.424 -2.334   |8.27     |K0III          |    ~     ~    |    1|  137.878   pc  |  -0.3821     +0.3821  |paral   |2020yCat.1350....0G
2425|HD 212554                                                                                                                                   |High Proper Motion Star               |22 26 11.7000550056 -47 15 48.172703616|347.7567954394128 -55.2455384176593| 56.634 -17.931   |9.44     |G0V            |    ~     ~    |    1|  160.712   pc  |  -0.4107     +0.4107  |paral   |2020yCat.1350....0G
2426|CD-47 14197                                                                                                                                 |Star                                  |22 26 21.9216276600 -46 27 19.949230152|349.0581089584865 -55.5737302729077|  3.210 -17.799   |9.35     |K0             |    ~     ~    |    1|  492.271   pc  |  -3.7561     +3.7561  |paral   |2020yCat.1350....0G
2427|CD-47 14198                                                                                                                                 |Star                                  |22 26 23.0736920256 -46 28 14.676585924|349.0309383142010 -55.5712672624761|-17.479 -25.711   |10.13    |G0             |    ~     ~    |    1|  277.546   pc  |  -1.0862     +1.0862  |paral   |2020yCat.1350....0G
2428|HD 212686                                                                                                                                   |High Proper Motion Star               |22 27 10.2315714768 -46 54 14.225499936|348.2313284512408 -55.5355814774051| 78.274 -48.999   |9.69     |G5/8V          |    ~     ~    |    1|  179.469   pc  |  -1.7840     +1.7840  |ST-L    |2020AJ....160...83S
2429|CD-48 14188                                                                                                                                 |High Proper Motion Star               |22 20 51.4879876056 -47 22 14.002568400|348.1656293881068 -54.3657031297168| 145.715 -2.070   |10.16    |~              |    ~     ~    |    1|  131.051   pc  |  -1.0373     +1.0373  |paral   |2020yCat.1350....0G
2430|HD 212453                                                                                                                                   |Star                                  |22 25 16.9079441208 -47 34 10.988405976|347.3651812467061 -54.9856457580123|  49.296 -6.951   |8.54     |K1/2III        |    ~     ~    |    1|  210.318   pc  |  -0.8316     +0.8316  |paral   |2020yCat.1350....0G
2431|HD 212579                                                                                                                                   |Star                                  |22 26 20.2971398664 -47 29 54.117350592|347.3601915501170 -55.1776923281181|  -16.490 0.165   |9.73     |F8V            |    ~     ~    |    1|  116.929   pc  |  -0.2270     +0.2270  |paral   |2020yCat.1350....0G
2432|CD-47 14146                                                                                                                                 |Star                                  |22 20 15.6543027024 -46 27 40.679978292|349.6934729679745 -54.5873222907766|  14.591 -0.824   |10.915   |~              |    ~     ~    |    1|  570.523   pc  | -19.0000    +19.0000  |ST-L    |2020AJ....160...83S
2433|CD-46 14282                                                                                                                                 |Star                                  |22 20 43.4925378744 -46 19 31.312788276|349.8680122673866 -54.7084828319643|  32.229 -5.870   |10.88    |~              |    ~     ~    |    1|  342.182   pc  | -11.1700    +11.1700  |ST-L    |2020AJ....160...83S
2434|CPD-47 9850                                                                                                                                 |Star                                  |22 21 04.2193 -47 17 46.265            |348.2626291 -54.4259910            |     31.4 -29.8   |10.75    |~              |    ~     ~    |    0|                |                       |        |                   
2435|CD-48 14193                                                                                                                                 |Star                                  |22 21 45.5298031176 -47 25 28.160524164|347.9842640010524 -54.4882161276270|  36.179 -5.187   |10.99    |~              |    ~     ~    |    1|  127.587   pc  |  -2.2741     +2.2741  |paral   |2020yCat.1350....0G
2436|CD-46 14300                                                                                                                                 |Star                                  |22 23 30.8105070984 -45 23 08.377296360|351.1347832459591 -55.4787946495090|  4.534 -17.254   |10.03    |~              |    ~     ~    |    1|  619.425   pc  |  -5.6018     +5.6018  |paral   |2020yCat.1350....0G
2437|CD-46 14297                                                                                                                                 |Star                                  |22 23 31.5022175976 -45 39 55.821817440|350.6681878446999 -55.3880394963845| 17.217 -10.430   |9.99     |~              |    ~     ~    |    1|  686.881   pc  | -21.6900    +21.6900  |ST-L    |2020AJ....160...83S
2438|CD-47 14178                                                                                                                                 |Star                                  |22 24 04.8414048984 -46 27 01.676494008|349.3153484888803 -55.2083187718992|-47.224 -11.586   |10.97    |~              |    ~     ~    |    1|  259.128   pc  |  -1.0676     +1.0676  |paral   |2020yCat.1350....0G
2439|CD-47 14182                                                                                                                                 |Star                                  |22 24 27.8373103992 -46 23 48.716390904|349.3622123228573 -55.2890759667064|   10.361 9.583   |10.83    |~              |    ~     ~    |    1|  474.182   pc  | -13.3300    +13.3300  |ST-L    |2020AJ....160...83S
2440|CD-47 14191                                                                                                                                 |Star                                  |22 25 15.2561372040 -46 55 44.685500988|348.4055903149300 -55.2226767138530| 41.656 -12.926   |10.98    |~              |    ~     ~    |    1|  192.080   pc  |  -1.9740     +1.9740  |ST-L    |2020AJ....160...83S
2441|CD-46 14312                                                                                                                                 |Star                                  |22 25 57.2491338624 -45 23 15.104383800|350.8783697122549 -55.8822047186989| -4.534 -24.136   |10.70    |~              |    ~     ~    |    1| 1116.196   pc  | -19.4359    +19.4359  |paral   |2020yCat.1350....0G
2442|CD-48 14217                                                                                                                                 |Star                                  |22 28 04.7817825912 -47 26 18.614488524|347.2552590274447 -55.4720219617597|  18.022 -0.609   |10.42    |~              |    ~     ~    |    0|                |                       |        |                   
2443|CD-47 14209                                                                                                                                 |Star                                  |22 28 13.0542608880 -46 52 40.938657816|348.1534458923135 -55.7109022231283|   20.269 8.182   |10.651   |~              |    ~     ~    |    1|  414.098   pc  | -10.7200    +10.7200  |ST-L    |2020AJ....160...83S
2444|* pi.01 Gru                                                                                                                                 |S Star                                |22 22 44.2083897000 -45 56 52.791160956|350.2820115212514 -55.1638036900881| 31.106 -10.338   |6.55     |S5,7:          |    ~     ~    |    1|  161.661   pc  | -11.6715    +11.6715  |paral   |2020yCat.1350....0G
2445|CD-47 14162                                                                                                                                 |Star                                  |22 21 43.4760893832 -47 14 33.075530628|348.2800115826902 -54.5488600247009|  3.978 -10.241   |10.55    |~              |    ~     ~    |    1| 1809.627   pc  | -52.3960    +52.3960  |paral   |2020yCat.1350....0G
2446|CD-47 14193                                                                                                                                 |Star                                  |22 26 04.0045682088 -47 06 37.859856048|348.0195395987605 -55.2833504701765|   15.972 6.363   |10.53    |~              |    ~     ~    |    1|  959.509   pc  | -13.6257    +13.6257  |paral   |2020yCat.1350....0G
2447|AKARI-IRC-V1 J2223202-454356                                                                                                                |Long-Period Variable Candidate        |22 23 20.2478091624 -45 43 56.591298768|350.5765885103061 -55.3347956101924|   6.880 -5.728   |9.72     |~              |    ~     ~    |    1| 1938.36    pc  | -64.6245    +64.6245  |paral   |2020yCat.1350....0G
2448|TYC 8439-222-1                                                                                                                              |Star                                  |22 24 32.8399176624 -46 45 59.967008316|348.7479684834013 -55.1697302805632|   1.974 -0.205   |10.76    |~              |    ~     ~    |    1| 1112.595   pc  | -19.3107    +19.3107  |paral   |2020yCat.1350....0G
2449|TYC 8439-714-1                                                                                                                              |Star                                  |22 24 12.4528272168 -46 38 40.464865392|348.9840955415222 -55.1594855359815|-10.161 -17.328   |10.43    |~              |    ~     ~    |    1|  228.410   pc  |  -3.0860     +3.0860  |ST-L    |2020AJ....160...83S
2450|TYC 8439-1323-1                                                                                                                             |Star                                  |22 18 45.5534230512 -46 14 03.759138312|350.2102911988778 -54.4182318495116|   6.950 -6.169   |10.997   |~              |    ~     ~    |    1| 1785.060   pc  |-185.8000   +185.8000  |ST-L    |2020AJ....160...83S
2451|TYC 8442-60-1                                                                                                                               |Star                                  |22 21 59.4472851720 -47 33 39.260512980|347.7410853285492 -54.4746108848256|  18.914 -1.439   |10.73    |~              |    ~     ~    |    1| 1518.834   pc  | -26.7595    +26.7595  |paral   |2020yCat.1350....0G
2452|TYC 8442-147-1                                                                                                                              |Star                                  |22 21 54.6123357240 -47 45 50.149404864|347.4255946851916 -54.3867205069559|  9.183 -36.242   |10.54    |~              |    ~     ~    |    1|  852.079   pc  |  -9.6563     +9.6563  |paral   |2020yCat.1350....0G
2453|CD-45 14676                                                                                                                                 |Star                                  |22 22 27.2960643552 -45 01 24.042991764|351.8454174650935 -55.4187345534912|   11.894 5.968   |9.14     |~              |    ~     ~    |    1|  675.721   pc  |  -8.2188     +8.2188  |paral   |2020yCat.1350....0G
2454|HD 212422                                                                                                                                   |Star                                  |22 25 07.6222947240 -45 17 10.912377372|351.1349012064301 -55.7792341032643| 42.926 -25.071   |8.98     |F5V            |    ~     ~    |    1|  206.582   pc  |  -0.8621     +0.8621  |paral   |2020yCat.1350....0G
2455|HD 212565                                                                                                                                   |Star                                  |22 26 06.7629121440 -44 59 52.985814144|351.5174038079853 -56.0387906871489|   0.087 13.259   |7.99     |K0III          |    ~     ~    |    1|  270.819   pc  |  -1.7016     +1.7016  |paral   |2020yCat.1350....0G
2456|CD-45 14696                                                                                                                                 |Star                                  |22 26 21.4999836624 -44 59 11.073776712|351.5113603046671 -56.0836228424560|    5.216 1.213   |9.61     |K5             |    ~     ~    |    1|  907.276   pc  | -11.5241    +11.5241  |paral   |2020yCat.1350....0G
2457|HD 213082                                                                                                                                   |Star                                  |22 29 51.1711306248 -45 27 41.216691816|350.3259990452600 -56.4977957263203| -15.561 -9.436   |10.02    |F5V            |    ~     ~    |    1|  214.957   pc  |  -0.8410     +0.8410  |paral   |2020yCat.1350....0G
2458|HD 213059                                                                                                                                   |Star                                  |22 29 41.8302392928 -42 50 23.483584788|354.8834267386063 -57.3263255391927|   2.224 -8.985   |9.03     |M1III          |    ~     ~    |    1|  767.048   pc  |  -9.8845     +9.8845  |paral   |2020yCat.1350....0G
2459|HD 213109                                                                                                                                   |High Proper Motion Star               |22 29 57.8461424736 -43 10 19.244292060|354.2696778022993 -57.2736961029153|  85.949 -0.622   |10.14    |G3V            |    ~     ~    |    1|  157.267   pc  |  -0.3487     +0.3487  |paral   |2020yCat.1350....0G
2460|* del01 Gru                                                                                                                                 |Star                                  |22 29 16.1748102 -43 29 44.024527      |353.7727970618 -57.0545040420      |    25.72 -3.32   |3.97     |G6/8III        |    ~     ~    |    1|  107.1995  pc  |  -4.3749     +4.3749  |paral   |2018yCat.1345....0G
2461|HD 212388                                                                                                                                   |Spectroscopic Binary                  |22 24 44.5898436312 -44 50 00.384605304|351.9363334916939 -55.8631035302068|   2.769 -5.816   |9.58     |G8/K0III       |    ~     ~    |    1|  613.723   pc  |  -5.2732     +5.2732  |paral   |2020yCat.1350....0G
2462|HD 212436                                                                                                                                   |High Proper Motion Star               |22 25 07.8088159128 -44 24 49.464266652|352.6086494230323 -56.0612786067231| 63.232 -22.991   |8.41     |K1III          |    ~     ~    |    1|  254.207   pc  |  -1.3829     +1.3829  |paral   |2020yCat.1350....0G
2463|CD-44 14922                                                                                                                                 |Star                                  |22 27 54.0487628952 -43 36 31.137303492|353.7149716596086 -56.7837684742214| -4.574 -19.750   |10.714   |~              |    ~     ~    |    1|  274.417   pc  |  -4.8420     +4.8420  |ST-L    |2020AJ....160...83S
2464|CD-44 14925                                                                                                                                 |Star                                  |22 28 37.6230712104 -43 21 46.406926332|354.0703083029658 -56.9839239813996| -5.212 -13.557   |9.65     |~              |    ~     ~    |    1| 1222.195   pc  | -24.7964    +24.7964  |paral   |2020yCat.1350....0G
2465|CD-44 14934                                                                                                                                 |Star                                  |22 29 42.5826218880 -43 45 49.375256004|353.2587099045332 -57.0463594082079|   2.521 -6.847   |8.8      |~              |    ~     ~    |    1|  410.273   pc  |  -2.6427     +2.6427  |paral   |2020yCat.1350....0G
2466|* del02 Gru                                                                                                                                 |Long-Period Variable Candidate        |22 29 45.4340191 -43 44 57.196785      |353.2789926589 -57.0590885295      |    -14.08 2.57   |4.11     |M4.5IIIa       |    ~     ~    |    1|   82.7144  pc  |  -4.3048     +4.3048  |paral   |2018yCat.1345....0G
2467|IDS 22221-4512 AB                                                                                                                           |Double or Multiple Star               |22 28 07.8 -44 41 38                   |351.8209 -56.4769                  |            ~ ~   |9.8      |F3V            |    ~     ~    |    0|                |                       |        |                   
2468|CD-45 14704B                                                                                                                                |Star                                  |22 28 07.6 -44 41 37                   |351.8217 -56.4764                  |            ~ ~   |9.8      |~              |    ~     ~    |    0|                |                       |        |                   
2469|HD 212855                                                                                                                                   |Star                                  |22 28 07.5820196232 -44 41 38.660638128|351.8209850385867 -56.4762387375046|  14.364 -9.683   |9.94     |F3V            |    ~     ~    |    1|  402.787   pc  |  -4.2506     +4.2506  |paral   |2020yCat.1350....0G
2470|HD 212996                                                                                                                                   |Star                                  |22 29 13.1638261752 -45 03 35.192284992|351.0786336985913 -56.5345787492600|  12.319 10.147   |9.86     |K1III          |    ~     ~    |    1|  306.758   pc  |  -1.3456     +1.3456  |paral   |2020yCat.1350....0G
2471|HD 213081                                                                                                                                   |Star                                  |22 29 50.4302566800 -44 44 48.485502420|351.5446357261570 -56.7452526853640| -8.317 -28.029   |10.08    |G8V            |    ~     ~    |    1|  100.124   pc  |  -0.8061     +0.8061  |ST-L    |2020AJ....160...83S
2472|CD-45 14702                                                                                                                                 |Star                                  |22 27 37.9230637224 -44 37 24.192348096|351.9942019699012 -56.4165965897875|  14.698 -6.585   |10.39    |~              |    ~     ~    |    1|  265.083   pc  |  -3.1902     +3.1902  |paral   |2020yCat.1350....0G
2473|CD-45 14706                                                                                                                                 |Double or Multiple Star               |22 28 42.9432104304 -44 59 27.328463952|351.2511889072017 -56.4746378744586|   -1.214 4.371   |10.424   |~              |    ~     ~    |    1|  514.934   pc  | -50.4900    +50.4900  |ST-L    |2020AJ....160...83S
2474|TYC 8002-1657-1                                                                                                                             |Star                                  |22 24 03.5084993544 -44 59 09.931044048|351.7484096136131 -55.6993034286311| -4.233 -10.935   |10.95    |~              |    ~     ~    |    1|  761.018   pc  | -32.5500    +32.5500  |ST-L    |2020AJ....160...83S
2475|TYC 8003-1350-1                                                                                                                             |High Proper Motion Star               |22 28 26.6851661952 -43 43 32.113256988|353.4564024832336 -56.8413718878686|  70.964 24.386   |10.962   |~              |    ~     ~    |    1|  168.271   pc  |  -1.8540     +1.8540  |ST-L    |2020AJ....160...83S
2476|CD-45 14640                                                                                                                                 |High Proper Motion Star               |22 15 00.1595177448 -45 05 02.573838672|352.4302102981154 -54.1450911560591|115.350 -31.778   |10.74    |K2             |    ~     ~    |    1|   59.069   pc  |  -0.2455     +0.2455  |ST-L    |2020AJ....160...83S
2477|CD-45 14646                                                                                                                                 |Star                                  |22 16 13.5125773248 -45 02 37.859523396|352.3899424441625 -54.3634152916758|  25.040 16.447   |10.24    |~              |    ~     ~    |    1|  224.322   pc  |  -2.7220     +2.7220  |ST-L    |2020AJ....160...83S
2478|CD-46 14248                                                                                                                                 |High Proper Motion Star               |22 15 08.2181122416 -46 22 13.805207040|350.3319217106908 -53.7819720388768|36.570 -106.377   |10.61    |G5             |    ~     ~    |    1|  117.289   pc  |  -0.8693     +0.8693  |ST-L    |2020AJ....160...83S
2479|HD 211111                                                                                                                                   |Star                                  |22 15 49.8800087880 -45 48 56.461016556|351.1646774050801 -54.0680928994722|  17.092 -8.488   |8.65     |K3III          |    ~     ~    |    1|  652.188   pc  |  -8.5495     +8.5495  |paral   |2020yCat.1350....0G
2480|HD 211121                                                                                                                                   |Star                                  |22 15 57.7331382264 -45 50 34.751794056|351.1084991227077 -54.0814662603428| -11.059 -1.556   |8.92     |K5/M0III       |    ~     ~    |    1|  689.750   pc  | -13.4639    +13.4639  |paral   |2020yCat.1350....0G
2481|CD-46 14258                                                                                                                                 |High Proper Motion Star               |22 17 26.4794528424 -46 12 51.636567456|350.3691285982311 -54.2090099621688| 63.560 -73.871   |10.99    |K5             |    ~     ~    |    1|   98.617   pc  |  -0.1449     +0.1449  |paral   |2020yCat.1350....0G
2482|HD 210977                                                                                                                                   |Star                                  |22 15 01.6923800184 -46 29 20.746935564|350.1515277260563 -53.7268343816461|  12.794 -1.876   |9.73     |A2V            |    ~     ~    |    1|  378.970   pc  |  -9.1700     +9.1700  |ST-L    |2020AJ....160...83S
2483|HD 211001                                                                                                                                   |High Proper Motion Star               |22 15 11.4427482696 -46 31 50.909842416|350.0696723526576 -53.7401415993431| 39.023 -88.340   |8.58     |F5V            |    ~     ~    |    1|   87.892   pc  |  -0.4328     +0.4328  |ST-L    |2020AJ....160...83S
2484|HD 211026                                                                                                                                   |Star                                  |22 15 19.2454673064 -46 46 41.951989344|349.6614512899661 -53.6819573125322|  -0.041 -4.304   |9.10     |K1III          |    ~     ~    |    1|  336.802   pc  |  -1.7242     +1.7242  |paral   |2020yCat.1350....0G
2485|NGC 7232B                          ESO 289-9                                                                                                |Emission-line galaxy                  |22 15 52.4 -45 46 50                   |351.2179 -54.0858                  |            ~ ~   |     ~   |~              | 1.55  1.20    |    1|   31.5     Mpc |                       |redshift|2006ApJS..165..307M
2486|NGC 7232                           NGC 7232                                                                                                 |Galaxy in Pair of Galaxies            |22 15 38.0197322088 -45 51 00.409784904|351.1266983248106 -54.0248057701779|   -1.316 0.183   |11.79    |~              |1.817 0.581    |    1|   27.9     Mpc |                       |redshift|2006ApJS..165..307M
2487|CD-46 14249                                                                                                                                 |Star                                  |22 15 11.6603027832 -45 36 44.472776580|351.5519474585627 -54.0233169987753|   13.591 3.391   |10.977   |~              |    ~     ~    |    1|  281.823   pc  |  -9.2170     +9.2170  |ST-L    |2020AJ....160...83S
2488|CD-46 14250                                                                                                                                 |Star                                  |22 15 27.6537583776 -45 37 44.970465396|351.5009435704176 -54.0627859614629|  -0.043 -2.552   |10.02    |~              |    ~     ~    |    1| 1301.914   pc  | -25.7637    +25.7637  |paral   |2020yCat.1350....0G
2489|CD-46 14267                                                                                                                                 |Star                                  |22 18 18.5138889408 -45 41 38.244531696|351.1345086266893 -54.5166740152739|  8.090 -12.854   |10.18    |~              |    ~     ~    |    1|  723.014   pc  | -11.7096    +11.7096  |paral   |2020yCat.1350....0G
2490|CD-46 14269                                                                                                                                 |Star                                  |22 18 38.2185825384 -45 25 21.449076276|351.5488574239025 -54.6555087763710| 25.352 -17.313   |10.85    |~              |    ~     ~    |    1|  363.650   pc  |  -2.4332     +2.4332  |paral   |2020yCat.1350....0G
2491|CD-45 14668                                                                                                                                 |Star                                  |22 19 41.0359764936 -45 20 41.077355172|351.5786704332922 -54.8544166876015| 14.251 -17.767   |10.83    |~              |    ~     ~    |    1|  991.768   pc  | -14.0655    +14.0655  |paral   |2020yCat.1350....0G
2492|NGC 7233                           NGC 7233                                                                                                 |Galaxy in Pair of Galaxies            |22 15 48.992 -45 50 47.06              |351.116168 -54.056264              |            ~ ~   |12.82    |~              |1.080 0.821    |    1|   25.70    Mpc |                       |redshift|2007ApJ...655..790C
2493|TYC 8439-21-1                                                                                                                               |High Proper Motion Star               |22 15 37.7993161944 -45 17 25.552411800|352.0381539317364 -54.1913048518419| 51.182 -40.397   |10.744   |~              |    ~     ~    |    1|  199.166   pc  |  -2.1660     +2.1660  |ST-L    |2020AJ....160...83S
2494|TYC 8439-148-1                                                                                                                              |Star                                  |22 17 17.3507610840 -45 16 30.114170508|351.9153696186779 -54.4746617171560|  24.084 -8.190   |10.87    |~              |    ~     ~    |    1|  256.957   pc  |  -7.2762     +7.2762  |paral   |2020yCat.1350....0G
2495|HD 211176                                                                                                                                   |Star                                  |22 16 22.3545485472 -44 22 08.700387996|353.4912328598960 -54.5789161268052|  4.842 -26.479   |8.95     |K4/5(III)      |    ~     ~    |    1|  689.322   pc  |  -9.5983     +9.5983  |paral   |2020yCat.1350....0G
2496|HD 211053                                                                                                                                   |Star                                  |22 15 35.0371923672 -44 27 05.392682460|353.4212395822010 -54.4208803562144|   5.802 -1.574   |6.089    |G8/K0III       |    ~     ~    |    1|  227.123   pc  |  -1.3360     +1.3360  |paral   |2020yCat.1350....0G
2497|HD 211192                                                                                                                                   |Star                                  |22 16 25.7527225152 -44 25 14.350320156|353.4008952403841 -54.5744324406955|  9.730 -20.538   |9.905    |K2/3(III)      |    ~     ~    |    1|  541.802   pc  | -12.1000    +12.1000  |ST-L    |2020AJ....160...83S
2498|HD 211239                                                                                                                                   |Star                                  |22 16 44.4056918280 -44 33 21.182778648|353.1501401426243 -54.5900366514912| -13.020 -1.162   |10.65    |A1IV           |    ~     ~    |    1|  680.411   pc  |  -9.9536     +9.9536  |paral   |2020yCat.1350....0G
2499|CD-45 14662                                                                                                                                 |High Proper Motion Star               |22 18 52.6855367136 -44 53 11.556293280|352.4120824170206 -54.8581648827496|78.107 -117.797   |10.74    |G5             |    ~     ~    |    1|  130.078   pc  |  -1.0890     +1.0890  |ST-L    |2020AJ....160...83S
2500|CD-45 14673                                                                                                                                 |Double or Multiple Star               |22 20 49.1650233144 -44 47 12.999639948|352.3977912027570 -55.2163502737050| 21.507 -14.784   |10.239   |~              |    ~     ~    |    1|  478.057   pc  |  -2.6739     +2.6739  |paral   |2020yCat.1350....0G
2501|HD 211068                                                                                                                                   |Star                                  |22 15 35.8698418152 -42 58 36.293877120|355.8815107263396 -54.8018290228923| -16.670 -6.999   |9.08     |G8III          |    ~     ~    |    1|  433.877   pc  |  -3.0496     +3.0496  |paral   |2020yCat.1350....0G
2502|HD 211603                                                                                                                                   |High Proper Motion Star               |22 19 10.2567946248 -42 35 14.785878696|356.2648358756938 -55.5322038989717|-73.484 -23.168   |9.892    |G9IVe          |    ~     ~    |    1|  187.929   pc  |  -1.9100     +1.9100  |ST-L    |2020AJ....160...83S
2503|HD 211876                                                                                                                                   |Star                                  |22 21 07.4393151552 -43 13 59.377189908|354.9971245349606 -55.7124029315600|   12.973 5.359   |10.55    |A0Vn           |    ~     ~    |    1|  590.030   pc  | -27.7400    +27.7400  |ST-L    |2020AJ....160...83S
2504|HD 211995                                                                                                                                   |High Proper Motion Star               |22 22 02.2398586800 -43 13 47.279437824|354.9230652247971 -55.8735073995837|109.811 -34.748   |9.81     |G3V            |    ~     ~    |    1|  134.353   pc  |  -0.2996     +0.2996  |paral   |2020yCat.1350....0G
2505|HD 212016                                                                                                                                   |Double or Multiple Star               |22 22 08.4598726660 -43 05 20.084218370|355.1559279125582 -55.9297601156702|     10.3 -11.6   |10.31    |F7V            |    ~     ~    |    0|                |                       |        |                   
2506|CD-43 15023                                                                                                                                 |Star                                  |22 24 09.0774808440 -42 40 46.707888684|355.6869827647811 -56.3941572781408|  2.247 -21.177   |10.24    |~              |    ~     ~    |    1|  746.547   pc  |  -7.8584     +7.8584  |paral   |2020yCat.1350....0G
2507|CD-43 15045                                                                                                                                 |Star                                  |22 27 43.9645939392 -43 20 30.203457828|354.1966699492031 -56.8352004802462|  3.512 -10.465   |10.12    |~              |    ~     ~    |    1|  675.904   pc  |  -6.5786     +6.5786  |paral   |2020yCat.1350....0G
2508|HD 212843                                                                                                                                   |Star                                  |22 27 57.4310494272 -42 41 14.163672264|355.3231196619511 -57.0645486086475| 24.357 -28.820   |9.18     |K0IV           |    ~     ~    |    1|  916.422   pc  | -13.1013    +13.1013  |paral   |2020yCat.1350....0G
2509|HD 211203                                                                                                                                   |Star                                  |22 16 33.4882276848 -43 44 15.793939572|354.5278810329962 -54.7802504814112| 17.992 -16.380   |7.89     |K4III          |    ~     ~    |    1|  454.442   pc  |  -3.5934     +3.5934  |paral   |2020yCat.1350....0G
2510|HD 211312                                                                                                                                   |Star                                  |22 17 12.4708444128 -43 38 21.239534652|354.6396902462715 -54.9193590186320|    9.514 7.665   |9.54     |G5V            |    ~     ~    |    1|  218.809   pc  |  -0.7469     +0.7469  |paral   |2020yCat.1350....0G
2511|HD 211470                                                                                                                                   |Star                                  |22 18 11.3605725240 -43 38 03.076320768|354.5666037971524 -55.0919997281148|   26.249 9.911   |10.13    |F5/6V          |    ~     ~    |    1|  341.647   pc  |  -2.4979     +2.4979  |paral   |2020yCat.1350....0G
2512|HD 211469                                                                                                                                   |Star                                  |22 18 13.4949939072 -43 32 43.733226624|354.7131761225745 -55.1216662560454|  10.669 -1.787   |8.95     |K2/3III        |    ~     ~    |    1|  581.666   pc  |  -6.0224     +6.0224  |paral   |2020yCat.1350....0G
2513|HD 211768                                                                                                                                   |High Proper Motion Star               |22 20 23.0079053616 -43 30 10.041342948|354.6016433362398 -55.5101195263156| -5.735 -55.372   |7.56     |K0III          |    ~     ~    |    1|  206.667   pc  |  -0.8713     +0.8713  |paral   |2020yCat.1350....0G
2514|HD 211795                                                                                                                                   |Star                                  |22 20 35.0857245144 -43 42 17.398473012|354.2409556345640 -55.4898011297785|  1.311 -31.910   |9.19     |K1/2(III)      |    ~     ~    |    1|  425.026   pc  |  -6.9910     +6.9910  |paral   |2020yCat.1350....0G
2515|HD 211815                                                                                                                                   |Star                                  |22 20 49.0468944864 -43 38 46.535626968|354.3198229075042 -55.5464341882852| 20.574 -33.289   |9.49     |G6/8           |    ~     ~    |    1|  533.703   pc  |  -4.1871     +4.1871  |paral   |2020yCat.1350....0G
2516|HD 212086                                                                                                                                   |Star                                  |22 22 36.1849598832 -43 24 27.152094780|354.5678071535679 -55.9235994829318|  14.062 -5.986   |9.89     |F5V            |    ~     ~    |    1|  218.890   pc  |  -0.7570     +0.7570  |paral   |2020yCat.1350....0G
2517|HD 212165                                                                                                                                   |High Proper Motion Star               |22 23 06.5745588312 -43 24 20.632169808|354.5250326763709 -56.0124397350210| 69.453 -11.273   |8.20     |K0III          |    ~     ~    |    1|  305.988   pc  |  -2.3969     +2.3969  |paral   |2020yCat.1350....0G
2518|HD 212208                                                                                                                                   |Double or Multiple Star               |22 23 24.4653089472 -43 24 23.605542900|354.4963926332740 -56.0641859082253| 36.015 -31.120   |8.59     |F5V            |0.0017  0.0    |    1|  169.736   pc  |  -8.9946     +8.9946  |paral   |2020yCat.1350....0G
2519|HD 211000                                                                                                                                   |High Proper Motion Star               |22 15 11.0365899648 -44 12 07.177964400|353.8673315117289 -54.4193221284808| 10.498 -66.522   |9.354    |F5V            |    ~     ~    |    1|   89.399   pc  |  -0.6072     +0.6072  |ST-L    |2020AJ....160...83S
2520|CD-44 14826                                                                                                                                 |High Proper Motion Star               |22 15 16.1144380632 -44 12 14.920015320|353.8568227821663 -54.4333684971075| -0.483 -62.901   |9.57     |G0             |    ~     ~    |    1|   88.498   pc  |  -0.1637     +0.1637  |paral   |2020yCat.1350....0G
2521|HD 211329                                                                                                                                   |Star                                  |22 17 18.0646726080 -44 13 35.313377628|353.6493155755562 -54.7778752936004|    4.217 1.164   |10.71    |A0/1V          |    ~     ~    |    1|  795.608   pc  | -16.0780    +16.0780  |paral   |2020yCat.1350....0G
2522|HD 211508                                                                                                                                   |Star                                  |22 18 29.5049438520 -43 51 22.522039380|354.1672085836192 -55.0849713997405| -11.412 -9.586   |9.93     |G6/8(III)      |    ~     ~    |    1|  893.336   pc  | -11.2525    +11.2525  |paral   |2020yCat.1350....0G
