C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:47:21

dec< 0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3001

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
47  |CD-41 14890                                                                                                                                 |Star                                  |22 26 29.2678574184 -41 05 50.921654496|358.2835772580371 -57.2137437515541| -1.861 -48.035   |9.93     |G0             |    ~     ~    |    1|  118.245   pc  |  -0.9350     +0.9350  |ST-L    |2020AJ....160...83S
48  |HD 212685                                                                                                                                   |High Proper Motion Star               |22 26 59.1448977120 -41 17 53.570366556|357.8819345278841 -57.2564142459656|  56.150 -9.510   |8.47     |F7V            |    ~     ~    |    1|  125.011   pc  |  -0.3282     +0.3282  |paral   |2020yCat.1350....0G
49  |HD 212707                                                                                                                                   |Star                                  |22 27 04.6706996592 -40 52 49.852362504|358.6253777232593 -57.3729985985525|-10.839 -45.663   |10.05    |F8/G0V         |    ~     ~    |    1|  131.996   pc  |  -0.2910     +0.2910  |paral   |2020yCat.1350....0G
50  |CD-41 14899                                                                                                                                 |High Proper Motion Star               |22 27 17.6970551064 -41 04 03.486178200|358.2702141597710 -57.3685761615844| 95.787 -14.519   |9.93     |F8             |    ~     ~    |    1|  109.255   pc  |  -0.8816     +0.8816  |ST-L    |2020AJ....160...83S
51  |HD 212746                                                                                                                                   |Double or Multiple Star               |22 27 16.24172 -40 26 55.7922          |359.39078104 -57.50719133          |   16.92 -12.05   |9.38     |F6/8V+F6/8V    |    ~     ~    |    0|                |                       |        |                   
52  |HD 212868                                                                                                                                   |High Proper Motion Star               |22 28 08.0359415280 -41 19 18.202965204|357.7411439813417 -57.4595773773487|  4.010 -76.227   |9.85     |G0V            |    ~     ~    |    1|  164.114   pc  |  -3.1480     +3.1480  |ST-L    |2020AJ....160...83S
53  |HD 212954                                                                                                                                   |Star                                  |22 28 39.4678248768 -40 42 02.847524940|358.8203147531243 -57.7058383525198| 17.560 -24.352   |10.18    |A2IV           |    ~     ~    |    1|  419.673   pc  | -14.1500    +14.1500  |ST-L    |2020AJ....160...83S
54  |HD 212102                                                                                                                                   |Star                                  |22 22 36.9836904000 -41 24 28.380019032|358.0419670170579 -56.4337939264196|    7.514 4.634   |8.94     |M2III          |    ~     ~    |    1|  847.745   pc  | -16.3138    +16.3138  |paral   |2020yCat.1350....0G
55  |HD 212386                                                                                                                                   |High Proper Motion Star               |22 24 39.2248936848 -41 26 25.213981236|357.8223191558803 -56.7975348187692|145.277 -33.200   |6.62     |F5V            |    ~     ~    |    1|   64.470   pc  |  -0.0910     +0.0910  |paral   |2020yCat.1350....0G
56  |HD 212387                                                                                                                                   |Star                                  |22 24 40.6426347016 -41 26 17.834856614|357.8240277011366 -56.8023240915494|-21.011 -22.199   |8.10     |F3/5IV/V       |    ~     ~    |    1|  136.532   pc  |  -0.4268     +0.4268  |paral   |2020yCat.1350....0G
