C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:45:13

dec< 0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3172

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2510|CD-48 14088                                                                                              |Star                              |22 01 36.6096207936 -48 21 57.620918196|348.3695250796689 -50.9905775714931|  5.839 -16.267    |10.319   |~               |    ~     ~    |    1| 1133.400   pc  | -72.3600    +72.3600  |ST-L    |2020AJ....160...83S
2511|CD-48 14104                                                                                              |Star                              |22 03 29.1360867384 -48 23 51.207139032|348.1714404154455 -51.2778326237745| 18.048 -11.689    |10.46    |~               |    ~     ~    |    1|  775.434   pc  |  -9.1999     +9.1999  |paral   |2020yCat.1350....0G
2512|CD-48 14107                                                                                              |Star                              |22 04 08.1967181592 -47 35 53.575839492|349.3424837765628 -51.6216744596024| 17.542 -35.280    |10.29    |~               |    ~     ~    |    1|  470.721   pc  |  -3.1243     +3.1243  |paral   |2020yCat.1350....0G
2513|CD-47 14044                                                                                              |Star                              |22 04 38.1124287456 -47 17 17.327328468|349.7814836202199 -51.7926849330833|-22.720 -23.990    |10.99    |~               |    ~     ~    |    1|  517.357   pc  |  -3.9613     +3.9613  |paral   |2020yCat.1350....0G
2514|CD-47 14047                                                                                              |Star                              |22 04 53.9663176536 -47 04 05.064864024|350.1017568834948 -51.8989883051669|  6.128 -41.088    |10.884   |~               |    ~     ~    |    1|  214.236   pc  |  -2.6470     +2.6470  |ST-L    |2020AJ....160...83S
2515|CD-47 14062                                                                                              |Star                              |22 07 56.2999592448 -47 13 19.441873884|349.6147532170385 -52.3476674753426|   -6.318 2.866    |10.45    |~               |    ~     ~    |    1| 1080.964   pc  | -15.5408    +15.5408  |paral   |2020yCat.1350....0G
2516|CD-48 14134                                                                                              |Star                              |22 08 17.6931587352 -48 08 13.916722128|348.1644005266949 -52.1194261351794|  6.016 -19.991    |10.93    |~               |    ~     ~    |    1|  448.270   pc  |  -2.6123     +2.6123  |paral   |2020yCat.1350....0G
2517|CD-48 14144                                                                                              |Star                              |22 10 01.1929032432 -47 40 06.227302044|348.7393653479720 -52.5435818261123|   -7.918 5.706    |10.306   |~               |    ~     ~    |    1|  904.230   pc  | -51.1500    +51.1500  |ST-L    |2020AJ....160...83S
2518|CD-48 14092                                                                                              |Star                              |22 01 57.3203361432 -48 14 41.132976936|348.5263900935205 -51.0814913470790|  15.354 -3.342    |9.45     |~               |    ~     ~    |    1| 1172.608   pc  | -22.5502    +22.5502  |paral   |2020yCat.1350....0G
2519|CD-48 14102                                                                                              |High Proper Motion Star           |22 03 20.8798204128 -48 16 06.158304516|348.3792934447731 -51.2954826463153| 33.878 -45.305    |10.52    |~               |    ~     ~    |    1|  114.720   pc  |  -0.7238     +0.7238  |ST-L    |2020AJ....160...83S
2520|CD-47 14057                                                                                              |Star                              |22 06 49.7490459072 -47 19 07.403863908|349.5564709743441 -52.1391694385083|     15.0 -26.5    |10.84    |~               |    ~     ~    |    1|  271.737   pc  | +41.899      +5       |ST-L    |2017AJ....153...75K
2521|TYC 8441-377-1                                                                                           |Star                              |22 04 30.3608858136 -48 01 35.479328268|348.6547781305006 -51.5529661802058| -2.576 -23.915    |10.79    |~               |    ~     ~    |    1| 1011.020   pc  | -14.6169    +14.6169  |paral   |2020yCat.1350....0G
2522|TYC 8441-414-1                                                                                           |Star                              |22 05 01.7987841432 -48 34 02.153362260|347.7853440760490 -51.4681126274453| -5.326 -47.641    |10.67    |~               |    ~     ~    |    1|  249.301   pc  |  -3.2020     +3.2020  |ST-L    |2020AJ....160...83S
2523|TYC 8441-951-1                                                                                           |Star                              |22 04 32.6207257152 -48 38 05.670374712|347.7232087173856 -51.3704502287103|  16.428 -5.912    |10.87    |~               |    ~     ~    |    1|  643.625   pc  |  -5.7581     +5.7581  |paral   |2020yCat.1350....0G
2524|TYC 8441-954-1                                                                                           |Spectroscopic Binary              |22 08 14.5823800296 -47 45 01.280632140|348.7670446905759 -52.2341046495898|-66.261 -18.493    |10.88    |~               |    ~     ~    |    1|   93.500   pc  |  -0.3593     +0.3593  |paral   |2020yCat.1350....0G
2525|TYC 8441-1358-1                                                                                          |Star                              |22 02 40.3041266976 -48 08 14.974117476|348.6329484924813 -51.2274174958393|  11.351 11.880    |10.85    |~               |    ~     ~    |    1|  199.593   pc  |  -0.5577     +0.5577  |paral   |2020yCat.1350....0G
2526|HD 209085                                                                                                |High Proper Motion Star           |22 01 53.4150574176 -46 23 11.402276748|351.3880131064562 -51.5888440599687| 27.878 -61.705    |9.22     |G8III(CNIV)     |    ~     ~    |    1|  827.952   pc  | -22.4160    +22.4160  |paral   |2020yCat.1350....0G
2527|CD-47 14022                                                                                              |Star                              |22 01 16.1964973608 -46 32 28.628796120|351.1924876211889 -51.4454398347712|-17.714 -29.749    |10.919   |~               |    ~     ~    |    1|  385.754   pc  |  -9.9570     +9.9570  |ST-L    |2020AJ....160...83S
2528|CD-47 14100                                                                                              |Rotating Variable                 |22 13 16.6850217408 -47 13 56.501250960|349.1295665121903 -53.2054434639280| 70.501 -19.313    |10.350   |K0V             |    ~     ~    |    1|   81.534   pc  |  -0.3516     +0.3516  |ST-L    |2020AJ....160...83S
2529|NAME Alnair                        * alf Gru                                                             |High Proper Motion Star           |22 08 13.98473 -46 57 39.5078          |349.99848565 -52.47374323          | 126.69 -147.47    |1.71     |B6V             |    ~     ~    |    0|                |                       |        |                   
2530|HD 209742                                                                                                |High Proper Motion Star           |22 06 46.2951487441 -45 23 32.774080845|352.5933265587611 -52.6668776576928|386.609 -263.686   |8.43     |K2V             |    ~     ~    |    1|   29.982   pc  |  -0.0175     +0.0175  |paral   |2020yCat.1350....0G
2531|CD-45 14585                                                                                              |Star                              |22 08 23.3706703056 -44 43 26.097074364|353.5443267405238 -53.1133562672638|   40.375 8.352    |9.18     |~               |    ~     ~    |    1|  381.650   pc  |  -2.2140     +2.2140  |paral   |2020yCat.1350....0G
2532|HD 210023                                                                                                |High Proper Motion Star           |22 08 26.7148260480 -44 43 30.863438940|353.5380563762901 -53.1226083970152|  68.323 -5.997    |8.24     |F5V             |    ~     ~    |    1|  155.116   pc  |  -2.2160     +2.2160  |paral   |2020yCat.1350....0G
2533|HD 209477                                                                                                |Star                              |22 04 48.8005818000 -45 45 22.774806108|352.1618152303850 -52.2417898113081|   7.550 -3.310    |7.67     |K3III           |    ~     ~    |    1|  606.171   pc  |  -6.5772     +6.5772  |paral   |2020yCat.1350....0G
2534|HD 209316                                                                                                |Star                              |22 03 34.1074672248 -46 07 39.433613196|351.6697714076797 -51.9363484458855|  3.823 -40.950    |7.48     |K3III           |    ~     ~    |    1|  302.819   pc  |  -1.6964     +1.6964  |paral   |2020yCat.1350....0G
2535|CD-46 14182                                                                                              |Star                              |22 04 16.0568456088 -45 58 44.295500964|351.8514819391351 -52.0922438839348| 21.485 -13.676    |9.66     |~               |    ~     ~    |    1| 1030.503   pc  | -14.4423    +14.4423  |paral   |2020yCat.1350....0G
2536|CD-46 14198                                                                                              |Star                              |22 06 39.1403845824 -45 27 31.025099160|352.4968967241364 -52.6295297034958|    -14.0 -18.8    |10.713   |~               |    ~     ~    |    1|  183.699   pc  | +23.674     +85       |ST-L    |2017AJ....153...75K
2537|CD-46 14171                                                                                              |High Proper Motion Star           |22 02 46.0684131216 -46 01 11.843378256|351.8964032366980 -51.8300302585129|  46.332 32.395    |10.66    |~               |    ~     ~    |    1|  109.472   pc  |  -0.6951     +0.6951  |ST-L    |2020AJ....160...83S
2538|CD-46 14178                                                                                              |Star                              |22 03 29.5669834344 -46 02 22.477292088|351.8132121290844 -51.9465766432915| -5.194 -16.658    |10.724   |~               |    ~     ~    |    1|  214.196   pc  |  -4.9720     +4.9720  |ST-L    |2020AJ....160...83S
2539|HD 210194                                                                                                |Star                              |22 09 39.1376519496 -45 39 15.096035808|351.9520795167854 -53.0831920282603| 15.533 -16.897    |9.45     |F5V             |    ~     ~    |    1|  192.682   pc  |  -0.5606     +0.5606  |paral   |2020yCat.1350....0G
2540|HD 210471                                                                                                |High Proper Motion Star           |22 11 40.8411699024 -44 44 55.286355588|353.2518959626592 -53.6717582893264|111.145 -95.848    |7.89     |F5V             |    ~     ~    |    1|   82.968   pc  |  -0.6732     +0.6732  |paral   |2020yCat.1350....0G
2541|CD-45 14611                                                                                              |High Proper Motion Star           |22 11 57.3744101976 -45 12 14.408790876|352.4903151707498 -53.5958249652028| 126.819 16.169    |9.75     |~               |    ~     ~    |    1|  175.743   pc  |  -3.3630     +3.3630  |ST-L    |2020AJ....160...83S
2542|HD 210692                                                                                                |Star                              |22 13 09.6327348672 -45 18 09.748192032|352.2304416301382 -53.7718303458891|  31.271 -7.957    |9.34     |A8V             |    ~     ~    |    1|  227.264   pc  |  -3.6740     +3.6740  |ST-L    |2020AJ....160...83S
2543|HD 210794                                                                                                |High Proper Motion Star           |22 13 53.4285175416 -45 20 48.522079032|352.0969683914756 -53.8822847259668|141.779 -41.118    |9.21     |F8V             |    ~     ~    |    1|  129.259   pc  |  -1.1380     +1.1380  |ST-L    |2020AJ....160...83S
2544|HD 210836                                                                                                |High Proper Motion Star           |22 14 12.3485361384 -44 42 49.652515512|353.1042168677483 -54.1130860933869|  1.981 -99.172    |8.69     |G3V             |    ~     ~    |    1|   59.029   pc  |  -0.2422     +0.2422  |ST-L    |2020AJ....160...83S
2545|CD-46 14226                                                                                              |Double or Multiple Star           |22 11 33.4870 -45 27 42.268            |352.1064034 -53.4571090            | 84.238 -45.713    |10.98    |K0              |    ~     ~    |    0|                |                       |        |                   
2546|CD-46 14197                                                                                              |Star                              |22 06 24.0613610328 -46 09 10.912252968|351.4161386847563 -52.4023958214667|  19.501 -1.681    |10.44    |F0              |    ~     ~    |    1|  435.170   pc  | -27.6200    +27.6200  |ST-L    |2020AJ....160...83S
2547|HD 209926                                                                                                |Star                              |22 07 55.2669654144 -46 02 42.805698288|351.4673842291963 -52.6853977431685| -11.485 -6.780    |9.04     |G8III           |    ~     ~    |    1|  650.533   pc  |  -6.7288     +6.7288  |paral   |2020yCat.1350....0G
2548|HD 210234                                                                                                |Star                              |22 09 59.8030234272 -45 52 54.903329616|351.5601331077203 -53.0773630169287| 36.088 -29.886    |9.18     |F5V             |    ~     ~    |    1|  224.881   pc  |  -0.9406     +0.9406  |paral   |2020yCat.1350....0G
2549|CD-46 14220                                                                                              |Star                              |22 10 32.7368052792 -46 14 41.763299424|350.9358734636222 -53.0643729990614|  15.842 -1.475    |9.66     |K0              |    ~     ~    |    1|  506.096   pc  | -15.8400    +15.8400  |ST-L    |2020AJ....160...83S
2550|HD 210795                                                                                                |Star                              |22 13 52.5063604968 -45 48 22.989669732|351.3536833936517 -53.7457698185863|   8.622 -9.280    |7.69     |G8/K1           |    ~     ~    |    1|  225.028   pc  |  -1.0127     +1.0127  |paral   |2020yCat.1350....0G
2551|HD 210796                                                                                                |Star                              |22 13 53.3436130848 -45 54 41.658337332|351.1827102945612 -53.7167866478071| 13.392 -28.760    |8.54     |G5              |    ~     ~    |    1|  355.189   pc  |  -2.7503     +2.7503  |paral   |2020yCat.1350....0G
2552|CD-46 14243                                                                                              |High Proper Motion Star           |22 13 55.0643289888 -46 01 00.629590440|351.0105428692181 -53.6899639938671|  68.616 34.021    |10.38    |F8              |    ~     ~    |    1|  271.048   pc  |  -4.1650     +4.1650  |ST-L    |2020AJ....160...83S
2553|HD 210639                                                                                                |Star                              |22 12 45.8748390048 -46 31 01.605599076|350.3109110164464 -53.3479679384678| 14.737 -17.815    |8.98     |F5V             |    ~     ~    |    1|  176.354   pc  |  -1.8580     +1.8580  |ST-L    |2020AJ....160...83S
2554|HD 210783                                                                                                |Star                              |22 13 46.2628595640 -46 44 37.254260256|349.8595826187295 -53.4415607678426|-27.495 -22.507    |8.37     |F6V             |    ~     ~    |    1|  168.996   pc  |  -0.8511     +0.8511  |paral   |2020yCat.1350....0G
2555|CD-47 14104                                                                                              |Star                              |22 14 02.4533542872 -46 28 19.336336788|350.2688130096376 -53.5707996937335|-17.665 -15.632    |9.71     |G5              |    ~     ~    |    1|  676.189   pc  | -20.8300    +20.8300  |ST-L    |2020AJ....160...83S
2556|NGC 7232A                          ESO 289-3                                                             |Galaxy                            |22 13 41.4231909672 -45 53 37.172507748|351.2290017350106 -53.6891361675798|            ~ ~    |     ~   |~               |1.273 0.280    |    0|                |                       |        |                   
2557|CD-46 14192                                                                                              |Star                              |22 05 09.2520174120 -46 11 29.137174872|351.4513472891010 -52.1842138669385|   -3.398 7.049    |10.73    |~               |    ~     ~    |    1|  362.937   pc  |  -1.9758     +1.9758  |paral   |2020yCat.1350....0G
2558|CD-46 14203                                                                                              |High Proper Motion Star           |22 07 12.7125546456 -46 06 12.689721576|351.4310479729637 -52.5510758031944| 43.483 -28.104    |10.63    |~               |    ~     ~    |    1|  280.563   pc  |  -5.0030     +5.0030  |ST-L    |2020AJ....160...83S
2559|CD-46 14221                                                                                              |Star                              |22 10 34.8370366320 -45 37 21.386984664|351.9276429459325 -53.2478543613263| 20.544 -10.017    |10.32    |~               |    ~     ~    |    1|  907.028   pc  | -55.1100    +55.1100  |ST-L    |2020AJ....160...83S
2560|CD-45 14606                                                                                              |Star                              |22 10 49.4369469672 -44 54 26.582789160|353.0617337734804 -53.4833145883670|  10.617 -0.194    |10.55    |~               |    ~     ~    |    1|  424.286   pc  |  -3.0063     +3.0063  |paral   |2020yCat.1350....0G
2561|CD-45 14609                                                                                              |Star                              |22 11 13.3374755592 -45 05 13.961504472|352.7388268729099 -53.5031509034791|   9.479 -1.345    |10.344   |~               |    ~     ~    |    1| 1087.290   pc  | -71.2900    +71.2900  |ST-L    |2020AJ....160...83S
2562|CD-46 14238                                                                                              |Star                              |22 13 39.4591066488 -46 13 30.222123816|350.6988679491086 -53.5839503059842|-15.113 -22.458    |10.751   |~               |    ~     ~    |    1|  216.393   pc  |  -2.6410     +2.6410  |ST-L    |2020AJ....160...83S
2563|CD-45 14631                                                                                              |Star                              |22 14 12.4794894288 -45 12 52.324421796|352.2851651477591 -53.9735968366670|    1.193 9.076    |10.232   |~               |    ~     ~    |    1|  187.089   pc  |  -2.1570     +2.1570  |ST-L    |2020AJ....160...83S
2564|CD-47 14110                                                                                              |Star                              |22 14 24.8148 -46 52 09.345            |349.6007114 -53.5057396            |  -1.058 -0.335    |10.848   |~               |    ~     ~    |    1|  388.899   pc  |  -8.0840     +8.0840  |ST-L    |2020AJ....160...83S
2565|CD-46 14186                                                                                              |Star                              |22 04 44.8431281712 -46 15 40.327310700|351.3726515393663 -52.0976896833742|  -0.825 -4.752    |10.87    |~               |    ~     ~    |    1| 1893.222   pc  | -50.5385    +50.5385  |paral   |2020yCat.1350....0G
2566|CD-47 14056                                                                                              |Star                              |22 06 45.6628530144 -46 28 57.159723252|350.8691733159270 -52.3707509677526|   4.207 -9.678    |10.814   |~               |    ~     ~    |    1| 1097.210   pc  | -72.4000    +72.4000  |ST-L    |2020AJ....160...83S
2567|CD-46 14239                                                                                              |Star                              |22 13 43.8350087352 -45 48 54.595329192|351.3521191749658 -53.7191153282468| 28.468 -17.698    |9.89     |~               |    ~     ~    |    1|  694.844   pc  | -22.1500    +22.1500  |ST-L    |2020AJ....160...83S
2568|CD-46 14247                                                                                              |Star                              |22 14 42.7164106584 -45 57 17.801633520|351.0398425845131 -53.8401776516243|   1.341 -5.879    |10.776   |~               |    ~     ~    |    1| 2301.580   pc  |-391.7000   +391.7000  |ST-L    |2020AJ....160...83S
2569|CD-47 14098                                                                                              |Star                              |22 12 51.4887516768 -47 22 55.115000832|348.9322139736584 -53.0895028462869|    2.296 0.127    |10.888   |~               |    ~     ~    |    1| 1557.860   pc  |-139.4000   +139.4000  |ST-L    |2020AJ....160...83S
2570|TYC 8001-436-1                                                                                           |Star                              |22 12 13.4237933016 -44 43 54.359118192|353.2362592640085 -53.7692256899497| 14.321 -15.394    |10.805   |~               |    ~     ~    |    1| 1059.320   pc  | -48.2100    +48.2100  |ST-L    |2020AJ....160...83S
2571|TYC 8438-57-1                                                                                            |Star                              |22 09 51.8183043480 -47 10 16.346901540|349.5303658125641 -52.6746427695192|  6.076 -27.818    |10.993   |~               |    ~     ~    |    1|  322.880   pc  |  -5.7890     +5.7890  |ST-L    |2020AJ....160...83S
2572|TYC 8438-977-1                                                                                           |Star                              |22 04 32.2894815528 -46 47 33.798717132|350.5581563339448 -51.9175714907946|  46.975 16.305    |10.92    |~               |    ~     ~    |    1|  237.085   pc  |  -0.7925     +0.7925  |paral   |2020yCat.1350....0G
2573|TYC 8438-1260-1                                                                                          |Star                              |22 08 36.4476581832 -45 39 04.922395056|352.0395932231302 -52.9083457775097|   1.261 -8.847    |10.24    |~               |    ~     ~    |    1| 1234.416   pc  | -26.0567    +26.0567  |paral   |2020yCat.1350....0G
2574|TYC 8438-1412-1                                                                                          |High Proper Motion Star           |22 04 45.6672786024 -45 43 36.022671480|352.2124410401120 -52.2406362684189|  83.923 -0.842    |10.85    |~               |    ~     ~    |    1|  138.627   pc  |  -0.2479     +0.2479  |paral   |2020yCat.1350....0G
2575|TYC 8438-1690-1                                                                                          |Star                              |22 05 02.8980565008 -45 31 24.155219136|352.5127276854721 -52.3412123207895|   0.207 -9.942    |10.685   |~               |    ~     ~    |    1|  709.174   pc  | -32.2200    +32.2200  |ST-L    |2020AJ....160...83S
2576|TYC 8438-1727-1                                                                                          |Star                              |22 07 13.4171959896 -46 19 17.523933708|351.0859134054054 -52.4924910731616|   9.649 -9.357    |10.44    |~               |    ~     ~    |    1| 2397.090   pc  |-295.0000   +295.0000  |ST-L    |2020AJ....160...83S
2577|TYC 8438-1808-1                                                                                          |Star                              |22 06 03.7969362552 -46 20 21.147442152|351.1492811342802 -52.2951631209388|-14.352 -17.279    |10.85    |~               |    ~     ~    |    1|  462.237   pc  | -11.5500    +11.5500  |ST-L    |2020AJ....160...83S
2578|TYC 8438-1862-1                                                                                          |Star                              |22 05 00.0189937872 -46 10 44.557024512|351.4824558711013 -52.1618807475371|-14.705 -20.755    |10.98    |~               |    ~     ~    |    1|  556.855   pc  |  -3.8141     +3.8141  |paral   |2020yCat.1350....0G
2579|NGC 7213                           NGC 7213                                                              |Seyfert 1 Galaxy                  |22 09 16.2100443720 -47 10 00.115999716|349.5885036704270 -52.5800438327784|  -0.245 -0.026    |12.08    |~               |2.113 1.987    |    1|   30.1996  Mpc |                       |redshift|2019A&A...631A..38L
2580|CD-44 14816                                                                                              |Star                              |22 13 18.1556526360 -44 19 37.147813716|353.8130768531043 -54.0614601090870|   7.612 19.439    |10.954   |~               |    ~     ~    |    1|  354.290   pc  |  -8.0040     +8.0040  |ST-L    |2020AJ....160...83S
2581|CD-44 14822                                                                                              |Star                              |22 14 27.6551105688 -44 17 01.296940560|353.7912232097975 -54.2727789562643|   5.879 -2.384    |10.646   |~               |    ~     ~    |    1|  504.355   pc  | -16.5400    +16.5400  |ST-L    |2020AJ....160...83S
2582|HD 210725                                                                                                |Star                              |22 13 22.3105135752 -43 40 07.016306592|354.8949490626995 -54.2408207220172| -3.120 -19.247    |9.28     |K2(III)         |    ~     ~    |    1|  698.763   pc  |  -7.6170     +7.6170  |paral   |2020yCat.1350....0G
2583|CD-44 14814                                                                                              |Star                              |22 13 04.9749471960 -43 36 22.833671796|355.0201601491514 -54.2054359205022|  18.953 -8.105    |10.42    |~               |    ~     ~    |    1|  297.133   pc  |  -1.4656     +1.4656  |paral   |2020yCat.1350....0G
2584|CD-44 14824                                                                                              |Star                              |22 14 56.8387457160 -44 05 33.035901972|354.0680626492560 -54.4073416763855|  29.544 -9.176    |10.26    |~               |    ~     ~    |    1|  911.112   pc  | -89.0400    +89.0400  |ST-L    |2020AJ....160...83S
2585|HD 208830                                                                                                |High Proper Motion Star           |22 00 08.8750140840 -46 15 13.439232252|351.7171545830332 -51.3318059611709|  54.562 19.630    |9.29     |F3V             |    ~     ~    |    1|  185.798   pc  |  -0.5523     +0.5523  |paral   |2020yCat.1350....0G
2586|HD 209213                                                                                                |Star                              |22 02 40.2700123224 -44 23 26.768982840|354.4739935262708 -52.2019601880494|  40.117 -0.129    |9.66     |F3V             |    ~     ~    |    1|  196.414   pc  |  -2.2070     +2.2070  |ST-L    |2020AJ....160...83S
2587|HD 209355                                                                                                |Star                              |22 03 43.0063244712 -44 03 00.885243600|354.9504159000617 -52.4594233777011| -14.960 -1.176    |8.98     |F2V             |    ~     ~    |    1|  212.730   pc  |  -0.7195     +0.7195  |paral   |2020yCat.1350....0G
2588|HD 209883                                                                                                |High Proper Motion Star           |22 07 28.5511010952 -44 14 09.049295256|354.3987050016268 -53.0740813631702|-68.492 -11.543    |10.00    |F6V             |    ~     ~    |    1|  172.707   pc  |  -1.8140     +1.8140  |ST-L    |2020AJ....160...83S
2589|HD 208946                                                                                                |Star                              |22 00 52.2987796008 -44 27 45.913347576|354.4738143971591 -51.8727151475403|  50.849 -9.768    |9.55     |G5V             |    ~     ~    |    1|  179.134   pc  |  -5.3781     +5.3781  |paral   |2020yCat.1350....0G
2590|HD 208984                                                                                                |Star                              |22 01 07.9379126064 -44 39 20.739613140|354.1523187380489 -51.8759186958313| 44.704 -11.349    |9.72     |K0/1            |    ~     ~    |    1|  251.718   pc  |  -7.4514     +7.4514  |paral   |2020yCat.1350....0G
2591|HD 209230                                                                                                |Double or Multiple Star           |22 02 49.0275 -45 17 24.415            |353.0393879 -52.0195263            |      21.4 -6.7    |9.582    |A9V             |    ~     ~    |    1|  252.318   pc  | -25.5300    +25.5300  |ST-L    |2020AJ....160...83S
2592|HD 209662                                                                                                |Star                              |22 06 03.2813689944 -44 32 13.408399284|354.0130810134788 -52.7560794913306|  14.041 14.996    |7.82     |F0V             |    ~     ~    |    1|  108.047   pc  |  -0.2755     +0.2755  |paral   |2020yCat.1350....0G
2593|HD 210038                                                                                                |High Proper Motion Star           |22 08 34.2506640000 -44 35 12.281516052|353.7523941427401 -53.1787952955968|128.738 -16.585    |8.86     |F5V             |    ~     ~    |    1|   96.579   pc  |  -0.1399     +0.1399  |paral   |2020yCat.1350....0G
2594|CD-46 14157                                                                                              |Star                              |22 01 23.1617952888 -45 24 00.064623996|352.9638598973270 -51.7490910681953|-20.537 -19.204    |9.68     |~               |    ~     ~    |    1|  425.188   pc  |  -3.2361     +3.2361  |paral   |2020yCat.1350....0G
2595|HD 209466                                                                                                |High Proper Motion Star           |22 04 45.5550655872 -45 29 26.171667708|352.5855959613041 -52.3005305428972|  8.827 -83.501    |8.87     |F6V             |    ~     ~    |    1|   84.830   pc  |  -1.2816     +1.2816  |paral   |2020yCat.1350....0G
2596|CD-46 14155                                                                                              |High Proper Motion Star           |22 01 21.6897922440 -46 02 21.606127152|351.9658581042406 -51.5889788460042|-57.181 -37.285    |10.48    |K5              |    ~     ~    |    1|  196.188   pc  |  -4.3210     +4.3210  |ST-L    |2020AJ....160...83S
2597|HD 209016                                                                                                |High Proper Motion Star           |22 01 22.3878966144 -45 59 15.902273616|352.0454482807262 -51.6038315255869| 45.735 -64.438    |9.51     |F3/5            |    ~     ~    |    1|  158.250   pc  |  -0.5635     +0.5635  |paral   |2020yCat.1350....0G
2598|HD 209160                                                                                                |Star                              |22 02 25.3003463496 -46 02 13.750327932|351.8943103170037 -51.7675508364748|  24.540 -5.652    |9.72     |A3/5mF0-F3/5    |    ~     ~    |    1|  294.361   pc  |  -5.0770     +5.0770  |ST-L    |2020AJ....160...83S
2599|CD-45 14539                                                                                              |Star                              |22 00 08.3489947200 -44 47 12.465639816|354.0085211243125 -51.6749786579175|  4.408 -14.967    |10.15    |~               |    ~     ~    |    1|  912.575   pc  | -12.0755    +12.0755  |paral   |2020yCat.1350....0G
2600|CD-46 14153                                                                                              |Star                              |22 00 44.1168090144 -45 56 30.161193432|352.1613575230558 -51.5078517483883|   8.762 -5.429    |10.96    |~               |    ~     ~    |    1|  765.345   pc  | -10.8950    +10.8950  |paral   |2020yCat.1350....0G
2601|CD-45 14550                                                                                              |High Proper Motion Star           |22 01 26.8270212888 -45 05 00.630074220|353.4572801652631 -51.8336562280290| 33.577 -62.370    |10.41    |~               |    ~     ~    |    1|  161.439   pc  |  -1.6870     +1.6870  |ST-L    |2020AJ....160...83S
2602|CD-46 14181                                                                                              |Star                              |22 03 55.5694155000 -45 28 50.659425084|352.6609793750348 -52.1616535236157| 13.886 -26.985    |9.900    |~               |    ~     ~    |    1|  655.681   pc  | -29.6800    +29.6800  |ST-L    |2020AJ....160...83S
2603|CD-45 14567                                                                                              |Star                              |22 05 10.1346731712 -44 33 19.648452168|354.0449490157612 -52.5983696539679|  26.974 -3.464    |10.30    |~               |    ~     ~    |    1|  246.348   pc  | -11.4699    +11.4699  |paral   |2020yCat.1350....0G
2604|CD-44 14759                                                                                              |High Proper Motion Star           |22 05 44.1585873000 -44 16 40.030675212|354.4516236329549 -52.7613621554948| 41.097 -45.237    |10.36    |~               |    ~     ~    |    1|  185.779   pc  |  -2.2370     +2.2370  |ST-L    |2020AJ....160...83S
2605|CD-46 14165                                                                                              |Star                              |22 02 22.5364303008 -45 46 05.701380456|352.3183693518356 -51.8275072404745|  45.807 -5.803    |10.62    |~               |    ~     ~    |    1|  199.845   pc  |  -2.2290     +2.2290  |ST-L    |2020AJ....160...83S
2606|CD-46 14151                                                                                              |Star                              |22 00 10.1789761128 -45 51 13.450769964|352.3368702699464 -51.4338815853160|  -0.518 16.544    |10.32    |~               |    ~     ~    |    1|  161.166   pc  |  -0.9299     +0.9299  |paral   |2020yCat.1350....0G
2607|CD-46 14152                                                                                              |Star                              |22 00 15.3646570896 -45 49 13.822702284|352.3827636961106 -51.4565239268964|   10.955 9.772    |10.62    |~               |    ~     ~    |    1|  579.206   pc  |  -4.2941     +4.2941  |paral   |2020yCat.1350....0G
2608|TYC 8001-1216-1                                                                                          |High Proper Motion Star           |22 05 27.7128432552 -44 05 42.989280180|354.7637737413099 -52.7551082117487|-62.375 -36.103    |10.60    |~               |    ~     ~    |    1|  134.911   pc  |  -0.2585     +0.2585  |paral   |2020yCat.1350....0G
2609|TYC 8001-1513-1                                                                                          |Star                              |22 01 05.8007701464 -44 01 01.556835816|355.1665647987243 -52.0062833887082|  17.059 -8.028    |10.579   |~               |    ~     ~    |    1|  601.994   pc  | -20.7700    +20.7700  |ST-L    |2020AJ....160...83S
2610|TYC 8001-1558-1                                                                                          |Star                              |22 00 05.2923106248 -44 39 04.121941068|354.2252354811341 -51.6957372037765|-12.357 -19.976    |10.89    |~               |    ~     ~    |    1|  296.481   pc  |  -1.5119     +1.5119  |paral   |2020yCat.1350....0G
2611|TYC 8438-1153-1                                                                                          |Star                              |22 01 44.3668553376 -45 28 09.692713128|352.8311223533816 -51.7927421305807| 16.662 -14.056    |10.719   |~               |    ~     ~    |    1|  612.290   pc  | -27.7300    +27.7300  |ST-L    |2020AJ....160...83S
2612|TYC 8438-1300-1                                                                                          |Star                              |22 02 00.0841326744 -45 49 28.237060452|352.2565071579319 -51.7503371955139|  8.650 -14.922    |10.352   |~               |    ~     ~    |    1|  889.423   pc  | -55.9300    +55.9300  |ST-L    |2020AJ....160...83S
2613|TYC 8438-1365-1                                                                                          |Star                              |22 00 55.5194035248 -46 19 49.699697160|351.5438449809523 -51.4423778998326| -4.822 -13.285    |10.54    |~               |    ~     ~    |    1|  785.053   pc  |  -8.1353     +8.1353  |paral   |2020yCat.1350....0G
