C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:45:13

dec< 0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3172

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
55  |HD 210350                                                                                                |Star                              |22 10 45.4774014528 -40 15 09.202444056|000.8050272623382 -54.4560286135926|  29.154 -9.858    |8.85     |K0III/IV        |    ~     ~    |    1|  658.241   pc  |  -6.8892     +6.8892  |paral   |2020yCat.1350....0G
56  |HD 210396                                                                                                |High Proper Motion Star           |22 11 03.0831076200 -40 16 52.127272344|000.7412001033325 -54.5067781880836|-53.675 -42.127    |7.84     |K0III           |    ~     ~    |    1|  150.766   pc  |  -0.4569     +0.4569  |paral   |2020yCat.1350....0G
57  |HD 210622                                                                                                |High Proper Motion Star           |22 12 29.8810848192 -40 12 11.393819028|000.7976044443804 -54.7917796365390| 14.101 -61.336    |6.59     |K0III           |    ~     ~    |    1|   78.314   pc  |  -0.1368     +0.1368  |paral   |2020yCat.1350....0G
58  |HD 210805                                                                                                |Star                              |22 13 45.2382492624 -40 02 56.231020968|000.9944615982360 -55.0537402926243|-10.316 -18.186    |9.68     |K1(III)         |    ~     ~    |    1|  462.821   pc  | -12.3900    +12.3900  |ST-L    |2020AJ....160...83S
59  |HD 210329                                                                                                |High Proper Motion Star           |22 10 35.4200628792 -40 24 42.417254556|000.5435159830792 -54.3991934851152|153.225 -60.002    |9.48     |K0V             |    ~     ~    |    1|   43.906   pc  |  -0.0310     +0.0310  |paral   |2020yCat.1350....0G
60  |HD 210470                                                                                                |Chemically Peculiar Star          |22 11 32.8729065216 -40 52 39.036447984|359.7014443939295 -54.5001567171135| 39.207 -28.786    |10.627   |G3/6            |    ~     ~    |    1| 1997.380   pc  |-221.8000   +221.8000  |ST-L    |2020AJ....160...83S
61  |HD 210543                                                                                                |Star                              |22 11 57.7674976248 -41 06 47.471621148|359.2778679841649 -54.5351250084967|  12.644 -0.318    |10.81    |A0/1V           |    ~     ~    |    1|  710.642   pc  | -38.0200    +38.0200  |ST-L    |2020AJ....160...83S
62  |HD 210680                                                                                                |Star                              |22 12 55.0253932344 -41 00 57.401795016|359.3862918115341 -54.7297360752350|  22.364 -5.643    |10.242   |F3V             |    ~     ~    |    1|  270.581   pc  |  -4.0700     +4.0700  |ST-L    |2020AJ....160...83S
63  |HD 210782                                                                                                |Star                              |22 13 37.2586146552 -41 08 12.358671756|359.1376564344442 -54.8376118152821| -8.823 -48.111    |8.87     |F6V             |    ~     ~    |    1|  146.269   pc  |  -1.1370     +1.1370  |ST-L    |2020AJ....160...83S
64  |HD 210817                                                                                                |Star                              |22 13 57.8802272736 -40 27 10.014894216|000.2879484514915 -55.0254460557242| 14.628 -16.415    |10.15    |G8/K1(III)      |    ~     ~    |    1|  707.541   pc  | -25.6700    +25.6700  |ST-L    |2020AJ....160...83S
65  |HD 210918                                                                                                |High Proper Motion Star           |22 14 38.6528791223 -41 22 53.994495360|358.6549883288849 -54.9788926563568|570.424 -790.497   |6.23     |G2V             |    ~     ~    |    1|   21.7796  pc  |  -0.0191     +0.0191  |paral   |2020yCat.1350....0G
66  |CD-40 14689                                                                                              |High Proper Motion Star           |22 12 56.6264766264 -40 03 23.109844608|001.0252747497087 -54.8995294953019|-44.076 -35.639    |10.73    |~               |    ~     ~    |    1|  213.465   pc  |  -2.4720     +2.4720  |ST-L    |2020AJ....160...83S
67  |HD 210193                                                                                                |High Proper Motion Star           |22 09 34.6126560384 -41 13 29.615602440|359.2272699902869 -54.0733705447474|159.484 -72.419    |7.82     |G3V             |    ~     ~    |    1|   42.254   pc  |  -0.0343     +0.0343  |paral   |2020yCat.1350....0G
68  |HD 210217                                                                                                |Star                              |22 09 45.1093240608 -41 24 24.463455444|358.9122385931470 -54.0732358024043|-11.758 -11.477    |8.85     |K2III           |    ~     ~    |    1|  539.607   pc  |  -5.0665     +5.0665  |paral   |2020yCat.1350....0G
69  |HD 210691                                                                                                |Star                              |22 13 03.1290574728 -41 44 37.528981260|358.1426566722556 -54.6147887490948|   19.767 9.209    |8.97     |G6/8III         |    ~     ~    |    1|  481.070   pc  |  -5.7163     +5.7163  |paral   |2020yCat.1350....0G
70  |CD-42 15825                                                                                              |Star                              |22 14 11.5787576856 -41 29 44.633303412|358.4897117035164 -54.8733318202071|   1.953 -5.293    |10.65    |~               |    ~     ~    |    1|  476.958   pc  | -12.2700    +12.2700  |ST-L    |2020AJ....160...83S
71  |GSPC S344-A                                                                                              |Star                              |22 10 45.3 -40 15 06                   |000.8067 -54.4556                  |            ~ ~    |8.89     |~               |    ~     ~    |    0|                |                       |        |                   
72  |GSPC S344-B                                                                                              |Star                              |22 10 34.9 -40 24 40                   |000.5451 -54.3977                  |            ~ ~    |9.55     |~               |    ~     ~    |    0|                |                       |        |                   
73  |TYC 7998-457-1                                                                                           |Star                              |22 11 59.5014407160 -40 10 57.166383648|000.8598421392660 -54.6996703684336| -12.779 -7.811    |10.544   |~               |    ~     ~    |    1| 1062.410   pc  | -81.9400    +81.9400  |ST-L    |2020AJ....160...83S
74  |TYC 7995-421-1                                                                                           |Star                              |22 08 16.8606128664 -39 06 00.034994484|002.8747273316653 -54.1446284830973|  21.117 -6.831    |10.74    |~               |    ~     ~    |    1| 1000.200   pc  | -14.4058    +14.4058  |paral   |2020yCat.1350....0G
75  |TYC 7995-816-1                                                                                           |Star                              |22 09 15.4890997896 -39 01 04.852739172|002.9743900305059 -54.3429030363213| -3.867 -18.571    |10.90    |~               |    ~     ~    |    1|  322.269   pc  |  -1.2359     +1.2359  |paral   |2020yCat.1350....0G
76  |TYC 7998-114-1                                                                                           |Star                              |22 07 42.0040484016 -40 11 03.015977028|001.0712476548419 -53.8893293494424| 27.741 -23.412    |10.59    |~               |    ~     ~    |    1|  617.017   pc  |  -5.8629     +5.8629  |paral   |2020yCat.1350....0G
