C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:34:33

dec >=0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4191

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2991|BD+07 470                                                                                                                                                                      |Star                                |03 04 51.7085126376 +08 23 39.339070224|169.9616168106987 -41.9784224012340| 18.446 -17.603   |10.40    |G0                   |    ~     ~    |    1|  120.224   pc  |  -0.2501     +0.2501  |paral   |2020yCat.1350....0G
2992|HD 19391                                                                                                                                                                       |Double or Multiple Star             |03 07 19.44042 +08 23 44.1971          |170.57278450 -41.57456945          |  -10.30 -11.56   |9.288    |F5                   |    ~     ~    |    0|                |                       |        |                   
2993|HD 19525                                                                                                                                                                       |High Proper Motion Star             |03 08 38.7917957784 +08 28 15.857723964|170.8310792851666 -41.3004082084574|  -2.866 74.421   |6.273    |G9III                |    ~     ~    |    1|  124.662   pc  |  -0.4678     +0.4678  |paral   |2020yCat.1350....0G
2994|BD+07 479                                                                                                                                                                      |Star                                |03 09 51.1545251424 +08 28 44.898321180|171.1184356896799 -41.0948623751473|   4.602 -2.378   |9.63     |K2                   |    ~     ~    |    1|  368.433   pc  |  -2.6741     +2.6741  |paral   |2020yCat.1350....0G
2995|BD+07 462                                                                                                                                                                      |Star                                |03 01 49.8698951904 +08 09 13.476222864|169.4086036973477 -42.6513219391958|   8.299 -7.322   |9.19     |K2                   |    ~     ~    |    1|  685.777   pc  | -11.8043    +11.8043  |paral   |2020yCat.1350....0G
2996|BD+08 457                                                                                                                                                                      |High Proper Motion Star             |03 00 16.1303885712 +08 35 40.798985316|168.6205139709158 -42.5658953795814| 93.144 -25.762   |10.71    |G5                   |    ~     ~    |    1|   72.806   pc  |  -0.1087     +0.1087  |paral   |2020yCat.1350....0G
2997|BD+08 459                                                                                                                                                                      |Star                                |03 01 46.6895039640 +09 26 35.342985948|168.2699394748438 -41.6764063917437|   9.745 -7.452   |10.52    |F8                   |    ~     ~    |    1|  474.496   pc  |  -4.2328     +4.2328  |paral   |2020yCat.1350....0G
2998|TYC 641-180-1                                                                                                                                                                  |High Proper Motion Star             |03 02 26.0731482840 +08 25 01.372178064|169.3294202123068 -42.3543311489405| 91.607 -11.692   |10.58    |~                    |    ~     ~    |    1|  213.730   pc  |  -0.8862     +0.8862  |paral   |2020yCat.1350....0G
2999|TYC 641-606-1                                                                                                                                                                  |Star                                |03 03 24.7987827288 +08 38 26.161439028|169.3803541688787 -42.0270577000101|  -6.843 -6.394   |10.54    |~                    |    ~     ~    |    1|  263.054   pc  |  -1.5223     +1.5223  |paral   |2020yCat.1350....0G
3000|TYC 641-664-1                                                                                                                                                                  |High Proper Motion Star             |03 01 56.0097054144 +08 42 56.948863464|168.9398007617945 -42.2076587414478|-13.313 -70.146   |10.61    |~                    |    ~     ~    |    1|  175.150   pc  |  -6.5466     +6.5466  |paral   |2020yCat.1350....0G
3001|TYC 641-701-1                                                                                                                                                                  |Star                                |03 01 54.1280660208 +08 37 32.147560236|169.0108124634586 -42.2813928450900| -3.818 -36.152   |10.81    |~                    |    ~     ~    |    1|  250.507   pc  |  -1.0668     +1.0668  |paral   |2020yCat.1350....0G
3002|TYC 648-573-1                                                                                                                                                                  |Star                                |03 08 37.5563273376 +09 33 47.343060612|169.8674845672092 -40.4867006504888| -7.205 -31.573   |10.16    |~                    |    ~     ~    |    1|  550.388   pc  |  -5.2103     +5.2103  |paral   |2020yCat.1350....0G
3003|TYC 648-789-1                                                                                                                                                                  |Star                                |03 04 04.0538520816 +08 52 21.795103884|169.3414973952867 -41.7456757294486|-31.686 -12.934   |10.94    |~                    |    ~     ~    |    1|  219.505   pc  |  -0.8914     +0.8914  |paral   |2020yCat.1350....0G
3004|TYC 648-847-1                                                                                                                                                                  |Star                                |03 05 41.3673780960 +09 18 55.288512324|169.3605089105186 -41.1489975658823|  -2.139 -8.894   |10.50    |~                    |    ~     ~    |    1|  752.559   pc  |  -7.9288     +7.9288  |paral   |2020yCat.1350....0G
3005|TYC 648-874-1                                                                                                                                                                  |Star                                |03 06 11.1777133176 +09 06 05.477611104|169.6697300287673 -41.2302996343926| -1.504 -28.258   |10.14    |~                    |    ~     ~    |    1|  266.645   pc  |  -1.7206     +1.7206  |paral   |2020yCat.1350....0G
3006|TYC 648-954-1                                                                                                                                                                  |Star                                |03 04 33.0063021312 +08 13 23.070056052|170.0353005052545 -42.1580282531764|    1.670 6.543   |10.50    |~                    |    ~     ~    |    1|  427.186   pc  |  -3.5768     +3.5768  |paral   |2020yCat.1350....0G
3007|TYC 648-972-1                                                                                                                                                                  |Star                                |03 07 01.5660884304 +09 59 51.698361444|169.1019732173501 -40.4170258562225| -11.429 -6.627   |10.93    |~                    |    ~     ~    |    1|  362.056   pc  | -20.0691    +20.0691  |paral   |2020yCat.1350....0G
3008|BD+05 446                                                                                                                                                                      |Star                                |03 05 33.3402940032 +06 11 43.785291012|172.1359129207260 -43.4998386068685| 19.146 -24.427   |9.70     |G0                   |    ~     ~    |    1|  135.547   pc  |  -2.1864     +2.1864  |paral   |2020yCat.1350....0G
3009|BD+05 453                                                                                                                                                                      |Star                                |03 09 39.2233765464 +06 18 00.821013696|173.0577241254954 -42.7282334123779| -5.886 -41.692   |10.19    |F2                   |    ~     ~    |    1|  170.448   pc  |  -0.5258     +0.5258  |paral   |2020yCat.1350....0G
3010|HD 19019                                                                                                                                                                       |High Proper Motion Star             |03 03 50.8149430128 +06 07 59.884850532|171.7612218527629 -43.8326922927414| 232.147 49.838   |6.926    |G0V                  |    ~     ~    |    1|   31.270   pc  |  -0.0279     +0.0279  |paral   |2020yCat.1350....0G
3011|HD 19303                                                                                                                                                                       |Star                                |03 06 35.4329929872 +08 13 20.896168224|170.5452683032034 -41.8245201543607|   13.123 9.628   |9.38     |G5                   |    ~     ~    |    1|  128.866   pc  |  -0.6261     +0.6261  |paral   |2020yCat.1350....0G
3012|BD+07 472                                                                                                                                                                      |Star                                |03 06 02.1606876840 +07 43 14.829401496|170.8568530138273 -42.2903732776556|  3.595 -31.663   |10.64    |G5                   |    ~     ~    |    1|  188.498   pc  |  -0.6502     +0.6502  |paral   |2020yCat.1350....0G
3013|HD 19521                                                                                                                                                                       |Star                                |03 08 27.8911801056 +07 38 34.870770816|171.5292687789325 -41.9448469441123|-17.166 -20.089   |7.01     |F0                   |    ~     ~    |    1|  105.056   pc  |  -0.2638     +0.2638  |paral   |2020yCat.1350....0G
3014|BD+07 480                                                                                                                                                                      |Star                                |03 10 17.8779412680 +07 46 02.859527604|171.8655030746321 -41.5463553495778|   9.148 -6.733   |9.48     |K0                   |    ~     ~    |    1|  425.822   pc  |  -3.1188     +3.1188  |paral   |2020yCat.1350....0G
3015|BD+06 467                                                                                                                                                                      |Star                                |03 02 42.4488222885 +07 04 00.255754819|170.6093609010321 -43.3275742532135|    0.812 3.136   |9.914    |F2                   |    ~     ~    |    1|  221.651   pc  |  -1.4198     +1.4198  |paral   |2020yCat.1350....0G
3016|BD+06 469                                                                                                                                                                      |Star                                |03 03 40.3544406840 +06 37 21.365832108|171.2626143202950 -43.4992232101234|   6.660 -6.919   |10.50    |K0                   |    ~     ~    |    1| 1197.031   pc  | -26.6516    +26.6516  |paral   |2020yCat.1350....0G
3017|HD 19042                                                                                                                                                                       |Star                                |03 03 57.6441494688 +07 16 54.135865704|170.7323915899421 -42.9604408680339|   10.582 2.187   |8.06     |A5                   |    ~     ~    |    1|  139.950   pc  |  -0.5621     +0.5621  |paral   |2020yCat.1350....0G
3018|HD 19081                                                                                                                                                                       |Star                                |03 04 21.9543365496 +06 38 58.208850492|171.4137778811788 -43.3638853968397|  6.036 -11.322   |9.23     |K2                   |    ~     ~    |    1|  410.965   pc  |  -3.2934     +3.2934  |paral   |2020yCat.1350....0G
3019|HD 19138                                                                                                                                                                       |Star                                |03 04 56.3057399112 +06 53 59.981796420|171.3279382165131 -43.0827532853763|  18.340 14.184   |9.04     |K5                   |    ~     ~    |    1|  429.664   pc  |  -4.5599     +4.5599  |paral   |2020yCat.1350....0G
3020|HD 19168                                                                                                                                                                       |Star                                |03 05 12.3667570536 +07 12 45.148980816|171.1095108418509 -42.8061112588588|  -4.885 -5.426   |9.08     |K5                   |    ~     ~    |    1|  587.303   pc  | -11.2445    +11.2445  |paral   |2020yCat.1350....0G
3021|HD 19311                                                                                                                                                                       |Star                                |03 06 36.5731494264 +06 59 49.951504284|171.6579633352598 -42.7320328896813| 10.061 -21.576   |9.43     |F8                   |    ~     ~    |    1|  175.744   pc  |  -0.6949     +0.6949  |paral   |2020yCat.1350....0G
3022|TYC 61-640-1                                                                                                                                                                   |Star                                |03 06 33.6586448040 +07 01 03.983720592|171.6269766380520 -42.7249575206328|  37.019 18.690   |10.30    |G5                   |    ~     ~    |    1|  377.843   pc  |  -4.6970     +4.6970  |paral   |2020yCat.1350....0G
3023|HD 19420                                                                                                                                                                       |Star                                |03 07 34.4089321920 +06 41 44.351080332|172.1758143213188 -42.7923263523275| -22.362 -7.167   |9.40     |F5                   |    ~     ~    |    1|  206.105   pc  |  -1.2956     +1.2956  |paral   |2020yCat.1350....0G
3024|HD 19432                                                                                                                                                                       |Star                                |03 07 40.4476073640 +07 14 45.152276136|171.6950968394027 -42.3703278589846|   3.665 -6.951   |8.97     |A2                   |    ~     ~    |    1|  244.804   pc  |  -1.8758     +1.8758  |paral   |2020yCat.1350....0G
3025|HD 19462                                                                                                                                                                       |Star                                |03 07 56.2871548848 +07 15 22.211669520|171.7510563902052 -42.3185430412279|   6.511 -4.987   |8.06     |A0                   |    ~     ~    |    1|  242.713   pc  |  -1.6259     +1.6259  |paral   |2020yCat.1350....0G
3026|BD+06 484                                                                                                                                                                      |Star                                |03 08 00.9084518064 +06 47 55.519983744|172.1901119318687 -42.6421834785422| -7.437 -34.821   |10.27    |G0                   |    ~     ~    |    1|  173.094   pc  |  -0.5573     +0.5573  |paral   |2020yCat.1350....0G
3027|HD 19511                                                                                                                                                                       |Star                                |03 08 24.8658110952 +06 43 24.448865484|172.3585108863422 -42.6300043724986|  18.021 20.981   |7.67     |G4III                |    ~     ~    |    1|  241.528   pc  |  -1.2192     +1.2192  |paral   |2020yCat.1350....0G
3028|HD 19573                                                                                                                                                                       |Star                                |03 09 10.5310818000 +07 27 37.509810336|171.8697398812668 -41.9606318442367|  -9.979 -0.663   |7.61     |G0                   |    ~     ~    |    1|   82.036   pc  |  -0.1608     +0.1608  |paral   |2020yCat.1350....0G
3029|HD 19574                                                                                                                                                                       |Star                                |03 09 12.1112414856 +07 26 20.053608504|171.8957899999809 -41.9720499929496|   -3.422 3.871   |7.78     |G0                   |    ~     ~    |    1|   82.368   pc  |  -0.1750     +0.1750  |paral   |2020yCat.1350....0G
3030|HD 19638                                                                                                                                                                       |High Proper Motion Star             |03 09 56.3911422696 +06 42 17.357409108|172.7511890075261 -42.3850663846369|110.172 -59.260   |8.17     |G5                   |    ~     ~    |    1|  117.269   pc  |  -2.3241     +2.3241  |paral   |2020yCat.1350....0G
3031|HD 19772                                                                                                                                                                       |Star                                |03 11 09.5792976264 +06 52 01.464071232|172.8987096164278 -42.0593554094185|    7.488 7.521   |7.99     |K0                   |    ~     ~    |    1|  274.522   pc  |  -2.3965     +2.3965  |paral   |2020yCat.1350....0G
3032|HD 19790                                                                                                                                                                       |Star                                |03 11 10.2199511808 +07 10 26.463827532|172.6185402539928 -41.8339679115330| 22.579 -14.870   |7.86     |F3III                |    ~     ~    |    1|  143.746   pc  |  -0.5827     +0.5827  |paral   |2020yCat.1350....0G
3033|V* HT Cet                                                                                                                                                                      |gamma Dor Variable                  |03 03 28.1667742632 +06 13 36.122883420|171.5778985663447 -43.8267345574321| -9.312 -58.652   |6.72     |F0                   |    ~     ~    |    1|   71.096   pc  |  -0.1542     +0.1542  |paral   |2020yCat.1350....0G
3034|HD 19228                                                                                                                                                                       |Star                                |03 05 45.6114380832 +06 31 15.069345096|171.8845656326336 -43.2258905668068|  6.159 -22.757   |9.35     |A0                   |    ~     ~    |    1|  301.577   pc  |  -3.4470     +3.4470  |paral   |2020yCat.1350....0G
3035|BD+05 452                                                                                                                                                                      |Star                                |03 09 24.1949173776 +06 24 28.933284240|172.8954200062825 -42.6925548318069| -10.821 -2.579   |10.71    |F2                   |    ~     ~    |    1|  222.025   pc  |  -0.9859     +0.9859  |paral   |2020yCat.1350....0G
3036|V* BZ Cet                                                                                                                                                                      |BY Dra Variable                     |03 00 02.8119278075 +07 44 59.118374397|169.3098188544078 -43.2455880466608| 328.026 21.181   |7.955    |K2.5Vk               |    ~     ~    |    1|   23.7653  pc  |  -0.0157     +0.0157  |paral   |2020yCat.1350....0G
3037|BD+07 460                                                                                                                                                                      |Star                                |03 00 08.6513238000 +07 53 33.276344640|169.2076778381537 -43.1213619470679|  15.234 -8.542   |10.06    |K0                   |    ~     ~    |    1|  549.813   pc  |  -9.4316     +9.4316  |paral   |2020yCat.1350....0G
3038|HD 18655                                                                                                                                                                       |High Proper Motion Star             |03 00 12.1889176272 +07 31 04.416638916|169.5577974562902 -43.3962922073528| 49.018 -27.004   |9.66     |A5                   |    ~     ~    |    1|  283.358   pc  |  -1.9912     +1.9912  |paral   |2020yCat.1350....0G
3039|BD+07 461                                                                                                                                                                      |Star                                |03 01 45.0343640832 +07 51 08.303651064|169.6561716330961 -42.8926444615797|   2.456 -8.731   |10.07    |G5                   |    ~     ~    |    1|  447.708   pc  |  -3.6681     +3.6681  |paral   |2020yCat.1350....0G
3040|BD+07 464                                                                                                                                                                      |Star                                |03 02 04.1227914912 +07 58 47.088201468|169.6237839184327 -42.7447172397214| 14.229 -35.541   |10.27    |K0                   |    ~     ~    |    1|  476.599   pc  |  -3.6571     +3.6571  |paral   |2020yCat.1350....0G
3041|BD+07 465                                                                                                                                                                      |Star                                |03 02 10.6953500256 +07 51 20.983917996|169.7622459397884 -42.8206403794173|  29.895 -4.705   |10.01    |F5                   |    ~     ~    |    1|  209.525   pc  |  -1.0800     +1.0800  |paral   |2020yCat.1350....0G
3042|BD+06 463                                                                                                                                                                      |High Proper Motion Star             |03 00 00.6118458864 +07 06 08.942104836|169.8827848165653 -43.7418497464094| 34.976 -95.712   |9.63     |G0                   |    ~     ~    |    1|   87.797   pc  |  -1.8515     +1.8515  |paral   |2020yCat.1350....0G
3043|BD+06 464                                                                                                                                                                      |Star                                |03 01 25.3598949888 +07 10 57.478097820|170.1747986182741 -43.4512227249985|   -2.397 3.019   |10.24    |F5                   |    ~     ~    |    1|  361.454   pc  |  -2.3386     +2.3386  |paral   |2020yCat.1350....0G
3044|BD+06 466                                                                                                                                                                      |Star                                |03 02 16.9208516304 +07 28 25.860914256|170.1315905131120 -43.0917482639116|  -4.185 -5.778   |9.79     |K2                   |    ~     ~    |    1|  562.968   pc  |  -5.7048     +5.7048  |paral   |2020yCat.1350....0G
3045|HD 18774                                                                                                                                                                       |Double or Multiple Star             |03 01 22.6882498896 +06 14 56.825833200|171.0201997098485 -44.1578579265361| 36.591 -85.613   |8.84     |G5                   |0.0017  0.0    |    1|   55.129   pc  |  -2.0855     +2.0855  |paral   |2020yCat.1350....0G
3046|TYC 61-255-1                                                                                                                                                                   |Star                                |03 07 39.8661373104 +06 45 05.615039556|172.1467224956248 -42.7359407220604| -9.327 -20.324   |10.36    |~                    |    ~     ~    |    0|                |                       |        |                   
3047|TYC 61-380-1                                                                                                                                                                   |Star                                |03 07 07.6734031632 +07 24 25.195192488|171.4127735939114 -42.3423966096453|-22.033 -31.653   |10.58    |~                    |    ~     ~    |    1|  230.277   pc  |  -1.0659     +1.0659  |paral   |2020yCat.1350....0G
3048|TYC 61-428-1                                                                                                                                                                   |Star                                |03 04 58.2276686040 +07 09 24.655958172|171.1009910110805 -42.8866039427090| 23.236 -31.263   |10.95    |~                    |    ~     ~    |    1|  210.682   pc  |  -0.7901     +0.7901  |paral   |2020yCat.1350....0G
3049|TYC 61-456-1                                                                                                                                                                   |Star                                |03 06 21.8208114216 +07 24 45.563007276|171.2173845926044 -42.4653197390371|   18.436 1.660   |10.61    |~                    |    ~     ~    |    1|  259.242   pc  |  -1.2030     +1.2030  |paral   |2020yCat.1350....0G
3050|TYC 61-474-1                                                                                                                                                                   |Star                                |03 03 14.6961620256 +07 06 54.889328556|170.7021368915294 -43.2028042336031|   -3.825 1.276   |10.88    |~                    |    ~     ~    |    1|  997.307   pc  | -16.1129    +16.1129  |paral   |2020yCat.1350....0G
3051|TYC 61-475-1                                                                                                                                                                   |Star                                |03 01 49.0654103736 +06 13 30.152636940|171.1559872217096 -44.1029286449314|  -2.691 -7.681   |10.98    |~                    |    ~     ~    |    1|  943.841   pc  | -16.5696    +16.5696  |paral   |2020yCat.1350....0G
3052|TYC 61-556-1                                                                                                                                                                   |Star                                |03 01 46.5652324392 +07 16 40.361483964|170.1792132544746 -43.3218224260676|   -5.858 2.340   |10.05    |~                    |    ~     ~    |    1|  266.994   pc  |  -4.3484     +4.3484  |paral   |2020yCat.1350....0G
3053|TYC 61-612-1                                                                                                                                                                   |Star                                |03 05 35.6000450736 +06 54 50.312106972|171.4799200923374 -42.9633025450380|  -6.244 -7.429   |10.78    |~                    |    ~     ~    |    1|  507.924   pc  |  -3.8698     +3.8698  |paral   |2020yCat.1350....0G
3054|TYC 61-637-1                                                                                                                                                                   |Star                                |03 05 43.8151426512 +06 17 06.100254420|172.0963023451213 -43.4045941771446| -11.198 -3.594   |10.54    |~                    |    ~     ~    |    1|  243.368   pc  |  -1.4037     +1.4037  |paral   |2020yCat.1350....0G
3055|TYC 61-815-1                                                                                                                                                                   |Star                                |03 00 54.2997667488 +06 38 04.452505836|170.5417925926134 -43.9476926472445|   1.884 -6.092   |10.94    |~                    |    ~     ~    |    1|  885.975   pc  | -12.7947    +12.7947  |paral   |2020yCat.1350....0G
3056|TYC 61-997-1                                                                                                                                                                   |Star                                |03 06 28.4664506736 +06 35 43.592400276|171.9945492476091 -43.0509866516344|   36.976 3.203   |10.61    |~                    |    ~     ~    |    1|  151.927   pc  |  -0.3855     +0.3855  |paral   |2020yCat.1350....0G
3057|TYC 61-1011-1                                                                                                                                                                  |Star                                |03 00 30.6824365104 +06 15 51.312183552|170.7816773631659 -44.2898022802017|    2.928 1.051   |10.31    |~                    |    ~     ~    |    1|  805.997   pc  | -14.8765    +14.8765  |paral   |2020yCat.1350....0G
3058|TYC 61-1176-1                                                                                                                                                                  |Star                                |03 05 02.8723597008 +06 07 19.827602724|172.0763082247983 -43.6392723507534|    1.056 3.026   |10.36    |~                    |    ~     ~    |    1|  120.389   pc  |  -0.2580     +0.2580  |paral   |2020yCat.1350....0G
3059|TYC 62-169-1                                                                                                                                                                   |Star                                |03 10 34.9290702744 +07 08 10.553419248|172.5101060244224 -41.9612383252505|  20.276 -3.170   |10.58    |~                    |    ~     ~    |    1|  190.212   pc  |  -0.7345     +0.7345  |paral   |2020yCat.1350....0G
3060|TYC 641-334-1                                                                                                                                                                  |Star                                |03 01 51.4690 +07 44 31.110            |169.7822400 -42.9586531            |-11.973 -25.476   |10.44    |~                    |    ~     ~    |    0|                |                       |        |                   
3061|TYC 648-811-1                                                                                                                                                                  |Star                                |03 05 46.9952955552 +07 45 37.599829920|170.7580033795134 -42.3025066120520|-10.266 -12.689   |10.67    |~                    |    ~     ~    |    1|  284.876   pc  | -12.1326    +12.1326  |paral   |2020yCat.1350....0G
3062|HD 19325                                                                                                                                                                       |Star                                |03 06 43.0836540744 +04 11 46.380058908|174.3440387241319 -44.7524899315633|  14.688 31.134   |9.44     |A9III                |    ~     ~    |    1|  322.758   pc  | -13.5216    +13.5216  |paral   |2020yCat.1350....0G
3063|HD 19699                                                                                                                                                                       |Star                                |03 10 25.5596068152 +04 15 29.441500416|175.2051280075427 -44.0596219202157|  14.156 -4.030   |9.16     |F5V                  |    ~     ~    |    1|  126.422   pc  |  -0.3644     +0.3644  |paral   |2020yCat.1350....0G
3064|HD 18918                                                                                                                                                                       |Star                                |03 02 49.4894181576 +05 44 53.888390988|171.8611167515092 -44.2883934939517|  31.275 -0.976   |9.26     |F8                   |    ~     ~    |    1|  137.122   pc  |  -0.3742     +0.3742  |paral   |2020yCat.1350....0G
3065|HD 19219                                                                                                                                                                       |Star                                |03 05 38.4809331120 +06 07 02.771991984|172.2304995988788 -43.5427646498403|  31.344 -3.867   |7.68     |K2                   |    ~     ~    |    1|  266.347   pc  |  -1.7877     +1.7877  |paral   |2020yCat.1350....0G
3066|HD 19312                                                                                                                                                                       |Star                                |03 06 33.3264553104 +05 37 30.059445540|172.9242671186336 -43.7480063958994|  -2.338 -6.860   |7.96     |G5                   |    ~     ~    |    1|  309.511   pc  |  -2.5769     +2.5769  |paral   |2020yCat.1350....0G
3067|HD 19345                                                                                                                                                                       |High Proper Motion Star             |03 06 50.1999680472 +05 39 00.091270944|172.9710587784739 -43.6818482613603| 52.739 -56.170   |8.20     |F0                   |    ~     ~    |    1|  129.237   pc  |  -1.3044     +1.3044  |paral   |2020yCat.1350....0G
3068|HD 18910                                                                                                                                                                       |Star                                |03 02 39.8970669984 +05 11 17.455269336|172.3513964486302 -44.7277904633603|   4.753 -7.452   |7.42     |B9IV/V               |    ~     ~    |    1|  202.515   pc  |  -1.5708     +1.5708  |paral   |2020yCat.1350....0G
3069|BD+04 487                                                                                                                                                                      |Star                                |03 03 05.5615735296 +04 53 53.585488896|172.7394750421742 -44.8677621163459|   8.231 -3.987   |10.79    |K0                   |    ~     ~    |    1|  801.667   pc  | -11.3110    +11.3110  |paral   |2020yCat.1350....0G
3070|HD 19001                                                                                                                                                                       |High Proper Motion Star             |03 03 31.3274314248 +05 20 07.331337204|172.4309561518182 -44.4748266483550| 51.432 -18.494   |8.86     |K0III                |    ~     ~    |    1|  239.515   pc  |  -1.4629     +1.4629  |paral   |2020yCat.1350....0G
3071|BD+04 492                                                                                                                                                                      |Star                                |03 05 10.6606253376 +05 28 15.296074248|172.7233315623175 -44.0948933279965|  11.025 -3.071   |9.93     |K0                   |    ~     ~    |    1|  252.934   pc  |  -1.3627     +1.3627  |paral   |2020yCat.1350....0G
3072|HD 19283                                                                                                                                                                       |Star                                |03 06 11.0900682336 +04 49 25.084619292|173.5983444768558 -44.3931242418468| -2.049 -23.608   |8.43     |K0III                |    ~     ~    |    1|  312.246   pc  |  -2.4082     +2.4082  |paral   |2020yCat.1350....0G
3073|HD 19292                                                                                                                                                                       |Star                                |03 06 19.8851334336 +05 18 52.985682828|173.1633155139049 -44.0120225660615|  -1.272 11.598   |8.88     |K0III                |    ~     ~    |    1|  567.730   pc  |  -9.1216     +9.1216  |paral   |2020yCat.1350....0G
3074|HD 19293                                                                                                                                                                       |Star                                |03 06 22.3219110168 +05 16 42.665718756|173.2081257575122 -44.0313717717809|  28.298 -9.245   |9.61     |F0V                  |    ~     ~    |    1|  219.164   pc  |  -1.5034     +1.5034  |paral   |2020yCat.1350....0G
3075|HD 19392                                                                                                                                                                       |Star                                |03 07 14.7604911312 +05 01 11.474666544|173.6755714240770 -44.0686207251027|   -6.042 4.810   |8.42     |K2/3III/IV           |    ~     ~    |    1|  553.342   pc  |  -9.0938     +9.0938  |paral   |2020yCat.1350....0G
3076|BD+04 497                                                                                                                                                                      |Star                                |03 08 08.3276843808 +05 31 32.286131904|173.4141176676069 -43.5493794910501|   6.676 -5.854   |9.26     |K2                   |    ~     ~    |    1|  422.547   pc  |  -3.7138     +3.7138  |paral   |2020yCat.1350....0G
3077|BD+04 498                                                                                                                                                                      |Star                                |03 08 16.8414610752 +05 16 08.355096804|173.6944035733478 -43.7104926137385| -9.573 -24.257   |10.41    |G5                   |    ~     ~    |    1|  224.962   pc  |  -0.9261     +0.9261  |paral   |2020yCat.1350....0G
3078|BD+04 499                                                                                                                                                                      |Star                                |03 09 24.2766799776 +05 13 16.868828676|174.0184570328291 -43.5506643115075|   19.759 3.166   |9.41     |F0                   |    ~     ~    |    1|  249.470   pc  | -13.5424    +13.5424  |paral   |2020yCat.1350....0G
3079|HD 19620                                                                                                                                                                       |Double or Multiple Star             |03 09 36.34511 +05 12 10.3602          |174.08581139 -43.52909647          |   70.71 -29.43   |7.97     |G0V                  |0.0050  0.0    |    0|                |                       |        |                   
3080|BD+04 503                                                                                                                                                                      |Star                                |03 10 14.0045155440 +04 53 15.057916548|174.5442631677513 -43.6457859458266|   0.773 46.071   |9.69     |G0                   |    ~     ~    |    1|  184.237   pc  |  -0.6687     +0.6687  |paral   |2020yCat.1350....0G
3081|HD 19147                                                                                                                                                                       |Star                                |03 05 01.2440125392 +04 27 56.171455956|173.6512618817193 -44.8523714875825| 11.381 -13.081   |9.26     |G8/K0IV              |    ~     ~    |    1|  170.914   pc  |  -0.5638     +0.5638  |paral   |2020yCat.1350....0G
3082|BD+03 428                                                                                                                                                                      |Star                                |03 05 15.4970114832 +04 33 41.297884704|173.6182417071250 -44.7421591048584|   2.079 -3.633   |10.24    |K2                   |    ~     ~    |    1|  558.223   pc  |  -6.2011     +6.2011  |paral   |2020yCat.1350....0G
3083|BD+03 433                                                                                                                                                                      |Long-Period Variable                |03 09 38.9119308528 +04 23 03.165989928|174.8900280169109 -44.1066925548968|  20.001 13.731   |9.16     |M5                   |    ~     ~    |    1|  656.599   pc  | -16.7706    +16.7706  |paral   |2020yCat.1350....0G
3084|NAME Menkar                        * alf Cet                                                                                                                                   |Long-Period Variable Candidate      |03 02 16.77307 +04 05 23.0596          |173.31598286 -45.59569258          |  -10.41 -76.85   |2.53     |M1.5IIIa             |    ~     ~    |    0|                |                       |        |                   
3085|HD 18666                                                                                                                                                                       |Star                                |03 00 11.8399574832 +05 36 49.541307048|171.3080782889051 -44.8269776945997|-11.344 -27.313   |8.63     |A2                   |    ~     ~    |    1|  174.259   pc  |  -1.4728     +1.4728  |paral   |2020yCat.1350....0G
3086|HD 18746                                                                                                                                                                       |Star                                |03 00 55.8377606016 +05 34 28.715028276|171.5358825046190 -44.7338519094847|  5.074 -25.381   |8.83     |K5                   |    ~     ~    |    1|  611.770   pc  |  -9.8057     +9.8057  |paral   |2020yCat.1350....0G
3087|BD+05 437                                                                                                                                                                      |Star                                |03 01 12.3333237144 +05 53 32.545164588|171.3083340171850 -44.4521200312152|  19.446 19.415   |9.65     |K0                   |    ~     ~    |    1|  189.007   pc  |  -0.6716     +0.6716  |paral   |2020yCat.1350....0G
3088|HD 18872                                                                                                                                                                       |Star                                |03 02 13.8636950160 +05 38 40.127540856|171.8063604795260 -44.4646457417568|   11.911 3.447   |9.16     |G5                   |    ~     ~    |    1|  440.878   pc  |  -3.4599     +3.4599  |paral   |2020yCat.1350....0G
3089|HD 18893                                                                                                                                                                       |Star                                |03 02 30.4608265296 +05 35 10.446123192|171.9325996460920 -44.4612520921467|-18.525 -35.762   |9.59     |F8                   |    ~     ~    |    1|  174.183   pc  |  -0.5825     +0.5825  |paral   |2020yCat.1350....0G
3090|HD 18759                                                                                                                                                                       |High Proper Motion Star             |03 01 06.4036110360 +05 00 23.786562672|172.1220244737070 -45.1242143721661| 24.526 -45.727   |9.40     |F5V                  |    ~     ~    |    1|  125.715   pc  |  -0.3019     +0.3019  |paral   |2020yCat.1350....0G
