C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:34:33

dec >=0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4191

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
65  |HD 18615                                                                                                                                                                       |Star                                |03 00 52.0092816384 +39 15 46.661981724|148.6195921104849 -17.0673502871500|  0.327 -17.148   |8.74     |K0                   |    ~     ~    |    1|  339.420   pc  |  -6.6935     +6.6935  |paral   |2020yCat.1350....0G
66  |BD+38 612                                                                                                                                                                      |Star                                |03 00 55.0335032208 +39 31 46.015754160|148.4896728924790 -16.8314143566584|  16.844 -6.890   |8.97     |K0                   |    ~     ~    |    1|  700.084   pc  | -13.2332    +13.2332  |paral   |2020yCat.1350....0G
67  |BD+38 613                                                                                                                                                                      |Star                                |03 01 24.1111879680 +38 59 28.858860528|148.8556443462165 -17.2508413888630|   9.964 -9.144   |10.12    |A2                   |    ~     ~    |    1|  568.828   pc  |  -6.6331     +6.6331  |paral   |2020yCat.1350....0G
68  |BD+38 614                                                                                                                                                                      |High Proper Motion Star             |03 01 44.5825279680 +39 32 14.044236792|148.6297344763432 -16.7451951363120| 55.792 -20.637   |10.50    |G0                   |    ~     ~    |    1|  176.339   pc  |  -0.6561     +0.6561  |paral   |2020yCat.1350....0G
69  |BD+38 616                                                                                                                                                                      |Star                                |03 01 55.7299887408 +39 33 45.350468856|148.6488468029594 -16.7053087792511|   6.415 -7.118   |8.98     |K0                   |    ~     ~    |    1|  671.637   pc  | -16.3748    +16.3748  |paral   |2020yCat.1350....0G
70  |HD 18730                                                                                                                                                                       |Star                                |03 01 53.1941015688 +38 52 41.621713824|149.0004575681880 -17.3014391339224|  -14.917 1.141   |6.65     |A3                   |    ~     ~    |    1|  176.364   pc  |  -0.9611     +0.9611  |paral   |2020yCat.1350....0G
71  |TYC 2847-1133-1                                                                                                                                                                |Star                                |03 02 18.0219059112 +38 15 59.581441260|149.3969159561208 -17.7890834494590|  -1.764 -4.544   |10.22    |K0                   |    ~     ~    |    1| 1374.004   pc  | -39.0793    +39.0793  |paral   |2020yCat.1350....0G
72  |HD 18541                                                                                                                                                                       |Eclipsing Binary                    |03 00 05.7099353256 +39 11 24.909338004|148.5217255187047 -17.2047286577199| -5.045 -21.421   |9.61     |A3V+K1-2IV           |    ~     ~    |    1|  371.761   pc  |  -3.6763     +3.6763  |paral   |2020yCat.1350....0G
73  |BD+39 701                                                                                                                                                                      |Star                                |03 05 15.5011086000 +39 46 46.812298332|149.1105724228951 -16.1939192882658|-11.631 -27.156   |9.92     |G0                   |    ~     ~    |    1|  155.724   pc  |  -0.7178     +0.7178  |paral   |2020yCat.1350....0G
74  |HD 19072                                                                                                                                                                       |Star                                |03 05 26.2730253216 +39 39 12.374550072|149.2087039711891 -16.2847484736801| -23.399 -0.866   |8.03     |K0                   |    ~     ~    |    1|  272.732   pc  |  -2.2538     +2.2538  |paral   |2020yCat.1350....0G
