C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:36:43

dec >=0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3235

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
52  |BD+80 281                                                                                                |Star                               |09 07 29.4682645056 +80 19 16.303604808|132.4134339144683 +32.2214817627505| -8.167 -18.289   |10.55    |F5               |    ~     ~    |    1|  420.274   pc  |  -2.5611     +2.5611  |paral   |2020yCat.1350....0G
53  |BD+80 282                                                                                                |Star                               |09 10 02.5996767672 +80 03 45.999788436|132.6159673559755 +32.4435286610442|  -2.914 -1.905   |8.93     |M2               |    ~     ~    |    1| 1280.410   pc  | -28.8543    +28.8543  |paral   |2020yCat.1350....0G
54  |HD 77441                                                                                                 |Star                               |09 11 16.7918889744 +79 50 15.404244648|132.8154903528236 +32.6026102676957| -7.796 -30.493   |8.82     |K0               |    ~     ~    |    1|  462.577   pc  |  -3.2311     +3.2311  |paral   |2020yCat.1350....0G
55  |BD+80 277                                                                                                |Star                               |09 01 41.3790108432 +79 32 27.316493736|133.3682098613972 +32.3686405798435|    1.048 7.514   |9.45     |G5               |    ~     ~    |    1|  875.810   pc  |  -8.2074     +8.2074  |paral   |2020yCat.1350....0G
56  |BD+80 280                                                                                                |Spectroscopic Binary               |09 04 36.8874258288 +79 45 36.869185944|133.0659488385046 +32.3825269421417| -30.761 -8.919   |9.95     |F5               |    ~     ~    |    1|  182.672   pc  |  -8.0653     +8.0653  |paral   |2020yCat.1350....0G
57  |BD+79 292                                                                                                |Star                               |09 00 59.9198442336 +79 14 02.272504560|133.7088929886614 +32.4806141044904|   13.792 0.949   |10.82    |F0               |    ~     ~    |    1|  465.744   pc  |  -2.6681     +2.6681  |paral   |2020yCat.1350....0G
58  |TYC 4544-1149-1                                                                                          |Star                               |09 01 56.6103374232 +79 43 43.715209800|133.1646624054754 +32.2921498054101|  -4.729 -3.331   |10.38    |K2               |    ~     ~    |    1| 1009.489   pc  | -13.1460    +13.1460  |paral   |2020yCat.1350....0G
59  |BD+79 293                                                                                                |Variable Star                      |09 03 45.9143519472 +79 05 47.281220448|133.7829843542150 +32.6592465993486|   7.266 -0.204   |9.14     |G5               |    ~     ~    |    1|  484.426   pc  |  -8.7062     +8.7062  |paral   |2020yCat.1350....0G
60  |TYC 4544-475-1                                                                                           |Star                               |09 04 50.8327459176 +79 06 53.617462380|133.7352923513757 +32.6958741317678|   9.912 -4.981   |10.96    |A0               |    ~     ~    |    1|  816.793   pc  |  -7.6055     +7.6055  |paral   |2020yCat.1350....0G
61  |HD 76559                                                                                                 |Star                               |09 05 27.7970315736 +79 20 46.678801668|133.4767283626655 +32.6122963954450|-27.061 -19.464   |7.77     |A0               |    ~     ~    |    1|  207.551   pc  |  -0.9908     +0.9908  |paral   |2020yCat.1350....0G
62  |BD+79 295                                                                                                |Star                               |09 06 57.6780504768 +78 59 59.534657124|133.7994965087672 +32.8386354962634|   -7.789 1.419   |10.28    |K0               |    ~     ~    |    1|  820.749   pc  |  -8.0162     +8.0162  |paral   |2020yCat.1350....0G
63  |HD 76973                                                                                                 |Star                               |09 07 28.0221796224 +78 52 13.223811432|133.9213264989111 +32.9216951399103|  19.248 -8.404   |8.91     |K0               |    ~     ~    |    1|  387.973   pc  |  -2.2879     +2.2879  |paral   |2020yCat.1350....0G
64  |TYC 4544-1102-1                                                                                          |Star                               |09 09 38.4613400880 +78 54 50.251591620|133.8156787212321 +32.9924625069187|  12.656 22.456   |10.38    |G0               |    ~     ~    |    1|  190.415   pc  |  -0.4315     +0.4315  |paral   |2020yCat.1350....0G
65  |TYC 4544-888-1                                                                                           |Star                               |09 10 09.0427089288 +79 10 21.035925876|133.5327140715198 +32.8873881555623|  -3.126 -0.859   |10.38    |A0               |    ~     ~    |    1|  563.095   pc  |  -5.5488     +5.5488  |paral   |2020yCat.1350....0G
66  |TYC 4544-767-1                                                                                           |Star                               |09 12 57.4812349800 +78 53 41.244024948|133.7417949965018 +33.1407903319530|   -1.912 3.743   |10.31    |K0               |    ~     ~    |    1| 1276.976   pc  | -17.9373    +17.9373  |paral   |2020yCat.1350....0G
67  |TYC 4544-1476-1                                                                                          |Star                               |09 09 46.1825201328 +78 43 31.299949272|134.0087581697793 +33.0894729879769|-12.846 -34.503   |10.13    |F8               |    ~     ~    |    1|  208.485   pc  |  -0.5086     +0.5086  |paral   |2020yCat.1350....0G
68  |NGC 2732                           NGC 2732                                                              |Galaxy in Pair of Galaxies         |09 13 24.6918628128 +79 11 14.150547096|133.4268567850036 +33.0128727977779|    0.409 0.648   |     ~   |~                |1.477 0.502    |    0|                |                       |        |                   
69  |GSC 04544-01313                                                                                          |Double or Multiple Star            |09 13 29.3387512080 +79 50 10.391743752|132.7585084828266 +32.6874408684430|    8.938 7.987   |10.343   |~                |    ~     ~    |    1|  663.834   pc  |  -5.3762     +5.3762  |paral   |2020yCat.1350....0G
70  |TYC 4544-2387-1                                                                                          |Star                               |09 12 16.8144027936 +79 42 06.497635968|132.9285487186399 +32.7091747329600|    1.651 5.013   |10.82    |~                |    ~     ~    |    1| 1117.069   pc  | -19.8407    +19.8407  |paral   |2020yCat.1350....0G
71  |GSC 04547-00110                                                                                          |Double or Multiple Star            |09 05 08.686464 +80 14 28.62132        |132.552739243 +32.173574972        |    -16.6 -23.9   |9.523    |~                |    ~     ~    |    0|                |                       |        |                   
72  |TYC 4547-1927-1                                                                                          |Star                               |09 07 50.0512268304 +81 00 45.608766336|131.6955138239788 +31.8926666925767|-18.864 -28.656   |10.90    |~                |    ~     ~    |    1|  307.267   pc  |  -1.0008     +1.0008  |paral   |2020yCat.1350....0G
73  |TYC 4547-2157-1                                                                                          |Star                               |09 08 21.6434324976 +81 06 52.995155868|131.5793095287100 +31.8595764383936|    5.837 5.950   |10.80    |~                |    ~     ~    |    1|  907.112   pc  |  -9.9565     +9.9565  |paral   |2020yCat.1350....0G
74  |TYC 4544-481-1                                                                                           |Star                               |09 06 00.5147590992 +77 51 01.092214944|135.0379809546891 +33.3357146074650|   -2.513 0.528   |10.62    |K                |    ~     ~    |    1| 1712.622   pc  | -30.5040    +30.5040  |paral   |2020yCat.1350....0G
75  |TYC 4541-1620-1                                                                                          |Star                               |09 14 40.5332814984 +77 21 15.303358368|135.2948542324193 +33.9811977588434|  1.212 -23.001   |10.49    |G                |    ~     ~    |    1|  119.028   pc  |  -0.2040     +0.2040  |paral   |2020yCat.1350....0G
76  |BD+79 297                                                                                                |Star                               |09 09 54.1069287144 +78 27 53.146491012|134.2773678933249 +33.2213223100977|-21.244 -11.535   |10.01    |F0               |    ~     ~    |    1|  454.918   pc  |  -5.6911     +5.6911  |paral   |2020yCat.1350....0G
77  |NGC 2715                           NGC 2715                                                              |Galaxy towards a Group of Galaxies |09 08 06.2049083976 +78 05 07.227661632|134.7282250269553 +33.3223869608721|            ~ ~   |     ~   |~                | 4.27  1.41    |    1|   17.62    Mpc |  -2.38       +2.38    |T-F     |2020ApJ...902..145K
78  |TYC 4544-341-1                                                                                           |Star                               |09 13 46.1265125784 +78 01 58.561884624|134.6132927597163 +33.6042084090098|  -12.210 3.276   |10.83    |K2               |    ~     ~    |    1|  661.201   pc  |  -4.5030     +4.5030  |paral   |2020yCat.1350....0G
79  |BD+78 300                                                                                                |Star                               |09 14 39.1246971456 +78 07 48.517009860|134.4848053663627 +33.5954788477430| -15.021 -8.052   |9.60     |K2               |    ~     ~    |    1|  486.902   pc  |  -2.6315     +2.6315  |paral   |2020yCat.1350....0G
80  |TYC 4544-205-1                                                                                           |Star                               |09 09 24.6789979776 +78 13 35.041873116|134.5415397668259 +33.3142897377133|  -7.070 -3.816   |10.64    |~                |    ~     ~    |    1|  308.899   pc  |  -1.1927     +1.1927  |paral   |2020yCat.1350....0G
81  |TYC 4544-1858-1                                                                                          |Star                               |09 10 36.3876263280 +77 45 07.986099780|135.0046004986577 +33.5961689109956|   15.006 3.044   |10.71    |~                |    ~     ~    |    1|  966.651   pc  | -10.5589    +10.5589  |paral   |2020yCat.1350....0G
82  |HD 76309                                                                                                 |Star                               |09 02 07.8602493240 +76 54 29.440752336|136.1606118536197 +33.5704341211507| -8.258 -23.395   |9.04     |G5               |    ~     ~    |    1|  425.659   pc  |  -2.3192     +2.3192  |paral   |2020yCat.1350....0G
83  |HD 76642                                                                                                 |Star                               |09 04 17.2244587992 +76 28 00.354783396|136.5715252032876 +33.8761149813883|  -6.991 -3.464   |9.00     |A2               |    ~     ~    |    1|  286.928   pc  |  -1.1690     +1.1690  |paral   |2020yCat.1350....0G
