C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
1785|HD 225052                                                             |Star                                |00 02 54.8801127672 -64 25 00.279895224|311.3902417345941 -51.9072908703984|  37.867 11.106    |9.53     |K2/4(III)            |    ~     ~    
1786|HD 225092                                                             |Star                                |00 03 20.4920862288 -64 28 33.945734676|311.2901265840874 -51.8645927455061|  -1.695 -6.331    |9.01     |K5(III)              |    ~     ~    
1787|HD 133                                                                |Star                                |00 06 02.6516443632 -64 26 52.858673304|310.8517710727753 -51.9765838036882|   2.583 -0.105    |10.48    |A0/1V                |    ~     ~    
1788|TYC 8843-1692-1                                                       |Star                                |00 08 11.3664129840 -64 35 52.049153112|310.4248824714407 -51.8966918250429|   10.654 1.984    |10.544   |~                    |    ~     ~    
1789|CD-62 1473                                                            |Star                                |00 01 29.2513 -62 02 44.887            |312.8876244 -54.1063793            |   23.970 6.144    |10.000   |~                    |    ~     ~    
1790|CD-63 1632                                                            |Star                                |00 01 05.4195078384 -62 29 20.612807772|312.7151434998147 -53.6724674769106|  26.810 23.520    |10.037   |~                    |    ~     ~    
1791|HD 224878                                                             |Star                                |00 01 29.4205640712 -62 55 23.269990692|312.4055293217757 -53.2767855713074|  -2.337 10.994    |7.45     |A2IV                 |    ~     ~    
1792|CPD-64 4392                                                           |Star                                |00 00 21.7427407080 -64 12 02.784221280|311.9260493682255 -52.0263718246362| -3.006 -16.569    |9.839    |~                    |    ~     ~    
1793|CD-64 1448                                                            |Star                                |00 01 45.2923813632 -63 43 58.799209548|311.9316823401949 -52.5184517581321|  -11.024 6.308    |9.738    |~                    |    ~     ~    
1794|CPD-63 4942                                                           |Star                                |00 01 02.0906521632 -62 35 43.532452932|312.6666602835040 -53.5698623229212|    6.891 8.508    |10.74    |~                    |    ~     ~    
1795|CD-62 1                                                               |Star                                |00 06 48.6947255712 -61 55 02.618265864|311.9391950828197 -54.4235476938381| -42.244 -3.769    |9.94     |~                    |    ~     ~    
1796|HD 565                                                                |Star                                |00 09 52.1161860192 -62 17 48.458032080|311.1666961263346 -54.1618350099144|  16.240 17.647    |6.33     |A6V                  |    ~     ~    
1797|CPD-62 11                                                             |Star                                |00 10 40.8092889600 -61 52 38.105238864|311.2064398377822 -54.5913700289641|   8.031 -9.672    |10.55    |~                    |    ~     ~    
1798|CPD-63 2                                                              |Spectroscopic Binary                |00 06 57.1217675856 -62 41 41.710747128|311.5246182694713 -53.6849058406879|  39.588 20.693    |10.13    |~                    |    ~     ~    
1799|CPD-63 3                                                              |Star                                |00 06 59.7242531040 -62 55 25.565973600|311.4052451957966 -53.4672534373972|  -3.237 -7.942    |10.72    |~                    |    ~     ~    
1800|HD 310                                                                |S Star                              |00 07 36.5851016448 -62 18 54.301441572|311.5876032293364 -54.0704693259550|   1.683 -6.721    |7.48     |S3,1                 |    ~     ~    
1801|CD-63 2                                                               |Star                                |00 09 37.3037377872 -62 20 18.931500600|311.1941445255882 -54.1137660649459|   7.438 -6.630    |9.11     |~                    |    ~     ~    
1802|HD 578                                                                |High Proper Motion Star             |00 10 02.5788813960 -63 17 48.375266640|310.6774766976849 -53.2045393874334|-49.892 -39.034    |8.14     |F3V                  |    ~     ~    
1803|CPD-63 11                                                             |Star                                |00 10 50.8903611960 -62 24 53.934415812|310.9254701364764 -54.0788233753718|  -4.701 -8.155    |10.39    |~                    |    ~     ~    
1804|V* CR Tuc                                                             |Long-Period Variable                |00 14 20.8151039904 -62 46 19.032295044|310.1090363706565 -53.8364073529143|   7.314 10.305    |6.63     |M1III                |    ~     ~    
1805|CD-63 1634                                                            |Star                                |00 02 55.7113802736 -62 52 20.071163280|312.1725339106142 -53.3770663057600| -5.462 -11.219    |9.865    |~                    |    ~     ~    
1806|HD 24                                                                 |Spectroscopic Binary                |00 05 09.7949010480 -62 50 42.794457360|311.7793033579791 -53.4809471839723|  62.547 20.815    |8.14     |G0V                  |    ~     ~    
1807|HD 538                                                                |Star                                |00 09 41.3458834728 -63 35 23.230978404|310.6106559002968 -52.9116063640501| 15.884 -45.032    |7.43     |M2III                |    ~     ~    
1808|HD 660                                                                |High Proper Motion Star             |00 10 37.8925969896 -63 38 03.632467056|310.4236892366373 -52.8963144958805| 57.558 -11.432    |8.70     |F7IV                 |    ~     ~    
1809|HD 225134                                                             |Star                                |00 03 44.0896790640 -63 36 02.338287228|311.6551288335240 -52.7121870487518|   -9.422 0.348    |8.42     |F5V                  |    ~     ~    
1810|CPD-64 4397                                                           |Double or Multiple Star             |00 03 51.4745263224 -63 36 07.216507116|311.6329305038848 -52.7150437865104|    8.091 4.709    |10.137   |~                    |    ~     ~    
1811|HD 622                                                                |Star                                |00 10 18.2206773120 -64 17 04.659795708|310.2021730905834 -52.2590967420079| 15.404 -19.659    |9.83     |K0/2(III)            |    ~     ~    
1812|HD 840                                                                |Star                                |00 12 30.2468530200 -64 16 10.373101860|309.8307027599880 -52.3340704700234|  11.240 10.262    |9.88     |A7V                  |    ~     ~    
1813|HD 1067                                                               |Star                                |00 14 42.2208270264 -64 10 36.928605324|309.4865446370634 -52.4813206852642|   19.743 1.024    |9.61     |K1/2II/III           |    ~     ~    
1814|HD 225103                                                             |Star                                |00 03 22.6285233744 -63 44 03.216644160|311.6504323696495 -52.5728739745814|   7.401 -1.018    |9.02     |K0III                |    ~     ~    
1815|HD 225230                                                             |Star                                |00 04 32.1057062784 -64 10 47.385373368|311.2328644475508 -52.1859061726407|  10.519 -5.815    |10.10    |F3IV/V               |    ~     ~    
1816|CPD-64 4403                                                           |Star                                |00 06 12.6522080184 -63 54 33.054759072|311.0745424583110 -52.4981788415840|   1.519 19.778    |9.90     |~                    |    ~     ~    
1817|HD 160                                                                |Double or Multiple Star             |00 06 16.84899 -64 14 25.7063          |310.90780039 -52.18284607          |    34.68 16.78    |7.84     |F3IV                 |    ~     ~    
1818|CPD-64 1                                                              |Star                                |00 06 38.9127504624 -63 42 49.729593024|311.0903205384994 -52.6991979619527|  23.726 -6.079    |9.60     |~                    |    ~     ~    
1819|CPD-64 4398                                                           |Star                                |00 04 24.5157680712 -63 23 49.587235764|311.6383580289606 -52.9289260005057| -18.251 11.796    |10.959   |~                    |    ~     ~    
1820|CPD-63 4948                                                           |Star                                |00 04 44.7485578632 -62 49 06.698694792|311.8691825833804 -53.4920430190669|-11.661 -19.479    |10.517   |~                    |    ~     ~    
1821|CPD-64 4400                                                           |Star                                |00 04 54.4595722896 -63 18 29.929730652|311.5938769385215 -53.0304062663474|   2.856 -1.005    |10.997   |~                    |    ~     ~    
1822|CPD-64 4401                                                           |Star                                |00 05 35.2524815952 -64 03 21.043197324|311.1126016532887 -52.3380421826938|  -0.619 -3.257    |9.91     |~                    |    ~     ~    
1823|CPD-64 4402                                                           |Star                                |00 05 47.0380233024 -64 16 22.299798504|310.9770078117674 -52.1364021150700|   1.751 23.102    |10.524   |~                    |    ~     ~    
1824|CPD-62 1                                                              |High Proper Motion Star             |00 06 22.9738439088 -62 13 21.273015864|311.8664539747100 -54.1171959718474|-57.374 -11.431    |10.37    |~                    |    ~     ~    
1825|CPD-63 1                                                              |Star                                |00 06 52.0051000608 -62 34 57.794359332|311.5955754419480 -53.7894194991359|  13.482 -8.436    |10.836   |~                    |    ~     ~    
1826|CPD-63 6                                                              |Star                                |00 08 57.0689436624 -62 44 19.101268824|311.1326193348110 -53.7079325633913|  25.488 11.476    |10.361   |~                    |    ~     ~    
1827|CPD-64 6                                                              |Star                                |00 11 00.2078174040 -63 26 38.381326224|310.4396811011887 -53.0908807044987|    7.082 3.609    |10.787   |~                    |    ~     ~    
1828|CPD-63 12                                                             |High Proper Motion Star             |00 12 20.6743149936 -62 21 51.753666132|310.6626802224409 -54.1731964041278|  74.660 33.834    |10.58    |~                    |    ~     ~    
1829|CPD-63 13                                                             |Spectroscopic Binary                |00 12 35.0786287272 -62 42 36.505037160|310.4663426990430 -53.8460767471530|  33.214 -9.703    |10.38    |~                    |    ~     ~    
1830|CPD-63 17                                                             |Spectroscopic Binary                |00 13 17.1233408352 -63 00 50.028244488|310.2066340611320 -53.5721709387989|-12.965 -19.825    |10.66    |~                    |    ~     ~    
1831|CPD-63 18                                                             |Star                                |00 13 47.2917159840 -63 14 53.576912544|310.0172628673125 -53.3590416776112| 10.949 -12.491    |10.54    |~                    |    ~     ~    
1832|CPD-63 9                                                              |High Proper Motion Star             |00 09 52.0056664200 -62 21 30.060388008|311.1382599247214 -54.1025761239661| 70.799 -16.407    |10.80    |~                    |    ~     ~    
1833|CD-62 2                                                               |Star                                |00 07 49.9603926840 -62 04 52.442647284|311.6603104315641 -54.3018807940619|-12.233 -13.908    |10.17    |~                    |    ~     ~    
1834|CPD-62 6                                                              |High Proper Motion Star             |00 08 24.5827598688 -62 04 28.234903008|311.5526695309378 -54.3276869891856|  52.678 23.701    |10.445   |~                    |    ~     ~    
1835|CPD-63 4947                                                           |Star                                |00 04 11.3553 -63 14 04.864            |311.7588925 -53.0763246            |-29.883 -24.354    |10.95    |~                    |    ~     ~    
1836|TYC 8843-1069-1                                                       |High Proper Motion Star             |00 09 11.0393793744 -64 16 16.050017676|310.3994253532981 -52.2401717048494| 91.671 -29.278    |10.89    |~                    |    ~     ~    
1837|TYC 8843-15-1                                                         |Star                                |00 10 43.5147738600 -62 35 34.691810280|310.8678609491590 -53.9035122484711|   4.036 -2.773    |10.491   |~                    |    ~     ~    
1838|TYC 8840-1385-1                                                       |Star                                |00 12 58.6129305192 -61 50 23.471090628|310.7721851464808 -54.6990656167698|   1.755 -5.255    |10.13    |~                    |    ~     ~    
1839|TYC 8843-672-1                                                        |Star                                |00 13 31.0184914920 -63 11 41.313490764|310.0888437616304 -53.4033412482292| -8.823 -12.267    |10.396   |~                    |    ~     ~    
1840|IRAS 00047-6354                                                       |Long-Period Variable Candidate      |00 07 16.2958112256 -63 38 13.436076588|311.0168451795175 -52.7923813096793|    4.835 6.640    |10.27    |~                    |    ~     ~    
1841|CD-65 2958                                                            |Spectroscopic Binary                |00 00 21.2119124280 -64 29 25.207120104|311.7779778942852 -51.7516075857381|-27.443 -39.198    |10.075   |~                    |    ~     ~    
1842|TYC 8840-1440-1                                                       |High Proper Motion Star             |00 09 48.2527212552 -61 52 47.311687956|311.3764639396232 -54.5605762166113| 76.804 -42.947    |10.953   |~                    |    ~     ~    
1843|TYC 8843-567-1                                                        |Star                                |00 06 43.8358855200 -63 31 06.328232112|311.1681441472608 -52.8890546865591|   20.567 5.852    |10.811   |~                    |    ~     ~    
1844|TYC 8843-677-1                                                        |Star                                |00 04 03.5501685360 -63 09 54.220499640|311.8174074142732 -53.1381990517410|   45.768 5.465    |10.911   |~                    |    ~     ~    
1845|TYC 8843-1433-1                                                       |High Proper Motion Star             |00 01 49.8495350760 -63 26 51.855461376|312.0667571582526 -52.7918234590710| -96.906 33.113    |10.97    |~                    |    ~     ~    
1846|CPD-62 6463                                                           |Star                                |00 00 04.2491052960 -61 37 56.458404552|313.3940570854630 -54.4401990832393|  4.525 -11.535    |10.19    |~                    |    ~     ~    
1847|TYC 8840-1096-1                                                       |Star                                |00 00 13.6803062304 -61 40 28.201827288|313.3392951592449 -54.4068857272856|  23.137 -4.143    |10.565   |~                    |    ~     ~    
1848|CPD-62 5                                                              |High Proper Motion Star             |00 08 06.8799673704 -61 40 39.426967848|311.8063427740498 -54.6978837737069| 49.602 -41.418    |10.63    |~                    |    ~     ~    
1849|HD 825                                                                |Star                                |00 12 25.3118671608 -61 36 20.979207828|310.9877848309029 -54.9079827518010| 29.876 -26.283    |9.00     |F3V                  |    ~     ~    
1850|CPD-62 12                                                             |Star                                |00 10 58.5574317528 -61 44 46.960529964|311.2096741017366 -54.7268123314059|    5.750 1.468    |9.57     |~                    |    ~     ~    
1851|CD-62 1475                                                            |Star                                |00 03 33.9758361456 -61 46 23.156184000|312.6417392087071 -54.4434730955195|  22.144 -5.514    |9.99     |~                    |    ~     ~    
1852|CPD-62 16                                                             |High Proper Motion Star             |00 13 51.0456007560 -61 47 56.331134448|310.6174063966532 -54.7648546918213| 45.470 -37.969    |10.72    |~                    |    ~     ~    
1853|TYC 8840-1325-1                                                       |Star                                |00 06 48.8707478712 -61 44 11.588457624|312.0310175982932 -54.5963539873834|   20.887 1.731    |10.52    |~                    |    ~     ~    
1854|CPD-62 4                                                              |Star                                |00 08 06.9598409400 -61 46 54.563208852|311.7540272264096 -54.5981724168820|   4.141 -3.106    |10.21    |~                    |    ~     ~    
1855|CPD-60 7710                                                           |Star                                |00 01 53.6111717544 -60 08 03.642609732|313.9220431647680 -55.9242161398290| -3.657 -16.093    |10.421   |~                    |    ~     ~    
1856|HD 224852                                                             |Pulsating Variable                  |00 01 16.2259232808 -60 36 57.138276060|313.7594249071624 -55.4452666266646|  26.137 -0.249    |10.233   |A8V                  |    ~     ~    
1857|CD-62 1474                                                            |High Proper Motion Star             |00 02 32.8098357960 -61 23 30.318547560|313.0519716367289 -54.7654567645253|  69.286 22.440    |9.67     |~                    |    ~     ~    
1858|CD-60 8155                                                            |Star                                |00 01 16.2192574560 -59 49 40.290591468|314.2419188048757 -56.1851854972863|  21.557 -3.060    |10.416   |~                    |    ~     ~    
1859|CPD-60 7709                                                           |Star                                |00 01 29.9213228016 -59 55 45.061121064|314.1307228524036 -56.1000396839440|  24.934 15.242    |10.85    |~                    |    ~     ~    
1860|CD-61 6914                                                            |High Proper Motion Star             |00 02 27.5310951648 -61 08 49.768993284|313.2087081513172 -54.9930723180412| 68.186 -11.842    |10.524   |~                    |    ~     ~    
1861|CD-59 8256                                                            |Star                                |00 04 04.5964559544 -59 04 59.837540916|314.0947937231500 -57.0067265712034| 19.657 -17.000    |10.70    |~                    |    ~     ~    
1862|HD 367                                                                |Star                                |00 08 11.7641972136 -59 03 47.065449060|313.1841149861251 -57.1961778187698|   36.876 3.606    |8.36     |K1IIICNII            |    ~     ~    
1863|HD 482                                                                |High Proper Motion Star             |00 09 03.3254359344 -59 16 51.534865776|312.8688522009883 -57.0221211124731|-58.221 -157.299   |9.18     |G8V                  |    ~     ~    
1864|HD 497                                                                |Star                                |00 09 18.5665292496 -59 03 37.439822988|312.9338574406985 -57.2422824188168| -6.836 -14.872    |8.85     |G8III                |    ~     ~    
1865|HD 668                                                                |High Proper Motion Star             |00 10 44.8395701976 -59 10 33.288162564|312.5453205136224 -57.1864179444754| -76.986 -9.827    |9.30     |G0V                  |    ~     ~    
1866|CD-59 18                                                              |Star                                |00 13 17.3592434064 -59 11 16.105798860|311.9619931753701 -57.2666201588672|-37.764 -28.334    |10.02    |~                    |    ~     ~    
1867|HD 959                                                                |Star                                |00 13 49.0279432776 -59 02 54.107731572|311.9113246814773 -57.4192113103656|-18.969 -15.503    |9.97     |F3V                  |    ~     ~    
1868|CD-60 4                                                               |Star                                |00 07 48.1381885488 -59 28 59.497000824|313.0346181588517 -56.7809704175641|   6.108 21.507    |10.32    |~                    |    ~     ~    
1869|CD-60 8                                                               |Rotating Variable                   |00 10 08.7463018752 -59 21 27.845605980|312.5831157390760 -56.9900918418911|   24.309 5.319    |9.664    |G8III                |    ~     ~    
1870|HD 742                                                                |Star                                |00 11 29.8903067112 -59 30 04.213527624|312.2055201471332 -56.9021870430521|   31.826 4.565    |9.27     |M1(III)              |    ~     ~    
1871|CD-60 16                                                              |High Proper Motion Star             |00 12 34.8488624496 -59 27 46.520363700|311.9831478645244 -56.9772728891096| 57.853 -28.061    |9.66     |K3.1                 |    ~     ~    
1872|HD 858                                                                |High Proper Motion Star             |00 12 39.5526533400 -59 30 28.688023620|311.9428715714896 -56.9367028836485|-63.960 -43.181    |9.57     |F8V                  |    ~     ~    
1873|CD-60 20                                                              |Star                                |00 14 32.0348982888 -59 42 18.043487820|311.4282898918776 -56.8103268738768|   41.799 0.706    |10.541   |~                    |    ~     ~    
1874|HD 225203                                                             |Star                                |00 04 16.5162950640 -59 18 54.690617628|313.9091701540069 -56.7966044204980|  21.402 -4.519    |8.56     |A1V                  |    ~     ~    
1875|HD 11                                                                 |Star                                |00 05 02.5274145672 -59 42 51.129345996|313.5042950143089 -56.4515543826560|  43.413 17.898    |9.812    |G5                   |    ~     ~    
1876|HD 260                                                                |High Proper Motion Star             |00 07 12.7316768496 -60 04 15.001538232|312.8357261021591 -56.1989233939757| 55.255 -16.080    |9.33     |A9V                  |    ~     ~    
1877|CD-60 5                                                               |Star                                |00 08 49.9191630960 -60 08 14.003416608|312.4538296135496 -56.1964209003362|   4.090 -6.965    |9.58     |~                    |    ~     ~    
1878|HD 458                                                                |Star                                |00 08 49.8991749744 -60 15 52.425242604|312.3864377325526 -56.0747446129037| -3.179 -15.591    |9.55     |F5V                  |    ~     ~    
1879|CPD-60 9                                                              |High Proper Motion Star             |00 12 10.2470153160 -59 53 01.749633324|311.8623870969382 -56.5584012666989| 56.167 -30.891    |10.525   |~                    |    ~     ~    
1880|HD 926                                                                |Star                                |00 13 28.1403782352 -59 54 18.768773304|311.5674185824687 -56.5819126436656|  39.626 -5.699    |8.44     |K0III                |    ~     ~    
1881|CD-60 19                                                              |Star                                |00 13 36.3126331632 -60 01 00.318144540|311.4838901616082 -56.4789076176181| 29.543 -17.677    |9.62     |~                    |    ~     ~    
1882|CD-60 8162                                                            |Star                                |00 04 07.4340579528 -60 03 18.833487804|313.5005790475235 -56.0916072345966|  22.612 -5.225    |9.84     |~                    |    ~     ~    
1883|HD 12                                                                 |Star                                |00 05 02.9384756760 -59 49 41.234570328|313.4362692796561 -56.3440332952475|  -0.907 -6.489    |8.65     |G6III                |    ~     ~    
1884|HD 54                                                                 |Star                                |00 05 20.8356022992 -59 48 52.223185008|313.3801185335497 -56.3689903909731|  45.150 -8.182    |8.78     |K2III                |    ~     ~    
1885|HD 309                                                                |High Proper Motion Star             |00 07 34.7501744976 -60 38 30.553847124|312.4491887005330 -55.6686339976870| 41.025 -37.994    |8.44     |F7V                  |    ~     ~    
1886|CD-61 13                                                              |Star                                |00 09 46.2540279432 -61 10 10.431953112|311.7286759286928 -55.2413496180327|  40.273 14.531    |10.187   |~                    |    ~     ~    
1887|CD-61 23                                                              |Star                                |00 13 20.7854751264 -60 23 57.281030412|311.3575167528388 -56.1015314809622|   3.876 12.164    |10.18    |~                    |    ~     ~    
1888|HD 225062                                                             |Star                                |00 03 00.8042144832 -60 41 30.875787960|313.3597665656895 -55.4451410641647|  -5.029 -1.218    |7.82     |K0III                |    ~     ~    
1889|CD-61 6917                                                            |Star                                |00 03 06.4380933480 -60 46 03.712528416|313.2968168615230 -55.3773286183199|  20.690 -7.320    |10.680   |~                    |    ~     ~    
1890|HD 67                                                                 |High Proper Motion Star             |00 05 28.4520372600 -61 13 33.074149188|312.5644035331230 -55.0344735516008| 82.558 -78.057    |8.80     |G5V                  |    ~     ~    
1891|CD-62 3                                                               |High Proper Motion Star             |00 08 56.8407281688 -61 24 00.762462648|311.7799331111068 -54.9921028556912|  50.470 -2.043    |9.962    |~                    |    ~     ~    
1892|HD 859                                                                |Star                                |00 12 39.8696959032 -61 18 45.545013792|311.0732731595143 -55.1984895996443|  24.777 17.174    |8.53     |G6III                |    ~     ~    
1893|CPD-62 15                                                             |High Proper Motion Star             |00 13 28.3923765264 -61 22 59.823085404|310.8772117381673 -55.1554571634109|-72.782 -106.035   |10.33    |~                    |    ~     ~    
1894|HD 80                                                                 |Star                                |00 05 35.7561471792 -61 18 35.535785616|312.4949328432115 -54.9590753034818|    4.347 9.840    |7.36     |K0III                |    ~     ~    
1895|CD-60 8160                                                            |Star                                |00 03 54.6100062432 -59 53 37.264725060|313.6411991972025 -56.2354171564111|   -1.295 9.126    |10.498   |~                    |    ~     ~    
1896|CD-59 8257                                                            |Star                                |00 04 29.7893241168 -59 13 07.130469180|313.9189864892516 -56.8970573692138|  -19.933 1.936    |10.828   |~                    |    ~     ~    
1897|CD-59 7                                                               |Star                                |00 08 34.7782490160 -59 14 27.772747332|312.9975368138731 -57.0418005479820| 40.547 -16.999    |10.768   |~                    |    ~     ~    
1898|CD-61 6915                                                            |Star                                |00 02 53.2607660592 -60 51 33.146318268|313.2884773060937 -55.2821006910362|  1.388 -23.480    |10.74    |~                    |    ~     ~    
1899|CPD-61 6794                                                           |Star                                |00 04 28.8034435800 -60 44 45.126200472|313.0297967648047 -55.4522366275947|  23.599 -7.952    |10.19    |~                    |    ~     ~    
1900|CPD-60 1a                                                             |High Proper Motion Star             |00 06 34.0620476400 -60 17 46.363931592|312.8478957527687 -55.9598260346683|  62.296 11.595    |9.975    |~                    |    ~     ~    
1901|CD-61 10                                                              |Star                                |00 09 20.1149265984 -60 22 48.125292564|312.2192840790303 -55.9825729461223|  40.928 -2.565    |10.74    |~                    |    ~     ~    
1902|CD-60 7                                                               |High Proper Motion Star             |00 09 49.2289587984 -60 08 10.971888360|312.2426631398195 -56.2332096862821| 54.108 -20.123    |10.618   |~                    |    ~     ~    
1903|CPD-61 6                                                              |High Proper Motion Star             |00 14 29.8803703416 -60 19 34.138027272|311.1448917908314 -56.2091783202425| 54.671 -25.296    |10.813   |~                    |    ~     ~    
1904|TYC 8840-1088-1                                                       |Star                                |00 02 40.4777650824 -61 35 07.721925828|312.9179851540092 -54.5872444175715| -9.186 -12.748    |10.476   |~                    |    ~     ~    
1905|CD-60 21                                                              |Star                                |00 14 35.4702149880 -60 13 47.450012988|311.1693241128164 -56.3052162448815|  27.195 -9.106    |10.777   |~                    |    ~     ~    
1906|TYC 8470-213-1                                                        |High Proper Motion Star             |00 06 26.8343563272 -59 33 46.437944724|313.2868608585803 -56.6516921916350| 57.141 -17.321    |10.50    |~                    |    ~     ~    
1907|TYC 8470-331-1                                                        |Star                                |00 02 38.6906283744 -59 11 11.832300708|314.3469864517368 -56.8471735162288|  22.401 23.476    |10.99    |~                    |    ~     ~    
1908|TYC 8840-98-1                                                         |Star                                |00 01 54.7742433456 -61 19 10.826118444|313.2175065376874 -54.8085448441428|  18.405 -9.349    |10.861   |~                    |    ~     ~    
1909|TYC 8840-749-1                                                        |Star                                |00 11 32.0637243840 -60 26 54.544513056|311.7192227637097 -55.9937831839819|   12.580 1.719    |10.934   |~                    |    ~     ~    
1910|TYC 8840-819-1                                                        |Star                                |00 08 39.8078558496 -61 19 36.975339732|311.8734685242756 -55.0525252854999|   20.257 0.183    |10.926   |~                    |    ~     ~    
1911|TYC 8840-1167-1                                                       |Star                                |00 12 10.1521421136 -61 32 03.288430824|311.0710975184740 -54.9691188323688|  -6.134 -3.503    |10.952   |~                    |    ~     ~    
1912|HD 741                                                                |High Proper Motion Star             |00 11 33.0839416296 -58 54 35.427823236|312.5040184750220 -57.4710043062505| 271.014 -4.910    |8.36     |G3V                  |    ~     ~    
1913|HD 934                                                                |Star                                |00 13 36.3417528072 -58 45 37.951310772|312.1061320130916 -57.6887722851349|  -12.088 2.507    |10.00    |F3/5IV/V             |    ~     ~    
1914|HD 969                                                                |Star                                |00 13 52.7931325320 -58 52 30.340737156|311.9840652729620 -57.5882090734718|  35.761 11.175    |9.97     |F8+A/F2              |    ~     ~    
1915|CD-59 23                                                              |Star                                |00 14 59.0293701144 -58 56 59.113214736|311.6908101736287 -57.5542801771103|   33.249 1.404    |10.510   |~                    |    ~     ~    
1916|CD-57 8930                                                            |Eclipsing Binary                    |00 01 47.8128131352 -57 14 31.414844652|315.8379908756987 -58.6250182592979| 11.865 -18.008    |10.97    |~                    |    ~     ~    
1917|HD 224965                                                             |Star                                |00 02 05.1160949280 -56 30 53.746002576|316.2889252766525 -59.3151221075805|-47.594 -11.492    |8.86     |G3V                  |    ~     ~    
1918|HD 225008                                                             |Classical Cepheid Variable          |00 02 29.5338723120 -56 53 49.691180148|315.9124452281895 -58.9805672255474|  21.304 28.555    |10.02    |F6/8                 |    ~     ~    
1919|CD-58 8675                                                            |Star                                |00 02 31.9204574376 -57 40 01.457291136|315.3672481372704 -58.2648455907256|  3.355 -13.084    |9.75     |~                    |    ~     ~    
1920|HD 224736                                                             |Star                                |00 00 12.2068604784 -58 05 01.641769620|315.6250800762619 -57.7640210922124|    7.151 7.382    |9.92     |F5/6IV               |    ~     ~    
1921|CD-58 8672                                                            |Star                                |00 01 00.6919149624 -57 56 27.491187804|315.5368157321395 -57.9361958810116|  23.686 -0.586    |10.681   |~                    |    ~     ~    
1922|CD-59 8250                                                            |Long-Period Variable Candidate      |00 01 20.3154950256 -58 34 48.990856764|315.0296036136189 -57.3557730522014|   4.136 -7.209    |9.30     |~                    |    ~     ~    
1923|CPD-57 10399                                                          |High Proper Motion Star             |00 00 32.3980729272 -56 50 08.161821240|316.4369796841579 -58.9381562172929|-44.907 -145.440   |10.75    |K3V                  |    ~     ~    
1924|CD-58 8674                                                            |Star                                |00 01 40.6245061680 -58 14 57.221614500|315.1733583805547 -57.6807294463567|   9.660 -8.087    |10.25    |~                    |    ~     ~    
1925|CD-57 8932                                                            |Star                                |00 02 17.2317317232 -56 18 48.083204772|316.3857639484654 -59.5125646105571|  18.170 -8.509    |10.76    |~                    |    ~     ~    
1926|V* BK Phe                                                             |Double or Multiple Star             |00 07 40.9986840240 -56 14 58.355025036|315.0439012658219 -59.8379313294370|   21.065 3.312    |9.11     |M2(III)              |0.0017  0.0    
1927|HD 229                                                                |Star                                |00 06 53.6551889664 -56 50 48.344075520|314.8499821226522 -59.2389068971448|  32.556 20.047    |9.602    |K1III                |    ~     ~    
1928|HD 273                                                                |Star                                |00 07 22.0604072328 -56 50 12.866739288|314.7370963555629 -59.2698455772622| 15.058 -21.158    |7.46     |K5III                |    ~     ~    
1929|HD 274                                                                |Pulsating Variable                  |00 07 22.8877545168 -57 10 18.860412648|314.5174685423632 -58.9543847595515| 23.321 -15.047    |9.85     |F3IV                 |    ~     ~    
1930|HD 398                                                                |Star                                |00 08 24.8171876928 -57 11 42.488011392|314.2463417814391 -58.9780127859886| -9.906 -19.744    |8.87     |K1III                |    ~     ~    
1931|CD-57 10                                                              |High Proper Motion Star             |00 09 06.2795247552 -56 48 30.274000884|314.3151815362035 -59.3744532554174| 66.404 -13.852    |10.699   |~                    |    ~     ~    
1932|CD-57 11                                                              |Double or Multiple Star             |00 09 06.125736 -57 08 00.13704        |314.112978828 -59.066405093        |       3.7 -8.0    |10.50    |~                    |    ~     ~    
1933|CPD-57 22                                                             |High Proper Motion Star             |00 10 08.5610851344 -56 50 33.406419264|314.0294773054621 -59.3870340355813| 68.013 -52.602    |10.17    |~                    |    ~     ~    
1934|CD-57 17                                                              |Star                                |00 10 27.2246869920 -56 35 02.703630588|314.1092120713219 -59.6459210145255|   18.826 6.722    |9.28     |~                    |    ~     ~    
1935|HD 839                                                                |Spectroscopic Binary                |00 12 29.8348151376 -56 24 48.026338344|313.6801159172052 -59.8949095238475|  14.519 -6.237    |9.85     |F6V                  |    ~     ~    
1936|CD-57 28                                                              |Star                                |00 13 22.2312007200 -56 50 11.584473396|313.2049898261346 -59.5259841023154|   25.629 8.626    |10.44    |~                    |    ~     ~    
1937|HD 980                                                                |High Proper Motion Star             |00 13 53.0825681760 -56 59 58.850459088|312.9804150868999 -59.3899303462876| 107.932 45.972    |7.15     |F6V                  |    ~     ~    
1938|CD-57 32                                                              |Star                                |00 14 00.5175375216 -56 51 40.164165612|313.0262852239497 -59.5275214447714|  43.822 12.911    |9.79     |~                    |    ~     ~    
