C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
78  |HD 225250                                                             |High Proper Motion Star             |00 04 40.7940492312 -42 02 21.189026544|332.5822611834219 -72.2918149273684|  57.412 25.261    |9.60     |F7V                  |    ~     ~    
79  |CD-40 15307                                                           |Star                                |00 00 20.1399513168 -39 23 55.179039660|340.6123459684732 -73.7663548874924|   16.701 2.599    |10.279   |B2Vp                 |    ~     ~    
80  |HD 224732                                                             |Star                                |00 00 12.2376501912 -40 11 32.623808820|338.7431095100733 -73.1764660070541|-34.607 -27.764    |8.15     |F3V                  |    ~     ~    
81  |HD 224914                                                             |Star                                |00 01 41.6341917024 -40 08 55.341987648|338.1167492481872 -73.4011515539598| 33.657 -16.684    |6.62     |F5IV                 |    ~     ~    
82  |HD 224705                                                             |Star                                |00 00 02.3923448832 -40 35 28.331032920|337.8978098677565 -72.8616903961943|    1.022 8.733    |8.53     |G8III                |    ~     ~    
83  |HD 224748                                                             |High Proper Motion Star             |00 00 20.6189677920 -41 17 52.156473252|336.1910100132210 -72.3691418719486|134.444 -112.256   |9.30     |G5V                  |    ~     ~    
84  |HD 224780                                                             |Star                                |00 00 32.4561387504 -40 41 25.716539724|337.4328530873264 -72.8513570717217|  3.511 -12.510    |7.30     |K0/1III              |    ~     ~    
85  |HD 224901                                                             |High Proper Motion Star             |00 01 37.3781043816 -41 11 42.260670348|335.8014019204114 -72.6028904163573| 65.587 -33.761    |10.16    |F5V                  |    ~     ~    
86  |CD-41 15384                                                           |High Proper Motion Star             |00 02 31.4813954208 -40 30 39.339403524|336.8678028214006 -73.2345936634597|-127.579 -71.486   |10.11    |K2                   |    ~     ~    
87  |HD 224850                                                             |Star                                |00 01 16.9172018664 -41 29 14.774992764|335.3441926209982 -72.3371642370895| 17.430 -33.819    |7.043    |M1III                |    ~     ~    
88  |HD 224937                                                             |Double or Multiple Star             |00 01 56.3703903864 -41 36 49.600182420|334.7670946499530 -72.3170894373853| 89.988 -15.471    |7.777    |F3/5III              |0.0117  0.0    
89  |HD 224842                                                             |High Proper Motion Star             |00 01 07.2199543368 -41 53 15.169123032|334.5943504959886 -72.0080696246969| 25.238 -48.073    |7.64     |F5IV/V               |    ~     ~    
90  |CD-40 15308                                                           |Star                                |00 00 26.2796338248 -39 41 48.669564228|339.8208391408885 -73.5669484909287|-21.197 -11.134    |10.463   |~                    |    ~     ~    
91  |CD-41 15374                                                           |Star                                |00 00 20.4882641496 -41 02 26.163050244|336.7497472192590 -72.5636391953512|  46.756 -4.242    |10.37    |~                    |    ~     ~    
92  |CPD-41 9994                                                           |Star                                |00 00 29.4005970000 -40 20 06.292677912|338.2710205730082 -73.1086783406458| -2.099 -17.816    |10.372   |~                    |    ~     ~    
93  |CD-42 16554                                                           |Star                                |00 00 37.2893700192 -41 47 01.734412344|335.0398861576736 -72.0299185534616|   18.832 4.089    |10.935   |~                    |    ~     ~    
94  |CD-42 16555                                                           |Star                                |00 00 41.5463570352 -41 24 26.309954448|335.7928409613453 -72.3279719994090|   11.871 7.309    |10.10    |~                    |    ~     ~    
95  |CD-42 16562                                                           |High Proper Motion Star             |00 01 17.6127726144 -41 32 23.535091752|335.2288782167369 -72.2980851332231| 51.589 -48.305    |10.35    |~                    |    ~     ~    
