C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
4828|TYC 2200-1735-1                                                                                          |Star                           |21 30 16.3286673768 +28 22 49.930205556|078.0374938296222 -16.4702588225466|   0.499 -0.496   |10.80    |M0               |    ~     ~    
4829|HD 204831                                                                                                |Star                           |21 30 23.8515901536 +28 59 19.725005472|078.5094060663463 -16.0634051701750|   38.165 1.095   |8.27     |F2               |    ~     ~    
4830|BD+28 4111                                                                                               |Star                           |21 31 03.3611604264 +28 50 58.258998168|078.5115870812622 -16.2638107873798|  5.655 -20.175   |9.48     |K5               |    ~     ~    
4831|BD+28 4112                                                                                               |Star                           |21 31 11.9991484968 +28 56 36.203852328|078.6041794016270 -16.2201930741440|  13.977 11.080   |10.14    |K2               |    ~     ~    
4832|BD+28 4113                                                                                               |Star                           |21 31 10.6444664232 +29 21 33.348915216|078.9079134305332 -15.9238963046572|  -9.299 -6.199   |9.35     |A3               |    ~     ~    
4833|BD+28 4116                                                                                               |Star                           |21 31 33.5954227416 +29 37 51.311122716|079.1691427572363 -15.7913082951907|   11.994 0.193   |9.76     |K2               |    ~     ~    
4834|BD+28 4117                                                                                               |Star                           |21 31 52.6141406472 +29 32 21.102221076|079.1522291084266 -15.9048762778273|  -6.437 -2.988   |9.07     |K5               |    ~     ~    
4835|BD+28 4118                                                                                               |Star                           |21 32 18.1075128192 +28 46 05.534860512|078.6517170003250 -16.5148309523599|  -2.800 18.388   |9.49     |G5               |    ~     ~    
4836|BD+28 4119                                                                                               |Star                           |21 32 17.4147692928 +29 13 53.865091128|078.9919234637948 -16.1858912643719|  -5.051 -9.299   |9.98     |K5               |    ~     ~    
4837|BD+28 4120                                                                                               |Star                           |21 32 19.3040842224 +29 29 16.872843228|079.1857264021422 -16.0095065876739|  24.150 21.679   |10.36    |F8               |    ~     ~    
4838|BD+28 4122                                                                                               |Double or Multiple Star        |21 32 43.5943 +29 30 22.946            |079.2640817 -16.0587574            |-12.190 -11.349   |10.25    |F8               |    ~     ~    
4839|BD+28 4123                                                                                               |Star                           |21 32 46.7151704904 +28 43 17.441555232|078.6941627182642 -16.6218231971402| -21.083 -1.015   |9.35     |G5               |    ~     ~    
4840|BD+28 4124                                                                                               |Star                           |21 32 53.4906098184 +29 19 53.175111132|079.1619612737866 -16.2079869380086|  -4.140 14.615   |10.39    |F5               |    ~     ~    
4841|HD 204934                                                                                                |Spectroscopic Binary           |21 31 09.0292543320 +28 21 58.478894460|078.1681612458805 -16.6180546272133| -6.126 -12.746   |8.21     |K1III            |    ~     ~    
4842|BD+27 4086                                                                                               |Star                           |21 31 09.0156310248 +28 31 59.831327136|078.2922084160776 -16.5007285918986| -2.853 -13.477   |10.90    |F8               |    ~     ~    
4843|BD+27 4087                                                                                               |Pulsating Variable             |21 31 17.7132736320 +28 19 18.636327120|078.1584927511510 -16.6719039347054|  -2.597 -4.848   |9.81     |B8               |    ~     ~    
4844|BD+27 4091                                                                                               |Star                           |21 32 23.5647581568 +28 20 44.354049792|078.3535432781663 -16.8268518340379| -4.803 -29.092   |9.97     |F8               |    ~     ~    
4845|BD+27 4093                                                                                               |Star                           |21 32 26.3845976232 +28 33 46.246587300|078.5220612838059 -16.6811099162294|  10.454 -0.163   |10.88    |F2               |    ~     ~    
4846|BD+27 4094                                                                                               |Star                           |21 32 42.0349324512 +28 34 59.514051756|078.5792959711900 -16.7073456036185|    4.159 2.289   |10.56    |K5               |    ~     ~    
4847|BD+27 4095                                                                                               |Star                           |21 32 51.1105217616 +28 20 11.394906864|078.4211638314088 -16.9049581370948|   5.432 -2.668   |9.50     |G5               |    ~     ~    
4848|TYC 2196-1541-1                                                                                          |Star                           |21 30 00.2221129920 +28 06 12.086548200|077.7877224297237 -16.6219078390750|-18.366 -14.208   |10.96    |~                |    ~     ~    
4849|TYC 2196-1583-1                                                                                          |High Proper Motion Star        |21 31 46.6747858242 +28 07 12.259580970|078.0864774053581 -16.8893056373974|  6.716 -53.446   |10.50    |~                |    ~     ~    
4850|TYC 2200-34-1                                                                                            |Star                           |21 32 20.7138997728 +29 59 51.151333380|079.5635547456818 -15.6524231843098|   3.178 -2.001   |10.66    |~                |    ~     ~    
4851|TYC 2200-85-1                                                                                            |Star                           |21 32 17.5940232480 +29 53 21.098448060|079.4758301228456 -15.7212211241278|-13.227 -43.098   |10.39    |~                |    ~     ~    
4852|TYC 2200-250-1                                                                                           |Eclipsing Binary               |21 33 39.0312583176 +29 57 13.426956900|079.7399858841215 -15.8826273211173|  -3.010 -9.078   |10.68    |~                |    ~     ~    
4853|TYC 2200-619-1                                                                                           |Star                           |21 33 42.8828867424 +28 17 58.706353860|078.5341005212022 -17.0654427042029| -5.516 -13.307   |10.86    |~                |    ~     ~    
4854|TYC 2200-689-1                                                                                           |Star                           |21 33 29.8858150896 +28 56 22.806735180|078.9713968979413 -16.5789400104125| -7.886 -16.555   |10.97    |~                |    ~     ~    
4855|TYC 2200-726-1                                                                                           |Star                           |21 33 28.0569375336 +29 03 24.589259100|079.0527353301768 -16.4912402084076| -13.025 -9.338   |10.63    |~                |    ~     ~    
4856|TYC 2200-746-1                                                                                           |Star                           |21 32 25.9738486512 +29 03 48.212072352|078.8908140538334 -16.3267877071743|-17.015 -14.186   |10.28    |~                |    ~     ~    
4857|TYC 2200-921-1                                                                                           |Star                           |21 31 47.4752831736 +29 39 23.702073120|079.2249188851263 -15.8087646780931|   -1.337 1.052   |10.55    |~                |    ~     ~    
4858|TYC 2200-1062-1                                                                                          |Star                           |21 32 31.2507436824 +28 41 22.865389764|078.6290047757692 -16.6042595584208|-15.995 -12.004   |10.65    |~                |    ~     ~    
4859|TYC 2200-1388-1                                                                                          |Star                           |21 33 37.4910700104 +29 47 45.439782648|079.6204773708294 -15.9908777681281|    4.233 3.328   |10.72    |~                |    ~     ~    
4860|TYC 2200-1492-1                                                                                          |Star                           |21 33 06.5138596728 +29 15 09.044529300|079.1388226482913 -16.2972920569425|  -8.195 -5.650   |10.38    |~                |    ~     ~    
4861|TYC 2200-1542-1                                                                                          |High Proper Motion Star        |21 33 19.2125211000 +29 20 18.754120500|079.2361278306361 -16.2688918747535|  43.421 24.033   |10.92    |~                |    ~     ~    
4862|TYC 2200-1582-1                                                                                          |Star                           |21 31 34.3848806544 +29 04 42.609178344|078.7638998513834 -16.1829833567716|   -0.355 2.313   |10.14    |~                |    ~     ~    
4863|TYC 2200-1599-1                                                                                          |Star                           |21 31 04.9028241720 +28 14 12.522107976|078.0608165379737 -16.6980915993371| -3.452 -15.648   |10.43    |~                |    ~     ~    
4864|TYC 2200-1649-1                                                                                          |Star                           |21 30 56.7526846776 +28 12 13.758214968|078.0143550487285 -16.6998951304178|  -1.698 -3.496   |10.88    |~                |    ~     ~    
4865|TYC 2200-1788-1                                                                                          |Star                           |21 30 40.4919568152 +28 44 06.345471552|078.3656428394079 -16.2847536480757|   7.687 -7.595   |10.80    |~                |    ~     ~    
4866|TYC 2200-1799-1                                                                                          |Star                           |21 30 51.1161811536 +28 16 59.350787040|078.0582620739032 -16.6295231705520| -3.920 -10.174   |10.55    |~                |    ~     ~    
4867|TYC 2200-2088-1                                                                                          |Star                           |21 31 20.6336374200 +28 58 59.835403380|078.6567694531504 -16.2144785882886|  16.758 -1.083   |10.61    |~                |    ~     ~    
4868|TYC 2704-2-1                                                                                             |High Proper Motion Star        |21 33 38.0661570456 +30 11 52.637644860|079.9157819070677 -15.7064358649159| 31.287 -96.115   |10.93    |~                |    ~     ~    
4869|TYC 2704-132-1                                                                                           |Star                           |21 32 15.2255922840 +30 09 12.716426628|079.6632625805711 -15.5279201226247| -2.207 -12.356   |10.85    |~                |    ~     ~    
4870|TYC 2704-430-1                                                                                           |Star                           |21 33 22.0385355816 +30 07 56.365520808|079.8251981097921 -15.7125408667582|   9.198 -9.048   |10.93    |~                |    ~     ~    
4871|TYC 2704-620-1                                                                                           |Star                           |21 32 35.2907347416 +30 03 58.563942156|079.6526037272075 -15.6407934436374|  -9.033 -6.432   |10.95    |~                |    ~     ~    
4872|TYC 2704-1864-1                                                                                          |Star                           |21 31 15.8401648920 +30 24 51.189576444|079.6972892199222 -15.1924545517451|   13.877 3.896   |10.48    |~                |    ~     ~    
4873|HD 206332                                                                                                |High Proper Motion Star        |21 40 43.0527568608 +28 45 20.415950028|080.0208856649480 -17.8150298425676| 132.973 32.555   |7.41     |G0V              |    ~     ~    
4874|BD+30 4472                                                                                               |Star                           |21 34 44.6194467408 +30 41 40.925336280|080.4542880101238 -15.5195506279083|   7.434 -2.520   |9.29     |K5               |    ~     ~    
4875|BD+30 4476                                                                                               |Star                           |21 35 23.3449399632 +30 50 43.175083776|080.6664357519982 -15.5084781510205|   13.675 8.649   |9.86     |F5               |    ~     ~    
4876|BD+29 4452                                                                                               |Star                           |21 34 47.4012056664 +30 16 22.719067896|080.1553586433070 -15.8279567148999|-14.962 -12.247   |9.92     |F2               |    ~     ~    
4877|BD+29 4454                                                                                               |Star                           |21 35 45.1369689936 +30 22 33.848048316|080.3846772030045 -15.8992951235301| -13.230 -8.989   |9.55     |K0               |    ~     ~    
4878|BD+29 4448                                                                                               |Long-Period Variable           |21 33 57.9452621232 +29 49 11.415679068|079.6926522983178 -16.0258912738904|  -1.501 -4.267   |9.78     |M5e              |    ~     ~    
4879|AG+29 2609                                                                                               |Long-Period Variable Candidate |21 34 23.6483499408 +30 03 18.969373584|079.9333111129655 -15.9233677497629|    3.582 1.850   |9.75     |M2               |    ~     ~    
4880|HD 205618                                                                                                |Be Star                        |21 35 44.4770094600 +29 44 43.892316780|079.9245183157210 -16.3489362349743|  0.111 -10.991   |8.16     |B2Vne            |    ~     ~    
4881|BD+28 4128                                                                                               |Star                           |21 34 07.0740832272 +28 57 22.593731580|079.0839358970253 -16.6627973065035|  -1.453 -3.341   |9.16     |K0               |    ~     ~    
4882|BD+28 4129                                                                                               |Star                           |21 34 17.5425760944 +29 16 05.660146596|079.3413146867168 -16.4680817640428|    7.569 0.187   |9.79     |K2               |    ~     ~    
4883|BD+28 4130                                                                                               |Star                           |21 34 49.0818406536 +28 58 02.719524252|079.2057055540013 -16.7626745412203|  10.124 -6.386   |9.89     |G5               |    ~     ~    
4884|BD+28 4131                                                                                               |Pulsating Variable             |21 35 01.7677460640 +29 01 51.107105172|079.2866161315872 -16.7500381949357|-11.616 -10.985   |10.80    |A0               |    ~     ~    
4885|BD+28 4133                                                                                               |Star                           |21 35 48.5932388616 +29 36 11.603257380|079.8318887925967 -16.4610800445208|   6.836 14.895   |9.70     |F8               |    ~     ~    
4886|BD+28 4134                                                                                               |Star                           |21 35 52.2037042176 +29 31 04.290982104|079.7793710744731 -16.5312412996342|   1.502 -5.563   |9.50     |M0               |    ~     ~    
4887|BD+27 4103                                                                                               |Star                           |21 34 48.5426221200 +28 28 11.491214304|078.8381724137129 -17.1147531523761|-25.251 -23.148   |10.30    |G0               |    ~     ~    
4888|TYC 2200-657-1                                                                                           |Star                           |21 35 11.1277984872 +28 27 49.838339448|078.8952175624077 -17.1772719600025|    4.053 3.560   |10.80    |F0               |    ~     ~    
4889|TYC 2717-853-1                                                                                           |Star                           |21 36 03.2348918304 +30 18 01.971500544|080.3784189705165 -15.9988081974655|   -6.916 1.492   |10.53    |G5               |    ~     ~    
4890|BD+30 4487                                                                                               |Star                           |21 36 50.0709424152 +30 41 01.315690116|080.7812438890281 -15.8406212482918|   2.159 -2.291   |10.80    |A5               |    ~     ~    
4891|HAT-P-17                                                                                                 |High Proper Motion Star        |21 38 08.7310010424 +30 29 19.446386748|080.8521489688325 -16.1767362386421|-80.280 -127.037  |10.38    |G0               |    ~     ~    
4892|BD+30 4491                                                                                               |Star                           |21 38 39.4415405040 +31 00 05.811255756|081.3035727729212 -15.8819573064948|   -4.036 0.567   |8.26     |M0               |    ~     ~    
4893|HD 206123                                                                                                |Star                           |21 39 17.3501902128 +30 46 14.134542348|081.2400557550028 -16.1427600592914|   25.684 0.312   |8.72     |~                |    ~     ~    
4894|HD 206213                                                                                                |Star                           |21 39 47.7714519000 +31 08 14.677730124|081.5847228822607 -15.9513092720155|  27.888 -3.124   |8.36     |F8               |    ~     ~    
4895|BD+30 4506                                                                                               |Star                           |21 42 04.0191159696 +31 19 04.816640676|082.0817028878778 -16.1517245713227|  35.895 -2.354   |9.82     |F8               |    ~     ~    
4896|HD 206633                                                                                                |Star                           |21 42 36.7034501760 +31 18 08.460919512|082.1593487447475 -16.2424052747280|    5.273 1.065   |8.46     |K5               |    ~     ~    
4897|BD+30 4512                                                                                               |Star                           |21 42 50.9483477520 +30 43 38.693859816|081.7901016581506 -16.6982070107598| -8.570 -15.824   |9.76     |K0               |    ~     ~    
4898|HD 206888                                                                                                |High Proper Motion Star        |21 44 23.4841618992 +31 31 15.444686460|082.6045590084641 -16.3391313821698|  57.552 11.565   |8.82     |K2               |    ~     ~    
4899|BD+30 4516                                                                                               |Star                           |21 44 27.4737277224 +31 25 17.546555820|082.5454348710245 -16.4219983996667|    5.129 1.480   |10.08    |K0               |    ~     ~    
4900|BD+30 4517                                                                                               |Star                           |21 44 32.4748499472 +30 55 52.863472164|082.2131935790217 -16.7951450341843|  -6.919 -9.290   |9.95     |K5               |    ~     ~    
4901|BD+29 4455                                                                                               |Star                           |21 36 09.8320495152 +30 36 45.852519636|080.6222135710175 -15.7913329212732| -3.338 -20.175   |10.59    |F8               |    ~     ~    
4902|BD+29 4457                                                                                               |Star                           |21 36 26.0177603424 +30 36 11.289431664|080.6585983351847 -15.8386168315149| -7.702 -10.300   |10.85    |A2               |    ~     ~    
4903|BD+29 4460                                                                                               |Star                           |21 36 54.0777745536 +30 17 37.905943200|080.5102115972974 -16.1309524866568|  5.016 -21.334   |8.82     |M0               |    ~     ~    
4904|BD+29 4461                                                                                               |Star                           |21 36 58.0752811968 +30 19 16.674689460|080.5408261350675 -16.1212284759633|   9.701 -7.179   |9.53     |A2               |    ~     ~    
4905|BD+29 4466                                                                                               |Star                           |21 38 12.3167113872 +30 24 10.126548576|080.7998928080681 -16.2476634962978|  4.592 -13.385   |9.39     |A5               |    ~     ~    
4906|BD+29 4467                                                                                               |High Proper Motion Star        |21 38 22.2962735400 +30 36 02.130899112|080.9693040147263 -16.1296345544359|  98.428 69.437   |9.18     |G0               |    ~     ~    
4907|BD+29 4475                                                                                               |Star                           |21 39 36.1556795160 +30 33 16.206180552|081.1358962959800 -16.3458316223882|  11.147 -6.466   |9.28     |K5               |    ~     ~    
4908|BD+29 4479                                                                                               |Star                           |21 40 31.5157196520 +30 27 09.341787600|081.2132006991720 -16.5565130487755|   2.402 -0.448   |10.14    |K0               |    ~     ~    
4909|HD 206385                                                                                                |Star                           |21 41 00.3331166064 +30 17 50.458131780|081.1805239685093 -16.7405023070106|  -6.409 -6.937   |7.146    |K5III            |    ~     ~    
4910|BD+29 4482                                                                                               |Star                           |21 41 03.1154926296 +30 24 40.356812808|081.2696933970632 -16.6645422247682|-19.306 -16.552   |9.18     |A2               |    ~     ~    
4911|BD+29 4489                                                                                               |High Proper Motion Star        |21 43 03.1018571376 +30 28 08.182681896|081.6394776390206 -16.9171107962080|  69.218 -0.746   |10.63    |G5               |    ~     ~    
4912|HD 206899                                                                                                |Star                           |21 44 26.7332402328 +30 18 48.004171596|081.7593172658805 -17.2356062904185|  -1.978 -7.193   |7.77     |K5III            |    ~     ~    
4913|TYC 2200-1566-1                                                                                          |Star                           |21 35 58.1469644136 +29 52 21.619915968|080.0539337079015 -16.2925180151546|  2.850 -10.858   |10.48    |G0               |    ~     ~    
4914|HD 205688                                                                                                |High Proper Motion Star        |21 36 13.9817930285 +30 03 19.516340065|080.2294145868600 -16.2015163633098| -52.877 59.610   |6.26     |G8III-IV         |    ~     ~    
4915|BD+29 4458                                                                                               |Star                           |21 36 44.1992097984 +29 40 14.305324764|080.0313317818710 -16.5534553177488| -9.955 -31.490   |8.23     |G8III            |    ~     ~    
4916|BD+29 4459                                                                                               |Star                           |21 36 47.0300139360 +29 51 27.609044688|080.1749339966612 -16.4264730530384|  0.028 -32.888   |8.81     |F2               |    ~     ~    
4917|BD+29 4462                                                                                               |Star                           |21 37 27.2627385768 +30 11 44.755534284|080.5286863352891 -16.2844989631598|    3.203 4.676   |10.51    |K0               |    ~     ~    
4918|HD 205953                                                                                                |Star                           |21 38 00.7647307584 +29 51 27.448005132|080.3746302612079 -16.6117836958267|   5.005 -5.016   |8.14     |A0               |    ~     ~    
4919|TYC 2201-1242-1                                                                                          |Star                           |21 38 33.9077986680 +29 47 54.854196612|080.4219736514988 -16.7374135598692|-14.917 -22.687   |10.57    |F8               |    ~     ~    
4920|BD+29 4470                                                                                               |Star                           |21 38 37.9920050808 +29 54 50.453725320|080.5165863377287 -16.6643867297244| -11.830 -3.746   |10.06    |K0               |    ~     ~    
4921|TYC 2201-1985-1                                                                                          |Star                           |21 38 36.4914334512 +29 52 38.559585468|080.4860145739474 -16.6870582400297| -5.440 -22.409   |10.54    |G0               |    ~     ~    
4922|BD+29 4472                                                                                               |Spectroscopic Binary           |21 39 12.1149455712 +29 39 12.849673932|080.4212588757028 -16.9377561329067|  -6.536 -4.189   |10.60    |F8               |    ~     ~    
4923|HD 206168                                                                                                |Double or Multiple Star        |21 39 30.2589502 +30 09 22.230641      |080.8334960607 -16.6197464747      |     24.28 5.19   |8.29     |A5               |0.0017  0.0    
4924|HD 206198                                                                                                |Pulsating Variable             |21 39 48.0264819192 +29 56 38.289756012|080.7290408164527 -16.8175587008809|   6.425 -4.037   |8.350    |A2               |    ~     ~    
4925|BD+29 4480                                                                                               |Star                           |21 40 53.7731868144 +30 08 58.705419660|081.0566443144881 -16.8316590300224|   -6.344 1.818   |9.23     |A0               |    ~     ~    
4926|BD+29 4483                                                                                               |Pulsating Variable             |21 41 20.7511534920 +29 56 42.102239280|080.9836753485769 -17.0472077289212| -3.801 -13.280   |9.80     |F2               |    ~     ~    
4927|BD+29 4484                                                                                               |Star                           |21 41 20.7445867200 +29 49 18.688784412|080.8951628063132 -17.1367243729876|  10.800 -4.745   |10.06    |F8               |    ~     ~    
4928|TYC 2717-765-1                                                                                           |Star                           |21 42 17.8712607960 +30 09 13.500337104|081.2902008673419 -17.0363630657293|   0.442 -4.798   |10.39    |K0               |    ~     ~    
4929|BD+29 4488                                                                                               |Star                           |21 42 53.7519652248 +30 10 24.351321540|081.4030043851328 -17.1103058191049|   1.676 -3.934   |10.87    |K0               |    ~     ~    
4930|BD+28 4135                                                                                               |Star                           |21 36 07.5041984736 +29 24 22.946333256|079.7394133834146 -16.6497464757411|  -7.350 -7.034   |10.58    |G5               |    ~     ~    
4931|HD 205700                                                                                                |Star                           |21 36 22.9918615104 +29 32 23.040539196|079.8786082274017 -16.5936109400150|  8.357 -19.952   |8.24     |F5V              |    ~     ~    
4932|BD+28 4138                                                                                               |Star                           |21 36 27.1745319432 +28 53 20.796616824|079.4147381002639 -17.0694358003797|  0.546 -10.863   |10.31    |F2               |    ~     ~    
4933|BD+28 4140                                                                                               |Star                           |21 37 07.9274639688 +28 49 47.775232416|079.4826860863797 -17.2157292983285|-14.994 -12.938   |9.03     |M3e              |    ~     ~    
4934|HD 205851                                                                                                |Star                           |21 37 18.5637955560 +29 28 21.750885228|079.9805691145217 -16.7821929115944|    4.037 0.036   |8.29     |F8               |    ~     ~    
4935|BD+28 4142                                                                                               |Star                           |21 37 22.8882398256 +28 57 19.633938120|079.6153194302749 -17.1639806009066| -12.823 -5.317   |10.86    |K0               |    ~     ~    
4936|BD+28 4143                                                                                               |Star                           |21 37 46.9304890224 +29 39 08.262586908|080.1881793892630 -16.7247463400116|-10.279 -30.483   |8.51     |K0               |    ~     ~    
4937|BD+28 4145                                                                                               |Star                           |21 38 11.0605126944 +28 56 29.639161896|079.7370581364960 -17.2963512891630|  -7.146 -7.319   |9.44     |K0               |    ~     ~    
4938|BD+28 4147                                                                                               |Star                           |21 38 24.8938335168 +29 13 50.035819476|079.9853616951645 -17.1237234074308|   1.385 -5.423   |8.87     |F0               |    ~     ~    
4939|BD+28 4150                                                                                               |High Proper Motion Star        |21 39 15.9639317832 +29 13 56.335884096|080.1265906840135 -17.2513216858105|-47.342 -129.212  |10.01    |G5               |    ~     ~    
4940|BD+28 4151                                                                                               |Star                           |21 39 26.3323359864 +28 55 03.682574760|079.9265555644320 -17.5042456885970|  7.083 -12.425   |9.84     |K0               |    ~     ~    
4941|BD+28 4152                                                                                               |Star                           |21 39 27.7460426352 +28 56 04.435044432|079.9427208213210 -17.4956618499665|  -1.210 -1.790   |10.36    |F8               |    ~     ~    
4942|BD+28 4153                                                                                               |Star                           |21 39 45.4019323776 +29 11 09.254665932|080.1738175911177 -17.3589469068995| -0.051 -13.331   |9.01     |K0               |    ~     ~    
4943|BD+28 4154                                                                                               |Star                           |21 39 46.1209298184 +29 36 37.231226172|080.4830395126528 -17.0541456642999|   11.449 2.961   |10.12    |A2               |    ~     ~    
4944|BD+28 4155                                                                                               |Star                           |21 39 56.5722997272 +28 49 31.411182864|079.9428857392608 -17.6472530233557|  -5.783 -6.257   |10.76    |M2               |    ~     ~    
4945|BD+28 4157                                                                                               |High Proper Motion Star        |21 39 58.5052219800 +28 50 15.957048912|079.9572196578313 -17.6432145287439|  46.888 73.514   |10.44    |G5               |    ~     ~    
4946|TYC 2201-372-1                                                                                           |High Proper Motion Star        |21 40 06.0047864424 +28 50 36.425427036|079.9820754986733 -17.6580657212508|-68.755 -64.680   |10.95    |F8               |    ~     ~    
4947|BD+28 4159                                                                                               |Star                           |21 40 36.5629899840 +29 15 17.337350052|080.3646420763041 -17.4377075317473|  -0.347 -3.091   |10.46    |M0               |    ~     ~    
4948|HD 206373                                                                                                |Double or Multiple Star        |21 41 00.6682893600 +29 20 25.348892640|080.4929733213360 -17.4361323532745| 79.276 -20.505   |9.04     |G0V              |    ~     ~    
4949|BD+28 4163                                                                                               |Star                           |21 41 19.1681707248 +29 30 20.160397476|080.6632005292567 -17.3625043275294| -6.877 -18.726   |10.44    |F5               |    ~     ~    
4950|BD+28 4164                                                                                               |Star                           |21 42 00.1738600200 +29 22 57.256332852|080.6878712541691 -17.5541295530036|   12.207 0.174   |10.44    |K2               |    ~     ~    
4951|BD+28 4165                                                                                               |Star                           |21 42 10.1433985704 +29 06 29.895582600|080.5178113585232 -17.7783595837825|  -0.580 -1.779   |10.31    |K2               |    ~     ~    
4952|HD 206764                                                                                                |Star                           |21 43 38.9530052160 +29 25 00.873381900|080.9867837706863 -17.7746591044307| -0.826 -22.711   |8.86     |A3               |    ~     ~    
4953|HD 206889                                                                                                |High Proper Motion Star        |21 44 23.3827902432 +29 15 56.185859772|081.0022677311136 -17.9953790265328|-33.411 -75.666   |7.12     |K1III            |    ~     ~    
4954|HD 206900                                                                                                |Star                           |21 44 28.4594415576 +29 11 38.575906260|080.9651681937154 -18.0603158334946|  23.101 -2.982   |7.24     |A0               |    ~     ~    
4955|BD+28 4176                                                                                               |Star                           |21 44 53.5840206816 +29 18 38.603031048|081.1190838625651 -18.0370972723084|  6.710 -10.737   |10.21    |K2               |    ~     ~    
4956|CCDM J21422+3009C                                                                                        |Star                           |21 42 10.9371112680 +30 09 02.330478612|081.2689220447203 -17.0215366831508| -7.860 -10.057   |9.8      |~                |    ~     ~    
4957|TYC 2200-298-1                                                                                           |Star                           |21 37 10.1413164240 +29 56 54.671444448|080.3033466573136 -16.4193642503275|    6.857 9.934   |10.61    |~                |    ~     ~    
4958|TYC 2200-355-1                                                                                           |Star                           |21 36 09.4136940120 +29 59 44.457120816|080.1737217472203 -16.2328294767273|  -1.244 -1.997   |9.74     |~                |    ~     ~    
4959|TYC 2200-384-1                                                                                           |Star                           |21 34 58.0785228192 +28 23 51.735765696|078.8109347225248 -17.1905797373256|   7.616 -5.367   |10.91    |~                |    ~     ~    
4960|TYC 2200-593-1                                                                                           |Star                           |21 35 29.5021186560 +28 27 23.964909372|078.9400072656745 -17.2297247586532| -1.678 -31.859   |10.78    |~                |    ~     ~    
4961|TYC 2200-824-1                                                                                           |Star                           |21 37 04.2468852792 +29 34 19.667629776|080.0140114370739 -16.6747063492445|  -2.692 -2.358   |10.32    |~                |    ~     ~    
4962|TYC 2200-866-1                                                                                           |High Proper Motion Star        |21 33 49.3498560168 +29 21 57.126500712|079.3370952012015 -16.3266394454666|  88.197 43.822   |10.01    |~                |    ~     ~    
4963|TYC 2200-1035-1                                                                                          |Star                           |21 36 12.3320007648 +29 36 44.339494824|079.9026551213585 -16.5146858685538|-10.704 -17.799   |10.21    |~                |    ~     ~    
4964|TYC 2200-1095-1                                                                                          |Star                           |21 35 35.9152709688 +29 43 28.393429188|079.8861598105130 -16.3422625830312| -6.736 -12.429   |10.75    |~                |    ~     ~    
4965|TYC 2200-1462-1                                                                                          |Star                           |21 36 46.4051143512 +29 32 44.176958880|079.9463173879420 -16.6486408701763| -6.954 -11.299   |10.64    |~                |    ~     ~    
4966|TYC 2200-1496-1                                                                                          |Star                           |21 36 16.6996 +29 17 32.334            |079.6810733 -16.7546385            |  13.901 -1.504   |10.89    |~                |    ~     ~    
4967|TYC 2201-28-1                                                                                            |Star                           |21 41 05.8308067128 +29 07 29.570351952|080.3515056641425 -17.6052203749016|-14.282 -23.030   |10.94    |~                |    ~     ~    
4968|TYC 2201-774-1                                                                                           |Star                           |21 39 14.7571919568 +29 07 54.844699476|080.0503802125285 -17.3206546515235| -6.623 -12.436   |10.67    |~                |    ~     ~    
4969|TYC 2201-779-1                                                                                           |Star                           |21 37 47.4403511232 +28 34 48.786816648|079.4082876122966 -17.4953171464036| -11.725 -7.587   |10.10    |~                |    ~     ~    
4970|TYC 2201-922-1                                                                                           |Star                           |21 38 49.9330617960 +29 33 13.638675708|080.2884186418017 -16.9540813748855|  1.848 -20.820   |10.48    |~                |    ~     ~    
4971|TYC 2201-1054-1                                                                                          |Star                           |21 38 38.0674686768 +29 11 30.628805352|079.9932768344714 -17.1848600577974|  -0.961 -2.361   |10.79    |~                |    ~     ~    
4972|TYC 2201-1145-1                                                                                          |Star                           |21 38 49.5516171384 +29 45 13.990765068|080.4322537807466 -16.8088328812627|  -9.964 -2.790   |10.79    |~                |    ~     ~    
4973|TYC 2201-1349-1                                                                                          |Star                           |21 39 34.6087906776 +29 11 55.605780780|080.1534744442788 -17.3224777296335|  14.632 -1.586   |10.87    |~                |    ~     ~    
4974|TYC 2201-1501-1                                                                                          |Star                           |21 38 16.8469735440 +29 50 20.002989840|080.4047508872937 -16.6655990636195|   2.907 -1.526   |10.57    |~                |    ~     ~    
4975|TYC 2201-1535-1                                                                                          |Star                           |21 39 16.4411897232 +29 55 19.709027868|080.6271349338384 -16.7545881349493| -4.702 -14.741   |10.52    |~                |    ~     ~    
4976|TYC 2201-1572-1                                                                                          |Star                           |21 44 11.0415264288 +29 25 47.612316648|081.0855088151073 -17.8446289816062|-10.595 -12.751   |10.54    |~                |    ~     ~    
4977|TYC 2201-1629-1                                                                                          |Star                           |21 43 28.5276276480 +29 56 22.365023028|081.3319514988438 -17.3668712683857|  -5.575 -3.831   |10.19    |~                |    ~     ~    
4978|TYC 2201-1672-1                                                                                          |Star                           |21 40 31.3254514920 +29 32 58.037918820|080.5631052305736 -17.2112594114289| -11.420 -7.178   |10.88    |~                |    ~     ~    
