C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
104 |TYC 3187-600-1                                                                                           |Star                           |21 33 13.7222725752 +39 34 39.813265704|086.5135567803170 -08.8881402617139|   2.267 -5.171   |10.92    |~                |    ~     ~    
105 |TYC 3187-622-1                                                                                           |Star                           |21 35 10.7590381584 +39 35 34.009846296|086.8018213129764 -09.1339278825153|   43.320 0.301   |10.38    |~                |    ~     ~    
106 |TYC 3187-651-1                                                                                           |Star                           |21 38 06.5456548968 +40 54 27.880026444|088.1188285201205 -08.5439663362469|  -0.399 -3.293   |10.74    |~                |    ~     ~    
107 |TYC 3187-665-1                                                                                           |Star                           |21 38 14.7062893608 +40 54 22.209926364|088.1369998411076 -08.5624051806454|  -3.851 -7.982   |10.41    |~                |    ~     ~    
108 |TYC 3187-669-1                                                                                           |Star                           |21 36 17.9574517368 +40 35 11.576948640|087.6438448449468 -08.5497955857179|  14.241 13.484   |10.09    |~                |    ~     ~    
109 |TYC 3187-693-1                                                                                           |Star                           |21 39 39.1781882880 +40 17 35.841670764|087.9215786210902 -09.1962318066136|  -6.227 -8.227   |10.87    |~                |    ~     ~    
110 |TYC 3187-742-1                                                                                           |Star                           |21 31 05.8765564680 +41 13 54.464435040|087.3635564225916 -07.4074291508903|   5.708 -5.859   |10.44    |~                |    ~     ~    
111 |TYC 3187-758-1                                                                                           |Star                           |21 33 00.0569283624 +41 02 52.574546292|087.4991753150912 -07.7870406453916| -4.978 -11.719   |10.79    |~                |    ~     ~    
112 |TYC 3187-771-1                                                                                           |Star                           |21 31 02.8941667296 +40 48 10.573442100|087.0587679350640 -07.7119281508839| 17.965 -11.488   |10.84    |~                |    ~     ~    
113 |TYC 3187-774-1                                                                                           |Star                           |21 34 35.0052190104 +41 05 43.022720148|087.7519080482790 -07.9559192908334|    5.660 3.199   |10.87    |~                |    ~     ~    
114 |TYC 3187-790-1                                                                                           |Star                           |21 31 57.0259091304 +41 06 06.847154928|087.3910109752326 -07.6120548251950|  -5.150 -9.861   |10.36    |~                |    ~     ~    
