C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:58:03

dec< 0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5885

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
41  |HD 98699                                                                                                                                                                       |Star                                  |11 21 25.3429060296 -01 56 01.672531980|262.6314980330141 +53.7421285976403|   -8.073 2.950   |9.11     |K1/2III        |    ~     ~    |    1|  838.433   pc  | -55.2100    +55.2100  |ST-L    |2020AJ....160...83S
42  |BD-01 2519                                                                                                                                                                     |Star                                  |11 24 21.0645221664 -01 53 55.005161460|263.6193908405056 +54.1882146226294|  -16.546 1.152   |10.07    |K5             |    ~     ~    |    1| 1173.158   pc  | -23.3971    +23.3971  |paral   |2020yCat.1350....0G
43  |HD 99210                                                                                                                                                                       |High Proper Motion Star               |11 24 58.1807409360 -02 12 44.536721580|264.1378177095331 +54.0152159847321|-59.785 -38.031   |6.74     |A7mA8-F2       |    ~     ~    |    1|  179.417   pc  |  -6.0196     +6.0196  |paral   |2020yCat.1350....0G
44  |HD 99345                                                                                                                                                                       |Star                                  |11 25 51.5503244880 -02 07 35.042760480|264.3711263800490 +54.2103205288461|-22.941 -29.470   |9.10     |K0V            |    ~     ~    |    1|  211.609   pc  |  -0.8284     +0.8284  |paral   |2020yCat.1350....0G
45  |HD 98199                                                                                                                                                                       |Variable Star                         |11 17 49.4487497448 -02 33 22.082865156|262.0107702251963 +52.7139232293331|-13.626 -22.564   |9.07     |F2/3V          |    ~     ~    |    1|  222.054   pc  |  -1.2376     +1.2376  |paral   |2020yCat.1350....0G
46  |BD-01 2507                                                                                                                                                                     |Star                                  |11 18 36.4164111456 -02 27 20.504970468|262.1768793555651 +52.9094532360253| -0.726 -42.629   |10.635   |G0             |    ~     ~    |    1|  229.643   pc  |  -3.5330     +3.5330  |ST-L    |2020AJ....160...83S
47  |BD-01 2508                                                                                                                                                                     |Star                                  |11 18 59.3781669312 -02 19 36.123582468|262.1814634863299 +53.0699824382155|   5.218 -8.022   |9.839    |K0             |    ~     ~    |    1|  542.473   pc  | -16.1900    +16.1900  |ST-L    |2020AJ....160...83S
48  |BD-01 2515                                                                                                                                                                     |Star                                  |11 21 57.8005036296 -02 21 20.035821240|263.2252450795760 +53.4736946707176| -39.221 -3.967   |10.64    |K0             |    ~     ~    |    1|  238.416   pc  |  -4.7010     +4.7010  |ST-L    |2020AJ....160...83S
49  |HD 98785                                                                                                                                                                       |Star                                  |11 22 08.0912512680 -02 23 20.954729904|263.3165399531445 +53.4704183512228| 16.674 -30.813   |8.53     |G8/K0III/IV    |    ~     ~    |    1|  358.230   pc  |  -3.3237     +3.3237  |paral   |2020yCat.1350....0G
50  |HD 98903                                                                                                                                                                       |Star                                  |11 22 55.0563254472 -02 38 37.791071412|263.8286623478168 +53.3707278484341| -14.213 -9.021   |9.822    |F6/7V          |    ~     ~    |    1|  123.300   pc  |  -1.3840     +1.3840  |ST-L    |2020AJ....160...83S
51  |HD 99030                                                                                                                                                                       |High Proper Motion Star               |11 23 48.5150283456 -02 36 28.035633996|264.1042320371115 +53.5252469615819|-17.417 -84.624   |8.97     |K1III          |    ~     ~    |    1|  182.588   pc  |  -0.6668     +0.6668  |paral   |2020yCat.1350....0G
52  |BD-01 2522                                                                                                                                                                     |Star                                  |11 25 11.6323182024 -02 24 53.506116288|264.4083217133929 +53.8781249226997| -40.187 20.801   |10.279   |F8             |    ~     ~    |    1|  143.667   pc  |  -1.3330     +1.3330  |ST-L    |2020AJ....160...83S
53  |TYC 4926-186-1                                                                                                                                                                 |Star                                  |11 22 44.3529334728 -02 30 22.276707480|263.6368551134489 +53.4593929299982| 11.176 -33.811   |10.405   |G0             |    ~     ~    |    1|  211.553   pc  |  -3.0540     +3.0540  |ST-L    |2020AJ....160...83S
54  |LP 612-66                                                                                                                                                                      |High Proper Motion Star               |11 20 31.9709369544 -01 41 54.800590488|262.0943563405135 +53.8051920926499|-132.275 17.268   |10.460   |~              |    ~     ~    |    1|  173.617   pc  |  -4.4450     +4.4450  |ST-L    |2020AJ....160...83S
55  |TYC 4923-89-1                                                                                                                                                                  |Star                                  |11 21 07.9464386112 -02 29 40.461959688|263.0722854911636 +53.2411826625047|  -16.789 1.615   |10.801   |~              |    ~     ~    |    1|  975.047   pc  | -40.2400    +40.2400  |ST-L    |2020AJ....160...83S
56  |BD-01 2511                                                                                                                                                                     |Star                                  |11 21 19.3428697032 -02 04 34.050866592|262.7352512201547 +53.6113450706969| 14.324 -25.272   |10.58    |~              |    ~     ~    |    1|  370.867   pc  |  -9.1450     +9.1450  |ST-L    |2020AJ....160...83S
57  |BD-01 2513                                                                                                                                                                     |Star                                  |11 21 37.9115 -02 11 25.970            |262.9524988 +53.5619532            | -36.866 -8.374   |10.289   |~              |    ~     ~    |    1|  260.871   pc  |  -4.8290     +4.8290  |ST-L    |2020AJ....160...83S
58  |BD-00 2430                                                                                                                                                                     |Spectroscopic Binary                  |11 21 43.0540015296 -01 31 18.280616448|262.3294502689971 +54.1210822415539|  -5.434 -4.883   |9.951    |~              |    ~     ~    |    1| 1012.170   pc  | -66.8300    +66.8300  |ST-L    |2020AJ....160...83S
59  |BD-01 2514                                                                                                                                                                     |High Proper Motion Star               |11 21 49.8644971344 -02 17 15.451851732|263.1145446293240 +53.5107083688467| -53.251 34.658   |9.85     |~              |    ~     ~    |    1|   90.515   pc  |  -0.6013     +0.6013  |ST-L    |2020AJ....160...83S
60  |TYC 4923-729-1                                                                                                                                                                 |High Proper Motion Star               |11 22 15.8757987672 -01 12 33.477928524|262.2097360351427 +54.4548950954393|-47.830 -73.920   |10.27    |~              |    ~     ~    |    1|  116.997   pc  |  -0.2792     +0.2792  |paral   |2020yCat.1350....0G
