C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
4437|CD-45 2445                                                            |Star                                  |06 20 04.5310631712 -46 03 10.660129776|253.9303348324561 -24.3656048246506|  -5.370 37.342   |9.64     |~                   |    ~     ~          
4438|CD-47 2308                                                            |Star                                  |06 21 12.6513829008 -47 30 47.406518316|255.5373489247367 -24.5387873433069|   4.319 16.857   |10.03    |~                   |    ~     ~          
4439|CD-46 2363                                                            |Star                                  |06 22 02.2775111064 -46 32 54.648124548|254.5501148113309 -24.1626308953646|    4.920 2.850   |10.630   |~                   |    ~     ~          
4440|CD-47 2323                                                            |Star                                  |06 22 24.7275502416 -47 12 56.619547128|255.2758566689428 -24.2683388015966|   7.139 -0.048   |10.31    |~                   |    ~     ~          
4441|CD-46 2372                                                            |Star                                  |06 22 58.1505852960 -47 00 11.402794584|255.0763332356032 -24.1232760908248|    1.215 9.387   |10.616   |~                   |    ~     ~          
4442|CD-46 2380                                                            |Star                                  |06 23 32.3823796056 -47 01 25.563123156|255.1251183667891 -24.0344041625266|   -5.970 2.394   |10.683   |~                   |    ~     ~          
4443|CD-47 2337                                                            |Star                                  |06 24 04.5565007520 -47 35 29.609749104|255.7519339628743 -24.0897874187313|    0.029 1.372   |10.280   |~                   |    ~     ~          
4444|CPD-45 831                                                            |Star                                  |06 21 07.3565994792 -45 04 52.733177580|252.9525599036527 -23.9393408254186|   0.328 11.081   |10.658   |~                   |    ~     ~          
4445|CD-45 2464                                                            |Star                                  |06 22 08.4722360376 -45 08 47.958632448|253.0730726015734 -23.7830829503763|    0.175 3.401   |8.94     |~                   |    ~     ~          
4446|TYC 7624-259-1                                                        |Star                                  |06 17 10.4594788080 -44 58 50.041161084|252.6494866351663 -24.5877475675729|  -4.633 19.303   |10.90    |~                   |    ~     ~          
4447|TYC 8102-198-1                                                        |Star                                  |06 17 41.3755508496 -45 34 05.534349600|253.3002676714733 -24.6469695259646|   3.276 -2.193   |10.52    |~                   |    ~     ~          
4448|TYC 8102-199-1                                                        |Star                                  |06 16 07.6086768000 -45 20 49.652103912|252.9897418311671 -24.8578142037178| -15.568 11.105   |10.883   |~                   |    ~     ~          
4449|TYC 8102-335-1                                                        |Spectroscopic Binary                  |06 21 01.5161140944 -45 26 29.063322240|253.3282943443737 -24.0494699363118| -2.871 -30.918   |10.70    |~                   |    ~     ~          
4450|TYC 8102-378-1                                                        |Spectroscopic Binary                  |06 21 27.5468189208 -45 15 12.128453568|253.1512133623980 -23.9270204430437|    7.053 3.141   |10.720   |~                   |    ~     ~          
4451|TYC 8102-400-1                                                        |Star                                  |06 19 45.1606904376 -46 02 57.217178148|253.9109279954332 -24.4188882323834|    4.953 8.671   |10.90    |~                   |    ~     ~          
4452|TYC 8102-433-1                                                        |Star                                  |06 18 13.2374770344 -45 45 36.147851460|253.5300466767671 -24.6047959795570|    5.500 5.787   |10.53    |~                   |    ~     ~          
4453|TYC 8102-474-1                                                        |Spectroscopic Binary                  |06 19 54.8787869376 -45 44 27.801367224|253.5913301453429 -24.3139736233723|   3.626 13.739   |10.89    |~                   |    ~     ~          
4454|TYC 8102-616-1                                                        |Star                                  |06 15 46.1664369768 -45 38 05.580470328|253.2805283494832 -24.9889108120327|  -3.684 -2.417   |10.64    |~                   |    ~     ~          
4455|TYC 8102-675-1                                                        |Star                                  |06 18 09.3655325088 -46 40 58.370798712|254.5120291923593 -24.8417521467637|  -18.457 1.330   |10.36    |~                   |    ~     ~          
4456|TYC 8102-735-1                                                        |Star                                  |06 18 55.9835198808 -46 35 41.990494524|254.4538117064147 -24.6910364261779|  -0.877 -6.877   |10.22    |~                   |    ~     ~          
4457|TYC 8102-752-1                                                        |Star                                  |06 21 40.8553852800 -46 50 08.880573048|254.8381285683312 -24.2941602213426|   -1.141 3.258   |10.631   |~                   |    ~     ~          
4458|TYC 8102-802-1                                                        |Star                                  |06 21 21.6800135904 -46 44 10.512117600|254.7173604215474 -24.3222492267454|  12.069 -0.616   |10.06    |~                   |    ~     ~          
4459|TYC 8102-804-1                                                        |Star                                  |06 20 35.0744209460 -46 37 31.861978106|254.5631738395289 -24.4236731989014|   -5.977 9.711   |10.83    |~                   |    ~     ~          
4460|TYC 8102-812-1                                                        |Star                                  |06 21 29.1276994344 -46 37 28.657126848|254.6046394208575 -24.2736792353554|    1.542 9.808   |10.808   |~                   |    ~     ~          
4461|TYC 8102-840-1                                                        |Star                                  |06 15 34.5401185872 -46 03 29.113714152|253.7249385751024 -25.1236825876222|    1.453 2.459   |10.653   |~                   |    ~     ~          
4462|TYC 8102-843-1                                                        |Star                                  |06 21 06.4783894560 -46 19 49.820513880|254.2744506680833 -24.2625710375704|  -6.786 -3.118   |10.26    |~                   |    ~     ~          
4463|TYC 8102-880-1                                                        |Star                                  |06 20 58.3700092920 -46 22 26.548656312|254.3142286833558 -24.2961025456778|  -15.104 3.357   |10.61    |~                   |    ~     ~          
4464|TYC 8102-893-1                                                        |Star                                  |06 20 34.4135483376 -46 22 42.213403020|254.2998858762314 -24.3638578228796|   -9.237 5.292   |10.84    |~                   |    ~     ~          
4465|TYC 8102-913-1                                                        |Star                                  |06 20 59.7725897616 -46 04 39.217933956|254.0007056201147 -24.2172938778113|  10.908 20.240   |10.20    |~                   |    ~     ~          
4466|TYC 8102-922-1                                                        |Star                                  |06 18 46.8168169848 -46 23 52.070965764|254.2363077279654 -24.6682554846441|   5.854 31.694   |10.94    |~                   |    ~     ~          
4467|TYC 8102-1004-1                                                       |Star                                  |06 18 37.7996384040 -46 27 28.772854956|254.2935608074658 -24.7081054357424|   -6.615 2.376   |10.16    |~                   |    ~     ~          
4468|TYC 8102-1024-1                                                       |Star                                  |06 21 27.0478704984 -46 10 36.379276104|254.1278336469158 -24.1663116922467|   9.866 15.174   |10.90    |~                   |    ~     ~          
4469|TYC 8102-1030-1                                                       |Star                                  |06 21 22.2120533448 -46 28 40.165620888|254.4433179817211 -24.2559481060425|   10.008 6.744   |10.12    |~                   |    ~     ~          
4470|TYC 8102-1058-1                                                       |Star                                  |06 21 52.8553325448 -46 07 37.154662932|254.0959024439504 -24.0815868902196|   -1.591 9.277   |10.47    |~                   |    ~     ~          
4471|TYC 8102-1561-1                                                       |Star                                  |06 15 05.4152210760 -45 51 19.511876448|253.4852668384380 -25.1570975140707|  12.858 -5.601   |10.407   |~                   |    ~     ~          
4472|TYC 8106-576-1                                                        |Star                                  |06 16 50.1323497680 -47 35 42.282826296|255.4320026089490 -25.2753582619016| -10.154 16.938   |10.888   |~                   |    ~     ~          
4473|TYC 8106-632-1                                                        |Star                                  |06 16 27.8603157480 -47 37 19.866090144|255.4452564938771 -25.3424818872396|   -0.732 0.237   |10.581   |~                   |    ~     ~          
4474|TYC 8106-1073-1                                                       |Star                                  |06 15 24.3898867056 -47 03 02.461896468|254.7841151918608 -25.3853082172660|    1.596 1.833   |10.37    |~                   |    ~     ~          
4475|TYC 8106-1254-1                                                       |Star                                  |06 18 34.5659520384 -47 23 38.477317956|255.2920967830193 -24.9424704388841|    4.617 8.110   |10.58    |~                   |    ~     ~          
4476|TYC 8106-1659-1                                                       |Star                                  |06 21 13.0683 -47 37 50.623            |255.6630268 -24.5662470            |   -12.30 17.00   |10.53    |~                   |    ~     ~          
4477|TYC 8106-1719-1                                                       |Star                                  |06 20 13.4485954752 -47 12 55.673780940|255.1750923861868 -24.6283789170616|  34.781 -9.670   |10.98    |~                   |    ~     ~          
4478|TYC 8107-507-1                                                        |Star                                  |06 24 25.0460753640 -47 17 23.107744032|255.4482046538374 -23.9576523770220|   -1.443 9.988   |10.980   |~                   |    ~     ~          
4479|HD 45815                                                              |Star                                  |06 27 09.0966570120 -47 49 16.403847852|256.1388561273147 -23.6478840509547|   0.389 22.912   |8.07     |Fm_dD               |    ~     ~          
4480|CD-47 2370                                                            |Long-Period Variable Candidate        |06 27 34.7712254640 -47 58 48.637341120|256.3266896762054 -23.6196232368664|   0.215 12.025   |8.06     |M2/3III             |    ~     ~          
4481|CD-47 2379                                                            |High Proper Motion Star               |06 28 22.5563104488 -47 46 41.066339808|256.1517062521421 -23.4381328407766|176.437 -76.410   |10.92    |~                   |    ~     ~          
4482|HD 45922                                                              |Star                                  |06 27 51.1177569048 -48 03 24.250184676|256.4202473461854 -23.5953824889840|   0.806 18.486   |9.07     |G8/K0III            |    ~     ~          
4483|CD-48 2317                                                            |Star                                  |06 27 12.5485589856 -48 19 35.634086580|256.6750238594944 -23.7681420328869|  27.952 -4.976   |9.39     |~                   |    ~     ~          
4484|CD-49 2258                                                            |Star                                  |06 27 33.4832136624 -49 07 00.426136296|257.5268860427650 -23.9118102355821|  -6.344 11.499   |10.48    |A2                  |    ~     ~          
4485|HD 46026                                                              |High Proper Motion Star               |06 28 26.8643376048 -49 10 03.482583420|257.6206351678268 -23.7837285164337|-5.604 -119.417   |8.65     |F6/7V               |    ~     ~          
4486|HD 46085                                                              |Star                                  |06 28 43.1748206208 -49 17 06.941197464|257.7572476285903 -23.7704314349064|   -0.935 6.879   |8.01     |B9V                 |    ~     ~          
4487|CD-49 2282                                                            |Star                                  |06 29 44.7686367192 -49 13 48.337259988|257.7453878034202 -23.5944162981222| -13.511 10.747   |10.25    |F2                  |    ~     ~          
4488|HD 46098                                                              |Star                                  |06 28 40.3136029392 -50 04 52.961352852|258.5983059882673 -23.9762227194564|-22.572 -22.605   |8.26     |G0V                 |    ~     ~          
4489|HD 46273A                                                             |High Proper Motion Star               |06 29 49.063438 -50 14 20.70448        |258.815091494 -23.837399859        |    -65.3 -51.9   |5.93     |~                   |    ~     ~          
4490|CD-48 2328                                                            |Star                                  |06 28 49.1054302128 -48 31 45.447170592|256.9636468884218 -23.5620222195845|   0.647 29.264   |9.76     |~                   |    ~     ~          
4491|CD-49 2279                                                            |Star                                  |06 29 34.5509256384 -49 32 28.939058628|258.0663631812142 -23.7003051378790|  -7.665 -4.335   |9.62     |~                   |    ~     ~          
4492|CD-49 2284                                                            |Spectroscopic Binary                  |06 29 47.6284437960 -49 25 14.843439012|257.9488025859366 -23.6354975985919|  -2.343 12.275   |10.264   |~                   |    ~     ~          
4493|CD-50 2238                                                            |Star                                  |06 29 08.5969806312 -50 20 22.205025744|258.8924166270236 -23.9665936382865|   0.734 16.502   |10.46    |~                   |    ~     ~          
4494|CD-47 2356                                                            |Star                                  |06 26 01.0621681824 -47 43 55.852017924|255.9914127887513 -23.8091306299385|   7.532 20.418   |9.15     |~                   |    ~     ~          
4495|* G Pup                                                               |Double or Multiple Star               |06 25 43.65308 -48 10 36.8367          |256.44843757 -23.96887150          |   -2.73 -20.54   |5.76     |B9V                 |    ~     ~          
4496|CD-49 2251                                                            |Star                                  |06 26 10.0277233032 -49 08 17.402025552|257.4878243094643 -24.1375582750171|    4.560 6.269   |9.68     |K0                  |    ~     ~          
4497|CD-49 2259                                                            |Asymptotic Giant Branch Star Candidate|06 27 27.7263340560 -49 57 05.532050376|258.4083358069505 -24.1328590848117|    0.605 5.934   |9.15     |M2                  |    ~     ~          
4498|AKARI-IRC-V1 J0627117-482541                                          |Long-Period Variable Candidate        |06 27 11.7861855312 -48 25 41.449974564|256.7818336033711 -23.7960175302288|    2.329 8.696   |10.15    |~                   |    ~     ~          
4499|CD-49 2281                                                            |Star                                  |06 29 38.9570823936 -49 42 49.254804504|258.2517597749763 -23.7322523595974|  -8.228 20.185   |9.43     |~                   |    ~     ~          
4500|TYC 8107-857-1                                                        |Star                                  |06 26 36.4250173920 -47 50 30.101451252|256.1347868558062 -23.7414618896779|   1.619 -1.074   |10.72    |~                   |    ~     ~          
4501|TYC 8107-1139-1                                                       |Star                                  |06 26 42.8711982024 -47 37 58.147603536|255.9194190336242 -23.6702615218338|    2.999 3.043   |10.770   |~                   |    ~     ~          
4502|TYC 8107-1361-1                                                       |Star                                  |06 26 31.7447322480 -48 28 10.452281304|256.7950360554510 -23.9135483579217|    3.161 8.498   |10.863   |~                   |    ~     ~          
4503|TYC 8107-1753-1                                                       |Star                                  |06 27 35.3568662952 -48 12 06.365022192|256.5609016828889 -23.6750799274257| -11.685 21.395   |10.98    |~                   |    ~     ~          
4504|TYC 8107-1764-1                                                       |Star                                  |06 27 08.8537759440 -48 32 59.607109716|256.9082889801783 -23.8346865082881|  -0.042 13.228   |10.765   |~                   |    ~     ~          
4505|TYC 8107-1766-1                                                       |Spectroscopic Binary                  |06 29 47.1302701104 -48 33 07.235434440|257.0327845640753 -23.4132982038559| -10.961 24.574   |10.72    |~                   |    ~     ~          
4506|TYC 8111-708-1                                                        |Star                                  |06 29 39.3614518488 -50 16 52.976143200|258.8528877343424 -23.8729257919055|  12.140 13.398   |10.77    |~                   |    ~     ~          
4507|TYC 8111-859-1                                                        |Star                                  |06 28 30.3030449952 -49 37 32.197530180|258.1079037001873 -23.8894465081723|   -8.748 2.506   |10.653   |~                   |    ~     ~          
4508|TYC 8111-972-1                                                        |Spectroscopic Binary                  |06 29 15.7083578568 -49 46 36.141716100|258.3012632092588 -23.8086582238072|    8.425 9.862   |10.34    |~                   |    ~     ~          
4509|TYC 8111-1012-1                                                       |High Proper Motion Star               |06 26 56.9784160992 -49 40 53.375039580|258.0992578567650 -24.1471993035764|   6.679 68.769   |10.79    |~                   |    ~     ~          
4510|TYC 8111-1471-1                                                       |Star                                  |06 28 09.0375635352 -48 47 21.070756032|257.2071207079964 -23.7351265475111|   6.610 -5.070   |10.983   |~                   |    ~     ~          
4511|TYC 8111-1778-1                                                       |Star                                  |06 29 15.6357115536 -48 59 34.591607628|257.4730198488389 -23.6106283493528|    1.554 4.789   |10.58    |~                   |    ~     ~          
4512|TYC 8111-1796-1                                                       |Star                                  |06 26 56.7018181320 -48 59 31.181982756|257.3672457714727 -23.9779359769584|    6.953 5.560   |10.922   |~                   |    ~     ~          
4513|TYC 8111-1881-1                                                       |Star                                  |06 29 55.0819347984 -49 19 30.598606524|257.8535045305275 -23.5915857366741|  -1.883 -1.023   |10.50    |~                   |    ~     ~          
4514|HD 43901                                                              |Star                                  |06 16 13.9171184064 -47 49 46.140594636|255.6587699781970 -25.4278652805184|   -8.159 0.774   |8.20     |ApSrCrEu            |    ~     ~          
4515|CD-47 2290                                                            |Star                                  |06 19 29.5562738976 -47 59 16.331517420|255.9686483487938 -24.9328789557153|  -8.379 26.338   |9.42     |~                   |    ~     ~          
4516|HD 44277                                                              |Star                                  |06 18 26.9297693280 -48 02 19.084482492|255.9781295899190 -25.1144680873070|   -4.144 0.567   |7.39     |K4/5III             |    ~     ~          
4517|CD-48 2223                                                            |Star                                  |06 15 11.1050732184 -48 37 01.842190896|256.4672680295194 -25.7731798948186|   4.694 23.111   |10.11    |G0                  |    ~     ~          
4518|CD-48 2225                                                            |Star                                  |06 16 00.4460283336 -48 34 54.474931596|256.4620437180454 -25.6327721809384|   5.186 15.689   |9.86     |G5                  |    ~     ~          
4519|CD-48 2228                                                            |Spectroscopic Binary                  |06 16 24.4088968896 -48 38 32.699095224|256.5437762186515 -25.5817831499933|  -0.377 41.455   |10.526   |~                   |    ~     ~          
4520|CD-48 2230                                                            |Spectroscopic Binary                  |06 16 37.8652838784 -49 02 05.570538216|256.9773250984173 -25.6321418184128|   7.807 -9.177   |10.41    |F2                  |    ~     ~          
4521|CD-48 2236                                                            |Star                                  |06 17 30.4215481176 -48 47 15.183489624|256.7452634006587 -25.4371050495186| -1.354 -13.467   |9.35     |K2                  |    ~     ~          
4522|HD 44245                                                              |Star                                  |06 18 16.0832251680 -48 41 56.252579028|256.6809360460587 -25.2949409135763|    2.676 8.325   |8.51     |K2III               |    ~     ~          
4523|CD-48 2247                                                            |Star                                  |06 18 32.8804111032 -48 23 13.207710300|256.3568033713085 -25.1787479616340|    1.731 5.231   |9.27     |K5                  |    ~     ~          
4524|HD 44444                                                              |Star                                  |06 19 18.5320099080 -48 24 32.179910328|256.4125256230627 -25.0609094852150|  -6.444 14.210   |7.94     |F3V                 |    ~     ~          
4525|CD-48 2255                                                            |Star                                  |06 19 55.9724539488 -48 06 26.072706708|256.1156657727873 -24.8894657942752|    5.377 6.191   |9.58     |~                   |    ~     ~          
4526|HD 44593                                                              |Star                                  |06 19 57.0518435904 -48 12 22.929789996|256.2226629703592 -24.9098662256759|  -3.480 -3.526   |8.02     |G8/K1II/III         |    ~     ~          
4527|CD-48 2265                                                            |Star                                  |06 21 07.0469539008 -48 22 36.123377556|256.4554919613960 -24.7614754981545| -24.649 34.568   |9.30     |~                   |    ~     ~          
4528|HD 45035                                                              |Star                                  |06 22 37.1185515720 -48 46 22.592939124|256.9440314415954 -24.6143980727165|  -6.631 11.963   |9.04     |G8III/IV            |    ~     ~          
4529|CD-48 2281                                                            |Star                                  |06 22 53.8574384760 -48 17 15.454760856|256.4384074717142 -24.4528791008918| -34.944 10.974   |10.11    |G0                  |    ~     ~          
4530|HD 45099                                                              |Spectroscopic Binary                  |06 22 59.0993351232 -48 47 43.372611636|256.9838326773747 -24.5611507210393|    2.160 0.006   |9.53     |A9V                 |    ~     ~          
4531|HD 45159                                                              |High Proper Motion Star               |06 23 13.7325876240 -48 34 10.878140568|256.7536788357861 -24.4678418302844|  11.722 57.529   |8.49     |F5V                 |    ~     ~          
4532|HD 45172                                                              |Star                                  |06 23 27.8529714480 -48 51 40.141192716|257.0747896763547 -24.5003303431499|    0.407 7.689   |9.05     |G6III               |    ~     ~          
4533|HD 43832                                                              |Star                                  |06 15 45.7352976744 -49 19 51.480269580|257.2641270226995 -25.8348130014487| 26.287 -20.667   |9.40     |F3/5V               |    ~     ~          
4534|CD-49 2159                                                            |Star                                  |06 16 51.7839 -49 40 14.141            |257.6750606 -25.7329590            |  -9.061 13.778   |10.32    |F5                  |    ~     ~          
4535|CD-49 2164                                                            |Star                                  |06 17 34.3603814064 -49 50 34.809527724|257.8892386542903 -25.6580521337535|  15.314 30.852   |9.66     |~                   |    ~     ~          
4536|HD 44147                                                              |Star                                  |06 17 38.3456647584 -49 49 00.765557508|257.8634979923888 -25.6419669011285|   -4.310 9.545   |10.01    |A0IV/V              |    ~     ~          
4537|HD 44205                                                              |High Proper Motion Star               |06 17 54.7114437144 -49 24 50.820000480|257.4383291366571 -25.5112265594268|  10.811 72.625   |8.31     |F3/5V               |    ~     ~          
4538|HD 44445                                                              |Star                                  |06 19 10.7130170472 -49 59 49.410293316|258.1180673779314 -25.4391319838308|  11.258 27.346   |9.60     |F3/5V               |    ~     ~          
4539|HD 44666                                                              |Star                                  |06 20 26.9582516424 -49 06 15.557395284|257.2072571489442 -25.0382439404080|   2.471 -2.309   |6.80     |K1III               |    ~     ~          
4540|CD-49 2199                                                            |Star                                  |06 21 16.5459066648 -49 13 46.637169960|257.3760838098298 -24.9356063674898|   -5.636 3.085   |10.40    |F8                  |    ~     ~          
4541|HD 44862                                                              |Star                                  |06 21 35.4218019432 -49 20 07.000287288|257.5025041367720 -24.9100825039873| -10.606 15.837   |8.58     |F3/5V               |    ~     ~          
4542|HD 44877                                                              |Star                                  |06 21 39.5044555800 -49 32 47.258653020|257.7319362897331 -24.9479403924931|  25.644 14.646   |9.31     |G6IV/V              |    ~     ~          
4543|HD 45116                                                              |Star                                  |06 22 58.7677352304 -49 35 25.626817500|257.8336962770829 -24.7497345954780|   3.087 12.707   |8.78     |K0/1(III)           |    ~     ~          
4544|CD-48 2299                                                            |Star                                  |06 25 04.3441453080 -48 10 17.083229988|256.4126551140637 -24.0732357619297|  -1.739 16.964   |10.27    |A2                  |    ~     ~          
4545|CD-48 2301                                                            |Spectroscopic Binary                  |06 25 05.7669823488 -48 41 24.505937232|256.9644118012216 -24.1979778641416|   -6.931 2.563   |9.70     |~                   |    ~     ~          
4546|CD-49 2238                                                            |Star                                  |06 24 54.8327669904 -49 47 19.364699940|258.1265961743683 -24.4922731427358|  23.183 20.430   |9.78     |G0                  |    ~     ~          
4547|CD-49 2241                                                            |High Proper Motion Star               |06 25 00.6895889376 -49 19 34.413107412|257.6375268257880 -24.3663097076181|-117.545 102.723  |9.27     |G5                  |    ~     ~          
4548|HD 45460                                                              |Star                                  |06 25 02.7956049240 -49 12 32.712085044|257.5142734451002 -24.3324662343313|   -1.282 0.591   |8.98     |A3/4V               |    ~     ~          
4549|HD 45526                                                              |Star                                  |06 25 18.8558577288 -49 36 01.132938000|257.9425977029340 -24.3844524458161|   6.417 20.115   |8.46     |A5V                 |    ~     ~          
4550|HD 45612                                                              |Star                                  |06 25 51.8020800072 -49 53 48.275340864|258.2818910981364 -24.3693403987893|  3.211 -14.298   |8.50     |F0IV                |    ~     ~          
4551|CD-49 2249                                                            |Star                                  |06 26 03.4461058584 -49 14 58.169227164|257.6012964894507 -24.1822261100811|   -4.491 9.102   |9.96     |~                   |    ~     ~          
4552|CD-50 2154                                                            |Star                                  |06 17 18.1800360240 -50 24 35.505224568|258.4939800943624 -25.8207152988534| -20.078 14.974   |10.264   |K0                  |    ~     ~          
4553|HD 44227                                                              |Star                                  |06 17 53.2480459128 -50 30 38.410442748|258.6251515383288 -25.7509678589263|   2.293 21.266   |8.77     |G8III/IV            |    ~     ~          
4554|HD 44362                                                              |Star                                  |06 18 46.7864729736 -50 21 32.764837176|258.4943640599479 -25.5798953806838|   -1.096 6.625   |7.031    |G1.5Ib              |    ~     ~          
4555|HD 44531                                                              |Star                                  |06 19 35.1001554648 -50 27 49.937532624|258.6383670870270 -25.4771880147508|   1.348 30.148   |9.99     |F2IV/V              |    ~     ~          
4556|HD 44897                                                              |Star                                  |06 21 40.8620482464 -50 20 14.901331416|258.5831973693314 -25.1235622346203|    0.765 2.107   |8.86     |M0(III)             |    ~     ~          
4557|HD 45077                                                              |Star                                  |06 22 43.2133407600 -50 06 05.270536368|258.3709372438759 -24.9083070785730|    0.013 8.190   |8.04     |G5III               |    ~     ~          
4558|CD-49 2237                                                            |Star                                  |06 24 33.6889498512 -50 03 44.859140280|258.4043796533199 -24.6119152347432| -13.771 14.389   |9.52     |~                   |    ~     ~          
4559|HD 45290                                                              |Double or Multiple Star               |06 23 49.9551968184 -50 13 26.228323236|258.5473696009112 -24.7630381437720|   3.264 28.110   |8.80     |F3V                 |    ~     ~          
4560|HD 45425                                                              |Star                                  |06 24 34.0621946352 -50 05 38.914820736|258.4385177102463 -24.6183598339315|   -3.674 6.785   |8.70     |F0/2IV              |    ~     ~          
4561|CD-50 2205                                                            |Star                                  |06 24 43.7135710920 -50 15 55.334984148|258.6282847242486 -24.6333048487357|  -4.742 16.927   |8.95     |K7                  |    ~     ~          
4562|IRAS 06234-4841                                                       |Long-Period Variable Candidate        |06 24 42.5369589624 -48 43 18.057751212|256.9807640452559 -24.2676384889132|  -1.697 -0.117   |10.951   |~                   |    ~     ~          
4563|IRAS 06237-5024                                                       |Long-Period Variable Candidate        |06 25 00.3273097032 -50 26 37.705952688|258.8305027195598 -24.6319004213276|    4.191 8.970   |10.76    |~                   |    ~     ~          
4564|CD-48 2248                                                            |Star                                  |06 18 37.7778594240 -48 44 28.813457040|256.7415220228537 -25.2464570100897|   1.217 21.937   |10.25    |~                   |    ~     ~          
4565|CD-49 2180                                                            |Star                                  |06 19 26.0220986112 -49 16 28.103779776|257.3486373964469 -25.2385091756352|  -0.734 12.206   |10.066   |~                   |    ~     ~          
4566|CD-48 2272                                                            |Star                                  |06 21 41.2804554312 -48 43 29.222373000|256.8525191830923 -24.7520155486179| -23.299 -2.530   |10.10    |~                   |    ~     ~          
4567|CD-50 2141                                                            |Star                                  |06 15 47.7862998264 -50 21 04.724428032|258.3748165730598 -26.0434911894002|  5.680 -44.745   |10.607   |~                   |    ~     ~          
4568|HD 44594                                                              |Double or Multiple Star               |06 20 06.13530 -48 44 27.9344          |256.80268536 -25.01007190          | 234.60 -267.31   |6.60     |G2Va                |    ~     ~          
4569|CD-49 2139                                                            |Star                                  |06 15 17.1541150728 -49 47 37.922353296|257.7490395769906 -26.0081235568592|  -9.912 14.155   |10.337   |~                   |    ~     ~          
4570|CD-49 2166                                                            |Star                                  |06 17 46.3160620368 -49 14 52.199295072|257.2530496762691 -25.4968828823532|  -2.959 -5.137   |10.58    |~                   |    ~     ~          
4571|CD-49 2173                                                            |Star                                  |06 18 18.3221028192 -49 20 20.810660748|257.3729327867052 -25.4322177889159|  -1.324 18.587   |10.33    |~                   |    ~     ~          
4572|CD-48 2256                                                            |Star                                  |06 19 54.5521622184 -48 25 10.384157532|256.4494509179555 -24.9664827024805|   2.032 -0.032   |10.38    |~                   |    ~     ~          
4573|CD-49 2212                                                            |Star                                  |06 22 11.9849041656 -49 41 39.724792008|257.9128801780781 -24.8965910300700|   -2.367 2.861   |9.58     |~                   |    ~     ~          
4574|CD-47 2335                                                            |Star                                  |06 23 43.0180491864 -47 48 58.331543508|255.9737831777742 -24.2043825576378|   1.043 12.833   |9.41     |~                   |    ~     ~          
4575|TYC 8107-1803-1                                                       |Star                                  |06 25 11.4194104224 -48 37 56.496456804|256.9072240100687 -24.1686696615414|  -5.117 11.266   |10.522   |~                   |    ~     ~          
4576|CD-48 2304                                                            |Star                                  |06 25 23.0952357480 -48 43 50.037809988|257.0202196603647 -24.1617549764847| -1.359 -24.195   |10.02    |~                   |    ~     ~          
4577|CD-50 2192                                                            |Star                                  |06 23 07.7693489040 -50 19 15.155878476|258.6229289516468 -24.8946168533306|   -2.063 5.902   |10.08    |~                   |    ~     ~          
4578|CD-50 2208                                                            |Star                                  |06 25 34.3517112240 -50 17 38.556172752|258.6936655863118 -24.5089409233803|      16.7 37.4   |10.436   |~                   |    ~     ~          
4579|HD 44025                                                              |Star                                  |06 16 55.4427487704 -47 44 48.661935468|255.5991402090975 -25.2958089158446|   5.205 14.145   |8.68     |K3III               |    ~     ~          
4580|HD 44789                                                              |Star                                  |06 21 17.6659022472 -47 43 39.975285108|255.7699856024963 -24.5772730362536|   0.627 11.574   |9.69     |A1IV/V              |    ~     ~          
4581|CD-48 2260                                                            |Star                                  |06 20 08.7152358528 -49 02 16.753743564|257.1233823835661 -25.0715111959189|   -0.131 8.261   |9.27     |~                   |    ~     ~          
4582|CD-48 2288                                                            |Star                                  |06 23 27.3344176272 -48 50 44.894495580|257.0580430227200 -24.4980268727325|   1.731 15.864   |9.90     |~                   |    ~     ~          
4583|TYC 8106-19-1                                                         |Star                                  |06 16 56.3526755952 -48 22 29.075513556|256.2764647188137 -25.4361078514195|    1.502 6.159   |10.49    |~                   |    ~     ~          
4584|TYC 8106-60-1                                                         |Star                                  |06 17 04.9695059928 -48 11 00.783998304|256.0762539328749 -25.3696437698593|  7.575 -25.416   |10.48    |~                   |    ~     ~          
4585|TYC 8106-107-1                                                        |Star                                  |06 15 15.8259770496 -48 24 17.792970804|256.2405271651074 -25.7140063110078|  -2.791 17.668   |9.982    |~                   |    ~     ~          
4586|TYC 8106-149-1                                                        |Star                                  |06 19 46.5224538120 -48 35 33.504401832|256.6295268512406 -25.0282434886056|  -7.967 -3.087   |10.98    |~                   |    ~     ~          
4587|TYC 8106-188-1                                                        |Star                                  |06 16 55.4674237512 -48 23 48.322310424|256.2996074472887 -25.4434437287426|   6.180 -3.214   |10.133   |~                   |    ~     ~          
4588|TYC 8106-234-1                                                        |Star                                  |06 17 03.9278550168 -48 13 25.318055532|256.1188073419631 -25.3815612767562|  -1.540 13.537   |10.58    |~                   |    ~     ~          
