C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
65  |HD 291562                                                             |Star                                  |06 20 24.8312121216 -01 29 56.427979128|210.7213675886387 -07.5849231663261|   -0.511 0.304   |9.96     |G5                  |    ~     ~          
66  |HD 291556                                                             |Star                                  |06 20 46.2033625577 -01 16 16.342832071|210.5580070235337 -07.4016581509103|   -7.196 6.202   |10.42    |F5                  |    ~     ~          
67  |HD 291503                                                             |Horizontal Branch Star                |06 16 00.6961602168 -01 32 49.053930792|210.2566677629015 -08.5854297318221|   -6.138 4.899   |10.46    |G5                  |    ~     ~          
68  |HD 291505                                                             |Double or Multiple Star               |06 15 50.959152 -01 45 18.78408        |210.425286480 -08.716682167        |      -9.6 -2.5   |10.522   |G0                  |    ~     ~          
69  |HD 291507                                                             |Star                                  |06 15 33.5619823608 -01 54 25.184282328|210.5284338716235 -08.8504520931694|   -5.133 4.559   |10.38    |K5                  |    ~     ~          
70  |HD 291508                                                             |Star                                  |06 15 53.5322217528 -01 53 19.233393972|210.5503614786755 -08.7680975723206|  -0.818 -2.898   |10.75    |F0                  |    ~     ~          
71  |HD 291566                                                             |Star                                  |06 19 32.4413692464 -01 44 17.694159972|210.8356504100177 -07.8882795588699|  -6.118 -4.046   |10.37    |G5                  |    ~     ~          
72  |HD 291570                                                             |Star                                  |06 19 13.1603683944 -01 50 37.603389300|210.8934740483322 -08.0078823137271|  -0.707 -3.787   |10.62    |F5                  |    ~     ~          
73  |HD 291572                                                             |Star                                  |06 19 29.7287075880 -01 58 17.797732860|211.0401338100166 -08.0047751148710|   1.392 -0.694   |10.34    |F2                  |    ~     ~          
74  |HD 291599                                                             |Star                                  |06 22 16.9056441672 -00 31 36.762510864|210.0653380588360 -06.7250745328084| -1.862 -11.986   |10.32    |F2                  |    ~     ~          
75  |HD 291600                                                             |Star                                  |06 21 55.3413133536 -00 36 10.898120988|210.0920617307454 -06.8398217646410|   3.458 -3.158   |9.98     |K7                  |    ~     ~          
76  |HD 291601                                                             |Star                                  |06 22 04.2613739760 -00 36 27.436471452|210.1133176157383 -06.8088880094997|  -1.509 -4.603   |10.8     |F5                  |    ~     ~          
77  |HD 291603                                                             |Star                                  |06 22 02.3348078064 -00 55 55.351511544|210.4001554171182 -06.9645169514949|  -5.624 16.496   |10.6     |K0                  |    ~     ~          
