C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:27:41

dec< 0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10487

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-------------------------|--------|-------------------
81   |BD-03 2189                                                                                               |Star                           |08 03 15.7963483872 -04 14 30.354702756|225.1841967417431 +13.8805140047549|  -22.276 6.610   |9.78     |A9                     |    ~     ~    |    1|  374.070   pc  |  -9.8929     +9.8929    |paral   |2020yCat.1350....0G
82   |HD 65839                                                                                                 |Star                           |08 00 38.6027725200 -04 35 26.407497408|225.1688595151486 +13.1402732966384|    0.717 9.426   |8.04     |K0III                  |    ~     ~    |    1|  265.654   pc  |  -1.4326     +1.4326    |paral   |2020yCat.1350....0G
83   |HD 65876                                                                                                 |Star                           |08 00 46.4985537240 -04 31 13.621535364|225.1223825448660 +13.2031874429785|  -5.136 11.200   |8.08     |K4/5III                |    ~     ~    |    1|  643.211   pc  |  -8.4813     +8.4813    |paral   |2020yCat.1350....0G
84   |HD 65877                                                                                                 |Star                           |08 00 47.0072739312 -04 45 31.378557996|225.3369060897860 +13.0885787928349|  -8.073 -1.589   |8.04     |B9IV/V                 |    ~     ~    |    1|  387.567   pc  |  -5.1371     +5.1371    |paral   |2020yCat.1350....0G
85   |HD 65954                                                                                                 |Star                           |08 01 14.8729821792 -04 38 07.100395332|225.2844828391550 +13.2498707354273| -39.494 12.077   |8.54     |F2V                    |    ~     ~    |    1|  133.982   pc  |  -0.4901     +0.4901    |paral   |2020yCat.1350....0G
86   |HD 66014                                                                                                 |Star                           |08 01 31.7637278712 -04 45 56.179467612|225.4364847159799 +13.2472709576171|-10.753 -19.448   |9.02     |F2V                    |    ~     ~    |    1|  150.795   pc  |  -0.7868     +0.7868    |paral   |2020yCat.1350....0G
87   |TYC 4850-1516-1                                                                                          |Star                           |08 00 42.7312411464 -02 41 36.261301200|223.4708396431262 +14.0763955149869| -2.557 -12.465   |9.17     |~                      |    ~     ~    |    1|  742.887   pc  | -11.3687    +11.3687    |paral   |2020yCat.1350....0G
88   |IRAS 07589-0315                                                                                          |Star                           |08 01 27.4490562528 -03 24 18.494222868|224.2055162548548 +13.8948556617914|  -2.113 -4.873   |9.52     |~                      |    ~     ~    |    1| 1556.663   pc  | -51.1295    +51.1295    |paral   |2020yCat.1350....0G
89   |BD-03 2179                                                                                               |Hot Subdwarf                   |08 02 14.8870205088 -03 58 16.343922324|224.8137090428668 +13.7918048104985|  3.139 -17.977   |10.29    |sdO                    |    ~     ~    |    1| 1011.941   pc  | -68.2000    +68.2000    |paral   |2020yCat.1350....0G
90   |BD-04 2165                                                                                               |Star                           |08 00 07.8008144304 -04 43 43.601843712|225.2284157009353 +12.9611895200818| -30.704 10.008   |9.78     |~                      |    ~     ~    |    1|  348.202   pc  |  -2.0248     +2.0248    |paral   |2020yCat.1350....0G
