C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:27:41

dec< 0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10487

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-------------------------|--------|-------------------
9871 |TYC 8136-3320-1                                                                                          |Star                           |08 07 02.3577737688 -46 43 10.001096184|262.0472364799219 -07.7191220304319|   -8.283 5.009   |10.93    |~                      |    ~     ~    |    1|  382.951   pc  |  -1.7891     +1.7891    |paral   |2020yCat.1350....0G
9872 |TYC 8136-3546-1                                                                                          |Star                           |08 06 43.4685487512 -46 45 50.596629840|262.0568265112576 -07.7884675398261| -8.140 -32.157   |10.98    |~                      |    ~     ~    |    1|  324.401   pc  |  -0.9682     +0.9682    |paral   |2020yCat.1350....0G
9873 |TYC 8136-3711-1                                                                                          |Star                           |08 07 28.5597432696 -45 47 12.607532520|261.2890791968520 -07.1620760231864|   8.365 36.638   |10.64    |~                      |    ~     ~    |    1|  198.954   pc  |  -0.4433     +0.4433    |paral   |2020yCat.1350....0G
9874 |TYC 8136-3799-1                                                                                          |Star                           |08 07 30.4999410984 -45 33 20.109687012|261.0944988408922 -07.0346991814379|   -2.409 0.695   |10.94    |~                      |    ~     ~    |    1| 2067.397   pc  |-121.3853   +121.3853    |paral   |2020yCat.1350....0G
9875 |TYC 8136-3874-1                                                                                          |Star                           |08 05 28.3130359968 -46 44 36.203946108|261.9253952407917 -07.9602471373474|   -3.436 3.532   |10.406   |~                      |    ~     ~    |    1| 1726.410   pc  |-143.4000   +143.4000    |ST-L    |2020AJ....160...83S
9876 |TYC 8136-3910-1                                                                                          |Star                           |08 10 13.7775188880 -46 36 51.507113112|262.2507235046305 -07.1995890960745|   -7.066 9.775   |10.709   |~                      |    ~     ~    |    1|  882.941   pc  | -30.5200    +30.5200    |ST-L    |2020AJ....160...83S
9877 |TYC 8136-3963-1                                                                                          |Star                           |08 09 05.7321201192 -45 58 36.944683248|261.6023434058451 -07.0244526008849|   -9.032 8.198   |10.32    |~                      |    ~     ~    |    0|                |                         |        |                   
9878 |TYC 8136-4025-1                                                                                          |Star                           |08 07 02.7255322320 -46 00 43.194302064|261.4417143057209 -07.3447885701971| -4.430 -15.614   |10.70    |~                      |    ~     ~    |    1|  182.465   pc  |  -0.3030     +0.3030    |paral   |2020yCat.1350....0G
9879 |TYC 8136-4495-1                                                                                          |Star                           |08 08 59.5180593648 -46 00 38.843267472|261.6215326583590 -07.0577305695986|   3.779 -2.468   |10.47    |~                      |    ~     ~    |    1|  802.890   pc  |  -7.9934     +7.9934    |paral   |2020yCat.1350....0G
9880 |TYC 8136-4592-1                                                                                          |Star                           |08 07 51.2182765632 -45 31 45.980145012|261.1045047049398 -06.9695792486064|  -9.617 12.436   |10.42    |~                      |    ~     ~    |    1|  641.601   pc  |  -4.8163     +4.8163    |paral   |2020yCat.1350....0G
9881 |TYC 8136-4602-1                                                                                          |Star                           |08 11 33.8993705976 -45 55 52.529373840|261.7955423801246 -06.6377866568299|   -2.034 4.383   |10.91    |~                      |    ~     ~    |    1|  595.026   pc  |  -4.6027     +4.6027    |paral   |2020yCat.1350....0G
9882 |TYC 8139-832-1                                                                                           |Star                           |08 01 51.0493826496 -47 06 30.912841296|261.9171360238054 -08.6782428185109|   -0.021 0.932   |10.37    |~                      |    ~     ~    |    1| 1455.392   pc  | -28.5952    +28.5952    |paral   |2020yCat.1350....0G
9883 |TYC 8139-1405-1                                                                                          |Star                           |08 03 29.6639649072 -48 08 35.905748748|262.9592152563051 -08.9731384760007| -15.402 18.434   |10.77    |~                      |    ~     ~    |    1|  196.329   pc  |  -0.9983     +0.9983    |paral   |2018yCat.1345....0G
9884 |TYC 8139-2102-1                                                                                          |Star                           |08 01 57.4458794088 -47 30 22.304527308|262.2718234778645 -08.8667698409929|   -3.096 1.735   |10.91    |~                      |    ~     ~    |    1| 1773.679   pc  | -37.1220    +37.1220    |paral   |2020yCat.1350....0G
9885 |TYC 8139-2510-1                                                                                          |Star                           |08 02 42.5222232288 -47 32 45.982190436|262.3724183824878 -08.7784743478501|   -4.975 9.164   |10.726   |~                      |    ~     ~    |    1| 2242.710   pc  |-230.1000   +230.1000    |ST-L    |2020AJ....160...83S
9886 |TYC 8140-146-1                                                                                           |Star                           |08 13 03.7322339928 -48 22 12.929466756|264.0034192366348 -07.7401748901981|   -3.169 5.814   |10.87    |~                      |    ~     ~    |    1| 2910.361   pc  |-137.2172   +137.2172    |paral   |2020yCat.1350....0G
9887 |TYC 8140-188-1                                                                                           |Star                           |08 08 30.0373913016 -48 20 03.975858672|263.5641514692138 -08.3618143024202|   -5.705 5.529   |10.85    |~                      |    ~     ~    |    1|  812.282   pc  |  -8.9733     +8.9733    |paral   |2020yCat.1350....0G
9888 |TYC 8140-214-1                                                                                           |Star                           |08 04 02.3069367744 -47 57 38.714100120|262.8485184329488 -08.8010035046206|   -2.694 5.614   |10.91    |~                      |    ~     ~    |    1| 1319.435   pc  | -20.5427    +20.5427    |paral   |2020yCat.1350....0G
9889 |TYC 8140-218-1                                                                                           |Spectroscopic Binary           |08 07 18.2879808144 -47 59 23.344277424|263.1619107281613 -08.3497224663648|  -8.712 10.661   |10.94    |~                      |    ~     ~    |    1|  830.796   pc  | -35.1000    +35.1000    |ST-L    |2020AJ....160...83S
9890 |TYC 8140-294-1                                                                                           |Star                           |08 05 39.4551955464 -48 02 14.799889968|263.0571272355705 -08.6093665215458|   -4.350 7.783   |10.52    |~                      |    ~     ~    |    1| 1210.800   pc  | -37.9704    +37.9704    |paral   |2020yCat.1350....0G
9891 |TYC 8140-380-1                                                                                           |Star                           |08 06 26.5396313544 -47 57 11.397830400|263.0538176404118 -08.4533922637745|-11.061 -31.315   |10.99    |~                      |    ~     ~    |    1|  283.407   pc  |  -0.9638     +0.9638    |paral   |2020yCat.1350....0G
9892 |TYC 8140-404-1                                                                                           |Star                           |08 05 35.6608050096 -48 11 59.499634308|263.1917813268746 -08.7030123669693|   -1.829 3.550   |10.95    |~                      |    ~     ~    |    1| 2084.202   pc  | -73.4119    +73.4119    |paral   |2020yCat.1350....0G
9893 |TYC 8140-419-1                                                                                           |Star                           |08 04 54.8426841216 -47 03 52.607202336|262.1518128428118 -08.2092692134970|   -5.205 9.680   |10.84    |~                      |    ~     ~    |    1| 1126.253   pc  | -13.1918    +13.1918    |paral   |2020yCat.1350....0G
9894 |TYC 8140-436-1                                                                                           |Star                           |08 10 01.1691519744 -48 00 13.799542968|263.4166922753005 -07.9717806938182|   -5.745 6.982   |10.872   |~                      |    ~     ~    |    1| 1724.730   pc  |-154.8000   +154.8000    |ST-L    |2020AJ....160...83S
9895 |TYC 8140-438-1                                                                                           |Star                           |08 04 21.4573901496 -48 04 06.996489132|262.9698605156765 -08.8111650044043|  -6.856 -0.671   |10.867   |~                      |    ~     ~    |    1|  572.532   pc  | -17.9100    +17.9100    |ST-L    |2020AJ....160...83S
9896 |TYC 8140-482-1                                                                                           |Star                           |08 12 50.6350344840 -48 01 27.039820728|263.6896517821866 -07.5839857274119| -13.448 12.514   |10.923   |~                      |    ~     ~    |    1|  716.786   pc  | -28.2600    +28.2600    |ST-L    |2020AJ....160...83S
9897 |TYC 8140-570-1                                                                                           |Spectroscopic Binary           |08 05 19.9592607768 -48 00 30.157858368|263.0034038588842 -08.6405997093011|   -6.856 8.038   |10.61    |~                      |    ~     ~    |    1|  679.394   pc  | -18.0938    +18.0938    |paral   |2020yCat.1350....0G
9898 |TYC 8140-843-1                                                                                           |Star                           |08 14 47.9426161992 -47 15 16.673652936|263.2184268395358 -06.8896294348826|   -1.285 0.965   |10.319   |~                      |    ~     ~    |    1| 1000.480   pc  | -54.3600    +54.3600    |ST-L    |2020AJ....160...83S
9899 |TYC 8140-983-1                                                                                           |Star                           |08 06 09.3659922384 -47 32 23.616813120|262.6724626551112 -08.2780178821511|   -2.673 4.229   |10.83    |~                      |    ~     ~    |    1|  921.221   pc  | -40.7700    +40.7700    |ST-L    |2020AJ....160...83S
9900 |TYC 8140-1084-1                                                                                          |Star                           |08 08 34.1937491208 -48 03 36.708014232|263.3350405046289 -08.2070906237700|   -1.802 1.650   |10.910   |~                      |    ~     ~    |    1| 1064.940   pc  | -59.5200    +59.5200    |ST-L    |2020AJ....160...83S
9901 |TYC 8140-1188-1                                                                                          |Star                           |08 04 27.1414754688 -48 00 15.048066276|262.9224015278898 -08.7642369489598|   -4.448 7.554   |10.73    |~                      |    ~     ~    |    1| 2088.991   pc  | -63.7127    +63.7127    |paral   |2020yCat.1350....0G
9902 |TYC 8140-1338-1                                                                                          |Star                           |08 14 27.5273773248 -48 03 05.934284316|263.8604569926287 -07.3719888644219|  -4.267 -9.136   |10.946   |~                      |    ~     ~    |    1|  551.018   pc  | -14.8700    +14.8700    |ST-L    |2020AJ....160...83S
9903 |TYC 8140-1728-1                                                                                          |Star                           |08 08 02.2879117920 -48 13 31.155902184|263.4294272197197 -08.3696068368284|   -2.177 2.681   |10.64    |~                      |    ~     ~    |    1|  939.938   pc  |  -9.5416     +9.5416    |paral   |2020yCat.1350....0G
9904 |TYC 8140-1779-1                                                                                          |Star                           |08 12 18.0742977288 -47 33 37.609718328|263.2462302094585 -07.4105547511326|  -9.720 15.402   |10.99    |~                      |    ~     ~    |    1|  458.631   pc  |  -4.4593     +4.4593    |paral   |2020yCat.1350....0G
9905 |TYC 8140-1852-1                                                                                          |Star                           |08 09 28.9762829352 -48 22 58.792491084|263.6930784151286 -08.2490759265470|   -3.159 5.854   |10.95    |~                      |    ~     ~    |    1| 1027.540   pc  | -48.9700    +48.9700    |ST-L    |2020AJ....160...83S
9906 |TYC 8140-1894-1                                                                                          |Star                           |08 04 30.6852093720 -48 02 35.608192260|262.9613656389954 -08.7760305888454|   3.897 -2.916   |10.90    |~                      |    ~     ~    |    1|  741.235   pc  |  -5.8239     +5.8239    |paral   |2020yCat.1350....0G
9907 |TYC 8140-1961-1                                                                                          |Star                           |08 13 15.4468171416 -47 02 27.462741000|262.8941517920292 -06.9932605525191|  -5.586 17.851   |10.57    |~                      |    ~     ~    |    1|  385.431   pc  |  -1.7530     +1.7530    |paral   |2020yCat.1350....0G
9908 |TYC 8140-2165-1                                                                                          |Star                           |08 11 23.7018108696 -47 05 37.737653568|262.7663862029941 -07.2887256518701|  -8.357 12.897   |10.97    |~                      |    ~     ~    |    1| 1042.644   pc  | -12.7191    +12.7191    |paral   |2020yCat.1350....0G
9909 |TYC 8140-2176-1                                                                                          |Star                           |08 10 52.0627867296 -48 19 55.038854316|263.7731457020167 -08.0271728367398|   -4.241 8.187   |10.886   |~                      |    ~     ~    |    1|  969.003   pc  | -32.4900    +32.4900    |ST-L    |2020AJ....160...83S
9910 |TYC 8140-2203-1                                                                                          |Star                           |08 05 53.3462021544 -47 19 46.291531728|262.4674628512314 -08.2063790331292|   -1.630 2.354   |10.956   |~                      |    ~     ~    |    1| 1826.760   pc  |-191.8000   +191.8000    |ST-L    |2020AJ....160...83S
9911 |TYC 8140-2439-1                                                                                          |Star                           |08 13 38.4293526264 -47 20 01.621709880|263.1775644059845 -07.0974990327308|   -6.971 8.399   |10.62    |~                      |    ~     ~    |    1|  960.892   pc  | -14.7730    +14.7730    |paral   |2020yCat.1350....0G
9912 |TYC 8140-2531-1                                                                                          |Star                           |08 10 15.5818917336 -47 43 37.273047744|263.2019553226622 -07.7901119940279|  -0.983 -0.667   |10.74    |~                      |    ~     ~    |    1|  975.469   pc  | -54.4100    +54.4100    |ST-L    |2020AJ....160...83S
9913 |TYC 8140-2548-1                                                                                          |Star                           |08 09 38.7219858000 -48 38 10.497415128|263.9244493634172 -08.3606300086809|  -9.111 -4.891   |10.555   |~                      |    ~     ~    |    1| 1011.240   pc  | -49.0300    +49.0300    |ST-L    |2020AJ....160...83S
9914 |TYC 8140-2574-1                                                                                          |Star                           |08 12 33.7818580200 -48 35 38.278356756|264.1486313350093 -07.9304198285373|   20.630 7.118   |10.97    |~                      |    ~     ~    |    1|  346.921   pc  |  -1.2758     +1.2758    |paral   |2020yCat.1350....0G
9915 |TYC 8140-2602-1                                                                                          |Star                           |08 09 07.8098712024 -48 16 43.903882020|263.5724499335980 -08.2435776074026|   -6.379 8.010   |10.49    |~                      |    ~     ~    |    1|  231.000   pc  |  -0.6350     +0.6350    |paral   |2020yCat.1350....0G
9916 |TYC 8140-2736-1                                                                                          |Star                           |08 09 44.0635937232 -48 32 32.710596072|263.8519721636660 -08.2983561711055|   -6.892 5.543   |10.81    |~                      |    ~     ~    |    1|  984.410   pc  | -45.5900    +45.5900    |ST-L    |2020AJ....160...83S
9917 |TYC 8140-2979-1                                                                                          |Star                           |08 04 21.0794869176 -47 43 22.825997832|262.6702847723427 -08.6329498174806|  -7.294 -1.577   |10.71    |~                      |    ~     ~    |    1|  376.025   pc  |  -3.9308     +3.9308    |paral   |2020yCat.1350....0G
9918 |TYC 8140-2985-1                                                                                          |Star                           |08 06 53.6883335664 -47 21 55.389073392|262.5885692214932 -08.0801498341195|  -11.079 4.102   |10.80    |~                      |    ~     ~    |    1|  341.577   pc  |  -1.3301     +1.3301    |paral   |2020yCat.1350....0G
9919 |TYC 8140-3256-1                                                                                          |Star                           |08 12 30.9842145480 -48 03 10.459323216|263.6842675364135 -07.6455808992940|   -1.803 8.941   |10.41    |~                      |    ~     ~    |    1|  736.824   pc  | -31.2600    +31.2600    |ST-L    |2020AJ....160...83S
9920 |TYC 8140-3426-1                                                                                          |Star                           |08 14 32.5995755760 -48 34 18.316577136|264.3084989631138 -07.6429014250626|   -1.903 5.157   |10.975   |~                      |    ~     ~    |    1| 1924.770   pc  |-182.2000   +182.2000    |ST-L    |2020AJ....160...83S
9921 |TYC 8140-3540-1                                                                                          |Star                           |08 11 24.7696789176 -48 33 36.933922368|264.0168079990494 -08.0728603767371|   -5.900 6.667   |10.85    |~                      |    ~     ~    |    1| 1062.135   pc  | -23.4651    +23.4651    |paral   |2020yCat.1350....0G
9922 |TYC 8140-3893-1                                                                                          |Star                           |08 11 41.5290127848 -47 48 33.891229620|263.4022366686775 -07.6309450896234|   4.311 -3.820   |10.630   |~                      |    ~     ~    |    1| 1310.080   pc  | -86.6000    +86.6000    |ST-L    |2020AJ....160...83S
9923 |TYC 8140-4218-1                                                                                          |Star                           |08 06 02.5380971088 -47 37 56.520184548|262.7419489449980 -08.3427636428505|  -3.884 13.333   |10.76    |~                      |    ~     ~    |    1| 1672.100   pc  |-130.5000   +130.5000    |ST-L    |2020AJ....160...83S
9924 |TYC 8140-4403-1                                                                                          |High Proper Motion Star        |08 09 17.3810657616 -47 47 53.874743964|263.1752519783593 -07.9660485196322|  -8.020 49.312   |10.63    |~                      |    ~     ~    |    1|  314.822   pc  |  -1.2389     +1.2389    |paral   |2020yCat.1350....0G
9925 |TYC 8140-4421-1                                                                                          |Star                           |08 06 32.9426936544 -47 46 50.264395716|262.9147296233670 -08.3477665067105|  1.428 -12.985   |10.89    |~                      |    ~     ~    |    1|  679.532   pc  |  -5.1256     +5.1256    |paral   |2020yCat.1350....0G
9926 |2MASS J08085628-4756264                                                                                  |Young Stellar Object           |08 08 56.2765565448 -47 56 26.428494156|263.2655292605027 -08.0915859149827|   -5.575 8.447   |10.91    |~                      |    ~     ~    |    1|  386.369   pc  |  -1.8511     +1.8511    |paral   |2020yCat.1350....0G
9927 |TYC 8140-4545-1                                                                                          |Star                           |08 09 04.5944 -47 56 46.061            |263.2826306 -08.0747917            |   -6.959 8.118   |10.651   |~                      |    ~     ~    |    1|  807.483   pc  | -34.3400    +34.3400    |ST-L    |2020AJ....160...83S
9928 |TYC 8140-4547-1                                                                                          |Star                           |08 06 31.7328276288 -47 41 04.311327912|262.8302247634085 -08.3002803766698|   -4.755 6.244   |10.70    |~                      |    ~     ~    |    1|  770.768   pc  | -37.7300    +37.7300    |ST-L    |2020AJ....160...83S
9929 |TYC 8140-5737-1                                                                                          |Star                           |08 11 26.2179975192 -47 09 49.313370996|262.8296582118003 -07.3202813211819|    3.450 2.799   |10.91    |~                      |    ~     ~    |    1| 1686.341   pc  | -34.4093    +34.4093    |paral   |2020yCat.1350....0G
9930 |TYC 8140-6506-1                                                                                          |Star                           |08 10 01.5104073912 -47 14 06.327252096|262.7608754696201 -07.5610178885249|  -7.366 13.130   |10.362   |~                      |    ~     ~    |    1| 1031.780   pc  | -54.9400    +54.9400    |ST-L    |2020AJ....160...83S
9931 |TYC 8143-890-1                                                                                           |Star                           |08 03 34.7916534624 -49 16 24.501755424|263.9484575257085 -09.5425324281806|   -2.730 1.282   |10.852   |~                      |    ~     ~    |    1| 2090.620   pc  |-198.8000   +198.8000    |ST-L    |2020AJ....160...83S
9932 |TYC 8143-991-1                                                                                           |Star                           |08 02 33.9672013992 -50 02 41.193811248|264.5360667573396 -10.0778487504698|  -8.843 13.665   |10.91    |~                      |    ~     ~    |    1|  855.359   pc  |  -6.4384     +6.4384    |paral   |2020yCat.1350....0G
9933 |TYC 8143-1074-1                                                                                          |Star                           |08 02 45.6793538496 -48 55 36.885432180|263.5771173196227 -09.4798715007988|   -4.067 7.038   |10.874   |~                      |    ~     ~    |    1| 1073.077   pc  | -11.1695    +11.1695    |paral   |2020yCat.1350....0G
9934 |TYC 8143-1096-1                                                                                          |Star                           |08 03 01.2453231288 -50 21 50.320283220|264.8527571226537 -10.1778004707458|  -8.616 10.476   |10.87    |~                      |    ~     ~    |    1|  849.329   pc  |  -8.0792     +8.0792    |paral   |2020yCat.1350....0G
9935 |TYC 8143-1368-1                                                                                          |Star                           |08 01 15.9887562336 -48 46 45.290046684|263.3211076001371 -09.6160086667693|   -7.041 8.143   |10.82    |~                      |    ~     ~    |    1|  453.721   pc  |  -5.8259     +5.8259    |paral   |2020yCat.1350....0G
9936 |TYC 8143-1622-1                                                                                          |Star                           |08 00 55.5517462104 -49 17 33.768385584|263.7413266083469 -09.9246600220786|   -6.712 0.326   |10.898   |~                      |    ~     ~    |    1|  863.895   pc  | -42.2100    +42.2100    |ST-L    |2020AJ....160...83S
9937 |TYC 8143-2389-1                                                                                          |Star                           |08 02 04.8121327344 -50 25 32.675181564|264.8294045557758 -10.3382890697356| -13.939 17.279   |10.91    |~                      |    ~     ~    |    1|  565.483   pc  |  -4.2849     +4.2849    |paral   |2020yCat.1350....0G
9938 |TYC 8143-2829-1                                                                                          |Star                           |08 01 57.6503113944 -49 24 42.111681948|263.9322330579534 -09.8398440941712|   -1.087 2.194   |10.945   |~                      |    ~     ~    |    1| 1290.140   pc  | -85.1000    +85.1000    |ST-L    |2020AJ....160...83S
9939 |TYC 8143-3058-1                                                                                          |Star                           |08 02 09.6854043144 -49 17 51.902429280|263.8495976715414 -09.7537049486618|    0.871 2.656   |10.725   |~                      |    ~     ~    |    1|  726.122   pc  | -21.2800    +21.2800    |ST-L    |2020AJ....160...83S
9940 |TYC 8143-3192-1                                                                                          |Star                           |08 01 42.5482913784 -49 49 58.306903644|264.2795220364841 -10.0889299112110|    1.356 1.401   |10.379   |~                      |    ~     ~    |    1| 1776.800   pc  |-146.8000   +146.8000    |ST-L    |2020AJ....160...83S
9941 |TYC 8144-198-1                                                                                           |Star                           |08 05 12.3788983440 -49 14 23.464169016|264.0579585294354 -09.2978075750499| -10.328 12.763   |10.84    |~                      |    ~     ~    |    1|  553.128   pc  | -41.0586    +41.0586    |paral   |2020yCat.1350....0G
9942 |TYC 8144-592-1                                                                                           |Star                           |08 04 36.8197628976 -48 52 47.630087796|263.6949774786216 -09.1946626140061|   -7.681 7.893   |10.94    |~                      |    ~     ~    |    1|  831.670   pc  |  -9.9601     +9.9601    |paral   |2020yCat.1350....0G
9943 |TYC 8144-1116-1                                                                                          |Star                           |08 03 49.0212054792 -48 57 29.729925180|263.6945925204991 -09.3472014990077|   -1.114 1.249   |10.144   |~                      |    ~     ~    |    1| 1746.540   pc  |-162.1000   +162.1000    |ST-L    |2020AJ....160...83S
9944 |TYC 8144-1221-1                                                                                          |High Proper Motion Star        |08 06 05.8384994496 -49 09 37.033188264|264.0655903665844 -09.1321032113105| -13.337 56.373   |10.99    |~                      |    ~     ~    |    1|  224.588   pc  |  -0.6204     +0.6204    |paral   |2020yCat.1350....0G
9945 |TYC 8144-1343-1                                                                                          |Star                           |08 05 19.9653910080 -49 16 18.748207308|264.0965445772146 -09.2967433694576| -28.109 -4.232   |10.85    |~                      |    ~     ~    |    1|  293.867   pc  |  -1.4508     +1.4508    |paral   |2020yCat.1350....0G
9946 |TYC 8144-1386-1                                                                                          |Star                           |08 14 28.4646494784 -48 50 26.952002844|264.5302909740033 -07.7985344078563|   -7.890 2.857   |10.953   |~                      |    ~     ~    |    1|  942.487   pc  | -35.7500    +35.7500    |ST-L    |2020AJ....160...83S
9947 |TYC 8144-1442-1                                                                                          |Star                           |08 12 28.2490030104 -48 51 37.428676128|264.3672117294813 -08.0865176895537| -15.630 -4.893   |10.65    |~                      |    ~     ~    |    1|  262.950   pc  |  -0.6914     +0.6914    |paral   |2020yCat.1350....0G
9948 |TYC 8144-1448-2                                                                                          |Star                           |08 06 43.9283683992 -49 03 11.526003036|264.0278819253076 -08.9876198354804|  -6.180 11.561   |9.483    |~                      |    ~     ~    |    1|  655.490   pc  | -16.7200    +16.7200    |ST-L    |2020AJ....160...83S
9949 |TYC 8144-1508-1                                                                                          |Star                           |08 05 46.9188923088 -49 03 52.440429528|263.9556031272335 -09.1264112113665|    0.252 0.968   |9.64     |~                      |    ~     ~    |    1| 1083.541   pc  | -11.8580    +11.8580    |paral   |2020yCat.1350....0G
9950 |TYC 8144-1755-1                                                                                          |Star                           |08 12 57.4619771328 -49 38 25.918839852|265.0751928877380 -08.4387124839277|   0.719 -0.720   |10.808   |~                      |    ~     ~    |    1|  779.518   pc  | -30.2600    +30.2600    |ST-L    |2020AJ....160...83S
9951 |TYC 8144-1823-1                                                                                          |Star                           |08 11 56.7283921632 -49 42 09.138436884|265.0393849057676 -08.6102097304979|  16.173 -9.618   |10.86    |~                      |    ~     ~    |    1|  474.181   pc  | -14.7275    +14.7275    |paral   |2020yCat.1350....0G
9952 |TYC 8144-1939-1                                                                                          |Star                           |08 07 35.5870182960 -49 39 12.226413780|264.6202845982284 -09.1817840334059|  -2.977 11.174   |10.536   |~                      |    ~     ~    |    1| 1466.730   pc  |-101.2000   +101.2000    |ST-L    |2020AJ....160...83S
9953 |TYC 8144-2192-1                                                                                          |Star                           |08 05 29.9770958952 -49 31 39.086546232|264.3324216020327 -09.4059436015061|   -5.138 9.195   |10.763   |~                      |    ~     ~    |    1|  809.633   pc  | -23.3500    +23.3500    |ST-L    |2020AJ....160...83S
9954 |TYC 8144-2763-1                                                                                          |Star                           |08 14 03.8053093560 -50 16 18.405299316|265.7099770899670 -08.6285079168542| -10.204 -2.172   |10.90    |~                      |    ~     ~    |    1|  786.225   pc  | -10.1377    +10.1377    |paral   |2020yCat.1350....0G
9955 |TYC 8144-2854-1                                                                                          |Star                           |08 04 14.8984004688 -49 50 00.559119444|264.4923044990392 -09.7371986974475|  -3.247 19.451   |10.973   |~                      |    ~     ~    |    1|  934.407   pc  | -34.6800    +34.6800    |ST-L    |2020AJ....160...83S
9956 |TYC 8144-2963-1                                                                                          |Star                           |08 09 24.0474577560 -50 23 36.749060916|265.4129978661950 -09.3230652827343| -15.267 11.843   |10.97    |~                      |    ~     ~    |    1|  532.680   pc  |  -3.0361     +3.0361    |paral   |2020yCat.1350....0G
9957 |TYC 8144-3050-1                                                                                          |Star                           |08 14 06.5612212248 -50 25 29.506106496|265.8444125171474 -08.7048345384603|  -11.560 3.563   |10.72    |~                      |    ~     ~    |    1| 1021.346   pc  | -11.8919    +11.8919    |paral   |2020yCat.1350....0G
9958 |TYC 8144-3318-1                                                                                          |Star                           |08 12 08.6836652856 -50 28 36.916143132|265.7191778335821 -08.9967296274368|  -2.647 24.303   |10.991   |~                      |    ~     ~    |    1|  777.803   pc  | -31.1500    +31.1500    |ST-L    |2020AJ....160...83S
9959 |TYC 8147-146-1                                                                                           |Star                           |08 01 40.8523254720 -50 44 22.063634412|265.0719581115278 -10.5516885553968|  -7.208 15.254   |10.89    |~                      |    ~     ~    |    1|  845.309   pc  |  -6.7882     +6.7882    |paral   |2020yCat.1350....0G
9960 |TYC 8147-424-1                                                                                           |High Proper Motion Star        |08 01 18.9712789128 -50 43 49.423252404|265.0343783101172 -10.5969340574281| -43.818 27.357   |10.99    |~                      |    ~     ~    |    1|  264.131   pc  |  -3.4673     +3.4673    |paral   |2020yCat.1350....0G
9961 |TYC 8147-574-1                                                                                           |Star                           |08 00 21.6127687512 -50 56 33.033309936|265.1438286927111 -10.8340157934165|   0.810 -4.594   |10.89    |~                      |    ~     ~    |    1|  851.136   pc  | -17.6037    +17.6037    |paral   |2020yCat.1350....0G
9962 |TYC 8147-1043-1                                                                                          |Star                           |08 03 09.1344668040 -52 21 49.235647428|266.6170380087231 -11.1745199388206| -11.070 -3.865   |10.85    |~                      |    ~     ~    |    1|  628.299   pc  |  -5.6056     +5.6056    |paral   |2020yCat.1350....0G
9963 |TYC 8148-97-1                                                                                            |Star                           |08 04 54.2937620256 -51 07 00.840864972|265.6651960781065 -10.3064576273084|   -2.926 5.205   |10.777   |~                      |    ~     ~    |    1| 2034.080   pc  |-207.3000   +207.3000    |ST-L    |2020AJ....160...83S
9964 |TYC 8148-117-1                                                                                           |Star                           |08 05 32.6592867144 -51 00 23.628779388|265.6214607672342 -10.1635752027972|  -9.289 -2.446   |10.745   |~                      |    ~     ~    |    1| 1240.790   pc  | -78.2200    +78.2200    |ST-L    |2020AJ....160...83S
9965 |TYC 8148-241-1                                                                                           |Star                           |08 10 14.2093505232 -51 29 55.688996436|266.4362679863511 -09.7928892507291|   -5.683 2.744   |10.880   |~                      |    ~     ~    |    1|  447.380   pc  |  -9.7890     +9.7890    |ST-L    |2020AJ....160...83S
9966 |TYC 8148-249-1                                                                                           |Star                           |08 04 14.3763104256 -50 38 15.650096496|265.1923915529187 -10.1509897278778|   6.161 18.669   |10.87    |~                      |    ~     ~    |    1|  339.259   pc  |  -1.5998     +1.5998    |paral   |2020yCat.1350....0G
9967 |TYC 8148-341-1                                                                                           |Star                           |08 11 08.4187104672 -51 22 15.939763500|266.4015918123967 -09.6058911350201|   -0.433 0.880   |10.566   |~                      |    ~     ~    |    1|  898.277   pc  | -41.9000    +41.9000    |ST-L    |2020AJ....160...83S
9968 |TYC 8148-528-1                                                                                           |Star                           |08 05 38.2953168000 -51 22 52.234412772|265.9556002050180 -10.3436860201543|  -4.578 26.670   |10.92    |~                      |    ~     ~    |    1|  367.552   pc  |  -1.4320     +1.4320    |paral   |2020yCat.1350....0G
9969 |TYC 8148-601-1                                                                                           |Star                           |08 13 12.3765912936 -51 49 05.253690468|266.9585597606721 -09.5715925932475|  -3.544 19.429   |10.795   |~                      |    ~     ~    |    1|  746.942   pc  | -26.7800    +26.7800    |ST-L    |2020AJ....160...83S
9970 |TYC 8148-606-1                                                                                           |Star                           |08 04 34.1184762936 -51 37 43.159328760|266.0849847683955 -10.6134318912610|   -5.282 0.712   |10.865   |~                      |    ~     ~    |    1|  740.909   pc  | -27.0700    +27.0700    |ST-L    |2020AJ....160...83S
