C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:55:10

dec< 0&rah >=23.25&rah< 23.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2617

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
63  |HD 219436                                                                                                |Star                              |23 16 03.8631371664 -39 16 05.746112148|355.3985853813734 -66.7558288093264|    3.260 3.387   |8.38     |A1/2V          |    ~     ~    |    1|  311.187   pc  |  -2.3047     +2.3047  |paral   |2020yCat.1350....0G
64  |CD-39 14978                                                                                              |Star                              |23 16 07.2307673904 -38 54 35.878487544|356.2200490776412 -66.9109399502033| -1.453 -11.657   |9.44     |K0             |    ~     ~    |    1|  459.559   pc  | -23.5904    +23.5904  |paral   |2020yCat.1350....0G
65  |HD 219354                                                                                                |Star                              |23 15 26.8672211160 -39 36 09.057117204|354.7563941288360 -66.5088000655828|  -24.814 2.238   |9.76     |F0V            |    ~     ~    |    1|  167.532   pc  |  -4.4262     +4.4262  |paral   |2020yCat.1350....0G
66  |CD-40 15080                                                                                              |High Proper Motion Star           |23 15 09.5994842160 -39 56 03.594498072|354.0637095830593 -66.3181668358907| 83.330 -32.776   |10.78    |K0             |    ~     ~    |    1|  240.993   pc  |  -0.9118     +0.9118  |paral   |2020yCat.1350....0G
67  |HD 219317                                                                                                |Star                              |23 15 12.5787812304 -40 03 12.713895288|353.7858600012528 -66.2754670879788|   8.818 -5.800   |9.94     |A2/3V          |    ~     ~    |    1|  570.613   pc  | -14.0333    +14.0333  |paral   |2020yCat.1350....0G
68  |HD 219619                                                                                                |Star                              |23 17 27.3069082464 -39 52 08.639591232|353.7323030039887 -66.7431292352241|-35.965 -29.612   |8.61     |F0V            |    ~     ~    |    1|  188.452   pc  |  -0.8417     +0.8417  |paral   |2020yCat.1350....0G
69  |HD 219426                                                                                                |Star                              |23 16 01.6409592408 -40 22 28.228887408|352.8987500277912 -66.2745322151691|   15.672 4.482   |9.54     |A9V            |    ~     ~    |    1|  308.328   pc  |  -1.6827     +1.6827  |paral   |2020yCat.1350....0G
70  |HD 219469                                                                                                |Star                              |23 16 20.0356134096 -40 57 01.721238480|351.5650145337546 -66.0630183005349| 24.883 -18.641   |8.81     |K2/3III        |    ~     ~    |    1|  568.828   pc  |  -7.1832     +7.1832  |paral   |2020yCat.1350....0G
71  |HD 219584                                                                                                |Star                              |23 17 15.7351900776 -40 55 14.630164428|351.4266588467284 -66.2318187005658|    8.572 2.631   |10.16    |G8(III)        |    ~     ~    |    1|  756.659   pc  |  -8.2445     +8.2445  |paral   |2020yCat.1350....0G
72  |HD 219596                                                                                                |High Proper Motion Star           |23 17 16.4080078416 -40 35 34.234569024|352.1462011736657 -66.3865127408939| 95.468 -64.057   |9.86     |G2/3V          |    ~     ~    |    1|  190.168   pc  |  -1.0017     +1.0017  |paral   |2020yCat.1350....0G
