C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:55:10

dec< 0&rah >=23.25&rah< 23.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2617

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
2224|HD 219299                                                                                                |Star                              |23 15 13.0030701888 -44 55 36.583506840|343.7857040673688 -63.8200280074700|  3.224 -11.799   |9.87     |G8/K0(III)     |    ~     ~    |    1|  536.078   pc  |  -4.8855     +4.8855  |paral   |2020yCat.1350....0G
2225|HD 219507                                                                                                |Star                              |23 16 39.7909488720 -44 29 20.988938904|344.2755711392695 -64.2800854549772|   3.732 -9.216   |5.918    |K1III          |    ~     ~    |    1|   98.112   pc  |  -0.3870     +0.3870  |paral   |2020yCat.1350....0G
2226|HD 219610                                                                                                |Double or Multiple Star           |23 17 29.4935831736 -45 13 56.071915896|342.6913446649843 -63.9706155427350|  28.510 46.479   |7.75     |G2/3V          |0.0050  0.0    |    1|  104.176   pc  |  -3.1061     +3.1061  |paral   |2020yCat.1350....0G
2227|CD-46 14596                                                                                              |Star                              |23 16 23.6898245904 -45 38 19.804918812|342.2059367818097 -63.5752438152507|   9.937 -8.614   |10.21    |K0             |    ~     ~    |    1|  576.801   pc  |  -5.2567     +5.2567  |paral   |2020yCat.1350....0G
2228|HD 219481                                                                                                |Star                              |23 16 26.7853304304 -45 22 40.193472504|342.6690949921044 -63.7363692438899| 12.462 -30.769   |9.55     |F5V            |    ~     ~    |    1|  218.136   pc  |  -0.7566     +0.7566  |paral   |2020yCat.1350....0G
2229|HD 219556                                                                                                |High Proper Motion Star           |23 17 08.1418306752 -45 40 39.230073120|341.9626367604256 -63.6562910402962|116.888 -217.781  |9.04     |K0V            |    ~     ~    |    1|   60.325   pc  |  -0.0502     +0.0502  |paral   |2020yCat.1350....0G
2230|CD-45 14987                                                                                              |Star                              |23 18 05.5487267496 -44 59 02.262760656|343.0085084168757 -64.2022919673662| -49.518 -2.524   |10.15    |K0             |    ~     ~    |    1|   75.373   pc  |  -0.0903     +0.0903  |paral   |2020yCat.1350....0G
2231|HD 219707                                                                                                |Star                              |23 18 22.1527032720 -44 38 39.308133300|343.5794247930540 -64.4402205790710|-11.306 -22.369   |10.52    |A9V            |    ~     ~    |    1|  458.043   pc  | -10.1125    +10.1125  |paral   |2020yCat.1350....0G
2232|CD-45 15003                                                                                              |Star                              |23 21 11.4395148936 -45 00 35.173645920|342.2055347708487 -64.6270481470344|-10.285 -23.543   |10.00    |F5             |    ~     ~    |    1|  277.454   pc  |  -1.2702     +1.2702  |paral   |2020yCat.1350....0G
2233|HD 220112                                                                                                |High Proper Motion Star           |23 21 28.5369975456 -44 54 37.761980256|342.3194115766000 -64.7271750382811| 57.915 -48.673   |7.62     |K4III          |    ~     ~    |    1|  261.110   pc  |  -1.1863     +1.1863  |paral   |2020yCat.1350....0G
2234|HD 220492                                                                                                |High Proper Motion Star           |23 24 25.6486330512 -45 09 14.642006688|341.1127396470395 -64.9889010985546|-47.986 -66.434   |9.075    |G5V            |    ~     ~    |    1|   90.940   pc  |  -0.1365     +0.1365  |paral   |2020yCat.1350....0G
2235|HD 220570                                                                                                |Star                              |23 25 06.1757047032 -45 05 44.146697964|341.0436692571040 -65.1183822925170|   29.979 9.890   |9.36     |G0V            |    ~     ~    |    1|  101.382   pc  |  -0.1439     +0.1439  |paral   |2020yCat.1350....0G
2236|HD 219694                                                                                                |Star                              |23 18 19.2310850832 -45 35 08.169329364|341.8483451247021 -63.8772124618265|  -9.721 -9.489   |9.62     |K0/1(III)      |    ~     ~    |    1|  772.260   pc  |  -8.3494     +8.3494  |paral   |2020yCat.1350....0G
2237|HD 219785                                                                                                |High Proper Motion Star           |23 18 56.6746182048 -45 35 47.723730180|341.6785954512429 -63.9576477066697|  51.359 14.688   |10.36    |G3V            |    ~     ~    |    1|  343.974   pc  |  -4.7209     +4.7209  |paral   |2020yCat.1350....0G
2238|HD 220328                                                                                                |Star                              |23 23 13.9840171800 -45 37 13.955171844|340.5695964780800 -64.5328899383276|   -6.650 9.196   |10.110   |K1(III)        |    ~     ~    |    1|  414.230   pc  | -12.0100    +12.0100  |ST-L    |2020AJ....160...83S
2239|CD-46 14641                                                                                              |High Proper Motion Star           |23 24 10.4894906376 -45 28 19.928004096|340.5957707077259 -64.7543997619501| 151.066 11.608   |10.69    |K0             |    ~     ~    |    1|  242.348   pc  |  -1.4331     +1.4331  |paral   |2020yCat.1350....0G
2240|HD 219438                                                                                                |High Proper Motion Star           |23 16 12.5221328568 -46 02 37.202426448|341.5222866261635 -63.3078286911024| 32.066 -47.761   |8.98     |K1III          |    ~     ~    |    1|  202.155   pc  |  -1.1647     +1.1647  |paral   |2020yCat.1350....0G
2241|HD 219266                                                                                                |Star                              |23 15 02.5625671560 -46 54 55.496214324|340.2655348415057 -62.6193881041658|   -9.140 1.588   |8.61     |K4III          |    ~     ~    |    1|  675.950   pc  |  -8.4985     +8.4985  |paral   |2020yCat.1350....0G
2242|CD-47 14510                                                                                              |Star                              |23 15 36.1521897336 -46 35 27.433398372|340.6986784578712 -62.8935336636534| -8.388 -16.567   |10.03    |G0             |    ~     ~    |    1|  406.620   pc  |  -2.0171     +2.0171  |paral   |2020yCat.1350....0G
2243|HD 219440                                                                                                |Star                              |23 16 11.9490849600 -46 36 41.029363872|340.5255739722441 -62.9621877475537|  -1.802 -9.912   |8.65     |K2III          |    ~     ~    |    1|  459.453   pc  |  -4.3486     +4.3486  |paral   |2020yCat.1350....0G
2244|CD-47 14520                                                                                              |Star                              |23 17 27.9293446728 -46 54 42.695196264|339.7113637004409 -62.9464398769898| -11.099 -4.861   |10.51    |G0             |    ~     ~    |    1|  254.084   pc  |  -1.0007     +1.0007  |paral   |2020yCat.1350....0G
2245|HD 219851                                                                                                |Star                              |23 19 27.4004000304 -45 59 37.102755984|340.8410269335913 -63.7856935168290|  12.518 -0.884   |10.18    |K(2)(III)      |    ~     ~    |    1|  789.391   pc  | -10.0325    +10.0325  |paral   |2020yCat.1350....0G
2246|HD 220279                                                                                                |High Proper Motion Star           |23 22 53.383632 -45 58 29.74512        |340.021844230 -64.262432045        |     45.6 -54.2   |10.436   |G3V            |    ~     ~    |    0|                |                       |        |                   
2247|CD-46 14634                                                                                              |Star                              |23 23 23.3920485120 -46 02 34.814464116|339.7734787461706 -64.2859593825396|  10.512 -4.127   |10.36    |~              |    ~     ~    |    1|  463.152   pc  | -15.5200    +15.5200  |ST-L    |2020AJ....160...83S
2248|HD 219838                                                                                                |Star                              |23 19 23.9800028976 -46 46 03.264522780|339.4988893635667 -63.2942836363298|   -0.961 3.157   |9.40     |G8III          |    ~     ~    |    1|  568.731   pc  |  -5.2076     +5.2076  |paral   |2020yCat.1350....0G
2249|HD 219872                                                                                                |Double or Multiple Star           |23 19 42.49906 -46 19 19.9835          |340.19871404 -63.61576300          |    10.11 -8.72   |8.08     |G5III          |    ~     ~    |    0|                |                       |        |                   
2250|HD 220001                                                                                                |Star                              |23 20 47.9499768336 -46 29 57.355848636|339.6223765163419 -63.6501841370966|   8.455 -6.408   |9.03     |K1/2(III)      |    ~     ~    |    1|  250.151   pc  |  -4.2300     +4.2300  |ST-L    |2020AJ....160...83S
2251|CD-47 14539                                                                                              |High Proper Motion Star           |23 21 14.3514178680 -46 51 14.204534688|338.9016259029082 -63.4812247523304|-43.973 -27.683   |10.042   |K0             |    ~     ~    |    1|  252.905   pc  |  -3.9730     +3.9730  |ST-L    |2020AJ....160...83S
2252|CD-47 14542                                                                                              |Star                              |23 21 51.2949544176 -46 54 44.409535164|338.6492653752528 -63.5236683654871|  6.284 -13.806   |10.48    |G5             |    ~     ~    |    1|  390.793   pc  |  -5.1161     +5.1161  |paral   |2020yCat.1350....0G
2253|HD 220164                                                                                                |Star                              |23 22 02.3662565256 -46 53 01.318509492|338.6521921243138 -63.5662348851226|  47.229 14.076   |8.14     |F5V            |    ~     ~    |    1|   75.767   pc  |  -0.1223     +0.1223  |paral   |2020yCat.1350....0G
2254|CD-47 14544                                                                                              |Double or Multiple Star           |23 22 06.663408 -46 56 28.33620        |338.536260149 -63.538121974        |    -18.6 -21.7   |10.290   |G0             |    ~     ~    |    0|                |                       |        |                   
2255|HD 220216                                                                                                |High Proper Motion Star           |23 22 25.7251894898 -46 35 33.880987944|339.0547790099313 -63.8055158802499|118.682 -100.610  |9.30     |G5V            |    ~     ~    |    1|   70.503   pc  |  -0.3744     +0.3744  |ST-L    |2020AJ....160...83S
2256|HD 220247                                                                                                |Star                              |23 22 38.2493865264 -46 37 21.642780720|338.9505191298930 -63.8135033559178|  20.789 -9.744   |9.60     |K2/3(III)      |    ~     ~    |    1|  759.150   pc  | -33.5700    +33.5700  |ST-L    |2020AJ....160...83S
2257|HD 220329                                                                                                |Double or Multiple Star           |23 23 12.104 -46 31 57.84              |338.963347 -63.945638              |    -17.5 -28.0   |9.6      |G2V            |    ~     ~    |    0|                |                       |        |                   
2258|CD-45 15022                                                                                              |Star                              |23 25 05.0 -45 05 36                   |341.0530 -65.1171                  |            ~ ~   |8.8      |~              |    ~     ~    |    0|                |                       |        |                   
2259|CD-45 15024                                                                                              |Star                              |23 25 11.0 -44 43 30                   |341.7139 -65.3608                  |            ~ ~   |10       |~              |    ~     ~    |    0|                |                       |        |                   
2260|CD-46 14594                                                                                              |Spectroscopic Binary              |23 16 08.5812016416 -45 54 10.614665592|341.7887927330185 -63.3829155264882| 17.375 -20.650   |10.71    |~              |    ~     ~    |    1|  155.243   pc  |  -1.6919     +1.6919  |paral   |2020yCat.1350....0G
2261|CD-46 14604                                                                                              |Star                              |23 17 48.3368148720 -46 03 35.040255948|341.1192717060903 -63.5187593176241|      18.0 -2.3   |10.971   |~              |    ~     ~    |    0|                |                       |        |                   
2262|CD-45 14998                                                                                              |High Proper Motion Star           |23 20 02.8928616288 -44 47 14.933086692|342.9033060106879 -64.5979465751481|  73.420 15.895   |10.75    |~              |    ~     ~    |    1|  202.967   pc  |  -1.0464     +1.0464  |paral   |2020yCat.1350....0G
2263|CD-47 14534                                                                                              |Star                              |23 20 38.5548528696 -47 03 07.843555548|338.7102051115297 -63.2755440816329| 19.814 -12.257   |10.479   |~              |    ~     ~    |    1|  429.985   pc  | -11.5100    +11.5100  |ST-L    |2020AJ....160...83S
2264|CD-46 14620                                                                                              |Star                              |23 20 38.8296630072 -45 43 41.217527928|341.0254715415145 -64.1126492195156|-28.546 -30.008   |10.76    |~              |    ~     ~    |    1|  250.811   pc  | -29.4700    +29.4700  |ST-L    |2020AJ....160...83S
2265|CD-45 15006                                                                                              |High Proper Motion Star           |23 21 44.6082086880 -44 56 20.990543676|342.1987302542852 -64.7476106866912|  61.433 12.460   |10.58    |~              |    ~     ~    |    1|  151.941   pc  |  -3.5252     +3.5252  |paral   |2020yCat.1350....0G
2266|CD-47 14551                                                                                              |Spectroscopic Binary              |23 22 45.8727662304 -46 19 43.283673804|339.4294944318923 -64.0198003048588| 52.933 -14.992   |10.793   |~              |    ~     ~    |    1|  234.681   pc  |  -3.7530     +3.7530  |ST-L    |2020AJ....160...83S
2267|TYC 8012-935-1                                                                                           |Star                              |23 15 35.5616483112 -44 46 14.132595468|343.9917885612991 -63.9636447463515|   8.574 -4.557   |10.66    |~              |    ~     ~    |    1| 1592.864   pc  | -37.8045    +37.8045  |paral   |2020yCat.1350....0G
2268|TYC 8019-845-1                                                                                           |Star                              |23 21 44.5561310544 -44 42 20.436600888|342.6367764710892 -64.8882399134282| -1.147 -25.728   |10.86    |~              |    ~     ~    |    1|  124.651   pc  |  -0.2704     +0.2704  |paral   |2020yCat.1350....0G
2269|TYC 8455-166-1                                                                                           |Star                              |23 16 01.7106708480 -46 52 39.016672176|340.1048591348074 -62.7754826929826|   8.586 -6.018   |10.79    |~              |    ~     ~    |    1|  624.844   pc  |  -5.2318     +5.2318  |paral   |2020yCat.1350....0G
2270|TYC 8455-371-1                                                                                           |Star                              |23 23 13.1927896344 -46 25 21.951567120|339.1497487320399 -64.0192425007221|  -12.816 2.540   |10.993   |~              |    ~     ~    |    1|  206.050   pc  |  -2.6320     +2.6320  |ST-L    |2020AJ....160...83S
2271|TYC 8455-644-1                                                                                           |Star                              |23 15 50.3858871096 -46 46 16.614507540|340.3314261487433 -62.8154461387140|    9.536 2.605   |10.65    |~              |    ~     ~    |    1| 1116.196   pc  | -17.8163    +17.8163  |paral   |2020yCat.1350....0G
2272|TYC 8455-808-1                                                                                           |Spectroscopic Binary              |23 20 27.6083461896 -45 54 15.718260600|340.7552513059359 -63.9779658566646|    0.737 2.868   |10.997   |~              |    ~     ~    |    1|  706.885   pc  | -31.3200    +31.3200  |ST-L    |2020AJ....160...83S
2273|SCR J2318-0412                                                                                           |High Proper Motion Star           |23 18 49.3582244208 -04 12 18.843085872|074.9140056317151 -58.1612099346729|  201.217 5.426   |10.89    |~              |    ~     ~    |    1|   48.988   pc  |  -0.1960     +0.1960  |ST-L    |2020AJ....160...83S
2274|TYC 6399-160-1                                                                                           |Spectroscopic Binary              |23 18 57.8187715608 -18 43 39.579860856|049.6113350715669 -67.1587222499392|  3.103 -19.980   |10.94    |~              |    ~     ~    |    1|  267.721   pc  | -12.2300    +12.2300  |ST-L    |2020AJ....160...83S
2275|TYC 8455-789-1                                                                                           |Spectroscopic Binary              |23 29 52.4682777168 -45 40 42.737332980|338.6863437201408 -65.3785325248187|  8.109 -10.250   |10.88    |~              |    ~     ~    |    1|  465.555   pc  | -13.5400    +13.5400  |ST-L    |2020AJ....160...83S
2276|BD-14 6449                                                                                               |Star                              |23 19 04.5737337024 -13 23 37.562015976|060.8182854782877 -64.4283381363465|   -1.153 2.875   |10.942   |~              |    ~     ~    |    1| 1611.620   pc  |-174.2000   +174.2000  |ST-L    |2020AJ....160...83S
2277|TYC 5827-890-1                                                                                           |Star                              |23 18 05.0857914216 -13 11 13.688534040|060.8755759704398 -64.1116856139001|  1.073 -18.787   |10.760   |~              |    ~     ~    |    1|  429.227   pc  | -14.0000    +14.0000  |ST-L    |2020AJ....160...83S
2278|TYC 6401-280-1                                                                                           |Star                              |23 17 01.0570510680 -21 14 21.865124364|043.1144092362605 -67.7156476122247|  11.762 -4.077   |10.796   |~              |    ~     ~    |    1|  911.179   pc  | -44.7000    +44.7000  |ST-L    |2020AJ....160...83S
2279|TYC 6973-998-1                                                                                           |Star                              |23 22 51.1114284456 -24 23 21.292328508|035.7911023469118 -69.8936776619963|  6.697 -10.396   |10.984   |~              |    ~     ~    |    1|  677.524   pc  | -27.3000    +27.3000  |ST-L    |2020AJ....160...83S
2280|TYC 7507-1116-1                                                                                          |Spectroscopic Binary              |23 20 46.6460072376 -30 17 55.305009708|018.4857958300354 -69.9053587145201| 75.401 -60.627   |10.934   |~              |    ~     ~    |    1|  181.785   pc  |  -2.5670     +2.5670  |ST-L    |2020AJ....160...83S
2281|TYC 8838-568-1                                                                                           |Star                              |23 24 44.1273060144 -57 49 14.753753796|323.3788310582589 -55.7310690747177|   9.451 -0.458   |10.781   |~              |    ~     ~    |    1|  167.632   pc  |  -1.4820     +1.4820  |ST-L    |2020AJ....160...83S
2282|TYC 9477-1203-1                                                                                          |Star                              |23 25 46.1276670600 -75 22 49.560998952|309.9006651295065 -40.5673476018404|   9.303 -1.164   |10.902   |~              |    ~     ~    |    1|  972.123   pc  | -37.8100    +37.8100  |ST-L    |2020AJ....160...83S
2283|NGC 7585                           NGC 7585                                                              |Interacting Galaxies              |23 18 01.348 -04 39 01.07              |074.066744 -58.359211              |            ~ ~   |18.7     |~              |1.583 0.982    |    1|   50.1     Mpc |                       |        |2000ApJ...529..786M
2284|NGC 7590                           NGC 7590                                                              |Galaxy in Pair of Galaxies        |23 18 54.7949760192 -42 14 20.515300476|348.2300073312973 -65.8466113967120|            ~ ~   |13.76    |~              |1.910 0.802    |    1|   31.05    Mpc |                       |        |2016AJ....152...50T
2285|L 10-21 A                                                                                                |High Proper Motion Star           |23 15 57.1836596438 -81 22 21.396428557|307.1794611290799 -34.9533426509657|503.299 105.197   |10.13    |~              |    ~     ~    |    1|   22.157   pc  |  -0.0796     +0.0796  |paral   |2020yCat.1350....0G
2286|TYC 5835-265-1                                                                                           |Star                              |23 29 44.9327203320 -13 27 58.850603280|064.4773668770280 -66.5352826345617| -7.391 -23.108   |10.988   |~              |    ~     ~    |    1|  379.061   pc  | -14.7300    +14.7300  |ST-L    |2020AJ....160...83S
2287|NGC 7592E                          NGC 7592B                          Mrk 928B                           |Galaxy                            |23 18 22.617 -04 24 58.07              |074.490218 -58.244635              |            ~ ~   |13.56    |~              |0.623 0.424    |    0|                |                       |        |                   
2288|2MASS J23150590-0227555                                                                                  |Long-Period Variable              |23 15 05.9090928120 -02 27 55.632104640|075.7373661728212 -56.2397797074002|  13.540 -5.486   |10.736   |~              |    ~     ~    |    1| 2619.450   pc  |-239.3000   +239.3000  |ST-L    |2020AJ....160...83S
2289|BD-01 4415                                                                                               |High Proper Motion Star           |23 17 58.9221445392 -00 26 02.466283344|079.0149229311499 -55.1292051215112|   73.642 4.346   |10.53    |K2             |    ~     ~    |    1|  280.230   pc  |  -1.2015     +1.2015  |paral   |2020yCat.1350....0G
2290|BD-01 4413                                                                                               |Star                              |23 17 33.0912132624 -00 48 01.053974628|078.4683218760721 -55.3497027311493|-25.607 -14.961   |10.30    |F8             |    ~     ~    |    1|  197.550   pc  |  -0.7844     +0.7844  |paral   |2020yCat.1350....0G
2291|AG-01 2818                                                                                               |Star                              |23 16 33.0454136688 -00 43 57.624065472|078.1998586493569 -55.1405735198471|  -3.284 -3.227   |10.16    |K5             |    ~     ~    |    1|  445.831   pc  |  -3.6970     +3.6970  |paral   |2020yCat.1350....0G
2292|TYC 5243-1157-1                                                                                          |Star                              |23 17 25.3687816056 -01 23 27.972790224|077.7684357394652 -55.7895962119518| -3.900 -13.451   |10.88    |~              |    ~     ~    |    1|  513.848   pc  |  -3.3269     +3.3269  |paral   |2020yCat.1350....0G
2293|TYC 5244-113-1                                                                                           |Star                              |23 28 29.2939435488 -01 43 19.545232188|081.3937543649324 -57.7422422115792| -6.942 -10.193   |10.825   |~              |    ~     ~    |    1|  352.219   pc  |  -7.4170     +7.4170  |ST-L    |2020AJ....160...83S
2294|TYC 5244-137-1                                                                                           |Star                              |23 29 09.3344026944 -02 10 03.059195124|081.1500152426469 -58.1999454675312| 15.527 -10.317   |10.739   |~              |    ~     ~    |    1|  873.794   pc  | -44.1300    +44.1300  |ST-L    |2020AJ....160...83S
2295|TYC 5244-233-1                                                                                           |Star                              |23 27 39.6093375024 -01 53 15.910744380|080.8974574181272 -57.7528159751135|  17.783 -7.952   |10.57    |~              |    ~     ~    |    1|  810.636   pc  | -13.9969    +13.9969  |paral   |2020yCat.1350....0G
2296|TYC 5244-596-1                                                                                           |Star                              |23 23 26.1358760064 -00 07 41.934074052|081.2539958178762 -55.7101709236426| 12.624 -13.943   |10.72    |~              |    ~     ~    |    1| 1354.463   pc  | -28.6193    +28.6193  |paral   |2020yCat.1350....0G
2297|TYC 5244-663-1                                                                                           |Star                              |23 22 06.9927404112 -00 03 58.527129132|080.8498903030235 -55.4643303544966|    6.450 0.608   |10.925   |~              |    ~     ~    |    1|  908.583   pc  | -39.6500    +39.6500  |ST-L    |2020AJ....160...83S
2298|TYC 5244-740-1                                                                                           |Star                              |23 28 12.3834981504 -00 11 48.966318708|082.9206495731980 -56.4602389995493|   2.272 -7.062   |10.971   |~              |    ~     ~    |    1| 1309.480   pc  |-147.5000   +147.5000  |ST-L    |2020AJ....160...83S
2299|TYC 5244-1045-1                                                                                          |Star                              |23 22 21.1328495088 -00 21 01.463587128|080.6328961538468 -55.7273501977546|   7.843 -6.866   |10.816   |~              |    ~     ~    |    1|  946.165   pc  | -40.0700    +40.0700  |ST-L    |2020AJ....160...83S
2300|HD 220256                                                                                                |High Proper Motion Star           |23 22 23.7814112787 -00 24 53.529535903|080.5799437973168 -55.7855685209912|210.727 -250.671  |8.57     |K1V            |    ~     ~    |    1|   34.4313  pc  |  -0.0265     +0.0265  |paral   |2020yCat.1350....0G
2301|TYC 5244-1220-1                                                                                          |Star                              |23 20 52.1114495424 -00 06 38.159662608|080.3633659786477 -55.3128544764840| 18.802 -11.061   |10.387   |~              |    ~     ~    |    1|  343.467   pc  |  -6.7930     +6.7930  |ST-L    |2020AJ....160...83S
2302|TYC 5246-775-1                                                                                           |Star                              |23 15 46.5165181728 -02 45 29.181009816|075.6223554767286 -56.5716897790371|    7.546 0.445   |10.85    |~              |    ~     ~    |    1|  475.201   pc  | -16.6400    +16.6400  |ST-L    |2020AJ....160...83S
2303|TYC 5247-49-1                                                                                            |Star                              |23 28 46.1568390840 -02 54 53.139461112|080.1458554672487 -58.7402751615984|  1.766 -18.455   |10.83    |~              |    ~     ~    |    1| 1814.882   pc  | -58.3002    +58.3002  |paral   |2020yCat.1350....0G
2304|TYC 5247-219-1                                                                                           |Star                              |23 21 15.2011504512 -03 02 40.987642740|077.2030983723484 -57.6747931044093|   10.406 2.852   |10.21    |~              |    ~     ~    |    1|  661.244   pc  |  -8.3076     +8.3076  |paral   |2020yCat.1350....0G
2305|TYC 5247-652-1                                                                                           |Star                              |23 25 46.8029937144 -02 48 04.327044372|079.1486748161383 -58.1943574057971|  38.122 -0.302   |10.89    |~              |    ~     ~    |    1|  328.515   pc  |  -3.0002     +3.0002  |paral   |2020yCat.1350....0G
2306|TYC 5249-804-1                                                                                           |Star                              |23 17 58.3037457144 -06 26 19.574895804|071.6673504704145 -59.6526325732170|  -0.512 -4.644   |10.92    |~              |    ~     ~    |    1|  973.141   pc  | -15.4362    +15.4362  |paral   |2020yCat.1350....0G
2307|TYC 5249-1123-1                                                                                          |Star                              |23 15 30.7507137336 -05 57 26.727986736|071.4710146550266 -58.8811375797045|  -3.082 -6.582   |10.742   |~              |    ~     ~    |    1| 1363.090   pc  |-152.6000   +152.6000  |ST-L    |2020AJ....160...83S
2308|TYC 5249-1203-1                                                                                          |Star                              |23 15 10.0324221840 -06 27 22.459739436|070.6700953320507 -59.1749126644231| -7.981 -11.587   |10.95    |~              |    ~     ~    |    1| 1662.787   pc  | -45.8967    +45.8967  |paral   |2020yCat.1350....0G
2309|TYC 5250-815-1                                                                                           |Star                              |23 24 19.6937064936 -07 26 22.579915560|072.5600465248157 -61.4685943636706|  8.387 -13.620   |10.692   |~              |    ~     ~    |    1| 1153.180   pc  | -79.8300    +79.8300  |ST-L    |2020AJ....160...83S
2310|TYC 5821-1058-1                                                                                          |Star                              |23 15 33.7600569384 -09 20 33.839429244|066.5647203829898 -61.2203928381717| -3.113 -10.799   |10.78    |~              |    ~     ~    |    1| 1277.480   pc  | -96.4600    +96.4600  |ST-L    |2020AJ....160...83S
2311|TYC 5821-1389-1                                                                                          |Star                              |23 18 35.4675180504 -07 55 30.366245316|069.7630538128362 -60.8098759322090| -24.659 -7.876   |10.862   |~              |    ~     ~    |    1|  164.915   pc  |  -1.7750     +1.7750  |ST-L    |2020AJ....160...83S
2312|HD 220436B                                                                                               |High Proper Motion Star           |23 23 45.4963738080 -08 27 41.709942504|070.8324506292479 -62.0989104330800| 60.001 -50.598   |7.59     |~              |    ~     ~    |    1|  106.653   pc  |  -0.2264     +0.2264  |paral   |2020yCat.1350....0G
2313|TYC 5825-269-1                                                                                           |Star                              |23 21 07.0971764832 -10 28 16.841702172|066.6798191862900 -62.9931738993115|   8.037 -7.918   |10.921   |~              |    ~     ~    |    1| 2561.060   pc  |-483.9000   +483.9000  |ST-L    |2020AJ....160...83S
2314|TYC 5825-610-1                                                                                           |High Proper Motion Star           |23 22 50.4641502864 -11 37 30.915158880|065.3290315300725 -64.0645291565292|   2.943 10.988   |10.977   |~              |    ~     ~    |    1|  324.872   pc  | -10.2700    +10.2700  |ST-L    |2020AJ....160...83S
2315|TYC 5827-909-1                                                                                           |Star                              |23 17 47.7894000096 -14 46 08.587196688|057.7596084613089 -64.9561535853646|  25.311 -9.524   |10.96    |~              |    ~     ~    |    1|  155.579   pc  |  -0.3316     +0.3316  |paral   |2020yCat.1350....0G
2316|TYC 5828-455-1                                                                                           |Star                              |23 19 45.2680175184 -14 56 09.527536752|058.0486753312743 -65.4430059075921|   0.666 -1.603   |10.80    |~              |    ~     ~    |    1|  401.897   pc  | -17.7673    +17.7673  |paral   |2020yCat.1350....0G
2317|TYC 5828-1231-1                                                                                          |Star                              |23 19 34.9876545912 -13 22 39.910759176|061.0169163842154 -64.5184950094048| -7.751 -44.048   |10.994   |~              |    ~     ~    |    1|  320.966   pc  |  -8.2770     +8.2770  |ST-L    |2020AJ....160...83S
2318|TYC 6395-606-1                                                                                           |Star                              |23 15 17.9015772984 -16 08 35.883094920|054.2369854467346 -65.1697389862851|   0.227 22.148   |10.932   |~              |    ~     ~    |    1|  319.306   pc  |  -7.9910     +7.9910  |ST-L    |2020AJ....160...83S
2319|TYC 6396-94-1                                                                                            |Star                              |23 21 29.7082454136 -17 14 40.259307156|053.7034122630563 -67.0049032054581|  -1.467 -4.129   |10.75    |~              |    ~     ~    |    1| 1994.416   pc  | -83.5316    +83.5316  |paral   |2020yCat.1350....0G
2320|TYC 6396-248-1                                                                                           |Star                              |23 25 25.2897949752 -17 17 10.776957108|054.8207023722302 -67.8394318736220| -2.388 -19.309   |10.18    |~              |    ~     ~    |    1|  339.853   pc  |  -7.6360     +7.6360  |ST-L    |2020AJ....160...83S
2321|TYC 6396-687-1                                                                                           |Star                              |23 20 00.1664219616 -15 15 16.815475116|057.4837660225287 -65.6677514400204|  13.205 -6.289   |10.96    |~              |    ~     ~    |    1|  893.256   pc  | -27.7671    +27.7671  |paral   |2020yCat.1350....0G
2322|HD 220065B                                                                                               |Star                              |23 20 55.5845756208 -18 32 35.177874504|050.5731752049557 -67.4945707056282|-35.184 -15.863   |8.31     |~              |    ~     ~    |    1|  173.265   pc  |  -0.8706     +0.8706  |paral   |2020yCat.1350....0G
2323|TYC 6399-72-1                                                                                            |Star                              |23 20 41.6938537536 -19 10 22.952478036|049.0222074876763 -67.7198412334142| 16.126 -37.434   |10.90    |~              |    ~     ~    |    1|  331.826   pc  |  -6.4940     +6.4940  |ST-L    |2020AJ....160...83S
2324|TYC 6399-119-1                                                                                           |Star                              |23 20 58.8043471776 -18 40 34.706236656|050.2758191695263 -67.5651983303040|    0.427 3.728   |10.809   |~              |    ~     ~    |    1|  730.719   pc  | -38.3300    +38.3300  |ST-L    |2020AJ....160...83S
2325|TYC 6399-295-1                                                                                           |Star                              |23 21 21.6480606384 -18 53 09.305290896|049.8847977328705 -67.7382643504190|  26.234 -3.095   |10.687   |~              |    ~     ~    |    1|  551.479   pc  | -20.5700    +20.5700  |ST-L    |2020AJ....160...83S
2326|TYC 6399-328-1                                                                                           |Star                              |23 19 56.6206399824 -18 16 58.156962996|050.9042104965667 -67.1692861208742| -8.039 -16.282   |10.85    |~              |    ~     ~    |    1|  332.358   pc  |  -2.7063     +2.7063  |paral   |2020yCat.1350....0G
2327|TYC 6399-377-1                                                                                           |Star                              |23 18 39.0290097000 -18 21 26.281690560|050.3795203614530 -66.9286982810348| -4.986 -13.228   |10.995   |~              |    ~     ~    |    1|  998.853   pc  | -62.3700    +62.3700  |ST-L    |2020AJ....160...83S
