C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:39

dec< 0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2351

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
58  |HD 10625                                                                                                 |Star                                  |01 42 42.7762316256 -41 38 50.548332120|270.3275167132148 -72.0803649873572|-16.459 -27.372   |8.35     |G8III          |    ~     ~    |    1|  283.279   pc  |  -7.0730     +7.0730  |ST-L    |2020AJ....160...83S
59  |CD-42 589                                                                                                |High Proper Motion Star               |01 42 14.9075496816 -41 31 44.135200308|270.2970114084051 -72.2269441282772| 63.503 -18.566   |9.998    |~              |    ~     ~    |    1|  233.595   pc  |  -2.6190     +2.6190  |ST-L    |2020AJ....160...83S
60  |CD-40 429                                                                                                |Star                                  |01 44 22.9206296520 -39 57 42.038146368|265.7553843347798 -73.1167727356844|  2.543 -11.946   |10.235   |~              |    ~     ~    |    1|  461.912   pc  | -12.7400    +12.7400  |ST-L    |2020AJ....160...83S
61  |HD 10744                                                                                                 |Star                                  |01 44 11.4855614016 -41 20 58.020496296|269.0124016447808 -72.1259081971891|  2.570 -19.256   |9.32     |K2III          |    ~     ~    |    1|  321.347   pc  |  -1.3734     +1.3734  |paral   |2020yCat.1350....0G
62  |HD 10812                                                                                                 |High Proper Motion Star               |01 44 57.2069421744 -41 43 47.105264172|269.4755974324664 -71.7459937165347| 52.310 -27.940   |9.59     |G8/K1+F/G      |    ~     ~    |    1|   88.552   pc  |  -0.4462     +0.4462  |ST-L    |2020AJ....160...83S
63  |TYC 7542-130-1                                                                                           |Star                                  |01 42 29.9331616776 -39 42 12.972464676|266.0297173403745 -73.5539352069779|   19.078 2.503   |10.789   |~              |    ~     ~    |    1|  214.460   pc  |  -2.3910     +2.3910  |ST-L    |2020AJ....160...83S
64  |TYC 7542-219-1                                                                                           |Star                                  |01 42 24.0624395088 -39 22 56.883574560|265.2790817671553 -73.7967745509043|   18.140 5.881   |10.91    |~              |    ~     ~    |    1| 1047.230   pc  | -12.1733    +12.1733  |paral   |2020yCat.1350....0G
65  |TYC 7542-327-1                                                                                           |Star                                  |01 44 50.7571960224 -39 59 24.111368412|265.6067143984818 -73.0341243546702|   -3.908 3.447   |10.753   |~              |    ~     ~    |    1| 1067.190   pc  | -54.3200    +54.3200  |ST-L    |2020AJ....160...83S
66  |TYC 7545-247-1                                                                                           |Star                                  |01 44 48.2005659240 -41 42 09.304397136|269.4860082646876 -71.7848792570350|  3.351 -22.587   |10.59    |~              |    ~     ~    |    1|  309.516   pc  |  -5.0320     +5.0320  |ST-L    |2020AJ....160...83S
67  |TYC 7545-330-1                                                                                           |Star                                  |01 43 18.3055080408 -41 52 49.790828316|270.5364213851529 -71.8306611477288|   -0.155 3.086   |10.689   |~              |    ~     ~    |    1|  252.750   pc  |  -4.2090     +4.2090  |ST-L    |2020AJ....160...83S
