C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
4903|TYC 2194-1652-1                                                       |Star                           |21 18 05.3403886728 +27 37 16.862462328|075.5450536782923 -15.0371029878788|  -0.681 -6.805   |10.24    |~                 |    ~     ~    
4904|TYC 2194-1692-1                                                       |Star                           |21 17 49.4429134944 +27 31 23.393309808|075.4289348207149 -15.0597622403281|-17.080 -16.634   |10.27    |~                 |    ~     ~    
4905|TYC 2194-1709-1                                                       |High Proper Motion Star        |21 18 31.7381912424 +27 00 58.891167648|075.1494351296196 -15.5166004306934|-60.558 -16.802   |10.81    |~                 |    ~     ~    
4906|TYC 2194-2071-1                                                       |Star                           |21 20 06.4457913864 +28 04 02.741225052|076.1977796892667 -15.0642954237704|  -2.020 -7.576   |10.99    |~                 |    ~     ~    
4907|TYC 2194-2213-1                                                       |Star                           |21 19 09.2292308400 +27 48 35.595822960|075.8538216337688 -15.0838090100914|   2.393 -2.909   |10.97    |~                 |    ~     ~    
4908|TYC 2194-2228-1                                                       |High Proper Motion Star        |21 18 08.4427421112 +27 53 25.115907696|075.7587206907682 -14.8643169734410| -49.777 23.157   |10.12    |~                 |    ~     ~    
4909|TYC 2194-2359-1                                                       |Star                           |21 20 53.7396909576 +27 57 01.521363528|076.2312674722581 -15.2714517480674|   -8.295 2.490   |10.78    |~                 |    ~     ~    
4910|TYC 2194-2362-1                                                       |High Proper Motion Star        |21 17 05.6434078200 +27 58 18.004972116|075.6599665789179 -14.6386075389389| 60.231 -79.041   |10.65    |~                 |    ~     ~    
4911|TYC 2195-1475-1                                                       |Star                           |21 21 00.7205669784 +27 12 42.312168720|075.6866843097060 -15.7920218534296| -4.014 -47.533   |10.88    |~                 |    ~     ~    
4912|TYC 2195-2192-1                                                       |Star                           |21 21 09.4311633360 +28 04 52.225136400|076.3712893123453 -15.2247890338903| -4.685 -12.448   |10.71    |~                 |    ~     ~    
4913|TYC 2198-12-1                                                         |Star                           |21 15 20.7996083256 +28 47 24.131390928|076.0192232347721 -13.8042404041587|   5.058 11.901   |10.90    |~                 |    ~     ~    
4914|TYC 2198-47-1                                                         |Star                           |21 20 27.8022264096 +29 17 52.154754900|077.1846127755203 -14.2841464548656|  -5.960 -4.499   |10.94    |~                 |    ~     ~    
4915|TYC 2198-70-1                                                         |Star                           |21 16 47.1052429632 +28 19 03.077849316|075.8770584215591 -14.3556267180511|  -8.693 -6.754   |10.62    |~                 |    ~     ~    
4916|TYC 2198-92-1                                                         |Star                           |21 18 31.6464856416 +28 08 37.465640556|076.0117313531242 -14.7562413570201|  39.346 19.276   |10.75    |~                 |    ~     ~    
4917|TYC 2198-146-1                                                        |Star                           |21 15 56.2019897424 +28 29 13.832808216|075.8773606958063 -14.1034571674815|   -2.970 2.386   |10.68    |~                 |    ~     ~    
4918|TYC 2198-212-1                                                        |Star                           |21 18 42.0001662552 +28 35 39.863499576|076.3813036563291 -14.4793721506506|  -5.303 -4.381   |10.56    |~                 |    ~     ~    
4919|TYC 2198-664-1                                                        |Star                           |21 17 50.2117534632 +28 22 23.505975192|076.0805198539457 -14.4891373435905|   1.432 -1.429   |10.70    |~                 |    ~     ~    
4920|TYC 2198-687-1                                                        |Star                           |21 17 58.3632106848 +29 18 33.414110064|076.8126754216204 -13.8781706724405|-10.209 -13.930   |10.84    |~                 |    ~     ~    
4921|TYC 2198-690-1                                                        |Star                           |21 15 39.3113112936 +28 41 51.621949932|075.9954241086168 -13.9163594279743|  -1.728 -4.097   |10.89    |~                 |    ~     ~    
4922|TYC 2198-712-1                                                        |Star                           |21 19 38.4687494832 +28 09 38.407363344|076.1965052625593 -14.9255020036856| -7.033 -29.995   |10.44    |~                 |    ~     ~    
4923|TYC 2198-726-1                                                        |Star                           |21 15 04.7824620120 +28 30 59.182254756|075.7696322147056 -13.9441386506282| -7.951 -11.380   |10.52    |~                 |    ~     ~    
4924|TYC 2198-830-1                                                        |Star                           |21 17 33.2958990816 +28 43 16.873343508|076.3025423569369 -14.2084585267362|   22.132 5.427   |10.87    |~                 |    ~     ~    
4925|TYC 2198-834-1                                                        |Star                           |21 15 06.0794695152 +28 09 28.489297644|075.4982621854807 -14.1875963022075|  -1.578 -1.944   |10.49    |~                 |    ~     ~    
4926|TYC 2198-929-1                                                        |Star                           |21 19 37.3054862928 +29 06 52.757579232|076.9171471593922 -14.2745127116795|    3.656 6.617   |10.72    |~                 |    ~     ~    
4927|TYC 2198-1044-1                                                       |Star                           |21 15 27.1857999408 +28 48 14.728486032|076.0460657520690 -13.8121021940450|   20.148 0.837   |10.53    |~                 |    ~     ~    
4928|TYC 2198-1063-1                                                       |Star                           |21 18 29.0516887920 +29 11 53.769316128|076.8064742133841 -14.0354390503215| 12.843 -24.743   |10.84    |~                 |    ~     ~    
4929|GSC 02198-01178                                                       |Double or Multiple Star        |21 17 39.824352 +28 15 18.74232        |075.963992145 -14.540593028        |      33.3 -2.4   |10.203   |~                 |    ~     ~    
4930|TYC 2198-1234-1                                                       |Star                           |21 16 05.2340610624 +28 53 54.790120896|076.2141953946538 -13.8514992269964| -19.954 -6.097   |10.46    |~                 |    ~     ~    
4931|TYC 2198-1430-1                                                       |Star                           |21 16 17.1775446192 +28 39 44.860871628|076.0643731815637 -14.0425462026938|-12.555 -22.013   |10.29    |~                 |    ~     ~    
4932|TYC 2198-1640-1                                                       |Star                           |21 18 15.6945387048 +28 09 09.249346080|075.9775357252901 -14.7070597859085|  -1.913 -5.494   |10.90    |~                 |    ~     ~    
4933|TYC 2198-1705-1                                                       |Star                           |21 17 04.7512693536 +29 16 41.938663296|076.6534870966701 -13.7556265887999| -0.213 -11.138   |10.25    |~                 |    ~     ~    
4934|TYC 2198-1740-1                                                       |Star                           |21 18 36.7394219928 +28 15 10.853964324|076.1080727468123 -14.6961681704413|   16.678 4.935   |10.83    |~                 |    ~     ~    
4935|TYC 2198-1798-1                                                       |Star                           |21 16 56.1905221968 +28 30 58.755330900|076.0519302124697 -14.2464688508449| -7.487 -18.079   |10.81    |~                 |    ~     ~    
4936|TYC 2198-1835-1                                                       |Star                           |21 20 10.1025491664 +29 15 07.075485288|077.1047355780707 -14.2683776696298|  -4.672 -8.347   |10.67    |~                 |    ~     ~    
4937|TYC 2199-273-1                                                        |Star                           |21 21 29.5632479280 +28 16 05.678950872|076.5653727889369 -15.1514388241923|  -2.002 -2.392   |10.51    |~                 |    ~     ~    
4938|TYC 2199-1053-1                                                       |Star                           |21 22 07.9764180000 +29 16 49.624141296|077.4286693961360 -14.5615522656710|  16.397 -2.343   |10.22    |~                 |    ~     ~    
4939|TYC 2199-1234-1                                                       |Star                           |21 21 37.9639004760 +29 16 19.306547796|077.3451178225492 -14.4878807682203|    4.914 2.958   |10.75    |~                 |    ~     ~    
4940|BD+26 4157                                                            |Star                           |21 25 42.6414767448 +27 35 48.592307112|076.7208450393703 -16.2900063323270|  -1.138 -3.678   |10.53    |F8                |    ~     ~    
4941|HD 203698                                                             |High Proper Motion Star        |21 23 09.1759296600 +29 38 21.508780236|077.8555704917813 -14.4762093512111| 5.397 -143.772   |7.80     |F8                |    ~     ~    
4942|TYC 2199-476-1                                                        |Star                           |21 23 18.2672733216 +29 42 03.365095860|077.9251193177363 -14.4576073384949| -9.947 -34.579   |10.18    |F8                |    ~     ~    
4943|BD+29 4401                                                            |Star                           |21 23 15.4194824544 +29 43 05.545156080|077.9307093001954 -14.4382361846461|  1.139 -11.465   |9.38     |K2                |    ~     ~    
4944|HD 203733                                                             |High Proper Motion Star        |21 23 18.8036319768 +29 48 47.526393420|078.0104775401438 -14.3816241595183|   52.277 3.085   |7.62     |K1III             |    ~     ~    
4945|BD+29 4406                                                            |Star                           |21 23 48.7548646824 +29 37 57.581240916|077.9526797112522 -14.5846238358055|   33.239 5.041   |8.54     |A7                |    ~     ~    
4946|BD+28 4070                                                            |Star                           |21 22 43.3378647960 +29 13 08.196540132|077.4736192563737 -14.6972635696116|  -9.047 -5.873   |9.84     |G5                |    ~     ~    
4947|BD+28 4071                                                            |Star                           |21 22 59.4495409512 +29 33 00.458880372|077.7637051933377 -14.5120478195595|   13.457 8.908   |10.11    |K0                |    ~     ~    
4948|BD+28 4072B                                                           |Star                           |21 23 04.7292806448 +28 57 24.584295456|077.3319131890298 -14.9339134561220|   7.127 -3.991   |10.57    |~                 |    ~     ~    
4949|BD+28 4073                                                            |Star                           |21 23 07.7562022512 +29 30 17.495460648|077.7511928941243 -14.5650518301160|    2.259 0.513   |10.14    |K5                |    ~     ~    
4950|BD+28 4074                                                            |Star                           |21 23 20.8431462288 +29 30 01.574851716|077.7816459324015 -14.6025119419216|  -2.603 -3.642   |10.48    |K2                |    ~     ~    
4951|BD+28 4076                                                            |Star                           |21 23 40.2456855768 +29 24 29.635636680|077.7627074075783 -14.7170612144798|   -0.176 1.248   |9.98     |K0                |    ~     ~    
4952|TYC 2199-752-1                                                        |Star                           |21 23 42.4909656984 +29 11 59.193110220|077.6122670691466 -14.8666055507797|  21.420 11.667   |10.23    |F8                |    ~     ~    
4953|BD+28 4078                                                            |High Proper Motion Star        |21 23 51.7722086496 +28 46 50.453383692|077.3216618944475 -15.1796669122517| 38.744 -33.600   |10.04    |G5                |    ~     ~    
4954|BD+28 4081                                                            |Star                           |21 24 03.3947577408 +29 19 09.271050420|077.7559968688331 -14.8393053727267|    9.547 1.395   |10.27    |K0                |    ~     ~    
4955|BD+28 4083                                                            |Star                           |21 24 10.2967991112 +29 29 49.470442008|077.9069794949426 -14.7347039462292|  -9.060 -0.263   |10.13    |K2                |    ~     ~    
4956|BD+27 4053                                                            |Star                           |21 23 24.0290615160 +28 27 45.011680128|077.0098053470796 -15.3246141044940|   2.124 -1.316   |10.64    |F8                |    ~     ~    
4957|BD+27 4055                                                            |Star                           |21 23 38.3351258760 +28 30 45.700313760|077.0849404234364 -15.3282370996185|  5.670 -10.232   |9.40     |K0                |    ~     ~    
4958|HD 203820                                                             |Star                           |21 23 50.3803623432 +28 28 15.284245404|077.0848906246718 -15.3889943105851|-25.722 -29.991   |8.38     |F0                |    ~     ~    
4959|BD+27 4058                                                            |Star                           |21 24 34.6163720472 +28 28 32.945961792|077.2042367016589 -15.5031954082798|   5.927 -6.324   |10.98    |F0                |    ~     ~    
4960|BD+27 4050                                                            |Star                           |21 22 34.7862788640 +27 40 48.335959992|076.2892073378268 -15.7282091583834|  -2.832 -5.182   |10.90    |K0                |    ~     ~    
4961|BD+27 4054                                                            |Star                           |21 23 39.2235030000 +28 00 29.236107852|076.7064393330352 -15.6769160995597| -2.459 -19.853   |9.58     |A3                |    ~     ~    
4962|BD+26 4142                                                            |Star                           |21 22 59.9173 +27 26 03.608            |076.1684427 -15.9638319            |     -6.7 -18.7   |9.91     |G0                |    ~     ~    
4963|HD 204523                                                             |Star                           |21 28 27.7624302432 +30 13 37.132063968|079.1188221423258 -14.8950783555912|-25.917 -20.678   |7.52     |K2                |    ~     ~    
4964|TYC 2199-400-1                                                        |Star                           |21 26 11.5971138216 +29 47 58.130243556|078.4472783606346 -14.8418635196903|  -1.739 -5.459   |10.47    |K5                |    ~     ~    
4965|BD+29 4417                                                            |Star                           |21 26 51.6141318648 +30 05 04.706112912|078.7630110135078 -14.7469715531518|  -2.261 -5.667   |9.87     |A5                |    ~     ~    
4966|BD+29 4418                                                            |Star                           |21 27 47.7909668280 +30 11 19.652814204|078.9863336990159 -14.8190816053166|   3.576 -3.361   |9.70     |K5                |    ~     ~    
4967|TYC 2199-1096-1                                                       |Star                           |21 27 59.5767297336 +29 53 35.878096068|078.7985369270658 -15.0561448740638|  -3.047 -2.946   |10.39    |K2                |    ~     ~    
4968|BD+29 4421                                                            |Star                           |21 28 47.6423014032 +29 57 26.302177260|078.9717466282033 -15.1352484374421|   8.400 -5.210   |9.47     |K0                |    ~     ~    
4969|BD+29 4422                                                            |Star                           |21 28 51.4922137248 +29 50 48.457078260|078.9001895459583 -15.2226384759377|   5.392 11.906   |10.19    |K0                |    ~     ~    
4970|BD+29 4424                                                            |Star                           |21 29 09.3593445336 +30 00 36.949226004|079.0678068980809 -15.1539505396959|  10.767 -3.030   |9.70     |A3                |    ~     ~    
4971|BD+28 4084                                                            |Star                           |21 25 05.5953672408 +28 46 36.729784704|077.5114594188545 -15.3776038425543|   2.468 -2.443   |9.64     |K2                |    ~     ~    
4972|HD 204051                                                             |Double or Multiple Star        |21 25 19.9876405536 +29 27 42.129066204|078.0614149886484 -14.9417421303487|   10.917 1.282   |7.29     |A0                |0.0050  0.0    
4973|BD+28 4086                                                            |Star                           |21 25 40.1086265232 +29 21 26.055675360|078.0358424523767 -15.0667888074443|  -4.233 -3.212   |10.50    |K0                |    ~     ~    
4974|TYC 2199-209-1                                                        |Star                           |21 25 52.1275920264 +28 20 25.491612480|077.3059845714204 -15.8022478322947|  11.260 10.369   |10.97    |K0                |    ~     ~    
4975|BD+28 4090                                                            |Star                           |21 26 21.6662254872 +28 52 36.645339576|077.7856952060170 -15.5088711796559| -6.364 -11.188   |10.06    |A0                |    ~     ~    
4976|BD+28 4092                                                            |Star                           |21 26 27.8387859888 +29 23 08.852810856|078.1817395782114 -15.1717387236212|   2.087 -1.102   |10.59    |G0                |    ~     ~    
4977|BD+28 4093                                                            |High Proper Motion Star        |21 27 15.0023605224 +28 44 02.715333792|077.8193619529743 -15.7481416572811|-18.665 -56.907   |10.90    |F8                |    ~     ~    
4978|TYC 2199-1485-1                                                       |Star                           |21 27 56.4991158216 +28 49 31.273857300|077.9970421059611 -15.7935008816356|  -5.953 -3.962   |10.50    |A5                |    ~     ~    
4979|TYC 2199-1474-1                                                       |Star                           |21 27 55.6148926152 +28 49 10.025920308|077.9903044359293 -15.7952958837209|  -6.606 -5.618   |10.04    |F0                |    ~     ~    
4980|BD+28 4097                                                            |Star                           |21 27 55.7953274424 +29 25 01.151885424|078.4354573846712 -15.3791275275004|  -3.430 -5.574   |10.71    |K0                |    ~     ~    
4981|BD+28 4098                                                            |Long-Period Variable           |21 27 57.2153489856 +29 30 06.241497372|078.5021078835295 -15.3236507875265|   0.327 -2.332   |9.92     |M2                |    ~     ~    
4982|BD+28 4100                                                            |Star                           |21 28 03.8935505832 +28 49 12.000555552|078.0125949009660 -15.8165953107992|  6.866 -11.304   |10.26    |A2                |    ~     ~    
4983|BD+28 4101                                                            |Star                           |21 28 22.4478589608 +29 23 41.250273432|078.4890738644948 -15.4638664551995|  11.632 -4.286   |8.79     |M0                |    ~     ~    
4984|BD+28 4103                                                            |Star                           |21 28 28.5363148680 +29 25 34.383919008|078.5284182464204 -15.4577026205089| -10.951 -6.233   |9.53     |K2                |    ~     ~    
4985|BD+28 4104                                                            |Star                           |21 28 52.5567432672 +28 48 33.789156588|078.1335441515369 -15.9512875844957|   0.908 -1.100   |10.09    |K0                |    ~     ~    
4986|HD 204658                                                             |High Proper Motion Star        |21 29 22.1787237048 +28 52 30.635401584|078.2610855796474 -15.9826113933289|   89.074 1.554   |8.54     |G5                |    ~     ~    
4987|BD+28 4106                                                            |Star                           |21 29 25.5593795328 +28 39 44.721444600|078.1118325524009 -16.1402355469883|  -0.235 -9.653   |9.22     |K2                |    ~     ~    
4988|BD+28 4107                                                            |Star                           |21 29 26.1244151712 +29 21 48.737553444|078.6338772485291 -15.6508666195148|-30.348 -17.515   |9.06     |K0                |    ~     ~    
4989|HD 204686                                                             |Star                           |21 29 29.6264769024 +29 23 03.707305548|078.6585568954475 -15.6453348096923|   7.414 -6.947   |8.90     |A2                |    ~     ~    
4990|BD+28 4109                                                            |Star                           |21 29 36.8559911112 +29 28 29.400835692|078.7446239647767 -15.6005808519529|  -1.567 -6.134   |10.14    |A0                |    ~     ~    
4991|TYC 2200-2155-1                                                       |Star                           |21 29 43.1750275680 +28 31 09.028965936|078.0521279689674 -16.2864778503906|  -5.927 -8.444   |10.14    |K0                |    ~     ~    
4992|BD+27 4063                                                            |Star                           |21 26 44.0311493472 +28 22 51.854715264|077.4733989468208 -15.9114942168486|  2.126 -10.733   |10.05    |K0                |    ~     ~    
4993|BD+27 4067                                                            |Star                           |21 27 39.1170913392 +28 32 38.367615228|077.7410119398355 -15.9436724700719|  20.546 -4.272   |10.19    |F8                |    ~     ~    
4994|HD 204642                                                             |High Proper Motion Star        |21 29 15.3864471624 +28 34 58.799952588|078.0256197479924 -16.1691330519787|-33.181 -142.228  |6.748    |K2III             |    ~     ~    
4995|BD+27 4077                                                            |High Proper Motion Star        |21 29 31.3919338872 +28 34 13.337374080|078.0588356767357 -16.2198468524247| 58.248 -27.169   |9.97     |G5                |    ~     ~    
4996|BD+27 4078                                                            |Long-Period Variable           |21 29 44.6084967984 +28 15 03.787148124|077.8561254912111 -16.4776752574778|   4.246 -4.071   |10.57    |M7                |    ~     ~    
4997|BD+27 4059                                                            |Spectroscopic Binary           |21 24 53.9256189024 +27 56 15.499266180|076.8494368298510 -15.9251146788941|  25.482 -4.094   |9.75     |G0                |    ~     ~    
4998|BD+27 4061                                                            |Star                           |21 26 20.4294046728 +27 51 17.798233572|077.0156385885714 -16.2128732398554| -7.934 -41.095   |9.87     |F5                |    ~     ~    
4999|BD+27 4062                                                            |Double or Multiple Star        |21 26 38.5921452648 +27 56 51.255183372|077.1334871148367 -16.1971828055553| -7.507 -10.341   |10.866   |A5                |    ~     ~    
5000|BD+27 4064                                                            |Star                           |21 26 58.8104807304 +28 01 34.933855440|077.2463297821026 -16.1963454386206|   9.776 -8.236   |9.82     |K2                |    ~     ~    
5001|BD+27 4065                                                            |Star                           |21 27 25.4218448208 +28 01 00.279498468|077.3097467357170 -16.2735868603153|   3.482 -7.511   |9.58     |A7                |    ~     ~    
5002|HD 204388                                                             |Star                           |21 27 30.4235170800 +27 52 26.669850348|077.2159096110397 -16.3857660465896|    4.393 2.765   |7.47     |K5III             |    ~     ~    
5003|BD+27 4068                                                            |Star                           |21 28 06.0189419040 +28 05 04.022894256|077.4684958782916 -16.3340419912670|  -4.155 -0.688   |9.41     |K5                |    ~     ~    
5004|BD+27 4074                                                            |Star                           |21 28 55.0218520680 +28 00 32.316019236|077.5426709466793 -16.5159943975066|   -7.950 2.539   |10.23    |G5                |    ~     ~    
5005|BD+27 4075                                                            |Star                           |21 29 18.4089074136 +27 59 50.253896580|077.5964709474243 -16.5858468633165|  13.551 -4.158   |9.65     |A5                |    ~     ~    
5006|BD+27 4079                                                            |Star                           |21 29 51.3285978408 +28 01 55.130694564|077.7105818443699 -16.6483806032125|    1.497 1.474   |10.57    |F2                |    ~     ~    
5007|TYC 2195-337-1                                                        |Star                           |21 22 49.7586318000 +27 24 29.519763516|076.1219017573601 -15.9542185264319|-25.152 -14.933   |10.80    |~                 |    ~     ~    
5008|TYC 2195-351-1                                                        |Star                           |21 24 58.4243480112 +27 32 17.461116420|076.5594750216702 -16.2118256550932|  20.267 -0.740   |10.85    |~                 |    ~     ~    
5009|TYC 2195-564-1                                                        |Star                           |21 22 52.6455046368 +27 22 44.100053724|076.1072202301201 -15.9820094123066|   2.730 -9.478   |10.77    |~                 |    ~     ~    
5010|TYC 2195-785-1                                                        |Star                           |21 22 53.7573940704 +27 34 55.780835412|076.2645550457221 -15.8462442849297|  -0.392 -5.264   |10.92    |~                 |    ~     ~    
5011|TYC 2195-1017-1                                                       |Star                           |21 24 41.2994594376 +27 31 16.162985028|076.5013333782818 -16.1775315757325|   7.427 -6.435   |10.45    |~                 |    ~     ~    
5012|TYC 2195-2019-1                                                       |Star                           |21 28 26.4839 +27 49 26.433            |077.3278110 -16.5691981            |   46.744 4.425   |10.96    |~                 |    ~     ~    
5013|TYC 2195-2283-1                                                       |Star                           |21 28 11.9384518896 +27 54 38.576233116|077.3540228703256 -16.4704202328678|-22.551 -28.212   |10.57    |~                 |    ~     ~    
5014|TYC 2199-18-1                                                         |Star                           |21 23 20.6228180160 +29 53 21.279260184|078.0720027780608 -14.3339472055356|   7.472 -0.149   |10.88    |~                 |    ~     ~    
5015|TYC 2199-130-1                                                        |Star                           |21 23 53.7154073712 +29 09 02.812213224|077.6046313749262 -14.9299580221643|  16.395 -2.919   |10.03    |~                 |    ~     ~    
5016|TYC 2199-132-1                                                        |Star                           |21 23 20.9750483232 +29 48 30.367974312|078.0125016949872 -14.3905963461454|  -8.311 -8.157   |10.52    |~                 |    ~     ~    
5017|TYC 2199-152-1                                                        |Star                           |21 25 45.0410247192 +29 28 03.067328784|078.1309730337422 -15.0032154371558|  11.510 -0.743   |10.81    |~                 |    ~     ~    
5018|TYC 2199-178-1                                                        |Star                           |21 23 17.4754368792 +29 51 30.725985240|078.0409545408902 -14.3468899327414|   23.937 0.637   |10.68    |~                 |    ~     ~    
5019|IRAS 21247+2756                                                       |Long-Period Variable           |21 26 59.5436804784 +28 09 46.561095396|077.3508111777237 -16.1036902649550|  -3.591 -2.746   |10.55    |~                 |    ~     ~    
5020|TYC 2199-236-1                                                        |Star                           |21 24 39.2537263824 +29 40 12.167094900|078.1112008981891 -14.6909760800977|  29.253 -4.341   |10.72    |~                 |    ~     ~    
5021|TYC 2199-301-1                                                        |Star                           |21 28 27.6982546920 +28 18 59.486511240|077.6998746073069 -16.2297947762108|  0.133 -14.316   |10.73    |~                 |    ~     ~    
5022|TYC 2199-307-1                                                        |Star                           |21 22 42.1640135952 +28 30 57.292453188|076.9411345288892 -15.1763956833318|   2.671 -1.896   |10.80    |~                 |    ~     ~    
5023|TYC 2199-405-1                                                        |Star                           |21 24 12.2271428880 +28 26 13.339620528|077.1164631178254 -15.4703962853612|  -6.652 -7.263   |10.24    |~                 |    ~     ~    
5024|TYC 2199-423-1                                                        |Star                           |21 28 27.8903861784 +28 09 50.551956972|077.5863391917293 -16.3364450884953|   5.571 -9.835   |10.25    |~                 |    ~     ~    
5025|TYC 2199-496-1                                                        |Star                           |21 25 19.5577 +29 41 22.571            |078.2302759 -14.7826729            |   21.094 1.754   |10.70    |~                 |    ~     ~    
5026|TYC 2199-498-1                                                        |Star                           |21 28 54.8984629248 +29 31 53.724979236|078.6759409036045 -15.4522817262946|  8.047 -12.725   |10.41    |~                 |    ~     ~    
5027|TYC 2199-709-1                                                        |Star                           |21 23 13.3647377496 +28 23 55.813053984|076.9339789759746 -15.3398669244046|   2.249 -2.233   |10.94    |~                 |    ~     ~    
5028|TYC 2199-724-1                                                        |Star                           |21 24 15.3823740624 +29 20 12.748928352|077.8002868962770 -14.8586556509079|   -5.391 0.846   |10.78    |~                 |    ~     ~    
5029|GSC 02199-00828                                                       |Double or Multiple Star        |21 25 54.5706908112 +29 34 48.804351312|078.2397960816107 -14.9498811584572|  -2.167 -5.622   |10.485   |~                 |    ~     ~    
5030|TYC 2199-956-1                                                        |Star                           |21 26 22.7065783248 +28 56 54.930217308|077.8420590192313 -15.4618452088916|-18.097 -17.693   |10.71    |~                 |    ~     ~    
5031|TYC 2199-964-1                                                        |Star                           |21 27 38.5770886104 +29 26 38.127426504|078.4102569285003 -15.3155714974901|  -3.780 -1.961   |10.86    |~                 |    ~     ~    
5032|TYC 2199-1020-1                                                       |Star                           |21 27 19.9994587296 +29 31 49.611928440|078.4258449040723 -15.2069426823948|  -6.699 -8.608   |10.90    |~                 |    ~     ~    
5033|TYC 2199-1094-1                                                       |Star                           |21 24 52.2976929072 +29 07 16.612173480|077.7348484680624 -15.1046272880829|   13.755 0.201   |10.52    |~                 |    ~     ~    
5034|TYC 2199-1103-1                                                       |Star                           |21 22 51.4717986360 +28 47 11.156773488|077.1692806678043 -15.0157156289780|  -7.272 -1.317   |10.92    |~                 |    ~     ~    
5035|TYC 2199-1118-1                                                       |Star                           |21 27 22.6893529080 +29 00 50.633491536|078.0485757874198 -15.5736037970144|  5.921 -15.426   |10.83    |~                 |    ~     ~    
5036|TYC 2199-1175-1                                                       |Star                           |21 23 57.9652164672 +29 04 42.947751720|077.5615173335665 -14.9909087715683|  11.111 -6.062   |10.82    |~                 |    ~     ~    
5037|TYC 2199-1225-1                                                       |Star                           |21 28 04.2166790040 +29 45 16.065355032|078.7078729305906 -15.1652120034795| -11.623 -7.396   |10.60    |~                 |    ~     ~    
5038|TYC 2199-1238-1                                                       |Star                           |21 26 23.2608584784 +29 50 10.182597900|078.5048837401906 -14.8466401016886|    3.256 1.565   |10.50    |~                 |    ~     ~    
5039|TYC 2199-1371-1                                                       |Star                           |21 27 18.5848759560 +28 50 57.480139248|077.9148499053606 -15.6774605884489|-11.024 -15.490   |10.19    |~                 |    ~     ~    
5040|TYC 2199-1409-1                                                       |Star                           |21 28 25.4070584376 +28 44 15.461498724|078.0081285551664 -15.9303475592328| -7.883 -10.809   |10.09    |~                 |    ~     ~    
5041|TYC 2199-1461-1                                                       |Star                           |21 22 49.7691570744 +28 50 26.281030596|077.2056875332460 -14.9740061969459| -10.992 -7.621   |10.44    |~                 |    ~     ~    
5042|TYC 2199-1544-1                                                       |Star                           |21 23 40.0555826064 +29 04 40.747586880|077.5145633728533 -14.9440461741495|  33.684 -5.381   |10.87    |~                 |    ~     ~    
5043|GSC 02199-01547                                                       |Double or Multiple Star        |21 27 17.8452394464 +29 16 56.937142560|078.2357929692743 -15.3740956828220|  13.279 10.631   |10.190   |~                 |    ~     ~    
5044|TYC 2199-1615-1                                                       |Star                           |21 27 49.3580154000 +29 58 33.189623688|078.8329537215872 -14.9720201622660|  -2.236 -6.851   |10.59    |~                 |    ~     ~    
5045|TYC 2199-1617-1                                                       |Star                           |21 23 23.5036540440 +28 53 02.573776824|077.3258830994005 -15.0336700946258|  -5.403 -3.779   |10.54    |~                 |    ~     ~    
5046|TYC 2199-1618-1                                                       |Star                           |21 24 10.6003517832 +28 41 36.643559856|077.3051962879434 -15.2895665339530|  -8.270 -4.131   |10.55    |~                 |    ~     ~    
5047|TYC 2199-1713-1                                                       |Star                           |21 29 08.1996227232 +28 37 33.187217700|078.0384470918613 -16.1203630988004|  -2.765 -5.392   |10.92    |~                 |    ~     ~    
5048|TYC 2200-1586-1                                                       |Star                           |21 29 34.5569494440 +29 09 07.577720424|078.4995089586863 -15.8209160016877|    6.014 3.179   |10.13    |~                 |    ~     ~    
5049|TYC 2200-2055-1                                                       |Star                           |21 29 56.6471828304 +28 36 45.725721912|078.1576674075063 -16.2562505878452|  11.371 -3.181   |10.79    |~                 |    ~     ~    
5050|TYC 2200-2112-1                                                       |Star                           |21 29 27.5547735048 +28 32 52.876260456|078.0319671207919 -16.2254290693056|       6.9 16.7   |10.96    |~                 |    ~     ~    
5051|TYC 2703-1413-1                                                       |Star                           |21 26 47.7278534568 +30 10 15.843104976|078.8169477770880 -14.6766564345121|-12.936 -21.438   |10.70    |~                 |    ~     ~    
5052|TYC 2704-1784-1                                                       |Star                           |21 28 03.7653911952 +30 15 29.599001100|079.0792650170625 -14.8115592113884|   -2.668 4.503   |10.46    |~                 |    ~     ~    
5053|TYC 2704-2057-1                                                       |Star                           |21 27 17.5839981648 +30 04 36.946991208|078.8248790545165 -14.8194173668383|-24.337 -16.280   |10.83    |~                 |    ~     ~    
5054|TYC 2704-2502-1                                                       |High Proper Motion Star        |21 28 55.2315016032 +30 02 47.383139220|079.0574949210840 -15.0922168260969|  16.382 89.139   |10.88    |~                 |    ~     ~    
5055|WDS J21230+2726AB                                                     |Double or Multiple Star        |21 22 59.94 +27 26 03.5                |076.16848 -15.96391                |            ~ ~   |9.8      |~                 |    ~     ~    
