C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
134 |BD+37 4302                                                            |Star                           |21 25 02.3463436776 +38 35 10.360369320|084.6607989760390 -08.4952922914781|   -3.123 3.419   |9.23     |K2                |    ~     ~    
135 |BD+37 4305                                                            |Star                           |21 25 44.8984697784 +38 35 57.147774540|084.7695186500510 -08.5836859739502|  -1.047 -3.455   |9.58     |A0                |    ~     ~    
136 |HD 204187                                                             |Star                           |21 25 50.0417224320 +38 30 58.416716232|084.7225102953521 -08.6544425817095|   -2.702 1.350   |8.49     |A0                |    ~     ~    
137 |BD+37 4317B                                                           |Star                           |21 27 48.8478278136 +38 34 45.209521344|085.0464513352111 -08.8810638886635|  5.225 -19.967   |10.52    |F8                |    ~     ~    
138 |BD+37 4317A                                                           |Star                           |21 27 49.1715526296 +38 34 45.114638772|085.0471957947138 -08.8818199144538|  5.614 -19.354   |9.97     |F8                |    ~     ~    
139 |V* V1811 Cyg                                                          |Orion Variable                 |21 28 51.9819823008 +39 10 44.326692912|085.6181751006880 -08.5941547713616|  -2.484 -4.657   |10.77    |~                 |    ~     ~    
140 |BD+37 4310                                                            |Star                           |21 25 54.0926743872 +38 05 45.097921248|084.4326586293763 -08.9624029148383|    4.013 4.837   |9.97     |K0                |    ~     ~    
141 |CCDM J21175+3950B                                                     |Star                           |21 17 34.1851335672 +39 49 55.123787352|084.5321830594898 -06.5903332479599|   2.170 -1.148   |10.5     |~                 |    ~     ~    
142 |HD 202903                                                             |Star                           |21 17 42.1582102440 +38 51 30.956381532|083.8438929900337 -07.2840926958744|   2.366 -3.006   |8.79     |A0                |    ~     ~    
143 |HD 203233                                                             |Star                           |21 19 53.9314953864 +38 08 32.486270532|083.6259151533275 -08.0909178845780|  -10.324 1.967   |8.95     |G5                |    ~     ~    
144 |BD+37 4284                                                            |Star                           |21 22 34.9620 +37 43 33.181            |083.6996270 -08.7603805            |      3.3 -19.4   |8.85     |G0                |    ~     ~    
145 |TYC 3169-1093-1                                                       |Star                           |21 15 25.5089301168 +39 01 53.222930148|083.6615040877777 -06.8445343102373|  -1.835 -5.082   |10.66    |~                 |    ~     ~    
146 |BD+37 4273                                                            |Star                           |21 19 51.16 +38 15 54.5                |083.70841 -07.99880                |            ~ ~   |10.6     |~                 |    ~     ~    
147 |BD+39 4533                                                            |Star                           |21 21 16.4482368552 +39 49 15.160222128|085.0243160695305 -07.1072657054333|  -3.267 -4.913   |10.51    |B9IV              |    ~     ~    
