C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:33:29

dec >=0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3147

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------------|-----|----------------|-----------------------|--------|-------------------
50  |BD+82 477                                                                                                                                   |High Proper Motion Star             |16 03 26.4550847424 +81 42 21.048761844|115.6302793831991 +32.4877872069276| -37.826 76.426  |9.39     |G2V            |    ~     ~          |    1|   87.466   pc  |  -0.1316     +0.1316  |paral   |2020yCat.1350....0G
51  |HD 145742                                                                                                                                   |Star                                |16 00 36.6778302192 +80 37 40.076285916|114.7057358295708 +33.2433739224329| -14.285 24.906  |7.55     |K0             |    ~     ~          |    1|  238.260   pc  |  -0.8118     +0.8118  |paral   |2020yCat.1350....0G
52  |HD 147290                                                                                                                                   |High Proper Motion Star             |16 08 48.3473793048 +80 42 13.965210864|114.5363382221546 +32.9334775268295| -2.359 -67.738  |8.40     |F0             |    ~     ~          |    1|  114.034   pc  |  -0.2549     +0.2549  |paral   |2020yCat.1350....0G
53  |HD 147620                                                                                                                                   |Variable Star                       |16 10 01.9668020136 +81 08 38.417690652|114.9235590720978 +32.6333585956028| 22.340 -19.230  |7.900    |G5             |    ~     ~          |    1|  254.647   pc  |  -1.1478     +1.1478  |paral   |2020yCat.1350....0G
54  |BD+81 545                                                                                                                                   |Star                                |16 12 55.2131030736 +80 58 45.868237356|114.6871421486565 +32.6391318547287|  -9.465 17.721  |9.94     |F5             |    ~     ~          |    1|  331.246   pc  |  -1.5581     +1.5581  |paral   |2020yCat.1350....0G
55  |BD+81 546                                                                                                                                   |Star                                |16 14 09.8162550528 +80 49 23.338607196|114.5019235029030 +32.6893302884365|  0.534 -23.889  |10.21    |F5             |    ~     ~          |    1|  277.539   pc  |  -1.0168     +1.0168  |paral   |2020yCat.1350....0G
56  |TYC 4575-115-1                                                                                                                              |Star                                |16 02 25.3721285280 +80 24 46.380047796|114.4486356038418 +33.3179067313491|   -2.624 8.715  |10.12    |~              |    ~     ~          |    1| 1097.936   pc  | -14.9477    +14.9477  |paral   |2020yCat.1350....0G
57  |TYC 4575-386-1                                                                                                                              |Star                                |16 12 18.7219739064 +80 33 39.028056876|114.2986223866041 +32.9019436753153|   1.009 23.097  |10.48    |~              |    ~     ~          |    1|  255.898   pc  |  -0.8709     +0.8709  |paral   |2020yCat.1350....0G
58  |TYC 4575-460-1                                                                                                                              |Star                                |16 10 19.7611509360 +80 32 07.747940328|114.3306934620655 +32.9828394218630| -19.140 38.887  |10.78    |~              |    ~     ~          |    1|   82.675   pc  |  -0.0615     +0.0615  |paral   |2020yCat.1350....0G
59  |TYC 4579-312-1                                                                                                                              |Star                                |16 06 06.5236038168 +80 44 46.889259432|114.6544790403908 +32.9950313207875|   2.456 -3.112  |10.86    |~              |    ~     ~          |    1| 1101.200   pc  | -12.6115    +12.6115  |paral   |2020yCat.1350....0G
