C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:31:24

dec >=0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4974

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
59  |HD 16386                                                                                                                                    |Star                              |02 38 51.6476770200 +39 09 00.698727996|144.6982198410939 -19.1385829124169|   0.059 -6.997   |7.82     |B9               |    ~     ~    |    1|  440.315   pc  |  -9.4806     +9.4806  |paral   |2020yCat.1350....0G
60  |BD+38 528                                                                                                                                   |Star                              |02 39 14.3820299208 +39 31 00.363615240|144.6032776438422 -18.7757032468521|  -5.857 -5.574   |9.23     |K0               |    ~     ~    |    1|  511.849   pc  |  -5.2922     +5.2922  |paral   |2020yCat.1350....0G
61  |BD+38 532                                                                                                                                   |Double or Multiple Star           |02 40 01.5373370472 +39 10 06.240040608|144.9059718307481 -19.0255825034209|  -6.067 12.918   |9.82     |A0               |    ~     ~    |    0|                |                       |        |                   
62  |HD 16535                                                                                                                                    |High Proper Motion Star           |02 40 13.0118392392 +39 00 51.832389780|145.0115035934307 -19.1486580262662| 57.282 -44.324   |9.06     |G5               |    ~     ~    |    1|   72.511   pc  |  -0.1046     +0.1046  |paral   |2020yCat.1350....0G
63  |BD+38 535                                                                                                                                   |Star                              |02 40 38.0579574240 +39 23 24.414654660|144.9175081619411 -18.7747582188766| 19.323 -11.786   |10.06    |F0               |    ~     ~    |    1|  274.446   pc  |  -1.8680     +1.8680  |paral   |2020yCat.1350....0G
64  |BD+37 587                                                                                                                                   |Star                              |02 38 15.6293237976 +38 23 18.352333608|144.9296953648506 -19.8777505246038|   4.567 13.244   |8.57     |K5               |    ~     ~    |    1|  450.633   pc  |  -4.8737     +4.8737  |paral   |2020yCat.1350....0G
65  |BD+37 590                                                                                                                                   |Star                              |02 38 26.8411021680 +38 21 59.871671280|144.9748015998970 -19.8818886922891|  15.942 -2.151   |9.37     |K5               |    ~     ~    |    1|  940.645   pc  | -18.6696    +18.6696  |paral   |2020yCat.1350....0G
66  |BD+37 592                                                                                                                                   |Star                              |02 39 35.1257264424 +38 21 57.169525644|145.1894754344266 -19.7870943209725|  10.977 -5.456   |9.46     |A5               |    ~     ~    |    1|  504.948   pc  | -10.8109    +10.8109  |paral   |2020yCat.1350....0G
67  |BD+37 593                                                                                                                                   |Star                              |02 40 24.7943162880 +38 20 44.267993700|145.3543286487717 -19.7353544074436|   9.536 -2.201   |9.65     |K0               |    ~     ~    |    1|  526.233   pc  |  -7.1999     +7.1999  |paral   |2020yCat.1350....0G
68  |BD+37 594                                                                                                                                   |Star                              |02 40 33.4182310128 +38 32 52.578452580|145.2882891292277 -19.5407983150765|  -3.800 -1.230   |10.02    |K2               |    ~     ~    |    1|  777.061   pc  | -12.4388    +12.4388  |paral   |2020yCat.1350....0G
