C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:00:29

dec >=0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2229

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
67  |BD+77 444                                                                                                |Star                                |11 49 40.6096372176 +76 24 50.272271100|127.6248456177515 +40.1463381866100|  -4.596 -0.582    |10.25    |K0                |    ~     ~    |    1| 1266.785   pc  | -21.8245    +21.8245  |paral   |2020yCat.1350....0G
68  |BD+77 446                                                                                                |Star                                |11 50 29.1950238240 +76 52 29.701142724|127.3822255698014 +39.7220104233747|   1.172 -3.517    |9.83     |F8                |    ~     ~    |    1|  221.504   pc  |  -0.6673     +0.6673  |paral   |2020yCat.1350....0G
69  |V* FQ Cam                                                                                                |Long-Period Variable Candidate      |11 52 47.3916218568 +76 59 20.063148792|127.1765499822010 +39.6520590438533|   9.573 -5.114    |9.35     |M0                |    ~     ~    |    1| 1335.113   pc  | -30.8377    +30.8377  |paral   |2020yCat.1350....0G
70  |HD 103471                                                                                                |Star                                |11 55 19.7572313832 +76 51 48.085442388|127.0444583820754 +39.8135101944137| -18.007 -4.471    |9.61     |F2                |    ~     ~    |    1|  325.193   pc  | -26.4904    +26.4904  |paral   |2020yCat.1350....0G
71  |BD+77 450                                                                                                |Star                                |11 57 58.0967330208 +76 56 53.623278204|126.8270951177001 +39.7728903478480|    1.618 0.518    |10.03    |F0                |    ~     ~    |    1|  460.045   pc  |  -2.7090     +2.7090  |paral   |2020yCat.1350....0G
72  |HD 104000                                                                                                |Star                                |11 58 50.1568964520 +76 41 18.006597240|126.8550854159585 +40.0365762373894|    3.813 0.864    |8.88     |K2                |    ~     ~    |    1|  460.426   pc  |  -3.3495     +3.3495  |paral   |2020yCat.1350....0G
73  |TYC 4550-47-1                                                                                            |Star                                |11 52 07.2062270088 +77 12 24.932615472|127.1398438908646 +39.4326761509018|  45.687 -4.682    |10.85    |~                 |    ~     ~    |    1|  231.943   pc  |  -0.6832     +0.6832  |paral   |2020yCat.1350....0G
74  |TYC 4550-75-1                                                                                            |Star                                |11 45 53.7702065880 +77 04 18.543967932|127.6204390811799 +39.4537279640018| -11.117 12.052    |10.79    |~                 |    ~     ~    |    1|  205.952   pc  |  -0.5217     +0.5217  |paral   |2020yCat.1350....0G
75  |TYC 4550-208-1                                                                                           |Spectroscopic Binary                |11 58 14.5015295424 +76 24 21.648952980|126.9971206425180 +40.2994824619475| -1.185 -10.870    |10.91    |~                 |    ~     ~    |    1|  419.516   pc  |  -2.1119     +2.1119  |paral   |2020yCat.1350....0G
76  |TYC 4550-390-1                                                                                           |Star                                |11 56 29.0350839336 +76 57 52.304612220|126.9261968820176 +39.7344807199913|  -12.969 1.855    |10.71    |~                 |    ~     ~    |    1|  356.405   pc  |  -3.7980     +3.7980  |paral   |2020yCat.1350....0G
77  |TYC 4550-468-1                                                                                           |Star                                |11 46 27.1026558240 +77 27 47.532923568|127.4197222727320 +39.0932055135604|   -4.410 2.757    |10.75    |~                 |    ~     ~    |    1| 1065.190   pc  | -16.2252    +16.2252  |paral   |2020yCat.1350....0G
78  |TYC 4550-738-1                                                                                           |Star                                |11 48 45.7596348960 +76 32 52.028571768|127.6366399636652 +40.0025294853965|   37.514 8.718    |10.94    |~                 |    ~     ~    |    1|  255.141   pc  |  -1.0090     +1.0090  |paral   |2020yCat.1350....0G
79  |TYC 4550-762-1                                                                                           |Star                                |11 49 01.7445917352 +76 34 47.537096628|127.6043444894475 +39.9769020542409| -43.828 -0.948    |9.96     |~                 |    ~     ~    |    1|  207.177   pc  |  -0.6052     +0.6052  |paral   |2020yCat.1350....0G
80  |TYC 4553-98-1                                                                                            |Star                                |11 46 12.4029452496 +78 37 25.322871648|126.9618703182363 +37.9892666812927|   -3.149 8.296    |10.81    |~                 |    ~     ~    |    1|  322.072   pc  |  -1.4833     +1.4833  |paral   |2020yCat.1350....0G
81  |TYC 4553-807-1                                                                                           |Star                                |11 52 37.7960166936 +77 53 10.382628228|126.8500216880103 +38.7910970149647|  -8.787 -6.840    |10.35    |~                 |    ~     ~    |    1| 1408.451   pc  | -21.6227    +21.6227  |paral   |2020yCat.1350....0G
82  |TYC 4553-937-1                                                                                           |Star                                |11 55 25.8931098648 +78 22 55.848356040|126.4942800788448 +38.3559416612042|  32.422 18.765    |10.92    |~                 |    ~     ~    |    1|  287.522   pc  |  -1.2896     +1.2896  |paral   |2020yCat.1350....0G
83  |TYC 4553-1348-1                                                                                          |Star                                |11 59 36.1206957268 +77 49 59.929749203|126.4157208543760 +38.9421384219335|    41.90 -3.10    |10.84    |~                 |    ~     ~    |    0|                |                       |        |                   
84  |TYC 4553-1395-1                                                                                          |Star                                |11 48 21.0461679024 +77 34 28.202792412|127.2490586549860 +39.0200483241781| -13.792 -2.404    |10.44    |~                 |    ~     ~    |    1|  627.392   pc  |  -5.2352     +5.2352  |paral   |2020yCat.1350....0G
85  |TYC 4553-1570-1                                                                                          |Star                                |11 57 38.7896352720 +77 58 26.883663492|126.4955137172460 +38.7794578032357|    1.695 1.025    |10.51    |~                 |    ~     ~    |    1|  400.930   pc  |  -2.0415     +2.0415  |paral   |2020yCat.1350....0G
86  |HD 102250                                                                                                |High Proper Motion Star             |11 46 38.1809605536 +75 44 32.195563980|128.1339302901748 +40.7246573574082| -36.854 38.350    |9.84     |F8                |    ~     ~    |    1|  164.894   pc  |  -0.3725     +0.3725  |paral   |2020yCat.1350....0G
87  |HD 103349                                                                                                |Star                                |11 54 19.8200366880 +75 53 35.526655680|127.4809991214514 +40.7265924905912| 11.882 -22.107    |9.81     |K2                |    ~     ~    |    1|  604.631   pc  |  -4.3138     +4.3138  |paral   |2020yCat.1350....0G
88  |HD 103227                                                                                                |Star                                |11 53 23.6531098104 +75 41 24.100328832|127.6320615671213 +40.9040987133577|    0.261 1.987    |10.52    |A                 |    ~     ~    |    1|  437.579   pc  |  -2.8530     +2.8530  |paral   |2020yCat.1350....0G
89  |HD 102478                                                                                                |Star                                |11 48 16.2318976032 +75 31 09.353090532|128.1027190031280 +40.9684930164146| -24.593 -8.398    |9.94     |G0                |    ~     ~    |    1|  168.856   pc  |  -2.9824     +2.9824  |paral   |2020yCat.1350....0G
90  |HD 102855                                                                                                |High Proper Motion Star             |11 50 55.5840843216 +75 21 21.685984092|127.9606625713198 +41.1759721325314|-56.957 -28.898    |8.01     |F0                |    ~     ~    |    1|  144.498   pc  |  -0.3696     +0.3696  |paral   |2020yCat.1350....0G
91  |HD 102090                                                                                                |Star                                |11 45 39.1318148928 +74 48 00.958888872|128.6280362593304 +41.5923618720970| -4.611 -18.895    |10.65    |G5                |    ~     ~    |    1|  297.867   pc  |  -1.0558     +1.0558  |paral   |2020yCat.1350....0G
92  |HD 102193                                                                                                |Star                                |11 46 28.8148060128 +74 53 06.422424756|128.5219149280561 +41.5305205520748|   -7.490 2.168    |10.88    |K                 |    ~     ~    |    1|  386.518   pc  |  -1.5985     +1.5985  |paral   |2020yCat.1350....0G
93  |HD 102261                                                                                                |Star                                |11 46 49.6555913640 +75 05 29.811339060|128.4023985569570 +41.3431205622121| 11.992 -13.012    |9.55     |K0                |    ~     ~    |    1|  579.811   pc  |  -4.5721     +4.5721  |paral   |2020yCat.1350....0G
94  |HD 102425                                                                                                |Star                                |11 48 00.5686665912 +75 00 54.853102116|128.3397048538232 +41.4402229969269|   2.062 -0.841    |10.30    |K0                |    ~     ~    |    1|  773.694   pc  |  -7.2431     +7.2431  |paral   |2020yCat.1350....0G
95  |BD+75 460a                                                                                               |Star                                |11 53 51.5394711144 +74 30 07.077837996|128.0641168228954 +42.0476045855583| -11.291 -0.298    |10.20    |A2                |    ~     ~    |    1|  745.990   pc  |  -6.8450     +6.8450  |paral   |2020yCat.1350....0G
