C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
2180|HD 214235                                                             |Star                          |22 38 02.7086000880 -55 28 17.784513012|333.9938030042324 -52.8499732048846|  13.326 -6.009   |7.90     |K2III           |    ~     ~    
2181|CD-56 8603                                                            |Star                          |22 40 13.8755358816 -55 41 05.557661844|333.4053226997679 -52.9723911496830| -10.767 -7.141   |10.308   |~               |    ~     ~    
2182|HD 214603                                                             |High Proper Motion Star       |22 40 27.0230231448 -55 33 04.752017496|333.5523952255230 -53.0771260219659| 43.445 -38.787   |9.46     |F5V             |    ~     ~    
2183|CPD-56 9929                                                           |Spectroscopic Binary          |22 41 06.4555658808 -55 26 03.770427912|333.6156403905137 -53.2216934655081| -57.404 -0.304   |10.57    |~               |    ~     ~    
2184|CD-56 8620                                                            |Star                          |22 42 55.0843597776 -55 30 06.218572068|333.2665245434742 -53.3855308714453|  -7.246 -2.441   |9.66     |~               |    ~     ~    
2185|CD-56 8626                                                            |High Proper Motion Star       |22 43 49.6456329168 -55 42 16.110287640|332.8660039933598 -53.3630355826105| 70.867 -12.931   |9.88     |~               |    ~     ~    
2186|CD-56 8619                                                            |Double or Multiple Star       |22 42 48.6709619555 -56 09 45.224313472|332.4107323800223 -52.9685685154018|     -4.8 -39.7   |10.40    |~               |    ~     ~    
2187|CD-56 8621                                                            |Star                          |22 43 09.0896799648 -55 57 16.716971808|332.6342436712939 -53.1342074069165|  -11.439 0.883   |10.75    |~               |    ~     ~    
2188|HD 215170                                                             |Star                          |22 44 28.9155774864 -56 17 33.369106416|332.0013422359645 -53.0694356280204| 29.845 -21.828   |8.82     |F0V             |    ~     ~    
2189|HD 215205                                                             |Star                          |22 44 36.8656466016 -56 09 46.906432488|332.1504606942938 -53.1649257191192| -7.776 -12.651   |8.78     |K2IVCNII/III    |    ~     ~    
2190|CD-56 8631                                                            |Star                          |22 44 59.3933310360 -55 52 38.301838500|332.4689416876345 -53.3842906461095|  -10.560 5.765   |9.48     |~               |    ~     ~    
2191|CD-57 8595                                                            |High Proper Motion Star       |22 37 28.6212596544 -56 29 48.549329880|332.7141388009407 -52.1784333538385| 24.006 -53.013   |10.27    |~               |    ~     ~    
2192|CD-57 8600                                                            |Star                          |22 39 07.5074629752 -56 25 14.040631236|332.5896428215926 -52.4061285731863|   6.668 -4.522   |10.18    |~               |    ~     ~    
2193|CPD-57 10117                                                          |Double or Multiple Star       |22 40 24.0761417040 -56 35 19.379869152|332.1950944738966 -52.4433688632154|   20.907 5.649   |9.85     |~               |    ~     ~    
2194|HD 214648                                                             |Double or Multiple Star       |22 40 49.9524409752 -57 06 11.098222056|331.4738663565059 -52.1720841496018| 13.297 -17.511   |8.90     |K1III           |0.0067  0.0    
2195|CD-57 8609                                                            |Star                          |22 40 59.9218099008 -56 32 58.555759524|332.1628185120769 -52.5323339512174|  13.540 -4.717   |10.30    |~               |    ~     ~    
2196|HD 214708                                                             |Variable Star                 |22 41 15.4580807784 -57 01 41.651879592|331.5107681638241 -52.2638946949721|  -13.962 3.430   |7.24     |M1/2III         |    ~     ~    
2197|HD 214760                                                             |Star                          |22 41 33.5688260184 -56 52 12.398721024|331.6713518858881 -52.3945346858760|  5.139 -14.006   |9.69     |A9/F0IV/V       |    ~     ~    
2198|HD 214845                                                             |High Proper Motion Star       |22 42 08.5614001056 -57 02 24.066522708|331.3726682262755 -52.3505248503389|   53.017 6.265   |8.72     |G8III           |    ~     ~    
2199|CD-57 8618                                                            |Star                          |22 42 38.7661736976 -56 22 02.313945336|332.1675834777724 -52.8238925801686|-37.081 -18.872   |9.52     |~               |    ~     ~    
2200|CPD-57 10128                                                          |Star                          |22 43 20.4741483456 -56 31 36.844999680|331.8620178942259 -52.7997396347229|  15.320 -0.022   |10.96    |~               |    ~     ~    
2201|CD-57 8623                                                            |Star                          |22 43 50.0838410808 -56 46 42.256455060|331.4683020867699 -52.6946074998318| 23.042 -17.647   |10.55    |~               |    ~     ~    
2202|CPD-57 10133                                                          |Star                          |22 44 46.0998557376 -57 02 13.163339040|331.0054612543578 -52.6290233675080|   8.475 10.261   |10.503   |~               |    ~     ~    
2203|HD 215239                                                             |Star                          |22 44 49.9967476128 -56 49 37.312472280|331.2632190265724 -52.7696026767273|  14.783 -4.539   |7.08     |K2III           |    ~     ~    
2204|HD 215247                                                             |Star                          |22 44 59.0836937448 -56 41 41.764979868|331.4102360206954 -52.8695353702809| -13.208 -0.702   |8.49     |F8/G0V          |    ~     ~    
2205|CD-56 8591                                                            |High Proper Motion Star       |22 37 09.1444881792 -56 07 41.584927692|333.2418588465817 -52.3617588738506| 41.363 -41.489   |10.69    |~               |    ~     ~    
2206|CD-56 8623                                                            |Star                          |22 43 31.2508901016 -55 39 27.039410280|332.9725831973154 -53.3577981047587|  12.090 -8.742   |10.466   |~               |    ~     ~    
2207|CD-57 8601                                                            |Star                          |22 39 20.8710963744 -57 01 36.781170924|331.7745981043817 -52.0606024168999|   13.224 2.380   |10.33    |~               |    ~     ~    
2208|CD-56 8624                                                            |Star                          |22 43 35.4098464416 -55 56 19.979770272|332.5917401653455 -53.1922606523057| 20.667 -16.960   |10.44    |~               |    ~     ~    
2209|GSC 08823-01255                                                       |Double or Multiple Star       |22 41 37.6372764504 -54 59 01.674727692|334.1474392274075 -53.5502068545665|  26.068 20.315   |10.909   |~               |    ~     ~    
2210|TYC 8826-71-1                                                         |Star                          |22 40 05.4542731824 -56 55 04.267227432|331.8130884635772 -52.2075073187985|  17.931 -5.185   |10.606   |~               |    ~     ~    
2211|TYC 8826-158-1                                                        |Star                          |22 44 46.0936622376 -56 50 47.074704576|331.2478464654928 -52.7504161378929|  26.073 -4.346   |10.578   |~               |    ~     ~    
2212|TYC 8826-227-1                                                        |Star                          |22 40 02.0476589616 -56 46 31.448445960|332.0043231846771 -52.2890183037268|  -16.988 7.420   |10.814   |~               |    ~     ~    
2213|TYC 8826-293-1                                                        |Star                          |22 43 27.5308649256 -56 42 02.422617516|331.6215066743510 -52.7034773772666|  19.524 -3.563   |10.480   |~               |    ~     ~    
2214|TYC 8826-345-1                                                        |High Proper Motion Star       |22 42 31.0808387256 -57 09 46.358473896|331.1638808649857 -52.3129336095602| 74.403 -42.118   |10.46    |~               |    ~     ~    
2215|TYC 8826-1627-1                                                       |Star                          |22 38 06.9566650752 -56 43 27.575208876|332.3318593572936 -52.1116974825605|  42.018 10.514   |10.84    |~               |    ~     ~    
2216|CD-53 9205                                                            |Star                          |22 42 18.3999416808 -53 02 45.675916404|336.7417565558573 -54.7575262638275| -1.331 -15.138   |10.288   |~               |    ~     ~    
2217|HD 215147                                                             |High Proper Motion Star       |22 44 09.1623814920 -52 24 33.768102780|337.3820863570973 -55.3481989014938|  50.215 17.700   |9.04     |A1mA5-A9        |    ~     ~    
2218|HD 214536                                                             |Star                          |22 39 54.5542771560 -54 07 35.221458612|335.5685296942668 -53.8490521429867|   0.303 -3.312   |9.17     |A0V             |    ~     ~    
2219|CD-54 9319                                                            |Star                          |22 43 31.2311045064 -53 52 03.904764024|335.4030152363154 -54.4314279650354|  14.298 14.249   |10.14    |~               |    ~     ~    
2220|CD-54 9321                                                            |Star                          |22 44 10.9776737688 -53 44 12.333216984|335.4869781372158 -54.5874683486657| 10.133 -11.328   |10.18    |~               |    ~     ~    
2221|TYC 8823-482-1                                                        |Star                          |22 44 44.6748663600 -53 41 17.909971944|335.4703112367619 -54.6831737058568| -1.117 -10.583   |10.34    |~               |    ~     ~    
2222|GSC 08823-00925                                                       |Double or Multiple Star       |22 43 03.0235676832 -53 36 32.833619892|335.8344726338635 -54.5256735387303|  8.874 -13.608   |10.784   |~               |    ~     ~    
2223|TYC 8823-1231-1                                                       |Star                          |22 44 09.1489504296 -54 37 17.853210120|334.2707488682867 -54.0584082368577|  -9.873 -5.785   |10.849   |~               |    ~     ~    
2224|CD-55 9101                                                            |Star                          |22 30 18.8125567656 -54 54 15.653626812|335.7886237553927 -52.2595874214391| 15.857 -24.738   |9.81     |~               |    ~     ~    
2225|CD-56 8569                                                            |Star                          |22 31 48.6666288672 -55 34 39.835517628|334.6809864784751 -52.0662759528097|  16.753 13.222   |9.80     |~               |    ~     ~    
2226|HD 213414                                                             |Star                          |22 32 22.7868670032 -55 36 53.742996000|334.5574754759480 -52.1118486045056|  -16.748 3.898   |9.37     |F3V             |    ~     ~    
2227|HD 213685                                                             |Star                          |22 34 24.7632666000 -55 19 22.601941644|334.6849238755916 -52.5145651547667|   -4.762 6.355   |8.25     |K5III           |    ~     ~    
2228|HD 213701                                                             |Star                          |22 34 33.8865423456 -55 15 15.074113248|334.7578074922929 -52.5714111487603|  10.535 -9.843   |8.98     |K0III           |    ~     ~    
2229|HD 213830                                                             |Double or Multiple Star       |22 35 25.9820338920 -55 11 02.913336384|334.7366911975275 -52.7130937280197|   -1.340 1.070   |7.70     |G8/K0III        |0.0050  0.0    
2230|CD-55 9120                                                            |Star                          |22 35 29.8778013888 -54 52 57.475053552|335.1384306448110 -52.8919969652745|  18.926 -3.771   |10.407   |~               |    ~     ~    
2231|HD 213905                                                             |Star                          |22 35 50.3320281264 -55 03 09.734033376|334.8605282579562 -52.8356919489262|  26.485 -3.119   |8.08     |K3III           |    ~     ~    
2232|HD 213941                                                             |High Proper Motion Star       |22 36 07.7033310025 -54 36 38.230735408|335.4259858872967 -53.1207480970149|362.190 -261.447  |7.58     |G8VFe-1.3       |    ~     ~    
2233|CD-56 8579                                                            |Star                          |22 33 49.1208901800 -55 36 49.455647712|334.3713634511158 -52.2799573952599|  -48.600 3.452   |10.236   |~               |    ~     ~    
2234|HD 213400                                                             |Star                          |22 32 18.5975447160 -55 56 07.663869456|334.1369219831107 -51.9225041668656|-25.814 -15.368   |9.27     |F5IV            |    ~     ~    
2235|CD-56 8575                                                            |Star                          |22 32 32.8074158640 -55 57 55.411596720|334.0664305659321 -51.9327628110027|   7.768 -2.776   |9.94     |~               |    ~     ~    
2236|HD 213459                                                             |Star                          |22 32 42.7621158624 -55 59 14.099288748|334.0158481107559 -51.9393819262263| 11.135 -12.247   |8.58     |G6III           |    ~     ~    
2237|CD-55 9103                                                            |Star                          |22 31 44.5672252968 -54 35 02.375689596|336.0458260823797 -52.6068277217862|  -0.509 -7.523   |9.82     |~               |    ~     ~    
2238|CD-56 8568                                                            |Star                          |22 31 47.3983697232 -55 53 17.134303524|334.2670750321384 -51.8892712549646|-13.309 -12.637   |10.83    |~               |    ~     ~    
2239|CD-55 9107                                                            |Star                          |22 32 38.3786283216 -54 29 43.628326368|336.0512063248314 -52.7641439452815|   12.085 3.651   |10.24    |~               |    ~     ~    
2240|CD-55 9119                                                            |Star                          |22 35 26.4262765032 -54 46 05.736774792|335.3027436386427 -52.9497484869343| 15.371 -12.424   |10.844   |~               |    ~     ~    
2241|TYC 8823-1104-1                                                       |Star                          |22 33 54.6288775152 -54 31 12.808287804|335.8490785586206 -52.9046008873538|  13.299 -9.698   |10.577   |~               |    ~     ~    
2242|TYC 8823-1430-1                                                       |Star                          |22 35 20.0277204984 -54 26 08.382472476|335.7751050341757 -53.1234900253409|   6.116 -9.362   |10.63    |~               |    ~     ~    
2243|CD-54 9271                                                            |Star                          |22 30 28.1382366288 -54 04 26.984060760|336.9193881512160 -52.7240438771726|  -23.883 0.189   |10.14    |~               |    ~     ~    
2244|V* DR Gru                                                             |delta Sct Variable            |22 34 18.6654524952 -54 17 52.521494856|336.1035741592335 -53.0759116740011| 23.456 -21.088   |7.42     |F0VkA2.5mA2.5_lB|    ~     ~    
2245|HD 213139                                                             |Star                          |22 30 26.5529932880 -51 33 08.254964911|340.5626471663845 -54.0029370979942|   5.826 10.594   |8.82     |G3/5III         |    ~     ~    
2246|CD-52 10211                                                           |Star                          |22 34 16.9516956528 -51 28 33.221229384|340.1706636414743 -54.5600578388506| 21.929 -18.906   |10.029   |F5              |    ~     ~    
2247|CD-52 10217                                                           |High Proper Motion Star       |22 36 03.5099485824 -51 38 13.153206588|339.6886324669214 -54.7160372353481| 273.473 79.365   |9.56     |G2V             |    ~     ~    
2248|CPD-52 12034                                                          |Star                          |22 31 55.0834958424 -52 06 13.677576444|339.5561441734814 -53.9283830520304|  15.618 15.436   |10.98    |~               |    ~     ~    
2249|CPD-52 12035                                                          |Star                          |22 31 57.5070935952 -52 06 52.362365400|339.5350723377394 -53.9283379883085|  28.115 -4.285   |9.77     |~               |    ~     ~    
2250|CD-54 9269                                                            |Star                          |22 30 04.1537300160 -53 31 41.302562160|337.7402393427648 -52.9602780676720|    8.923 5.824   |9.55     |~               |    ~     ~    
2251|V* CU Gru                                                             |Long-Period Variable Candidate|22 31 33.2687400768 -53 22 57.030474972|337.7552473239709 -53.2248743108942|  13.495 -6.987   |8.28     |M4III           |    ~     ~    
2252|CD-54 9276                                                            |Star                          |22 32 14.1011320344 -53 25 50.406173652|337.5976792586683 -53.2858669992398|  24.246 12.711   |10.231   |~               |    ~     ~    
2253|CD-52 10228                                                           |Star                          |22 38 41.9519427552 -52 10 29.482798620|338.5250719117478 -54.7807785292461|  7.508 -36.597   |10.289   |~               |    ~     ~    
2254|HD 214777                                                             |High Proper Motion Star       |22 41 31.3297446168 -51 54 10.723111164|338.5158974568344 -55.2929758452560| 50.242 -36.455   |9.58     |F5V             |    ~     ~    
2255|CD-53 9167                                                            |Star                          |22 35 26.2282014792 -53 01 54.418684332|337.7381289947491 -53.9037450933285|   7.595 -5.318   |9.54     |~               |    ~     ~    
2256|HD 214034                                                             |Star                          |22 36 38.4155568864 -53 07 36.820704828|337.4365339110696 -54.0047260937147|  -13.726 4.993   |8.73     |K0III           |    ~     ~    
2257|CD-53 9183                                                            |Spectroscopic Binary          |22 37 43.8077486808 -52 52 33.668550372|337.6443710820182 -54.2785910132355|-142.283 -79.887  |9.97     |K5V             |    ~     ~    
2258|HD 214276                                                             |Star                          |22 38 02.3678282808 -52 46 14.505724740|337.7525566261336 -54.3750088618188|  -4.432 -9.934   |8.06     |K3III           |    ~     ~    
2259|V* CC Gru                                                             |delta Sct Variable            |22 39 08.4012581328 -52 41 31.098996708|337.7100830230443 -54.5576217705187|  -3.455 -7.914   |6.651    |F3II/III        |    ~     ~    
2260|CD-53 9199                                                            |Star                          |22 40 46.0420749360 -53 14 15.655044408|336.6939009319568 -54.4587814565651| 27.657 -18.344   |10.12    |~               |    ~     ~    
2261|CD-53 9206                                                            |High Proper Motion Star       |22 42 39.0253587120 -52 30 42.591442716|337.4590305449252 -55.1013450201545|-67.248 -37.883   |10.11    |~               |    ~     ~    
2262|CPD-54 10100                                                          |High Proper Motion Star       |22 34 56.2738784640 -53 36 26.253821412|336.9867886258552 -53.5307995124067| 59.165 -25.310   |10.427   |~               |    ~     ~    
2263|CD-54 9291                                                            |Double or Multiple Star       |22 35 10.5764 -53 36 42.217            |336.9482027 -53.5580766            |    -13.2 -12.2   |9.93     |~               |    ~     ~    
2264|HD 213883                                                             |Double or Multiple Star       |22 35 36.3427380720 -53 24 24.627325536|337.1799256885823 -53.7229470679428|  8.908 -57.390   |9.38     |G5/8V           |0.0033  0.0    
2265|CD-54 9296                                                            |Star                          |22 36 58.0751833728 -53 24 57.972439656|336.9792761140806 -53.8880268157187|   -5.155 7.050   |10.13    |~               |    ~     ~    
2266|CD-54 9302                                                            |Star                          |22 38 17.7693102696 -53 21 28.071790560|336.8763575941005 -54.0854057668441|   6.091 -0.812   |9.57     |~               |    ~     ~    
2267|HD 214390                                                             |Star                          |22 38 45.7782745982 -53 43 53.150524264|336.2828574936681 -53.9344989566073|  21.816 -0.769   |7.88     |F3V             |    ~     ~    
2268|HD 214293                                                             |Star                          |22 38 15.8169516960 -53 57 05.542379244|336.0447218884047 -53.7497495078159|   27.167 3.441   |8.95     |G8III           |    ~     ~    
2269|CD-53 9149                                                            |Star                          |22 30 00.1640914776 -53 12 57.576927924|338.1933047254871 -53.1129731985176| 12.893 -18.087   |10.51    |~               |    ~     ~    
2270|CD-52 10195                                                           |Star                          |22 31 25.4379742920 -52 04 35.183606592|339.6609179846519 -53.8764391228412|  -0.674 -5.146   |9.89     |~               |    ~     ~    
2271|CD-53 9154                                                            |Star                          |22 31 49.8860563680 -53 00 30.005792172|338.2540178414022 -53.4551864133885|   0.917 -8.638   |10.565   |~               |    ~     ~    
2272|CD-54 9279                                                            |Star                          |22 32 42.1406231352 -53 23 56.508402048|337.5810859464357 -53.3617060046914|  33.547 -5.421   |10.558   |~               |    ~     ~    
2273|CD-52 10216                                                           |Spectroscopic Binary          |22 35 36.5699221008 -52 17 35.457590400|338.7836162149060 -54.3167743367183| 27.724 -22.563   |10.69    |~               |    ~     ~    
2274|CD-53 9173                                                            |Star                          |22 36 23.2214868840 -52 30 35.772346692|338.3607229716119 -54.3033874319582|   0.295 16.295   |10.27    |~               |    ~     ~    
2275|CD-53 9176                                                            |Star                          |22 36 30.3302093952 -52 34 48.222852888|338.2425411506416 -54.2813826150092| 14.187 -19.021   |9.93     |~               |    ~     ~    
2276|CPD-52 12045                                                          |Star                          |22 36 32.1579764688 -52 16 03.468695808|338.6932038567219 -54.4507905177730|  -22.170 3.700   |10.90    |~               |    ~     ~    
2277|CD-53 9178                                                            |Star                          |22 36 47.8278299016 -53 18 21.021841728|337.1596010668100 -53.9270539617608| -0.063 -12.647   |10.22    |~               |    ~     ~    
2278|CD-53 9179                                                            |Star                          |22 36 57.0401241288 -52 24 45.098055000|338.4241595709297 -54.4278624894740|  -23.394 1.902   |10.80    |~               |    ~     ~    
2279|CD-52 10223                                                           |Star                          |22 37 43.5228195576 -51 41 36.589425180|339.3724794271789 -54.9078955294624|   -0.235 2.744   |10.314   |~               |    ~     ~    
2280|CD-54 9299                                                            |Star                          |22 37 43.5812519400 -53 38 53.835731448|336.5454246989739 -53.8537358309364|   2.838 -2.303   |10.27    |~               |    ~     ~    
2281|CD-54 9306                                                            |Star                          |22 39 12.3372178056 -53 36 12.493749744|336.4002238191946 -54.0606450171786|  30.621 -3.607   |10.25    |~               |    ~     ~    
2282|CD-53 9194                                                            |High Proper Motion Star       |22 39 35.7697138128 -52 55 19.094626632|337.3136922078883 -54.4888718931879| -65.758 -2.365   |10.512   |~               |    ~     ~    
2283|CD-53 9195                                                            |Star                          |22 40 09.2681606208 -53 00 05.576748660|337.1193719975177 -54.5147342222640|  25.308 -6.686   |10.693   |~               |    ~     ~    
2284|CD-52 10233                                                           |Star                          |22 40 22.2621443616 -52 12 47.765775096|338.2285990548542 -54.9757750278325|   8.970 -0.931   |10.916   |~               |    ~     ~    
2285|CD-53 9197                                                            |Star                          |22 40 29.1692134344 -53 08 35.903789772|336.8689690997787 -54.4769335656847|-27.856 -29.534   |10.938   |~               |    ~     ~    
2286|CD-52 10208                                                           |Double or Multiple Star       |22 33 58.015200 -51 48 42.70932        |339.714241766 -54.348240960        |      1.9 -12.2   |10.347   |~               |    ~     ~    
2287|TYC 8452-17-1                                                         |High Proper Motion Star       |22 35 12.1793350320 -51 52 35.418400104|339.4512712399016 -54.4794190529779|-13.057 -51.616   |10.86    |~               |    ~     ~    
2288|TYC 8452-703-1                                                        |Star                          |22 44 23.9264805888 -52 00 47.998843740|337.9228051355672 -55.6018869206924| -22.932 -4.095   |10.63    |~               |    ~     ~    
2289|TYC 8452-891-1                                                        |Star                          |22 37 20.5074397488 -52 25 06.946225032|338.3607142338807 -54.4751176408457|  11.273 -8.738   |10.80    |~               |    ~     ~    
2290|TYC 8823-21-1                                                         |Star                          |22 40 47.0439396336 -52 48 26.466894756|337.3069014403403 -54.7016270306571|  10.621 -7.489   |10.98    |~               |    ~     ~    
2291|TYC 8823-614-1                                                        |Star                          |22 32 55.9945360800 -53 40 28.716476556|337.1599647222108 -53.2441918698943|-27.619 -21.398   |10.757   |~               |    ~     ~    
2292|TYC 8823-976-1                                                        |Star                          |22 41 41.5101769608 -53 07 08.528780712|336.7280548910297 -54.6400842754690| 23.780 -17.657   |10.71    |~               |    ~     ~    
2293|TYC 8823-1298-1                                                       |High Proper Motion Star       |22 34 50.1100793280 -53 52 38.114024520|336.6204762225828 -53.3710383876161| 51.060 -40.770   |10.856   |~               |    ~     ~    
2294|TYC 8823-1330-1                                                       |Star                          |22 31 40.3693 -53 48 57.390            |337.1262205 -53.0112119            |    0.637 3.352   |10.823   |~               |    ~     ~    
2295|TYC 8823-1352-1                                                       |Star                          |22 36 11.7998603904 -53 54 51.619468032|336.3832635547113 -53.5181486495036|  14.950 21.126   |10.835   |~               |    ~     ~    
2296|TYC 8823-1581-1                                                       |Star                          |22 34 20.0365215792 -54 12 33.505028028|336.2237391565208 -53.1274746599267| -7.392 -17.426   |10.785   |~               |    ~     ~    
2297|HD 213605                                                             |Star                          |22 33 37.5140961912 -51 23 08.525712264|340.3935893975329 -54.5164263396987|-26.990 -10.781   |8.40     |G8III           |    ~     ~    
2298|V* DD Gru                                                             |Long-Period Variable          |22 41 03.0468237264 -51 27 31.831458372|339.2439128673953 -55.4705777484079|  1.147 -17.773   |8.11     |M3III           |    ~     ~    
2299|CD-52 10229                                                           |Star                          |22 39 07.1773126752 -51 34 55.231286988|339.3401709101576 -55.1505560935054|   4.686 -4.940   |10.36    |~               |    ~     ~    
2300|CD-52 10234                                                           |Star                          |22 40 31.7712756768 -51 33 01.759077180|339.1834794694825 -55.3530970091637|   -3.162 0.933   |10.50    |~               |    ~     ~    
2301|CD-52 10247                                                           |Star                          |22 43 14.9290175640 -51 36 21.705810336|338.6983133342498 -55.6788491541348|   7.048 -6.458   |10.323   |~               |    ~     ~    
2302|HD 214356                                                             |Star                          |22 38 33.3672799200 -49 17 39.935381352|342.9265297128438 -56.2256981024114| 37.849 -26.399   |9.710    |F3V             |    ~     ~    
2303|CD-49 13921                                                           |High Proper Motion Star       |22 38 43.4948736768 -49 09 00.464331096|343.1308264396709 -56.3190465734888|-50.267 -48.460   |10.586   |G5              |    ~     ~    
2304|HD 213868                                                             |Star                          |22 35 26.1027911832 -50 09 20.917440432|342.0156625551109 -55.3688083896995|  31.330 16.127   |8.72     |G8/K0III        |    ~     ~    
2305|HD 213867                                                             |Star                          |22 35 26.0878778376 -50 01 49.391320476|342.2092741639427 -55.4291698430486|  -26.966 8.977   |9.03     |F6V             |    ~     ~    
2306|HD 213578                                                             |Star                          |22 33 25.7679068328 -50 59 13.896193920|341.0180839614169 -54.6864016946226|  16.918 -0.955   |9.537    |K0III           |    ~     ~    
2307|HD 213700                                                             |High Proper Motion Star       |22 34 18.9476802096 -50 48 13.484002500|341.1768239484060 -54.8980854455730|  185.348 2.808   |8.28     |K1III           |    ~     ~    
2308|HD 213881                                                             |Star                          |22 35 31.7093759760 -50 35 16.846349532|341.3403800709530 -55.1712791910508| 27.393 -16.867   |8.26     |K2/3III         |    ~     ~    
2309|CD-51 13329                                                           |Star                          |22 35 59.8112580840 -50 26 09.690168948|341.5084576485671 -55.3107860104817| -18.024 -0.376   |10.05    |F5              |    ~     ~    
2310|CD-50 13739                                                           |Star                          |22 37 22.6362815136 -49 31 45.292755468|342.7222356010678 -55.9447817445088|   36.877 4.600   |10.249   |~               |    ~     ~    
2311|CD-50 13743                                                           |Star                          |22 37 50.7770486880 -49 49 59.767619268|342.1820841484773 -55.8641581601419|   6.195 17.609   |10.247   |~               |    ~     ~    
2312|CD-50 13745                                                           |Star                          |22 38 02.5970018400 -49 30 24.996588156|342.6642623571768 -56.0502850753723|   8.951 -5.369   |10.162   |~               |    ~     ~    
2313|CD-49 13918                                                           |Star                          |22 38 27.6758844336 -49 07 28.188830820|343.2085329512260 -56.2933890798273|-31.358 -20.254   |10.650   |~               |    ~     ~    
2314|CD-49 13927                                                           |Star                          |22 40 10.4380985616 -49 16 53.039850348|342.7166936729743 -56.4628553771451|   14.266 0.115   |10.059   |~               |    ~     ~    
2315|CD-50 13757                                                           |High Proper Motion Star       |22 39 49.3544836560 -49 41 45.932968644|342.1155091064374 -56.2095288944494|  64.465 -9.953   |10.98    |G5              |    ~     ~    
2316|HD 214573                                                             |Red Giant Branch star         |22 40 07.1808004200 -49 35 53.755655460|342.2258544638912 -56.2996718561682| 77.596 -63.568   |7.37     |K1III           |    ~     ~    
2317|HD 214218                                                             |Double or Multiple Star       |22 37 46.5304855872 -50 03 59.964758532|341.8299889147745 -55.7399132832599| 26.080 -17.276   |8.23     |F2IV            |0.0017  0.0    
2318|HD 214416                                                             |Star                          |22 38 55.9629492048 -50 00 53.902161792|341.7465151045818 -55.9269851100924|  -10.916 5.785   |8.99     |K0(III)         |    ~     ~    
2319|CD-50 13758                                                           |Star                          |22 39 49.2452718240 -49 59 17.119874976|341.6610832828518 -56.0641106245522|  9.754 -17.176   |10.115   |~               |    ~     ~    
2320|HD 214988                                                             |High Proper Motion Star       |22 42 59.2849549608 -49 53 40.480607652|341.3410704013934 -56.5508565802952|  54.017 -0.859   |10.17    |G2/3(V)         |    ~     ~    
2321|CD-50 13781                                                           |Star                          |22 44 50.5692153048 -50 02 07.362465396|340.8407158316541 -56.7327681809373| -23.074 -8.437   |10.15    |~               |    ~     ~    
2322|HD 215266                                                             |Star                          |22 44 50.0524944912 -49 46 54.479587908|341.2369751250229 -56.8639978541216|   1.736 -7.763   |9.06     |K4/M0III(+G)    |    ~     ~    
2323|V* CZ Gru                                                             |Long-Period Variable          |22 39 28.2305064528 -50 40 53.290723260|340.6455449205013 -55.6651556526179| -0.783 -10.188   |7.80     |M2/3III         |    ~     ~    
2324|CD-51 13346                                                           |Long-Period Variable Candidate|22 40 29.1726550824 -51 14 36.578033844|339.6486963642610 -55.5099960205188| 42.757 -17.790   |9.35     |M4/5(III)       |    ~     ~    
2325|CD-51 13355                                                           |Star                          |22 42 37.6709970360 -50 26 46.047823152|340.5425777662927 -56.2160279784187|  28.498 21.291   |10.52    |~               |    ~     ~    
2326|HD 214989                                                             |Star                          |22 43 00.6389728968 -51 20 45.217167252|339.1219535207877 -55.7890859288214|  8.125 -37.803   |9.52     |F0V             |    ~     ~    
2327|CD-50 13752                                                           |Star                          |22 39 15.9159273720 -49 32 09.114841824|342.4461834932322 -56.2096418281556|   8.871 -4.251   |10.77    |~               |    ~     ~    
2328|CD-49 13935                                                           |Star                          |22 41 18.9863346768 -49 00 05.193338292|342.9953183267512 -56.7624885126875|   7.405 23.614   |10.69    |~               |    ~     ~    
2329|CD-50 13774                                                           |Star                          |22 43 34.7163457776 -49 41 06.674051508|341.5792604106456 -56.7400061617856|   17.947 5.613   |10.685   |~               |    ~     ~    
2330|CD-49 13947                                                           |Star                          |22 43 55.1918154432 -49 03 53.505197280|342.5077230900749 -57.1020889769455|   -5.003 1.364   |10.46    |~               |    ~     ~    
2331|CD-50 13777                                                           |Star                          |22 44 14.0760463680 -49 54 36.218881548|341.1285682632590 -56.7147694100429| -10.670 -6.423   |10.419   |~               |    ~     ~    
2332|CD-50 13778                                                           |Double or Multiple Star       |22 44 28.0711742280 -49 42 55.690731396|341.3968219374567 -56.8477532827056| 17.449 -19.525   |10.743   |~               |    ~     ~    
2333|CD-50 13779                                                           |Star                          |22 44 33.6155485896 -49 32 29.068154016|341.6558856454580 -56.9502481581691| -17.705 -9.909   |10.71    |~               |    ~     ~    
2334|CD-51 13327                                                           |Star                          |22 35 45.6506862456 -50 44 36.808289196|341.0718423375833 -55.1265401395410| -10.645 -4.786   |10.59    |~               |    ~     ~    
