C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
82  |HD 214986                                                             |High Proper Motion Star       |22 42 41.9552711640 -43 11 00.648588228|352.7800736657052 -59.4600652836302| 88.300 -12.397   |9.12     |G2V             |    ~     ~    
83  |CD-43 15146                                                           |Star                          |22 44 58.7493077064 -43 05 39.703986240|352.6445220411501 -59.8798778966926| -19.849 -1.728   |10.691   |F5              |    ~     ~    
84  |TYC 8007-135-1                                                        |Star                          |22 43 25.8358706496 -41 23 07.359194760|356.0566165773832 -60.1952928649798|  28.677 22.204   |10.247   |~               |    ~     ~    
85  |TYC 8007-773-1                                                        |Eclipsing Binary              |22 44 52.7513343552 -42 00 45.565048224|354.6849772471136 -60.2454163444848|  10.120 -5.125   |10.711   |~               |    ~     ~    
86  |TYC 8010-88-1                                                         |Star                          |22 41 26.2771272024 -42 47 11.510106756|353.6701301888612 -59.3839343788939| 12.682 -19.323   |10.99    |~               |    ~     ~    
87  |TYC 8010-357-1                                                        |Star                          |22 43 26.9079814464 -43 20 04.579328436|352.4050513839932 -59.5321652631194|    3.518 2.699   |10.61    |~               |    ~     ~    
88  |HD 213283                                                             |Star                          |22 31 04.7647243944 -39 39 07.517425320|000.5532385446733 -58.3935197153294|  7.516 -30.444   |9.76     |K1III           |    ~     ~    
89  |CD-40 14814                                                           |High Proper Motion Star       |22 31 41.3107632864 -39 41 23.295076800|000.4339636754713 -58.4996559796492|107.593 -22.360   |10.94    |G0              |    ~     ~    
90  |HD 213207                                                             |Star                          |22 30 25.4787318168 -39 54 30.458175156|000.1295685831149 -58.2146310901139|-12.944 -33.121   |10.028   |G3V             |    ~     ~    
91  |HD 213399                                                             |Star                          |22 31 40.5685411656 -39 58 43.848615936|359.8963737971038 -58.4325717250657| -9.078 -24.972   |7.87     |G8III           |    ~     ~    
92  |HD 213795                                                             |Star                          |22 34 43.0065827952 -40 03 59.899888872|359.4685120759339 -58.9777129758305|  10.439 -4.646   |8.19     |K2III           |    ~     ~    
93  |HD 213903                                                             |High Proper Motion Star       |22 35 16.9948083240 -39 48 26.137659240|359.9075776140926 -59.1453850159946|  46.698 20.526   |9.73     |G3/5V           |    ~     ~    
94  |HD 214354                                                             |Star                          |22 38 13.2564543504 -40 17 04.541522964|358.7248020065728 -59.5703031245569|   0.569 -3.083   |10.94    |B9III/IV        |    ~     ~    
95  |HD 214776                                                             |High Proper Motion Star       |22 41 03.9853215744 -40 10 28.570991304|358.6468789955504 -60.1230479838926| 18.309 -51.652   |9.86     |G2/3V           |    ~     ~    
96  |HD 213206                                                             |Star                          |22 30 24.0283986456 -37 23 53.091359016|004.8450848697767 -58.6792986280507| -16.100 12.513   |9.34     |F7V             |    ~     ~    
97  |HD 213229                                                             |Star                          |22 30 35.4983887968 -39 09 57.096188172|001.4982242876208 -58.4031519002929|   2.396 -2.496   |9.83     |K2/3(III)       |    ~     ~    
98  |HD 213266                                                             |Spectroscopic Binary          |22 30 55.0884401376 -39 07 46.343257392|001.5417704179348 -58.4724829147782| 23.543 -28.447   |10.29    |K1/2(III)       |    ~     ~    
99  |HD 213514                                                             |High Proper Motion Star       |22 32 33.8347182432 -39 02 48.059648628|001.5724502504551 -58.8020221189383| 50.353 -14.261   |9.46     |G8III           |    ~     ~    
100 |HD 213456                                                             |High Proper Motion Star       |22 32 05.3366533056 -39 25 32.420043624|000.8961507694428 -58.6324110283945|-59.009 -26.601   |9.77     |F7V             |    ~     ~    
101 |CD-38 15087                                                           |High Proper Motion Star       |22 31 42.6223720080 -38 04 17.485309488|003.4825605961662 -58.8243626092724|-48.614 -28.409   |10.51    |~               |    ~     ~    
102 |CD-39 14741                                                           |Star                          |22 32 06.3731551200 -38 48 20.598550488|002.0624661652754 -58.7634610367171|  13.313 -9.833   |10.62    |~               |    ~     ~    
103 |CD-38 15089                                                           |Star                          |22 32 07.2007110192 -38 08 14.483013720|003.3296423522371 -58.8919922655532|  39.179 19.062   |10.666   |~               |    ~     ~    
104 |CD-37 14817                                                           |Star                          |22 30 33.6815652768 -37 21 13.240832148|004.9202162132586 -58.7176339863626|  -6.971 -6.849   |10.42    |~               |    ~     ~    
105 |CD-38 15081                                                           |High Proper Motion Star       |22 30 36.3228919728 -38 04 55.995710268|003.5350831568718 -58.6083568600172| 88.882 -18.811   |10.81    |~               |    ~     ~    
106 |HD 213808                                                             |Star                          |22 34 41.8289792832 -37 26 10.055081256|004.5056142294574 -59.5152994740188|  -11.181 5.351   |9.51     |F3V             |    ~     ~    
