C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:38:06

dec >=0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4307

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
61  |TYC 4567-1105-1                                                                                                                             |Star                                |16 38 48.1800969816 +75 53 03.702177168|108.6544115845134 +34.1203707642617|   4.851 -0.463    |10.84    |~                  |    ~     ~    |    1|  359.699   pc  |  -1.5526     +1.5526  |paral   |2020yCat.1350....0G
62  |TYC 4567-1199-1                                                                                                                             |Star                                |16 34 48.2651018376 +75 18 04.453564860|108.1535146106325 +34.6008904662751| -1.064 -14.182    |10.79    |~                  |    ~     ~    |    1|  506.894   pc  |  -2.5180     +2.5180  |paral   |2020yCat.1350....0G
63  |TYC 4567-1248-1                                                                                                                             |Star                                |16 30 03.9614331600 +76 01 26.281467732|109.0966449372950 +34.5291309848201|   3.676 -5.318    |10.43    |~                  |    ~     ~    |    1|  298.588   pc  |  -1.3641     +1.3641  |paral   |2020yCat.1350....0G
64  |TYC 4567-1451-1                                                                                                                             |Star                                |16 33 27.7125284952 +76 15 58.823110764|109.2412842573286 +34.2361790301780|   1.947 -4.231    |10.78    |~                  |    ~     ~    |    1| 1336.541   pc  | -18.5780    +18.5780  |paral   |2020yCat.1350....0G
65  |TYC 4568-565-1                                                                                                                              |High Proper Motion Star             |16 42 43.4030223048 +76 44 13.650810684|109.4596341385901 +33.5428223653117| -38.191 83.834    |10.34    |~                  |    ~     ~    |    1|  204.169   pc  |  -0.6753     +0.6753  |paral   |2020yCat.1350....0G
66  |TYC 4568-703-1                                                                                                                              |Star                                |16 41 34.2199069488 +76 26 06.676562328|109.1664782724647 +33.7327383080008| 14.364 -18.675    |10.21    |~                  |    ~     ~    |    1|  179.788   pc  |  -0.5010     +0.5010  |paral   |2020yCat.1350....0G
67  |TYC 4568-931-1                                                                                                                              |Star                                |16 42 13.2269273328 +76 18 21.945628116|109.0064561698928 +33.7533624937967|  -2.635 16.839    |10.39    |~                  |    ~     ~    |    1|  445.434   pc  |  -2.7778     +2.7778  |paral   |2020yCat.1350....0G
68  |TYC 4568-1219-1                                                                                                                             |Star                                |16 43 55.7031545568 +76 15 06.209008416|108.8957925032282 +33.6845079472237|   0.800 -8.792    |10.89    |~                  |    ~     ~    |    1|  908.595   pc  |  -9.7414     +9.7414  |paral   |2020yCat.1350....0G
69  |TYC 4568-1553-1                                                                                                                             |High Proper Motion Star             |16 43 46.8725779512 +76 04 36.420033504|108.7091204263399 +33.7656072322368| -29.899 57.187    |10.90    |~                  |    ~     ~    |    1|  207.857   pc  |  -0.4277     +0.4277  |paral   |2020yCat.1350....0G
70  |TYC 4568-1684-1                                                                                                                             |Star                                |16 42 47.0723010432 +75 14 16.456621632|107.8199057079904 +34.1701680523566|  -1.105 -1.916    |10.66    |~                  |    ~     ~    |    1| 2042.067   pc  | -96.3278    +96.3278  |paral   |2020yCat.1350....0G
