C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:20:27

Vmag< 11&dec >=0&rah >=23.25&rah< 23.5
--------------------------------------

Number of objects : 4862

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------
97  |TYC 3636-1730-1                                                       |Star                           |23 16 52.5833670936 +45 04 16.564063224|105.9114786647944 -14.6525602057636|  -0.141 -3.307  |10.14    |~                    |    ~     ~    
98  |TYC 3636-1760-1                                                       |Star                           |23 17 08.1953931312 +45 20 34.836682380|106.0588627508133 -14.4167838731554| 29.625 -20.294  |10.95    |~                    |    ~     ~    
99  |TYC 3636-1780-1                                                       |Star                           |23 17 24.9419690448 +46 29 20.453309304|106.5376895880970 -13.3681503610782|  -9.145 -4.959  |10.23    |~                    |    ~     ~    
100 |TYC 3636-1798-1                                                       |Star                           |23 21 58.6302852168 +46 33 13.513260924|107.3152558536967 -13.5875136967229|   3.348 -1.123  |10.78    |~                    |    ~     ~    
101 |TYC 3636-1802-1                                                       |Star                           |23 15 28.0518130392 +46 31 57.841167108|106.2340318540127 -13.2040596409361| -10.829 -6.163  |10.98    |~                    |    ~     ~    
102 |TYC 3636-1823-1                                                       |Star                           |23 15 37.2657719280 +46 47 46.484120148|106.3595869242170 -12.9691621553690|   4.388 -4.644  |10.61    |~                    |    ~     ~    
103 |TYC 3636-1839-1                                                       |Star                           |23 16 52.9942981176 +46 47 59.635143852|106.5670575255509 -13.0453768153824|  14.049 -3.554  |9.69     |~                    |    ~     ~    
104 |TYC 3636-1860-1                                                       |Star                           |23 15 12.8011377408 +46 21 36.335914020|106.1262426523813 -13.3479899946464|-21.890 -12.852  |10.94    |~                    |    ~     ~    
105 |TYC 3636-1984-1                                                       |Star                           |23 15 09.3647769936 +46 32 06.314133552|106.1838701862500 -13.1819354108849|   14.597 2.140  |10.35    |~                    |    ~     ~    
106 |TYC 3636-2027-1                                                       |Star                           |23 17 04.1531776032 +46 02 53.790679068|106.3145242182669 -13.7564452562370|   1.918 -9.506  |10.73    |~                    |    ~     ~    
107 |TYC 3636-2051-1                                                       |Star                           |23 18 18.0153682368 +46 28 33.834438552|106.6786929672750 -13.4355320012793| -2.360 -15.375  |10.33    |~                    |    ~     ~    
108 |TYC 3636-2074-1                                                       |Star                           |23 19 10.4929160808 +46 45 48.066251292|106.9289564640347 -13.2215582676198|  4.716 -13.706  |10.45    |~                    |    ~     ~    
109 |TYC 3636-2077-1                                                       |Star                           |23 18 01.6676222688 +46 31 11.327695896|106.6500500405274 -13.3777720825860|  -2.394 -3.201  |10.65    |~                    |    ~     ~    
110 |TYC 3636-2080-1                                                       |Star                           |23 19 42.9711137544 +46 38 30.593001696|106.9734078859563 -13.3682157426161|   0.728 -3.559  |10.31    |~                    |    ~     ~    
111 |TYC 3636-2108-1                                                       |High Proper Motion Star        |23 15 33.2388936600 +46 49 31.454518728|106.3597412758344 -12.9378242814361| 70.560 -30.588  |10.50    |~                    |    ~     ~    
112 |TYC 3636-2146-1                                                       |Star                           |23 23 34.1121662544 +45 58 00.192723564|107.3719221647941 -14.2334536569585|    3.113 1.936  |10.27    |~                    |    ~     ~    
113 |TYC 3636-2185-1                                                       |Star                           |23 18 25.8584914392 +46 10 34.021205652|106.5887300695843 -13.7233357631727|  -1.920 -3.988  |10.76    |~                    |    ~     ~    
114 |TYC 3636-2308-1                                                       |Star                           |23 19 48.8610533400 +46 43 06.441552552|107.0176251654201 -13.3026134147986|  3.641 -14.963  |10.64    |~                    |    ~     ~    
115 |TYC 3636-2361-1                                                       |Spectroscopic Binary           |23 21 21.6430143552 +45 56 40.837334352|106.9929036361979 -14.1207861926432| 15.776 -15.884  |10.06    |~                    |    ~     ~    
116 |TYC 3636-2393-1                                                       |Star                           |23 20 08.5969949280 +46 24 28.955341224|106.9584703235567 -13.6128440866962|    8.735 2.976  |10.25    |~                    |    ~     ~    
