C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:00:37

dec< 0&rah >=18.25&rah< 18.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 9484

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
79  |CD-44 12473                                                                                                                                                                    |Star                                  |18 17 10.3042520160 -44 52 27.608312568|348.9589220514780 -13.1660656663581|   0.843 -7.014   |10.55    |~                |    ~     ~    |    1| 1182.452   pc  | -30.9001    +30.9001    |paral   |2020yCat.1350....0G
80  |CD-43 12417                                                                                                                                                                    |Star                                  |18 17 18.5165235024 -43 07 31.154584512|350.5885936855546 -12.4351434268965|  7.370 -15.088   |9.79     |~                |    ~     ~    |    1|  859.623   pc  | -14.1140    +14.1140    |paral   |2020yCat.1350....0G
81  |CD-43 12423                                                                                                                                                                    |Star                                  |18 17 50.5532462448 -43 46 49.053509760|350.0259752615070 -12.8052115329630|  -3.430 -3.931   |10.10    |~                |    ~     ~    |    1|  900.171   pc  | -12.7218    +12.7218    |paral   |2020yCat.1350....0G
82  |CD-44 12484                                                                                                                                                                    |Star                                  |18 17 58.8563949288 -44 26 30.497667000|349.4236092360768 -13.1111803300517|  -0.020 -7.841   |10.60    |~                |    ~     ~    |    1| 1756.543   pc  | -58.9320    +58.9320    |paral   |2020yCat.1350....0G
83  |CD-44 12487                                                                                                                                                                    |Star                                  |18 18 19.8929893584 -44 30 21.647293200|349.3913923349325 -13.1951477698441|  -3.218 -6.649   |10.40    |~                |    ~     ~    |    1| 1249.844   pc  | -24.6813    +24.6813    |paral   |2020yCat.1350....0G
84  |CD-44 12496                                                                                                                                                                    |Star                                  |18 18 54.6993804456 -44 33 36.280309752|349.3863126446096 -13.3117080986298| -3.142 -12.477   |10.12    |~                |    ~     ~    |    1|  580.518   pc  |  -4.8191     +4.8191    |paral   |2020yCat.1350....0G
85  |CD-43 12446                                                                                                                                                                    |Star                                  |18 19 51.4237555536 -43 14 03.901404444|350.6923890033770 -12.9014999067374|   -6.855 2.222   |9.94     |~                |    ~     ~    |    1|  764.351   pc  | -17.9359    +17.9359    |paral   |2020yCat.1350....0G
86  |CD-43 12445                                                                                                                                                                    |Star                                  |18 19 51.5664587160 -43 39 10.084384296|350.3041198345062 -13.0801354788894| -0.978 -10.973   |9.64     |~                |    ~     ~    |    1|  721.865   pc  |  -9.9007     +9.9007    |paral   |2020yCat.1350....0G
87  |CD-44 12510                                                                                                                                                                    |Star                                  |18 20 12.6486196848 -44 33 43.279815672|349.4851386358585 -13.5222191191899|  -8.782 -7.530   |9.96     |~                |    ~     ~    |    1|  876.578   pc  | -11.1416    +11.1416    |paral   |2020yCat.1350....0G
88  |CD-42 13135                                                                                                                                                                    |Star                                  |18 20 25.3182131064 -42 39 12.576348396|351.2764038837283 -12.7469358617486|  -0.280 -9.571   |9.73     |~                |    ~     ~    |    1| 1142.988   pc  | -23.3849    +23.3849    |paral   |2020yCat.1350....0G
89  |CD-42 13033                                                                                                                                                                    |Star                                  |18 15 02.6908786608 -42 44 50.201400876|350.7514998026375 -11.8973477097890| -16.848 -8.408   |9.833    |~                |    ~     ~    |    1|  468.318   pc  | -13.7700    +13.7700    |ST-L    |2020AJ....160...83S
90  |CD-44 12471                                                                                                                                                                    |Star                                  |18 17 01.7830797360 -44 40 06.257946684|349.1388867429095 -13.0550616908681|    1.365 0.717   |9.87     |~                |    ~     ~    |    1| 1952.362   pc  | -80.4273    +80.4273    |paral   |2020yCat.1350....0G
91  |CD-42 13148                                                                                                                                                                    |Star                                  |18 21 07.9116107400 -42 40 38.482216536|351.3113282458653 -12.8751538842990| -9.234 -18.650   |9.58     |~                |    ~     ~    |    1|  846.453   pc  | -12.8251    +12.8251    |paral   |2020yCat.1350....0G
92  |TYC 7908-127-1                                                                                                                                                                 |Star                                  |18 17 47.7054104856 -42 48 09.557804196|350.9258434625535 -12.3755974992580| -1.327 -14.114   |10.74    |~                |    ~     ~    |    1|  535.791   pc  |  -5.1960     +5.1960    |paral   |2020yCat.1350....0G
93  |TYC 7908-265-1                                                                                                                                                                 |Star                                  |18 15 40.6924680864 -43 04 06.244674744|350.5084465095553 -12.1424141722050|  -3.955 -5.394   |10.43    |~                |    ~     ~    |    1|  705.766   pc  |  -9.6633     +9.6633    |paral   |2020yCat.1350....0G
