C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:15:33

dec >=0&rah >=7.25&rah< 7.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6226

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
47  |TYC 4539-556-1                                                                                                                                                                 |High Proper Motion Star           |07 26 15.4609022520 +82 11 53.930467716|131.6760602651668 +28.0373771986974|-68.507 -26.221   |10.81    |~               |    ~     ~          |    1|  200.104   pc  |  -0.4605     +0.4605  |paral   |2020yCat.1350....0G
48  |TYC 4539-911-1                                                                                                                                                                 |Star                              |07 22 36.2387574528 +81 15 54.281540808|132.7407593766175 +27.9705785655951|    2.274 4.360   |10.99    |~               |    ~     ~          |    1|  413.668   pc  |  -2.3786     +2.3786  |paral   |2020yCat.1350....0G
49  |TYC 4539-1047-1                                                                                                                                                                |Star                              |07 27 21.3834473952 +81 10 49.538501040|132.8228065972820 +28.1571007240236|   0.819 11.652   |10.95    |~               |    ~     ~          |    1|  234.307   pc  |  -0.6423     +0.6423  |paral   |2020yCat.1350....0G
50  |TYC 4539-1115-1                                                                                                                                                                |High Proper Motion Star           |07 21 06.6313234152 +81 07 01.352912736|132.9115139963370 +27.9212839868888|-14.386 -54.690   |10.72    |~               |    ~     ~          |    1|  331.510   pc  |  -1.4397     +1.4397  |paral   |2020yCat.1350....0G
51  |HD 54042                                                                                                                                                                       |High Proper Motion Star           |07 20 43.2301841856 +80 51 59.258330388|133.1956017845417 +27.9177604445651| -5.304 -55.079   |8.06     |K0              |    ~     ~          |    1|  485.366   pc  |  -3.8871     +3.8871  |paral   |2020yCat.1350....0G
52  |BD+81 241                                                                                                                                                                      |Star                              |07 22 23.9056266120 +80 54 29.236425444|133.1448398411502 +27.9820925363430| -3.431 -34.668   |10.19    |F2              |    ~     ~          |    1|  256.476   pc  |  -0.8617     +0.8617  |paral   |2020yCat.1350....0G
53  |BD+81 246                                                                                                                                                                      |Star                              |07 28 47.6752520784 +80 49 47.569645704|133.2143844341623 +28.2404439587414|  7.195 -11.123   |9.53     |F5              |    ~     ~          |    1|  214.592   pc  |  -0.6309     +0.6309  |paral   |2020yCat.1350....0G
54  |HD 54942                                                                                                                                                                       |Star                              |07 23 48.0195815352 +80 37 34.616098452|133.4601753110679 +28.0535062307149|  20.142 -5.208   |7.20     |K0              |    ~     ~          |    1|  114.851   pc  |  -0.1992     +0.1992  |paral   |2020yCat.1350....0G
55  |BD+80 231                                                                                                                                                                      |Star                              |07 23 53.6423223528 +79 58 31.192217364|134.1966460401023 +28.0919894495741|  5.343 -19.559   |10.24    |F0              |    ~     ~          |    1|  247.500   pc  |  -0.7228     +0.7228  |paral   |2020yCat.1350....0G
56  |HIP 36116                                                                                                                                                                      |Star                              |07 26 22.3328420424 +80 13 51.452112432|133.9003733351954 +28.1837874235347|  17.922 19.749   |10.27    |K0              |    ~     ~          |    1|  346.296   pc  |  -1.4510     +1.4510  |paral   |2020yCat.1350....0G
57  |BD+79 228                                                                                                                                                                      |High Proper Motion Star           |07 15 05.5545000168 +79 19 07.653731952|134.9517822155443 +27.7153008135111| -6.922 -49.680   |9.38     |F5              |    ~     ~          |    1|  127.301   pc  |  -0.1961     +0.1961  |paral   |2020yCat.1350....0G
58  |TYC 4534-826-1                                                                                                                                                                 |Star                              |07 16 14.2226899776 +79 39 45.330297264|134.5627517909488 +27.7639256043801|   -2.548 3.377   |10.65    |A5              |    ~     ~          |    1|  515.437   pc  |  -3.0553     +3.0553  |paral   |2020yCat.1350....0G
59  |V* ET Cam                                                                                                                                                                      |Long-Period Variable Candidate    |07 16 27.9266927616 +79 28 44.924494836|134.7698928042837 +27.7768354781769|    1.179 1.538   |9.48     |M2              |    ~     ~          |    1| 1367.054   pc  | -32.5178    +32.5178  |paral   |2020yCat.1350....0G
60  |BD+79 230                                                                                                                                                                      |Spectroscopic Binary              |07 23 36.6966444168 +79 07 57.094535136|135.1517798073599 +28.1177312619400|-10.850 -30.426   |9.26     |G5              |    ~     ~          |    1|  118.080   pc  |  -0.1771     +0.1771  |paral   |2020yCat.1350....0G
61  |BD+79 231                                                                                                                                                                      |Star                              |07 24 56.5539908184 +79 07 36.860245680|135.1550151853538 +28.1806677300659|  -9.942 -7.060   |9.80     |F0              |    ~     ~          |    1|  219.911   pc  |  -0.6142     +0.6142  |paral   |2020yCat.1350....0G
62  |HD 55915                                                                                                                                                                       |Star                              |07 25 59.9768654640 +79 06 26.871350004|135.1742730960576 +28.2314539855674| -5.060 -32.772   |8.37     |K0              |    ~     ~          |    1|  209.991   pc  |  -0.7188     +0.7188  |paral   |2020yCat.1350....0G
