C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:29:15

dec >=0&rah >=15.5&rah< 15.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2751

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
71  |* tet UMi                                                             |Variable Star                     |15 31 24.9136103328 +77 20 57.695859924|112.8527642392202 +36.4583419552649|  -44.146 8.051  |4.982    |K5-IIICN0.5      |    ~     ~    |    1|  245.110   pc  |  -8.6033     +8.6033  |paral   |2020yCat.1350....0G
72  |HD 139797                                                             |Double or Multiple Star           |15 32 30.20787 +76 46 25.0276          |112.28675195 +36.81738012          |    24.74 62.88  |8.54     |G0               |    ~     ~    |    0|                |                       |        |                   
73  |BD+77 594                                                             |Star                              |15 34 27.6093538224 +76 52 18.721615368|112.2788456271862 +36.6688953424803| -27.864 37.636  |10.28    |F8               |    ~     ~    |    1|  157.161   pc  |  -0.2569     +0.2569  |paral   |2020yCat.1350....0G
74  |HD 140341                                                             |Star                              |15 35 16.1035550064 +76 50 34.312053156|112.2132047492073 +36.6555019289723|   1.048 22.076  |8.03     |F5               |    ~     ~    |    1|  207.074   pc  |  -0.7633     +0.7633  |paral   |2020yCat.1350....0G
75  |BD+77 596                                                             |Star                              |15 35 19.5022213704 +76 54 17.142342300|112.2665362481499 +36.6106685978976| 10.081 -22.539  |10.43    |K                |    ~     ~    |    1|  759.301   pc  |  -7.4373     +7.4373  |paral   |2020yCat.1350....0G
76  |BD+77 598                                                             |High Proper Motion Star           |15 38 01.1300707128 +76 33 15.318348408|111.8152180926267 +36.7360413975691| 17.801 -60.039  |10.01    |G5               |    ~     ~    |    1|  194.541   pc  |  -2.8952     +2.8952  |paral   |2020yCat.1350....0G
77  |BD+77 600                                                             |High Proper Motion Star           |15 38 14.2248554736 +76 57 58.065047928|112.1827652543848 +36.4484458183675| -64.773 58.296  |8.86     |F8               |    ~     ~    |    1|  153.078   pc  |  -2.5753     +2.5753  |paral   |2020yCat.1350....0G
78  |BD+77 601                                                             |Star                              |15 38 34.1990232168 +77 05 29.083008588|112.2816380245962 +36.3498998629271|  -17.444 6.690  |9.62     |K0               |    ~     ~    |    1|  579.106   pc  |  -3.7225     +3.7225  |paral   |2020yCat.1350....0G
79  |TYC 4563-1115-1                                                       |Star                              |15 38 32.1062864928 +77 33 44.185467492|112.7119100458813 +36.0318889090878|   -8.425 6.706  |10.94    |F8               |    ~     ~    |    1|  459.876   pc  |  -2.8339     +2.8339  |paral   |2020yCat.1350....0G
80  |BD+77 602                                                             |Star                              |15 38 50.7068518080 +77 14 13.438992336|112.4018625247116 +36.2400846353467|  -8.832 40.391  |10.15    |F2               |    ~     ~    |    1|  201.163   pc  |  -0.4411     +0.4411  |paral   |2020yCat.1350....0G
81  |BD+77 603                                                             |Star                              |15 40 41.5962016704 +76 33 23.146367760|111.6873367921455 +36.6191997563823| -24.888 18.924  |10.08    |F5               |    ~     ~    |    1|  260.173   pc  |  -3.5199     +3.5199  |paral   |2020yCat.1350....0G
82  |BD+77 605                                                             |Star                              |15 40 12.3314984424 +77 05 10.158327924|112.2004162531451 +36.2859337514407|  4.936 -13.008  |8.95     |G5               |    ~     ~    |    1|  572.115   pc  |  -4.4188     +4.4188  |paral   |2020yCat.1350....0G
83  |HD 141952                                                             |High Proper Motion Star           |15 43 38.1339152256 +77 12 58.669785324|112.1635972807309 +36.0569897441028|  27.817 50.360  |8.29     |F8               |    ~     ~    |    1|  121.881   pc  |  -0.6165     +0.6165  |paral   |2020yCat.1350....0G
84  |BD+77 608                                                             |High Proper Motion Star           |15 44 25.2403892304 +76 52 36.414859584|111.8108423674239 +36.2469266668894| -37.804 39.804  |9.28     |F8               |    ~     ~    |    1|  103.512   pc  |  -0.1104     +0.1104  |paral   |2020yCat.1350....0G
85  |HD 142123                                                             |High Proper Motion Star           |15 44 38.8099386024 +77 09 01.636795692|112.0566199927554 +36.0580492512669| -33.339 40.952  |7.98     |G5               |    ~     ~    |    1|  288.401   pc  |  -1.3474     +1.3474  |paral   |2020yCat.1350....0G
86  |HD 140084                                                             |Star                              |15 34 23.2548736056 +76 27 02.702623284|111.9007522933693 +36.9617016216792|    8.123 2.735  |7.64     |A2               |    ~     ~    |    1|  297.717   pc  |  -2.0386     +2.0386  |paral   |2020yCat.1350....0G
87  |BD+76 569                                                             |Star                              |15 38 34.6726679712 +76 27 03.747694356|111.6925645980368 +36.7814410176728|   -5.589 9.031  |9.17     |A5               |    ~     ~    |    1|  543.508   pc  |  -4.3719     +4.3719  |paral   |2020yCat.1350....0G
88  |TYC 4560-269-1                                                        |Star                              |15 37 45.1785090408 +77 12 16.403504148|112.4230694538207 +36.3065072944039|  6.963 -18.128  |10.30    |~                |    ~     ~    |    1|  351.778   pc  |  -1.4973     +1.4973  |paral   |2020yCat.1350....0G
89  |TYC 4560-305-1                                                        |Star                              |15 37 27.7681409424 +76 53 09.010649328|112.1462848472041 +36.5350721273519|   -4.246 3.593  |10.74    |~                |    ~     ~    |    1|  816.927   pc  |  -8.8093     +8.8093  |paral   |2020yCat.1350....0G
90  |TYC 4560-918-1                                                        |Star                              |15 41 15.8944509744 +76 50 20.104969812|111.9224776406404 +36.4066803032197|  -3.774 -6.626  |10.40    |~                |    ~     ~    |    1|  896.700   pc  | -10.2117    +10.2117  |paral   |2020yCat.1350....0G
91  |TYC 4560-1035-1                                                       |High Proper Motion Star           |15 41 59.7103188168 +77 02 42.242125236|112.0795584036297 +36.2388062193830|  -0.518 53.234  |9.61     |G5IV             |    ~     ~    |    1|   92.998   pc  |  -0.0951     +0.0951  |paral   |2020yCat.1350....0G
92  |TYC 4560-1148-1                                                       |Star                              |15 40 17.1615191472 +76 23 19.388091624|111.5510119781504 +36.7485909358617| -20.190 19.313  |10.63    |~                |    ~     ~    |    1|  301.668   pc  |  -1.2468     +1.2468  |paral   |2020yCat.1350....0G
93  |TYC 4560-1172-1                                                       |Star                              |15 40 22.5532898712 +76 45 50.169324348|111.8950651658060 +36.4944944874428| -7.586 -16.848  |10.05    |~                |    ~     ~    |    1|  777.303   pc  |  -7.4921     +7.4921  |paral   |2020yCat.1350....0G
94  |TYC 4560-1341-1                                                       |Star                              |15 40 52.1229563400 +77 00 35.089196328|112.0991238964336 +36.3094831454417|    0.871 6.132  |10.60    |~                |    ~     ~    |    1|  989.022   pc  | -11.9336    +11.9336  |paral   |2020yCat.1350....0G
95  |TYC 4560-1380-1                                                       |Star                              |15 34 12.1326613008 +76 17 30.645340656|111.7654332987444 +37.0787355939739|   8.902 15.736  |10.78    |~                |    ~     ~    |    1|  265.527   pc  |  -0.8602     +0.8602  |paral   |2020yCat.1350....0G
96  |TYC 4560-1788-1                                                       |Star                              |15 34 04.5721835856 +76 58 04.760531976|112.3842028021937 +36.6182476138152|    0.916 1.725  |10.96    |~                |    ~     ~    |    1|  512.216   pc  |  -5.9032     +5.9032  |paral   |2020yCat.1350....0G
97  |LSPM J1535+7725                                                       |High Proper Motion Star           |15 35 28.1352209352 +77 25 41.033187840|112.7315792446255 +36.2447408092821|-139.198 75.400  |9.992    |~                |    ~     ~    |    1|   68.183   pc  |  -0.0502     +0.0502  |paral   |2020yCat.1350....0G
98  |TYC 4563-49-1                                                         |Star                              |15 42 17.9849897136 +77 41 08.863361556|112.6567332162714 +35.7996223318617| 12.233 -15.926  |10.33    |~                |    ~     ~    |    1|  550.237   pc  |  -3.2395     +3.2395  |paral   |2020yCat.1350....0G
99  |TYC 4563-50-1                                                         |Star                              |15 41 57.8817206016 +78 22 55.846587900|113.3060519823176 +35.3453953416307|  -11.634 6.995  |10.01    |~                |    ~     ~    |    1|  233.978   pc  |  -0.7445     +0.7445  |paral   |2020yCat.1350....0G
