C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:40:54

dec >=0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4166

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
3937|TYC 3336-1916-1                                                                                          |Star                              |04 10 29.3420503992 +48 50 18.742426800|153.1141177842836 -02.0110761746253|   4.053 -9.706    |10.73    |~              |    ~     ~    |    1|  724.743   pc  |  -9.0343     +9.0343  |paral   |2020yCat.1350....0G
3938|TYC 3336-2139-1                                                                                          |Star                              |04 10 30.9376347384 +49 59 57.951515040|152.3279297699432 -01.1566291830145|   1.979 -1.840    |10.64    |~              |    ~     ~    |    1|  842.247   pc  | -13.3363    +13.3363  |paral   |2020yCat.1350....0G
3939|TYC 3339-90-1                                                                                            |Star                              |04 07 13.9188678936 +52 24 02.608612488|150.3267746062583 +00.2668903095044|   -4.755 0.001    |10.81    |~              |    ~     ~    |    1|  847.745   pc  |  -9.7739     +9.7739  |paral   |2020yCat.1350....0G
3940|TYC 3339-172-1                                                                                           |Star                              |04 02 43.9226419080 +52 24 51.687400212|149.8053944196529 -00.1795731239740|  9.875 -19.638    |10.80    |~              |    ~     ~    |    1|  720.981   pc  |  -8.1091     +8.1091  |paral   |2020yCat.1350....0G
3941|TYC 3339-179-1                                                                                           |Star                              |04 06 10.6454557248 +51 28 25.191308460|150.8270519010087 -00.5303454000129|  -3.592 -3.260    |10.48    |~              |    ~     ~    |    1|  771.784   pc  |  -8.9347     +8.9347  |paral   |2020yCat.1350....0G
3942|TYC 3339-382-1                                                                                           |Star                              |04 01 18.7693655784 +52 26 19.351636224|149.6264040196274 -00.3035260368986|   5.070 -0.812    |10.70    |~              |    ~     ~    |    1|  876.194   pc  | -13.4350    +13.4350  |paral   |2020yCat.1350....0G
3943|TYC 3339-400-1                                                                                           |Star                              |04 06 54.0488809512 +52 04 24.936139236|150.5085896741408 -00.0097483060289| -8.324 -14.760    |10.38    |~              |    ~     ~    |    1|  244.481   pc  |  -0.9922     +0.9922  |paral   |2020yCat.1350....0G
3944|TYC 3339-528-1                                                                                           |Star                              |04 01 49.0058265480 +51 31 18.726957696|150.2869225104527 -00.9441415794487|  -0.907 -4.155    |10.64    |~              |    ~     ~    |    1|  486.831   pc  |  -3.5551     +3.5551  |paral   |2020yCat.1350....0G
3945|2MASS J04070971+5108507                                                                                  |Red Giant Branch star             |04 07 09.7189385256 +51 08 50.754163524|151.1598210545781 -00.6695486654435|   0.526 -3.931    |10.99    |~              |    ~     ~    |    1| 1148.237   pc  | -20.6997    +20.6997  |paral   |2020yCat.1350....0G
3946|TYC 3339-882-1                                                                                           |Star                              |04 07 05.4210064704 +51 22 27.788394432|150.9992339567040 -00.5087748894100| -5.886 -14.628    |10.93    |~              |    ~     ~    |    1|  613.911   pc  |  -5.1257     +5.1257  |paral   |2020yCat.1350....0G
3947|TYC 3339-1073-1                                                                                          |Star                              |04 03 31.9718642568 +50 46 13.626424020|150.9849507591615 -01.3314523244974|   6.219 -1.201    |10.97    |~              |    ~     ~    |    1|  661.638   pc  |  -5.7347     +5.7347  |paral   |2020yCat.1350....0G
3948|TYC 3339-1445-1                                                                                          |Star                              |04 02 26.7860160528 +50 41 15.054026748|150.9106048603018 -01.5072722898182|   0.065 -1.764    |10.52    |~              |    ~     ~    |    1|  970.780   pc  | -18.7540    +18.7540  |paral   |2020yCat.1350....0G
3949|TYC 3340-89-1                                                                                            |Star                              |04 08 36.8721507840 +51 30 55.175968224|151.0801316050244 -00.2447232223798|   2.649 -9.561    |10.84    |~              |    ~     ~    |    1| 1037.022   pc  | -16.3463    +16.3463  |paral   |2020yCat.1350....0G
3950|BD+51 868                                                                                                |Star                              |04 10 15.5760076032 +51 46 25.567378284|151.0931169178608 +00.1182549337463| 13.439 -20.057    |10.48    |F2             |    ~     ~    |    1|  369.099   pc  |  -2.7247     +2.7247  |paral   |2020yCat.1350....0G
3951|TYC 3340-179-1                                                                                           |Star                              |04 08 34.7300254800 +51 46 53.923213920|150.8963766636996 -00.0518743454013|  -1.661 -0.105    |10.77    |~              |    ~     ~    |    1|  252.118   pc  |  -1.0806     +1.0806  |paral   |2020yCat.1350....0G
3952|TYC 3340-596-1                                                                                           |Star                              |04 11 32.8324112688 +52 19 58.718062236|150.8576493440460 +00.6627298451916|   5.303 -1.735    |10.84    |~              |    ~     ~    |    1|  794.976   pc  | -11.7549    +11.7549  |paral   |2020yCat.1350....0G
3953|TYC 3340-603-1                                                                                           |Spectroscopic Binary              |04 08 56.1793975968 +51 34 59.107357560|151.0712945297009 -00.1609635902841|   0.099 -5.151    |10.66    |~              |    ~     ~    |    1|  609.199   pc  | -10.4657    +10.4657  |paral   |2020yCat.1350....0G
3954|TYC 3340-700-1                                                                                           |Star                              |04 14 44.1220430904 +51 31 37.746358212|151.7680809836843 +00.4136046395794| 11.692 -11.551    |9.86     |~              |    ~     ~    |    1|  528.457   pc  |  -4.4962     +4.4962  |paral   |2020yCat.1350....0G
3955|TYC 3340-791-1                                                                                           |Star                              |04 11 35.4587938056 +51 29 04.445227176|151.4413118210680 +00.0469392425981|  -0.252 -0.990    |10.48    |~              |    ~     ~    |    1| 1479.071   pc  | -37.1901    +37.1901  |paral   |2020yCat.1350....0G
3956|TYC 3340-2115-1                                                                                          |Star                              |04 14 50.9412885264 +50 42 13.286693304|152.3492431495976 -00.1700572045842|   9.402 -9.984    |10.22    |~              |    ~     ~    |    1|  630.438   pc  |  -5.9618     +5.9618  |paral   |2020yCat.1350....0G
3957|TYC 3340-2130-1                                                                                          |Star                              |04 11 06.0542103264 +50 48 38.922052248|151.8442717330349 -00.4984794714664|   2.598 -9.863    |10.87    |~              |    ~     ~    |    1|  588.512   pc  |  -5.7840     +5.7840  |paral   |2020yCat.1350....0G
3958|TYC 3718-53-2                                                                                            |Star                              |04 12 45.265 +53 46 18.20              |150.006112 +01.836671              |      2.5 -19.8    |10.65    |~              |    ~     ~    |    0|                |                       |        |                   
3959|TYC 3718-192-1                                                                                           |Star                              |04 08 59.5252683072 +54 06 49.389683472|149.3674518347882 +01.7103696628653|  18.822 -0.984    |10.99    |~              |    ~     ~    |    1|  540.570   pc  |  -8.5911     +8.5911  |paral   |2020yCat.1350....0G
3960|TYC 3718-214-1                                                                                           |Star                              |04 04 43.3470406560 +53 46 19.770434760|149.1301843279077 +01.0357547309945|   -7.021 2.979    |9.93     |~              |    ~     ~    |    1|  900.495   pc  | -12.8121    +12.8121  |paral   |2020yCat.1350....0G
3961|TYC 3718-272-1                                                                                           |High Proper Motion Star           |04 02 28.6178309448 +54 12 15.895764720|148.5965669510094 +01.1412834291144| 100.283 33.362    |10.92    |~              |    ~     ~    |    1|  121.240   pc  |  -0.2117     +0.2117  |paral   |2020yCat.1350....0G
3962|TYC 3718-308-1                                                                                           |Star                              |04 11 42.8980515720 +54 07 15.585607848|149.6554186809146 +01.9867840542103|  -0.758 -3.143    |10.41    |~              |    ~     ~    |    1|  666.267   pc  | -14.0276    +14.0276  |paral   |2020yCat.1350....0G
3963|TYC 3718-311-1                                                                                           |Star                              |04 01 56.3988487608 +53 18 14.581461852|149.1295341372910 +00.4112434073065|   3.454 -6.511    |10.81    |~              |    ~     ~    |    1| 1015.022   pc  | -14.8359    +14.8359  |paral   |2020yCat.1350....0G
3964|2MASS J04113627+5319304                                                                                  |Red Giant Branch star             |04 11 36.2685519000 +53 19 30.443333880|150.1869905039847 +01.3940273478359|   -6.411 0.322    |10.99    |~              |    ~     ~    |    1| 1144.689   pc  | -18.8685    +18.8685  |paral   |2020yCat.1350....0G
3965|TYC 3718-981-1                                                                                           |Star                              |04 09 19.8433401696 +52 50 26.408696496|150.2656621786239 +00.8065892890062|  -0.482 -2.718    |10.71    |~              |    ~     ~    |    1| 1124.227   pc  | -22.6236    +22.6236  |paral   |2020yCat.1350....0G
3966|TYC 3718-1173-1                                                                                          |Star                              |04 02 35.2800110808 +53 03 59.518605456|149.3589788079263 +00.2963705883375|  4.087 -10.184    |10.85    |~              |    ~     ~    |    1|  236.446   pc  |  -0.8833     +0.8833  |paral   |2020yCat.1350....0G
3967|TYC 3718-1222-1                                                                                          |Star                              |04 09 45.6563049360 +53 03 32.565403116|150.1654715889163 +01.0111673990064| -0.256 -41.893    |10.86    |~              |    ~     ~    |    1|  113.431   pc  |  -0.1981     +0.1981  |paral   |2020yCat.1350....0G
3968|TYC 3718-1459-1                                                                                          |Spectroscopic Binary              |04 00 24.0733731744 +52 55 56.909934264|149.1987281738930 -00.0207097922950|   0.747 -2.042    |10.92    |~              |    ~     ~    |    1| 1131.862   pc  | -20.4978    +20.4978  |paral   |2020yCat.1350....0G
3969|TYC 3718-1493-1                                                                                          |Star                              |04 12 46.9169068176 +52 43 09.054332472|150.7306615473486 +01.0729753512058|   4.482 -3.411    |10.58    |~              |    ~     ~    |    1| 1200.048   pc  | -28.2263    +28.2263  |paral   |2020yCat.1350....0G
3970|BD+52 762                                                                                                |Star                              |04 06 07.7778039528 +53 05 50.048801988|149.7363790351865 +00.6723665820633|  -1.938 -6.273    |10.66    |A5:            |    ~     ~    |    1|  461.106   pc  |  -4.2736     +4.2736  |paral   |2020yCat.1350....0G
3971|TYC 3718-1678-1                                                                                          |Star                              |04 09 39.0827 +53 14 37.487            |150.0282233 +01.1358814            |   7.026 -6.328    |10.86    |~              |    ~     ~    |    0|                |                       |        |                   
3972|HD 25337B                                                                                                |Star                              |04 04 29.1377733696 +55 44 29.059854072|147.7949542905580 +02.4842153056922| -4.776 -12.283    |9.40     |~              |    ~     ~    |    1|  310.453   pc  |  -4.5781     +4.5781  |paral   |2020yCat.1350....0G
3973|TYC 3722-398-1                                                                                           |Star                              |04 09 47.8872611904 +56 11 18.092014944|148.0456532150252 +03.3146445190932|   2.300 -4.675    |10.57    |~              |    ~     ~    |    1|  982.898   pc  | -15.7472    +15.7472  |paral   |2020yCat.1350....0G
3974|TYC 3722-402-1                                                                                           |High Proper Motion Star           |04 08 37.3046658192 +55 03 25.924515876|148.6900556603363 +02.3697308766103| 68.246 -56.024    |10.94    |~              |    ~     ~    |    1|   72.860   pc  |  -0.0690     +0.0690  |paral   |2020yCat.1350....0G
3975|IRAS 03568+5531                                                                                          |Star                              |04 00 54.0908744952 +55 40 21.779772672|147.4607401039904 +02.0994269295191|  -0.014 -0.018    |10.92    |~              |    ~     ~    |    1| 4098.361   pc  |-314.0957   +314.0957  |paral   |2020yCat.1350....0G
3976|TYC 3722-478-1                                                                                           |Star                              |04 01 21.0447013152 +55 23 04.770597696|147.6977715777034 +01.9236335510591| 23.439 -28.986    |10.67    |~              |    ~     ~    |    1|  605.327   pc  | -13.9973    +13.9973  |paral   |2020yCat.1350....0G
3977|TYC 3722-679-1                                                                                           |Star                              |04 10 38.1024513768 +55 44 28.777859736|148.4360241012016 +03.0663834488904|  9.340 -11.942    |10.92    |~              |    ~     ~    |    1|  407.581   pc  |  -9.8843     +9.8843  |paral   |2020yCat.1350....0G
3978|TYC 3722-976-1                                                                                           |Star                              |04 10 22.1577347280 +55 00 14.169900708|148.9105129889070 +02.5002000214010|   8.842 -9.658    |10.87    |~              |    ~     ~    |    1|  564.780   pc  |  -4.9441     +4.9441  |paral   |2020yCat.1350....0G
3979|TYC 3722-990-1                                                                                           |Star                              |04 05 01.7914151736 +55 12 49.412094768|148.2039432431083 +02.1415896899137|  -4.093 -8.615    |10.94    |~              |    ~     ~    |    1|  438.904   pc  |  -4.8352     +4.8352  |paral   |2020yCat.1350....0G
3980|TYC 3726-332-1                                                                                           |Star                              |04 11 08.8239993336 +57 04 02.252904960|147.5822045896152 +04.0847380337630|   -3.137 4.986    |10.98    |~              |    ~     ~    |    1|  569.606   pc  |  -4.4774     +4.4774  |paral   |2020yCat.1350....0G
3981|TYC 3726-639-1                                                                                           |Spectroscopic Binary              |04 07 42.4702396632 +57 18 05.606619264|147.0797119912718 +03.9407509457648|  -1.290 -0.249    |10.63    |~              |    ~     ~    |    0|                |                       |        |                   
3982|TYC 3726-951-1                                                                                           |Star                              |04 08 56.0289918912 +56 39 24.506872272|147.6395411355693 +03.5780716411356|   5.752 -5.993    |10.82    |~              |    ~     ~    |    1|  802.118   pc  |  -8.6858     +8.6858  |paral   |2020yCat.1350....0G
3983|TYC 3726-1014-1                                                                                          |High Proper Motion Star           |04 12 31.0687900224 +56 44 28.284055152|147.9427172811520 +03.9750628980008|  84.140 57.773    |10.92    |~              |    ~     ~    |    1|   93.244   pc  |  -0.1322     +0.1322  |paral   |2020yCat.1350....0G
3984|TYC 3726-1081-1                                                                                          |Star                              |04 00 14.2970333616 +57 58 06.614027688|145.8868275771255 +03.7752391111604|    9.094 0.638    |10.40    |~              |    ~     ~    |    1|  853.679   pc  | -13.3365    +13.3365  |paral   |2020yCat.1350....0G
3985|TYC 3726-1097-1                                                                                          |Star                              |04 03 38.9238813768 +57 56 27.224888640|146.2461060613503 +04.0526090371591|   1.069 -4.721    |10.64    |~              |    ~     ~    |    1|  964.878   pc  | -19.8301    +19.8301  |paral   |2020yCat.1350....0G
3986|TYC 3727-1428-1                                                                                          |Star                              |04 13 20.7997951440 +56 30 57.561381432|148.1808272232255 +03.8897573894518|    2.133 0.394    |10.95    |~              |    ~     ~    |    1| 1494.098   pc  | -37.0567    +37.0567  |paral   |2020yCat.1350....0G
3987|TYC 3730-6-1                                                                                             |Star                              |04 12 25.4292086232 +58 18 01.897648992|146.8596374373588 +05.1002340197573|   5.797 -4.105    |10.82    |M1e            |    ~     ~    |    1| 1151.941   pc  | -43.5246    +43.5246  |paral   |2020yCat.1350....0G
3988|TYC 3730-71-1                                                                                            |Star                              |04 12 13.3085877000 +59 08 16.403658252|146.2626497929970 +05.6906779170036|    8.656 0.849    |10.92    |~              |    ~     ~    |    1|  892.140   pc  | -10.8244    +10.8244  |paral   |2020yCat.1350....0G
3989|TYC 3730-145-1                                                                                           |Star                              |04 11 38.0851301928 +59 57 23.201272188|145.6431141489910 +06.2346307656963|    0.642 1.984    |10.75    |~              |    ~     ~    |    1|  997.307   pc  | -13.4274    +13.4274  |paral   |2020yCat.1350....0G
3990|TYC 3730-408-1                                                                                           |Star                              |04 05 10.7980243848 +58 16 19.556940648|146.1763345147205 +04.4343941320392|   2.219 -0.219    |10.98    |M1e            |    ~     ~    |    1| 1697.505   pc  | -92.7850    +92.7850  |paral   |2020yCat.1350....0G
3991|TYC 3730-449-1                                                                                           |Star                              |04 09 44.8840354920 +59 17 04.373887416|145.9297938812725 +05.5811599522219|    5.294 1.506    |10.45    |~              |    ~     ~    |    1| 1117.069   pc  | -19.8407    +19.8407  |paral   |2020yCat.1350....0G
3992|TYC 3730-784-1                                                                                           |Star                              |04 10 13.1850409656 +59 30 27.898239312|145.8210876652372 +05.7854186266652|   1.559 -5.911    |10.95    |~              |    ~     ~    |    1| 1116.570   pc  | -19.1996    +19.1996  |paral   |2020yCat.1350....0G
3993|TYC 3730-1029-1                                                                                          |Star                              |04 10 54.2600310096 +58 45 49.793418540|146.3958528370095 +05.3018366106694|  -0.457 -5.498    |10.91    |~              |    ~     ~    |    1|  901.632   pc  | -14.0639    +14.0639  |paral   |2020yCat.1350....0G
3994|TYC 3730-1198-1                                                                                          |Star                              |04 02 57.2859845616 +59 11 11.474112228|145.3496739955384 +04.9250270797602|   -3.177 2.249    |10.69    |~              |    ~     ~    |    1|  743.273   pc  |  -9.1708     +9.1708  |paral   |2020yCat.1350....0G
3995|BD+58 680                                                                                                |Star                              |04 01 19.2793660992 +58 42 28.117488024|145.5080336787857 +04.4264081393137|   2.208 -3.525    |10.96    |~              |    ~     ~    |    1| 1121.579   pc  | -24.6556    +24.6556  |paral   |2020yCat.1350....0G
3996|TYC 4064-81-1                                                                                            |Star                              |04 10 53.3812380312 +61 18 58.318930332|144.6369644902193 +07.1613071385893|   3.084 -5.774    |10.99    |~              |    ~     ~    |    1|  940.291   pc  | -11.5823    +11.5823  |paral   |2020yCat.1350....0G
3997|TYC 4064-567-1                                                                                           |Star                              |04 11 05.2018515480 +61 13 19.859951892|144.7193208565581 +07.1091374099033|   9.981 -8.694    |10.95    |~              |    ~     ~    |    1|  483.910   pc  |  -3.5828     +3.5828  |paral   |2020yCat.1350....0G
3998|TYC 4064-1173-1                                                                                          |Star                              |04 00 53.7389827032 +61 06 27.851078268|143.8812864183111 +06.1981532199486|   7.029 -9.451    |10.88    |~              |    ~     ~    |    1|  168.104   pc  |  -0.4182     +0.4182  |paral   |2020yCat.1350....0G
3999|BD+60 782                                                                                                |Star                              |04 09 50.2914986544 +60 38 51.658359252|145.0038499589138 +06.5864180419688|  2.294 -12.496    |10.98    |~              |    ~     ~    |    1|  711.035   pc  |  -6.1174     +6.1174  |paral   |2020yCat.1350....0G
4000|TYC 4064-1657-1                                                                                          |Star                              |04 02 41.4579448728 +60 18 57.640068072|144.5729425140764 +05.7489024613287|   0.522 -4.543    |10.10    |~              |    ~     ~    |    1|  818.331   pc  |  -9.8441     +9.8441  |paral   |2020yCat.1350....0G
4001|TYC 4064-1701-1                                                                                          |Star                              |04 07 39.0929714472 +60 31 15.226014720|144.8922367232252 +06.3109915096066|   2.900 -5.499    |10.94    |~              |    ~     ~    |    1|  754.034   pc  |  -7.2777     +7.2777  |paral   |2020yCat.1350....0G
4002|TYC 4068-930-1                                                                                           |Star                              |04 14 14.0316086856 +63 24 04.460296032|143.4639463599926 +08.9357784193711|  -0.802 -3.418    |9.74     |~              |    ~     ~    |    1|  409.836   pc  |  -2.0660     +2.0660  |paral   |2020yCat.1350....0G
4003|TYC 4068-964-1                                                                                           |Spectroscopic Binary              |04 10 44.3987867280 +63 32 57.653249676|143.0753761232714 +08.7724271830858|   1.012 -3.603    |10.91    |~              |    ~     ~    |    1|  953.834   pc  | -13.4650    +13.4650  |paral   |2020yCat.1350....0G
4004|TYC 4072-44-1                                                                                            |Star                              |04 03 30.6999873936 +65 36 04.101085728|141.0859271431264 +09.7499267544643|   1.521 -3.806    |10.96    |~              |    ~     ~    |    1|  729.022   pc  |  -7.3343     +7.3343  |paral   |2020yCat.1350....0G
4005|TYC 4072-385-1                                                                                           |Star                              |04 03 32.2058018400 +65 12 42.423086664|141.3528736058383 +09.4629974844947|   -0.803 2.361    |10.88    |~              |    ~     ~    |    1|  773.575   pc  | -12.9258    +12.9258  |paral   |2020yCat.1350....0G
4006|TYC 4072-514-1                                                                                           |Star                              |04 04 57.9232078392 +64 25 47.390539260|141.9993573432327 +08.9861988007261|  -3.193 -3.064    |10.84    |~              |    ~     ~    |    1|  182.080   pc  |  -0.4277     +0.4277  |paral   |2020yCat.1350....0G
4007|TYC 4076-755-2                                                                                           |Star                              |04 05 44.659 +66 22 42.21              |140.723247 +10.476708              |    -22.7 -33.4    |10.62    |~              |    ~     ~    |    0|                |                       |        |                   
4008|TYC 4076-1092-1                                                                                          |Star                              |04 08 47.6825317272 +66 50 55.016605500|140.6212009851923 +11.0268684565616|   2.663 -5.556    |10.85    |~              |    ~     ~    |    1| 1304.461   pc  | -31.3098    +31.3098  |paral   |2020yCat.1350....0G
4009|TYC 4076-1409-1                                                                                          |Star                              |04 10 44.3971939512 +66 15 35.977179600|141.1773912787948 +10.7343184997446|   0.311 -2.426    |10.96    |~              |    ~     ~    |    1|  959.417   pc  | -38.0158    +38.0158  |paral   |2020yCat.1350....0G
4010|TYC 4328-952-1                                                                                           |Star                              |04 00 17.7413736768 +67 53 23.400887064|139.2896564652030 +11.2396631668058|   -1.743 1.622    |10.76    |~              |    ~     ~    |    1|  695.652   pc  |  -6.9686     +6.9686  |paral   |2020yCat.1350....0G
4011|TYC 4328-2181-1                                                                                          |High Proper Motion Star           |04 07 57.6784484208 +68 20 16.729575828|139.5165584463115 +12.0530965695641| 21.793 -64.619    |9.78     |~              |    ~     ~    |    1|  166.259   pc  |  -0.3953     +0.3953  |paral   |2020yCat.1350....0G
4012|TYC 4332-452-1                                                                                           |Star                              |04 08 26.9891586264 +69 56 34.396426536|138.4131754123687 +13.2441410920435|  -1.631 -4.548    |10.83    |~              |    ~     ~    |    1|  700.574   pc  |  -7.2639     +7.2639  |paral   |2020yCat.1350....0G
4013|TYC 4332-1087-1                                                                                          |Star                              |04 11 17.8974901056 +70 19 19.378567956|138.3198683028057 +13.6847008932921|   4.352 -1.416    |10.68    |~              |    ~     ~    |    1| 1215.510   pc  | -20.8322    +20.8322  |paral   |2020yCat.1350....0G
4014|TYC 4332-1391-1                                                                                          |Star                              |04 13 29.0005095576 +70 17 31.387791552|138.4761455036242 +13.7930510851810|    4.713 1.203    |10.80    |~              |    ~     ~    |    1| 1158.078   pc  | -17.1666    +17.1666  |paral   |2020yCat.1350....0G
4015|TYC 4332-1616-1                                                                                          |Star                              |04 05 05.9891519952 +71 06 14.142203892|137.3818762557707 +13.8929083987663| 11.413 -14.543    |9.98     |~              |    ~     ~    |    1|  359.790   pc  |  -3.4174     +3.4174  |paral   |2020yCat.1350....0G
4016|TYC 4336-123-1                                                                                           |Star                              |04 00 29.7846699600 +71 32 11.662248048|136.8003743133700 +13.9597104536939|   2.161 -1.513    |10.80    |~              |    ~     ~    |    1| 1510.118   pc  | -31.2422    +31.2422  |paral   |2020yCat.1350....0G
4017|TYC 4336-126-2                                                                                           |Star                              |04 06 20.9371921608 +72 02 24.857609964|136.7905340422654 +14.6398828112053|  -4.793 -3.580    |10.72    |~              |    ~     ~    |    1|  412.167   pc  |  -1.9197     +1.9197  |paral   |2020yCat.1350....0G
4018|TYC 4336-298-1                                                                                           |Star                              |04 14 40.9891220976 +71 54 17.605329552|137.3633595077407 +14.9967803270236| 17.262 -10.269    |10.75    |~              |    ~     ~    |    1|  722.596   pc  |  -6.4746     +6.4746  |paral   |2020yCat.1350....0G
4019|TYC 4336-427-1                                                                                           |Star                              |04 11 52.9401600312 +71 17 28.132749636|137.6525876934672 +14.4074912916473|    5.376 4.229    |10.85    |~              |    ~     ~    |    1|  778.452   pc  |  -8.2414     +8.2414  |paral   |2020yCat.1350....0G
4020|TYC 4336-1419-1                                                                                          |Star                              |04 00 31.6436006280 +72 38 06.853799544|136.0368238326707 +14.7720904718134|   1.405 -8.984    |10.58    |~              |    ~     ~    |    1| 1279.427   pc  | -21.4438    +21.4438  |paral   |2020yCat.1350....0G
4021|TYC 4336-2156-1                                                                                          |Star                              |04 14 01.1205878136 +72 00 46.142825472|137.2463189548401 +15.0357174934841|  8.741 -19.019    |10.86    |~              |    ~     ~    |    1|  935.279   pc  | -12.4214    +12.4214  |paral   |2020yCat.1350....0G
4022|TYC 4340-597-1                                                                                           |Star                              |04 04 23.8861869144 +73 27 35.148831984|135.6672691049489 +15.5671947821113|   -4.377 0.737    |10.96    |~              |    ~     ~    |    1|  862.069   pc  | -11.6677    +11.6677  |paral   |2020yCat.1350....0G
4023|TYC 4340-1322-1                                                                                          |Star                              |04 11 49.3987845264 +74 50 40.971598944|135.0318239709984 +16.9097172890063|  -3.540 -5.515    |10.41    |~              |    ~     ~    |    1|  497.884   pc  |  -3.0738     +3.0738  |paral   |2020yCat.1350....0G
4024|HD 24907                                                                                                 |Star                              |04 04 45.1154244912 +74 55 44.441732820|134.6278786677108 +16.6452110194868|   1.981 -0.255    |10.57    |A3             |    ~     ~    |    1|  478.332   pc  |  -4.3472     +4.3472  |paral   |2020yCat.1350....0G
4025|TYC 4514-644-1                                                                                           |Star                              |04 14 52.7372563632 +77 50 58.177970916|132.8814595281330 +19.1187265954188|   4.760 -8.348    |10.68    |~              |    ~     ~    |    1| 1229.861   pc  | -22.2346    +22.2346  |paral   |2020yCat.1350....0G
4026|TYC 4514-954-1                                                                                           |Star                              |04 00 13.8786359400 +77 22 51.730092876|132.6478271521709 +18.2316615363064|   -4.538 2.070    |10.97    |~              |    ~     ~    |    1| 1658.925   pc  | -33.0244    +33.0244  |paral   |2020yCat.1350....0G
4027|HD 24294                                                                                                 |Star                              |04 00 19.5457666176 +77 14 49.107716952|132.7487971890899 +18.1378668482544|  9.208 -12.456    |9.80     |G0             |    ~     ~    |    1|  130.485   pc  |  -0.3865     +0.3865  |paral   |2020yCat.1350....0G
4028|TYC 4514-1512-1                                                                                          |Star                              |04 00 41.0351934744 +77 16 37.992516060|132.7419776931829 +18.1733997703269|  2.183 -12.264    |10.30    |~              |    ~     ~    |    1|  695.120   pc  |  -6.3781     +6.3781  |paral   |2020yCat.1350....0G
4029|TYC 4518-509-1                                                                                           |Star                              |04 10 18.7868732880 +80 00 51.117733584|131.0480132284299 +20.4443300629868|    4.230 1.934    |10.90    |~              |    ~     ~    |    1|  937.207   pc  | -10.5403    +10.5403  |paral   |2020yCat.1350....0G
4030|TYC 4518-1478-1                                                                                          |Star                              |04 00 41.9179856328 +79 26 56.095707372|131.1540131804392 +19.7421483755211|   0.171 -5.698    |10.59    |~              |    ~     ~    |    1| 1214.477   pc  | -20.9443    +20.9443  |paral   |2020yCat.1350....0G
4031|TYC 4518-1688-1                                                                                          |Star                              |04 02 15.5086139808 +79 08 28.402496988|131.4368720428324 +19.5719568154790|  10.047 -4.629    |9.38     |~              |    ~     ~    |    1|  580.181   pc  |  -4.8135     +4.8135  |paral   |2020yCat.1350....0G
4032|TYC 4518-1892-1                                                                                          |Star                              |04 02 50.7764442984 +79 33 12.547154052|131.1508142856259 +19.8853154134809| -15.330 -5.600    |10.29    |~              |    ~     ~    |    1|  702.839   pc  |  -5.9772     +5.9772  |paral   |2020yCat.1350....0G
4033|TYC 4522-920-1                                                                                           |Star                              |04 05 48.2192289336 +81 46 41.697473736|129.5532295993106 +21.5378736841324| -0.756 -13.572    |10.74    |~              |    ~     ~    |    1|  585.549   pc  |  -3.7030     +3.7030  |paral   |2020yCat.1350....0G
4034|TYC 4617-111-1                                                                                           |High Proper Motion Star           |04 04 26.6725167792 +83 59 34.965907944|127.7991929958693 +23.0456378391742| 30.160 -61.273    |10.88    |~              |    ~     ~    |    1|  143.635   pc  |  -0.2146     +0.2146  |paral   |2020yCat.1350....0G
4035|TYC 4617-866-1                                                                                           |Star                              |04 08 18.8435518824 +83 36 29.504946420|128.1807624882710 +22.8570738049442|    3.339 7.737    |10.74    |~              |    ~     ~    |    1| 1223.092   pc  | -15.4083    +15.4083  |paral   |2020yCat.1350....0G
4036|TYC 4617-1329-1                                                                                          |Spectroscopic Binary              |04 11 42.8309951280 +83 05 16.950328944|128.6676932335416 +22.5768988386284|  -9.426 -2.027    |10.89    |~              |    ~     ~    |    1|  227.030   pc  |  -3.0565     +3.0565  |paral   |2020yCat.1350....0G
4037|TYC 4617-2123-1                                                                                          |Star                              |04 09 12.9675887640 +83 28 35.962067964|128.3040184615439 +22.7860854950726|   0.578 -6.866    |10.85    |~              |    ~     ~    |    1| 1727.713   pc  | -29.8499    +29.8499  |paral   |2020yCat.1350....0G
4038|GSC 04617-02148                                                                                          |Double or Multiple Star           |04 04 55.0939863744 +83 35 55.141670076|128.1177672315970 +22.7818065024001| -8.073 -22.880    |10.974   |~              |    ~     ~    |    1|  155.434   pc  |  -2.2879     +2.2879  |paral   |2020yCat.1350....0G
4039|TYC 4621-115-1                                                                                           |Star                              |04 09 29.8790733336 +84 23 14.582754852|127.5812679504818 +23.4085882866436|   -0.417 3.518    |10.61    |~              |    ~     ~    |    1| 2597.403   pc  | -93.7764    +93.7764  |paral   |2020yCat.1350....0G
