C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST14:04:57

cat='M'
-------

Number of objects : 110

 # |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
---|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
40 |M 32                               NGC 221                            M 32                                                                                                                                                                                                              |Interacting Galaxies                |00 42 41.825 +40 51 54.61              |121.150018 -21.976334              |     -17.0 -5.0   |8.08     |~              |    ~     ~    |    1|    0.79    Mpc |                         |redshift|2018MNRAS.479.4136K
41 |M 31                               NGC 224                            NAME Andromeda                     NAME Andromeda Galaxy              NAME And Nebula                    NAME Andromeda Nebula              M 31                                                                  |Galaxy                              |00 42 44.330 +41 16 07.50              |121.174329 -21.573309              |            ~ ~   |3.44     |~              |199.53 70.79   |    1|    0.79    Mpc |                         |T-F     |2011ApJS..192....6L
42 |M 110                              NGC 205                            M 110                                                                                                                                                                                                             |Galaxy towards a Group of Galaxies  |00 40 22.0572349992 +41 41 07.507220136|120.7162794892624 -21.1386993067892|  -1.705 -0.672   |8.07     |~              |18.62 10.47    |    1|    0.80    Mpc |                         |redshift|2018MNRAS.479.4136K
43 |M 96                               NGC 3368                           M 96                                                                                                                                                                                                              |Galaxy in Pair of Galaxies          |10 46 45.744 +11 49 11.78              |234.435360 +57.010408              |            ~ ~   |9.25     |~              | 7.24  4.79    |    1|   10.09    Mpc |  -1.04       +1.04      |T-F     |2020ApJ...902..145K
44 |M 105                              NGC 3379                           M 105                                                                                                                                                                                                             |LINER-type Active Galaxy Nucleus    |10 47 49.600 +12 34 53.87              |233.490135 +57.632801              |            ~ ~   |9.76     |~              | 5.13  4.68    |    1|   11.22    Mpc |                         |        |2016AJ....152...50T
45 |M 95                               NGC 3351                           M 95                                                                                                                                                                                                              |Galaxy in Pair of Galaxies          |10 43 57.7313485800 +11 42 13.301191332|233.9516627652936 +56.3680174501082|            ~ ~   |9.73     |~              | 7.08  4.27    |    1|   10.00    Mpc |                         |T-F     |2011ApJS..192....6L
46 |M 65                               NGC 3623                           M 65                                                                                                                                                                                                              |Galaxy in Pair of Galaxies          |11 18 55.9084654776 +13 05 32.300703672|241.3312479929118 +64.2216487401279|            ~ ~   |     ~   |~              | 8.32  2.14    |    1|   11.32    Mpc |  -0.66       +0.66      |T-F     |2020ApJ...902..145K
47 |M 66                               NGC 3627                           M 66                                                                                                                                                                                                              |Galaxy in Pair of Galaxies          |11 20 15.026 +12 59 28.64              |241.961490 +64.418514              |            ~ ~   |8.92     |~              | 8.51  3.80    |    1|    7.59    Mpc |  -0.58       +0.58      |T-F     |2020ApJ...902..145K
48 |M 98                               NGC 4192                           M 98                                                                                                                                                                                                              |LINER-type Active Galaxy Nucleus    |12 13 48.2910686976 +14 54 01.953475200|265.4316190022679 +74.9599214084032|            ~ ~   |10.14    |~              | 9.55  2.29    |    1|   14.93    Mpc |  -0.87       +0.87      |T-F     |2020ApJ...902..145K
49 |M 99                               NGC 4254                           NAME Coma Pinwheel                 NAME Virgo Cluster Pinwheel        M 99                                                                                                                                        |HII Galaxy                          |12 18 49.625 +14 24 59.36              |270.431020 +75.189835              |            ~ ~   |9.87     |~              | 5.13  4.47    |    1|   16.500   Mpc |  +0.600      +0.600     |Mem     |2010ApJS..190..233M
