C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:50:21

Vmag< 11&dec >=0&rah >=20.0&rah< 20.25
--------------------------------------

Number of objects : 10230

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |      spec. type       |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------------|---------------
7282 |HD 227150                                                                                                |Star                           |20 01 29.8744738728 +35 08 20.511125088|071.6181201185264 +02.4881852160498|-16.645 -22.512    |8.68     |G8III                  |    ~     ~    
7283 |HD 189983                                                                                                |Double or Multiple Star        |20 01 33.8590137912 +34 34 59.178124776|071.1527220843495 +02.1832195744721|   8.487 -5.914    |8.54     |B8V                    |0.0050  0.0    
7284 |HD 227158                                                                                                |Star                           |20 01 34.0683478920 +34 53 01.333049280|071.4086011233558 +02.3412955207078|   7.572 11.028    |9.69     |~                      |    ~     ~    
7285 |HD 227168                                                                                                |Star                           |20 01 42.0009905040 +35 07 34.757439996|071.6291431125255 +02.4463788688809|   1.411 -1.190    |9.97     |~                      |    ~     ~    
7286 |HD 227184                                                                                                |Star                           |20 01 56.2793728632 +34 48 38.450377908|071.3866981331974 +02.2382331439840|    4.388 2.846    |9.66     |A5                     |    ~     ~    
7287 |HD 227195                                                                                                |Star                           |20 01 57.0028072248 +35 15 11.216130372|071.7639133987191 +02.4699736680115|   1.757 -1.000    |9.47     |~                      |    ~     ~    
7288 |HD 227196                                                                                                |Star                           |20 02 04.0614913536 +34 28 22.544229612|071.1139574770868 +02.0369771235213| -12.840 -5.792    |8.51     |K5                     |    ~     ~    
7289 |HD 227220                                                                                                |Star                           |20 02 14.2015066080 +34 23 37.365966168|071.0651569947254 +01.9654862232832|  -2.988 -6.900    |10.57    |~                      |    ~     ~    
7290 |HD 227228                                                                                                |Star                           |20 02 16.5626027832 +34 42 26.140198572|071.3356258848324 +02.1246026423711|  -0.459 -1.547    |9.25     |B7IV                   |    ~     ~    
7291 |HD 227227                                                                                                |Star                           |20 02 15.3383472336 +35 05 40.069846464|071.6621875543665 +02.3330788002295|  -3.950 -4.546    |9.58     |~                      |    ~     ~    
7292 |HD 227249                                                                                                |Spectroscopic Binary           |20 02 22.5308424264 +34 32 32.608014216|071.2065161663502 +02.0199443248525|   -1.595 1.756    |9.57     |~                      |    ~     ~    
7293 |HD 227290                                                                                                |High Proper Motion Star        |20 02 41.7530038056 +34 50 08.282064264|071.4902856420036 +02.1194846914807|  32.420 42.852    |9.17     |G0V                    |    ~     ~    
7294 |HD 227321                                                                                                |Star                           |20 03 02.0296546128 +35 04 07.733523864|071.7248540147416 +02.1844754593474|    3.951 0.098    |10.19    |B8:V:                  |    ~     ~    
7295 |HD 227346                                                                                                |Spectroscopic Binary           |20 03 09.4991676480 +34 50 00.160014516|071.5387589736269 +02.0378568571774|    0.452 3.348    |10.46    |G0                     |    ~     ~    
7296 |HD 227395                                                                                                |Star                           |20 03 41.0841188688 +34 58 33.682429020|071.7170661575318 +02.0222767746288|  -0.188 -6.124    |10.94    |~                      |    ~     ~    
7297 |HD 227396                                                                                                |Star                           |20 03 42.6364571736 +34 54 11.041236144|071.6580850967210 +01.9789622322674|-11.759 -29.973    |9.834    |~                      |    ~     ~    
7298 |HD 189705                                                                                                |Double or Multiple Star        |20 00 08.514 +34 23 01.26              |070.828589 +02.327403              |        4.2 0.6    |9.02     |A                      |    ~     ~    
7299 |HD 227039                                                                                                |Star                           |20 00 14.4104703768 +34 08 26.671707492|070.6323850269101 +02.1825015670826|   1.318 48.304    |9.709    |~                      |    ~     ~    
7300 |HD 227093                                                                                                |Star                           |20 00 50.9650277064 +34 19 48.385573608|070.8598359180995 +02.1750302544131| 17.962 -17.801    |9.89     |~                      |    ~     ~    
7301 |HD 227332                                                                                                |Star                           |20 03 10.5713371632 +34 20 22.451274996|071.1221170085000 +01.7724110246709|  -2.587 -1.793    |10.22    |~                      |    ~     ~    
7302 |HD 227388                                                                                                |Star                           |20 03 37.6798757040 +34 11 22.545558456|071.0447262934628 +01.6135964388399|  -0.773 -2.859    |9.59     |~                      |    ~     ~    
7303 |HD 227029                                                                                                |Star                           |20 00 07.3287170040 +33 24 38.048137416|069.9978965583097 +01.8196364829005|   -0.901 1.029    |10.38    |K2                     |    ~     ~    
7304 |HD 227028                                                                                                |Star                           |20 00 09.3230426328 +33 45 44.477179992|070.3009926728498 +01.9986224589640|  1.247 -12.511    |9.94     |~                      |    ~     ~    
7305 |HD 227064                                                                                                |Star                           |20 00 33.8917351224 +33 33 35.539287804|070.1735199189581 +01.8196589626153|  1.608 -24.382    |9.56     |~                      |    ~     ~    
7306 |HD 227075                                                                                                |Star                           |20 00 42.9855536304 +33 18 34.279699500|069.9772544050286 +01.6609443827934|   17.005 8.360    |9.66     |~                      |    ~     ~    
7307 |HD 227096                                                                                                |Spectroscopic Binary           |20 00 49.4077800192 +33 48 49.917409236|070.4179003325961 +01.9076823018359|  32.080 24.593    |9.53     |~                      |    ~     ~    
7308 |HD 227095                                                                                                |Star                           |20 00 49.8883202616 +33 58 04.015967196|070.5496804729100 +01.9873505711019|  -1.568 -5.706    |10.66    |~                      |    ~     ~    
7309 |HD 227102                                                                                                |Star                           |20 00 59.2255164216 +33 17 31.070098752|069.9921477447419 +01.6036276737434|   0.301 -6.096    |10.37    |~                      |    ~     ~    
7310 |HD 227107                                                                                                |Star                           |20 01 08.5800438432 +33 32 08.793463884|070.2165408925553 +01.7045856278516|    4.226 2.350    |10.92    |~                      |    ~     ~    
7311 |HD 227115                                                                                                |Star                           |20 01 06.2143362792 +33 46 26.413405896|070.4146986337911 +01.8372159960714| -4.758 -13.117    |9.63     |~                      |    ~     ~    
7312 |HD 227138                                                                                                |Star                           |20 01 18.9073867320 +33 45 26.545378392|070.4237731672799 +01.7910928616883|    2.443 3.206    |10.65    |~                      |    ~     ~    
7313 |HD 227145                                                                                                |Star                           |20 01 29.4932495352 +33 50 50.738587188|070.5196505331291 +01.8075127635302|   0.667 -8.287    |10.72    |A5                     |    ~     ~    
7314 |HD 227151                                                                                                |Star                           |20 01 30.2713576032 +34 06 37.217267244|070.7444498457302 +01.9440731011007|  -0.091 -2.256    |10.31    |~                      |    ~     ~    
7315 |HD 227160                                                                                                |High Proper Motion Star        |20 01 41.6246186544 +33 50 49.722652428|070.5416020066109 +01.7717206562495|-39.015 -75.926    |10.91    |~                      |    ~     ~    
7316 |HD 227169                                                                                                |Spectroscopic Binary           |20 01 46.3499578536 +33 40 49.219980168|070.4086042876780 +01.6696431597903|  -1.978 38.936    |10.44    |~                      |    ~     ~    
7317 |HD 227176                                                                                                |Star                           |20 01 50.3709026760 +33 28 14.207916252|070.2379252518925 +01.5468779996571|  -6.187 -9.586    |10.22    |~                      |    ~     ~    
7318 |HD 227175                                                                                                |Star                           |20 01 52.2725765280 +33 54 53.713680192|070.6186406759991 +01.7762905915073|  -0.976 -2.312    |10.61    |~                      |    ~     ~    
7319 |HD 227197                                                                                                |Star                           |20 02 00.4470084528 +33 38 57.188924304|070.4080571933166 +01.6116941487350| 24.174 -15.746    |8.949    |~                      |    ~     ~    
7320 |HD 227198                                                                                                |Star                           |20 02 06.0085170816 +33 33 29.593095408|070.3410454832635 +01.5471485252583| -8.161 -18.217    |10.42    |~                      |    ~     ~    
7321 |HD 227230                                                                                                |Star                           |20 02 22.8282739992 +33 34 54.679750104|070.3920435915670 +01.5101424980691|  -0.813 -2.637    |8.77     |K0                     |    ~     ~    
7322 |HD 227229                                                                                                |Star                           |20 02 22.2791219424 +34 03 09.567497664|070.7904581532126 +01.7612474682591|   -0.006 8.502    |10.33    |~                      |    ~     ~    
7323 |HD 227252                                                                                                |Star                           |20 02 23.3514095856 +33 26 02.194713456|070.2675416392885 +01.4301994948572|  -1.111 -4.611    |10.89    |A0                     |    ~     ~    
7324 |HD 227250                                                                                                |Star                           |20 02 27.7045152984 +33 46 05.186173728|070.5590000879619 +01.5945321099926|  -2.170 -5.831    |9.33     |F8Ib                   |    ~     ~    
7325 |HD 227251                                                                                                |Star                           |20 02 29.6528473440 +33 40 56.568242928|070.4898664471090 +01.5433572734289|    3.196 9.161    |10.36    |F8                     |    ~     ~    
7326 |LS II +33 20                                                                                             |Eclipsing Binary               |20 02 34.5705777960 +33 32 53.853160776|070.3852010101626 +01.4577809722960|  -2.584 -4.755    |10.6     |OB-                    |    ~     ~    
7327 |HD 190192                                                                                                |Star                           |20 02 35.6973091800 +33 30 59.816975040|070.3604160756027 +01.4376606290400|-10.699 -31.142    |8.64     |A5V                    |    ~     ~    
7328 |HD 227281                                                                                                |Spectroscopic Binary           |20 02 42.6237110832 +33 22 35.003237268|070.2543045377145 +01.3428439700428|   0.700 -4.351    |9.799    |~                      |    ~     ~    
7329 |HD 227292                                                                                                |Star                           |20 02 45.6417033888 +33 37 41.298715740|070.4732986909302 +01.4675748929871|  -0.556 -2.073    |9.24     |B5V                    |    ~     ~    
7330 |HD 227306                                                                                                |Star                           |20 02 48.1472717784 +33 47 33.864728892|070.6174591580274 +01.5475828750726|  -2.815 -1.127    |9.67     |B8V                    |    ~     ~    
7331 |HD 227322                                                                                                |Star                           |20 03 00.2631312216 +33 58 05.793991752|070.7885245951515 +01.6052728970506|   3.944 -9.734    |10.68    |K2                     |    ~     ~    
7332 |HD 227333                                                                                                |Star                           |20 03 06.9172115856 +33 49 22.185476760|070.6774885960813 +01.5085025038544|-22.002 -20.644    |10.51    |~                      |    ~     ~    
7333 |HD 227347                                                                                                |Star                           |20 03 13.4005405440 +34 01 35.949659376|070.8621210987615 +01.5978462664651|  -2.555 -7.520    |10.66    |A8                     |    ~     ~    
7334 |HD 227348                                                                                                |Star                           |20 03 17.7893872968 +33 36 28.423272528|070.5154272332772 +01.3623207884987|    7.093 7.761    |9.38     |~                      |    ~     ~    
7335 |HD 190336                                                                                                |beta Cep Variable              |20 03 18.6758139960 +33 26 59.694712800|070.3832499954860 +01.2756856487078|  -3.592 -6.991    |8.62     |B0.7II-III             |    ~     ~    
7336 |HD 190382                                                                                                |Star                           |20 03 27.2611145112 +33 32 35.366698968|070.4780947594996 +01.3000375694925|  -0.576 -2.230    |9.12     |B6V                    |    ~     ~    
7337 |HD 227372                                                                                                |Star                           |20 03 28.8080842008 +34 07 48.531227664|070.9780907015764 +01.6078552236560|  -8.156 -3.236    |10.49    |~                      |    ~     ~    
7338 |HD 227030                                                                                                |Emission-line Star             |20 00 09.7443817344 +32 59 15.002887020|069.6422737517253 +01.5900671003139|-11.331 -16.711    |9.48     |K0                     |    ~     ~    
7339 |HD 189806                                                                                                |High Proper Motion Star        |20 00 45.5914701960 +32 57 00.092462580|069.6763879499240 +01.4637968795691| 107.553 85.293    |8.08     |K0V                    |    ~     ~    
7340 |HD 227097                                                                                                |Star                           |20 00 51.1116621624 +33 22 48.917342820|070.0523068412653 +01.6741748864904|   0.654 -2.868    |10.19    |~                      |    ~     ~    
7341 |HD 189846                                                                                                |Star                           |20 00 54.4817510736 +33 00 44.973972288|069.7458738954066 +01.4703204468190|    2.452 1.136    |8.35     |B6V                    |    ~     ~    
7342 |HD 227161                                                                                                |Star                           |20 01 42.1550790816 +33 09 21.349203624|069.9556334290741 +01.4047232053832|  -4.342 -6.559    |9.775    |~                      |    ~     ~    
7343 |HD 190001                                                                                                |Star                           |20 01 43.4298069312 +33 04 00.941800548|069.8824270770987 +01.3538793868518|  -5.154 -9.106    |7.980    |B6V                    |    ~     ~    
7344 |HD 227177                                                                                                |Star                           |20 01 53.8327242840 +33 02 30.883042572|069.8804184583657 +01.3098150762238|  11.639 10.577    |9.837    |~                      |    ~     ~    
7345 |HD 227200                                                                                                |Star                           |20 02 01.5980413728 +33 08 00.584353500|069.9724930936653 +01.3352950073181|  -9.296 -6.563    |10.50    |~                      |    ~     ~    
7346 |HD 227233                                                                                                |Star                           |20 02 23.6953482120 +33 10 58.058079492|070.0551632686929 +01.2960418995594|  19.389 19.272    |9.810    |~                      |    ~     ~    
7347 |HD 227231                                                                                                |Star                           |20 02 23.5757363472 +33 20 12.287306760|070.1855148084313 +01.3780132077624|  -0.760 -2.639    |9.457    |~                      |    ~     ~    
7348 |HD 227282                                                                                                |Star                           |20 02 43.8286893408 +33 03 42.056000604|069.9897586854000 +01.1722340475399|  -2.972 -4.195    |10.58    |~                      |    ~     ~    
7349 |HD 227312                                                                                                |Star                           |20 02 57.6532173336 +33 01 04.716259320|069.9783703894005 +01.1081075722144|    0.728 1.352    |10.67    |~                      |    ~     ~    
7350 |HD 227350                                                                                                |Star                           |20 03 18.1078546416 +32 54 18.826316460|069.9208916627519 +00.9875971153955|   1.323 -0.895    |9.507    |F8                     |    ~     ~    
7351 |HD 227379                                                                                                |Star                           |20 03 36.4819910328 +33 21 30.245951232|070.3387295121634 +01.1745437762005|  11.798 -2.645    |9.832    |~                      |    ~     ~    
7352 |HD 227390                                                                                                |Star                           |20 03 37.7722927176 +33 05 51.325506528|070.1203417061924 +01.0318300947749|    4.049 5.428    |10.48    |~                      |    ~     ~    
7353 |HD 190430                                                                                                |Star                           |20 03 40.6204611576 +33 10 35.271350220|070.1923991397123 +01.0654351448080|   1.491 -4.631    |7.82     |K1II                   |    ~     ~    
7354 |HD 227291                                                                                                |Spectroscopic Binary           |20 02 42.7950974640 +34 05 48.652830276|070.8655010526945 +01.7246400228736|  7.806 -27.521    |10.09    |~                      |    ~     ~    
7355 |V* V485 Cyg                                                                                              |Long-Period Variable           |20 01 15.0712926024 +33 55 42.205580076|070.5621031995426 +01.8926188901777|  26.373 26.893    |8.33     |M5III                  |    ~     ~    
7356 |HD 331719                                                                                                |Star                           |20 03 16.2346558560 +32 47 19.430351160|069.8187457368004 +00.9311691011561|   0.711 -4.999    |10.35    |F0                     |    ~     ~    
7357 |HD 331642                                                                                                |Star                           |20 01 19.4035610976 +33 00 11.114180136|069.7838479292153 +01.3913877858278|   3.976 -0.490    |10.89    |F8                     |    ~     ~    
7358 |HD 331641                                                                                                |Star                           |20 01 48.9137826360 +32 53 16.565944128|069.7406321309852 +01.2429264673468|  20.727 26.195    |10.96    |F8                     |    ~     ~    
7359 |HD 331640                                                                                                |Star                           |20 02 16.5381347520 +32 54 43.849216800|069.8123921282829 +01.1737875307623|  -3.988 -6.792    |10.80    |G5                     |    ~     ~    
7360 |HD 331635                                                                                                |Star                           |20 02 46.3070 +33 39 58.060            |070.5067310 +01.4857829            | -2.060 -14.069    |9.80     |G                      |    ~     ~    
7361 |HD 331633                                                                                                |Spectroscopic Binary           |20 01 24.7604991864 +33 54 03.918316212|070.5565934012650 +01.8497523580937|   0.053 -6.796    |9.82     |K7                     |    ~     ~    
7362 |IRAS 20011+3428                                                                                          |Star                           |20 03 04.2862664712 +34 36 54.254896560|071.3441840500067 +01.9370462601768|   1.021 -1.901    |10.09    |~                      |    ~     ~    
7363 |HD 227334                                                                                                |Star                           |20 03 07.0049027400 +33 43 01.888992408|070.5881346136015 +01.4521052031986|  -0.627 -2.668    |9.268    |~                      |    ~     ~    
7364 |2MASS J20010654+3345280                                                                                  |Pulsating Variable             |20 01 06.5459986296 +33 45 28.052800236|070.4015243952448 +01.8276901225344|  -0.441 -9.060    |10.5     |~                      |    ~     ~    
7365 |CCDM J20020+3411A                                                                                        |Star                           |20 02 01.3632007200 +34 10 37.540858872|070.8578550260171 +01.8883412337770|  -3.839 -9.994    |10.5     |~                      |    ~     ~    
7366 |TYC 2674-5124-1                                                                                          |Star                           |20 02 03.6390490488 +33 08 02.218075980|069.9766499035845 +01.3294941074620|  -6.326 -4.011    |10.88    |~                      |    ~     ~    
7367 |CCDM J20024+3353A                                                                                        |Star                           |20 02 20.9433729072 +33 53 21.582610008|070.6494303854406 +01.6786230175093|  -1.552 -4.719    |10.8     |~                      |    ~     ~    
7368 |BD+33 3698                                                                                               |Star                           |20 02 30.9203385840 +33 52 09.905355624|070.6508397883469 +01.6388040296283|   0.009 -2.810    |10.57    |A2                     |    ~     ~    
7369 |HD 227047                                                                                                |Star                           |20 00 18.3525528240 +34 24 31.298228748|070.8676720049058 +02.3117593407024| -9.465 -15.490    |10.37    |K5                     |    ~     ~    
7370 |TYC 2678-2338-1                                                                                          |Star                           |20 00 58.0332397656 +34 13 25.097188440|070.7821024492648 +02.0982591889858|  -1.309 -3.190    |10.63    |G2:                    |    ~     ~    
7371 |HD 227135                                                                                                |Star                           |20 01 18.9610224960 +34 35 25.604864376|071.1319738236783 +02.2305025911684|  -3.086 -5.261    |10.03    |K2III                  |    ~     ~    
7372 |TYC 2678-2426-1                                                                                          |Star                           |20 01 41.9797310616 +35 00 03.575532672|071.5225760476040 +02.3802669338230|   37.650 4.186    |10.87    |G8V                    |    ~     ~    
7373 |TYC 2678-1203-1                                                                                          |Spectroscopic Binary           |20 02 02.9689544376 +34 45 27.025605288|071.3536452207707 +02.1906870645095|  10.064 21.558    |10.49    |G5IV                   |    ~     ~    
7374 |TYC 2678-1211-1                                                                                          |Star                           |20 02 37.7786023392 +34 52 43.804178652|071.5197345637398 +02.1539072488273|    6.203 6.876    |10.80    |G5III                  |    ~     ~    
7375 |BD+34 3855                                                                                               |Star                           |20 03 13.6248972696 +35 08 35.536518348|071.8089391764101 +02.1904774483144|    2.961 1.770    |10.25    |G2IV                   |    ~     ~    
7376 |HD 331647                                                                                                |High Proper Motion Star        |20 00 02.7944631288 +32 51 06.104393892|069.5139229396770 +01.5393494249182| -50.483 -5.436    |8.29     |K0                     |    ~     ~    
7377 |HD 189689                                                                                                |Be Star                        |20 00 07.0577245152 +32 47 22.837948944|069.4689982044072 +01.4940469255411|   0.782 -2.344    |7.277    |B9                     |    ~     ~    
7378 |HD 189752                                                                                                |Star                           |20 00 23.1472577328 +32 43 53.667584616|069.4492361186980 +01.4155361480875|    0.437 2.380    |7.83     |K2                     |    ~     ~    
7379 |HD 227076                                                                                                |Star                           |20 00 42.4011313272 +32 55 19.947774936|069.6468570425201 +01.4586198898881| -11.320 -8.226    |9.775    |~                      |    ~     ~    
7380 |HD 227098                                                                                                |Star                           |20 00 53.8910190504 +32 52 46.322458392|069.6317757317083 +01.4019677968773|   6.998 -6.368    |9.947    |~                      |    ~     ~    
7381 |HD 190256                                                                                                |Star                           |20 02 52.3768917504 +32 34 38.693306244|069.5952576323702 +00.8896911678928|   1.781 -1.447    |8.51     |B7V                    |    ~     ~    
7382 |HD 331738                                                                                                |Star                           |20 03 34.9120616640 +32 29 39.340024224|069.6043306358850 +00.7189371567240|  -2.291 -8.070    |10.93    |A0                     |    ~     ~    
7383 |HD 331734                                                                                                |Star                           |20 03 42.4562071584 +32 36 13.390505892|069.7110857711065 +00.7548322156435| -4.856 -13.376    |10.55    |F2                     |    ~     ~    
7384 |HD 331722                                                                                                |Star                           |20 03 29.9793406392 +32 41 51.473593176|069.7672534129694 +00.8419024793065|  -2.778 -5.386    |9.99     |F0                     |    ~     ~    
7385 |HD 331720                                                                                                |Star                           |20 03 12.5166805824 +32 44 37.900395060|069.7738159963885 +00.9183315333101|  -1.235 -2.973    |10.51    |K7                     |    ~     ~    
7386 |HD 331652                                                                                                |Pulsating Variable             |20 02 46.4351201712 +32 44 14.108198820|069.7196300807162 +00.9922491519057|  -1.458 -5.441    |10.86    |A2                     |    ~     ~    
7387 |HD 331650                                                                                                |Star                           |20 01 10.3332962328 +32 43 03.301670460|069.5245534584845 +01.2676032118801|    4.993 5.199    |10.17    |A3                     |    ~     ~    
7388 |HD 331649                                                                                                |Star                           |20 00 26.8686342552 +32 42 21.128846544|069.4342433247317 +01.3909131159778|    5.145 0.160    |10.91    |A                      |    ~     ~    
7389 |HD 331646                                                                                                |Star                           |20 00 46.1655531456 +32 49 44.310274572|069.5745406133613 +01.3982921099004|  -0.251 -0.188    |10.43    |K2                     |    ~     ~    
7390 |HD 331644                                                                                                |Star                           |20 01 34.9029080808 +32 47 32.320935888|069.6335107621274 +01.2339794345962| -22.713 10.634    |10.55    |F5                     |    ~     ~    
7391 |HD 331653                                                                                                |Star                           |20 02 39.8936586744 +32 41 55.176274356|069.6747446092162 +00.9911919095711|-17.528 -22.993    |9.72     |G5                     |    ~     ~    
7392 |TYC 2674-3124-1                                                                                          |Emission-line Star             |20 02 09.465960 +33 18 05.37120        |070.129568173 +01.400994723        |    -22.3 -41.8    |10.944   |~                      |    ~     ~    
7393 |GSC 02674-00122                                                                                          |Double or Multiple Star        |20 00 26.3393846016 +32 51 55.973757636|069.5690713892524 +01.4765498036960|  -0.850 -7.837    |10.770   |~                      |    ~     ~    
7394 |TYC 2674-263-1                                                                                           |Star                           |20 02 49.2657527736 +32 34 34.909499280|069.5885635672517 +00.8983877196921|  -1.018 -3.210    |10.97    |~                      |    ~     ~    
7395 |TYC 2674-707-1                                                                                           |Star                           |20 02 52.8842224992 +32 37 37.797967416|069.6383585662741 +00.9146137001784| -9.000 -21.473    |10.30    |~                      |    ~     ~    
7396 |TYC 2674-2069-1                                                                                          |Star                           |20 00 27.0642455160 +32 47 57.124948992|069.5139798232520 +01.4394656451091|  -5.512 -9.993    |10.83    |~                      |    ~     ~    
7397 |TYC 2674-3213-1                                                                                          |Star                           |20 00 23.6334489384 +32 46 05.290505508|069.4812304394209 +01.4333314573210|   0.837 -0.994    |10.92    |~                      |    ~     ~    
7398 |TYC 2674-4650-1                                                                                          |Star                           |20 03 02.7128348136 +33 07 53.875569180|070.0840577595588 +01.1535404542183|   -7.119 0.528    |10.83    |~                      |    ~     ~    
7399 |TYC 2674-4656-1                                                                                          |Star                           |20 03 34.3459119648 +33 09 14.508100836|070.1617500648628 +01.0720085369452|  -6.030 -1.694    |10.85    |~                      |    ~     ~    
7400 |TYC 2674-4730-1                                                                                          |Star                           |20 03 16.4499958200 +33 08 56.928304824|070.1243826712607 +01.1222619438973| -4.567 -15.584    |10.74    |~                      |    ~     ~    
7401 |TYC 2674-5467-1                                                                                          |Star                           |20 03 26.9357566848 +33 34 34.013030124|070.5054034650293 +01.3185331017617|  0.339 -26.686    |10.73    |~                      |    ~     ~    
7402 |TYC 2674-5714-1                                                                                          |Star                           |20 00 02.2482821760 +33 34 33.449111544|070.1294071581232 +01.9215610305793|  -1.853 -6.141    |10.62    |~                      |    ~     ~    
7403 |TYC 2678-930-1                                                                                           |Star                           |20 01 59.6162489112 +34 08 03.449930352|070.8183249894997 +01.8708072925652|  -1.871 -3.293    |10.42    |~                      |    ~     ~    
7404 |TYC 2678-1368-1                                                                                          |Star                           |20 01 04.4225783712 +33 51 58.076794188|070.4897450414069 +01.8910691969511|    4.917 5.967    |10.31    |~                      |    ~     ~    
7405 |HD 331637                                                                                                |High Proper Motion Star        |20 02 27.1595668152 +33 04 02.701153344|069.9637294865899 +01.2246145062978|  38.686 44.078    |10.28    |F8                     |    ~     ~    
7406 |HD 227409                                                                                                |Star                           |20 03 46.5952885056 +34 36 18.491825160|071.4129605076573 +01.8088863762160|  18.943 12.744    |9.397    |~                      |    ~     ~    
7407 |HD 190468                                                                                                |Spectroscopic Binary           |20 03 46.0018066872 +34 52 11.256488436|071.6360264020457 +01.9515137747268|  0.170 -25.093    |8.24     |kA3hA7mF2(III)         |    ~     ~    
7408 |HD 227408                                                                                                |Star                           |20 03 50.3244692472 +34 43 42.202586100|071.5241467370742 +01.8637037086320| -1.173 -16.148    |9.50     |~                      |    ~     ~    
7409 |HD 227407                                                                                                |Star                           |20 03 50.4101463240 +34 48 45.863869428|071.5957361946272 +01.9083755095411|  -2.116 -8.874    |9.320    |~                      |    ~     ~    
7410 |HD 227435                                                                                                |Star                           |20 04 06.9878264712 +34 27 48.553565076|071.3303551934157 +01.6741765977263|    7.842 0.068    |10.86    |F0                     |    ~     ~    
7411 |HD 227434                                                                                                |Star                           |20 04 07.1998184640 +34 37 13.571744196|071.4635802971233 +01.7572468002011|  -3.178 -6.878    |10.98    |~                      |    ~     ~    
7412 |HD 227447                                                                                                |Star                           |20 04 12.7781295384 +34 37 35.324815188|071.4788987908400 +01.7442889319479|  -2.646 -4.686    |10.55    |~                      |    ~     ~    
7413 |HD 227446                                                                                                |Star                           |20 04 13.5410739120 +34 57 21.273344028|071.7591053464276 +01.9177696022648|  -1.210 -1.965    |9.79     |~                      |    ~     ~    
7414 |HD 227462                                                                                                |Star                           |20 04 22.2257423208 +34 55 20.570048112|071.7465612803014 +01.8747935334059|   1.870 -2.058    |10.68    |~                      |    ~     ~    
7415 |HD 227473                                                                                                |Star                           |20 04 27.1932407304 +34 55 46.564435776|071.7617320324573 +01.8642952472266|   0.044 -5.261    |10.96    |~                      |    ~     ~    
7416 |HD 227472                                                                                                |Star                           |20 04 32.7712313640 +34 59 32.089954380|071.8249070271061 +01.8816304597478|  -1.729 -0.738    |8.24     |K0II                   |    ~     ~    
7417 |HD 227482                                                                                                |Star                           |20 04 40.5029023584 +34 13 30.801864432|071.1903817135747 +01.4494855522166|  -1.982 -6.895    |10.31    |B9                     |    ~     ~    
7418 |HD 227481                                                                                                |Spectroscopic Binary           |20 04 33.6959720352 +34 32 25.510200540|071.4444066951972 +01.6376744590904|    5.195 1.037    |10.52    |~                      |    ~     ~    
7419 |HD 227513                                                                                                |Star                           |20 05 00.3227177184 +35 00 29.497913820|071.8886697925927 +01.8106676824791|  -0.400 -4.322    |10.33    |~                      |    ~     ~    
7420 |LS II +34 6                                                                                              |Pulsating Variable             |20 05 03.0285096456 +34 58 04.186599312|071.8594917140407 +01.7812727268179|  -3.066 -6.561    |10.9     |B                      |    ~     ~    
7421 |HD 227525                                                                                                |Star                           |20 05 04.8095445072 +34 24 52.604055504|071.3952112602599 +01.4800993400733| -2.442 -11.962    |10.71    |G5IV                   |    ~     ~    
7422 |HD 190785                                                                                                |Variable Star                  |20 05 24.2520585264 +34 59 04.331256252|071.9124169282161 +01.7290127731807| -8.678 -10.050    |8.16     |A4V                    |    ~     ~    
7423 |HD 227587                                                                                                |Star                           |20 05 33.4775005512 +34 48 31.898601288|071.7809323273395 +01.6082551534577|    9.702 1.997    |10.12    |~                      |    ~     ~    
7424 |HD 190841                                                                                                |Star                           |20 05 37.0038611640 +34 54 53.042544756|071.8768079967050 +01.6548364825669|  -2.453 -6.785    |8.14     |F2:III:                |    ~     ~    
7425 |HD 227410                                                                                                |Star                           |20 03 52.6938206016 +34 22 12.430519356|071.2251231942479 +01.6659833483279|  -0.645 -2.648    |10.74    |~                      |    ~     ~    
7426 |HD 190536                                                                                                |High Proper Motion Star        |20 04 04.8462397728 +34 18 53.076264084|071.2005418053588 +01.6010933587725|-37.599 -54.936    |7.69     |G5II                   |    ~     ~    
7427 |HD 227436                                                                                                |Star                           |20 04 09.8920938528 +34 17 33.228780144|071.1910376048605 +01.5745732873397|  -1.185 -1.171    |9.68     |A0                     |    ~     ~    
7428 |HD 227574                                                                                                |Star                           |20 05 33.4115511504 +34 11 46.190665104|071.2634571824611 +01.2799450599470|  -1.965 -6.905    |9.39     |A3IV                   |    ~     ~    
7429 |HD 227588                                                                                                |Pulsating Variable             |20 05 39.5872390392 +34 20 06.998313588|071.3923088363118 +01.3366075352063|   1.524 -3.632    |10.14    |~                      |    ~     ~    
7430 |HD 227423                                                                                                |Star                           |20 04 02.7603548688 +33 54 00.469648260|070.8458365123523 +01.3860922806352|   2.784 -6.484    |9.54     |B8V                    |    ~     ~    
7431 |HD 227424                                                                                                |Star                           |20 04 03.9994634016 +33 34 20.772718644|070.5708595999589 +01.2076882002057|  -2.078 -5.961    |10.37    |B3                     |    ~     ~    
7432 |HD 190571                                                                                                |Star                           |20 04 23.5670210184 +33 33 01.780479684|070.5885696467019 +01.1385235851279| 19.335 -30.065    |7.48     |G8V                    |    ~     ~    
