C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:25:01

dec >=0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2437

 #  |                                                                                                                     identifier                                                                                                                      |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
70  |TYC 4417-132-1                                                                                                                                                                                                                                       |Star                               |15 12 26.1074334408 +74 42 02.068344612|111.6041021379682 +39.1683888705770| -15.232 36.341   |10.92    |~               |    ~     ~    |    1|  288.650   pc  |  -0.9498     +0.9498  |paral   |2020yCat.1350....0G
71  |TYC 4417-175-1                                                                                                                                                                                                                                       |Star                               |15 03 38.1463549368 +74 12 07.942397076|111.7679741305113 +39.9299663494975| -11.613 15.608   |10.14    |~               |    ~     ~    |    1|  657.462   pc  |  -5.0142     +5.0142  |paral   |2020yCat.1350....0G
72  |TYC 4417-317-1                                                                                                                                                                                                                                       |Star                               |15 13 48.3926732904 +74 27 47.294581320|111.3122183592475 +39.2848355994739|  -4.893 -2.292   |10.75    |~               |    ~     ~    |    1|  326.296   pc  |  -2.9918     +2.9918  |paral   |2020yCat.1350....0G
73  |TYC 4417-335-1                                                                                                                                                                                                                                       |Star                               |15 05 59.5852324200 +74 22 03.822312180|111.7450003027390 +39.7006972723808| -0.468 -11.452   |10.78    |~               |    ~     ~    |    1|  708.567   pc  | -31.4294    +31.4294  |paral   |2020yCat.1350....0G
74  |TYC 4417-441-1                                                                                                                                                                                                                                       |Star                               |15 08 24.3536198976 +73 54 48.205293372|111.1986303555527 +39.9404737322734|  -19.557 6.684   |10.81    |~               |    ~     ~    |    1|  363.531   pc  |  -1.7709     +1.7709  |paral   |2020yCat.1350....0G
75  |TYC 4417-519-1                                                                                                                                                                                                                                       |Star                               |15 13 48.8922807528 +74 04 42.940951068|110.9778232864866 +39.5697152607051|  -10.241 9.669   |10.69    |~               |    ~     ~    |    1|  506.252   pc  |  -2.8192     +2.8192  |paral   |2020yCat.1350....0G
76  |TYC 4417-566-1                                                                                                                                                                                                                                       |Star                               |15 13 02.1602067600 +74 02 31.901753688|110.9976148105257 +39.6325790566565|   2.028 10.380   |10.91    |~               |    ~     ~    |    1|  277.293   pc  |  -0.8458     +0.8458  |paral   |2020yCat.1350....0G
77  |TYC 4417-647-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 07 48.9784208088 +73 55 59.911628304|111.2559392369597 +39.9519832005852| -42.362 46.390   |10.94    |~               |    ~     ~    |    1|  339.882   pc  |  -1.3516     +1.3516  |paral   |2020yCat.1350....0G
78  |TYC 4417-1421-1                                                                                                                                                                                                                                      |Star                               |15 10 47.7279582888 +73 41 02.304625272|110.8378248765826 +40.0033793724487|  -33.300 9.761   |10.44    |~               |    ~     ~    |    1|  356.583   pc  |  -2.6702     +2.6702  |paral   |2020yCat.1350....0G
79  |BD+77 568                                                                                                                                                                                                                                            |Star                               |15 01 28.7008905816 +77 18 08.177196060|114.3596721124601 +37.5752418147056|   7.025 -3.649   |9.05     |K0              |    ~     ~    |    1|  447.868   pc  |  -2.3268     +2.3268  |paral   |2020yCat.1350....0G
80  |HD 134678                                                                                                                                                                                                                                            |High Proper Motion Star            |15 04 06.1029613032 +77 22 18.633354492|114.2691863696737 +37.4325642280113| -80.294 13.063   |7.68     |F7Vw            |    ~     ~    |    1|   69.587   pc  |  -0.0770     +0.0770  |paral   |2020yCat.1350....0G
81  |HD 134749                                                                                                                                                                                                                                            |Star                               |15 04 58.7838810312 +76 38 23.453840724|113.6490404568657 +37.9780265098462|   8.225 -4.425   |8.22     |G5              |    ~     ~    |    1|  339.466   pc  |  -1.8784     +1.8784  |paral   |2020yCat.1350....0G
82  |BD+77 574                                                                                                                                                                                                                                            |Star                               |15 06 02.3055864288 +76 35 10.328352648|113.5458246340643 +37.9817620556088|   -7.628 3.372   |9.79     |F8              |    ~     ~    |    1|  315.020   pc  |  -1.2603     +1.2603  |paral   |2020yCat.1350....0G
83  |HD 135656                                                                                                                                                                                                                                            |Spectroscopic Binary               |15 09 13.3385522424 +77 08 29.605933032|113.8103457327281 +37.4364777975778|  -17.125 5.516   |8.52     |K2              |    ~     ~    |    1|  464.576   pc  |  -7.4893     +7.4893  |paral   |2020yCat.1350....0G
84  |HD 135790                                                                                                                                                                                                                                            |Star                               |15 10 01.5365416368 +77 00 17.973409140|113.6572282396395 +37.5133005190246|    5.722 3.841   |8.54     |K0              |    ~     ~    |    1|  884.877   pc  | -12.6847    +12.6847  |paral   |2020yCat.1350....0G
85  |BD+77 579                                                                                                                                                                                                                                            |Star                               |15 11 44.4693712824 +77 04 04.532200320|113.6149910703770 +37.4033313151700|    2.030 0.448   |10.05    |K2              |    ~     ~    |    1|  918.695   pc  |  -9.0308     +9.0308  |paral   |2020yCat.1350....0G
86  |HD 134644                                                                                                                                                                                                                                            |High Proper Motion Star            |15 04 33.2858730480 +76 21 53.564008356|113.4566187975197 +38.2088727217079|  59.202 27.672   |8.29     |K0              |    ~     ~    |    1|  118.389   pc  |  -0.2523     +0.2523  |paral   |2020yCat.1350....0G
87  |BD+76 549                                                                                                                                                                                                                                            |Star                               |15 05 00.9313681776 +76 25 50.454923520|113.4817184573490 +38.1405018163039|-41.413 -23.658   |9.49     |G5              |    ~     ~    |    1|  238.681   pc  | -23.6305    +23.6305  |paral   |2020yCat.1350....0G
88  |HD 135118                                                                                                                                                                                                                                            |Star                               |15 06 53.6331741552 +75 59 07.042251768|113.0144756674329 +38.4168545123672|  -19.969 8.401   |8.29     |A2              |    ~     ~    |    1|  184.986   pc  |  -1.1087     +1.1087  |paral   |2020yCat.1350....0G
89  |BD+76 546                                                                                                                                                                                                                                            |Star                               |15 01 27.5207646552 +75 36 32.025121488|113.0474509323633 +38.9189847856869| -34.137 17.365   |10.35    |F8              |    ~     ~    |    1|  269.353   pc  |  -0.8271     +0.8271  |paral   |2020yCat.1350....0G
